Unnamed: 0_level_0,Unnamed: 1_level_0,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5,Inside 5,Unnamed: 14_level_0
Ameer Abdullah,LVR,13,51,2,22.0%,8,18,2,23.5%,4,3,1,20.0%,All Ameer Abdullah red zone rushing plays
Cam Akers,2TM,13,25,2,,4,3,1,,2,1,1,,All Cam Akers red zone rushing plays
Hassan Haskins,LAC,13,21,2,17.8%,11,16,2,23.9%,8,6,2,36.4%,All Hassan Haskins red zone rushing plays
Daniel Jones,NYG,13,47,2,23.2%,7,3,2,21.2%,6,2,2,37.5%,All Daniel Jones red zone rushing plays
Emanuel Wilson,GNB,13,26,3,13.4%,8,19,3,13.8%,4,2,2,15.4%,All Emanuel Wilson red zone rushing plays
Ezekiel Elliott,DAL,12,10,3,22.2%,8,8,3,30.8%,3,5,3,25.0%,All Ezekiel Elliott red zone rushing plays
D'Onta Foreman,CLE,12,16,0,25.0%,9,11,0,28.1%,5,3,0,35.7%,All D'Onta Foreman red zone rushing plays
Jeremy McNichols,WAS,12,38,3,9.8%,7,28,3,10.3%,2,4,2,6.7%,All Jeremy McNichols red zone rushing plays
Kyler Murray,ARI,12,56,2,16.9%,2,7,1,6.9%,1,1,1,5.9%,All Kyler Murray red zone rushing plays
Trey Sermon,IND,12,14,2,12.1%,7,4,2,12.5%,6,0,2,20.0%,All Trey Sermon red zone rushing plays
Patrick Taylor,SFO,12,46,1,12.5%,5,11,1,8.9%,3,5,1,12.5%,All Patrick Taylor red zone rushing plays
Audric Estime,DEN,11,33,2,15.1%,4,12,2,12.1%,2,4,2,9.5%,All Audric Estime red zone rushing plays
Jordan Love,GNB,11,28,1,11.3%,4,12,1,6.9%,1,1,1,3.8%,All Jordan Love red zone rushing plays
Chris Rodriguez,WAS,11,40,2,8.9%,8,27,2,11.8%,2,3,1,6.7%,All Chris Rodriguez red zone rushing plays
Devin Singletary,NYG,11,31,4,19.6%,9,26,4,27.3%,4,7,3,25.0%,All Devin Singletary red zone rushing plays
Tyjae Spears,TEN,11,33,4,18.6%,6,11,3,24.0%,4,4,2,40.0%,All Tyjae Spears red zone rushing plays
Braelon Allen,NYJ,10,25,1,27.8%,5,10,1,31.3%,2,3,1,20.0%,All Braelon Allen red zone rushing plays
Jerome Ford,CLE,10,25,2,20.8%,7,17,2,21.9%,2,6,2,14.3%,All Jerome Ford red zone rushing plays
Deebo Samuel,SFO,10,18,1,10.4%,5,7,1,8.9%,2,-7,1,8.3%,All Deebo Samuel red zone rushing plays
Carson Steele,KAN,10,30,0,12.0%,6,14,0,15.0%,4,3,0,16.0%,All Carson Steele red zone rushing plays
Caleb Williams,CHI,10,36,0,16.9%,1,0,0,3.0%,1,0,0,4.8%,All Caleb Williams red zone rushing plays
Russell Wilson,PIT,10,16,2,10.6%,8,7,2,15.1%,2,2,2,11.8%,All Russell Wilson red zone rushing plays
Bryce Young,CAR,10,57,5,15.4%,7,44,5,17.1%,2,5,2,9.1%,All Bryce Young red zone rushing plays
Chris Brooks,GNB,9,33,1,9.3%,2,2,1,3.4%,1,1,1,3.8%,All Chris Brooks red zone rushing plays
Jared Goff,DET,9,7,0,8.0%,2,1,0,3.1%,1,0,0,2.9%,All Jared Goff red zone rushing plays
Taysom Hill,NOR,9,38,4,14.5%,6,27,4,19.4%,1,2,1,8.3%,All Taysom Hill red zone rushing plays
Patrick Mahomes,KAN,9,20,2,10.8%,2,2,1,5.0%,1,1,1,4.0%,All Patrick Mahomes red zone rushing plays
Jamaal Williams,NOR,9,33,1,14.5%,4,7,0,12.9%,1,-2,0,8.3%,All Jamaal Williams red zone rushing plays
Blake Corum,LAR,8,23,0,9.1%,6,10,0,14.3%,2,3,0,8.7%,All Blake Corum red zone rushing plays
Baker Mayfield,TAM,8,25,3,10.4%,5,13,2,11.6%,2,1,1,10.0%,All Baker Mayfield red zone rushing plays
Isiah Pacheco,KAN,8,21,1,9.6%,5,7,1,12.5%,3,1,1,12.0%,All Isiah Pacheco red zone rushing plays
Geno Smith,SEA,8,26,1,14.8%,3,-6,0,8.6%,3,-6,0,12.0%,All Geno Smith red zone rushing plays
Michael Carter,ARI,7,13,1,9.9%,3,4,1,10.3%,3,4,1,17.6%,All Michael Carter red zone rushing plays
Sam Darnold,MIN,7,3,1,10.4%,4,-6,1,11.1%,2,1,1,11.8%,All Sam Darnold red zone rushing plays
Khalil Herbert,2TM,7,12,1,,5,7,1,,4,5,1,,All Khalil Herbert red zone rushing plays
D'Ernest Johnson,JAX,7,27,0,10.4%,3,10,0,7.5%,1,0,0,4.5%,All D'Ernest Johnson red zone rushing plays
Ty Johnson,BUF,7,12,1,6.4%,3,7,1,5.0%,2,2,1,7.4%,All Ty Johnson red zone rushing plays
Will Levis,TEN,7,13,0,11.9%,2,5,0,8.0%,0,0,0,.0%,All Will Levis red zone rushing plays
Miles Sanders,CAR,7,20,2,10.8%,3,3,2,7.3%,2,2,2,9.1%,All Miles Sanders red zone rushing plays
C.J. Stroud,HOU,7,13,0,8.3%,3,-7,0,7.7%,2,3,0,13.3%,All C.J. Stroud red zone rushing plays
Zamir White,LVR,7,16,1,11.9%,6,10,1,17.6%,2,2,1,10.0%,All Zamir White red zone rushing plays
Joe Burrow,CIN,6,14,1,8.6%,3,2,1,6.8%,3,2,1,14.3%,All Joe Burrow red zone rushing plays
Tyler Goodson,IND,6,12,1,6.1%,4,10,1,7.1%,1,2,0,3.3%,All Tyler Goodson red zone rushing plays
Justin Herbert,LAC,6,24,2,8.2%,4,16,2,8.7%,1,4,1,4.5%,All Justin Herbert red zone rushing plays
Christian McCaffrey,SFO,6,15,0,6.3%,1,1,0,1.8%,1,1,0,4.2%,All Christian McCaffrey red zone rushing plays
Matthew Stafford,LAR,6,10,0,6.8%,1,2,0,2.4%,1,2,0,4.3%,All Matthew Stafford red zone rushing plays
Xavier Worthy,KAN,6,29,1,7.2%,1,3,1,2.5%,1,3,1,4.0%,All Xavier Worthy red zone rushing plays
Ty Chandler,MIN,5,11,0,7.5%,2,0,0,5.6%,0,0,0,.0%,All Ty Chandler red zone rushing plays
Eric Gray,NYG,5,7,0,8.9%,3,2,0,9.1%,2,0,0,12.5%,All Eric Gray red zone rushing plays
Justice Hill,BAL,5,9,0,5.9%,3,9,0,6.8%,1,1,0,5.3%,All Justice Hill red zone rushing plays
Drake Maye,NWE,5,34,2,7.6%,2,10,1,6.9%,0,0,0,.0%,All Drake Maye red zone rushing plays
Sincere McCormick,LVR,5,9,0,8.5%,2,2,0,5.9%,2,2,0,10.0%,All Sincere McCormick red zone rushing plays
Dare Ogunbowale,HOU,5,3,0,6.0%,2,-2,0,5.1%,0,0,0,.0%,All Dare Ogunbowale red zone rushing plays
Cooper Rush,DAL,5,3,0,9.3%,2,8,0,7.7%,0,0,0,.0%,All Cooper Rush red zone rushing plays
Sean Tucker,TAM,5,16,2,6.5%,3,5,2,7.0%,2,0,1,10.0%,All Sean Tucker red zone rushing plays
Deshaun Watson,CLE,5,15,1,10.4%,2,3,1,6.3%,1,1,1,7.1%,All Deshaun Watson red zone rushing plays
Malik Willis,GNB,5,9,1,5.2%,3,3,1,5.2%,1,-1,0,3.8%,All Malik Willis red zone rushing plays
Jaylen Wright,MIA,5,13,0,7.2%,0,0,0,.0%,0,0,0,.0%,All Jaylen Wright red zone rushing plays
Michael Burton,DEN,4,3,1,5.5%,4,3,1,12.1%,3,3,1,14.3%,All Michael Burton red zone rushing plays
Derek Carr,NOR,4,1,1,6.5%,3,1,1,9.7%,3,1,1,25.0%,All Derek Carr red zone rushing plays
Julius Chestnut,TEN,4,28,0,6.8%,1,-1,0,4.0%,1,-1,0,10.0%,All Julius Chestnut red zone rushing plays
Trevor Lawrence,JAX,4,11,3,6.0%,4,11,3,10.0%,3,5,2,13.6%,All Trevor Lawrence red zone rushing plays
Puka Nacua,LAR,4,25,1,4.5%,1,4,1,2.4%,1,4,1,4.3%,All Puka Nacua red zone rushing plays
Dameon Pierce,HOU,4,4,0,4.8%,1,-1,0,2.6%,0,0,0,.0%,All Dameon Pierce red zone rushing plays
Mason Rudolph,TEN,4,20,1,6.8%,1,1,0,4.0%,0,0,0,.0%,All Mason Rudolph red zone rushing plays
Mitchell Trubisky,BUF,4,1,0,3.6%,1,4,0,1.7%,0,0,0,.0%,All Mitchell Trubisky red zone rushing plays
Kimani Vidal,LAC,4,3,0,5.5%,1,-1,0,2.2%,0,0,0,.0%,All Kimani Vidal red zone rushing plays
Rasheen Ali,BAL,3,10,0,3.5%,0,0,0,.0%,0,0,0,.0%,All Rasheen Ali red zone rushing plays
Trey Benson,ARI,3,7,1,4.2%,1,1,1,3.4%,1,1,1,5.9%,All Trey Benson red zone rushing plays
Jacoby Brissett,NWE,3,-1,0,4.5%,1,-3,0,3.4%,1,-3,0,5.9%,All Jacoby Brissett red zone rushing plays
Kirk Cousins,ATL,3,-4,0,3.4%,3,-4,0,5.8%,0,0,0,.0%,All Kirk Cousins red zone rushing plays
Joshua Dobbs,SFO,3,14,2,3.1%,3,14,2,5.4%,1,1,1,4.2%,All Joshua Dobbs red zone rushing plays
Mecole Hardman,KAN,3,33,1,3.6%,0,0,0,.0%,0,0,0,.0%,All Mecole Hardman red zone rushing plays
Tyler Huntley,MIA,3,19,2,4.3%,1,1,1,2.6%,1,1,1,5.6%,All Tyler Huntley red zone rushing plays
Jermar Jefferson,DET,3,9,0,2.7%,3,9,0,4.6%,1,-2,0,2.9%,All Jermar Jefferson red zone rushing plays
Kyle Juszczyk,SFO,3,6,1,3.1%,3,6,1,5.4%,2,0,0,8.3%,All Kyle Juszczyk red zone rushing plays
Hunter Luepke,DAL,3,6,0,5.6%,2,2,0,7.7%,1,0,0,8.3%,All Hunter Luepke red zone rushing plays
Kenny McIntosh,SEA,3,4,0,5.6%,0,0,0,.0%,0,0,0,.0%,All Kenny McIntosh red zone rushing plays
Davis Mills,HOU,3,11,0,3.6%,1,9,0,2.6%,0,0,0,.0%,All Davis Mills red zone rushing plays
Kendre Miller,NOR,3,0,1,4.8%,1,8,1,3.2%,0,0,0,.0%,All Kendre Miller red zone rushing plays
Joe Milton,NWE,3,2,1,4.5%,2,1,1,6.9%,2,1,1,11.8%,All Joe Milton red zone rushing plays
Jayden Reed,GNB,3,1,0,3.1%,1,-5,0,1.7%,0,0,0,.0%,All Jayden Reed red zone rushing plays
Ronnie Rivers,LAR,3,17,0,3.4%,1,2,0,2.4%,0,0,0,.0%,All Ronnie Rivers red zone rushing plays
Rashid Shaheed,NOR,3,17,0,4.8%,0,0,0,.0%,0,0,0,.0%,All Rashid Shaheed red zone rushing plays
Sterling Shepard,TAM,3,10,0,3.9%,0,0,0,.0%,0,0,0,.0%,All Sterling Shepard red zone rushing plays
Will Shipley,PHI,3,9,0,2.3%,0,0,0,.0%,0,0,0,.0%,All Will Shipley red zone rushing plays
Kyle Trask,TAM,3,-2,0,3.9%,0,0,0,.0%,0,0,0,.0%,All Kyle Trask red zone rushing plays
Tre Tucker,LVR,3,21,1,5.1%,1,3,1,2.9%,1,3,1,5.0%,All Tre Tucker red zone rushing plays
DJ Turner,LVR,3,27,1,5.1%,0,0,0,.0%,0,0,0,.0%,All DJ Turner red zone rushing plays
Deuce Vaughn,DAL,3,16,0,5.6%,1,1,0,3.8%,0,0,0,.0%,All Deuce Vaughn red zone rushing plays
Jameis Winston,CLE,3,8,1,6.3%,3,8,1,9.4%,1,2,1,7.1%,All Jameis Winston red zone rushing plays
Mike Boone,CAR,2,8,0,3.1%,1,1,0,2.4%,0,0,0,.0%,All Mike Boone red zone rushing plays
Jonathon Brooks,CAR,2,2,0,3.1%,2,2,0,4.9%,1,0,0,4.5%,All Jonathon Brooks red zone rushing plays
Malachi Corley,NYJ,2,26,0,5.6%,0,0,0,.0%,0,0,0,.0%,All Malachi Corley red zone rushing plays
Isaiah Davis,NYJ,2,18,1,5.6%,0,0,0,.0%,0,0,0,.0%,All Isaiah Davis red zone rushing plays
Greg Dortch,ARI,2,10,0,2.8%,1,6,0,3.4%,0,0,0,.0%,All Greg Dortch red zone rushing plays
Joe Flacco,IND,2,3,0,2.0%,0,0,0,.0%,0,0,0,.0%,All Joe Flacco red zone rushing plays
Zay Flowers,BAL,2,-1,0,2.4%,0,0,0,.0%,0,0,0,.0%,All Zay Flowers red zone rushing plays
Alec Ingold,MIA,2,2,1,2.9%,1,3,1,2.6%,1,3,1,5.6%,All Alec Ingold red zone rushing plays
Mac Jones,JAX,2,1,1,3.0%,2,1,1,5.0%,2,1,1,9.1%,All Mac Jones red zone rushing plays
Trey Lance,DAL,2,5,0,3.7%,1,-3,0,3.8%,1,-3,0,8.3%,All Trey Lance red zone rushing plays
Drew Lock,NYG,2,13,2,3.6%,2,13,2,6.1%,0,0,0,.0%,All Drew Lock red zone rushing plays
Marcus Mariota,WAS,2,1,1,1.6%,2,1,1,2.9%,0,0,0,.0%,All Marcus Mariota red zone rushing plays
Gardner Minshew,LVR,2,10,0,3.4%,1,4,0,2.9%,0,0,0,.0%,All Gardner Minshew red zone rushing plays
Adonai Mitchell,IND,2,6,0,2.0%,0,0,0,.0%,0,0,0,.0%,All Adonai Mitchell red zone rushing plays
Jalen Nailor,MIN,2,-7,0,3.0%,1,0,0,2.8%,1,0,0,5.9%,All Jalen Nailor red zone rushing plays
Aidan O'Connell,LVR,2,2,1,3.4%,1,1,1,2.9%,1,1,1,5.0%,All Aidan O'Connell red zone rushing plays
Michael Penix,ATL,2,5,1,2.3%,2,5,1,3.8%,1,0,0,5.0%,All Michael Penix red zone rushing plays
Samaje Perine,KAN,2,5,1,2.4%,1,2,1,2.5%,1,2,1,4.0%,All Samaje Perine red zone rushing plays
Kenny Pickett,PHI,2,1,1,1.5%,2,1,1,3.0%,2,1,1,5.7%,All Kenny Pickett red zone rushing plays
Dak Prescott,DAL,2,4,1,3.7%,2,4,1,7.7%,2,4,1,16.7%,All Dak Prescott red zone rushing plays
Aaron Rodgers,NYJ,2,3,0,5.6%,0,0,0,.0%,0,0,0,.0%,All Aaron Rodgers red zone rushing plays
Darius Slayton,NYG,2,17,0,3.6%,1,6,0,3.0%,0,0,0,.0%,All Darius Slayton red zone rushing plays
Tua Tagovailoa,MIA,2,9,0,2.9%,0,0,0,.0%,0,0,0,.0%,All Tua Tagovailoa red zone rushing plays
J.J. Taylor,HOU,2,11,0,2.4%,1,4,0,2.6%,0,0,0,.0%,All J.J. Taylor red zone rushing plays
Dorian Thompson-Robinson,CLE,2,14,0,4.2%,1,8,0,3.1%,0,0,0,.0%,All Dorian Thompson-Robinson red zone rushing plays
Carson Wentz,KAN,2,-2,0,2.4%,0,0,0,.0%,0,0,0,.0%,All Carson Wentz red zone rushing plays
Jeff Wilson,MIA,2,-3,0,2.9%,2,-3,0,5.1%,0,0,0,.0%,All Jeff Wilson red zone rushing plays
Jordan Addison,MIN,1,7,1,1.5%,1,7,1,2.8%,0,0,0,.0%,All Jordan Addison red zone rushing plays
Mark Andrews,BAL,1,0,0,1.2%,1,0,0,2.3%,0,0,0,.0%,All Mark Andrews red zone rushing plays
Tutu Atwell,LAR,1,7,0,1.1%,0,0,0,.0%,0,0,0,.0%,All Tutu Atwell red zone rushing plays
Raheem Blackshear,CAR,1,0,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Raheem Blackshear red zone rushing plays
Brandin Cooks,DAL,1,-3,0,1.9%,0,0,0,.0%,0,0,0,.0%,All Brandin Cooks red zone rushing plays
DeeJay Dallas,ARI,1,3,0,1.4%,0,0,0,.0%,0,0,0,.0%,All DeeJay Dallas red zone rushing plays
Derius Davis,LAC,1,-1,0,1.4%,1,-1,0,2.2%,0,0,0,.0%,All Derius Davis red zone rushing plays
Tank Dell,HOU,1,4,0,1.2%,0,0,0,.0%,0,0,0,.0%,All Tank Dell red zone rushing plays
Tommy DeVito,NYG,1,17,0,1.8%,0,0,0,.0%,0,0,0,.0%,All Tommy DeVito red zone rushing plays
Stefon Diggs,HOU,1,6,1,1.2%,1,6,1,2.6%,0,0,0,.0%,All Stefon Diggs red zone rushing plays
Ashton Dulin,IND,1,12,0,1.0%,0,0,0,.0%,0,0,0,.0%,All Ashton Dulin red zone rushing plays
Devin Duvernay,JAX,1,3,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Devin Duvernay red zone rushing plays
Myles Gaskin,MIN,1,0,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Myles Gaskin red zone rushing plays
Reggie Gilliam,BUF,1,4,0,.9%,1,4,0,1.7%,0,0,0,.0%,All Reggie Gilliam red zone rushing plays
C.J. Ham,MIN,1,2,1,1.5%,1,2,1,2.8%,1,2,1,5.9%,All C.J. Ham red zone rushing plays
Terrell Jennings,NWE,1,0,0,1.5%,1,0,0,3.4%,0,0,0,.0%,All Terrell Jennings red zone rushing plays
Josh Johnson,BAL,1,-1,0,1.2%,0,0,0,.0%,0,0,0,.0%,All Josh Johnson red zone rushing plays
Travis Kelce,KAN,1,1,0,1.2%,1,1,0,2.5%,1,1,0,4.0%,All Travis Kelce red zone rushing plays
Cooper Kupp,LAR,1,1,0,1.1%,0,0,0,.0%,0,0,0,.0%,All Cooper Kupp red zone rushing plays
CeeDee Lamb,DAL,1,3,0,1.9%,0,0,0,.0%,0,0,0,.0%,All CeeDee Lamb red zone rushing plays
Tyreik McAllister,LVR,1,10,0,1.7%,0,0,0,.0%,0,0,0,.0%,All Tyreik McAllister red zone rushing plays
Trey McBride,ARI,1,2,1,1.4%,1,2,1,3.4%,1,2,1,5.9%,All Trey McBride red zone rushing plays
Ray-Ray McCloud,ATL,1,14,0,1.1%,0,0,0,.0%,0,0,0,.0%,All Ray-Ray McCloud red zone rushing plays
Jalen McMillan,TAM,1,6,0,1.3%,0,0,0,.0%,0,0,0,.0%,All Jalen McMillan red zone rushing plays
Jordan Mims,NOR,1,3,0,1.6%,0,0,0,.0%,0,0,0,.0%,All Jordan Mims red zone rushing plays
David Moore,CAR,1,0,0,1.5%,1,0,0,2.4%,0,0,0,.0%,All David Moore red zone rushing plays
Malik Nabers,NYG,1,-2,0,1.8%,1,-2,0,3.0%,0,0,0,.0%,All Malik Nabers red zone rushing plays
Cordarrelle Patterson,PIT,1,-2,0,1.1%,1,-2,0,1.9%,0,0,0,.0%,All Cordarrelle Patterson red zone rushing plays
Ricky Pearsall,SFO,1,4,0,1.0%,0,0,0,.0%,0,0,0,.0%,All Ricky Pearsall red zone rushing plays
Ja'Lynn Polk,NWE,1,0,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Ja'Lynn Polk red zone rushing plays
Jalen Reagor,LAC,1,1,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Jalen Reagor red zone rushing plays
Desmond Ridder,LVR,1,3,0,1.7%,1,3,0,2.9%,0,0,0,.0%,All Desmond Ridder red zone rushing plays
Calvin Ridley,TEN,1,10,1,1.7%,1,10,1,4.0%,0,0,0,.0%,All Calvin Ridley red zone rushing plays
Drew Sample,CIN,1,-4,0,1.4%,1,-4,0,2.3%,0,0,0,.0%,All Drew Sample red zone rushing plays
Curtis Samuel,BUF,1,0,0,.9%,1,0,0,1.7%,0,0,0,.0%,All Curtis Samuel red zone rushing plays
Aaron Shampklin,PIT,1,-2,0,1.1%,1,-2,0,1.9%,1,-2,0,5.9%,All Aaron Shampklin red zone rushing plays
DeVonta Smith,PHI,1,1,0,.8%,0,0,0,.0%,0,0,0,.0%,All DeVonta Smith red zone rushing plays
Jonnu Smith,MIA,1,0,0,1.4%,1,0,0,2.6%,0,0,0,.0%,All Jonnu Smith red zone rushing plays
Amon-Ra St. Brown,DET,1,10,0,.9%,0,0,0,.0%,0,0,0,.0%,All Amon-Ra St. Brown red zone rushing plays
Tyrod Taylor,NYJ,1,7,0,2.8%,1,7,0,6.3%,0,0,0,.0%,All Tyrod Taylor red zone rushing plays
Deven Thompkins,CAR,1,9,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Deven Thompkins red zone rushing plays
Clayton Tune,ARI,1,-6,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Clayton Tune red zone rushing plays
KaVontae Turpin,DAL,1,0,0,1.9%,0,0,0,.0%,0,0,0,.0%,All KaVontae Turpin red zone rushing plays
Jaylen Waddle,MIA,1,3,0,1.4%,1,3,0,2.6%,0,0,0,.0%,All Jaylen Waddle red zone rushing plays
