Player,Tm,Inside 20 Att,Inside 20 Yds,Inside 20 TD,Inside 20 %Rush,Inside 10 Att,Inside 10 Yds,Inside 10 TD,Inside 10 %Rush,Inside 5 Att,Inside 5 Yds,Inside 5 TD,Inside 5 %Rush,Link
Javonte Williams,DEN,37,78,3,49.3%,17,28,3,47.2%,8,8,3,50.0%,All Javonte Williams red zone rushing plays
Derrick Henry,TEN,36,92,10,67.9%,24,36,8,75.0%,12,5,6,70.6%,All Derrick Henry red zone rushing plays
Josh Jacobs,LVR,36,66,5,56.3%,22,33,5,59.5%,8,11,5,53.3%,All Josh Jacobs red zone rushing plays
Alvin Kamara,NOR,36,118,5,39.6%,22,49,4,40.0%,8,5,3,40.0%,All Alvin Kamara red zone rushing plays
Josh Allen,BUF,35,137,15,32.7%,21,56,12,32.8%,14,19,8,43.8%,All Josh Allen red zone rushing plays
D'Andre Swift,PHI,35,112,5,33.7%,27,60,5,40.3%,10,4,2,33.3%,All D'Andre Swift red zone rushing plays
Tyler Allgeier,ATL,34,105,3,43.0%,10,16,3,27.8%,4,3,2,36.4%,All Tyler Allgeier red zone rushing plays
AJ Dillon,GNB,34,62,2,39.1%,18,27,2,52.9%,7,2,1,41.2%,All AJ Dillon red zone rushing plays
Aaron Jones,GNB,34,113,2,39.1%,10,12,2,29.4%,6,3,2,35.3%,All Aaron Jones red zone rushing plays
Chuba Hubbard,CAR,33,77,5,57.9%,17,38,5,58.6%,8,-1,3,50.0%,All Chuba Hubbard red zone rushing plays
James Conner,ARI,32,91,6,55.2%,18,39,6,54.5%,9,10,4,50.0%,All James Conner red zone rushing plays
Kareem Hunt,CLE,32,78,9,48.5%,15,29,8,48.4%,11,15,7,64.7%,All Kareem Hunt red zone rushing plays
Devin Singletary,HOU,32,91,4,41.6%,17,21,3,39.5%,7,2,2,30.4%,All Devin Singletary red zone rushing plays
James Cook,BUF,31,74,1,29.0%,18,38,1,28.1%,4,1,1,12.5%,All James Cook red zone rushing plays
Austin Ekeler,LAC,30,47,5,42.3%,24,38,5,53.3%,13,14,5,56.5%,All Austin Ekeler red zone rushing plays
Lamar Jackson,BAL,30,114,5,28.0%,13,46,5,21.0%,5,0,1,16.7%,All Lamar Jackson red zone rushing plays
Jonathan Taylor,IND,28,75,6,30.8%,14,20,6,29.8%,9,6,4,34.6%,All Jonathan Taylor red zone rushing plays
Taysom Hill,NOR,27,81,3,29.7%,18,22,3,32.7%,7,3,3,35.0%,All Taysom Hill red zone rushing plays
Brian Robinson,WAS,26,97,5,46.4%,13,26,3,50.0%,7,9,2,46.7%,All Brian Robinson red zone rushing plays
Kenneth Gainwell,PHI,23,53,2,22.1%,10,19,1,14.9%,3,0,1,10.0%,All Kenneth Gainwell red zone rushing plays
Alexander Mattison,MIN,23,21,0,45.1%,12,-5,0,42.9%,9,-7,0,56.3%,All Alexander Mattison red zone rushing plays
Bijan Robinson,ATL,23,74,4,29.1%,12,38,3,33.3%,2,3,1,18.2%,All Bijan Robinson red zone rushing plays
Zach Charbonnet,SEA,22,14,1,31.9%,13,0,1,35.1%,3,-5,1,17.6%,All Zach Charbonnet red zone rushing plays
Justin Fields,CHI,22,56,4,28.9%,11,13,3,28.2%,5,1,2,25.0%,All Justin Fields red zone rushing plays
Dameon Pierce,HOU,22,22,2,28.6%,14,15,2,32.6%,8,-1,2,34.8%,All Dameon Pierce red zone rushing plays
Ezekiel Elliott,NWE,21,44,3,50.0%,11,28,3,57.9%,4,4,2,57.1%,All Ezekiel Elliott red zone rushing plays
Breece Hall,NYJ,21,44,2,56.8%,10,14,2,66.7%,1,2,1,50.0%,All Breece Hall red zone rushing plays
Justice Hill,BAL,20,71,3,18.7%,11,24,2,17.7%,4,4,2,13.3%,All Justice Hill red zone rushing plays
Latavius Murray,BUF,20,41,4,18.7%,17,31,4,26.6%,11,10,4,34.4%,All Latavius Murray red zone rushing plays
De'Von Achane,MIA,19,81,5,20.9%,11,36,5,19.0%,4,9,3,14.8%,All De'Von Achane red zone rushing plays
Rhamondre Stevenson,NWE,18,54,3,42.9%,8,25,3,42.1%,3,3,2,42.9%,All Rhamondre Stevenson red zone rushing plays
Russell Wilson,DEN,18,23,3,24.0%,7,10,3,19.4%,4,6,3,25.0%,All Russell Wilson red zone rushing plays
D'Onta Foreman,CHI,17,47,4,22.4%,10,25,4,25.6%,6,7,4,30.0%,All D'Onta Foreman red zone rushing plays
Jaylen Warren,PIT,17,65,3,23.9%,8,4,0,20.5%,4,-4,0,25.0%,All Jaylen Warren red zone rushing plays
Jerome Ford,CLE,16,24,3,24.2%,10,23,3,32.3%,4,11,3,23.5%,All Jerome Ford red zone rushing plays
Baker Mayfield,TAM,16,1,1,25.4%,5,7,1,20.0%,3,-1,1,25.0%,All Baker Mayfield red zone rushing plays
Elijah Mitchell,SFO,16,36,2,15.8%,12,20,2,21.4%,8,6,2,25.0%,All Elijah Mitchell red zone rushing plays
Rico Dowdle,DAL,15,42,2,14.6%,6,10,2,12.0%,4,2,2,16.7%,All Rico Dowdle red zone rushing plays
Khalil Herbert,CHI,15,45,2,19.7%,5,10,1,12.8%,1,1,1,5.0%,All Khalil Herbert red zone rushing plays
Royce Freeman,LAR,14,24,1,17.1%,9,7,1,17.6%,4,2,1,18.2%,All Royce Freeman red zone rushing plays
Joshua Kelley,LAC,14,45,1,19.7%,7,13,1,15.6%,3,3,1,13.0%,All Joshua Kelley red zone rushing plays
Trevor Lawrence,JAX,14,28,4,20.6%,10,15,4,30.3%,4,-1,2,26.7%,All Trevor Lawrence red zone rushing plays
Patrick Mahomes,KAN,13,16,0,18.1%,8,-13,0,21.1%,5,-8,0,27.8%,All Patrick Mahomes red zone rushing plays
Dak Prescott,DAL,13,67,2,12.6%,7,31,1,14.0%,2,3,0,8.3%,All Dak Prescott red zone rushing plays
Desmond Ridder,ATL,12,55,5,15.2%,7,31,5,19.4%,2,2,1,18.2%,All Desmond Ridder red zone rushing plays
Zamir White,LVR,12,17,1,18.8%,7,6,1,18.9%,3,-1,1,20.0%,All Zamir White red zone rushing plays
Jamaal Williams,NOR,12,27,1,13.2%,7,14,1,12.7%,2,2,1,10.0%,All Jamaal Williams red zone rushing plays
Joshua Dobbs,2TM,11,53,4,,4,18,3,,2,1,1,,All Joshua Dobbs red zone rushing plays
Justin Herbert,LAC,11,35,3,15.5%,6,4,2,13.3%,5,2,2,21.7%,All Justin Herbert red zone rushing plays
Roschon Johnson,CHI,11,26,2,14.5%,7,17,2,17.9%,5,6,2,25.0%,All Roschon Johnson red zone rushing plays
Kyler Murray,ARI,11,25,3,19.0%,9,6,3,27.3%,5,-11,2,27.8%,All Kyler Murray red zone rushing plays
Samaje Perine,DEN,11,38,1,14.7%,7,13,1,19.4%,3,2,1,18.8%,All Samaje Perine red zone rushing plays
Miles Sanders,CAR,11,10,1,19.3%,7,7,1,24.1%,4,0,1,25.0%,All Miles Sanders red zone rushing plays
Jared Goff,DET,10,16,2,9.4%,4,9,2,6.6%,2,4,2,6.9%,All Jared Goff red zone rushing plays
Tank Bigsby,JAX,9,17,2,13.2%,4,9,2,12.1%,2,2,2,13.3%,All Tank Bigsby red zone rushing plays
Jake Browning,CIN,9,16,3,12.5%,7,11,3,14.9%,4,3,3,18.2%,All Jake Browning red zone rushing plays
Ty Chandler,MIN,9,15,3,17.6%,5,8,3,17.9%,3,5,3,18.8%,All Ty Chandler red zone rushing plays
Sam Howell,WAS,9,40,5,16.1%,5,19,4,19.2%,2,2,2,13.3%,All Sam Howell red zone rushing plays
Jordan Love,GNB,9,23,4,10.3%,5,15,4,14.7%,3,4,3,17.6%,All Jordan Love red zone rushing plays
Deebo Samuel,SFO,9,53,4,8.9%,2,3,2,3.6%,2,3,2,6.3%,All Deebo Samuel red zone rushing plays
Tyjae Spears,TEN,9,41,2,17.0%,5,10,1,15.6%,3,6,1,17.6%,All Tyjae Spears red zone rushing plays
C.J. Stroud,HOU,9,30,3,11.7%,6,15,3,14.0%,3,3,2,13.0%,All C.J. Stroud red zone rushing plays
Tua Tagovailoa,MIA,9,3,0,9.9%,6,1,0,10.3%,1,0,0,3.7%,All Tua Tagovailoa red zone rushing plays
Jeff Wilson,MIA,9,34,0,9.9%,2,2,0,3.4%,1,1,0,3.7%,All Jeff Wilson red zone rushing plays
Matt Breida,NYG,8,15,1,12.5%,1,8,1,4.5%,0,0,0,.0%,All Matt Breida red zone rushing plays
Dalvin Cook,NYJ,8,10,0,21.6%,2,6,0,13.3%,0,0,0,.0%,All Dalvin Cook red zone rushing plays
Antonio Gibson,WAS,8,24,1,14.3%,1,2,1,3.8%,1,2,1,6.7%,All Antonio Gibson red zone rushing plays
Daniel Jones,NYG,8,38,1,12.5%,2,3,0,9.1%,0,0,0,.0%,All Daniel Jones red zone rushing plays
Anthony Richardson,IND,8,44,4,8.8%,4,10,2,8.5%,3,5,2,11.5%,All Anthony Richardson red zone rushing plays
Geno Smith,SEA,8,25,1,11.6%,4,10,1,10.8%,0,0,0,.0%,All Geno Smith red zone rushing plays
Cam Akers,2TM,7,24,2,,5,11,2,,2,1,1,,All Cam Akers red zone rushing plays
Clyde Edwards-Helaire,KAN,7,11,1,9.7%,5,8,1,13.2%,2,1,1,11.1%,All Clyde Edwards-Helaire red zone rushing plays
Jaleel McLaughlin,DEN,7,21,1,9.3%,4,7,1,11.1%,0,0,0,.0%,All Jaleel McLaughlin red zone rushing plays
Gardner Minshew,IND,7,28,3,7.7%,5,9,2,10.6%,4,7,2,15.4%,All Gardner Minshew red zone rushing plays
Cordarrelle Patterson,ATL,7,7,0,8.9%,5,5,0,13.9%,2,-5,0,18.2%,All Cordarrelle Patterson red zone rushing plays
Chris Rodriguez,WAS,7,18,2,12.5%,4,1,1,15.4%,3,-1,1,20.0%,All Chris Rodriguez red zone rushing plays
Isaiah Spiller,LAC,7,24,0,9.9%,2,3,0,4.4%,0,0,0,.0%,All Isaiah Spiller red zone rushing plays
Patrick Taylor,GNB,7,13,0,8.0%,1,1,0,2.9%,1,1,0,5.9%,All Patrick Taylor red zone rushing plays
Derek Carr,NOR,6,5,0,6.6%,2,-3,0,3.6%,0,0,0,.0%,All Derek Carr red zone rushing plays
Melvin Gordon,BAL,6,1,1,5.6%,3,5,1,4.8%,0,0,0,.0%,All Melvin Gordon red zone rushing plays
Damien Harris,BUF,6,16,1,5.6%,4,7,1,6.3%,2,0,1,6.3%,All Damien Harris red zone rushing plays
Aidan O'Connell,LVR,6,-2,1,9.4%,3,1,1,8.1%,3,1,1,20.0%,All Aidan O'Connell red zone rushing plays
Brock Purdy,SFO,6,16,2,5.9%,3,8,2,5.4%,2,2,2,6.3%,All Brock Purdy red zone rushing plays
Craig Reynolds,DET,6,21,1,5.7%,5,8,1,8.2%,2,1,0,6.9%,All Craig Reynolds red zone rushing plays
Easton Stick,LAC,6,20,1,8.5%,5,11,1,11.1%,2,0,1,8.7%,All Easton Stick red zone rushing plays
Bryce Young,CAR,6,4,0,10.5%,4,0,0,13.8%,4,0,0,25.0%,All Bryce Young red zone rushing plays
Salvon Ahmed,MIA,5,18,1,5.5%,3,11,1,5.2%,1,0,0,3.7%,All Salvon Ahmed red zone rushing plays
Michael Carter,2TM,5,20,0,,1,-1,0,,0,0,0,,All Michael Carter red zone rushing plays
Leonard Fournette,BUF,5,20,0,4.7%,2,3,0,3.1%,1,0,0,3.1%,All Leonard Fournette red zone rushing plays
Darrell Henderson,LAR,5,9,2,6.1%,5,9,2,9.8%,3,2,2,13.6%,All Darrell Henderson red zone rushing plays
D'Ernest Johnson,JAX,5,10,0,7.4%,3,9,0,9.1%,0,0,0,.0%,All D'Ernest Johnson red zone rushing plays
Ty Johnson,BUF,5,10,0,4.7%,0,0,0,.0%,0,0,0,.0%,All Ty Johnson red zone rushing plays
Tony Jones,NOR,5,10,2,5.5%,5,10,2,9.1%,2,4,2,10.0%,All Tony Jones red zone rushing plays
Pierre Strong,CLE,5,-4,1,7.6%,2,1,1,6.5%,2,1,1,11.8%,All Pierre Strong red zone rushing plays
Tyson Bagent,CHI,4,6,2,5.3%,3,2,2,7.7%,3,2,2,15.0%,All Tyson Bagent red zone rushing plays
Chase Brown,CIN,4,-13,0,5.6%,1,-4,0,2.1%,0,0,0,.0%,All Chase Brown red zone rushing plays
Kirk Cousins,MIN,4,6,0,7.8%,3,4,0,10.7%,2,0,0,12.5%,All Kirk Cousins red zone rushing plays
Chase Edmonds,TAM,4,-4,0,6.3%,0,0,0,.0%,0,0,0,.0%,All Chase Edmonds red zone rushing plays
Darrynton Evans,CHI,4,28,1,5.3%,2,5,0,5.1%,0,0,0,.0%,All Darrynton Evans red zone rushing plays
Joe Flacco,CLE,4,6,0,6.1%,1,2,0,3.2%,0,0,0,.0%,All Joe Flacco red zone rushing plays
Tyler Goodson,IND,4,10,0,4.4%,1,1,0,2.1%,0,0,0,.0%,All Tyler Goodson red zone rushing plays
Tyler Huntley,BAL,4,5,0,3.7%,3,0,0,4.8%,1,-1,0,3.3%,All Tyler Huntley red zone rushing plays
Deon Jackson,IND,4,13,0,4.4%,2,4,0,4.3%,1,0,0,3.8%,All Deon Jackson red zone rushing plays
Jordan Mason,SFO,4,16,2,4.0%,2,11,2,3.6%,1,3,1,3.1%,All Jordan Mason red zone rushing plays
Kenny Pickett,PIT,4,1,1,5.6%,2,3,1,5.1%,2,3,1,12.5%,All Kenny Pickett red zone rushing plays
Curtis Samuel,WAS,4,18,1,7.1%,1,1,1,3.8%,1,1,1,6.7%,All Curtis Samuel red zone rushing plays
Kadarius Toney,KAN,4,-4,0,5.6%,1,0,0,2.6%,0,0,0,.0%,All Kadarius Toney red zone rushing plays
Mitchell Trubisky,PIT,4,9,2,5.6%,3,2,2,7.7%,3,2,2,18.8%,All Mitchell Trubisky red zone rushing plays
Deuce Vaughn,DAL,4,8,0,3.9%,1,0,0,2.0%,1,0,0,4.2%,All Deuce Vaughn red zone rushing plays
Andrew Beck,HOU,3,1,1,3.9%,3,1,1,7.0%,3,1,1,13.0%,All Andrew Beck red zone rushing plays
Nick Chubb,CLE,3,20,0,4.5%,2,9,0,6.5%,0,0,0,.0%,All Nick Chubb red zone rushing plays
Brandin Cooks,DAL,3,15,0,2.9%,0,0,0,.0%,0,0,0,.0%,All Brandin Cooks red zone rushing plays
Tommy DeVito,NYG,3,11,1,4.7%,2,12,1,9.1%,0,0,0,.0%,All Tommy DeVito red zone rushing plays
Jimmy Garoppolo,LVR,3,11,0,4.7%,2,3,0,5.4%,1,0,0,6.7%,All Jimmy Garoppolo red zone rushing plays
CeeDee Lamb,DAL,3,17,2,2.9%,2,3,1,4.0%,1,3,1,4.2%,All CeeDee Lamb red zone rushing plays
Will Levis,TEN,3,14,1,5.7%,2,3,1,6.3%,2,3,1,11.8%,All Will Levis red zone rushing plays
Jerick McKinnon,KAN,3,6,1,4.2%,1,7,1,2.6%,0,0,0,.0%,All Jerick McKinnon red zone rushing plays
Jakobi Meyers,LVR,3,22,2,4.7%,1,5,1,2.7%,0,0,0,.0%,All Jakobi Meyers red zone rushing plays
Kendre Miller,NOR,3,12,1,3.3%,1,3,1,1.8%,1,3,1,5.0%,All Kendre Miller red zone rushing plays
Keaton Mitchell,BAL,3,3,0,2.8%,0,0,0,.0%,0,0,0,.0%,All Keaton Mitchell red zone rushing plays
Puka Nacua,LAR,3,9,0,3.7%,0,0,0,.0%,0,0,0,.0%,All Puka Nacua red zone rushing plays
Mason Rudolph,PIT,3,8,0,4.2%,2,6,0,5.1%,0,0,0,.0%,All Mason Rudolph red zone rushing plays
Laviska Shenault,CAR,3,18,0,5.3%,1,7,0,3.4%,0,0,0,.0%,All Laviska Shenault red zone rushing plays
Matthew Stafford,LAR,3,4,0,3.7%,2,2,0,3.9%,1,0,0,4.5%,All Matthew Stafford red zone rushing plays
Tyrod Taylor,NYG,3,15,0,4.7%,0,0,0,.0%,0,0,0,.0%,All Tyrod Taylor red zone rushing plays
Deven Thompkins,TAM,3,21,0,4.8%,0,0,0,.0%,0,0,0,.0%,All Deven Thompkins red zone rushing plays
Deshaun Watson,CLE,3,27,1,4.5%,0,0,0,.0%,0,0,0,.0%,All Deshaun Watson red zone rushing plays
Carson Wentz,LAR,3,19,1,3.7%,1,4,0,2.0%,0,0,0,.0%,All Carson Wentz red zone rushing plays
Jamal Agnew,JAX,2,-2,0,2.9%,0,0,0,.0%,0,0,0,.0%,All Jamal Agnew red zone rushing plays
Kyle Allen,BUF,2,-2,0,1.9%,0,0,0,.0%,0,0,0,.0%,All Kyle Allen red zone rushing plays
Raheem Blackshear,CAR,2,2,0,3.5%,0,0,0,.0%,0,0,0,.0%,All Raheem Blackshear red zone rushing plays
Brandon Bolden,LVR,2,6,0,3.1%,2,6,0,5.4%,0,0,0,.0%,All Brandon Bolden red zone rushing plays
Chris Brooks,MIA,2,0,0,2.2%,2,0,0,3.4%,0,0,0,.0%,All Chris Brooks red zone rushing plays
Joe Burrow,CIN,2,4,0,2.8%,0,0,0,.0%,0,0,0,.0%,All Joe Burrow red zone rushing plays
Tank Dell,HOU,2,6,0,2.6%,0,0,0,.0%,0,0,0,.0%,All Tank Dell red zone rushing plays
Emari Demercado,ARI,2,10,1,3.4%,1,-1,0,3.0%,1,-1,0,5.6%,All Emari Demercado red zone rushing plays
Erik Ezukanma,MIA,2,11,0,2.2%,1,-1,0,1.7%,1,-1,0,3.7%,All Erik Ezukanma red zone rushing plays
Zay Flowers,BAL,2,9,0,1.9%,1,6,0,1.6%,0,0,0,.0%,All Zay Flowers red zone rushing plays
Xavier Gipson,NYJ,2,23,1,5.4%,1,9,1,6.7%,0,0,0,.0%,All Xavier Gipson red zone rushing plays
Eric Gray,NYG,2,4,0,3.1%,0,0,0,.0%,0,0,0,.0%,All Eric Gray red zone rushing plays
Kevin Harris,NWE,2,20,1,4.8%,0,0,0,.0%,0,0,0,.0%,All Kevin Harris red zone rushing plays
DeAndre Hopkins,TEN,2,9,0,3.8%,1,4,0,3.1%,0,0,0,.0%,All DeAndre Hopkins red zone rushing plays
Xavier Hutchinson,HOU,2,8,0,2.6%,1,3,0,2.3%,1,3,0,4.3%,All Xavier Hutchinson red zone rushing plays
Keaontay Ingram,ARI,2,7,0,3.4%,1,-1,0,3.0%,0,0,0,.0%,All Keaontay Ingram red zone rushing plays
Kyle Juszczyk,SFO,2,3,0,2.0%,2,3,0,3.6%,1,0,0,3.1%,All Kyle Juszczyk red zone rushing plays
Hunter Luepke,DAL,2,4,1,1.9%,2,4,1,4.0%,2,4,1,8.3%,All Hunter Luepke red zone rushing plays
Nick Mullens,MIN,2,3,0,3.9%,1,1,0,3.6%,0,0,0,.0%,All Nick Mullens red zone rushing plays
Dare Ogunbowale,HOU,2,3,0,2.6%,0,0,0,.0%,0,0,0,.0%,All Dare Ogunbowale red zone rushing plays
La'Mical Perine,KAN,2,0,0,2.8%,2,0,0,5.3%,2,0,0,11.1%,All La'Mical Perine red zone rushing plays
Jayden Reed,GNB,2,15,1,2.3%,0,0,0,.0%,0,0,0,.0%,All Jayden Reed red zone rushing plays
Boston Scott,PHI,2,-6,0,1.9%,1,-7,0,1.5%,1,-7,0,3.3%,All Boston Scott red zone rushing plays
Ryan Tannehill,TEN,2,11,1,3.8%,0,0,0,.0%,0,0,0,.0%,All Ryan Tannehill red zone rushing plays
Dorian Thompson-Robinson,CLE,2,3,0,3.0%,1,3,0,3.2%,0,0,0,.0%,All Dorian Thompson-Robinson red zone rushing plays
KaVontae Turpin,DAL,2,13,1,1.9%,1,7,1,2.0%,0,0,0,.0%,All KaVontae Turpin red zone rushing plays
Zach Wilson,NYJ,2,8,0,5.4%,1,6,0,6.7%,0,0,0,.0%,All Zach Wilson red zone rushing plays
Jameis Winston,NOR,2,-3,0,2.2%,0,0,0,.0%,0,0,0,.0%,All Jameis Winston red zone rushing plays
Jordan Addison,MIN,1,2,0,2.0%,0,0,0,.0%,0,0,0,.0%,All Jordan Addison red zone rushing plays
Keenan Allen,LAC,1,4,0,1.4%,1,4,0,2.2%,0,0,0,.0%,All Keenan Allen red zone rushing plays
Mark Andrews,BAL,1,0,0,.9%,0,0,0,.0%,0,0,0,.0%,All Mark Andrews red zone rushing plays
Tutu Atwell,LAR,1,0,0,1.2%,0,0,0,.0%,0,0,0,.0%,All Tutu Atwell red zone rushing plays
Calvin Austin,PIT,1,7,1,1.4%,1,7,1,2.6%,0,0,0,.0%,All Calvin Austin red zone rushing plays
Nick Bawden,NYJ,1,1,1,2.7%,1,1,1,6.7%,1,1,1,50.0%,All Nick Bawden red zone rushing plays
Jake Bobo,SEA,1,3,1,1.4%,1,3,1,2.7%,1,3,1,5.9%,All Jake Bobo red zone rushing plays
Mike Boone,HOU,1,0,0,1.3%,0,0,0,.0%,0,0,0,.0%,All Mike Boone red zone rushing plays
Tim Boyle,NYJ,1,2,0,2.7%,0,0,0,.0%,0,0,0,.0%,All Tim Boyle red zone rushing plays
Jacoby Brissett,WAS,1,0,0,1.8%,1,0,0,3.8%,1,0,0,6.7%,All Jacoby Brissett red zone rushing plays
Noah Brown,HOU,1,-1,0,1.3%,0,0,0,.0%,0,0,0,.0%,All Noah Brown red zone rushing plays
Treylon Burks,TEN,1,-3,0,1.9%,0,0,0,.0%,0,0,0,.0%,All Treylon Burks red zone rushing plays
DeAndre Carter,LVR,1,3,0,1.6%,0,0,0,.0%,0,0,0,.0%,All DeAndre Carter red zone rushing plays
Jashaun Corbin,NYG,1,1,0,1.6%,1,1,0,4.5%,0,0,0,.0%,All Jashaun Corbin red zone rushing plays
Sam Darnold,SFO,1,1,1,1.0%,1,1,1,1.8%,1,1,1,3.1%,All Sam Darnold red zone rushing plays
Derius Davis,LAC,1,1,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Derius Davis red zone rushing plays
Stefon Diggs,BUF,1,5,0,.9%,1,5,0,1.6%,0,0,0,.0%,All Stefon Diggs red zone rushing plays
J.K. Dobbins,BAL,1,4,1,.9%,1,4,1,1.6%,1,4,1,3.3%,All J.K. Dobbins red zone rushing plays
Elijah Dotson,LAC,1,1,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Elijah Dotson red zone rushing plays
Devin Duvernay,BAL,1,0,0,.9%,0,0,0,.0%,0,0,0,.0%,All Devin Duvernay red zone rushing plays
Chris Godwin,TAM,1,19,1,1.6%,0,0,0,.0%,0,0,0,.0%,All Chris Godwin red zone rushing plays
Dallas Goedert,PHI,1,1,0,1.0%,0,0,0,.0%,0,0,0,.0%,All Dallas Goedert red zone rushing plays
Derrick Gore,WAS,1,0,0,1.8%,1,0,0,3.8%,0,0,0,.0%,All Derrick Gore red zone rushing plays
Noah Gray,KAN,1,1,0,1.4%,1,1,0,2.6%,0,0,0,.0%,All Noah Gray red zone rushing plays
Jaren Hall,MIN,1,3,0,2.0%,1,3,0,3.6%,1,3,0,6.3%,All Jaren Hall red zone rushing plays
Deonte Harty,BUF,1,-3,0,.9%,1,-3,0,1.6%,0,0,0,.0%,All Deonte Harty red zone rushing plays
Taylor Heinicke,ATL,1,11,0,1.3%,0,0,0,.0%,0,0,0,.0%,All Taylor Heinicke red zone rushing plays
Peyton Hendershot,DAL,1,0,0,1.0%,1,0,0,2.0%,1,0,0,4.2%,All Peyton Hendershot red zone rushing plays
Tyreek Hill,MIA,1,-10,0,1.1%,0,0,0,.0%,0,0,0,.0%,All Tyreek Hill red zone rushing plays
KhaDarel Hodge,ATL,1,0,0,1.3%,1,0,0,2.8%,0,0,0,.0%,All KhaDarel Hodge red zone rushing plays
Justin Jefferson,MIN,1,-12,0,2.0%,1,-12,0,3.6%,0,0,0,.0%,All Justin Jefferson red zone rushing plays
Case Keenum,HOU,1,1,0,1.3%,1,1,0,2.3%,1,1,0,4.3%,All Case Keenum red zone rushing plays
Cole Kmet,CHI,1,1,0,1.3%,1,1,0,2.6%,0,0,0,.0%,All Cole Kmet red zone rushing plays
Cooper Kupp,LAR,1,-3,0,1.2%,0,0,0,.0%,0,0,0,.0%,All Cooper Kupp red zone rushing plays
John Metchie,HOU,1,4,0,1.3%,0,0,0,.0%,0,0,0,.0%,All John Metchie red zone rushing plays
Davis Mills,HOU,1,9,0,1.3%,1,9,0,2.3%,0,0,0,.0%,All Davis Mills red zone rushing plays
Marvin Mims,DEN,1,8,0,1.3%,0,0,0,.0%,0,0,0,.0%,All Marvin Mims red zone rushing plays
Darnell Mooney,CHI,1,3,0,1.3%,0,0,0,.0%,0,0,0,.0%,All Darnell Mooney red zone rushing plays
D.J. Moore,CHI,1,16,1,1.3%,0,0,0,.0%,0,0,0,.0%,All D.J. Moore red zone rushing plays
Elijah Moore,CLE,1,-20,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Elijah Moore red zone rushing plays
Rondale Moore,ARI,1,-1,0,1.7%,0,0,0,.0%,0,0,0,.0%,All Rondale Moore red zone rushing plays
Kalif Raymond,DET,1,-2,0,.9%,0,0,0,.0%,0,0,0,.0%,All Kalif Raymond red zone rushing plays
Calvin Ridley,JAX,1,3,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Calvin Ridley red zone rushing plays
Wan'Dale Robinson,NYG,1,7,0,1.6%,0,0,0,.0%,0,0,0,.0%,All Wan'Dale Robinson red zone rushing plays
Trey Sermon,IND,1,2,0,1.1%,0,0,0,.0%,0,0,0,.0%,All Trey Sermon red zone rushing plays
Khalil Shakir,BUF,1,10,0,.9%,0,0,0,.0%,0,0,0,.0%,All Khalil Shakir red zone rushing plays
