Quarter,Time,Down,ToGo,Location,CAR,DEN,Detail,EPB,EPA,week,year,game_id
2.0,2:22,2.0,8.0,CAR 8,7.0,14.0,"Javonte Williams left end for no gain (tackle by LaBryan Ray). Penalty on Shy Tuttle: Defensive Holding, 4 yards (accepted) (no play)",4.57,6.28,8.0,2024,121
2.0,2:00,1.0,4.0,CAR 4,7.0,14.0,Bo Nix scrambles right end for 3 yards (tackle by Demani Richardson),6.28,5.91,8.0,2024,121
2.0,1:47,,,,,,Timeout #3 by Carolina Panthers,,,8.0,2024,121
2.0,1:47,2.0,1.0,CAR 1,7.0,14.0,Javonte Williams right tackle for no gain (tackle by A'Shawn Robinson),5.91,5.17,8.0,2024,121
2.0,1:16,3.0,1.0,CAR 1,7.0,20.0,"Bo Nix up the middle for 1 yard, touchdown",5.17,7.0,8.0,2024,121
2.0,1:12,,,CAR 15,7.0,21.0,Wil Lutz kicks extra point good,0.0,0.0,8.0,2024,121
2.0,1:12,,,DEN 35,7.0,21.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,121
2.0,1:12,1.0,10.0,CAR 30,7.0,21.0,Bryce Young pass incomplete deep right intended for Xavier Legette,0.94,0.39,8.0,2024,121
2.0,1:08,2.0,10.0,CAR 30,7.0,21.0,Bryce Young pass complete short left to Chuba Hubbard for 2 yards (tackle by Justin Strnad),0.39,-0.03,8.0,2024,121
2.0,1:03,3.0,8.0,CAR 32,7.0,21.0,"Penalty on Brady Christensen: False Start, 5 yards (accepted) (no play)",-0.03,-0.69,8.0,2024,121
2.0,1:03,3.0,13.0,CAR 27,7.0,21.0,Bryce Young scrambles right end for 4 yards (tackle by Ja'Quan McMillian),-0.69,-1.31,8.0,2024,121
2.0,0:57,4.0,9.0,CAR 31,7.0,21.0,"Johnny Hekker punts 44 yards, fair catch by Marvin Mims at DEN-25",-1.31,-0.61,8.0,2024,121
2.0,0:50,1.0,10.0,DEN 25,7.0,21.0,Bo Nix pass complete short left to Courtland Sutton for no gain (tackle by Michael Jackson),0.61,0.06,8.0,2024,121
2.0,0:30,2.0,10.0,DEN 25,7.0,21.0,Bo Nix pass complete short middle to Devaughn Vele for 9 yards (tackle by Caleb Farley and Josey Jewell),0.06,0.56,8.0,2024,121
2.0,0:16,3.0,1.0,DEN 34,7.0,21.0,Bo Nix pass complete short right to Javonte Williams for 4 yards (tackle by Josey Jewell),0.56,1.47,8.0,2024,121
2.0,0:08,,,,,,Timeout #3 by Denver Broncos,,,8.0,2024,121
2.0,0:08,1.0,10.0,DEN 38,7.0,21.0,Bo Nix pass incomplete deep middle intended for Marvin Mims,1.47,0.92,8.0,2024,121
2.0,0:04,2.0,10.0,DEN 38,7.0,21.0,Bo Nix kneels for -1 yards,0.92,0.1,8.0,2024,121
3.0,15:00,,,DEN 35,7.0,21.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,121
3.0,15:00,1.0,10.0,CAR 30,7.0,21.0,Chuba Hubbard right guard for 2 yards (tackle by Brandon Jones and John Franklin-Myers),0.94,0.66,8.0,2024,121
3.0,14:19,2.0,8.0,CAR 32,7.0,21.0,Bryce Young sacked by Jonathon Cooper for -3 yards,0.66,-0.43,8.0,2024,121
3.0,13:34,,,,,,Timeout #1 by Carolina Panthers,,,8.0,2024,121
3.0,13:34,3.0,11.0,CAR 29,7.0,21.0,Bryce Young pass incomplete deep left intended for Jalen Coker,-0.43,-1.44,8.0,2024,121
3.0,13:30,4.0,11.0,CAR 29,7.0,21.0,"Johnny Hekker punts 50 yards, fair catch by Marvin Mims at DEN-21",-1.44,-0.34,8.0,2024,121
3.0,13:22,1.0,10.0,DEN 21,7.0,21.0,Javonte Williams right guard for 9 yards (tackle by Xavier Woods and Chau Smith-Wade),0.34,1.02,8.0,2024,121
3.0,12:45,2.0,1.0,DEN 30,7.0,21.0,Javonte Williams left tackle for no gain (tackle by DeShawn Williams and Demani Richardson),1.02,0.3,8.0,2024,121
3.0,12:02,3.0,1.0,DEN 30,7.0,21.0,Bo Nix left end for 2 yards (tackle by Jaycee Horn),0.3,1.07,8.0,2024,121
3.0,11:23,1.0,10.0,DEN 32,7.0,21.0,Bo Nix pass incomplete deep middle intended for Courtland Sutton,1.07,0.53,8.0,2024,121
3.0,11:15,2.0,10.0,DEN 32,7.0,21.0,Bo Nix pass complete short right to Marvin Mims for 8 yards (tackle by Chau Smith-Wade),0.53,0.89,8.0,2024,121
3.0,10:41,3.0,2.0,DEN 40,7.0,21.0,Bo Nix pass incomplete deep left intended for Troy Franklin,0.89,-0.72,8.0,2024,121
3.0,10:34,4.0,2.0,DEN 40,7.0,21.0,"Riley Dixon punts 60 yards, touchback.",-0.72,-0.28,8.0,2024,121
3.0,10:25,1.0,10.0,CAR 20,7.0,21.0,Bryce Young pass incomplete deep left intended for Xavier Legette,0.28,-0.27,8.0,2024,121
3.0,10:19,2.0,10.0,CAR 20,7.0,21.0,Chuba Hubbard left guard for 3 yards (tackle by Jonathon Cooper),-0.27,-0.56,8.0,2024,121
3.0,9:42,3.0,7.0,CAR 23,7.0,21.0,"Bryce Young pass complete short right to Jalen Coker for no gain (tackle by Brandon Jones). Penalty on Ikem Ekwonu: Offensive Holding, 10 yards (accepted) (no play)",-0.56,-2.19,8.0,2024,121
3.0,9:09,3.0,17.0,CAR 13,7.0,21.0,Bryce Young pass complete short middle to Miles Sanders for 11 yards (tackle by Levi Wallace and Devon Key),-2.19,-1.77,8.0,2024,121
3.0,8:29,4.0,6.0,CAR 24,7.0,21.0,Johnny Hekker pass incomplete short left intended for Sam Franklin,-1.77,-4.04,8.0,2024,121
3.0,8:24,1.0,10.0,CAR 23,7.0,21.0,Javonte Williams right tackle for 5 yards (tackle by Shy Tuttle),4.04,4.21,8.0,2024,121
3.0,7:49,2.0,5.0,CAR 18,7.0,21.0,Jaleel McLaughlin right guard for 4 yards (tackle by A'Shawn Robinson and Jadeveon Clowney),4.21,4.28,8.0,2024,121
3.0,7:17,3.0,1.0,CAR 14,7.0,21.0,Jaleel McLaughlin up the middle for 5 yards (tackle by Shy Tuttle),4.28,5.14,8.0,2024,121
3.0,6:55,1.0,9.0,CAR 9,7.0,27.0,"Bo Nix pass complete short right to Jaleel McLaughlin for 9 yards, touchdown",5.14,7.0,8.0,2024,121
3.0,6:49,,,CAR 15,7.0,28.0,Wil Lutz kicks extra point good,0.0,0.0,8.0,2024,121
3.0,6:49,,,DEN 35,7.0,28.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,121
3.0,6:49,1.0,10.0,CAR 30,7.0,28.0,Chuba Hubbard right tackle for 6 yards (tackle by Jonah Elliss and Brandon Jones),0.94,1.2,8.0,2024,121
3.0,6:02,2.0,4.0,CAR 36,7.0,28.0,"Penalty on Bryce Young: Delay of Game, 5 yards (accepted) (no play)",1.2,0.53,8.0,2024,121
3.0,5:41,2.0,9.0,CAR 31,7.0,28.0,Bryce Young pass incomplete short right,0.53,-0.16,8.0,2024,121
3.0,5:32,3.0,9.0,CAR 31,7.0,28.0,"Penalty on Bryce Young: Delay of Game, 5 yards (accepted) (no play)",-0.16,-0.82,8.0,2024,121
3.0,5:32,3.0,14.0,CAR 26,7.0,28.0,"Bryce Young pass complete deep left to Jalen Coker for 29 yards (tackle by Riley Moss). Penalty on Zach Allen: Roughing the Passer, 15 yards (accepted)",-0.82,3.58,8.0,2024,121
3.0,5:09,1.0,10.0,DEN 30,7.0,28.0,Bryce Young scrambles left end for 4 yards (tackle by D.J. Jones),3.58,3.57,8.0,2024,121
3.0,4:30,2.0,6.0,DEN 26,7.0,28.0,Chuba Hubbard right tackle for 3 yards (tackle by Brandon Jones and Riley Moss),3.57,3.27,8.0,2024,121
3.0,3:48,3.0,3.0,DEN 23,7.0,28.0,Chuba Hubbard right guard for -2 yards (tackle by Justin Strnad and Baron Browning),3.27,1.85,8.0,2024,121
3.0,3:04,4.0,5.0,DEN 25,7.0,28.0,Bryce Young pass short right intended for Tommy Tremble is intercepted by Patrick Surtain at DEN-11 and returned for 28 yards (tackle by Xavier Legette),1.85,-1.53,8.0,2024,121
3.0,2:54,1.0,10.0,DEN 39,7.0,28.0,Jaleel McLaughlin left end for 4 yards (tackle by Michael Jackson),1.53,1.53,8.0,2024,121
3.0,2:14,2.0,6.0,DEN 43,7.0,28.0,Bo Nix sacked by A'Shawn Robinson for -4 yards,1.53,0.3,8.0,2024,121
3.0,1:27,,,,,,Timeout #1 by Denver Broncos,,,8.0,2024,121
3.0,1:27,3.0,10.0,DEN 39,7.0,28.0,Javonte Williams right guard for -2 yards (tackle by Jadeveon Clowney),0.3,-0.91,8.0,2024,121
3.0,0:51,4.0,12.0,DEN 37,7.0,28.0,"Riley Dixon punts 53 yards, fair catch by Raheem Blackshear at CAR-10",-0.91,0.38,8.0,2024,121
3.0,0:42,1.0,10.0,CAR 10,7.0,28.0,Chuba Hubbard left tackle for 15 yards (tackle by Brandon Jones),-0.38,0.61,8.0,2024,121
3.0,0:01,1.0,10.0,CAR 25,7.0,28.0,Bryce Young right end for -2 yards (tackle by Jonathon Cooper),0.61,-0.21,8.0,2024,121
4.0,15:00,2.0,12.0,CAR 23,7.0,28.0,Bryce Young pass incomplete short left intended for Xavier Legette,-0.21,-0.89,8.0,2024,121
4.0,14:57,3.0,12.0,CAR 23,7.0,28.0,Bryce Young sacked by Nik Bonitto for -6 yards,-0.89,-2.32,8.0,2024,121
4.0,14:19,4.0,18.0,CAR 17,7.0,28.0,"Johnny Hekker punts 50 yards, fair catch by Marvin Mims at DEN-33",-2.32,-1.14,8.0,2024,121
4.0,14:11,1.0,10.0,DEN 33,7.0,28.0,Bo Nix pass complete short left to Javonte Williams for 3 yards (tackle by Michael Jackson),1.14,1.0,8.0,2024,121
4.0,13:37,2.0,7.0,DEN 36,7.0,28.0,Javonte Williams right guard for 4 yards (tackle by Nick Thurman),1.0,0.83,8.0,2024,121
4.0,12:59,3.0,3.0,DEN 40,7.0,28.0,Bo Nix pass complete deep right to Devaughn Vele for 16 yards (tackle by Demani Richardson),0.83,2.65,8.0,2024,121
4.0,12:28,1.0,10.0,CAR 44,7.0,28.0,Javonte Williams up the middle for 4 yards (tackle by DeShawn Williams and Nick Thurman),2.65,2.65,8.0,2024,121
4.0,11:38,2.0,6.0,CAR 40,7.0,28.0,Troy Franklin left end for 3 yards (tackle by Jaycee Horn and Demani Richardson),2.65,2.35,8.0,2024,121
4.0,10:58,3.0,3.0,CAR 37,7.0,28.0,Javonte Williams right guard for no gain (tackle by Jadeveon Clowney and Demani Richardson),2.35,0.79,8.0,2024,121
4.0,10:10,4.0,3.0,CAR 37,7.0,28.0,"Penalty on Garett Bolles: False Start, 5 yards (accepted) (no play)",0.79,0.46,8.0,2024,121
4.0,10:10,4.0,8.0,CAR 42,7.0,28.0,Riley Dixon pass complete short middle to Lucas Krull for 3 yards (tackle by Thomas Incoom),0.46,-1.53,8.0,2024,121
4.0,10:03,1.0,10.0,CAR 39,7.0,28.0,Bryce Young pass complete short right to Xavier Legette for no gain (tackle by Cody Barton),1.53,0.99,8.0,2024,121
4.0,9:40,2.0,10.0,CAR 39,7.0,28.0,Bryce Young pass incomplete short left intended for Jonathan Mingo,0.99,0.3,8.0,2024,121
4.0,9:35,3.0,10.0,CAR 39,7.0,28.0,Bryce Young pass complete short right to Miles Sanders for 4 yards (tackle by Brandon Jones),0.3,-0.52,8.0,2024,121
4.0,8:56,4.0,6.0,CAR 43,7.0,28.0,Bryce Young pass complete short right to Tommy Tremble for 8 yards (tackle by Brandon Jones),-0.52,2.32,8.0,2024,121
4.0,8:24,1.0,10.0,DEN 49,7.0,28.0,"Bryce Young pass complete deep middle to Jalen Coker for 26 yards (tackle by Brandon Jones) DEN challenged the pass completion ruling, and the play was upheld.",2.32,4.04,8.0,2024,121
4.0,7:53,1.0,10.0,DEN 23,7.0,28.0,Bryce Young pass complete short right to Tommy Tremble for 5 yards (tackle by Cody Barton and Jonah Elliss),4.04,4.21,8.0,2024,121
4.0,7:20,2.0,5.0,DEN 18,7.0,28.0,"Bryce Young pass deep left intended for Jalen Coker is intercepted by Ja'Quan McMillian in end zone and returned for no gain. Penalty on Robert Hunt: Ineligible Downfield Pass, 5 yards (declined)",4.21,-0.28,8.0,2024,121
4.0,7:14,1.0,10.0,DEN 20,7.0,28.0,Jaleel McLaughlin right guard for 9 yards (tackle by Demani Richardson),0.28,0.95,8.0,2024,121
4.0,6:49,2.0,1.0,DEN 29,7.0,28.0,Jaleel McLaughlin left guard for 3 yards (tackle by Shy Tuttle and LaBryan Ray),0.95,1.07,8.0,2024,121
4.0,6:08,1.0,10.0,DEN 32,7.0,28.0,Javonte Williams left guard for 2 yards (tackle by Jadeveon Clowney and Josey Jewell),1.07,0.8,8.0,2024,121
4.0,5:34,2.0,8.0,DEN 34,7.0,28.0,Bo Nix pass complete short left to Lucas Krull for 15 yards (tackle by Xavier Woods),0.8,2.19,8.0,2024,121
4.0,4:45,1.0,10.0,DEN 49,7.0,28.0,"Javonte Williams left tackle for 2 yards (tackle by Josey Jewell). Penalty on Nate Adkins: Illegal Formation, 5 yards (declined)",2.19,1.92,8.0,2024,121
4.0,4:45,2.0,8.0,CAR 49,7.0,28.0,Bo Nix pass incomplete deep right intended for Javonte Williams,1.92,1.22,8.0,2024,121
4.0,4:36,3.0,8.0,CAR 49,7.0,28.0,Bo Nix pass complete short right to Troy Franklin for 6 yards (tackle by Jadeveon Clowney),1.22,0.4,8.0,2024,121
4.0,4:29,,,,,,Timeout #2 by Carolina Panthers,,,8.0,2024,121
4.0,4:29,4.0,2.0,CAR 43,7.0,28.0,Courtland Sutton pass complete deep right to Michael Burton for 28 yards (tackle by Trevin Wallace and Xavier Woods),0.4,4.58,8.0,2024,121
4.0,3:44,1.0,10.0,CAR 15,7.0,28.0,Javonte Williams left guard for 2 yards (tackle by DeShawn Williams),4.58,4.28,8.0,2024,121
4.0,3:05,2.0,8.0,CAR 13,7.0,28.0,Audric Estime right tackle for 4 yards (tackle by Josey Jewell and Shy Tuttle),4.28,4.22,8.0,2024,121
4.0,2:21,,,,,,Timeout #3 by Denver Broncos,,,8.0,2024,121
4.0,2:21,3.0,4.0,CAR 9,7.0,28.0,"Bo Nix pass complete short right to Courtland Sutton for 7 yards. Courtland Sutton fumbles (tackle by Michael Jackson), recovered by Shy Tuttle at CAR-2",4.22,0.38,8.0,2024,121
4.0,2:13,1.0,10.0,CAR 2,7.0,28.0,Chuba Hubbard right tackle for 2 yards (tackle by Nik Bonitto and Brandon Jones),-0.38,-0.63,8.0,2024,121
4.0,2:00,2.0,8.0,CAR 4,7.0,28.0,Bryce Young pass incomplete short left,-0.63,-1.19,8.0,2024,121
4.0,1:55,3.0,8.0,CAR 4,7.0,28.0,Bryce Young pass complete short right to Miles Sanders for 11 yards (tackle by Justin Strnad and Jonah Elliss),-1.19,-0.22,8.0,2024,121
4.0,1:33,1.0,10.0,CAR 15,7.0,28.0,Bryce Young pass complete short right to David Moore for 12 yards,-0.22,0.74,8.0,2024,121
4.0,1:24,1.0,10.0,CAR 27,7.0,28.0,Bryce Young pass complete short right to David Moore for 13 yards (tackle by Riley Moss),0.74,1.6,8.0,2024,121
4.0,1:02,1.0,10.0,CAR 40,7.0,28.0,Bryce Young pass incomplete short right,1.6,1.05,8.0,2024,121
4.0,0:55,2.0,10.0,CAR 40,7.0,28.0,"Bryce Young pass complete deep left to Xavier Legette for 23 yards (tackle by Ja'Quan McMillian). Penalty on Malcolm Roach: Roughing the Passer, 15 yards (accepted)",1.05,4.11,8.0,2024,121
4.0,0:47,1.0,10.0,DEN 22,7.0,28.0,Bryce Young pass incomplete deep left intended for Jonathan Mingo,4.11,3.56,8.0,2024,121
4.0,0:43,2.0,10.0,DEN 22,7.0,28.0,Bryce Young pass complete short middle to Ja'Tavion Sanders for 7 yards (tackle by Justin Strnad and Ja'Quan McMillian),3.56,3.93,8.0,2024,121
