Quarter,Time,Down,ToGo,Location,PHI,CIN,Detail,EPB,EPA,week,year,game_id
2.0,5:08,1.0,10.0,PHI 44,3.0,10.0,Saquon Barkley right tackle for 7 yards (tackle by Kris Jenkins and Akeem Davis-Gaither),1.86,2.26,8.0,2024,111
2.0,4:32,2.0,3.0,CIN 49,3.0,10.0,Saquon Barkley left tackle for 2 yards (tackle by B.J. Hill),2.26,1.82,8.0,2024,111
2.0,4:00,3.0,1.0,CIN 47,3.0,10.0,Jalen Hurts left guard for 1 yard (tackle by Germaine Pratt and Trey Hendrickson),1.82,2.52,8.0,2024,111
2.0,3:18,1.0,10.0,CIN 46,3.0,10.0,Jalen Hurts pass complete short left to Grant Calcaterra for 19 yards (tackle by Vonn Bell),2.52,3.78,8.0,2024,111
2.0,2:47,1.0,10.0,CIN 27,3.0,10.0,Jalen Hurts pass complete short left to Saquon Barkley for 3 yards (tackle by Vonn Bell),3.78,3.64,8.0,2024,111
2.0,2:03,2.0,7.0,CIN 24,3.0,10.0,"Penalty on DeVonta Smith: False Start, 5 yards (accepted) (no play)",3.64,2.96,8.0,2024,111
2.0,2:00,2.0,12.0,CIN 29,3.0,10.0,Jalen Hurts pass complete short left to DeVonta Smith for 11 yards (tackle by Geno Stone),2.96,3.84,8.0,2024,111
2.0,1:44,3.0,1.0,CIN 18,3.0,10.0,"Penalty on Tyler Steen: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",3.84,1.75,8.0,2024,111
2.0,1:43,3.0,16.0,CIN 33,3.0,10.0,Jalen Hurts pass complete short left to A.J. Brown for 17 yards (tackle by Germaine Pratt),1.75,4.51,8.0,2024,111
2.0,1:36,,,,,,Timeout #1 by Cincinnati Bengals,,,8.0,2024,111
2.0,1:36,1.0,10.0,CIN 16,3.0,10.0,Jalen Hurts right tackle for 12 yards (tackle by Germaine Pratt and Geno Stone),4.51,6.28,8.0,2024,111
2.0,1:29,,,,,,Timeout #2 by Cincinnati Bengals,,,8.0,2024,111
2.0,1:29,,,,,,Timeout #1 by Philadelphia Eagles,,,8.0,2024,111
2.0,1:29,1.0,4.0,CIN 4,3.0,10.0,Saquon Barkley right end for -2 yards (tackle by Akeem Davis-Gaither),6.28,4.95,8.0,2024,111
2.0,1:24,,,,,,Timeout #3 by Cincinnati Bengals,,,8.0,2024,111
2.0,1:24,2.0,6.0,CIN 6,3.0,10.0,"Jalen Hurts scrambles left end for no gain (tackle by Germaine Pratt). Penalty on Cam Taylor-Britt: Illegal Use of Hands / Defense, 3 yards (accepted) (no play)",4.95,6.51,8.0,2024,111
2.0,1:17,1.0,3.0,CIN 3,3.0,10.0,Saquon Barkley left guard for 2 yards (tackle by Sheldon Rankins),6.51,5.91,8.0,2024,111
2.0,0:45,2.0,1.0,CIN 1,3.0,10.0,Jalen Hurts left guard for no gain (tackle by Trey Hendrickson),5.91,5.17,8.0,2024,111
2.0,0:25,,,,,,Timeout #2 by Philadelphia Eagles,,,8.0,2024,111
2.0,0:25,3.0,1.0,CIN 1,9.0,10.0,"Jalen Hurts up the middle for no gain (tackle by B.J. Hill and Lawrence Guy) Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Jalen Hurts up the middle for 1 yard, touchdown",5.17,7.0,8.0,2024,111
2.0,0:22,,,,,,Timeout #3 by Philadelphia Eagles,,,8.0,2024,111
2.0,0:22,,,CIN 15,10.0,10.0,Jake Elliott kicks extra point good,0.0,0.0,8.0,2024,111
2.0,0:22,,,PHI 35,10.0,10.0,"Braden Mann kicks off 74 yards, returned by Charlie Jones for 37 yards. Charlie Jones fumbles, ball out of bounds at CIN-28 (forced by Oren Burks). Charlie Jones fumbles out of bounds",0.0,0.81,8.0,2024,111
2.0,0:18,1.0,10.0,CIN 28,10.0,10.0,Joe Burrow pass incomplete deep left intended for Jermaine Burton,0.81,0.26,8.0,2024,111
2.0,0:11,2.0,10.0,CIN 28,10.0,10.0,Joe Burrow kneels for -1 yards,0.26,-0.56,8.0,2024,111
3.0,15:00,,,CIN 35,10.0,10.0,"Evan McPherson kicks off 66 yards, returned by Kenneth Gainwell for 31 yards (tackle by Jordan Battle)",0.0,0.94,8.0,2024,111
3.0,14:55,1.0,10.0,PHI 30,10.0,10.0,Saquon Barkley right guard for 3 yards (tackle by Sam Hubbard),0.94,0.8,8.0,2024,111
3.0,14:14,2.0,7.0,PHI 33,10.0,10.0,Saquon Barkley left guard for 2 yards (tackle by B.J. Hill and Logan Wilson),0.8,0.37,8.0,2024,111
3.0,13:42,3.0,5.0,PHI 35,10.0,10.0,Jalen Hurts pass complete short right to DeVonta Smith for 15 yards (tackle by DJ Turner),0.37,2.26,8.0,2024,111
3.0,13:02,1.0,10.0,PHI 50,10.0,10.0,Jalen Hurts pass complete short left to Grant Calcaterra for 28 yards (tackle by Logan Wilson and Vonn Bell),2.26,4.11,8.0,2024,111
3.0,12:30,1.0,10.0,CIN 22,10.0,10.0,Saquon Barkley right guard for 1 yard (tackle by Logan Wilson),4.11,3.7,8.0,2024,111
3.0,11:48,2.0,9.0,CIN 21,10.0,10.0,Jalen Hurts pass complete short middle to Jack Stoll for 6 yards (tackle by Geno Stone),3.7,3.93,8.0,2024,111
3.0,11:15,3.0,3.0,CIN 15,10.0,10.0,Saquon Barkley right tackle for 8 yards (tackle by B.J. Hill and Myles Murphy),3.93,5.6,8.0,2024,111
3.0,10:40,1.0,7.0,CIN 7,16.0,10.0,"Jalen Hurts right end for 7 yards, touchdown",5.6,7.0,8.0,2024,111
3.0,10:35,,,CIN 15,17.0,10.0,Jake Elliott kicks extra point good,0.0,0.0,8.0,2024,111
3.0,10:35,,,PHI 35,17.0,10.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,111
3.0,10:35,1.0,10.0,CIN 30,17.0,10.0,Chase Brown right tackle for 4 yards (tackle by Zack Baun),0.94,0.93,8.0,2024,111
3.0,9:58,2.0,6.0,CIN 34,17.0,10.0,Joe Burrow pass incomplete short middle,0.93,0.23,8.0,2024,111
3.0,9:54,3.0,6.0,CIN 34,17.0,10.0,Joe Burrow pass complete short right to Mike Gesicki for 7 yards (tackle by Reed Blankenship),0.23,1.66,8.0,2024,111
3.0,9:20,1.0,10.0,CIN 41,17.0,10.0,Chase Brown left tackle for 2 yards (tackle by Nakobe Dean),1.66,1.39,8.0,2024,111
3.0,8:43,2.0,8.0,CIN 43,17.0,10.0,"Joe Burrow pass complete short right to Andrei Iosivas for 10 yards (tackle by Cooper DeJean) PHI challenged the pass completion ruling, and the original play was overturned. Joe Burrow pass incomplete short right intended for Andrei Iosivas",1.39,0.7,8.0,2024,111
3.0,8:40,3.0,8.0,CIN 43,17.0,10.0,Joe Burrow scrambles right tackle for 8 yards (tackle by Zack Baun),0.7,2.32,8.0,2024,111
3.0,8:10,1.0,10.0,PHI 49,17.0,10.0,Zack Moss right tackle for 4 yards (tackle by Bryce Huff and Reed Blankenship),2.32,2.32,8.0,2024,111
3.0,7:27,2.0,6.0,PHI 45,17.0,10.0,Joe Burrow pass complete short right to Zack Moss for 9 yards (tackle by Nakobe Dean),2.32,3.18,8.0,2024,111
3.0,6:50,1.0,10.0,PHI 36,17.0,10.0,"Joe Burrow pass complete short left to Ja'Marr Chase for 13 yards. Penalty on Quinyon Mitchell: Defensive Holding, 5 yards (declined)",3.18,4.04,8.0,2024,111
3.0,6:25,1.0,10.0,PHI 23,17.0,10.0,Joe Burrow pass complete short right to Ja'Marr Chase for 3 yards (tackle by Isaiah Rodgers),4.04,3.9,8.0,2024,111
3.0,5:39,2.0,7.0,PHI 20,17.0,10.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 12 yards (tackle by Cooper DeJean),3.9,5.37,8.0,2024,111
3.0,4:57,1.0,8.0,PHI 8,17.0,10.0,Joe Burrow pass complete short left to Trenton Irwin for 4 yards (tackle by Cooper DeJean),5.37,5.34,8.0,2024,111
3.0,4:19,2.0,4.0,PHI 4,17.0,16.0,"Chase Brown left guard for 4 yards, touchdown",5.34,7.0,8.0,2024,111
3.0,4:16,,,PHI 15,17.0,17.0,Evan McPherson kicks extra point good,0.0,0.0,8.0,2024,111
3.0,4:16,,,CIN 35,17.0,17.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,111
3.0,4:16,1.0,10.0,PHI 30,17.0,17.0,Jalen Hurts pass complete short right to A.J. Brown for 23 yards (tackle by Cam Taylor-Britt),0.94,2.46,8.0,2024,111
3.0,3:29,1.0,10.0,CIN 47,17.0,17.0,Saquon Barkley right guard for 2 yards (tackle by Sam Hubbard),2.46,2.18,8.0,2024,111
3.0,2:51,2.0,8.0,CIN 45,23.0,17.0,"Jalen Hurts pass complete deep middle to DeVonta Smith for 45 yards, touchdown",2.18,7.0,8.0,2024,111
3.0,2:43,,,CIN 15,24.0,17.0,Jake Elliott kicks extra point good,0.0,0.0,8.0,2024,111
3.0,2:43,,,PHI 35,24.0,17.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,111
3.0,2:43,1.0,10.0,CIN 30,24.0,17.0,Joe Burrow scrambles right end for 8 yards (tackle by Zack Baun),0.94,1.47,8.0,2024,111
3.0,2:08,2.0,2.0,CIN 38,24.0,17.0,Chase Brown left tackle for 1 yard (tackle by Zack Baun and Nakobe Dean),1.47,0.89,8.0,2024,111
3.0,1:26,,,,,,Timeout #1 by Cincinnati Bengals,,,8.0,2024,111
3.0,1:26,3.0,1.0,CIN 39,24.0,17.0,Zack Moss up the middle for no gain (tackle by Brandon Graham),0.89,-0.78,8.0,2024,111
3.0,0:46,4.0,1.0,CIN 39,24.0,17.0,Joe Burrow pass complete short right to Ja'Marr Chase for -2 yards (tackle by Cooper DeJean),-0.78,-3.12,8.0,2024,111
3.0,0:41,1.0,10.0,CIN 37,24.0,17.0,Saquon Barkley left tackle for no gain (tackle by Kris Jenkins),3.12,2.57,8.0,2024,111
4.0,15:00,2.0,10.0,CIN 37,24.0,17.0,Jalen Hurts left tackle for no gain (tackle by Cam Taylor-Britt),2.57,1.88,8.0,2024,111
4.0,14:18,,,,,,Timeout #1 by Philadelphia Eagles,,,8.0,2024,111
4.0,14:18,3.0,10.0,CIN 37,24.0,17.0,Jalen Hurts pass complete short left to A.J. Brown for 6 yards (tackle by Cam Taylor-Britt),1.88,1.37,8.0,2024,111
4.0,13:39,4.0,4.0,CIN 31,27.0,17.0,Jake Elliott 49 yard field goal good,1.37,3.0,8.0,2024,111
4.0,13:34,,,PHI 35,27.0,17.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,111
4.0,13:34,1.0,10.0,CIN 30,27.0,17.0,Joe Burrow pass complete short right to Erick All for 4 yards (tackle by Zack Baun),0.94,0.93,8.0,2024,111
4.0,12:56,2.0,6.0,CIN 34,27.0,17.0,Joe Burrow pass complete short left to Mike Gesicki for 12 yards (tackle by Reed Blankenship),0.93,1.99,8.0,2024,111
4.0,12:21,1.0,10.0,CIN 46,27.0,17.0,Joe Burrow pass deep right (defended by Isaiah Rodgers) intended for Ja'Marr Chase is intercepted by C.J. Gardner-Johnson at PHI-15 and returned for no gain,1.99,0.22,8.0,2024,111
4.0,12:16,1.0,10.0,PHI 15,27.0,17.0,Saquon Barkley left guard for 11 yards (tackle by Cam Taylor-Britt and Geno Stone),-0.22,0.67,8.0,2024,111
4.0,11:37,1.0,10.0,PHI 26,27.0,17.0,Saquon Barkley up the middle for 5 yards (tackle by B.J. Hill),0.67,0.81,8.0,2024,111
4.0,10:58,2.0,5.0,PHI 31,27.0,17.0,Saquon Barkley left tackle for -2 yards (tackle by Myles Murphy),0.81,-0.16,8.0,2024,111
4.0,10:16,3.0,7.0,PHI 29,27.0,17.0,Jalen Hurts pass complete short middle to DeVonta Smith for 9 yards (tackle by DJ Turner),-0.16,1.47,8.0,2024,111
4.0,9:33,1.0,10.0,PHI 38,27.0,17.0,Saquon Barkley right guard for 3 yards (tackle by McKinnley Jackson),1.47,1.33,8.0,2024,111
4.0,8:51,2.0,7.0,PHI 41,27.0,17.0,Jalen Hurts pass complete short right to DeVonta Smith for 7 yards (tackle by Cam Taylor-Britt),1.33,2.13,8.0,2024,111
4.0,8:10,1.0,10.0,PHI 48,27.0,17.0,Saquon Barkley right tackle for 4 yards (tackle by Sam Hubbard),2.13,2.12,8.0,2024,111
4.0,7:31,2.0,6.0,CIN 48,27.0,17.0,Saquon Barkley left tackle for 19 yards (tackle by Geno Stone and Cam Taylor-Britt),2.12,3.64,8.0,2024,111
4.0,6:48,1.0,10.0,CIN 29,27.0,17.0,Kenneth Gainwell up the middle for no gain (tackle by Kris Jenkins and Germaine Pratt),3.64,3.1,8.0,2024,111
4.0,6:05,2.0,10.0,CIN 29,27.0,17.0,Jalen Hurts pass complete short left to Grant Calcaterra for 11 yards (tackle by Germaine Pratt),3.1,4.37,8.0,2024,111
4.0,5:22,1.0,10.0,CIN 18,27.0,17.0,Saquon Barkley right tackle for 17 yards (tackle by Sam Hubbard),4.37,6.97,8.0,2024,111
4.0,4:41,1.0,1.0,CIN 1,33.0,17.0,"Jalen Hurts left guard for 1 yard, touchdown",6.97,7.0,8.0,2024,111
4.0,4:39,,,CIN 15,34.0,17.0,Jake Elliott kicks extra point good,0.0,0.0,8.0,2024,111
4.0,4:39,,,PHI 35,34.0,17.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,111
4.0,4:39,1.0,10.0,CIN 30,34.0,17.0,"Joe Burrow pass complete short right to Mike Gesicki for 3 yards. Mike Gesicki fumbles (tackle by Nakobe Dean), recovered by Nakobe Dean at CIN-33",0.94,-3.38,8.0,2024,111
4.0,4:31,1.0,10.0,CIN 33,34.0,17.0,Kenneth Gainwell left guard for 10 yards (tackle by Cam Taylor-Britt),3.38,4.04,8.0,2024,111
4.0,3:50,1.0,10.0,CIN 23,34.0,17.0,Kenneth Gainwell right guard for 3 yards (tackle by Myles Murphy),4.04,3.83,8.0,2024,111
4.0,3:08,2.0,8.0,CIN 20,34.0,17.0,Kenneth Gainwell right tackle for 3 yards (tackle by B.J. Hill and Logan Wilson),3.83,3.56,8.0,2024,111
4.0,2:26,3.0,5.0,CIN 17,34.0,17.0,"Will Shipley right tackle for 1 yard. Penalty on Nick Gates: Offensive Holding, 10 yards (accepted)",3.56,2.41,8.0,2024,111
4.0,2:19,3.0,13.0,CIN 26,34.0,17.0,Will Shipley right tackle for -4 yards (tackle by Mike Hilton and Germaine Pratt),2.41,1.41,8.0,2024,111
4.0,2:00,4.0,17.0,CIN 30,37.0,17.0,Jake Elliott 47 yard field goal good,1.41,3.0,8.0,2024,111
4.0,1:55,,,PHI 35,37.0,17.0,"Braden Mann kicks off 54 yards, returned by Charlie Jones for 5 yards (tackle by Will Shipley)",0.0,-0.14,8.0,2024,111
4.0,1:53,1.0,10.0,CIN 16,37.0,17.0,Chase Brown right guard for 5 yards (tackle by Oren Burks),-0.14,0.15,8.0,2024,111
4.0,1:09,2.0,5.0,CIN 21,37.0,17.0,Chase Brown right tackle for 4 yards (tackle by Moro Ojomo),0.15,-0.2,8.0,2024,111
4.0,0:31,3.0,1.0,CIN 25,37.0,17.0,Chase Brown left guard for 1 yard (tackle by Tristin McCollum and Avonte Maddox),-0.2,0.67,8.0,2024,111
