Quarter,Time,Down,ToGo,Location,BUF,SEA,Detail,EPB,EPA,week,year,game_id
1.0,10:28,1.0,15.0,BUF 40,0.0,0.0,"Josh Allen sacked by Boye Mafe for no gain. Josh Allen fumbles (forced by Boye Mafe), recovered by Spencer Brown at BUF-37. Penalty on Devon Witherspoon: Illegal Contact, 5 yards (accepted) (no play)",1.6,1.93,8.0,2024,117
1.0,10:14,1.0,10.0,BUF 45,0.0,0.0,Josh Allen pass complete short right to Khalil Shakir for 9 yards (tackle by Josh Jobe),1.93,2.6,8.0,2024,117
1.0,9:37,2.0,1.0,SEA 46,0.0,0.0,James Cook left guard for no gain (tackle by Byron Murphy and Ernest Jones),2.6,1.88,8.0,2024,117
1.0,9:16,3.0,1.0,SEA 46,0.0,0.0,Josh Allen left guard for 3 yards (tackle by Devon Witherspoon),1.88,2.72,8.0,2024,117
1.0,8:39,1.0,10.0,SEA 43,0.0,0.0,"James Cook left guard for no gain (tackle by Tyrel Dodson and Riq Woolen). Penalty on Connor McGovern: Offensive Holding, 10 yards (accepted) (no play)",2.72,2.06,8.0,2024,117
1.0,8:10,1.0,20.0,BUF 47,0.0,0.0,James Cook left end for 5 yards (tackle by Riq Woolen),2.06,1.5,8.0,2024,117
1.0,7:27,2.0,15.0,SEA 48,0.0,0.0,Josh Allen pass complete short right to Keon Coleman for 7 yards (tackle by Ernest Jones),1.5,1.75,8.0,2024,117
1.0,6:47,3.0,8.0,SEA 41,0.0,0.0,"Josh Allen pass complete deep left to Keon Coleman for 25 yards (tackle by Coby Bryant). Penalty on Josh Jobe: Defensive Holding, 5 yards (declined)",1.75,4.51,8.0,2024,117
1.0,6:18,1.0,10.0,SEA 16,0.0,0.0,James Cook up the middle for 11 yards (tackle by Coby Bryant),4.51,6.06,8.0,2024,117
1.0,5:41,1.0,5.0,SEA 5,0.0,0.0,Josh Allen pass incomplete short left intended for Keon Coleman (defended by Riq Woolen),6.06,5.15,8.0,2024,117
1.0,5:37,2.0,5.0,SEA 5,0.0,0.0,Josh Allen right guard for 3 yards (tackle by Ernest Jones),5.15,4.95,8.0,2024,117
1.0,4:54,3.0,2.0,SEA 2,6.0,0.0,"Josh Allen pass complete short right to Keon Coleman for 2 yards, touchdown",4.95,7.0,8.0,2024,117
1.0,4:51,,,SEA 15,7.0,0.0,Tyler Bass kicks extra point good,0.0,0.0,8.0,2024,117
1.0,4:51,,,BUF 35,7.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,117
1.0,4:51,1.0,10.0,SEA 30,7.0,0.0,Kenneth Walker left end for -2 yards (tackle by Rasul Douglas),0.94,0.12,8.0,2024,117
1.0,4:20,2.0,12.0,SEA 28,7.0,0.0,Kenneth Walker left guard for 4 yards (tackle by Taron Johnson and Rasul Douglas),0.12,-0.03,8.0,2024,117
1.0,3:39,3.0,8.0,SEA 32,7.0,0.0,Geno Smith pass incomplete deep middle intended for Jaxon Smith-Njigba (defended by Cameron Lewis),-0.03,-1.24,8.0,2024,117
1.0,3:34,4.0,8.0,SEA 32,7.0,0.0,"Michael Dickson punts 68 yards, returned by Brandon Codrington for 12 yards (tackle by Dee Williams and Jerrick Reed)",-1.24,0.35,8.0,2024,117
1.0,3:21,1.0,10.0,BUF 12,7.0,0.0,Josh Allen pass complete short left to James Cook for 12 yards (tackle by Julian Love),-0.35,0.54,8.0,2024,117
1.0,2:42,1.0,10.0,BUF 24,7.0,0.0,Josh Allen pass complete short left to Amari Cooper for 3 yards,0.54,0.4,8.0,2024,117
1.0,2:08,2.0,7.0,BUF 27,7.0,0.0,James Cook left tackle for 7 yards (tackle by Ernest Jones),0.4,1.2,8.0,2024,117
1.0,1:23,1.0,10.0,BUF 34,7.0,0.0,Josh Allen pass incomplete deep right intended for Dalton Kincaid,1.2,0.66,8.0,2024,117
1.0,1:16,2.0,10.0,BUF 34,7.0,0.0,"Penalty on Dion Dawkins: False Start, 5 yards (accepted) (no play)",0.66,-0.02,8.0,2024,117
1.0,1:16,2.0,15.0,BUF 29,7.0,0.0,Josh Allen pass incomplete deep right intended for Keon Coleman,-0.02,-0.69,8.0,2024,117
1.0,1:11,3.0,15.0,BUF 29,7.0,0.0,Josh Allen pass complete short right to Khalil Shakir for 13 yards (tackle by Tyrel Dodson),-0.69,-0.59,8.0,2024,117
1.0,0:27,4.0,2.0,BUF 42,7.0,0.0,Sam Martin punts 49 yards out of bounds,-0.59,0.38,8.0,2024,117
1.0,0:18,1.0,10.0,SEA 9,7.0,0.0,"Geno Smith pass incomplete short left. Penalty on Laken Tomlinson: Ineligible Downfield Pass, 4 yards (accepted) (no play)",-0.38,-0.53,8.0,2024,117
1.0,0:14,1.0,14.0,SEA 5,7.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 9 yards (tackle by Christian Benford),-0.53,-0.39,8.0,2024,117
2.0,15:00,2.0,5.0,SEA 14,7.0,0.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 7 yards (tackle by Damar Hamlin),-0.39,0.34,8.0,2024,117
2.0,14:34,1.0,10.0,SEA 21,7.0,0.0,Kenneth Walker left end for 1 yard (tackle by Taron Johnson),0.34,-0.07,8.0,2024,117
2.0,13:54,2.0,9.0,SEA 22,7.0,0.0,Geno Smith pass complete short middle to Kenneth Walker for 5 yards (tackle by A.J. Epenesa),-0.07,-0.1,8.0,2024,117
2.0,13:18,3.0,4.0,SEA 27,7.0,0.0,Geno Smith pass complete short left to Laviska Shenault for 10 yards (tackle by Taron Johnson),-0.1,1.4,8.0,2024,117
2.0,12:55,1.0,10.0,SEA 37,7.0,0.0,Geno Smith pass complete short left to Jake Bobo for 15 yards (tackle by Rasul Douglas),1.4,2.39,8.0,2024,117
2.0,12:21,1.0,10.0,BUF 48,7.0,0.0,Geno Smith pass complete short left to Kenneth Walker for 17 yards (tackle by Damar Hamlin),2.39,3.51,8.0,2024,117
2.0,11:41,1.0,10.0,BUF 31,7.0,0.0,Geno Smith pass complete short middle to AJ Barner for 14 yards (tackle by Baylon Spector and Taron Johnson),3.51,4.44,8.0,2024,117
2.0,11:13,1.0,10.0,BUF 17,7.0,0.0,"Penalty on DaQuan Jones: Neutral Zone Infraction, 5 yards (accepted) (no play)",4.44,5.52,8.0,2024,117
2.0,10:57,1.0,5.0,BUF 12,7.0,0.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 10 yards (tackle by Rasul Douglas and Taylor Rapp),5.52,6.74,8.0,2024,117
2.0,10:29,1.0,2.0,BUF 2,7.0,0.0,Kenneth Walker right guard for -1 yards (tackle by Gregory Rousseau and Ed Oliver),6.74,5.53,8.0,2024,117
2.0,9:52,2.0,3.0,BUF 3,7.0,0.0,"Connor Williams aborted snap, recovered by Kenneth Walker at BUF-29 (tackle by Dawuane Smoot)",5.53,2.08,8.0,2024,117
2.0,9:05,3.0,22.0,BUF 22,7.0,0.0,"Penalty on Geno Smith: Delay of Game, 5 yards (accepted) (no play)",2.08,1.42,8.0,2024,117
2.0,8:57,3.0,27.0,BUF 27,7.0,0.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 7 yards (tackle by Taron Johnson and Gregory Rousseau),1.42,2.12,8.0,2024,117
2.0,8:18,4.0,20.0,BUF 20,7.0,3.0,Jason Myers 38 yard field goal good,2.12,3.0,8.0,2024,117
2.0,8:14,,,SEA 35,7.0,3.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,117
2.0,8:14,1.0,10.0,BUF 30,7.0,3.0,James Cook left tackle for 3 yards (tackle by Byron Murphy and Julian Love),0.94,0.8,8.0,2024,117
2.0,7:38,2.0,7.0,BUF 33,7.0,3.0,Josh Allen pass complete short left to Khalil Shakir for 4 yards (tackle by Byron Murphy),0.8,0.63,8.0,2024,117
2.0,6:55,3.0,3.0,BUF 37,7.0,3.0,Josh Allen pass short right intended for Amari Cooper is intercepted by Josh Jobe at BUF-40 and returned for 33 yards (tackle by Josh Allen),0.63,-5.6,8.0,2024,117
2.0,6:43,1.0,7.0,BUF 7,7.0,3.0,Kenneth Walker right guard for 3 yards (tackle by Damar Hamlin and Eli Ankou),5.6,5.34,8.0,2024,117
2.0,6:01,,,,,,Timeout #1 by Seattle Seahawks,,,8.0,2024,117
2.0,6:01,2.0,4.0,BUF 4,7.0,3.0,Zach Charbonnet right guard for 3 yards (tackle by Dorian Williams and Taylor Rapp),5.34,5.17,8.0,2024,117
2.0,5:27,3.0,1.0,BUF 1,7.0,3.0,Kenneth Walker right guard for no gain (tackle by Gregory Rousseau and Dorian Williams),5.17,3.55,8.0,2024,117
2.0,4:47,4.0,1.0,BUF 1,7.0,3.0,Geno Smith up the middle for -6 yards (tackle by Gregory Rousseau),3.55,0.38,8.0,2024,117
2.0,4:44,1.0,10.0,BUF 7,7.0,3.0,Josh Allen pass complete short right to Dalton Kincaid for 1 yard (tackle by Ernest Jones),-0.38,-0.71,8.0,2024,117
2.0,4:07,2.0,9.0,BUF 8,7.0,3.0,"Josh Allen pass complete short left to Keon Coleman for 22 yards (tackle by Julian Love). Penalty on Keon Coleman: Offensive Pass Interference, 4 yards (accepted) . Penalty on Ray Davis: Personal Foul / Offense, 4 yards (declined) (no play)",-0.71,-1.0,8.0,2024,117
2.0,3:36,2.0,13.0,BUF 4,7.0,3.0,Josh Allen pass complete short middle to Khalil Shakir for 8 yards (tackle by Tyrel Dodson),-1.0,-0.84,8.0,2024,117
2.0,2:56,3.0,5.0,BUF 12,7.0,3.0,"Josh Allen up the middle for -13 yards. Josh Allen fumbles, recovered by Ty Johnson at BUF-23",-0.84,0.48,8.0,2024,117
2.0,2:12,1.0,10.0,BUF 23,7.0,3.0,James Cook left tackle for 18 yards (tackle by Coby Bryant),0.48,1.66,8.0,2024,117
2.0,2:00,1.0,10.0,BUF 41,7.0,3.0,Josh Allen pass complete short middle to Khalil Shakir for 16 yards (tackle by Devon Witherspoon),1.66,2.72,8.0,2024,117
2.0,1:39,1.0,10.0,SEA 43,7.0,3.0,James Cook left guard for 4 yards (tackle by Roy Robertson-Harris),2.72,2.72,8.0,2024,117
2.0,1:14,2.0,6.0,SEA 39,7.0,3.0,Josh Allen pass complete short middle to James Cook for 3 yards (tackle by Tyrel Dodson),2.72,2.41,8.0,2024,117
2.0,1:08,,,,,,Timeout #1 by Buffalo Bills,,,8.0,2024,117
2.0,1:08,3.0,3.0,SEA 36,7.0,3.0,Josh Allen left tackle for 9 yards (tackle by Julian Love),2.41,3.78,8.0,2024,117
2.0,0:48,,,,,,Timeout #2 by Seattle Seahawks,,,8.0,2024,117
2.0,0:48,1.0,10.0,SEA 27,7.0,3.0,Josh Allen pass incomplete short left intended for Dalton Kincaid,3.78,3.23,8.0,2024,117
2.0,0:43,2.0,10.0,SEA 27,7.0,3.0,Josh Allen scrambles up the middle for 3 yards (tackle by Derick Hall),3.23,2.94,8.0,2024,117
2.0,0:38,,,,,,Timeout #2 by Buffalo Bills,,,8.0,2024,117
2.0,0:38,3.0,7.0,SEA 24,7.0,3.0,"Josh Allen pass incomplete short right. Penalty on Derick Hall: Roughing the Passer, 12 yards (accepted) (no play)",2.94,4.78,8.0,2024,117
2.0,0:31,1.0,10.0,SEA 12,7.0,3.0,Josh Allen pass incomplete short left intended for Ty Johnson,4.78,4.1,8.0,2024,117
2.0,0:25,2.0,10.0,SEA 12,13.0,3.0,"Josh Allen pass complete short left to Dalton Kincaid for 12 yards, touchdown",4.1,7.0,8.0,2024,117
2.0,0:18,,,SEA 15,14.0,3.0,Tyler Bass kicks extra point good,0.0,0.0,8.0,2024,117
2.0,0:18,,,BUF 35,14.0,3.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,117
2.0,0:18,1.0,10.0,SEA 30,14.0,3.0,Geno Smith kneels for -1 yards,0.94,0.26,8.0,2024,117
3.0,15:00,,,SEA 35,14.0,3.0,"Jason Myers kicks off 68 yards, returned by Ray Davis for 26 yards (tackle by Laviska Shenault)",0.0,0.48,8.0,2024,117
3.0,14:54,1.0,10.0,BUF 23,14.0,3.0,"James Cook right tackle for no gain (tackle by Tyrel Dodson). Penalty on Spencer Brown: Offensive Holding, 10 yards (accepted) (no play)",0.48,-0.59,8.0,2024,117
3.0,14:34,1.0,20.0,BUF 13,14.0,3.0,Josh Allen pass complete short left to Keon Coleman for 15 yards (tackle by Ernest Jones),-0.59,0.61,8.0,2024,117
3.0,13:53,2.0,5.0,BUF 28,14.0,3.0,Josh Allen pass complete short left to James Cook for 7 yards (tackle by Tyrel Dodson),0.61,1.27,8.0,2024,117
3.0,13:16,1.0,10.0,BUF 35,14.0,3.0,Josh Allen pass complete deep left to Khalil Shakir for 35 yards (tackle by Josh Jobe),1.27,3.58,8.0,2024,117
3.0,12:30,1.0,10.0,SEA 30,14.0,3.0,Josh Allen pass complete short right to Dalton Kincaid for 12 yards (tackle by Devon Witherspoon),3.58,4.37,8.0,2024,117
3.0,11:49,1.0,10.0,SEA 18,14.0,3.0,James Cook left tackle for 2 yards (tackle by Devon Witherspoon and Ernest Jones),4.37,4.09,8.0,2024,117
3.0,11:11,2.0,8.0,SEA 16,14.0,3.0,Josh Allen pass complete short right to Khalil Shakir for 6 yards (tackle by Derick Hall),4.09,4.51,8.0,2024,117
3.0,10:27,3.0,2.0,SEA 10,14.0,3.0,Ray Davis up the middle for 5 yards (tackle by Jarran Reed and Leonard Williams),4.51,6.06,8.0,2024,117
3.0,9:39,1.0,5.0,SEA 5,14.0,3.0,"Penalty on BUF: Delay of Game, 5 yards (accepted) (no play)",6.06,4.91,8.0,2024,117
3.0,9:29,1.0,10.0,SEA 10,14.0,3.0,Josh Allen pass incomplete short left,4.91,4.19,8.0,2024,117
3.0,9:21,2.0,10.0,SEA 10,14.0,3.0,Josh Allen right guard for 2 yards (tackle by Leonard Williams),4.19,3.58,8.0,2024,117
3.0,8:41,,,,,,Timeout #1 by Seattle Seahawks,,,8.0,2024,117
3.0,8:41,3.0,8.0,SEA 8,14.0,3.0,"Josh Allen pass incomplete short right intended for Dalton Kincaid (defended by Coby Bryant). Penalty on Spencer Brown: Offensive Holding, 10 yards (declined)",3.58,2.83,8.0,2024,117
3.0,8:34,4.0,9.0,SEA 9,17.0,3.0,Tyler Bass 27 yard field goal good,2.83,3.0,8.0,2024,117
3.0,8:31,,,BUF 35,17.0,3.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,117
3.0,8:31,1.0,10.0,SEA 30,17.0,3.0,Geno Smith pass incomplete short left intended for Tyler Lockett (defended by Rasul Douglas),0.94,0.39,8.0,2024,117
3.0,8:28,2.0,10.0,SEA 30,17.0,3.0,"Geno Smith pass incomplete short left intended for Laviska Shenault. Penalty on Christian Benford: Illegal Contact, 5 yards (accepted) (no play)",0.39,1.27,8.0,2024,117
3.0,8:22,1.0,10.0,SEA 35,17.0,3.0,Kenneth Walker up the middle for 1 yard (tackle by Taylor Rapp and Eli Ankou),1.27,0.86,8.0,2024,117
3.0,7:55,2.0,9.0,SEA 36,17.0,3.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 13 yards (tackle by Baylon Spector),0.86,2.19,8.0,2024,117
3.0,7:21,1.0,10.0,SEA 49,17.0,3.0,Kenneth Walker left guard for 1 yard (tackle by Ed Oliver and Eli Ankou),2.19,1.78,8.0,2024,117
3.0,6:46,2.0,9.0,SEA 50,17.0,3.0,Geno Smith pass complete short left to Kenneth Walker for 10 yards (tackle by Rasul Douglas and Taron Johnson),1.78,2.92,8.0,2024,117
3.0,6:04,1.0,10.0,BUF 40,17.0,3.0,Geno Smith pass short right (defended by Casey Toohill) intended for Kenneth Walker is intercepted by Austin Johnson at BUF-44 and returned for 5 yards (tackle by Kenneth Walker),2.92,-2.19,8.0,2024,117
3.0,5:59,1.0,10.0,BUF 49,17.0,3.0,James Cook right guard for 4 yards (tackle by Ernest Jones),2.19,2.19,8.0,2024,117
3.0,5:18,2.0,6.0,SEA 47,17.0,3.0,James Cook right guard for 6 yards (tackle by Ernest Jones and Josh Jobe),2.19,2.85,8.0,2024,117
3.0,4:33,1.0,10.0,SEA 41,17.0,3.0,"Khalil Shakir left end for 2 yards (tackle by Ernest Jones). Penalty on Keon Coleman: Unnecessary Roughness / Offense, 15 yards (offset) . Penalty on Josh Jobe: Unnecessary Roughness / Defense, 15 yards (offset)",2.85,2.58,8.0,2024,117
3.0,4:07,2.0,8.0,SEA 39,17.0,3.0,Josh Allen scrambles right guard for 3 yards (tackle by Derick Hall),2.58,2.28,8.0,2024,117
3.0,3:28,3.0,5.0,SEA 36,17.0,3.0,Josh Allen pass complete deep left to Keon Coleman for 21 yards (tackle by Josh Jobe),2.28,4.58,8.0,2024,117
3.0,2:46,1.0,10.0,SEA 15,17.0,3.0,James Cook up the middle for 13 yards (tackle by Ernest Jones and Riq Woolen),4.58,6.74,8.0,2024,117
3.0,2:01,1.0,2.0,SEA 2,23.0,3.0,"James Cook left end for 2 yards, touchdown",6.74,7.0,8.0,2024,117
3.0,1:57,,,SEA 15,24.0,3.0,Tyler Bass kicks extra point good,0.0,0.0,8.0,2024,117
3.0,1:57,,,BUF 35,24.0,3.0,"Tyler Bass kicks off 70 yards, returned by Laviska Shenault for 25 yards (tackle by Joe Andreessen)",0.0,0.28,8.0,2024,117
3.0,1:53,1.0,10.0,SEA 20,24.0,3.0,"Geno Smith aborted snap, recovered by Kenneth Walker at SEA-12 Kenneth Walker for no gain (tackle by Taylor Rapp)",0.28,0.41,8.0,2024,117
3.0,1:17,2.0,5.0,SEA 25,24.0,3.0,"Geno Smith pass complete short middle to Tyler Lockett for no gain (tackle by Dorian Williams). Penalty on Christian Haynes: Offensive Holding, 10 yards (accepted) (no play)",0.41,-1.07,8.0,2024,117
3.0,0:58,2.0,15.0,SEA 15,24.0,3.0,"Penalty on Charles Cross: False Start, 5 yards (accepted) (no play)",-1.07,-1.51,8.0,2024,117
3.0,0:47,2.0,20.0,SEA 10,24.0,3.0,"Geno Smith scrambles right end for 10 yards (tackle by Ed Oliver). Penalty on Geno Smith: Taunting / Offense, 10 yards (accepted)",-1.51,-2.59,8.0,2024,117
3.0,0:31,3.0,20.0,SEA 10,24.0,3.0,"Geno Smith pass complete short middle to Zach Charbonnet for 5 yards (tackle by Cameron Lewis and Ed Oliver). Penalty on Michael Jerrell: Illegal Formation, 5 yards (declined)",-2.59,-2.44,8.0,2024,117
3.0,0:16,4.0,15.0,SEA 15,24.0,3.0,Michael Dickson punts 58 yards downed by K'Von Wallace,-2.44,-0.74,8.0,2024,117
3.0,0:03,1.0,10.0,BUF 27,24.0,3.0,Josh Allen pass incomplete deep right,0.74,0.2,8.0,2024,117
4.0,15:00,2.0,10.0,BUF 27,24.0,3.0,James Cook up the middle for 8 yards (tackle by Riq Woolen),0.2,0.56,8.0,2024,117
4.0,14:19,3.0,2.0,BUF 35,24.0,3.0,James Cook left end for 1 yard (tackle by Tyrel Dodson and Ernest Jones),0.56,-0.98,8.0,2024,117
4.0,13:52,4.0,1.0,BUF 36,24.0,3.0,Josh Allen up the middle for 2 yards (tackle by Tyrel Dodson),-0.98,1.47,8.0,2024,117
4.0,13:08,1.0,10.0,BUF 38,24.0,3.0,Josh Allen pass complete deep right to Dawson Knox for 27 yards (tackle by Coby Bryant),1.47,3.25,8.0,2024,117
4.0,12:26,1.0,10.0,SEA 35,24.0,3.0,"Josh Allen pass incomplete deep right intended for Keon Coleman. Penalty on Riq Woolen: Defensive Pass Interference, 11 yards (accepted) (no play)",3.25,3.97,8.0,2024,117
4.0,12:20,1.0,10.0,SEA 24,24.0,3.0,James Cook right guard for 12 yards (tackle by Riq Woolen),3.97,4.78,8.0,2024,117
4.0,11:38,1.0,10.0,SEA 12,24.0,3.0,"Penalty on Johnathan Hankins: Encroachment, 5 yards (accepted) (no play)",4.78,5.93,8.0,2024,117
4.0,11:23,1.0,5.0,SEA 7,30.0,3.0,"James Cook up the middle for 7 yards, touchdown",5.93,7.0,8.0,2024,117
4.0,11:19,,,SEA 15,31.0,3.0,Tyler Bass kicks extra point good,0.0,0.0,8.0,2024,117
4.0,11:19,,,BUF 35,31.0,3.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,117
4.0,11:19,1.0,10.0,SEA 30,31.0,3.0,Geno Smith pass complete short left to Zach Charbonnet for 3 yards (tackle by Cameron Lewis),0.94,0.8,8.0,2024,117
4.0,10:58,2.0,7.0,SEA 33,31.0,3.0,Geno Smith pass complete short right to Noah Fant for 14 yards (tackle by Christian Benford and Baylon Spector),0.8,2.06,8.0,2024,117
4.0,10:29,1.0,10.0,SEA 47,31.0,3.0,Geno Smith pass incomplete short right,2.06,1.52,8.0,2024,117
4.0,10:20,2.0,10.0,SEA 47,31.0,3.0,Geno Smith pass complete deep middle to Jaxon Smith-Njigba for 18 yards (tackle by Cameron Lewis),1.52,3.25,8.0,2024,117
4.0,9:55,1.0,10.0,BUF 35,31.0,3.0,Geno Smith pass complete deep middle to AJ Barner for 20 yards (tackle by Baylon Spector),3.25,4.58,8.0,2024,117
4.0,9:32,1.0,10.0,BUF 15,31.0,3.0,Geno Smith pass incomplete short right,4.58,3.95,8.0,2024,117
4.0,9:28,2.0,10.0,BUF 15,31.0,3.0,Geno Smith pass complete short right to Zach Charbonnet for 12 yards (tackle by Taylor Rapp and Christian Benford),3.95,6.51,8.0,2024,117
4.0,8:46,1.0,3.0,BUF 3,31.0,3.0,Zach Charbonnet left guard for no gain (tackle by Taron Johnson and Austin Johnson),6.51,5.53,8.0,2024,117
4.0,8:11,2.0,3.0,BUF 3,31.0,3.0,"Geno Smith pass incomplete short middle intended for Tyler Lockett (defended by Damar Hamlin). Penalty on Damar Hamlin: Defensive Pass Interference, 2 yards (accepted) (no play)",5.53,6.97,8.0,2024,117
4.0,8:05,1.0,1.0,BUF 1,31.0,9.0,"Zach Charbonnet right tackle for 1 yard, touchdown",6.97,7.0,8.0,2024,117
4.0,8:02,,,BUF 15,31.0,10.0,Jason Myers kicks extra point good,0.0,0.0,8.0,2024,117
4.0,8:02,,,SEA 35,31.0,10.0,"Jason Myers kicks off 55 yards, returned by Ray Davis for 15 yards (tackle by Pharaoh Brown). Penalty on Reggie Gilliam: Offensive Holding, 10 yards (accepted)",0.0,-0.22,8.0,2024,117
4.0,7:55,1.0,10.0,BUF 15,31.0,10.0,Ray Davis up the middle for 4 yards (tackle by Josh Jobe),-0.22,-0.11,8.0,2024,117
4.0,7:49,,,,,,Timeout #2 by Seattle Seahawks,,,8.0,2024,117
4.0,7:49,2.0,6.0,BUF 19,31.0,10.0,"Penalty on Dion Dawkins: False Start, 5 yards (accepted) (no play)",-0.11,-0.82,8.0,2024,117
4.0,7:49,2.0,11.0,BUF 14,31.0,10.0,Josh Allen pass incomplete short left intended for Khalil Shakir (defended by Roy Robertson-Harris),-0.82,-1.51,8.0,2024,117
4.0,7:46,3.0,11.0,BUF 14,31.0,10.0,Josh Allen pass complete short left to Khalil Shakir for 8 yards (tackle by Devon Witherspoon and Josh Jobe),-1.51,-1.9,8.0,2024,117
4.0,7:37,,,,,,Timeout #3 by Seattle Seahawks,,,8.0,2024,117
4.0,7:37,4.0,3.0,BUF 22,31.0,10.0,"Sam Martin punts 58 yards, returned by Dee Williams for no gain (tackle by Cole Bishop and Casey Toohill). Penalty on Jerrick Reed: Tripping / Offense, 10 yards (accepted)",-1.9,0.38,8.0,2024,117
4.0,7:23,1.0,10.0,SEA 10,31.0,10.0,Geno Smith pass complete short left to Noah Fant for 6 yards (tackle by Cameron Lewis and Baylon Spector),-0.38,-0.23,8.0,2024,117
4.0,7:01,2.0,4.0,SEA 16,31.0,10.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 14 yards (tackle by Christian Benford),-0.23,0.94,8.0,2024,117
4.0,6:40,1.0,10.0,SEA 30,31.0,10.0,Geno Smith scrambles left end for 13 yards (tackle by Rasul Douglas),0.94,1.8,8.0,2024,117
4.0,6:17,1.0,10.0,SEA 43,31.0,10.0,Geno Smith pass incomplete short left intended for Zach Charbonnet,1.8,1.25,8.0,2024,117
4.0,6:14,2.0,10.0,SEA 43,31.0,10.0,Geno Smith pass complete short left to Noah Fant for 2 yards (tackle by Damar Hamlin),1.25,0.83,8.0,2024,117
4.0,5:52,3.0,8.0,SEA 45,31.0,10.0,Geno Smith sacked by Javon Solomon for -11 yards,0.83,-1.11,8.0,2024,117
4.0,5:15,,,,,,Timeout #1 by Buffalo Bills,,,8.0,2024,117
4.0,5:15,4.0,19.0,SEA 34,31.0,10.0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",-1.11,-1.44,8.0,2024,117
4.0,5:15,4.0,24.0,SEA 29,31.0,10.0,"Michael Dickson punts 58 yards, returned by Brandon Codrington for 12 yards (tackle by K'Von Wallace and Brady Russell)",-1.44,-0.61,8.0,2024,117
4.0,5:02,,,,,,Timeout #2 by Buffalo Bills,,,8.0,2024,117
4.0,5:02,1.0,10.0,BUF 25,31.0,10.0,Ray Davis left guard for 1 yard (tackle by Tyrel Dodson and Johnathan Hankins),0.61,0.2,8.0,2024,117
4.0,4:19,2.0,9.0,BUF 26,31.0,10.0,Ray Davis right guard for 8 yards (tackle by Byron Murphy and Ernest Jones),0.2,0.56,8.0,2024,117
4.0,3:37,3.0,1.0,BUF 34,31.0,10.0,Ray Davis right tackle for no gain (tackle by Roy Robertson-Harris and Ernest Jones),0.56,-1.11,8.0,2024,117
