Quarter,Time,Down,ToGo,Location,GNB,JAX,Detail,EPB,EPA,week,year,game_id
1.0,5:31,1.0,10.0,GNB 37,0.0,0.0,Josh Jacobs left end for 7 yards (tackle by Tyson Campbell),1.4,1.8,8.0,2024,115
1.0,4:55,2.0,3.0,GNB 44,0.0,0.0,Chris Brooks left tackle for 5 yards (tackle by Jordan Jefferson and Joe Gaziano),1.8,2.19,8.0,2024,115
1.0,4:17,1.0,10.0,GNB 49,0.0,0.0,Jordan Love pass complete short middle to Romeo Doubs for 18 yards (tackle by Darnell Savage),2.19,3.38,8.0,2024,115
1.0,3:35,1.0,10.0,JAX 33,0.0,0.0,Emanuel Wilson up the middle for 4 yards (tackle by Josh Hines-Allen and Tyson Campbell),3.38,3.38,8.0,2024,115
1.0,2:47,2.0,6.0,JAX 29,0.0,0.0,"Penalty on Rasheed Walker: False Start, 5 yards (accepted) (no play)",3.38,2.7,8.0,2024,115
1.0,2:23,2.0,11.0,JAX 34,0.0,0.0,Jordan Love pass complete short right to Dontayvion Wicks for 6 yards (tackle by Montaric Brown),2.7,2.81,8.0,2024,115
1.0,1:52,3.0,5.0,JAX 28,0.0,0.0,Jordan Love pass complete short right to Christian Watson for 6 yards (tackle by Ventrell Miller),2.81,4.11,8.0,2024,115
1.0,1:14,1.0,10.0,JAX 22,0.0,0.0,Josh Jacobs right end for -2 yards (tackle by Montaric Brown),4.11,3.29,8.0,2024,115
1.0,0:28,2.0,12.0,JAX 24,0.0,0.0,Jordan Love pass complete short left to Jayden Reed for 4 yards (tackle by Jeremiah Ledbetter),3.29,3.14,8.0,2024,115
2.0,14:48,3.0,8.0,JAX 20,0.0,0.0,"Jordan Love pass complete short middle to Chris Brooks for 6 yards (tackle by Foyesade Oluokun). Penalty on Travon Walker: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",3.14,4.58,8.0,2024,115
2.0,14:46,1.0,10.0,JAX 15,0.0,0.0,Josh Jacobs right end for -1 yards (tackle by Foyesade Oluokun),4.58,3.81,8.0,2024,115
2.0,14:08,2.0,11.0,JAX 16,0.0,0.0,"Jordan Love pass short left intended for Romeo Doubs is intercepted by Jarrian Jones at JAC-6 and returned for no gain Replay Assistant challenged the pass interception ruling, and the play was upheld.",3.81,0.38,8.0,2024,115
2.0,13:58,1.0,10.0,JAX 6,0.0,0.0,Tank Bigsby up the middle for 1 yard (tackle by Kenny Clark and Eric Wilson),-0.38,-0.63,8.0,2024,115
2.0,13:18,2.0,8.0,JAX 7,0.0,0.0,"Penalty on Luke Farrell: False Start, 3 yards (accepted) (no play)",-0.63,-0.93,8.0,2024,115
2.0,13:08,2.0,12.0,JAX 4,0.0,0.0,Trevor Lawrence pass deep right intended for Christian Kirk is intercepted by Xavier McKinney at JAC-28 and returned for no gain (tackle by Christian Kirk),-0.93,-3.71,8.0,2024,115
2.0,12:56,1.0,10.0,JAX 28,0.0,0.0,Josh Jacobs up the middle for 5 yards (tackle by Ventrell Miller),3.71,3.84,8.0,2024,115
2.0,12:22,2.0,5.0,JAX 23,0.0,0.0,Chris Brooks left tackle for -1 yards (tackle by Ventrell Miller and Josh Hines-Allen),3.84,3.01,8.0,2024,115
2.0,11:43,3.0,6.0,JAX 24,0.0,0.0,"Jordan Love pass incomplete deep right intended for Romeo Doubs. Penalty on Montaric Brown: Defensive Pass Interference, 21 yards (accepted) (no play)",3.01,6.51,8.0,2024,115
2.0,11:35,1.0,3.0,JAX 3,6.0,0.0,"Josh Jacobs up the middle for 3 yards, touchdown",6.51,7.0,8.0,2024,115
2.0,11:31,,,JAX 15,7.0,0.0,Brandon McManus kicks extra point good,0.0,0.0,8.0,2024,115
2.0,11:31,,,GNB 35,7.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,115
2.0,11:31,1.0,10.0,JAX 30,7.0,0.0,Tank Bigsby right end for 1 yard (tackle by Keisean Nixon and Isaiah McDuffie),0.94,0.53,8.0,2024,115
2.0,10:54,2.0,9.0,JAX 31,7.0,0.0,Tank Bigsby right tackle for 7 yards (tackle by Keisean Nixon),0.53,0.76,8.0,2024,115
2.0,10:15,3.0,2.0,JAX 38,7.0,0.0,Tank Bigsby left end for -1 yards (tackle by Eric Wilson and Edgerrin Cooper),0.76,-0.91,8.0,2024,115
2.0,9:24,4.0,3.0,JAX 37,7.0,0.0,"Logan Cooke punts 63 yards, touchback.",-0.91,-0.28,8.0,2024,115
2.0,9:24,1.0,10.0,GNB 20,7.0,0.0,Josh Jacobs right guard for 4 yards (tackle by Jordan Jefferson and Tyler Lacy),0.28,0.27,8.0,2024,115
2.0,8:47,2.0,6.0,GNB 24,7.0,0.0,Jordan Love pass complete deep middle to Tucker Kraft for 67 yards (tackle by Andre Cisco),0.27,5.14,8.0,2024,115
2.0,7:59,1.0,9.0,JAX 9,7.0,0.0,"Josh Jacobs right end for no gain (tackle by Travon Walker). Penalty on Christian Watson: Illegal Shift, 5 yards (accepted) (no play)",5.14,4.44,8.0,2024,115
2.0,7:35,1.0,14.0,JAX 14,7.0,0.0,Jordan Love pass incomplete short right intended for Ben Sims,4.44,3.58,8.0,2024,115
2.0,7:26,2.0,14.0,JAX 14,7.0,0.0,Emanuel Wilson left end for no gain (tackle by Jeremiah Ledbetter and Foyesade Oluokun),3.58,3.0,8.0,2024,115
2.0,6:46,3.0,14.0,JAX 14,7.0,0.0,Jordan Love pass complete short left to Emanuel Wilson for 1 yard (tackle by Foyesade Oluokun),3.0,2.57,8.0,2024,115
2.0,6:07,4.0,13.0,JAX 13,10.0,0.0,Brandon McManus 31 yard field goal good,2.57,3.0,8.0,2024,115
2.0,6:03,,,GNB 35,10.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,115
2.0,6:03,1.0,10.0,JAX 30,10.0,0.0,Trevor Lawrence pass complete deep right to Christian Kirk for 33 yards (tackle by Xavier McKinney and Evan Williams),0.94,3.12,8.0,2024,115
2.0,5:23,1.0,10.0,GNB 37,10.0,0.0,D'Ernest Johnson left guard for 3 yards (tackle by Isaiah McDuffie and Karl Brooks),3.12,2.98,8.0,2024,115
2.0,4:45,2.0,7.0,GNB 34,10.0,0.0,Trevor Lawrence pass complete short right to Brian Thomas for 18 yards (tackle by Edgerrin Cooper and Javon Bullard),2.98,4.51,8.0,2024,115
2.0,4:04,1.0,10.0,GNB 16,10.0,0.0,Tank Bigsby up the middle for 14 yards (tackle by Xavier McKinney and Edgerrin Cooper),4.51,6.74,8.0,2024,115
2.0,3:18,1.0,2.0,GNB 2,10.0,0.0,Tank Bigsby up the middle for 1 yard (tackle by Eric Wilson),6.74,5.91,8.0,2024,115
2.0,2:58,2.0,1.0,GNB 1,10.0,0.0,"Trevor Lawrence pass incomplete short right intended for Evan Engram. Penalty on Tim Jones: Illegal Motion, 5 yards (accepted) (no play)",5.91,4.95,8.0,2024,115
2.0,2:46,2.0,6.0,GNB 6,10.0,6.0,"Trevor Lawrence left end for 6 yards, touchdown",4.95,7.0,8.0,2024,115
2.0,2:37,,,GNB 15,10.0,7.0,Cam Little kicks extra point good,0.0,0.0,8.0,2024,115
2.0,2:37,,,JAX 35,10.0,7.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,115
2.0,2:37,1.0,10.0,GNB 30,10.0,7.0,Jordan Love pass complete short right to Christian Watson for 12 yards (tackle by Ventrell Miller and Jarrian Jones),0.94,1.73,8.0,2024,115
2.0,2:00,1.0,10.0,GNB 42,10.0,7.0,Jordan Love pass incomplete deep left intended for Christian Watson,1.73,1.19,8.0,2024,115
2.0,1:55,2.0,10.0,GNB 42,10.0,7.0,Jordan Love pass complete deep right to Romeo Doubs for 25 yards (tackle by Deantre Prince),1.19,3.38,8.0,2024,115
2.0,1:45,1.0,10.0,JAX 33,10.0,7.0,Chris Brooks up the middle for 4 yards (tackle by DaVon Hamilton),3.38,3.38,8.0,2024,115
2.0,1:20,2.0,6.0,JAX 29,10.0,7.0,Jordan Love pass complete short left to Chris Brooks for 1 yard (tackle by Ventrell Miller),3.38,2.81,8.0,2024,115
2.0,1:18,,,,,,Timeout #1 by Jacksonville Jaguars,,,8.0,2024,115
2.0,1:18,,,,,,Timeout #2 by Green Bay Packers,,,8.0,2024,115
2.0,1:18,3.0,5.0,JAX 28,10.0,7.0,Jordan Love pass incomplete deep right intended for Bo Melton,2.81,1.63,8.0,2024,115
2.0,1:12,,,,,,Timeout #3 by Green Bay Packers,,,8.0,2024,115
2.0,1:12,4.0,5.0,JAX 28,10.0,7.0,"Penalty on JAX: Defensive Delay of Game, 5 yards (accepted) (no play)",1.63,4.04,8.0,2024,115
2.0,1:12,1.0,10.0,JAX 23,10.0,7.0,Jordan Love pass incomplete deep left intended for Romeo Doubs,4.04,3.5,8.0,2024,115
2.0,1:07,2.0,10.0,JAX 23,10.0,7.0,Josh Jacobs up the middle for 4 yards (tackle by Ventrell Miller),3.5,3.34,8.0,2024,115
2.0,1:03,,,,,,Timeout #2 by Jacksonville Jaguars,,,8.0,2024,115
2.0,1:03,3.0,6.0,JAX 19,10.0,7.0,Jordan Love pass incomplete deep left intended for Christian Watson,3.34,2.21,8.0,2024,115
2.0,0:58,4.0,6.0,JAX 19,13.0,7.0,Brandon McManus 38 yard field goal good,2.21,3.0,8.0,2024,115
2.0,0:54,,,GNB 35,13.0,7.0,"Brandon McManus kicks off 69 yards, returned by Parker Washington for 30 yards (tackle by Edgerrin Cooper and Chris Brooks)",0.0,0.67,8.0,2024,115
2.0,0:48,1.0,10.0,JAX 26,13.0,7.0,Trevor Lawrence pass complete short left to Evan Engram for 2 yards (tackle by Keisean Nixon),0.67,0.4,8.0,2024,115
2.0,0:30,2.0,8.0,JAX 28,13.0,7.0,Trevor Lawrence pass complete deep left to Parker Washington for 23 yards (tackle by Xavier McKinney),0.4,2.32,8.0,2024,115
2.0,0:23,1.0,10.0,GNB 49,13.0,7.0,Trevor Lawrence pass complete deep right to Brian Thomas for 28 yards (tackle by Xavier McKinney),2.32,4.17,8.0,2024,115
2.0,0:16,,,,,,Timeout #3 by Jacksonville Jaguars,,,8.0,2024,115
2.0,0:16,1.0,10.0,GNB 21,13.0,7.0,Trevor Lawrence pass incomplete short right,4.17,3.63,8.0,2024,115
2.0,0:10,2.0,10.0,GNB 21,13.0,7.0,Trevor Lawrence pass incomplete short right,3.63,2.94,8.0,2024,115
2.0,0:07,3.0,10.0,GNB 21,13.0,10.0,Cam Little 39 yard field goal good,2.94,3.0,8.0,2024,115
2.0,0:03,,,JAX 35,13.0,10.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,115
2.0,0:03,1.0,10.0,GNB 30,13.0,10.0,Jordan Love kneels for -1 yards,0.94,0.26,8.0,2024,115
3.0,15:00,,,GNB 35,13.0,10.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,115
3.0,15:00,1.0,10.0,JAX 30,13.0,10.0,Tank Bigsby left end for 4 yards (tackle by Isaiah McDuffie),0.94,0.93,8.0,2024,115
3.0,14:22,2.0,6.0,JAX 34,13.0,10.0,Tank Bigsby up the middle for 4 yards (tackle by Rashan Gary),0.93,0.76,8.0,2024,115
3.0,13:45,3.0,2.0,JAX 38,13.0,10.0,Trevor Lawrence pass incomplete short left intended for D'Ernest Johnson,0.76,-0.85,8.0,2024,115
3.0,13:38,4.0,2.0,JAX 38,13.0,10.0,"Logan Cooke punts 62 yards, touchback.",-0.85,-0.28,8.0,2024,115
3.0,13:31,1.0,10.0,GNB 20,13.0,10.0,Jordan Love pass complete short middle to Christian Watson for 14 yards (tackle by Montaric Brown),0.28,1.2,8.0,2024,115
3.0,12:52,1.0,10.0,GNB 34,13.0,10.0,Josh Jacobs up the middle for 3 yards (tackle by Tyler Lacy and DaVon Hamilton),1.2,1.06,8.0,2024,115
3.0,12:10,2.0,7.0,GNB 37,13.0,10.0,Jordan Love pass complete short left to Josh Jacobs for -2 yards (tackle by Devin Lloyd),1.06,0.1,8.0,2024,115
3.0,11:30,3.0,9.0,GNB 35,13.0,10.0,Malik Willis scrambles up the middle for 5 yards (tackle by Arik Armstead),0.1,-0.72,8.0,2024,115
3.0,10:51,4.0,4.0,GNB 40,13.0,10.0,"Daniel Whelan punts 53 yards, fair catch by Parker Washington at JAC-7",-0.72,0.38,8.0,2024,115
3.0,10:43,1.0,10.0,JAX 7,13.0,10.0,Trevor Lawrence pass complete short left to Tim Jones for 20 yards (tackle by Jaire Alexander),-0.38,0.74,8.0,2024,115
3.0,10:07,1.0,10.0,JAX 27,13.0,10.0,Tank Bigsby right tackle for 16 yards (tackle by Lukas Van Ness),0.74,1.8,8.0,2024,115
3.0,9:42,1.0,10.0,JAX 43,13.0,10.0,"Tank Bigsby up the middle for 6 yards (tackle by Lukas Van Ness) GNB challenged the fumble ruling, and the play was upheld.",1.8,2.06,8.0,2024,115
3.0,9:15,2.0,4.0,JAX 49,13.0,10.0,"Penalty on Tim Jones: False Start, 5 yards (accepted) (no play)",2.06,1.39,8.0,2024,115
3.0,9:15,2.0,9.0,JAX 44,13.0,10.0,Trevor Lawrence pass complete short left to Evan Engram for 8 yards (tackle by Xavier McKinney and Eric Wilson),1.39,1.75,8.0,2024,115
3.0,8:34,3.0,1.0,GNB 48,13.0,10.0,Tank Bigsby up the middle for no gain (tackle by Edgerrin Cooper and Javon Bullard),1.75,0.07,8.0,2024,115
3.0,7:56,4.0,1.0,GNB 48,13.0,10.0,Trevor Lawrence up the middle for 2 yards (tackle by Kenny Clark),0.07,2.52,8.0,2024,115
3.0,7:15,1.0,10.0,GNB 46,13.0,10.0,Tank Bigsby up the middle for 1 yard (tackle by Karl Brooks and Kingsley Enagbare),2.52,2.11,8.0,2024,115
3.0,6:39,2.0,9.0,GNB 45,13.0,10.0,Trevor Lawrence pass complete deep left to Christian Kirk for 26 yards (tackle by Javon Bullard),2.11,4.31,8.0,2024,115
3.0,5:56,1.0,10.0,GNB 19,13.0,10.0,Tank Bigsby up the middle for 5 yards (tackle by Colby Wooden and Kingsley Enagbare),4.31,4.53,8.0,2024,115
3.0,5:17,2.0,5.0,GNB 14,13.0,16.0,"Trevor Lawrence pass complete short middle to Brian Thomas for 14 yards, touchdown",4.53,7.0,8.0,2024,115
3.0,5:10,,,GNB 15,13.0,17.0,Cam Little kicks extra point good,0.0,0.0,8.0,2024,115
3.0,5:10,,,JAX 35,13.0,17.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.28,8.0,2024,115
3.0,5:10,1.0,10.0,GNB 20,13.0,17.0,Josh Jacobs up the middle for 5 yards (tackle by Devin Lloyd and Darnell Savage),0.28,0.41,8.0,2024,115
3.0,4:59,2.0,5.0,GNB 25,13.0,17.0,Josh Jacobs up the middle for 4 yards (tackle by Jeremiah Ledbetter),0.41,0.23,8.0,2024,115
3.0,3:59,3.0,1.0,GNB 29,13.0,17.0,Josh Jacobs up the middle for 2 yards (tackle by Jordan Jefferson),0.23,1.0,8.0,2024,115
3.0,3:17,1.0,10.0,GNB 31,13.0,17.0,Josh Jacobs up the middle for 5 yards (tackle by Jeremiah Ledbetter),1.0,1.14,8.0,2024,115
3.0,2:44,2.0,5.0,GNB 36,13.0,17.0,Emanuel Wilson up the middle for 1 yard (tackle by DaVon Hamilton),1.14,0.56,8.0,2024,115
3.0,1:59,3.0,4.0,GNB 37,13.0,17.0,Malik Willis pass complete short left to Dontayvion Wicks for 5 yards (tackle by Tyson Campbell),0.56,1.73,8.0,2024,115
3.0,1:21,1.0,10.0,GNB 42,13.0,17.0,Malik Willis scrambles right end for 20 yards (tackle by Darnell Savage),1.73,3.05,8.0,2024,115
3.0,0:31,1.0,10.0,JAX 38,19.0,17.0,"Josh Jacobs up the middle for 38 yards, touchdown",3.05,7.0,8.0,2024,115
3.0,0:21,,,JAX 15,20.0,17.0,Brandon McManus kicks extra point good,0.0,0.0,8.0,2024,115
3.0,0:21,,,GNB 35,20.0,17.0,"Brandon McManus kicks off 65 yards, returned by Parker Washington for 21 yards (tackle by Javon Bullard). Penalty on Daniel Thomas: Offensive Illegal Block Above the Waist, 10 yards (accepted)",0.0,-0.37,8.0,2024,115
3.0,0:12,1.0,10.0,JAX 11,20.0,17.0,Tank Bigsby right end for 3 yards (tackle by Javon Bullard and Isaiah McDuffie),-0.37,-0.53,8.0,2024,115
4.0,15:00,2.0,7.0,JAX 14,20.0,17.0,Trevor Lawrence pass incomplete short left intended for Tank Bigsby (defended by Colby Wooden),-0.53,-1.07,8.0,2024,115
4.0,14:55,3.0,7.0,JAX 14,20.0,17.0,"Trevor Lawrence sacked by Edgerrin Cooper for -9 yards. Trevor Lawrence fumbles (forced by Edgerrin Cooper), recovered by Devonte Wyatt at JAC-5. Penalty on Parker Washington: Illegal Motion, 5 yards (declined)",-1.07,-6.06,8.0,2024,115
4.0,14:46,1.0,5.0,JAX 5,20.0,17.0,Josh Jacobs up the middle for 2 yards (tackle by Tyler Lacy and Travon Walker),6.06,5.53,8.0,2024,115
4.0,14:12,2.0,3.0,JAX 3,26.0,17.0,"Malik Willis pass complete short right to Tucker Kraft for 3 yards, touchdown",5.53,7.0,8.0,2024,115
4.0,14:06,,,JAX 15,27.0,17.0,Brandon McManus kicks extra point good,0.0,0.0,8.0,2024,115
4.0,14:06,,,GNB 35,27.0,17.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,115
4.0,14:06,1.0,10.0,JAX 30,27.0,17.0,Tank Bigsby right end for -1 yards (tackle by Lukas Van Ness and Kenny Clark),0.94,0.26,8.0,2024,115
4.0,13:31,2.0,11.0,JAX 29,27.0,17.0,Trevor Lawrence pass incomplete short middle intended for Evan Engram,0.26,-0.43,8.0,2024,115
4.0,13:24,3.0,11.0,JAX 29,27.0,17.0,Trevor Lawrence pass incomplete deep middle intended for Christian Kirk (defended by Edgerrin Cooper),-0.43,-1.44,8.0,2024,115
4.0,13:17,4.0,11.0,JAX 29,27.0,17.0,"Logan Cooke punts 60 yards, returned by Jayden Reed for 13 yards (tackle by Ross Matiscik and Ventrell Miller)",-1.44,-0.54,8.0,2024,115
4.0,13:05,1.0,10.0,GNB 24,27.0,17.0,Josh Jacobs up the middle for 11 yards (tackle by Andre Cisco),0.54,1.27,8.0,2024,115
4.0,12:28,1.0,10.0,GNB 35,27.0,17.0,Josh Jacobs up the middle for 8 yards (tackle by Josh Hines-Allen),1.27,1.8,8.0,2024,115
4.0,11:52,2.0,2.0,GNB 43,27.0,17.0,Josh Jacobs up the middle for 3 yards (tackle by Tyler Lacy),1.8,1.99,8.0,2024,115
4.0,11:17,1.0,10.0,GNB 46,27.0,17.0,Emanuel Wilson right tackle for no gain (tackle by Joe Gaziano and Foyesade Oluokun),1.99,1.45,8.0,2024,115
4.0,10:32,2.0,10.0,GNB 46,27.0,17.0,Malik Willis pass incomplete short middle intended for Romeo Doubs,1.45,0.76,8.0,2024,115
4.0,10:21,3.0,10.0,GNB 46,27.0,17.0,Malik Willis pass complete short right to Emanuel Wilson for -3 yards (tackle by Montaric Brown),0.76,-0.52,8.0,2024,115
4.0,9:47,4.0,13.0,GNB 43,27.0,17.0,"Daniel Whelan punts 37 yards, fair catch by Parker Washington at JAC-20",-0.52,-0.28,8.0,2024,115
4.0,9:40,1.0,10.0,JAX 20,27.0,17.0,Tank Bigsby up the middle for 3 yards (tackle by Colby Wooden),0.28,0.14,8.0,2024,115
4.0,9:13,2.0,7.0,JAX 23,27.0,17.0,Trevor Lawrence pass complete short middle to Parker Washington for 8 yards (tackle by Eric Wilson and Edgerrin Cooper),0.14,1.0,8.0,2024,115
4.0,8:49,1.0,10.0,JAX 31,27.0,17.0,Trevor Lawrence pass complete short left to Brenton Strange for 21 yards (tackle by Isaiah McDuffie and Eric Wilson),1.0,2.39,8.0,2024,115
4.0,8:17,1.0,10.0,GNB 48,27.0,17.0,Tank Bigsby left tackle for 14 yards (tackle by Xavier McKinney),2.39,3.31,8.0,2024,115
4.0,7:43,1.0,10.0,GNB 34,27.0,17.0,Trevor Lawrence pass complete short left to Brenton Strange for 5 yards (tackle by Isaiah McDuffie),3.31,3.45,8.0,2024,115
4.0,7:09,2.0,5.0,GNB 29,27.0,17.0,Trevor Lawrence pass complete short left to Tank Bigsby for 2 yards (tackle by Edgerrin Cooper),3.45,3.01,8.0,2024,115
4.0,6:17,3.0,3.0,GNB 27,27.0,17.0,"Mitch Morse aborted snap, recovered by Trevor Lawrence at GB-29",3.01,1.54,8.0,2024,115
4.0,5:39,4.0,5.0,GNB 29,27.0,20.0,Cam Little 47 yard field goal good,1.54,3.0,8.0,2024,115
4.0,5:36,,,JAX 35,27.0,20.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,115
4.0,5:36,1.0,10.0,GNB 30,27.0,20.0,Josh Jacobs up the middle for 1 yard (tackle by Jeremiah Ledbetter),0.94,0.53,8.0,2024,115
4.0,4:54,2.0,9.0,GNB 31,27.0,20.0,Josh Jacobs right end for 2 yards (tackle by DaVon Hamilton and Foyesade Oluokun),0.53,0.1,8.0,2024,115
4.0,4:14,3.0,7.0,GNB 33,27.0,20.0,Malik Willis sacked by and Travon Walker for no gain and Josh Hines-Allen for no gain,0.1,-1.18,8.0,2024,115
4.0,4:03,,,,,,Timeout #1 by Jacksonville Jaguars,,,8.0,2024,115
4.0,4:03,4.0,7.0,GNB 33,27.0,20.0,"Daniel Whelan punts 63 yards, returned by Parker Washington for 9 yards (tackle by Bo Melton)",-1.18,0.32,8.0,2024,115
4.0,3:50,1.0,10.0,JAX 13,27.0,20.0,Trevor Lawrence pass complete short right to Evan Engram for 12 yards (tackle by Keisean Nixon and Eric Wilson),-0.32,0.61,8.0,2024,115
4.0,3:25,1.0,10.0,JAX 25,27.0,20.0,Trevor Lawrence pass complete short right to Parker Washington for 15 yards (tackle by Eric Stokes),0.61,1.6,8.0,2024,115
4.0,3:19,1.0,10.0,JAX 40,27.0,20.0,Trevor Lawrence pass complete short middle to D'Ernest Johnson for 20 yards (tackle by Eric Wilson),1.6,2.92,8.0,2024,115
4.0,2:53,1.0,10.0,GNB 40,27.0,20.0,Trevor Lawrence pass complete short right to Brenton Strange for 5 yards (tackle by Javon Bullard),2.92,3.05,8.0,2024,115
4.0,2:24,2.0,5.0,GNB 35,27.0,20.0,Trevor Lawrence pass incomplete short left intended for Tim Jones (defended by Jaire Alexander),3.05,2.34,8.0,2024,115
4.0,2:12,3.0,5.0,GNB 35,27.0,20.0,Trevor Lawrence pass complete deep middle to Brenton Strange for 21 yards (tackle by Edgerrin Cooper),2.34,4.65,8.0,2024,115
4.0,2:00,1.0,10.0,GNB 14,27.0,20.0,Trevor Lawrence pass incomplete short right intended for Parker Washington (defended by Jaire Alexander),4.65,4.0,8.0,2024,115
4.0,1:54,2.0,10.0,GNB 14,27.0,26.0,"Trevor Lawrence pass complete short right to Evan Engram for 14 yards, touchdown",4.0,7.0,8.0,2024,115
4.0,1:48,,,GNB 15,27.0,27.0,Cam Little kicks extra point good,0.0,0.0,8.0,2024,115
4.0,1:48,,,JAX 35,27.0,27.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,115
4.0,1:48,1.0,10.0,GNB 30,27.0,27.0,Josh Jacobs up the middle for 4 yards (tackle by Foyesade Oluokun and Darnell Savage),0.94,0.93,8.0,2024,115
4.0,1:14,2.0,6.0,GNB 34,27.0,27.0,Malik Willis pass complete deep left to Jayden Reed for 51 yards (tackle by Darnell Savage),0.93,4.58,8.0,2024,115
4.0,1:04,1.0,10.0,JAX 15,27.0,27.0,Josh Jacobs right guard for 3 yards (tackle by DaVon Hamilton),4.58,4.45,8.0,2024,115
4.0,0:59,,,,,,Timeout #2 by Jacksonville Jaguars,,,8.0,2024,115
