Quarter,Time,Down,ToGo,Location,NOR,LAC,Detail,EPB,EPA,week,year,game_id
2.0,13:06,4.0,12.0,NOR 28,2.0,3.0,"Matthew Hayball punts 58 yards, returned by Ladd McConkey for 11 yards (tackle by J.T. Gray)",-1.5,-0.61,8.0,2024,118
2.0,12:55,1.0,10.0,LAC 25,2.0,3.0,J.K. Dobbins left end for 5 yards (tackle by Willie Gay),0.61,0.74,8.0,2024,118
2.0,12:20,2.0,5.0,LAC 30,2.0,3.0,J.K. Dobbins right guard for 3 yards (tackle by Demario Davis and Payton Turner),0.74,0.43,8.0,2024,118
2.0,11:39,3.0,2.0,LAC 33,2.0,3.0,Justin Herbert pass incomplete short left intended for J.K. Dobbins (defended by Alontae Taylor),0.43,-1.18,8.0,2024,118
2.0,11:34,4.0,2.0,LAC 33,2.0,3.0,"JK Scott punts 63 yards, returned by Jermaine Jackson for 9 yards (tackle by AJ Finley)",-1.18,0.32,8.0,2024,118
2.0,11:25,1.0,10.0,NOR 13,2.0,3.0,Spencer Rattler pass complete short left to Alvin Kamara for 6 yards (tackle by Alohi Gilman),-0.32,0.03,8.0,2024,118
2.0,11:02,2.0,4.0,NOR 19,2.0,3.0,Spencer Rattler pass complete short left to Alvin Kamara for 37 yards (tackle by Derwin James),0.03,2.65,8.0,2024,118
2.0,10:26,1.0,10.0,LAC 44,2.0,3.0,Spencer Rattler pass incomplete short left intended for Adam Prentice (defended by Daiyan Henley),2.65,2.11,8.0,2024,118
2.0,10:21,2.0,10.0,LAC 44,2.0,3.0,"Kendre Miller right end for no gain (tackle by Daiyan Henley and Alohi Gilman). Penalty on Lucas Patrick: Offensive Holding, 10 yards (accepted) (no play)",2.11,0.76,8.0,2024,118
2.0,10:03,2.0,20.0,NOR 46,2.0,3.0,"Spencer Rattler pass incomplete short middle intended for Taysom Hill LAC challenged the pass interception ruling, and the play was upheld.",0.76,0.1,8.0,2024,118
2.0,9:53,3.0,20.0,NOR 46,2.0,3.0,Spencer Rattler pass incomplete short left intended for Alvin Kamara,0.1,-0.32,8.0,2024,118
2.0,9:50,4.0,20.0,NOR 46,2.0,3.0,"Matthew Hayball punts 44 yards, fair catch by Ladd McConkey at LAC-10",-0.32,0.38,8.0,2024,118
2.0,9:44,1.0,10.0,LAC 10,2.0,3.0,Kimani Vidal up the middle for 3 yards (tackle by Khalen Saunders and Alontae Taylor),-0.38,-0.56,8.0,2024,118
2.0,9:05,2.0,7.0,LAC 13,2.0,3.0,Justin Herbert pass complete short left to Will Dissly for 16 yards (tackle by Pete Werner),-0.56,0.87,8.0,2024,118
2.0,8:25,1.0,10.0,LAC 29,2.0,3.0,J.K. Dobbins right end for 2 yards (tackle by Demario Davis and Jordan Howden),0.87,0.6,8.0,2024,118
2.0,7:45,2.0,8.0,LAC 31,2.0,3.0,"Justin Herbert pass complete short middle to J.K. Dobbins for 10 yards (tackle by Chase Young). Penalty on Nathan Shepherd: Unnecessary Roughness / Defense, 15 yards (offset) . Penalty on Bradley Bozeman: Unnecessary Roughness / Offense, 15 yards (offset) (no play)",0.6,0.6,8.0,2024,118
2.0,7:31,2.0,8.0,LAC 31,2.0,3.0,Justin Herbert pass complete short middle to Ladd McConkey for 15 yards (tackle by Marshon Lattimore),0.6,1.99,8.0,2024,118
2.0,6:46,1.0,10.0,LAC 46,2.0,3.0,Kimani Vidal left end for 5 yards (tackle by Khalen Saunders),1.99,2.13,8.0,2024,118
2.0,6:09,2.0,5.0,NOR 49,2.0,3.0,Kimani Vidal up the middle for 1 yard (tackle by Carl Granderson and Pete Werner),2.13,1.55,8.0,2024,118
2.0,5:28,3.0,4.0,NOR 48,2.0,3.0,Justin Herbert pass complete short right to Ladd McConkey for 5 yards (tackle by Alontae Taylor),1.55,2.72,8.0,2024,118
2.0,4:44,1.0,10.0,NOR 43,2.0,3.0,Justin Herbert scrambles right guard for 9 yards (tackle by Pete Werner and Kool-Aid McKinstry),2.72,3.39,8.0,2024,118
2.0,4:06,2.0,1.0,NOR 34,2.0,3.0,J.K. Dobbins right guard for 2 yards (tackle by John Ridgeway and Demario Davis),3.39,3.45,8.0,2024,118
2.0,3:26,1.0,10.0,NOR 32,2.0,3.0,Justin Herbert scrambles left end for 3 yards (tackle by Demario Davis),3.45,3.31,8.0,2024,118
2.0,2:44,2.0,7.0,NOR 29,2.0,3.0,J.K. Dobbins left end for 9 yards (tackle by Marshon Lattimore),3.31,4.24,8.0,2024,118
2.0,2:08,1.0,10.0,NOR 20,2.0,3.0,Justin Herbert pass incomplete deep left intended for Simi Fehoko (defended by Marshon Lattimore),4.24,3.69,8.0,2024,118
2.0,2:01,,,,,,Timeout #2 by Los Angeles Chargers,,,8.0,2024,118
2.0,2:01,2.0,10.0,NOR 20,2.0,3.0,"Justin Herbert pass incomplete deep left intended for Simi Fehoko. Penalty on Marshon Lattimore: Defensive Pass Interference, 17 yards (accepted) (no play)",3.69,6.51,8.0,2024,118
2.0,1:57,1.0,3.0,NOR 3,2.0,3.0,"Penalty on Eric Tomlinson: False Start, 5 yards (accepted) (no play)",6.51,5.37,8.0,2024,118
2.0,1:57,1.0,8.0,NOR 8,2.0,3.0,Justin Herbert pass complete short middle to Ladd McConkey for 7 yards (tackle by Tyrann Mathieu),5.37,5.91,8.0,2024,118
2.0,1:47,,,,,,Timeout #1 by New Orleans Saints,,,8.0,2024,118
2.0,1:47,2.0,1.0,NOR 1,2.0,3.0,Hassan Haskins left end for no gain (tackle by John Ridgeway),5.91,5.17,8.0,2024,118
2.0,1:40,,,,,,Timeout #2 by New Orleans Saints,,,8.0,2024,118
2.0,1:40,3.0,1.0,NOR 1,2.0,9.0,"J.K. Dobbins right end for 1 yard, touchdown",5.17,7.0,8.0,2024,118
2.0,1:37,,,NOR 15,2.0,9.0,Cameron Dicker kicks extra point no good,0.0,-1.0,8.0,2024,118
2.0,1:37,,,LAC 35,2.0,9.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,118
2.0,1:37,1.0,10.0,NOR 30,2.0,9.0,Spencer Rattler pass complete short left to Alvin Kamara for 4 yards (tackle by Cam Hart),0.94,0.93,8.0,2024,118
2.0,1:33,2.0,6.0,NOR 34,2.0,9.0,Spencer Rattler pass complete short middle to Chris Olave for 15 yards (tackle by Daiyan Henley),0.93,2.19,8.0,2024,118
2.0,1:11,1.0,10.0,NOR 49,2.0,9.0,"Spencer Rattler pass complete short right to Juwan Johnson for no gain (tackle by Elijah Molden). Penalty on Connor McGovern: Ineligible Downfield Pass, 4 yards (accepted) (no play)",2.19,1.93,8.0,2024,118
2.0,1:08,1.0,14.0,NOR 45,2.0,9.0,Spencer Rattler sacked by Tuli Tuipulotu for -2 yards,1.93,0.84,8.0,2024,118
2.0,0:46,2.0,16.0,NOR 43,2.0,9.0,Spencer Rattler pass complete short middle to Mason Tipton for 10 yards (tackle by Elijah Molden),0.84,1.49,8.0,2024,118
2.0,0:30,3.0,6.0,LAC 47,2.0,9.0,Spencer Rattler pass complete short middle to Juwan Johnson for 22 yards (tackle by Daiyan Henley),1.49,3.91,8.0,2024,118
2.0,0:22,,,,,,Timeout #3 by New Orleans Saints,,,8.0,2024,118
2.0,0:22,1.0,10.0,LAC 25,2.0,9.0,Spencer Rattler pass complete short right to Alvin Kamara for 3 yards (tackle by Junior Colson),3.91,3.77,8.0,2024,118
2.0,0:18,2.0,7.0,LAC 22,2.0,9.0,Spencer Rattler pass incomplete short left,3.77,3.07,8.0,2024,118
2.0,0:13,3.0,7.0,LAC 22,2.0,9.0,Spencer Rattler pass incomplete short right,3.07,1.99,8.0,2024,118
2.0,0:09,4.0,7.0,LAC 22,5.0,9.0,Blake Grupe 40 yard field goal good,1.99,3.0,8.0,2024,118
2.0,0:05,,,NOR 35,5.0,9.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,118
2.0,0:05,1.0,10.0,LAC 30,5.0,9.0,Justin Herbert kneels for -1 yards,0.94,0.26,8.0,2024,118
3.0,15:00,,,LAC 35,5.0,9.0,"Cameron Dicker kicks off 66 yards, returned by Kendre Miller for 41 yards (tackle by Nick Niemann and Daiyan Henley)",0.0,1.6,8.0,2024,118
3.0,14:52,1.0,10.0,NOR 40,5.0,9.0,Alvin Kamara left end for 3 yards (tackle by Daiyan Henley),1.6,1.46,8.0,2024,118
3.0,14:14,2.0,7.0,NOR 43,5.0,9.0,Spencer Rattler pass incomplete short left intended for Alvin Kamara,1.46,0.76,8.0,2024,118
3.0,14:09,3.0,7.0,NOR 43,5.0,9.0,Spencer Rattler pass complete short right to Mason Tipton for 4 yards (tackle by Tarheeb Still),0.76,-0.26,8.0,2024,118
3.0,13:23,4.0,3.0,NOR 47,5.0,9.0,"Matthew Hayball punts 43 yards, fair catch by Ladd McConkey at LAC-10",-0.26,0.38,8.0,2024,118
3.0,13:18,1.0,10.0,LAC 10,5.0,9.0,Justin Herbert pass complete deep right to Josh Palmer for 27 yards (tackle by Tyrann Mathieu),-0.38,1.4,8.0,2024,118
3.0,12:43,1.0,10.0,LAC 37,5.0,9.0,Kimani Vidal left end for 4 yards (tackle by Demario Davis),1.4,1.4,8.0,2024,118
3.0,12:03,2.0,6.0,LAC 41,5.0,9.0,Justin Herbert pass incomplete deep middle intended for Simi Fehoko,1.4,0.7,8.0,2024,118
3.0,12:00,3.0,6.0,LAC 41,5.0,9.0,Justin Herbert pass incomplete short right intended for Will Dissly,0.7,-0.65,8.0,2024,118
3.0,11:56,4.0,6.0,LAC 41,5.0,9.0,"JK Scott punts 54 yards, fair catch by Jermaine Jackson at NO-5",-0.65,0.38,8.0,2024,118
3.0,11:48,1.0,10.0,NOR 5,5.0,9.0,Kendre Miller left tackle for 10 yards (tackle by Derwin James),-0.38,-0.22,8.0,2024,118
3.0,11:12,1.0,10.0,NOR 15,5.0,9.0,Kendre Miller left guard for 5 yards (tackle by Morgan Fox),-0.22,0.08,8.0,2024,118
3.0,10:35,2.0,5.0,NOR 20,5.0,9.0,Spencer Rattler sacked by Scott Matlock for -6 yards,0.08,-1.51,8.0,2024,118
3.0,9:51,3.0,11.0,NOR 14,5.0,9.0,Spencer Rattler pass incomplete short middle intended for Chris Olave,-1.51,-2.47,8.0,2024,118
3.0,9:48,4.0,11.0,NOR 14,5.0,9.0,"Matthew Hayball punts 59 yards, returned by Ladd McConkey for 12 yards (tackle by J.T. Gray)",-2.47,-1.53,8.0,2024,118
3.0,9:36,1.0,10.0,LAC 39,5.0,9.0,J.K. Dobbins left guard for 1 yard (tackle by Tyrann Mathieu),1.53,1.12,8.0,2024,118
3.0,9:01,2.0,9.0,LAC 40,5.0,15.0,"Justin Herbert pass complete deep right to Ladd McConkey for 60 yards, touchdown",1.12,7.0,8.0,2024,118
3.0,8:48,,,NOR 15,5.0,16.0,Cameron Dicker kicks extra point good,0.0,0.0,8.0,2024,118
3.0,8:48,,,LAC 35,5.0,16.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,118
3.0,8:48,1.0,10.0,NOR 30,5.0,16.0,"Spencer Rattler pass incomplete short right. Penalty on Otito Ogbonnia: Unnecessary Roughness / Defense, 15 yards (accepted)",0.94,1.93,8.0,2024,118
3.0,8:42,1.0,10.0,NOR 45,5.0,16.0,Taysom Hill right tackle for 3 yards (tackle by Morgan Fox),1.93,1.79,8.0,2024,118
3.0,8:11,2.0,7.0,NOR 48,5.0,16.0,Spencer Rattler pass complete short middle to Chris Olave for 14 yards (tackle by Alohi Gilman),1.79,3.05,8.0,2024,118
3.0,7:42,1.0,10.0,LAC 38,5.0,16.0,Alvin Kamara right tackle for 3 yards (tackle by Tuli Tuipulotu),3.05,2.98,8.0,2024,118
3.0,7:12,2.0,6.0,LAC 35,5.0,16.0,"Kendre Miller right tackle for no gain (tackle by Cam Hart). Penalty on Trevor Penning: Offensive Holding, 10 yards (accepted) (no play)",2.98,1.63,8.0,2024,118
3.0,6:50,2.0,16.0,LAC 45,5.0,16.0,Spencer Rattler pass incomplete short middle intended for Juwan Johnson,1.63,0.96,8.0,2024,118
3.0,6:45,3.0,16.0,LAC 45,5.0,16.0,Spencer Rattler pass incomplete short middle intended for Chris Olave (defended by Tuli Tuipulotu),0.96,0.27,8.0,2024,118
3.0,6:41,4.0,16.0,LAC 45,5.0,16.0,"Matthew Hayball punts 45 yards, touchback.",0.27,-0.28,8.0,2024,118
3.0,6:32,1.0,10.0,LAC 20,5.0,16.0,Justin Herbert sacked by Khalen Saunders for -10 yards,0.28,-1.51,8.0,2024,118
3.0,5:49,2.0,20.0,LAC 10,5.0,16.0,Justin Herbert pass complete short middle to Will Dissly for 6 yards (tackle by Pete Werner),-1.51,-1.69,8.0,2024,118
3.0,5:10,3.0,14.0,LAC 16,5.0,16.0,Justin Herbert pass incomplete deep right,-1.69,-2.39,8.0,2024,118
3.0,4:59,4.0,14.0,LAC 16,5.0,16.0,"JK Scott punts 54 yards, returned by Jermaine Jackson for no gain (tackle by Dicaprio Bootle and AJ Finley)",-2.39,-0.94,8.0,2024,118
3.0,4:50,1.0,10.0,NOR 30,5.0,16.0,Taysom Hill right end for 7 yards (tackle by Daiyan Henley and Elijah Molden),0.94,1.34,8.0,2024,118
3.0,4:25,2.0,3.0,NOR 37,5.0,16.0,Alvin Kamara up the middle for 4 yards (tackle by Bud Dupree),1.34,1.66,8.0,2024,118
3.0,3:51,1.0,10.0,NOR 41,5.0,16.0,Jake Haener pass complete short left to Chris Olave for 5 yards,1.66,1.8,8.0,2024,118
3.0,3:25,2.0,5.0,NOR 46,5.0,16.0,Alvin Kamara left tackle for 24 yards (tackle by Tarheeb Still),1.8,3.58,8.0,2024,118
3.0,2:40,1.0,10.0,LAC 30,5.0,16.0,Taysom Hill pass complete short left to Alvin Kamara for 3 yards (tackle by Bud Dupree),3.58,3.44,8.0,2024,118
3.0,1:51,2.0,7.0,LAC 27,5.0,16.0,Jamaal Williams right tackle for 2 yards (tackle by Teair Tart),3.44,3.01,8.0,2024,118
3.0,1:14,3.0,5.0,LAC 25,5.0,16.0,Jake Haener pass incomplete short left intended for Chris Olave,3.01,1.85,8.0,2024,118
3.0,1:09,4.0,5.0,LAC 25,8.0,16.0,Blake Grupe 43 yard field goal good,1.85,3.0,8.0,2024,118
3.0,1:05,,,NOR 35,8.0,16.0,"Blake Grupe kicks off 66 yards, returned by Hassan Haskins for 35 yards (tackle by Willie Gay)",0.0,1.2,8.0,2024,118
3.0,0:58,1.0,10.0,LAC 34,8.0,16.0,J.K. Dobbins up the middle for 13 yards (tackle by Jordan Howden),1.2,2.06,8.0,2024,118
3.0,0:13,1.0,10.0,LAC 47,8.0,16.0,J.K. Dobbins right end for 2 yards (tackle by Carl Granderson),2.06,1.79,8.0,2024,118
4.0,15:00,2.0,8.0,LAC 49,8.0,16.0,"Justin Herbert scrambles left end for no gain (tackle by Tyrann Mathieu). Penalty on Zion Johnson: Offensive Holding, 10 yards (accepted) (no play)",1.79,0.44,8.0,2024,118
4.0,14:42,2.0,18.0,LAC 39,8.0,16.0,Justin Herbert pass complete deep right to Josh Palmer for 45 yards (tackle by Kool-Aid McKinstry),0.44,4.51,8.0,2024,118
4.0,14:11,1.0,10.0,NOR 16,8.0,16.0,Kimani Vidal left end for 1 yard (tackle by Ugo Amadi),4.51,4.05,8.0,2024,118
4.0,13:30,2.0,9.0,NOR 15,8.0,16.0,Justin Herbert pass complete short left to Will Dissly for 1 yard (tackle by Demario Davis),4.05,3.37,8.0,2024,118
4.0,12:44,3.0,8.0,NOR 14,8.0,16.0,Justin Herbert pass complete short right to J.K. Dobbins for 3 yards (tackle by Ugo Amadi),3.37,2.75,8.0,2024,118
4.0,11:59,4.0,5.0,NOR 11,8.0,19.0,Cameron Dicker 29 yard field goal good,2.75,3.0,8.0,2024,118
4.0,11:55,,,LAC 35,8.0,19.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,118
4.0,11:55,1.0,10.0,NOR 30,8.0,19.0,Jake Haener pass complete short left to Chris Olave for 15 yards (tackle by Cam Hart),0.94,1.93,8.0,2024,118
4.0,11:30,1.0,10.0,NOR 45,8.0,19.0,Jamaal Williams up the middle for 2 yards (tackle by Denzel Perryman),1.93,1.65,8.0,2024,118
4.0,10:51,2.0,8.0,NOR 47,8.0,19.0,Jake Haener pass incomplete deep middle intended for Chris Olave,1.65,0.96,8.0,2024,118
4.0,10:44,3.0,8.0,NOR 47,8.0,19.0,Jake Haener pass incomplete short middle intended for Taysom Hill (defended by Ja'Sir Taylor),0.96,-0.26,8.0,2024,118
4.0,10:41,4.0,8.0,NOR 47,8.0,19.0,"Matthew Hayball punts 46 yards, fair catch by Ladd McConkey at LAC-7",-0.26,0.38,8.0,2024,118
4.0,10:35,1.0,10.0,LAC 7,8.0,19.0,J.K. Dobbins up the middle for 3 yards (tackle by Jordan Howden),-0.38,-0.56,8.0,2024,118
4.0,9:56,2.0,7.0,LAC 10,8.0,19.0,Justin Herbert pass incomplete short right intended for Josh Palmer,-0.56,-1.07,8.0,2024,118
4.0,9:49,3.0,7.0,LAC 10,8.0,19.0,Justin Herbert sacked by and Chase Young for -5 yards and Alontae Taylor for -5 yards,-1.07,-2.49,8.0,2024,118
4.0,9:02,4.0,12.0,LAC 5,8.0,19.0,"JK Scott punts 67 yards, returned by Jermaine Jackson for 18 yards (tackle by Dicaprio Bootle)",-2.49,-1.99,8.0,2024,118
4.0,8:51,1.0,10.0,NOR 46,8.0,19.0,Jake Haener pass incomplete short right intended for Alvin Kamara (defended by Ja'Sir Taylor),1.99,1.45,8.0,2024,118
4.0,8:46,2.0,10.0,NOR 46,8.0,19.0,Jake Haener pass complete short right to Chris Olave for 28 yards (tackle by Alohi Gilman and Elijah Molden),1.45,3.84,8.0,2024,118
4.0,8:16,1.0,10.0,LAC 26,8.0,19.0,Jake Haener pass complete short middle to Alvin Kamara for 2 yards (tackle by Daiyan Henley),3.84,3.57,8.0,2024,118
4.0,7:36,2.0,8.0,LAC 24,8.0,19.0,Jake Haener pass complete short left to Chris Olave for 3 yards (tackle by Tarheeb Still),3.57,3.27,8.0,2024,118
4.0,6:53,3.0,5.0,LAC 21,8.0,19.0,"Penalty on Taliese Fuaga: False Start, 5 yards (accepted) (no play)",3.27,2.61,8.0,2024,118
4.0,6:53,3.0,10.0,LAC 26,8.0,19.0,Jake Haener pass incomplete short middle intended for Alvin Kamara,2.61,1.74,8.0,2024,118
4.0,6:49,4.0,10.0,LAC 26,8.0,19.0,Blake Grupe 44 yard field goal no good,1.74,-1.2,8.0,2024,118
4.0,6:45,1.0,10.0,LAC 34,8.0,19.0,Justin Herbert pass complete short right to Scott Matlock for 9 yards (tackle by Jordan Howden),1.2,1.87,8.0,2024,118
4.0,6:07,2.0,1.0,LAC 43,8.0,19.0,J.K. Dobbins up the middle for 5 yards (tackle by Carl Granderson),1.87,2.13,8.0,2024,118
4.0,5:21,1.0,10.0,LAC 48,8.0,19.0,J.K. Dobbins right guard for 3 yards (tackle by Demario Davis),2.13,1.99,8.0,2024,118
4.0,4:40,2.0,7.0,NOR 49,8.0,19.0,Justin Herbert pass complete short right to J.K. Dobbins for 15 yards (tackle by Pete Werner),1.99,3.31,8.0,2024,118
4.0,3:51,1.0,10.0,NOR 34,8.0,19.0,J.K. Dobbins left end for -2 yards (tackle by Chase Young),3.31,2.5,8.0,2024,118
4.0,3:45,,,,,,Timeout #1 by New Orleans Saints,,,8.0,2024,118
4.0,3:45,2.0,12.0,NOR 36,8.0,19.0,Justin Herbert pass complete deep right to Jalen Reagor for 24 yards (tackle by Kool-Aid McKinstry),2.5,4.78,8.0,2024,118
4.0,3:40,1.0,10.0,NOR 12,8.0,19.0,J.K. Dobbins right end for 3 yards (tackle by Payton Turner),4.78,4.64,8.0,2024,118
4.0,3:35,,,,,,Timeout #2 by New Orleans Saints,,,8.0,2024,118
4.0,3:35,2.0,7.0,NOR 9,8.0,19.0,Justin Herbert pass incomplete short middle intended for Eric Tomlinson,4.64,3.7,8.0,2024,118
4.0,3:30,3.0,7.0,NOR 9,8.0,25.0,"Justin Herbert pass complete short left to Ladd McConkey for 9 yards, touchdown",3.7,7.0,8.0,2024,118
