Quarter,Time,Down,ToGo,Location,MIN,LAR,Detail,EPB,EPA,week,year,game_id
2.0,9:06,1.0,10.0,LAR 12,14.0,14.0,Blake Corum right end for 1 yard (tackle by Patrick Jones and Andrew Van Ginkel),-0.35,-0.7,8.0,2024,108
2.0,8:23,2.0,9.0,LAR 13,14.0,14.0,"Penalty on Beaux Limmer: False Start, 5 yards (accepted) (no play)",-0.7,-1.07,8.0,2024,108
2.0,8:01,2.0,14.0,LAR 8,14.0,14.0,Matthew Stafford pass complete short left to Cooper Kupp for 4 yards (tackle by Patrick Jones),-1.07,-1.42,8.0,2024,108
2.0,7:34,3.0,10.0,LAR 12,14.0,14.0,"Matthew Stafford pass incomplete short right. Penalty on Jihad Ward: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",-1.42,-0.06,8.0,2024,108
2.0,7:28,1.0,10.0,LAR 17,14.0,14.0,Blake Corum up the middle for 5 yards (tackle by Taki Taimani),-0.06,0.21,8.0,2024,108
2.0,6:51,2.0,5.0,LAR 22,14.0,14.0,"Penalty on Rob Havenstein: False Start, 5 yards (accepted) (no play)",0.21,-0.58,8.0,2024,108
2.0,6:27,2.0,10.0,LAR 17,14.0,14.0,"Kyren Williams right tackle for 4 yards (tackle by Harrison Smith and Camryn Bynum). Penalty on Beaux Limmer: Offensive Holding, 10 yards (accepted)",-0.58,-1.22,8.0,2024,108
2.0,6:22,2.0,16.0,LAR 11,14.0,14.0,Matthew Stafford pass complete short right to Kyren Williams for -2 yards (tackle by Andrew Van Ginkel),-1.22,-2.36,8.0,2024,108
2.0,5:50,3.0,18.0,LAR 9,14.0,14.0,Kyren Williams up the middle for 13 yards (tackle by Josh Metellus and Harrison Smith),-2.36,-1.9,8.0,2024,108
2.0,4:56,4.0,5.0,LAR 22,14.0,14.0,"Ethan Evans punts 42 yards, returned by Brandon Powell for 6 yards (tackle by Xavier Smith)",-1.9,-1.73,8.0,2024,108
2.0,4:46,1.0,10.0,MIN 42,14.0,14.0,Sam Darnold sacked by Jared Verse for -10 yards,1.73,-0.16,8.0,2024,108
2.0,3:59,2.0,20.0,MIN 32,14.0,14.0,"Penalty on Christian Darrisaw: False Start, 5 yards (accepted) (no play)",-0.16,-0.84,8.0,2024,108
2.0,3:40,2.0,25.0,MIN 27,14.0,14.0,Sam Darnold pass incomplete deep left,-0.84,-1.48,8.0,2024,108
2.0,3:31,3.0,25.0,MIN 27,14.0,14.0,Sam Darnold pass complete short right to Jalen Nailor for 9 yards (tackle by Ahkello Witherspoon),-1.48,-0.98,8.0,2024,108
2.0,2:57,4.0,16.0,MIN 36,14.0,14.0,"Ryan Wright punts 53 yards, fair catch by Xavier Smith at LA-11",-0.98,0.37,8.0,2024,108
2.0,2:50,1.0,10.0,LAR 11,14.0,14.0,Kyren Williams left tackle for 4 yards (tackle by Andrew Van Ginkel and Ivan Pace),-0.37,-0.43,8.0,2024,108
2.0,2:11,2.0,6.0,LAR 15,14.0,14.0,Matthew Stafford pass complete short middle to Colby Parkinson for 8 yards (tackle by Ivan Pace and Josh Metellus),-0.43,0.48,8.0,2024,108
2.0,2:00,1.0,10.0,LAR 23,14.0,14.0,Kyren Williams right guard for 12 yards (tackle by Camryn Bynum),0.48,1.27,8.0,2024,108
2.0,1:35,1.0,10.0,LAR 35,14.0,14.0,Matthew Stafford pass complete short right to Kyren Williams for 6 yards (tackle by Harrison Smith),1.27,1.53,8.0,2024,108
2.0,1:30,2.0,4.0,LAR 41,14.0,14.0,Kyren Williams up the middle for 5 yards (tackle by Kamu Grugier-Hill),1.53,1.99,8.0,2024,108
2.0,1:00,1.0,10.0,LAR 46,14.0,14.0,Matthew Stafford pass complete short left to Cooper Kupp for 4 yards (tackle by Harrison Smith),1.99,1.99,8.0,2024,108
2.0,0:49,2.0,6.0,LAR 50,14.0,14.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Stephon Gilmore),1.99,1.29,8.0,2024,108
2.0,0:47,3.0,6.0,LAR 50,14.0,14.0,Matthew Stafford pass incomplete short left intended for Kyren Williams (defended by Jonathan Greenard),1.29,-0.06,8.0,2024,108
2.0,0:42,4.0,6.0,LAR 50,14.0,14.0,"Ethan Evans punts 45 yards downed by Xavier Smith. Penalty on Dallas Turner: Defensive Holding, 2 yards (accepted)",-0.06,0.38,8.0,2024,108
2.0,0:35,1.0,10.0,MIN 3,14.0,14.0,Aaron Jones up the middle for 2 yards (tackle by Jaylen McCollough),-0.38,-0.63,8.0,2024,108
2.0,0:21,,,,,,Timeout #1 by Minnesota Vikings,,,8.0,2024,108
2.0,0:21,2.0,8.0,MIN 5,14.0,14.0,Sam Darnold kneels for -1 yards,-0.63,-1.3,8.0,2024,108
3.0,15:00,,,MIN 35,14.0,14.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,108
3.0,15:00,1.0,10.0,LAR 30,14.0,14.0,Matthew Stafford pass complete short right to Puka Nacua for 4 yards (tackle by Ivan Pace),0.94,0.93,8.0,2024,108
3.0,14:18,2.0,6.0,LAR 34,14.0,14.0,"Matthew Stafford pass incomplete deep right intended for Puka Nacua (defended by Stephon Gilmore). Penalty on Justin Dedich: Offensive Holding, 10 yards (accepted) (no play)",0.93,-0.42,8.0,2024,108
3.0,14:18,2.0,16.0,LAR 24,14.0,14.0,Kyren Williams up the middle for 7 yards (tackle by Harrison Phillips and Josh Metellus),-0.42,-0.16,8.0,2024,108
3.0,13:37,3.0,9.0,LAR 31,14.0,14.0,Matthew Stafford pass complete deep right to Puka Nacua for 19 yards (tackle by Stephon Gilmore),-0.16,2.26,8.0,2024,108
3.0,13:02,1.0,10.0,LAR 50,14.0,14.0,Kyren Williams up the middle for 4 yards (tackle by Josh Metellus),2.26,2.25,8.0,2024,108
3.0,12:22,2.0,6.0,MIN 46,14.0,14.0,Matthew Stafford pass incomplete deep left intended for Puka Nacua,2.25,1.55,8.0,2024,108
3.0,12:13,3.0,6.0,MIN 46,14.0,14.0,Matthew Stafford pass deep left intended for Demarcus Robinson is intercepted by Byron Murphy at MIN-27 and returned for no gain,1.55,-0.74,8.0,2024,108
3.0,12:08,1.0,10.0,MIN 27,14.0,14.0,Aaron Jones up the middle for 4 yards (tackle by Omar Speights and Kobie Turner),0.74,0.74,8.0,2024,108
3.0,11:35,2.0,6.0,MIN 31,14.0,14.0,Sam Darnold pass complete short left to Aaron Jones for 12 yards (tackle by Quentin Lake),0.74,1.8,8.0,2024,108
3.0,10:56,1.0,10.0,MIN 43,14.0,14.0,Aaron Jones up the middle for 2 yards (tackle by Bobby Brown and Kobie Turner),1.8,1.52,8.0,2024,108
3.0,10:17,2.0,8.0,MIN 45,14.0,14.0,Sam Darnold pass complete short left to Jordan Addison for 8 yards (tackle by Darious Williams and Michael Hoecht),1.52,2.46,8.0,2024,108
3.0,9:31,1.0,10.0,LAR 47,14.0,14.0,Aaron Jones right tackle for 2 yards (tackle by Omar Speights),2.46,2.18,8.0,2024,108
3.0,8:48,2.0,8.0,LAR 45,14.0,14.0,Sam Darnold pass complete short middle to Justin Jefferson for 14 yards (tackle by Michael Hoecht),2.18,3.51,8.0,2024,108
3.0,8:08,1.0,10.0,LAR 31,14.0,14.0,Sam Darnold pass complete deep left to Justin Jefferson for 27 yards (tackle by Darious Williams),3.51,6.28,8.0,2024,108
3.0,7:57,1.0,4.0,LAR 4,14.0,14.0,Aaron Jones left end for -4 yards (tackle by Darious Williams),6.28,4.57,8.0,2024,108
3.0,7:09,2.0,8.0,LAR 8,14.0,14.0,Aaron Jones left tackle for 3 yards (tackle by Kobie Turner),4.57,4.26,8.0,2024,108
3.0,6:28,3.0,5.0,LAR 5,14.0,14.0,Sam Darnold pass incomplete short middle intended for Justin Jefferson,4.26,3.01,8.0,2024,108
3.0,6:25,4.0,5.0,LAR 5,17.0,14.0,Will Reichard 23 yard field goal good,3.01,3.0,8.0,2024,108
3.0,6:22,,,MIN 35,17.0,14.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,108
3.0,6:22,1.0,10.0,LAR 30,17.0,14.0,Kyren Williams up the middle for 2 yards (tackle by Jonathan Bullard and Harrison Phillips),0.94,0.66,8.0,2024,108
3.0,5:42,2.0,8.0,LAR 32,17.0,14.0,Matthew Stafford pass complete short middle to Colby Parkinson for 9 yards (tackle by Josh Metellus),0.66,1.66,8.0,2024,108
3.0,4:58,1.0,10.0,LAR 41,17.0,14.0,Matthew Stafford pass incomplete short left intended for Kyren Williams,1.66,1.12,8.0,2024,108
3.0,4:54,2.0,10.0,LAR 41,17.0,14.0,Matthew Stafford pass complete deep right to Tutu Atwell for 18 yards (tackle by Stephon Gilmore),1.12,2.85,8.0,2024,108
3.0,4:14,1.0,10.0,MIN 41,17.0,14.0,Matthew Stafford pass incomplete deep left intended for Tutu Atwell (defended by Byron Murphy),2.85,2.31,8.0,2024,108
3.0,4:04,2.0,10.0,MIN 41,17.0,14.0,"Penalty on Rob Havenstein: False Start, 5 yards (accepted) (no play)",2.31,1.63,8.0,2024,108
3.0,4:04,2.0,15.0,MIN 46,17.0,14.0,Matthew Stafford pass complete deep middle to Puka Nacua for 19 yards (tackle by Camryn Bynum),1.63,3.78,8.0,2024,108
3.0,3:23,1.0,10.0,MIN 27,17.0,14.0,Kyren Williams up the middle for 2 yards (tackle by Jalen Redmond and Jonathan Greenard),3.78,3.5,8.0,2024,108
3.0,2:40,2.0,8.0,MIN 25,17.0,20.0,"Matthew Stafford pass complete deep right to Demarcus Robinson for 25 yards, touchdown. Penalty on Shaquill Griffin: Defensive Pass Interference, 15 yards (declined)",3.5,7.0,8.0,2024,108
3.0,2:36,,,MIN 15,17.0,21.0,Joshua Karty kicks extra point good,0.0,0.0,8.0,2024,108
3.0,2:36,,,LAR 35,17.0,21.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,108
3.0,2:36,1.0,10.0,MIN 30,17.0,21.0,Aaron Jones right tackle for 5 yards (tackle by Tyler Davis and Jonah Williams),0.94,1.07,8.0,2024,108
3.0,1:55,2.0,5.0,MIN 35,17.0,21.0,Sam Darnold pass complete short middle to Johnny Mundt for 10 yards (tackle by Omar Speights),1.07,1.93,8.0,2024,108
3.0,1:11,1.0,10.0,MIN 45,17.0,21.0,Aaron Jones right end for no gain (tackle by Michael Hoecht and Bobby Brown),1.93,1.38,8.0,2024,108
3.0,0:31,2.0,10.0,MIN 45,17.0,21.0,Sam Darnold pass complete short middle to Jalen Nailor for 7 yards (tackle by Quentin Lake and Christian Rozeboom),1.38,1.62,8.0,2024,108
4.0,15:00,3.0,3.0,LAR 48,17.0,21.0,Sam Darnold pass complete deep right to Aaron Jones for 25 yards,1.62,4.04,8.0,2024,108
4.0,14:16,,,,,,Timeout #1 by Minnesota Vikings,,,8.0,2024,108
4.0,14:16,1.0,10.0,LAR 23,17.0,21.0,Aaron Jones up the middle for 4 yards (tackle by Tyler Davis),4.04,4.05,8.0,2024,108
4.0,13:38,2.0,6.0,LAR 19,17.0,21.0,Aaron Jones up the middle for 2 yards (tackle by Bobby Brown and Christian Rozeboom),4.05,3.66,8.0,2024,108
4.0,12:59,3.0,4.0,LAR 17,17.0,21.0,Sam Darnold pass incomplete short middle intended for Jalen Nailor,3.66,2.39,8.0,2024,108
4.0,12:51,4.0,4.0,LAR 17,20.0,21.0,Will Reichard 35 yard field goal good,2.39,3.0,8.0,2024,108
4.0,12:47,,,MIN 35,20.0,21.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,108
4.0,12:47,1.0,10.0,LAR 30,20.0,21.0,"Penalty on Dallas Turner: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.94,1.67,8.0,2024,108
4.0,12:47,1.0,5.0,LAR 35,20.0,21.0,Matthew Stafford pass complete short left to Blake Corum for 9 yards (tackle by Harrison Smith and Ivan Pace),1.67,1.86,8.0,2024,108
4.0,12:09,1.0,10.0,LAR 44,20.0,21.0,Matthew Stafford pass complete short left to Hunter Long for 18 yards (tackle by Ivan Pace),1.86,3.05,8.0,2024,108
4.0,11:29,1.0,10.0,MIN 38,20.0,21.0,Blake Corum right tackle for 2 yards (tackle by Byron Murphy and Jerry Tillery),3.05,2.78,8.0,2024,108
4.0,10:50,2.0,8.0,MIN 36,20.0,21.0,Matthew Stafford pass complete short left to Kyren Williams for 7 yards (tackle by Byron Murphy),2.78,3.01,8.0,2024,108
4.0,10:08,3.0,1.0,MIN 29,20.0,21.0,Kyren Williams right guard for no gain (tackle by Jonathan Bullard),3.01,1.62,8.0,2024,108
4.0,9:20,4.0,1.0,MIN 29,20.0,21.0,Kyren Williams right tackle for 3 yards (tackle by Stephon Gilmore),1.62,3.84,8.0,2024,108
4.0,8:39,1.0,10.0,MIN 26,20.0,21.0,Kyren Williams right tackle for -1 yards (tackle by Jonathan Greenard),3.84,3.16,8.0,2024,108
4.0,7:55,2.0,11.0,MIN 27,20.0,21.0,"Matthew Stafford pass incomplete deep left intended for Cooper Kupp (defended by Josh Metellus). Penalty on Byron Murphy: Defensive Pass Interference, 11 yards (accepted) (no play)",3.16,4.51,8.0,2024,108
4.0,7:48,1.0,10.0,MIN 16,20.0,21.0,Kyren Williams up the middle for -1 yards (tackle by Harrison Smith),4.51,3.77,8.0,2024,108
4.0,7:07,2.0,11.0,MIN 17,20.0,21.0,Kyren Williams right guard for 7 yards (tackle by Andrew Van Ginkel and Camryn Bynum),3.77,4.17,8.0,2024,108
4.0,6:23,3.0,4.0,MIN 10,20.0,27.0,"Matthew Stafford pass complete short right to Demarcus Robinson for 10 yards, touchdown",4.17,7.0,8.0,2024,108
4.0,6:17,,,MIN 15,20.0,28.0,Joshua Karty kicks extra point good,0.0,0.0,8.0,2024,108
4.0,6:17,,,LAR 35,20.0,28.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,108
4.0,6:17,1.0,10.0,MIN 30,20.0,28.0,Sam Darnold pass complete short right to Josh Oliver for 25 yards (tackle by Jake Hummel),0.94,2.59,8.0,2024,108
4.0,5:35,1.0,10.0,LAR 45,20.0,28.0,Aaron Jones up the middle for 2 yards (tackle by Braden Fiske),2.59,2.31,8.0,2024,108
4.0,5:12,2.0,8.0,LAR 43,20.0,28.0,Sam Darnold sacked by and Jared Verse for -13 yards and Michael Hoecht for -13 yards,2.31,-0.1,8.0,2024,108
4.0,4:26,3.0,21.0,MIN 44,20.0,28.0,Sam Darnold pass incomplete deep left intended for Johnny Mundt,-0.1,-0.46,8.0,2024,108
4.0,4:18,4.0,21.0,MIN 44,20.0,28.0,"Ryan Wright punts 37 yards, fair catch by Xavier Smith at LA-19",-0.46,-0.15,8.0,2024,108
4.0,4:11,1.0,10.0,LAR 19,20.0,28.0,Kyren Williams up the middle for 2 yards (tackle by Harrison Phillips and Ivan Pace),0.15,-0.06,8.0,2024,108
4.0,3:31,2.0,8.0,LAR 21,20.0,28.0,Kyren Williams right tackle for -1 yards (tackle by Andrew Van Ginkel and Ivan Pace),-0.06,-0.94,8.0,2024,108
4.0,3:26,,,,,,Timeout #2 by Minnesota Vikings,,,8.0,2024,108
4.0,3:26,3.0,9.0,LAR 20,20.0,28.0,Matthew Stafford pass complete deep left to Cooper Kupp for 27 yards (tackle by Stephon Gilmore and Camryn Bynum),-0.94,2.06,8.0,2024,108
4.0,3:19,,,,,,Timeout #3 by Minnesota Vikings,,,8.0,2024,108
4.0,3:19,1.0,10.0,LAR 47,20.0,28.0,Kyren Williams left tackle for no gain (tackle by Ivan Pace),2.06,1.52,8.0,2024,108
4.0,2:41,2.0,10.0,LAR 47,20.0,28.0,Puka Nacua right end for -2 yards (tackle by Byron Murphy and Andrew Van Ginkel),1.52,0.56,8.0,2024,108
4.0,2:00,3.0,12.0,LAR 45,20.0,28.0,Matthew Stafford pass complete short left to Cooper Kupp for 9 yards (tackle by Byron Murphy),0.56,0.2,8.0,2024,108
4.0,1:53,4.0,3.0,MIN 46,20.0,28.0,Ethan Evans punts 41 yards out of bounds,0.2,0.38,8.0,2024,108
4.0,1:46,1.0,10.0,MIN 5,20.0,28.0,"Sam Darnold pass incomplete deep left intended for Jordan Addison. Penalty on Sam Darnold: Illegal Formation, 5 yards (declined)",-0.38,-0.78,8.0,2024,108
4.0,1:42,2.0,10.0,MIN 5,20.0,30.0,"Sam Darnold sacked by Byron Young for -5 yards, safety.",-0.78,-2.0,8.0,2024,108
4.0,1:36,,,,,,Timeout #1 by Los Angeles Rams,,,8.0,2024,108
4.0,1:36,,,MIN 20,20.0,30.0,"Ryan Wright kicks onside 13 yards,",0.0,3.38,8.0,2024,108
4.0,1:36,1.0,10.0,MIN 33,20.0,30.0,Matthew Stafford kneels for -1 yards,3.38,2.7,8.0,2024,108
4.0,0:53,2.0,11.0,MIN 34,20.0,30.0,Matthew Stafford kneels for -2 yards,2.7,1.75,8.0,2024,108
4.0,0:22,3.0,13.0,MIN 36,20.0,30.0,Matthew Stafford kneels for -1 yards,1.75,0.79,8.0,2024,108
