Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA,week,year,game_id
1.0,10:25,1.0,10.0,TEN 29,0.0,7.0,Tony Pollard up the middle for 17 yards (tackle by Brian Branch),0.87,1.99,8.0,2024,109
1.0,9:49,1.0,10.0,TEN 46,0.0,7.0,Tony Pollard left tackle for 4 yards (tackle by Terrion Arnold),1.99,1.99,8.0,2024,109
1.0,9:10,2.0,6.0,TEN 50,0.0,7.0,Tony Pollard up the middle for -2 yards (tackle by Alim McNeill),1.99,1.03,8.0,2024,109
1.0,8:30,3.0,8.0,TEN 48,0.0,7.0,Mason Rudolph pass incomplete short middle intended for Nick Westbrook-Ikhine (defended by Carlton Davis),1.03,-0.19,8.0,2024,109
1.0,8:25,4.0,8.0,TEN 48,0.0,7.0,"Ryan Stonehouse punts 45 yards, returned by Kalif Raymond for 10 yards (tackle by Jaylen Harrell and Josh Whyle)",-0.19,0.06,8.0,2024,109
1.0,8:15,1.0,10.0,DET 17,0.0,7.0,Jahmyr Gibbs right end for 11 yards (tackle by Amani Hooker),-0.06,0.81,8.0,2024,109
1.0,7:57,1.0,10.0,DET 28,0.0,7.0,Jared Goff pass incomplete short right intended for Allen Robinson,0.81,0.26,8.0,2024,109
1.0,7:53,2.0,10.0,DET 28,0.0,7.0,Jared Goff sacked by Roger McCreary for -13 yards,0.26,-2.64,8.0,2024,109
1.0,7:11,3.0,23.0,DET 15,0.0,7.0,"Jared Goff sacked by Arden Key for -2 yards. Jared Goff fumbles (forced by Arden Key), recovered by Kevin Zeitler at DET-14 (tackle by Arden Key)",-2.64,-2.47,8.0,2024,109
1.0,6:29,4.0,24.0,DET 14,0.0,7.0,"Jack Fox punts 67 yards, returned by Jha'Quan Jackson for 6 yards (tackle by Jack Campbell)",-2.47,-0.61,8.0,2024,109
1.0,6:20,1.0,10.0,TEN 25,0.0,7.0,Mason Rudolph pass complete short right to Josh Whyle for 33 yards (tackle by Brian Branch),0.61,2.79,8.0,2024,109
1.0,5:33,,,,,,Timeout #1 by Tennessee Titans,,,8.0,2024,109
1.0,5:33,1.0,10.0,DET 42,0.0,7.0,Mason Rudolph pass complete short right to Tyler Boyd for 5 yards (tackle by Jalen Reeves-Maybin),2.79,2.92,8.0,2024,109
1.0,4:55,2.0,5.0,DET 37,0.0,7.0,Mason Rudolph pass complete deep left to Calvin Ridley for 26 yards (tackle by Brian Branch),2.92,4.84,8.0,2024,109
1.0,4:13,1.0,10.0,DET 11,6.0,7.0,"Mason Rudolph scrambles left end for 11 yards, touchdown",4.84,7.0,8.0,2024,109
1.0,4:07,,,DET 15,7.0,7.0,Nick Folk kicks extra point good,0.0,0.0,8.0,2024,109
1.0,4:07,,,TEN 35,7.0,7.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,109
1.0,4:07,1.0,10.0,DET 30,7.0,13.0,"Jahmyr Gibbs left tackle for 70 yards, touchdown",0.94,7.0,8.0,2024,109
1.0,3:57,,,TEN 15,7.0,14.0,Jake Bates kicks extra point good,0.0,0.0,8.0,2024,109
1.0,3:57,,,DET 35,7.0,14.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,109
1.0,3:57,1.0,10.0,TEN 30,7.0,14.0,Tony Pollard left end for 2 yards (tackle by D.J. Reader and Jack Campbell),0.94,0.66,8.0,2024,109
1.0,3:16,2.0,8.0,TEN 32,7.0,14.0,"Mason Rudolph pass complete short left to Tony Pollard for no gain (tackle by Alex Anzalone). Penalty on Chigoziem Okonkwo: Offensive Pass Interference, 10 yards (accepted) (no play)",0.66,-0.69,8.0,2024,109
1.0,2:49,2.0,18.0,TEN 22,7.0,14.0,Mason Rudolph pass complete deep right to Calvin Ridley for 47 yards (tackle by Kerby Joseph),-0.69,3.51,8.0,2024,109
1.0,2:06,1.0,10.0,DET 31,7.0,14.0,Mason Rudolph pass complete short left to Calvin Ridley for 12 yards,3.51,4.31,8.0,2024,109
1.0,1:22,1.0,10.0,DET 19,7.0,14.0,"Mason Rudolph pass complete short left to Jha'Quan Jackson for no gain, touchdown. Penalty on Peter Skoronski: Offensive Holding, 10 yards (accepted) . Penalty on Leroy Watson: Offensive Holding, 10 yards (declined) (no play)",4.31,3.64,8.0,2024,109
1.0,1:21,1.0,20.0,DET 29,7.0,14.0,Mason Rudolph pass complete short middle to Calvin Ridley for 14 yards (tackle by Kerby Joseph),3.64,4.35,8.0,2024,109
1.0,0:38,2.0,6.0,DET 15,7.0,14.0,Mason Rudolph pass complete short left to Calvin Ridley for 6 yards (tackle by Terrion Arnold),4.35,5.14,8.0,2024,109
2.0,15:00,1.0,9.0,DET 9,7.0,14.0,Tony Pollard left end for 4 yards (tackle by Terrion Arnold),5.14,5.15,8.0,2024,109
2.0,14:22,2.0,5.0,DET 5,13.0,14.0,"Mason Rudolph pass complete short middle to Nick Westbrook-Ikhine for 5 yards, touchdown",5.15,7.0,8.0,2024,109
2.0,14:18,,,DET 15,14.0,14.0,Nick Folk kicks extra point good,0.0,0.0,8.0,2024,109
2.0,14:18,,,TEN 35,14.0,14.0,"Nick Folk kicks off 62 yards, returned by Khalil Dorsey for 72 yards (tackle by Amani Hooker)",0.0,3.91,8.0,2024,109
2.0,14:08,1.0,10.0,TEN 25,14.0,14.0,David Montgomery left tackle for 5 yards (tackle by Jarvis Brownlee and Jack Gibbens),3.91,4.04,8.0,2024,109
2.0,13:31,2.0,5.0,TEN 20,14.0,14.0,Jared Goff pass complete short right to Sam LaPorta for -1 yards (tackle by Jarvis Brownlee and Arden Key),4.04,3.2,8.0,2024,109
2.0,12:58,3.0,6.0,TEN 21,14.0,14.0,"Jared Goff pass incomplete short right intended for Kalif Raymond. Penalty on Jarvis Brownlee: Defensive Pass Interference, 5 yards (accepted) (no play)",3.2,4.51,8.0,2024,109
2.0,12:58,1.0,10.0,TEN 16,14.0,14.0,"Penalty on Jarvis Brownlee: Face Mask (15 Yards), 8 yards (accepted) (no play)",4.51,5.37,8.0,2024,109
2.0,12:55,1.0,8.0,TEN 8,14.0,20.0,"Jared Goff pass complete short right to Brock Wright for 8 yards, touchdown",5.37,7.0,8.0,2024,109
2.0,12:51,,,TEN 15,14.0,21.0,Jake Bates kicks extra point good,0.0,0.0,8.0,2024,109
2.0,12:51,,,DET 35,14.0,21.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,109
2.0,12:51,1.0,10.0,TEN 30,14.0,21.0,Mason Rudolph pass short left intended for Chigoziem Okonkwo is intercepted by Kerby Joseph at TEN-45 and returned for 33 yards (tackle by Dillon Radunz),0.94,-4.78,8.0,2024,109
2.0,12:39,1.0,10.0,TEN 12,14.0,21.0,David Montgomery up the middle for 3 yards (tackle by Amani Hooker),4.78,4.64,8.0,2024,109
2.0,12:04,2.0,7.0,TEN 9,14.0,21.0,Jared Goff pass incomplete short right,4.64,3.7,8.0,2024,109
2.0,12:02,3.0,7.0,TEN 9,14.0,21.0,"Jared Goff pass complete short right to Sam LaPorta for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Jared Goff pass complete short right to Sam LaPorta for 8 yards (tackle by Amani Hooker)",3.7,6.97,8.0,2024,109
2.0,11:41,1.0,1.0,TEN 1,14.0,27.0,"Jared Goff pass complete short left to Amon-Ra St. Brown for 1 yard, touchdown",6.97,7.0,8.0,2024,109
2.0,11:37,,,TEN 15,14.0,28.0,Jake Bates kicks extra point good,0.0,0.0,8.0,2024,109
2.0,11:37,,,DET 35,14.0,28.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,109
2.0,11:37,1.0,10.0,TEN 30,14.0,28.0,"Penalty on Leroy Watson: False Start, 5 yards (accepted) (no play)",0.94,0.61,8.0,2024,109
2.0,11:37,1.0,15.0,TEN 25,14.0,28.0,Mason Rudolph pass complete short left to Tony Pollard for 17 yards (tackle by Brian Branch),0.61,1.73,8.0,2024,109
2.0,10:55,,,,,,Timeout #2 by Tennessee Titans,,,8.0,2024,109
2.0,10:55,1.0,10.0,TEN 42,14.0,28.0,Mason Rudolph pass complete short left to Calvin Ridley for 8 yards (tackle by Terrion Arnold),1.73,2.27,8.0,2024,109
2.0,10:27,2.0,2.0,TEN 50,14.0,28.0,Tony Pollard left tackle for 1 yard (tackle by Levi Onwuzurike),2.27,1.69,8.0,2024,109
2.0,9:53,3.0,1.0,DET 49,14.0,28.0,Mason Rudolph pass complete short right to Josh Whyle for no gain (tackle by Alex Anzalone),1.69,0.0,8.0,2024,109
2.0,9:16,4.0,1.0,DET 49,14.0,28.0,Mason Rudolph right end for 2 yards (tackle by Jack Campbell),0.0,2.46,8.0,2024,109
2.0,8:37,1.0,10.0,DET 47,14.0,28.0,Mason Rudolph sacked by Alex Anzalone for -8 yards,2.46,0.83,8.0,2024,109
2.0,7:55,2.0,18.0,TEN 45,14.0,28.0,"Mason Rudolph pass complete short left to Tony Pollard for no gain (tackle by Kerby Joseph). Penalty on Peter Skoronski: Offensive Holding, 10 yards (accepted) (no play)",0.83,-0.52,8.0,2024,109
2.0,7:23,2.0,28.0,TEN 35,14.0,28.0,Mason Rudolph scrambles right tackle for 14 yards (tackle by Carlton Davis),-0.52,0.7,8.0,2024,109
2.0,6:40,3.0,14.0,TEN 49,14.0,28.0,Mason Rudolph pass incomplete short left intended for Calvin Ridley (defended by Terrion Arnold),0.7,-0.13,8.0,2024,109
2.0,6:35,4.0,14.0,TEN 49,14.0,28.0,"Ryan Stonehouse punts 37 yards, returned by Kalif Raymond for 64 yards (tackle by Luke Gifford)",-0.13,-4.11,8.0,2024,109
2.0,6:17,1.0,10.0,TEN 22,14.0,28.0,Jahmyr Gibbs left end for 9 yards (tackle by Darrell Baker),4.11,5.06,8.0,2024,109
2.0,5:41,2.0,1.0,TEN 13,14.0,28.0,Jahmyr Gibbs left tackle for 2 yards (tackle by Jarvis Brownlee and T'Vondre Sweat),5.06,4.84,8.0,2024,109
2.0,4:58,1.0,10.0,TEN 11,14.0,28.0,Jahmyr Gibbs left tackle for 7 yards (tackle by Amani Hooker and Quandre Diggs),4.84,5.47,8.0,2024,109
2.0,4:25,2.0,3.0,TEN 4,14.0,28.0,Jahmyr Gibbs up the middle for no gain (tackle by Amani Hooker and Sebastian Joseph-Day),5.47,4.67,8.0,2024,109
2.0,3:45,3.0,3.0,TEN 4,14.0,28.0,David Montgomery left tackle for 3 yards (tackle by Sebastian Joseph-Day and Arden Key),4.67,6.97,8.0,2024,109
2.0,2:59,1.0,1.0,TEN 1,14.0,28.0,David Montgomery left tackle for -2 yards (tackle by Jeffery Simmons),6.97,5.53,8.0,2024,109
2.0,2:23,2.0,3.0,TEN 3,14.0,34.0,"David Montgomery pass complete short right to Sam LaPorta for 3 yards, touchdown",5.53,7.0,8.0,2024,109
2.0,2:18,,,TEN 15,14.0,35.0,Jake Bates kicks extra point good,0.0,0.0,8.0,2024,109
2.0,2:18,,,DET 35,14.0,35.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,109
2.0,2:18,1.0,10.0,TEN 30,14.0,35.0,Mason Rudolph pass incomplete short right intended for Tony Pollard,0.94,0.39,8.0,2024,109
2.0,2:12,2.0,10.0,TEN 30,14.0,35.0,"Mason Rudolph pass incomplete short middle intended for Tyler Boyd. Penalty on Brian Branch: Defensive Pass Interference, 13 yards (accepted) (no play)",0.39,1.8,8.0,2024,109
2.0,2:08,1.0,10.0,TEN 43,14.0,35.0,Tony Pollard up the middle for 4 yards (tackle by Jack Campbell and Isaiah Thomas),1.8,1.79,8.0,2024,109
2.0,2:00,2.0,6.0,TEN 47,14.0,35.0,Tony Pollard up the middle for 12 yards (tackle by Kerby Joseph),1.79,2.85,8.0,2024,109
2.0,1:23,1.0,10.0,DET 41,14.0,35.0,Mason Rudolph pass incomplete short left intended for Calvin Ridley,2.85,2.31,8.0,2024,109
2.0,1:20,2.0,10.0,DET 41,14.0,35.0,Mason Rudolph pass complete deep left to Nick Westbrook-Ikhine for 34 yards (tackle by Terrion Arnold),2.31,5.6,8.0,2024,109
2.0,0:37,1.0,7.0,DET 7,14.0,35.0,"Mason Rudolph pass incomplete short left intended for Chigoziem Okonkwo. Penalty on Brian Branch: Defensive Pass Interference, 6 yards (accepted) (no play)",5.6,6.97,8.0,2024,109
2.0,0:33,1.0,1.0,DET 1,14.0,35.0,Mason Rudolph pass incomplete short left intended for Nick Westbrook-Ikhine,6.97,5.91,8.0,2024,109
2.0,0:30,2.0,1.0,DET 1,14.0,35.0,Mason Rudolph pass incomplete short left intended for Tyler Boyd,5.91,5.17,8.0,2024,109
2.0,0:26,3.0,1.0,DET 1,14.0,35.0,Mason Rudolph pass incomplete short left intended for Tyler Boyd,5.17,3.55,8.0,2024,109
2.0,0:23,4.0,1.0,DET 1,14.0,35.0,"Mason Rudolph pass incomplete short left intended for Calvin Ridley (defended by Kerby Joseph). Penalty on Calvin Ridley: Illegal Touch Pass, 5 yards (declined)",3.55,0.38,8.0,2024,109
2.0,0:17,1.0,10.0,DET 1,14.0,35.0,Jared Goff up the middle for 1 yard (tackle by Jeffery Simmons and T'Vondre Sweat),-0.38,-0.71,8.0,2024,109
3.0,15:00,,,DET 35,14.0,35.0,"Jake Bates kicks off 65 yards, touchback.. Penalty on Mason Kinsey: Illegal Formation, 5 yards (accepted)",0.0,0.61,8.0,2024,109
3.0,15:00,1.0,10.0,TEN 25,14.0,35.0,Mason Rudolph pass complete short left to Tyler Boyd for 5 yards (tackle by Jalen Reeves-Maybin),0.61,0.74,8.0,2024,109
3.0,14:20,2.0,5.0,TEN 30,14.0,35.0,Tony Pollard left tackle for no gain (tackle by Levi Onwuzurike),0.74,0.04,8.0,2024,109
3.0,13:46,3.0,5.0,TEN 30,14.0,35.0,Mason Rudolph pass complete short right to Calvin Ridley for 4 yards (tackle by Alex Anzalone),0.04,-1.11,8.0,2024,109
3.0,13:05,4.0,1.0,TEN 34,14.0,41.0,"Ryan Stonehouse punts 56 yards, returned by Kalif Raymond for 90 yards, touchdown",-1.11,-7.0,8.0,2024,109
3.0,12:46,,,TEN 15,14.0,42.0,Jake Bates kicks extra point good,0.0,0.0,8.0,2024,109
3.0,12:46,,,DET 35,14.0,42.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,109
3.0,12:46,1.0,10.0,TEN 30,14.0,42.0,Mason Rudolph pass incomplete deep right intended for Calvin Ridley,0.94,0.39,8.0,2024,109
3.0,12:42,2.0,10.0,TEN 30,14.0,42.0,Mason Rudolph pass incomplete short middle intended for Chigoziem Okonkwo,0.39,-0.3,8.0,2024,109
3.0,12:36,3.0,10.0,TEN 30,14.0,42.0,Mason Rudolph pass complete short right to Tyler Boyd for 4 yards (tackle by Brian Branch),-0.3,-1.11,8.0,2024,109
3.0,11:57,4.0,6.0,TEN 34,14.0,42.0,"Ryan Stonehouse punts 49 yards, fair catch by Kalif Raymond at DET-17",-1.11,0.06,8.0,2024,109
3.0,11:50,1.0,10.0,DET 17,14.0,42.0,Jared Goff pass complete short middle to Sam LaPorta for 4 yards (tackle by Jack Gibbens),-0.06,0.08,8.0,2024,109
3.0,11:06,2.0,6.0,DET 21,14.0,42.0,David Montgomery left end for 2 yards (tackle by Jeffery Simmons),0.08,-0.49,8.0,2024,109
3.0,10:25,3.0,4.0,DET 23,14.0,42.0,Jared Goff pass complete short right to Kalif Raymond for 7 yards (tackle by Roger McCreary),-0.49,0.94,8.0,2024,109
3.0,9:53,1.0,10.0,DET 30,14.0,42.0,David Montgomery left end for 1 yard (tackle by Jack Gibbens and Kenneth Murray),0.94,0.53,8.0,2024,109
3.0,9:14,2.0,9.0,DET 31,14.0,42.0,David Montgomery left tackle for 5 yards (tackle by T'Vondre Sweat and Jarvis Brownlee),0.53,0.5,8.0,2024,109
3.0,8:35,3.0,4.0,DET 36,14.0,42.0,"Jared Goff sacked by Jeffery Simmons for -11 yards. Jared Goff fumbles (forced by Jeffery Simmons), recovered by Jared Goff at DET-25",0.5,-1.7,8.0,2024,109
3.0,7:53,4.0,15.0,DET 25,14.0,42.0,"Jack Fox punts 63 yards, returned by Jha'Quan Jackson for 11 yards (tackle by Shane Zylstra and Jalen Reeves-Maybin)",-1.7,-0.48,8.0,2024,109
3.0,7:43,1.0,10.0,TEN 23,14.0,42.0,"Calvin Ridley right end for 3 yards. Calvin Ridley fumbles (forced by Amik Robertson), recovered by Carlton Davis at TEN-26",0.48,-3.84,8.0,2024,109
3.0,7:37,1.0,10.0,TEN 26,14.0,42.0,Jahmyr Gibbs right tackle for 9 yards (tackle by Jack Gibbens),3.84,4.64,8.0,2024,109
3.0,7:00,2.0,1.0,TEN 17,14.0,42.0,Jared Goff pass complete short left to Sam LaPorta for 10 yards (tackle by Quandre Diggs and Harold Landry),4.64,5.6,8.0,2024,109
3.0,6:17,1.0,7.0,TEN 7,14.0,48.0,"Jared Goff pass complete short right to Kalif Raymond for 7 yards, touchdown",5.6,7.0,8.0,2024,109
3.0,6:12,,,TEN 15,14.0,49.0,Jake Bates kicks extra point good,0.0,0.0,8.0,2024,109
3.0,6:12,,,DET 35,14.0,49.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,109
3.0,6:12,1.0,10.0,TEN 30,14.0,49.0,Tony Pollard left end for 3 yards (tackle by Pat O'Connor and James Houston),0.94,0.8,8.0,2024,109
3.0,5:34,2.0,7.0,TEN 33,14.0,49.0,Mason Rudolph pass incomplete deep left intended for Tyler Boyd,0.8,0.1,8.0,2024,109
3.0,5:29,3.0,7.0,TEN 33,14.0,49.0,"Mason Rudolph pass incomplete short left intended for Calvin Ridley. Penalty on Tony Pollard: Offensive Pass Interference, 10 yards (declined)",0.1,-1.18,8.0,2024,109
3.0,5:19,4.0,7.0,TEN 33,14.0,49.0,"Ryan Stonehouse punts 62 yards, returned by Kalif Raymond for 24 yards (tackle by Mike Brown). Penalty on Jalen Reeves-Maybin: Offensive Holding, 10 yards (accepted)",-1.18,-0.15,8.0,2024,109
3.0,5:08,1.0,10.0,DET 19,14.0,49.0,Jahmyr Gibbs left end for 6 yards (tackle by Quandre Diggs),0.15,0.48,8.0,2024,109
3.0,4:33,2.0,4.0,DET 25,14.0,49.0,Jared Goff pass complete short right to Sam LaPorta for 24 yards (tackle by Arden Key),0.48,2.19,8.0,2024,109
3.0,3:51,1.0,10.0,DET 49,14.0,49.0,Jahmyr Gibbs right end for 6 yards (tackle by Jarvis Brownlee and Amani Hooker),2.19,2.46,8.0,2024,109
3.0,3:13,2.0,4.0,TEN 45,14.0,49.0,Jared Goff pass complete short middle to David Montgomery for 5 yards (tackle by Jack Gibbens),2.46,2.92,8.0,2024,109
3.0,2:35,1.0,10.0,TEN 40,14.0,49.0,Jahmyr Gibbs right end for 4 yards (tackle by Sebastian Joseph-Day),2.92,2.91,8.0,2024,109
3.0,1:57,2.0,6.0,TEN 36,14.0,49.0,Jahmyr Gibbs right tackle for 3 yards (tackle by Sebastian Joseph-Day),2.91,2.61,8.0,2024,109
3.0,1:18,3.0,3.0,TEN 33,14.0,49.0,Jared Goff pass incomplete deep right intended for Tim Patrick (defended by Darrell Baker),2.61,1.19,8.0,2024,109
3.0,1:13,4.0,3.0,TEN 33,14.0,52.0,Jake Bates 51 yard field goal good,1.19,3.0,8.0,2024,109
3.0,1:08,,,DET 35,14.0,52.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,109
3.0,1:08,1.0,10.0,TEN 30,14.0,52.0,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 18 yards (tackle by Kerby Joseph),0.94,2.13,8.0,2024,109
3.0,0:32,1.0,10.0,TEN 48,14.0,52.0,Mason Rudolph pass incomplete short right intended for Chigoziem Okonkwo,2.13,1.58,8.0,2024,109
3.0,0:27,2.0,10.0,TEN 48,14.0,52.0,Mason Rudolph pass complete short right to Tony Pollard for 1 yard (tackle by Brian Branch),1.58,1.02,8.0,2024,109
4.0,15:00,3.0,9.0,TEN 49,14.0,52.0,Mason Rudolph pass complete short left to Calvin Ridley for 13 yards (tackle by Terrion Arnold),1.02,3.05,8.0,2024,109
4.0,14:15,1.0,10.0,DET 38,14.0,52.0,Tony Pollard left tackle for 16 yards (tackle by Terrion Arnold),3.05,4.11,8.0,2024,109
4.0,13:31,1.0,10.0,DET 22,14.0,52.0,Tony Pollard left end for 4 yards (tackle by Alex Anzalone),4.11,4.13,8.0,2024,109
4.0,12:58,2.0,6.0,DET 18,14.0,52.0,"Mason Rudolph pass complete short middle to Chigoziem Okonkwo for -4 yards. Chigoziem Okonkwo fumbles (forced by Amik Robertson), recovered by Isaiah Thomas at DET-22",4.13,-0.41,8.0,2024,109
4.0,12:52,1.0,10.0,DET 22,14.0,52.0,Hendon Hooker pass complete short right to Isaiah Williams for 2 yards (tackle by T'Vondre Sweat and Jack Gibbens),0.41,0.14,8.0,2024,109
4.0,12:08,2.0,8.0,DET 24,14.0,52.0,Craig Reynolds left end for 3 yards (tackle by Jack Gibbens and Harold Landry),0.14,-0.16,8.0,2024,109
4.0,11:29,3.0,5.0,DET 27,14.0,52.0,Craig Reynolds right end for -2 yards (tackle by Roger McCreary and Arden Key),-0.16,-1.7,8.0,2024,109
4.0,10:57,4.0,7.0,DET 25,14.0,52.0,"Jack Fox punts 62 yards, fair catch by Jha'Quan Jackson at TEN-13",-1.7,0.32,8.0,2024,109
4.0,10:52,1.0,10.0,TEN 13,14.0,52.0,Tony Pollard left end for 9 yards (tackle by Jack Campbell),-0.32,0.49,8.0,2024,109
4.0,10:14,2.0,1.0,TEN 22,14.0,52.0,Tony Pollard up the middle for 4 yards (tackle by Kerby Joseph and Pat O'Connor),0.49,0.67,8.0,2024,109
4.0,9:34,1.0,10.0,TEN 26,14.0,52.0,Julius Chestnut up the middle for 1 yard (tackle by Ennis Rakestraw),0.67,0.27,8.0,2024,109
4.0,8:54,2.0,9.0,TEN 27,14.0,52.0,Mason Rudolph pass complete short middle to Calvin Ridley for no gain (tackle by Kindle Vildor),0.27,-0.43,8.0,2024,109
4.0,8:31,3.0,9.0,TEN 27,14.0,52.0,Mason Rudolph pass incomplete deep middle intended for Jha'Quan Jackson,-0.43,-1.57,8.0,2024,109
4.0,8:26,4.0,9.0,TEN 27,14.0,52.0,"Ryan Stonehouse punts 47 yards, returned by Kalif Raymond for 2 yards (tackle by Luke Gifford and Chigoziem Okonkwo)",-1.57,-0.81,8.0,2024,109
4.0,8:15,1.0,10.0,DET 28,14.0,52.0,Craig Reynolds right end for 2 yards (tackle by Jack Gibbens),0.81,0.53,8.0,2024,109
4.0,7:33,2.0,8.0,DET 30,14.0,52.0,Hendon Hooker pass incomplete deep left intended for Isaiah Williams,0.53,-0.16,8.0,2024,109
4.0,7:29,3.0,8.0,DET 30,14.0,52.0,Hendon Hooker pass complete short left to Isaiah Williams for 4 yards (tackle by Quandre Diggs),-0.16,-1.11,8.0,2024,109
4.0,6:56,4.0,4.0,DET 34,14.0,52.0,Jack Fox punts 56 yards downed by Hogan Hatten,-1.11,0.38,8.0,2024,109
4.0,6:45,1.0,10.0,TEN 10,14.0,52.0,Tony Pollard right end for 5 yards (tackle by Alex Anzalone and Jack Campbell),-0.38,-0.28,8.0,2024,109
4.0,6:04,2.0,4.0,TEN 15,14.0,52.0,Tony Pollard right tackle for 2 yards (tackle by Isaiah Thomas and Mekhi Wingo),-0.28,-0.48,8.0,2024,109
4.0,5:25,3.0,2.0,TEN 17,14.0,52.0,Mason Rudolph pass complete short right to Tony Pollard for 5 yards (tackle by Jack Campbell),-0.48,0.41,8.0,2024,109
4.0,4:50,1.0,10.0,TEN 22,14.0,52.0,Julius Chestnut left end for 9 yards (tackle by James Houston and Brandon Joseph),0.41,1.08,8.0,2024,109
4.0,4:18,2.0,1.0,TEN 31,14.0,52.0,Mason Rudolph up the middle for 2 yards (tackle by James Houston),1.08,1.14,8.0,2024,109
4.0,3:40,1.0,10.0,TEN 33,14.0,52.0,Julius Chestnut left tackle for 6 yards (tackle by Jack Campbell and Khalil Dorsey),1.14,1.33,8.0,2024,109
4.0,3:03,2.0,5.0,TEN 39,14.0,52.0,Tony Pollard left tackle for 2 yards (tackle by Jack Campbell),1.33,1.03,8.0,2024,109
4.0,2:15,3.0,1.0,TEN 41,14.0,52.0,Tony Pollard left end for 3 yards (tackle by Jack Campbell),1.03,1.86,8.0,2024,109
4.0,2:00,1.0,10.0,TEN 44,14.0,52.0,Julius Chestnut up the middle for 5 yards (tackle by Mekhi Wingo and Ben Niemann),1.86,1.99,8.0,2024,109
4.0,1:15,2.0,5.0,TEN 49,14.0,52.0,Julius Chestnut left end for 6 yards (tackle by Ben Niemann and Khalil Dorsey),1.99,2.59,8.0,2024,109
4.0,0:45,1.0,10.0,DET 45,14.0,52.0,Julius Chestnut left tackle for 1 yard (tackle by Kerby Joseph and Isaiah Thomas),2.59,2.18,8.0,2024,109
4.0,0:01,2.0,9.0,DET 44,14.0,52.0,Julius Chestnut left end for 4 yards (tackle by Jack Campbell and Khalil Dorsey),2.18,2.01,8.0,2024,109
