Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA,week,year,game_id
1.0,10:25,1.0,10.0,CHI 16,0.0,0.0,Brian Robinson up the middle for 9 yards (tackle by Gervon Dexter and Elijah Hicks),4.51,5.54,8.0,2024,119
1.0,9:55,2.0,1.0,CHI 7,0.0,0.0,Brian Robinson left tackle for -1 yards (tackle by Byron Cowart),5.54,4.62,8.0,2024,119
1.0,9:02,3.0,2.0,CHI 8,0.0,0.0,Jayden Daniels pass incomplete short right intended for Luke McCaffrey (defended by Josh Blackwell),4.62,2.99,8.0,2024,119
1.0,8:54,4.0,2.0,CHI 8,0.0,3.0,Austin Seibert 27 yard field goal good,2.99,3.0,8.0,2024,119
1.0,8:51,,,WAS 35,0.0,3.0,"Austin Seibert kicks off 64 yards, returned by DeAndre Carter for 28 yards (tackle by Mike Sainristil and Jeremy McNichols)",0.0,0.87,8.0,2024,119
1.0,8:37,1.0,10.0,CHI 29,0.0,3.0,Caleb Williams pass incomplete short middle intended for Rome Odunze,0.87,0.33,8.0,2024,119
1.0,8:35,2.0,10.0,CHI 29,0.0,3.0,Caleb Williams scrambles up the middle for 13 yards (tackle by Quan Martin),0.33,1.73,8.0,2024,119
1.0,7:58,1.0,10.0,CHI 42,0.0,3.0,Caleb Williams pass complete short middle to Keenan Allen for 17 yards (tackle by Jeremy Chinn and Noah Igbinoghene),1.73,2.85,8.0,2024,119
1.0,7:16,1.0,10.0,WAS 41,0.0,3.0,"Penalty on Braxton Jones: False Start, 5 yards (accepted) (no play)",2.85,2.52,8.0,2024,119
1.0,7:05,1.0,15.0,WAS 46,0.0,3.0,D'Andre Swift right guard for 5 yards (tackle by Bobby Wagner and Benjamin St-Juste),2.52,2.31,8.0,2024,119
1.0,6:28,2.0,10.0,WAS 41,0.0,3.0,Caleb Williams pass incomplete short left intended for Keenan Allen,2.31,1.62,8.0,2024,119
1.0,6:14,3.0,10.0,WAS 41,0.0,3.0,Caleb Williams pass incomplete short right intended for Gerald Everett,1.62,0.53,8.0,2024,119
1.0,6:10,4.0,10.0,WAS 41,0.0,3.0,"Tory Taylor punts 32 yards, fair catch by Olamide Zaccheaus at WAS-9",0.53,0.38,8.0,2024,119
1.0,6:03,1.0,10.0,WAS 9,0.0,3.0,Brian Robinson up the middle for 2 yards (tackle by Chris Williams and Elijah Hicks),-0.38,-0.63,8.0,2024,119
1.0,5:32,2.0,8.0,WAS 11,0.0,3.0,Jayden Daniels pass incomplete short right intended for Noah Brown,-0.63,-1.19,8.0,2024,119
1.0,5:25,3.0,8.0,WAS 11,0.0,3.0,Jayden Daniels scrambles right end for 9 yards (tackle by Tyrique Stevenson),-1.19,0.28,8.0,2024,119
1.0,4:32,1.0,10.0,WAS 20,0.0,3.0,Jayden Daniels pass complete short middle to Austin Ekeler for 1 yard (tackle by DeMarcus Walker and Austin Booker),0.28,-0.13,8.0,2024,119
1.0,4:15,2.0,9.0,WAS 21,0.0,3.0,Jayden Daniels pass incomplete short left intended for Terry McLaurin,-0.13,-0.82,8.0,2024,119
1.0,4:10,3.0,9.0,WAS 21,0.0,3.0,Jayden Daniels pass complete deep left to Terry McLaurin for 61 yards (tackle by Tyrique Stevenson),-0.82,4.37,8.0,2024,119
1.0,3:26,1.0,10.0,CHI 18,0.0,3.0,Brian Robinson left end for 7 yards (tackle by Tyrique Stevenson),4.37,5.01,8.0,2024,119
1.0,2:49,2.0,3.0,CHI 11,0.0,3.0,Brian Robinson left tackle for 4 yards (tackle by Gervon Dexter),5.01,5.6,8.0,2024,119
1.0,2:07,1.0,7.0,CHI 7,0.0,3.0,"Penalty on Trenton Scott: False Start, 5 yards (accepted) (no play)",5.6,4.64,8.0,2024,119
1.0,2:07,1.0,12.0,CHI 12,0.0,3.0,Brian Robinson up the middle for no gain (tackle by Byron Cowart and Montez Sweat),4.64,3.86,8.0,2024,119
1.0,1:27,2.0,12.0,CHI 12,0.0,3.0,Jayden Daniels pass incomplete short right,3.86,3.1,8.0,2024,119
1.0,1:13,3.0,12.0,CHI 12,0.0,3.0,Jayden Daniels pass incomplete short middle intended for Austin Ekeler,3.1,2.63,8.0,2024,119
1.0,1:08,4.0,12.0,CHI 12,0.0,6.0,Austin Seibert 30 yard field goal good,2.63,3.0,8.0,2024,119
1.0,1:04,,,WAS 35,0.0,6.0,"Austin Seibert kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,119
1.0,1:04,1.0,10.0,CHI 30,0.0,6.0,D'Andre Swift right end for 5 yards (tackle by Mike Sainristil and Percy Butler),0.94,1.07,8.0,2024,119
1.0,0:33,2.0,5.0,CHI 35,0.0,6.0,D'Andre Swift left end for 3 yards (tackle by Quan Martin),1.07,0.76,8.0,2024,119
2.0,15:00,3.0,2.0,CHI 38,0.0,6.0,Caleb Williams scrambles up the middle for 1 yard (tackle by Dorance Armstrong),0.76,-0.78,8.0,2024,119
2.0,14:22,4.0,1.0,CHI 39,0.0,6.0,"Tory Taylor punts 52 yards, returned by Olamide Zaccheaus for 8 yards (tackle by Jaylon Jones)",-0.78,0.06,8.0,2024,119
2.0,14:01,1.0,10.0,WAS 17,0.0,6.0,Jayden Daniels pass complete short right to John Bates for 20 yards (tackle by Elijah Hicks),-0.06,1.4,8.0,2024,119
2.0,13:31,1.0,10.0,WAS 37,0.0,6.0,Jayden Daniels pass complete short middle to Zach Ertz for 5 yards (tackle by T.J. Edwards),1.4,1.53,8.0,2024,119
2.0,13:05,2.0,5.0,WAS 42,0.0,6.0,Jeremy McNichols left tackle for -1 yards (tackle by Austin Booker and DeMarcus Walker),1.53,0.7,8.0,2024,119
2.0,12:09,3.0,6.0,WAS 41,0.0,6.0,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,0.7,-0.65,8.0,2024,119
2.0,12:05,4.0,6.0,WAS 41,0.0,6.0,Tress Way punts 39 yards out of bounds,-0.65,-0.28,8.0,2024,119
2.0,11:56,1.0,10.0,CHI 20,0.0,6.0,D'Andre Swift left end for 6 yards (tackle by Quan Martin and Frankie Luvu),0.28,0.54,8.0,2024,119
2.0,11:20,2.0,4.0,CHI 26,0.0,6.0,D'Andre Swift right end for 5 yards (tackle by Quan Martin),0.54,1.0,8.0,2024,119
2.0,10:46,1.0,10.0,CHI 31,0.0,6.0,Caleb Williams sacked by Jalyn Holmes for -5 yards,1.0,-0.22,8.0,2024,119
2.0,10:05,2.0,15.0,CHI 26,0.0,6.0,Caleb Williams scrambles up the middle for 13 yards (tackle by Frankie Luvu),-0.22,0.83,8.0,2024,119
2.0,9:18,3.0,2.0,CHI 39,0.0,6.0,D'Andre Swift right end for 1 yard (tackle by Bobby Wagner),0.83,-0.72,8.0,2024,119
2.0,8:36,4.0,1.0,CHI 40,0.0,6.0,Caleb Williams pass complete short right to D.J. Moore for no gain (tackle by Benjamin St-Juste and Frankie Luvu),-0.72,-2.92,8.0,2024,119
2.0,8:25,1.0,10.0,CHI 40,0.0,6.0,Jayden Daniels pass complete short left to Zach Ertz for 12 yards (tackle by T.J. Edwards and Kevin Byard),2.92,3.71,8.0,2024,119
2.0,7:56,1.0,10.0,CHI 28,0.0,6.0,"Jayden Daniels pass complete short right to Dyami Brown for no gain (tackle by Jaylon Johnson). Penalty on Nick Allegretti: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.71,3.38,8.0,2024,119
2.0,7:44,1.0,15.0,CHI 33,0.0,6.0,Jayden Daniels pass incomplete short middle intended for Noah Brown,3.38,2.49,8.0,2024,119
2.0,7:21,2.0,15.0,CHI 33,0.0,6.0,"Jayden Daniels scrambles right end for 13 yards (tackle by Josh Blackwell). Penalty on Elijah Hicks: Defensive Holding, 5 yards (accepted)",2.49,4.58,8.0,2024,119
2.0,7:01,1.0,10.0,CHI 15,0.0,6.0,Brian Robinson left end for 2 yards (tackle by Tremaine Edmunds),4.58,4.28,8.0,2024,119
2.0,6:24,2.0,8.0,CHI 13,0.0,6.0,Austin Ekeler right tackle for 4 yards (tackle by Chris Williams),4.28,4.22,8.0,2024,119
2.0,5:34,3.0,4.0,CHI 9,0.0,6.0,"Jayden Daniels pass incomplete short right intended for Zach Ertz (defended by Tyrique Stevenson) WAS challenged the pass completion ruling, and the play was upheld.",4.22,2.9,8.0,2024,119
2.0,5:27,4.0,4.0,CHI 9,0.0,9.0,Austin Seibert 28 yard field goal good,2.9,3.0,8.0,2024,119
2.0,5:24,,,WAS 35,0.0,9.0,"Austin Seibert kicks off 67 yards, returned by DeAndre Carter for 31 yards (tackle by Percy Butler)",0.0,0.87,8.0,2024,119
2.0,5:19,1.0,10.0,CHI 29,0.0,9.0,D'Andre Swift right guard for 2 yards (tackle by Jer'Zhan Newton),0.87,0.6,8.0,2024,119
2.0,4:52,2.0,8.0,CHI 31,0.0,9.0,Caleb Williams scrambles right end for 3 yards (tackle by Frankie Luvu),0.6,0.3,8.0,2024,119
2.0,4:07,,,,,,Timeout #1 by Chicago Bears,,,8.0,2024,119
2.0,4:07,3.0,5.0,CHI 34,0.0,9.0,Caleb Williams pass complete short right to Rome Odunze for 16 yards (tackle by Benjamin St-Juste),0.3,2.26,8.0,2024,119
2.0,3:34,1.0,10.0,WAS 50,0.0,9.0,D.J. Moore left guard for 9 yards (tackle by Quan Martin),2.26,2.93,8.0,2024,119
2.0,3:01,2.0,1.0,WAS 41,0.0,9.0,D'Andre Swift right guard for 5 yards (tackle by Daron Payne),2.93,3.18,8.0,2024,119
2.0,2:36,1.0,10.0,WAS 36,0.0,9.0,Rome Odunze right end for 8 yards (tackle by Jer'Zhan Newton),3.18,3.72,8.0,2024,119
2.0,2:07,2.0,2.0,WAS 28,0.0,9.0,Caleb Williams scrambles right end for 5 yards (tackle by Quan Martin),3.72,4.04,8.0,2024,119
2.0,1:56,1.0,10.0,WAS 23,0.0,9.0,D'Andre Swift up the middle for -2 yards (tackle by Phidarian Mathis and Dante Fowler),4.04,3.23,8.0,2024,119
2.0,1:19,2.0,12.0,WAS 25,0.0,9.0,Caleb Williams pass incomplete deep left intended for Keenan Allen,3.23,2.54,8.0,2024,119
2.0,1:11,3.0,12.0,WAS 25,0.0,9.0,Caleb Williams sacked by Daron Payne for -15 yards,2.54,0.59,8.0,2024,119
2.0,1:02,,,,,,Timeout #2 by Washington Commanders,,,8.0,2024,119
2.0,1:02,4.0,27.0,WAS 40,0.0,9.0,"Tory Taylor punts 32 yards, fair catch by Olamide Zaccheaus at WAS-8",0.59,0.38,8.0,2024,119
2.0,0:55,1.0,10.0,WAS 8,0.0,9.0,Jayden Daniels pass complete short right to Noah Brown for 8 yards (tackle by Tyrique Stevenson),-0.38,-0.09,8.0,2024,119
2.0,0:34,2.0,2.0,WAS 16,0.0,9.0,Jayden Daniels pass complete short left to Brian Robinson for 11 yards (tackle by DeMarcus Walker and Kevin Byard),-0.09,0.74,8.0,2024,119
2.0,0:22,1.0,10.0,WAS 27,0.0,9.0,Jayden Daniels pass complete short right to Noah Brown for 13 yards (tackle by Tyrique Stevenson),0.74,1.6,8.0,2024,119
2.0,0:12,,,,,,Timeout #3 by Washington Commanders,,,8.0,2024,119
2.0,0:12,1.0,10.0,WAS 40,0.0,9.0,Jayden Daniels pass complete short right to Zach Ertz for 11 yards (tackle by T.J. Edwards),1.6,2.32,8.0,2024,119
2.0,0:06,1.0,10.0,CHI 49,0.0,9.0,Jayden Daniels pass incomplete short right,2.32,1.78,8.0,2024,119
2.0,0:03,2.0,10.0,CHI 49,0.0,9.0,Austin Ekeler right guard for 29 yards (tackle by Tremaine Edmunds and Tyrique Stevenson),1.78,0.41,8.0,2024,119
3.0,15:00,,,CHI 35,0.0,9.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,119
3.0,15:00,1.0,10.0,WAS 30,0.0,9.0,Jayden Daniels pass complete short right to Dyami Brown for 6 yards (tackle by Kevin Byard and DeMarcus Walker),0.94,1.2,8.0,2024,119
3.0,14:31,2.0,4.0,WAS 36,0.0,9.0,Jayden Daniels pass complete deep left to Zach Ertz for 20 yards (tackle by Jaylon Johnson),1.2,2.65,8.0,2024,119
3.0,13:57,1.0,10.0,CHI 44,0.0,9.0,Jayden Daniels pass incomplete short middle,2.65,2.11,8.0,2024,119
3.0,13:48,2.0,10.0,CHI 44,0.0,9.0,Brian Robinson right guard for 7 yards (tackle by T.J. Edwards and Tremaine Edmunds),2.11,2.35,8.0,2024,119
3.0,13:15,3.0,3.0,CHI 37,0.0,9.0,Jayden Daniels scrambles right end for 4 yards (tackle by Josh Blackwell),2.35,3.38,8.0,2024,119
3.0,12:32,,,,,,Timeout #1 by Washington Commanders,,,8.0,2024,119
3.0,12:32,1.0,10.0,CHI 33,0.0,9.0,Jayden Daniels sacked by T.J. Edwards for -6 yards,3.38,2.03,8.0,2024,119
3.0,11:50,2.0,16.0,CHI 39,0.0,9.0,Austin Ekeler right tackle for 5 yards (tackle by Darrell Taylor),2.03,2.01,8.0,2024,119
3.0,11:14,3.0,11.0,CHI 34,0.0,9.0,"Jayden Daniels right guard for -5 yards (tackle by Montez Sweat and Gervon Dexter). Penalty on Jayden Daniels: Illegal Motion, 5 yards (declined)",2.01,0.66,8.0,2024,119
3.0,10:56,4.0,16.0,CHI 39,0.0,9.0,"Penalty on WAS: Delay of Game, 5 yards (declined) (no play)",0.66,0.66,8.0,2024,119
3.0,10:40,4.0,16.0,CHI 39,0.0,9.0,Tress Way punts 35 yards downed by Tyler Ott,0.66,0.38,8.0,2024,119
3.0,10:18,1.0,10.0,CHI 4,0.0,9.0,D'Andre Swift right end for 3 yards (tackle by Mike Sainristil),-0.38,-0.56,8.0,2024,119
3.0,9:57,2.0,7.0,CHI 7,0.0,9.0,Caleb Williams pass incomplete short right intended for Marcedes Lewis,-0.56,-1.07,8.0,2024,119
3.0,9:50,3.0,7.0,CHI 7,0.0,9.0,Caleb Williams pass incomplete short left intended for Keenan Allen,-1.07,-2.49,8.0,2024,119
3.0,9:46,4.0,7.0,CHI 7,0.0,9.0,"Tory Taylor punts 49 yards, fair catch by Olamide Zaccheaus at WAS-44. Penalty on Daniel Hardy: Personal Foul / Offense, 15 yards (accepted)",-2.49,-2.85,8.0,2024,119
3.0,9:38,1.0,10.0,CHI 41,0.0,9.0,Brian Robinson up the middle for -4 yards (tackle by Jacob Martin),2.85,1.77,8.0,2024,119
3.0,9:01,2.0,14.0,CHI 45,0.0,9.0,Jayden Daniels scrambles right end for 13 yards (tackle by Kevin Byard),1.77,2.81,8.0,2024,119
3.0,8:50,3.0,1.0,CHI 32,0.0,9.0,"Jayden Daniels pass complete short left to Olamide Zaccheaus for no gain, touchdown. Penalty on Samuel Cosmi: Ineligible Downfield Pass, 4 yards (accepted) (no play)",2.81,2.28,8.0,2024,119
3.0,8:35,3.0,5.0,CHI 36,0.0,9.0,Jayden Daniels pass complete short left to Zach Ertz for 6 yards (tackle by Elijah Hicks),2.28,3.58,8.0,2024,119
3.0,8:00,1.0,10.0,CHI 30,0.0,9.0,Austin Ekeler up the middle for 3 yards (tackle by DeMarcus Walker and Gervon Dexter),3.58,3.44,8.0,2024,119
3.0,7:26,2.0,7.0,CHI 27,0.0,9.0,Jayden Daniels pass complete short left to Austin Ekeler for 5 yards (tackle by Tremaine Edmunds and DeMarcus Walker),3.44,3.4,8.0,2024,119
3.0,6:39,,,,,,Timeout #2 by Washington Commanders,,,8.0,2024,119
3.0,6:39,3.0,2.0,CHI 22,0.0,9.0,Jayden Daniels sacked by Montez Sweat for -7 yards,3.4,1.5,8.0,2024,119
3.0,5:52,4.0,9.0,CHI 29,0.0,12.0,Austin Seibert 47 yard field goal good,1.5,3.0,8.0,2024,119
3.0,5:48,,,WAS 35,0.0,12.0,"Austin Seibert kicks off 61 yards, returned by DeAndre Carter for 26 yards (tackle by Quan Martin and Tyler Owens)",0.0,0.94,8.0,2024,119
3.0,5:40,1.0,10.0,CHI 30,0.0,12.0,Caleb Williams scrambles left end for 7 yards (tackle by Phidarian Mathis),0.94,1.34,8.0,2024,119
3.0,4:58,2.0,3.0,CHI 37,0.0,12.0,Rome Odunze left end for 5 yards (tackle by Frankie Luvu and Benjamin St-Juste),1.34,1.73,8.0,2024,119
3.0,4:19,1.0,10.0,CHI 42,0.0,12.0,D'Andre Swift left end for 8 yards (tackle by Bobby Wagner),1.73,2.27,8.0,2024,119
3.0,3:42,2.0,2.0,WAS 50,0.0,12.0,Caleb Williams pass incomplete deep left intended for Rome Odunze,2.27,1.55,8.0,2024,119
3.0,3:40,3.0,2.0,WAS 50,0.0,12.0,"Caleb Williams pass complete short left to D.J. Moore for no gain (tackle by Benjamin St-Juste). Penalty on Darnell Wright: Illegal Shift, 5 yards (accepted) (no play)",1.55,0.89,8.0,2024,119
3.0,3:27,3.0,7.0,CHI 45,0.0,12.0,"Penalty on Teven Jenkins: False Start, 5 yards (accepted) (no play)",0.89,0.23,8.0,2024,119
3.0,2:59,3.0,12.0,CHI 40,0.0,12.0,Caleb Williams pass incomplete deep right intended for Keenan Allen,0.23,-0.72,8.0,2024,119
3.0,2:51,4.0,12.0,CHI 40,0.0,12.0,"Tory Taylor punts 53 yards, fair catch by Olamide Zaccheaus at WAS-7",-0.72,0.38,8.0,2024,119
3.0,2:44,1.0,10.0,WAS 7,0.0,12.0,Brian Robinson left guard for 5 yards (tackle by DeMarcus Walker),-0.38,-0.42,8.0,2024,119
3.0,2:26,2.0,5.0,WAS 12,0.0,12.0,Brian Robinson left end for 2 yards (tackle by Tyrique Stevenson and DeMarcus Walker),-0.42,-0.6,8.0,2024,119
3.0,1:54,3.0,3.0,WAS 14,0.0,12.0,Jayden Daniels pass incomplete short middle intended for Zach Ertz,-0.6,-2.47,8.0,2024,119
3.0,1:47,4.0,3.0,WAS 14,0.0,12.0,"Tress Way punts 49 yards, returned by DeAndre Carter for 4 yards (tackle by Percy Butler)",-2.47,-1.66,8.0,2024,119
3.0,1:29,1.0,10.0,CHI 41,0.0,12.0,Caleb Williams pass complete short right to Gerald Everett for 3 yards (tackle by Frankie Luvu),1.66,1.53,8.0,2024,119
3.0,0:54,2.0,7.0,CHI 44,6.0,12.0,"D'Andre Swift left end for 56 yards, touchdown",1.53,7.0,8.0,2024,119
3.0,0:43,,,WAS 15,7.0,12.0,Cairo Santos kicks extra point good,0.0,0.0,8.0,2024,119
3.0,0:43,,,CHI 35,7.0,12.0,"Cairo Santos kicks off 64 yards, returned by Jeremy McNichols for 23 yards (tackle by Jacob Martin and Amen Ogbongbemiga)",0.0,0.54,8.0,2024,119
3.0,0:37,1.0,10.0,WAS 24,7.0,12.0,Jayden Daniels pass incomplete short right intended for John Bates,0.54,0.0,8.0,2024,119
3.0,0:09,2.0,10.0,WAS 24,7.0,12.0,"Jayden Daniels pass complete deep middle to Terry McLaurin for 25 yards (tackle by Elijah Hicks and Jack Sanborn). Penalty on Tyrique Stevenson: Unnecessary Roughness / Defense, 15 yards (accepted)",0.0,3.18,8.0,2024,119
4.0,15:00,1.0,10.0,CHI 36,7.0,12.0,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,3.18,2.64,8.0,2024,119
4.0,14:54,2.0,10.0,CHI 36,7.0,12.0,"Penalty on Trenton Scott: False Start, 5 yards (accepted) (no play)",2.64,1.96,8.0,2024,119
4.0,14:54,2.0,15.0,CHI 41,7.0,12.0,Jayden Daniels pass complete short right to Luke McCaffrey for 8 yards (tackle by Tremaine Edmunds and Jaylon Johnson),1.96,2.35,8.0,2024,119
4.0,14:15,3.0,7.0,CHI 33,7.0,12.0,Jayden Daniels pass incomplete short middle intended for Zach Ertz,2.35,1.15,8.0,2024,119
4.0,14:09,4.0,7.0,CHI 33,7.0,12.0,Austin Seibert 51 yard field goal no good,1.15,-1.66,8.0,2024,119
4.0,14:04,1.0,10.0,CHI 41,7.0,12.0,Caleb Williams pass incomplete deep left intended for Keenan Allen,1.66,1.12,8.0,2024,119
4.0,13:59,2.0,10.0,CHI 41,7.0,12.0,"Caleb Williams pass incomplete short left. Penalty on Kiran Amegadjie: Ineligible Downfield Pass, 5 yards (declined)",1.12,0.43,8.0,2024,119
4.0,13:50,3.0,10.0,CHI 41,7.0,12.0,Caleb Williams pass incomplete deep right intended for Rome Odunze,0.43,-0.65,8.0,2024,119
4.0,13:46,4.0,10.0,CHI 41,7.0,12.0,"Penalty on Tarvarius Moore: False Start, 5 yards (accepted) (no play)",-0.65,-0.98,8.0,2024,119
4.0,13:46,4.0,15.0,CHI 36,7.0,12.0,Tory Taylor punts 55 yards out of bounds,-0.98,0.38,8.0,2024,119
4.0,13:44,1.0,10.0,WAS 9,7.0,12.0,Austin Ekeler right end for 4 yards (tackle by Tremaine Edmunds),-0.38,-0.48,8.0,2024,119
4.0,13:15,2.0,6.0,WAS 13,7.0,12.0,Jayden Daniels pass incomplete deep left intended for Noah Brown,-0.48,-0.95,8.0,2024,119
4.0,13:05,3.0,6.0,WAS 13,7.0,12.0,Jayden Daniels pass complete deep middle to Terry McLaurin for 18 yards (tackle by Tremaine Edmunds),-0.95,1.0,8.0,2024,119
4.0,12:46,1.0,10.0,WAS 31,7.0,12.0,Austin Ekeler left guard for 5 yards (tackle by Gervon Dexter),1.0,1.14,8.0,2024,119
4.0,12:27,2.0,5.0,WAS 36,7.0,12.0,Jayden Daniels pass complete short left to Terry McLaurin for 8 yards (tackle by Tyrique Stevenson),1.14,1.86,8.0,2024,119
4.0,11:51,1.0,10.0,WAS 44,7.0,12.0,Austin Ekeler right tackle for 2 yards (tackle by Gervon Dexter),1.86,1.59,8.0,2024,119
4.0,11:32,2.0,8.0,WAS 46,7.0,12.0,Jayden Daniels scrambles right end for 5 yards (tackle by Austin Booker),1.59,1.55,8.0,2024,119
4.0,10:50,3.0,3.0,CHI 49,7.0,12.0,Jayden Daniels pass incomplete deep right,1.55,0.0,8.0,2024,119
4.0,10:41,4.0,3.0,CHI 49,7.0,12.0,"Tress Way punts 34 yards, fair catch by DeAndre Carter at CHI-15",0.0,0.22,8.0,2024,119
4.0,10:28,1.0,10.0,CHI 15,7.0,12.0,D'Andre Swift up the middle for 7 yards (tackle by Bobby Wagner),-0.22,0.35,8.0,2024,119
4.0,10:06,2.0,3.0,CHI 22,7.0,12.0,D'Andre Swift right guard for 22 yards (tackle by Mike Sainristil and Jeremy Chinn),0.35,1.86,8.0,2024,119
4.0,9:25,1.0,10.0,CHI 44,7.0,12.0,Caleb Williams pass complete short left to Rome Odunze for 9 yards (tackle by Benjamin St-Juste),1.86,2.53,8.0,2024,119
4.0,9:09,2.0,1.0,WAS 47,7.0,12.0,Caleb Williams pass complete short middle to Cole Kmet for 14 yards (tackle by Quan Martin),2.53,3.38,8.0,2024,119
4.0,8:44,1.0,10.0,WAS 33,7.0,12.0,D.J. Moore right end for -2 yards (tackle by Quan Martin and Dorance Armstrong),3.38,2.57,8.0,2024,119
4.0,8:10,2.0,12.0,WAS 35,7.0,12.0,Caleb Williams pass complete deep left to D.J. Moore for 27 yards (tackle by Quan Martin),2.57,5.37,8.0,2024,119
4.0,7:53,1.0,8.0,WAS 8,7.0,12.0,D'Andre Swift left end for no gain (tackle by Jeremy Chinn),5.37,4.57,8.0,2024,119
4.0,7:08,2.0,8.0,WAS 8,7.0,12.0,Caleb Williams pass complete short left to DeAndre Carter for 7 yards (tackle by Benjamin St-Juste),4.57,5.17,8.0,2024,119
4.0,6:25,3.0,1.0,WAS 1,7.0,12.0,"Caleb Williams aborted snap, recovered by Jer'Zhan Newton at WAS-1 and returned for 2 yards (tackle by Teven Jenkins)",5.17,0.38,8.0,2024,119
4.0,6:18,1.0,10.0,WAS 3,7.0,12.0,Brian Robinson right end for 1 yard (tackle by Kevin Byard),-0.38,-0.71,8.0,2024,119
4.0,5:51,2.0,9.0,WAS 4,7.0,12.0,Brian Robinson left guard for 4 yards (tackle by Jacob Martin and Tremaine Edmunds),-0.71,-0.84,8.0,2024,119
4.0,5:13,3.0,5.0,WAS 8,7.0,12.0,Jayden Daniels scrambles left end for 4 yards (tackle by Chris Williams and Tremaine Edmunds),-0.84,-2.49,8.0,2024,119
4.0,4:38,4.0,1.0,WAS 12,7.0,12.0,"Tress Way punts 57 yards, returned by DeAndre Carter for 7 yards (tackle by Jeremy Reaves and Nick Bellore)",-2.49,-1.47,8.0,2024,119
4.0,4:21,1.0,10.0,CHI 38,7.0,12.0,D'Andre Swift up the middle for no gain (tackle by Bobby Wagner),1.47,0.92,8.0,2024,119
4.0,3:59,2.0,10.0,CHI 38,7.0,12.0,Caleb Williams pass incomplete deep right,0.92,0.23,8.0,2024,119
4.0,3:49,3.0,10.0,CHI 38,7.0,12.0,Caleb Williams pass complete short left to Rome Odunze for 16 yards (tackle by Mike Sainristil),0.23,2.52,8.0,2024,119
4.0,3:27,1.0,10.0,WAS 46,7.0,12.0,Roschon Johnson left guard for 5 yards (tackle by Noah Igbinoghene),2.52,2.65,8.0,2024,119
4.0,3:02,2.0,5.0,WAS 41,7.0,12.0,Caleb Williams pass complete short right to Keenan Allen for 22 yards (tackle by Quan Martin),2.65,4.31,8.0,2024,119
4.0,2:19,1.0,10.0,WAS 19,7.0,12.0,D'Andre Swift up the middle for 2 yards (tackle by Bobby Wagner),4.31,4.03,8.0,2024,119
4.0,2:00,2.0,8.0,WAS 17,7.0,12.0,Caleb Williams right end for 3 yards (tackle by Daron Payne),4.03,3.76,8.0,2024,119
4.0,1:22,3.0,5.0,WAS 14,7.0,12.0,Caleb Williams up the middle for 2 yards (tackle by Bobby Wagner and Daron Payne),3.76,2.73,8.0,2024,119
4.0,0:42,4.0,3.0,WAS 12,7.0,12.0,"Caleb Williams pass incomplete short right intended for Keenan Allen. Penalty on Benjamin St-Juste: Defensive Pass Interference, 11 yards (accepted) (no play)",2.73,6.97,8.0,2024,119
