Quarter,Time,Down,ToGo,Location,ARI,MIA,Detail,EPB,EPA,week,year,game_id
2.0,3:08,2.0,9.0,MIA 6,7.0,10.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for no gain (tackle by Budda Baker),-0.71,-1.3,8.0,2024,114
2.0,2:27,3.0,9.0,MIA 6,7.0,10.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 10 yards (tackle by Max Melton),-1.3,-0.14,8.0,2024,114
2.0,2:00,1.0,10.0,MIA 16,7.0,10.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 10 yards (tackle by Max Melton),-0.14,0.67,8.0,2024,114
2.0,1:56,1.0,10.0,MIA 26,7.0,10.0,Tua Tagovailoa pass complete short middle to De'Von Achane for 8 yards (tackle by Budda Baker),0.67,1.21,8.0,2024,114
2.0,1:37,2.0,2.0,MIA 34,7.0,10.0,Tua Tagovailoa pass incomplete short left intended for De'Von Achane (defended by Dante Stills),1.21,0.5,8.0,2024,114
2.0,1:35,3.0,2.0,MIA 34,7.0,10.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 30 yards (tackle by Max Melton),0.5,3.18,8.0,2024,114
2.0,1:16,,,,,,Timeout #1 by Miami Dolphins,,,8.0,2024,114
2.0,1:16,1.0,10.0,ARI 36,7.0,10.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 8 yards (tackle by Budda Baker),3.18,3.72,8.0,2024,114
2.0,1:15,,,,,,Timeout #2 by Miami Dolphins,,,8.0,2024,114
2.0,1:15,2.0,2.0,ARI 28,7.0,10.0,Tua Tagovailoa pass complete short left to De'Von Achane for 16 yards (tackle by Garrett Williams),3.72,4.78,8.0,2024,114
2.0,1:08,1.0,10.0,ARI 12,7.0,10.0,De'Von Achane up the middle for 6 yards (tackle by Budda Baker and Victor Dimukeje),4.78,5.21,8.0,2024,114
2.0,0:28,2.0,4.0,ARI 6,7.0,10.0,Raheem Mostert right guard for -1 yards (tackle by Jesse Luketa and Khyiris Tonga),5.21,4.16,8.0,2024,114
2.0,0:22,,,,,,Timeout #3 by Miami Dolphins,,,8.0,2024,114
2.0,0:22,3.0,5.0,ARI 7,7.0,10.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,4.16,2.98,8.0,2024,114
2.0,0:18,4.0,5.0,ARI 7,7.0,13.0,Jason Sanders 25 yard field goal good,2.98,3.0,8.0,2024,114
2.0,0:15,,,MIA 35,7.0,13.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,114
2.0,0:15,1.0,10.0,ARI 30,7.0,13.0,Kyler Murray pass incomplete short left,0.94,0.39,8.0,2024,114
2.0,0:08,2.0,10.0,ARI 30,7.0,13.0,Kyler Murray pass incomplete short left,0.39,-0.3,8.0,2024,114
2.0,0:01,3.0,10.0,ARI 30,7.0,13.0,Kyler Murray kneels for -1 yards,-0.3,-1.44,8.0,2024,114
3.0,15:00,,,MIA 35,7.0,13.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,114
3.0,15:00,1.0,10.0,ARI 30,7.0,13.0,Kyler Murray pass complete deep left to Trey McBride for 37 yards (tackle by David Long),0.94,3.38,8.0,2024,114
3.0,14:22,1.0,10.0,MIA 33,7.0,13.0,James Conner right end for -10 yards (tackle by Emmanuel Ogbah and David Long),3.38,1.49,8.0,2024,114
3.0,13:42,2.0,20.0,MIA 43,7.0,13.0,"Kyler Murray pass complete short left to James Conner for no gain (tackle by Jordan Poyer and Jalen Ramsey). Penalty on Paris Johnson: Offensive Holding, 10 yards (accepted) (no play)",1.49,0.14,8.0,2024,114
3.0,13:21,2.0,30.0,ARI 47,7.0,13.0,Kyler Murray pass complete short middle to James Conner for 9 yards (tackle by Jordyn Brooks and David Long),0.14,0.7,8.0,2024,114
3.0,12:34,3.0,21.0,MIA 44,7.0,13.0,Kyler Murray pass complete short left to Trey McBride for 6 yards (tackle by Jordyn Brooks),0.7,0.72,8.0,2024,114
3.0,11:48,4.0,15.0,MIA 38,10.0,13.0,Chad Ryland 57 yard field goal good,0.72,3.0,8.0,2024,114
3.0,11:43,,,ARI 35,10.0,13.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,114
3.0,11:43,1.0,10.0,MIA 30,10.0,13.0,De'Von Achane left end for 47 yards (tackle by Max Melton and Jalen Thompson),0.94,4.04,8.0,2024,114
3.0,10:51,1.0,10.0,ARI 23,10.0,13.0,Tua Tagovailoa pass complete short left to Alec Ingold for 1 yard (tackle by Kyzir White),4.04,3.63,8.0,2024,114
3.0,10:11,2.0,9.0,ARI 22,10.0,13.0,Tua Tagovailoa pass incomplete deep left intended for Jaylen Waddle,3.63,2.94,8.0,2024,114
3.0,10:03,3.0,9.0,ARI 22,10.0,13.0,Tua Tagovailoa scrambles left tackle for 13 yards (tackle by Starling Thomas),2.94,5.14,8.0,2024,114
3.0,9:24,1.0,9.0,ARI 9,10.0,13.0,Raheem Mostert right end for -3 yards (tackle by Max Melton),5.14,3.86,8.0,2024,114
3.0,8:35,2.0,12.0,ARI 12,10.0,19.0,"Tua Tagovailoa pass complete short left to De'Von Achane for 12 yards, touchdown",3.86,7.0,8.0,2024,114
3.0,8:31,,,ARI 15,10.0,20.0,Jason Sanders kicks extra point good,0.0,0.0,8.0,2024,114
3.0,8:31,,,MIA 35,10.0,20.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,114
3.0,8:31,1.0,10.0,ARI 30,10.0,20.0,James Conner left guard for 2 yards (tackle by Da'Shawn Hand),0.94,0.66,8.0,2024,114
3.0,7:53,2.0,8.0,ARI 32,10.0,20.0,Kyler Murray pass complete short left to Trey McBride for 6 yards (tackle by Kendall Fuller),0.66,0.76,8.0,2024,114
3.0,7:07,3.0,2.0,ARI 38,10.0,20.0,"Kyler Murray pass complete short left to Marvin Harrison for no gain (tackle by Jordan Poyer). Penalty on Hjalte Froholdt: Ineligible Downfield Pass, 4 yards (accepted) (no play)",0.76,0.23,8.0,2024,114
3.0,6:48,3.0,6.0,ARI 34,10.0,20.0,Kyler Murray pass incomplete deep middle intended for Emari Demercado (defended by Jordan Poyer),0.23,-1.11,8.0,2024,114
3.0,6:41,4.0,6.0,ARI 34,10.0,20.0,"Blake Gillikin punts 59 yards, returned by Malik Washington for 6 yards (tackle by Owen Pappoe and DeeJay Dallas)",-1.11,0.32,8.0,2024,114
3.0,6:29,1.0,10.0,MIA 13,10.0,20.0,Tua Tagovailoa pass incomplete short right intended for Raheem Mostert (defended by Ben Stille),-0.32,-0.77,8.0,2024,114
3.0,6:22,2.0,10.0,MIA 13,12.0,20.0,Tua Tagovailoa for -13 yards. Tua Tagovailoa fumbles out of bounds. Penalty on Tua Tagovailoa: Illegal Bat / Offense (declined),-0.77,-2.0,8.0,2024,114
3.0,6:15,,,MIA 20,12.0,20.0,"Jason Sanders kicks off 76 yards, returned by DeeJay Dallas for 21 yards (tackle by Anthony Walker)",0.0,0.61,8.0,2024,114
3.0,6:08,1.0,10.0,ARI 25,12.0,20.0,Kyler Murray pass incomplete short middle intended for Trey McBride (defended by Emmanuel Ogbah),0.61,0.06,8.0,2024,114
3.0,6:05,2.0,10.0,ARI 25,12.0,20.0,James Conner left tackle for 13 yards (tackle by Jordan Poyer),0.06,1.47,8.0,2024,114
3.0,5:29,1.0,10.0,ARI 38,12.0,20.0,Kyler Murray pass complete deep right to Trey McBride for 17 yards,1.47,2.59,8.0,2024,114
3.0,4:48,1.0,10.0,MIA 45,12.0,20.0,Kyler Murray scrambles left tackle for 4 yards (tackle by Jordyn Brooks),2.59,2.58,8.0,2024,114
3.0,4:08,2.0,6.0,MIA 41,12.0,20.0,Kyler Murray pass incomplete deep left intended for Greg Dortch,2.58,1.88,8.0,2024,114
3.0,4:00,3.0,6.0,MIA 41,12.0,20.0,Kyler Murray pass complete short right to Greg Dortch for 9 yards (tackle by Tyus Bowser),1.88,3.45,8.0,2024,114
3.0,3:22,1.0,10.0,MIA 32,12.0,20.0,James Conner left guard for 3 yards (tackle by Jordyn Brooks),3.45,3.31,8.0,2024,114
3.0,2:42,2.0,7.0,MIA 29,12.0,20.0,Kyler Murray pass complete short left to James Conner for 7 yards (tackle by Tyus Bowser),3.31,4.11,8.0,2024,114
3.0,2:18,1.0,10.0,MIA 22,18.0,20.0,"Kyler Murray pass complete deep right to Marvin Harrison for 22 yards, touchdown",4.11,7.0,8.0,2024,114
3.0,2:08,,,MIA 2,18.0,20.0,"Two Point Attempt: James Conner rushes, conversion fails.",1.0,-1.0,8.0,2024,114
3.0,2:08,,,ARI 35,18.0,20.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,114
3.0,2:08,1.0,10.0,MIA 30,18.0,20.0,De'Von Achane left tackle for 4 yards (tackle by Kyzir White and Julian Okwara),0.94,0.93,8.0,2024,114
3.0,1:28,2.0,6.0,MIA 34,18.0,20.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 20 yards (tackle by Jalen Thompson and Kyzir White),0.93,2.52,8.0,2024,114
3.0,0:53,1.0,10.0,ARI 46,18.0,20.0,Raheem Mostert left guard for 13 yards (tackle by Budda Baker and Starling Thomas),2.52,3.38,8.0,2024,114
3.0,0:17,1.0,10.0,ARI 33,18.0,20.0,Tua Tagovailoa pass complete short left to Alec Ingold for 2 yards (tackle by Jalen Thompson),3.38,3.11,8.0,2024,114
4.0,15:00,2.0,8.0,ARI 31,18.0,20.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 3 yards,3.11,2.81,8.0,2024,114
4.0,14:23,3.0,5.0,ARI 28,18.0,20.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 15 yards (tackle by Budda Baker),2.81,4.71,8.0,2024,114
4.0,13:45,1.0,10.0,ARI 13,18.0,20.0,Tua Tagovailoa pass complete short left to Julian Hill for 6 yards (tackle by Mack Wilson),4.71,5.15,8.0,2024,114
4.0,13:11,2.0,4.0,ARI 7,18.0,20.0,Raheem Mostert up the middle for 1 yard (tackle by Khyiris Tonga and Dante Stills),5.15,4.56,8.0,2024,114
4.0,12:26,3.0,3.0,ARI 6,18.0,26.0,"Raheem Mostert right end for 6 yards, touchdown",4.56,7.0,8.0,2024,114
4.0,12:22,,,ARI 15,18.0,27.0,Jason Sanders kicks extra point good,0.0,0.0,8.0,2024,114
4.0,12:22,,,MIA 35,18.0,27.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,114
4.0,12:22,1.0,10.0,ARI 30,18.0,27.0,"Kyler Murray for -9 yards. Kyler Murray fumbles (forced by Calais Campbell), recovered by Kyler Murray at ARI-17 Kyler Murray pass incomplete short left",0.94,0.39,8.0,2024,114
4.0,12:12,2.0,10.0,ARI 30,18.0,27.0,Kyler Murray pass complete short left to Elijah Higgins for 6 yards (tackle by Jordyn Brooks),0.39,0.5,8.0,2024,114
4.0,11:24,3.0,4.0,ARI 36,18.0,27.0,"Kyler Murray pass incomplete deep left intended for Marvin Harrison ARI challenged the pass completion ruling, and the original play was overturned. Kyler Murray pass complete deep left to Marvin Harrison for 16 yards",0.5,2.39,8.0,2024,114
4.0,11:20,1.0,10.0,MIA 48,18.0,27.0,Kyler Murray pass complete deep right to Marvin Harrison for 22 yards (tackle by Cam Smith),2.39,3.84,8.0,2024,114
4.0,10:43,1.0,10.0,MIA 26,18.0,27.0,Kyler Murray pass complete short left to Michael Wilson for no gain (tackle by Kendall Fuller),3.84,3.3,8.0,2024,114
4.0,10:11,2.0,10.0,MIA 26,18.0,27.0,Kyler Murray pass complete short middle to Trey McBride for 16 yards (tackle by Jordyn Brooks and Jordan Poyer),3.3,4.91,8.0,2024,114
4.0,9:33,1.0,10.0,MIA 10,18.0,27.0,Kyler Murray pass complete short middle to Michael Wilson for 8 yards (tackle by David Long),4.91,5.72,8.0,2024,114
4.0,8:50,2.0,2.0,MIA 2,24.0,27.0,"James Conner left guard for 2 yards, touchdown",5.72,7.0,8.0,2024,114
4.0,8:47,,,MIA 15,25.0,27.0,Chad Ryland kicks extra point good,0.0,0.0,8.0,2024,114
4.0,8:47,,,ARI 35,25.0,27.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,114
4.0,8:47,1.0,10.0,MIA 30,25.0,27.0,De'Von Achane up the middle for 9 yards (tackle by Jalen Thompson),0.94,1.61,8.0,2024,114
4.0,8:11,2.0,1.0,MIA 39,25.0,27.0,Alec Ingold up the middle for 3 yards (tackle by Jalen Thompson),1.61,1.73,8.0,2024,114
4.0,7:34,1.0,10.0,MIA 42,25.0,27.0,De'Von Achane up the middle for -2 yards (tackle by Kyzir White),1.73,0.92,8.0,2024,114
4.0,7:00,2.0,12.0,MIA 40,25.0,27.0,Tua Tagovailoa pass incomplete deep right intended for Jonnu Smith,0.92,0.23,8.0,2024,114
4.0,6:51,3.0,12.0,MIA 40,25.0,27.0,"Tua Tagovailoa pass complete short middle to Jonnu Smith for 12 yards (tackle by Budda Baker and Jalen Thompson) MIA challenged the short of the line to gain ruling, and the original play was overturned. Tua Tagovailoa pass complete short middle to Jonnu Smith for 12 yards (tackle by Budda Baker)",0.23,2.39,8.0,2024,114
4.0,6:31,1.0,10.0,ARI 48,25.0,27.0,Raheem Mostert left end for no gain (tackle by Garrett Williams),2.39,1.85,8.0,2024,114
4.0,5:59,2.0,10.0,ARI 48,25.0,27.0,Tua Tagovailoa pass complete short left to Julian Hill for 1 yard (tackle by Kyzir White),1.85,1.29,8.0,2024,114
4.0,5:17,3.0,9.0,ARI 47,25.0,27.0,Tua Tagovailoa pass incomplete short left intended for De'Von Achane,1.29,0.13,8.0,2024,114
4.0,5:08,4.0,9.0,ARI 47,25.0,27.0,Jake Bailey punts 36 yards out of bounds,0.13,0.37,8.0,2024,114
4.0,5:01,1.0,10.0,ARI 11,25.0,27.0,Kyler Murray pass complete short left to Trey McBride for 7 yards (tackle by David Long),-0.37,0.0,8.0,2024,114
4.0,4:31,2.0,3.0,ARI 18,25.0,27.0,James Conner right tackle for 2 yards (tackle by Da'Shawn Hand),0.0,-0.37,8.0,2024,114
4.0,4:06,3.0,1.0,ARI 20,25.0,27.0,Kyler Murray pass complete deep left to Trey McBride for 17 yards (tackle by Jordan Poyer),-0.37,1.4,8.0,2024,114
4.0,3:25,1.0,10.0,ARI 37,25.0,27.0,"James Conner right guard for no gain. Penalty on Paris Johnson: Offensive Holding, 10 yards (accepted) (no play)",1.4,0.74,8.0,2024,114
4.0,3:15,1.0,20.0,ARI 27,25.0,27.0,Kyler Murray pass complete short left to Michael Wilson for 5 yards (tackle by Cam Smith),0.74,0.18,8.0,2024,114
4.0,2:57,2.0,15.0,ARI 32,25.0,27.0,Kyler Murray pass complete deep middle to Marvin Harrison for 18 yards (tackle by Cam Smith),0.18,2.26,8.0,2024,114
4.0,2:09,1.0,10.0,ARI 50,25.0,27.0,James Conner right guard for 17 yards (tackle by Jordan Poyer and Jalen Ramsey),2.26,3.38,8.0,2024,114
4.0,1:58,1.0,10.0,MIA 33,25.0,27.0,James Conner left guard for 5 yards (tackle by David Long),3.38,3.51,8.0,2024,114
4.0,1:54,,,,,,Timeout #1 by Miami Dolphins,,,8.0,2024,114
4.0,1:54,2.0,5.0,MIA 28,25.0,27.0,James Conner right guard for 1 yard (tackle by Emmanuel Ogbah and Da'Shawn Hand),3.51,2.94,8.0,2024,114
4.0,1:48,,,,,,Timeout #2 by Miami Dolphins,,,8.0,2024,114
4.0,1:48,3.0,4.0,MIA 27,25.0,27.0,Kyler Murray scrambles right end for 7 yards (tackle by Jordyn Brooks),2.94,4.24,8.0,2024,114
4.0,1:02,,,,,,Timeout #1 by Arizona Cardinals,,,8.0,2024,114
4.0,1:02,1.0,10.0,MIA 20,25.0,27.0,James Conner up the middle for 3 yards (tackle by Marcus Maye and Benito Jones),4.24,4.12,8.0,2024,114
4.0,0:22,2.0,7.0,MIA 17,25.0,27.0,James Conner right guard for 1 yard (tackle by Benito Jones and Calais Campbell),4.12,3.52,8.0,2024,114
4.0,0:14,,,,,,Timeout #3 by Miami Dolphins,,,8.0,2024,114
4.0,0:14,3.0,6.0,MIA 16,25.0,27.0,James Conner left tackle for no gain (tackle by Jordan Poyer and David Long),3.52,2.4,8.0,2024,114
4.0,0:01,,,,,,Timeout #2 by Arizona Cardinals,,,8.0,2024,114
4.0,0:01,4.0,6.0,MIA 16,28.0,27.0,Chad Ryland 34 yard field goal good,2.4,3.0,8.0,2024,114
