Quarter,Time,Down,ToGo,Location,NYG,PIT,Detail,EPB,EPA,week,year,game_id
2.0,13:42,1.0,10.0,PIT 23,3.0,6.0,Devin Singletary right tackle for 7 yards (tackle by Joey Porter),4.04,4.56,8.0,2024,123
2.0,13:02,2.0,3.0,PIT 16,3.0,6.0,"Daniel Jones pass complete short left to Chris Manhertz for no gain, touchdown. Penalty on Malik Nabers: Illegal Shift, 5 yards (accepted) (no play)",4.56,3.77,8.0,2024,123
2.0,12:55,2.0,8.0,PIT 21,3.0,6.0,"Daniel Jones pass incomplete short right intended for Chris Manhertz (defended by DeShon Elliott). Penalty on Chris Hubbard: Illegal Formation, 5 yards (declined)",3.77,3.07,8.0,2024,123
2.0,12:49,3.0,8.0,PIT 21,3.0,6.0,Daniel Jones pass incomplete deep left intended for Malik Nabers,3.07,2.06,8.0,2024,123
2.0,12:43,4.0,8.0,PIT 21,6.0,6.0,Greg Joseph 39 yard field goal good,2.06,3.0,8.0,2024,123
2.0,12:39,,,NYG 35,6.0,6.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,123
2.0,12:39,1.0,10.0,PIT 30,6.0,6.0,Russell Wilson pass incomplete short right intended for Najee Harris,0.94,0.39,8.0,2024,123
2.0,12:35,2.0,10.0,PIT 30,6.0,6.0,Najee Harris right end for 14 yards (tackle by Bobby Okereke),0.39,1.86,8.0,2024,123
2.0,11:58,1.0,10.0,PIT 44,6.0,6.0,Russell Wilson pass incomplete short middle intended for Scott Miller,1.86,1.32,8.0,2024,123
2.0,11:53,2.0,10.0,PIT 44,6.0,6.0,Russell Wilson pass complete short right to Van Jefferson for 12 yards (tackle by Bobby Okereke),1.32,2.65,8.0,2024,123
2.0,11:19,1.0,10.0,NYG 44,6.0,6.0,Russell Wilson pass complete short middle to Najee Harris for 13 yards (tackle by Bobby Okereke),2.65,3.51,8.0,2024,123
2.0,10:40,1.0,10.0,NYG 31,6.0,6.0,Najee Harris right guard for 6 yards (tackle by Andru Phillips),3.51,3.78,8.0,2024,123
2.0,10:12,2.0,4.0,NYG 25,6.0,6.0,Najee Harris right guard for no gain (tackle by D.J. Davidson and Bobby Okereke),3.78,3.07,8.0,2024,123
2.0,9:30,3.0,4.0,NYG 25,6.0,6.0,Russell Wilson pass complete short left to George Pickens for 14 yards (tackle by Andru Phillips),3.07,4.84,8.0,2024,123
2.0,9:05,1.0,10.0,NYG 11,6.0,6.0,Jaylen Warren up the middle for 2 yards (tackle by Dexter Lawrence),4.84,4.51,8.0,2024,123
2.0,8:29,2.0,8.0,NYG 9,6.0,6.0,Russell Wilson pass incomplete short right intended for Jaylen Warren,4.51,3.53,8.0,2024,123
2.0,8:15,,,,,,Timeout #1 by Pittsburgh Steelers,,,8.0,2024,123
2.0,8:15,3.0,8.0,NYG 9,6.0,6.0,"Russell Wilson pass complete short right to George Pickens for 9 yards, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Russell Wilson pass incomplete short right intended for George Pickens (defended by Deonte Banks)",3.53,2.83,8.0,2024,123
2.0,8:15,,,,,,Timeout #2 by Pittsburgh Steelers,,,8.0,2024,123
2.0,8:15,4.0,8.0,NYG 9,6.0,9.0,Chris Boswell 27 yard field goal good,2.83,3.0,8.0,2024,123
2.0,8:12,,,PIT 35,6.0,9.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,123
2.0,8:12,1.0,10.0,NYG 30,6.0,9.0,Tyrone Tracy right guard for 1 yard (tackle by Elandon Roberts),0.94,0.53,8.0,2024,123
2.0,7:39,2.0,9.0,NYG 31,6.0,9.0,Tyrone Tracy left guard for 6 yards (tackle by Joey Porter and Patrick Queen),0.53,0.63,8.0,2024,123
2.0,6:59,3.0,3.0,NYG 37,6.0,9.0,Daniel Jones pass incomplete deep left intended for Darius Slayton (defended by Minkah Fitzpatrick),0.63,-0.91,8.0,2024,123
2.0,6:53,4.0,3.0,NYG 37,6.0,9.0,"Matt Haack punts 45 yards, fair catch by Calvin Austin at PIT-18",-0.91,-0.04,8.0,2024,123
2.0,6:45,1.0,10.0,PIT 18,6.0,9.0,Najee Harris right tackle for 3 yards (tackle by D.J. Davidson and Azeez Ojulari),0.04,0.01,8.0,2024,123
2.0,6:19,2.0,7.0,PIT 21,6.0,9.0,Russell Wilson sacked by Azeez Ojulari for -5 yards,0.01,-1.5,8.0,2024,123
2.0,5:40,3.0,12.0,PIT 16,6.0,9.0,Jaylen Warren left end for 18 yards (tackle by Bobby Okereke),-1.5,1.2,8.0,2024,123
2.0,5:02,1.0,10.0,PIT 34,6.0,9.0,Jaylen Warren left guard for 1 yard (tackle by Bobby Okereke),1.2,0.79,8.0,2024,123
2.0,4:24,2.0,9.0,PIT 35,6.0,9.0,Russell Wilson pass complete short left to George Pickens for 11 yards (tackle by Tyler Nubin and Brian Burns),0.79,1.99,8.0,2024,123
2.0,3:44,1.0,10.0,PIT 46,6.0,9.0,Jaylen Warren up the middle for -3 yards (tackle by Armon Watts),1.99,1.05,8.0,2024,123
2.0,3:00,2.0,13.0,PIT 43,6.0,9.0,Russell Wilson pass complete short left to MyCole Pruitt for 10 yards (tackle by Andru Phillips),1.05,1.69,8.0,2024,123
2.0,2:11,3.0,3.0,NYG 47,6.0,9.0,Russell Wilson sacked by Brian Burns for -10 yards,1.69,-0.52,8.0,2024,123
2.0,2:00,4.0,13.0,PIT 43,6.0,9.0,"Corliss Waitman punts 40 yards, fair catch by Ihmir Smith-Marsette at NYG-17",-0.52,0.06,8.0,2024,123
2.0,1:53,1.0,10.0,NYG 17,6.0,9.0,Daniel Jones up the middle for -2 yards (tackle by Larry Ogunjobi),-0.06,-0.85,8.0,2024,123
2.0,1:21,2.0,12.0,NYG 15,6.0,9.0,Tyrone Tracy up the middle for 4 yards (tackle by Alex Highsmith),-0.85,-1.0,8.0,2024,123
2.0,1:16,,,,,,Timeout #3 by Pittsburgh Steelers,,,8.0,2024,123
2.0,1:16,3.0,8.0,NYG 19,6.0,9.0,Daniel Jones pass complete deep middle to Darius Slayton for 36 yards (tackle by DeShon Elliott),-1.0,2.59,8.0,2024,123
2.0,0:45,1.0,10.0,PIT 45,6.0,9.0,Daniel Jones pass complete short left to Darius Slayton for 11 yards (tackle by Joey Porter),2.59,3.31,8.0,2024,123
2.0,0:40,1.0,10.0,PIT 34,6.0,9.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 5 yards (tackle by Donte Jackson),3.31,3.45,8.0,2024,123
2.0,0:35,,,,,,Timeout #2 by New York Giants,,,8.0,2024,123
2.0,0:35,2.0,5.0,PIT 29,6.0,9.0,Daniel Jones pass incomplete deep left intended for Malik Nabers,3.45,2.74,8.0,2024,123
2.0,0:30,3.0,5.0,PIT 29,6.0,9.0,Daniel Jones pass complete short right to Eric Gray for 3 yards (tackle by Joey Porter),2.74,1.86,8.0,2024,123
2.0,0:25,4.0,2.0,PIT 26,9.0,9.0,Greg Joseph 44 yard field goal good,1.86,3.0,8.0,2024,123
2.0,0:21,,,NYG 35,9.0,9.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,123
2.0,0:21,1.0,10.0,PIT 30,9.0,9.0,Russell Wilson pass complete short right to Calvin Austin for 13 yards (tackle by Nick McCloud),0.94,1.8,8.0,2024,123
2.0,0:08,1.0,10.0,PIT 43,9.0,9.0,Russell Wilson spiked the ball,1.8,1.25,8.0,2024,123
2.0,0:07,2.0,10.0,PIT 43,9.0,9.0,Russell Wilson pass complete short middle to Jaylen Warren for 4 yards (tackle by Dane Belton),1.25,1.09,8.0,2024,123
3.0,15:00,,,PIT 35,9.0,9.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,123
3.0,15:00,1.0,10.0,NYG 30,9.0,9.0,Tyrone Tracy right guard for no gain (tackle by DeShon Elliott),0.94,0.39,8.0,2024,123
3.0,14:22,2.0,10.0,NYG 30,9.0,9.0,Tyrone Tracy left guard for 26 yards (tackle by Beanie Bishop),0.39,2.65,8.0,2024,123
3.0,13:37,1.0,10.0,PIT 44,9.0,9.0,Daniel Jones pass incomplete short left intended for Darius Slayton (defended by Cameron Heyward),2.65,2.11,8.0,2024,123
3.0,13:32,2.0,10.0,PIT 44,9.0,9.0,Tyrone Tracy left guard for 5 yards (tackle by Cameron Heyward and Larry Ogunjobi),2.11,2.08,8.0,2024,123
3.0,13:02,3.0,5.0,PIT 39,9.0,9.0,Daniel Jones pass complete short left to Malik Nabers for 8 yards (tackle by DeShon Elliott),2.08,3.51,8.0,2024,123
3.0,12:22,1.0,10.0,PIT 31,9.0,9.0,Tyrone Tracy up the middle for no gain (tackle by DeShon Elliott),3.51,2.97,8.0,2024,123
3.0,11:37,2.0,10.0,PIT 31,9.0,9.0,Daniel Jones sacked by T.J. Watt for -9 yards,2.97,1.09,8.0,2024,123
3.0,10:50,3.0,19.0,PIT 40,9.0,9.0,Daniel Jones sacked by Alex Highsmith for -3 yards,1.09,0.4,8.0,2024,123
3.0,10:10,4.0,22.0,PIT 43,9.0,9.0,"Matt Haack punts 27 yards, returned by Calvin Austin for no gain (tackle by Dane Belton)",0.4,0.14,8.0,2024,123
3.0,10:02,1.0,10.0,PIT 16,9.0,9.0,Najee Harris right end for 2 yards (tackle by D.J. Davidson and Azeez Ojulari),-0.14,-0.35,8.0,2024,123
3.0,9:23,2.0,8.0,PIT 18,9.0,9.0,Najee Harris right tackle for no gain (tackle by Dexter Lawrence),-0.35,-1.07,8.0,2024,123
3.0,8:39,3.0,8.0,PIT 18,9.0,9.0,"Penalty on Ryan McCollum: False Start, 5 yards (accepted) (no play)",-1.07,-1.75,8.0,2024,123
3.0,8:18,3.0,13.0,PIT 13,9.0,9.0,Russell Wilson pass complete short left to Pat Freiermuth for 8 yards (tackle by Andru Phillips and Bobby Okereke),-1.75,-1.96,8.0,2024,123
3.0,7:44,4.0,5.0,PIT 21,9.0,9.0,"Corliss Waitman punts 55 yards, returned by Ihmir Smith-Marsette for 2 yards (tackle by James Pierre)",-1.96,-0.67,8.0,2024,123
3.0,7:35,1.0,10.0,NYG 26,9.0,9.0,Devin Singletary up the middle for 4 yards (tackle by Cameron Heyward and T.J. Watt),0.67,0.67,8.0,2024,123
3.0,6:59,2.0,6.0,NYG 30,9.0,9.0,"Devin Singletary right tackle for no gain (tackle by Elandon Roberts and DeShon Elliott). Penalty on Darius Slayton: Illegal Shift, 5 yards (accepted) (no play)",0.67,-0.01,8.0,2024,123
3.0,6:27,2.0,11.0,NYG 25,9.0,9.0,"Penalty on Daniel Jones: Delay of Game, 5 yards (accepted) (no play)",-0.01,-0.68,8.0,2024,123
3.0,6:10,2.0,16.0,NYG 20,9.0,9.0,Daniel Jones sacked by Alex Highsmith for -6 yards,-0.68,-2.65,8.0,2024,123
3.0,5:31,3.0,22.0,NYG 14,9.0,9.0,Tyrone Tracy left guard for 5 yards (tackle by Alex Highsmith and Cameron Heyward),-2.65,-2.14,8.0,2024,123
3.0,4:58,4.0,17.0,NYG 19,9.0,15.0,"Matt Haack punts 54 yards, returned by Calvin Austin for 73 yards, touchdown. Penalty on Tomon Fox: Illegal Formation, 5 yards (declined)",-2.14,-7.0,8.0,2024,123
3.0,4:38,,,NYG 15,9.0,16.0,Chris Boswell kicks extra point good,0.0,0.0,8.0,2024,123
3.0,4:38,,,PIT 35,9.0,16.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,123
3.0,4:38,1.0,10.0,NYG 30,9.0,16.0,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",0.94,0.61,8.0,2024,123
3.0,4:38,1.0,15.0,NYG 25,9.0,16.0,Tyrone Tracy right tackle for 2 yards (tackle by T.J. Watt),0.61,-0.01,8.0,2024,123
3.0,3:59,2.0,13.0,NYG 27,9.0,16.0,Daniel Jones pass complete short left to Tyrone Tracy for no gain (tackle by Patrick Queen),-0.01,-0.69,8.0,2024,123
3.0,3:18,3.0,13.0,NYG 27,9.0,16.0,Daniel Jones pass complete short right to Theo Johnson for 7 yards (tackle by Donte Jackson and Patrick Queen),-0.69,-1.11,8.0,2024,123
3.0,2:39,4.0,6.0,NYG 34,9.0,16.0,"Matt Haack punts 66 yards, touchback.",-1.11,-0.28,8.0,2024,123
3.0,2:28,1.0,10.0,PIT 20,9.0,16.0,Russell Wilson pass complete short left to Najee Harris for -3 yards (tackle by Micah McFadden),0.28,-0.79,8.0,2024,123
3.0,2:05,2.0,13.0,PIT 17,9.0,16.0,Russell Wilson pass complete short left to George Pickens for 6 yards (tackle by Greg Stroman),-0.79,-0.56,8.0,2024,123
3.0,1:45,3.0,7.0,PIT 23,9.0,16.0,Russell Wilson pass complete short right to Pat Freiermuth for 11 yards (tackle by Nick McCloud and Azeez Ojulari),-0.56,1.2,8.0,2024,123
3.0,1:06,1.0,10.0,PIT 34,9.0,16.0,Jaylen Warren left end for 4 yards (tackle by Bobby Okereke),1.2,1.2,8.0,2024,123
3.0,0:23,2.0,6.0,PIT 38,9.0,16.0,Russell Wilson pass incomplete deep right intended for Scott Miller,1.2,0.5,8.0,2024,123
3.0,0:17,3.0,6.0,PIT 38,9.0,16.0,"Penalty on Isaac Seumalo: False Start, 5 yards (accepted) (no play)",0.5,-0.16,8.0,2024,123
3.0,0:17,3.0,11.0,PIT 33,9.0,16.0,Russell Wilson pass complete deep right to Van Jefferson for 36 yards (tackle by Nick McCloud),-0.16,3.51,8.0,2024,123
4.0,15:00,1.0,10.0,NYG 31,9.0,16.0,"Najee Harris right tackle for no gain (tackle by Tyler Nubin). Penalty on Mason McCormick: Offensive Holding, 10 yards (accepted) (no play)",3.51,2.85,8.0,2024,123
4.0,14:34,1.0,20.0,NYG 41,9.0,16.0,Russell Wilson right end for 5 yards (tackle by Nick McCloud),2.85,2.29,8.0,2024,123
4.0,14:09,2.0,15.0,NYG 36,9.0,16.0,Russell Wilson pass complete short middle to Najee Harris for 7 yards (tackle by Andru Phillips and Bobby Okereke),2.29,2.54,8.0,2024,123
4.0,13:22,3.0,8.0,NYG 29,9.0,22.0,"Russell Wilson pass complete deep left to Calvin Austin for 29 yards, touchdown",2.54,7.0,8.0,2024,123
4.0,13:16,,,NYG 15,9.0,23.0,Chris Boswell kicks extra point good,0.0,0.0,8.0,2024,123
4.0,13:16,,,PIT 35,9.0,23.0,"Chris Boswell kicks off 67 yards, returned by Ihmir Smith-Marsette for 47 yards (tackle by Jonathan Ward)",0.0,1.93,8.0,2024,123
4.0,13:09,1.0,10.0,NYG 45,9.0,23.0,Daniel Jones pass incomplete short left intended for Theo Johnson,1.93,1.38,8.0,2024,123
4.0,13:03,2.0,10.0,NYG 45,9.0,23.0,Daniel Jones pass complete short left to Devin Singletary for 4 yards (tackle by Payton Wilson),1.38,1.22,8.0,2024,123
4.0,12:18,3.0,6.0,NYG 49,9.0,23.0,"Daniel Jones pass complete short left to Malik Nabers for no gain (tackle by Joey Porter). Penalty on Jermaine Eluemunor: Offensive Holding, 10 yards (accepted) (no play)",1.22,-0.1,8.0,2024,123
4.0,11:55,3.0,16.0,NYG 39,9.0,23.0,Daniel Jones pass complete deep left to Malik Nabers for 16 yards (tackle by Joey Porter),-0.1,2.59,8.0,2024,123
4.0,11:22,1.0,10.0,PIT 45,9.0,23.0,Daniel Jones pass incomplete deep right intended for Malik Nabers,2.59,2.04,8.0,2024,123
4.0,11:16,2.0,10.0,PIT 45,15.0,23.0,"Tyrone Tracy left guard for 45 yards, touchdown",2.04,7.0,8.0,2024,123
4.0,11:07,,,PIT 2,15.0,23.0,Two Point Attempt: Daniel Jones pass incomplete intended for intended for Malik Nabers,1.0,-1.0,8.0,2024,123
4.0,11:07,,,NYG 35,15.0,23.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,123
4.0,11:07,1.0,10.0,PIT 30,15.0,23.0,Najee Harris left guard for 7 yards (tackle by D.J. Davidson and Bobby Okereke),0.94,1.34,8.0,2024,123
4.0,10:32,2.0,3.0,PIT 37,15.0,23.0,Russell Wilson pass complete short left to Van Jefferson for 10 yards (tackle by Jason Pinnock),1.34,2.06,8.0,2024,123
4.0,9:57,1.0,10.0,PIT 47,15.0,23.0,Russell Wilson pass complete deep left to George Pickens for 43 yards (tackle by Jason Pinnock),2.06,4.91,8.0,2024,123
4.0,9:10,1.0,10.0,NYG 10,15.0,23.0,Najee Harris right guard for 5 yards (tackle by Nick McCloud and Bobby Okereke),4.91,5.15,8.0,2024,123
4.0,8:33,2.0,5.0,NYG 5,15.0,23.0,Najee Harris up the middle for no gain (tackle by Azeez Ojulari and D.J. Davidson),5.15,4.26,8.0,2024,123
4.0,7:56,3.0,5.0,NYG 5,15.0,23.0,Russell Wilson sacked by Azeez Ojulari for -4 yards,4.26,2.83,8.0,2024,123
4.0,7:19,4.0,9.0,NYG 9,15.0,26.0,Chris Boswell 27 yard field goal good,2.83,3.0,8.0,2024,123
4.0,7:15,,,PIT 35,15.0,26.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,123
4.0,7:15,1.0,10.0,NYG 30,15.0,26.0,Daniel Jones pass incomplete short middle intended for Tyrone Tracy,0.94,0.39,8.0,2024,123
4.0,7:11,2.0,10.0,NYG 30,15.0,26.0,Tyrone Tracy left guard for 2 yards (tackle by T.J. Watt and Cameron Heyward),0.39,-0.03,8.0,2024,123
4.0,6:46,3.0,8.0,NYG 32,15.0,26.0,Daniel Jones pass complete deep left to Darius Slayton for 18 yards (tackle by Terrell Edmunds),-0.03,2.26,8.0,2024,123
4.0,6:22,1.0,10.0,NYG 50,15.0,26.0,Tyrone Tracy left guard for 17 yards (tackle by Beanie Bishop and Minkah Fitzpatrick),2.26,3.38,8.0,2024,123
4.0,5:51,1.0,10.0,PIT 33,15.0,26.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 3 yards (tackle by Beanie Bishop and Joey Porter),3.38,3.24,8.0,2024,123
4.0,5:16,2.0,7.0,PIT 30,15.0,26.0,Daniel Jones pass incomplete short left,3.24,2.54,8.0,2024,123
4.0,5:14,3.0,7.0,PIT 30,15.0,26.0,Daniel Jones pass incomplete short right intended for Malik Nabers,2.54,1.41,8.0,2024,123
4.0,5:10,4.0,7.0,PIT 30,18.0,26.0,Greg Joseph 48 yard field goal good,1.41,3.0,8.0,2024,123
4.0,5:06,,,NYG 35,18.0,26.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,123
4.0,5:06,1.0,10.0,PIT 30,18.0,26.0,Najee Harris left guard for 4 yards (tackle by Azeez Ojulari),0.94,0.93,8.0,2024,123
4.0,4:41,2.0,6.0,PIT 34,18.0,26.0,"Russell Wilson sacked by and Bobby Okereke for no gain and Micah McFadden for no gain. Russell Wilson fumbles, recovered by Bobby Okereke at PIT-37 (tackle by Isaac Seumalo)",0.93,-3.12,8.0,2024,123
4.0,4:34,1.0,10.0,PIT 37,18.0,26.0,Daniel Jones pass complete short right to Malik Nabers for 9 yards (tackle by DeShon Elliott),3.12,3.79,8.0,2024,123
4.0,4:28,2.0,1.0,PIT 28,18.0,26.0,Tyrone Tracy up the middle for 6 yards (tackle by Cameron Heyward),3.79,4.11,8.0,2024,123
4.0,4:03,1.0,10.0,PIT 22,18.0,26.0,Tyrone Tracy up the middle for 2 yards (tackle by Cameron Heyward),4.11,3.83,8.0,2024,123
4.0,3:39,2.0,8.0,PIT 20,18.0,26.0,Daniel Jones scrambles right end for 1 yard (tackle by T.J. Watt),3.83,3.26,8.0,2024,123
4.0,3:03,3.0,7.0,PIT 19,18.0,26.0,"Daniel Jones sacked by T.J. Watt for -9 yards. Daniel Jones fumbles (forced by T.J. Watt), recovered by T.J. Watt at PIT-28",3.26,-0.81,8.0,2024,123
4.0,2:59,1.0,10.0,PIT 28,18.0,26.0,"Najee Harris right end for 4 yards (tackle by Greg Stroman and Rakeem Nunez-Roches). Penalty on D.J. Davidson: Defensive Holding, 5 yards (accepted)",0.81,1.4,8.0,2024,123
4.0,2:53,1.0,10.0,PIT 37,18.0,26.0,Najee Harris left guard for 7 yards (tackle by D.J. Davidson and Micah McFadden),1.4,1.8,8.0,2024,123
4.0,2:47,,,,,,Timeout #1 by New York Giants,,,8.0,2024,123
