Quarter,Time,Down,ToGo,Location,CAR,LVR,Detail,EPB,EPA,week,year,game_id
2.0,5:26,3.0,11.0,CAR 38,14.0,7.0,Andy Dalton pass incomplete short middle intended for Adam Thielen,0.17,-0.85,3.0,2024,41
2.0,5:18,4.0,11.0,CAR 38,14.0,7.0,Johnny Hekker punts 37 yards downed by Claudin Cherelus,-0.85,-0.61,3.0,2024,41
2.0,5:08,1.0,10.0,LVR 25,14.0,7.0,"Gardner Minshew pass incomplete short right intended for Davante Adams. Penalty on Jaycee Horn: Defensive Pass Interference, 15 yards (accepted) (no play)",0.61,1.6,3.0,2024,41
2.0,5:03,1.0,10.0,LVR 40,14.0,7.0,Alexander Mattison right guard for 2 yards (tackle by Shaq Thompson),1.6,1.32,3.0,2024,41
2.0,4:24,2.0,8.0,LVR 42,14.0,7.0,Gardner Minshew pass complete short middle to Davante Adams for 6 yards (tackle by Trevin Wallace),1.32,1.42,3.0,2024,41
2.0,3:45,3.0,2.0,LVR 48,14.0,7.0,Gardner Minshew pass incomplete short right intended for Davante Adams (defended by Troy Hill),1.42,-0.19,3.0,2024,41
2.0,3:39,4.0,2.0,LVR 48,14.0,7.0,AJ Cole punts 47 yards out of bounds,-0.19,0.38,3.0,2024,41
2.0,3:31,1.0,10.0,CAR 5,14.0,7.0,Miles Sanders up the middle for -1 yards (tackle by Marcus Epps and Maxx Crosby),-0.38,-0.85,3.0,2024,41
2.0,3:04,,,,,,Timeout #1 by Las Vegas Raiders,,,3.0,2024,41
2.0,3:04,2.0,11.0,CAR 4,14.0,7.0,Andy Dalton pass complete short left to Jonathan Mingo for 15 yards (tackle by Nate Hobbs),-0.85,0.15,3.0,2024,41
2.0,2:22,1.0,10.0,CAR 19,14.0,7.0,Andy Dalton pass incomplete deep right intended for Diontae Johnson (defended by Jack Jones),0.15,-0.39,3.0,2024,41
2.0,2:14,2.0,10.0,CAR 19,14.0,7.0,Andy Dalton pass incomplete short right intended for Adam Thielen (defended by Maxx Crosby),-0.39,-1.07,3.0,2024,41
2.0,2:11,3.0,10.0,CAR 19,14.0,7.0,Andy Dalton pass complete short middle to Tommy Tremble for 5 yards (tackle by Isaiah Pola-Mao),-1.07,-1.77,3.0,2024,41
2.0,2:00,4.0,5.0,CAR 24,14.0,7.0,"Johnny Hekker punts 43 yards, fair catch by Tre Tucker at LV-33",-1.77,-1.14,3.0,2024,41
2.0,1:54,1.0,10.0,LVR 33,14.0,7.0,"Gardner Minshew pass incomplete short right intended for Ameer Abdullah. Penalty on Ameer Abdullah: Offensive Pass Interference, 10 yards (accepted) (no play)",1.14,0.48,3.0,2024,41
2.0,1:46,1.0,20.0,LVR 23,14.0,7.0,Gardner Minshew sacked by Jayden Peevy for -3 yards,0.48,-1.16,3.0,2024,41
2.0,1:38,,,,,,Timeout #1 by Carolina Panthers,,,3.0,2024,41
2.0,1:38,2.0,23.0,LVR 20,14.0,7.0,Gardner Minshew pass incomplete short right,-1.16,-1.81,3.0,2024,41
2.0,1:31,3.0,23.0,LVR 20,14.0,7.0,Gardner Minshew pass complete short left to Tre Tucker for 6 yards (tackle by Troy Hill and Jayden Peevy),-1.81,-1.63,3.0,2024,41
2.0,1:23,,,,,,Timeout #2 by Carolina Panthers,,,3.0,2024,41
2.0,1:23,4.0,17.0,LVR 26,14.0,7.0,"AJ Cole punts 58 yards, returned by Raheem Blackshear for 16 yards (tackle by Tommy Eichenberg)",-1.63,-1.07,3.0,2024,41
2.0,1:12,1.0,10.0,CAR 32,14.0,7.0,Andy Dalton pass complete short right to Miles Sanders for 2 yards (tackle by Jack Jones),1.07,0.8,3.0,2024,41
2.0,0:48,2.0,8.0,CAR 34,14.0,7.0,Andy Dalton pass incomplete short left intended for Diontae Johnson (defended by Janarius Robinson),0.8,0.1,3.0,2024,41
2.0,0:44,3.0,8.0,CAR 34,14.0,7.0,Andy Dalton pass complete short middle to Diontae Johnson for 35 yards (tackle by Jack Jones and Jakorian Bennett),0.1,3.51,3.0,2024,41
2.0,0:33,1.0,10.0,LVR 31,20.0,7.0,"Andy Dalton pass complete deep right to Adam Thielen for 31 yards, touchdown",3.51,7.0,3.0,2024,41
2.0,0:28,,,LVR 15,21.0,7.0,Eddy Piñeiro kicks extra point good,0.0,0.0,3.0,2024,41
2.0,0:28,,,CAR 35,21.0,7.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,41
2.0,0:28,1.0,10.0,LVR 30,21.0,7.0,Gardner Minshew pass complete short left to Brock Bowers for 21 yards (tackle by Nick Scott),0.94,2.32,3.0,2024,41
2.0,0:19,,,,,,Timeout #2 by Las Vegas Raiders,,,3.0,2024,41
2.0,0:19,,,,,,Timeout #3 by Carolina Panthers,,,3.0,2024,41
2.0,0:19,1.0,10.0,CAR 49,21.0,7.0,"Gardner Minshew pass incomplete short middle intended for Brock Bowers. Penalty on Xavier Woods: Defensive Pass Interference, 6 yards (accepted) (no play)",2.32,2.72,3.0,2024,41
2.0,0:15,1.0,10.0,CAR 43,21.0,7.0,Gardner Minshew pass complete short right to Ameer Abdullah for 4 yards (tackle by Jordan Fuller and Xavier Woods),2.72,2.72,3.0,2024,41
2.0,0:09,2.0,6.0,CAR 39,21.0,7.0,Gardner Minshew pass incomplete short left intended for Davante Adams (defended by Josey Jewell),2.72,2.01,3.0,2024,41
2.0,0:04,3.0,6.0,CAR 39,21.0,7.0,Daniel Carlson 57 yard field goal no good,2.01,1.99,3.0,2024,41
3.0,15:00,,,CAR 35,21.0,7.0,"Eddy Piñeiro kicks off 64 yards, returned by DJ Turner for 26 yards (tackle by Trevin Wallace)",0.0,0.74,3.0,2024,41
3.0,14:54,1.0,10.0,LVR 27,21.0,7.0,Zamir White right tackle for 2 yards (tackle by Shaq Thompson),0.74,0.47,3.0,2024,41
3.0,14:18,2.0,8.0,LVR 29,21.0,7.0,Zamir White up the middle for 2 yards (tackle by A'Shawn Robinson and Jadeveon Clowney),0.47,0.04,3.0,2024,41
3.0,13:40,3.0,6.0,LVR 31,21.0,7.0,Gardner Minshew pass incomplete deep right intended for Tre Tucker,0.04,-1.31,3.0,2024,41
3.0,13:33,4.0,6.0,LVR 31,21.0,7.0,"AJ Cole punts 55 yards, returned by Raheem Blackshear for 10 yards (tackle by Jacob Bobenmoyer). Penalty on Charles Snowden: Defensive Holding, 10 yards (accepted)",-1.31,-1.2,3.0,2024,41
3.0,13:21,1.0,10.0,CAR 34,21.0,7.0,Andy Dalton pass complete deep middle to Diontae Johnson for 16 yards (tackle by Jack Jones),1.2,2.26,3.0,2024,41
3.0,12:35,1.0,10.0,CAR 50,21.0,7.0,Chuba Hubbard right guard for 5 yards (tackle by Jack Jones),2.26,2.39,3.0,2024,41
3.0,11:58,2.0,5.0,LVR 45,21.0,7.0,Andy Dalton pass complete short left to Chuba Hubbard for 12 yards (tackle by Marcus Epps),2.39,3.38,3.0,2024,41
3.0,11:18,1.0,10.0,LVR 33,21.0,7.0,Miles Sanders up the middle for 2 yards (tackle by Nate Hobbs and Luke Masterson),3.38,3.11,3.0,2024,41
3.0,10:43,2.0,8.0,LVR 31,21.0,7.0,Andy Dalton pass incomplete deep right intended for Ja'Tavion Sanders (defended by Nate Hobbs),3.11,2.41,3.0,2024,41
3.0,10:40,3.0,8.0,LVR 31,21.0,7.0,Andy Dalton pass complete short right to Jonathan Mingo for 6 yards (tackle by Nate Hobbs),2.41,1.93,3.0,2024,41
3.0,10:03,4.0,2.0,LVR 25,24.0,7.0,Eddy Piñeiro 43 yard field goal good,1.93,3.0,3.0,2024,41
3.0,9:59,,,CAR 35,24.0,7.0,"Eddy Piñeiro kicks off 64 yards, returned by Ameer Abdullah for 27 yards (tackle by Charles Harris)",0.0,0.81,3.0,2024,41
3.0,9:53,1.0,10.0,LVR 28,24.0,7.0,Gardner Minshew pass complete short middle to Tre Tucker for 4 yards (tackle by Josey Jewell),0.81,0.8,3.0,2024,41
3.0,9:26,2.0,6.0,LVR 32,24.0,7.0,Gardner Minshew sacked by LaBryan Ray for -5 yards,0.8,-0.56,3.0,2024,41
3.0,8:46,3.0,11.0,LVR 27,24.0,7.0,Gardner Minshew scrambles left tackle for 10 yards (tackle by Jaycee Horn),-0.56,-0.91,3.0,2024,41
3.0,8:19,4.0,1.0,LVR 37,24.0,7.0,Gardner Minshew up the middle for no gain (tackle by Charles Harris),-0.91,-3.12,3.0,2024,41
3.0,8:14,1.0,10.0,LVR 37,24.0,7.0,Andy Dalton pass complete short right to Xavier Legette for 7 yards (tackle by Jack Jones),3.12,3.52,3.0,2024,41
3.0,7:34,2.0,3.0,LVR 30,24.0,7.0,Andy Dalton pass complete short right to Chuba Hubbard for 12 yards (tackle by Luke Masterson),3.52,4.37,3.0,2024,41
3.0,6:54,1.0,10.0,LVR 18,24.0,7.0,Andy Dalton pass incomplete short right intended for Xavier Legette,4.37,3.8,3.0,2024,41
3.0,6:49,2.0,10.0,LVR 18,24.0,7.0,"Andy Dalton pass incomplete short left intended for Tommy Tremble. Penalty on Ikem Ekwonu: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",3.8,2.48,3.0,2024,41
3.0,6:45,2.0,20.0,LVR 28,24.0,7.0,"Andy Dalton scrambles up the middle for no gain (tackle by Robert Spillane). Penalty on Austin Corbett: Offensive Holding, 10 yards (accepted) (no play)",2.48,1.13,3.0,2024,41
3.0,6:21,2.0,30.0,LVR 38,24.0,7.0,Andy Dalton pass complete short middle to Diontae Johnson for 10 yards (tackle by Luke Masterson),1.13,1.82,3.0,2024,41
3.0,5:40,3.0,20.0,LVR 28,24.0,7.0,Andy Dalton pass complete short left to Miles Sanders for 11 yards (tackle by Marcus Epps),1.82,2.31,3.0,2024,41
3.0,4:50,4.0,9.0,LVR 17,27.0,7.0,Eddy Piñeiro 35 yard field goal good,2.31,3.0,3.0,2024,41
3.0,4:46,,,CAR 35,27.0,7.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,41
3.0,4:46,1.0,10.0,LVR 30,27.0,7.0,Gardner Minshew pass incomplete short right intended for Tre Tucker (defended by Michael Jackson),0.94,0.39,3.0,2024,41
3.0,4:41,2.0,10.0,LVR 30,27.0,7.0,Gardner Minshew pass complete short right to Davante Adams for 4 yards (tackle by Shaq Thompson and Troy Hill),0.39,0.23,3.0,2024,41
3.0,4:04,3.0,6.0,LVR 34,27.0,7.0,Gardner Minshew pass complete short middle to Alexander Mattison for 4 yards (tackle by Shaq Thompson),0.23,-0.85,3.0,2024,41
3.0,3:30,4.0,2.0,LVR 38,27.0,7.0,"AJ Cole punts 46 yards, fair catch by Raheem Blackshear at CAR-16",-0.85,0.14,3.0,2024,41
3.0,3:25,1.0,10.0,CAR 16,27.0,7.0,Andy Dalton pass complete short middle to Diontae Johnson for 11 yards (tackle by Marcus Epps),-0.14,0.74,3.0,2024,41
3.0,2:46,1.0,10.0,CAR 27,27.0,7.0,Chuba Hubbard up the middle for 2 yards (tackle by Marcus Epps),0.74,0.47,3.0,2024,41
3.0,2:02,2.0,8.0,CAR 29,27.0,7.0,Andy Dalton pass complete short right to Chuba Hubbard for 20 yards (tackle by Jack Jones),0.47,2.19,3.0,2024,41
3.0,1:25,1.0,10.0,CAR 49,27.0,7.0,Andy Dalton pass complete short left to Diontae Johnson for 5 yards (tackle by Marcus Epps),2.19,2.32,3.0,2024,41
3.0,0:59,2.0,5.0,LVR 46,27.0,7.0,Chuba Hubbard left guard for 6 yards (tackle by Robert Spillane and Jakorian Bennett),2.32,2.92,3.0,2024,41
3.0,0:21,1.0,10.0,LVR 40,27.0,7.0,Chuba Hubbard right guard for 5 yards (tackle by Nate Hobbs),2.92,3.05,3.0,2024,41
4.0,15:00,2.0,5.0,LVR 35,27.0,7.0,Chuba Hubbard right end for 14 yards (tackle by Robert Spillane),3.05,4.17,3.0,2024,41
4.0,14:31,1.0,10.0,LVR 21,27.0,7.0,Chuba Hubbard left tackle for 5 yards (tackle by Tre'von Moehrig and Isaiah Pola-Mao),4.17,4.37,3.0,2024,41
4.0,13:50,2.0,5.0,LVR 16,27.0,7.0,Andy Dalton pass incomplete deep left intended for Diontae Johnson,4.37,3.63,3.0,2024,41
4.0,13:46,3.0,5.0,LVR 16,27.0,7.0,"Andy Dalton pass incomplete deep left intended for Xavier Legette. Penalty on Jakorian Bennett: Defensive Pass Interference, 15 yards (accepted) (no play)",3.63,6.97,3.0,2024,41
4.0,13:40,1.0,1.0,LVR 1,27.0,7.0,Andy Dalton pass incomplete short middle intended for Diontae Johnson,6.97,5.91,3.0,2024,41
4.0,13:37,2.0,1.0,LVR 1,33.0,7.0,"Miles Sanders right guard for 1 yard, touchdown",5.91,7.0,3.0,2024,41
4.0,13:33,,,LVR 2,33.0,7.0,Two Point Attempt: Andy Dalton pass incomplete intended for intended for Xavier Legette,1.0,-1.0,3.0,2024,41
4.0,13:33,,,CAR 35,33.0,7.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,41
4.0,13:33,1.0,10.0,LVR 30,33.0,7.0,Gardner Minshew pass complete short left to Tre Tucker for 11 yards (tackle by Nick Scott),0.94,1.66,3.0,2024,41
4.0,13:06,1.0,10.0,LVR 41,33.0,7.0,Gardner Minshew pass complete short left to Jakobi Meyers for 5 yards (tackle by Shaq Thompson),1.66,1.8,3.0,2024,41
4.0,12:41,2.0,5.0,LVR 46,33.0,7.0,Gardner Minshew pass complete short left to Michael Mayer for 7 yards (tackle by Nick Scott),1.8,2.46,3.0,2024,41
4.0,12:09,1.0,10.0,CAR 47,33.0,7.0,Gardner Minshew pass incomplete short left intended for Davante Adams (defended by Jayden Peevy),2.46,1.91,3.0,2024,41
4.0,12:04,2.0,10.0,CAR 47,33.0,7.0,Gardner Minshew pass complete short left to Alexander Mattison for 22 yards (tackle by Josey Jewell and Xavier Woods),1.91,3.91,3.0,2024,41
4.0,11:27,1.0,10.0,CAR 25,33.0,7.0,Gardner Minshew pass complete short middle to Brock Bowers for 12 yards (tackle by Nick Scott),3.91,4.71,3.0,2024,41
4.0,11:03,1.0,10.0,CAR 13,33.0,13.0,"Gardner Minshew pass complete short left to Jakobi Meyers for 13 yards, touchdown",4.71,7.0,3.0,2024,41
4.0,10:56,,,CAR 2,33.0,15.0,Two Point Attempt: Gardner Minshew pass complete to to Jakobi Meyers for no gain,1.0,1.0,3.0,2024,41
4.0,10:56,,,LVR 35,33.0,15.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,41
4.0,10:56,1.0,10.0,CAR 30,33.0,15.0,Miles Sanders up the middle for 2 yards (tackle by Nesta Jade Silvera and Christian Wilkins),0.94,0.66,3.0,2024,41
4.0,10:12,2.0,8.0,CAR 32,33.0,15.0,Miles Sanders right guard for 6 yards (tackle by Nesta Jade Silvera and Charles Snowden),0.66,0.76,3.0,2024,41
4.0,9:28,3.0,2.0,CAR 38,33.0,15.0,"Penalty on Chandler Zavala: False Start, 5 yards (accepted) (no play)",0.76,0.1,3.0,2024,41
4.0,9:28,3.0,7.0,CAR 33,33.0,15.0,Andy Dalton pass complete short left to Jonathan Mingo for -3 yards (tackle by Nate Hobbs),0.1,-1.37,3.0,2024,41
4.0,9:11,,,,,,Timeout #1 by Las Vegas Raiders,,,3.0,2024,41
4.0,9:11,4.0,10.0,CAR 30,33.0,15.0,"Johnny Hekker punts 51 yards, returned by Tre Tucker for no gain (tackle by Jon Rhattigan and Nick Scott). Penalty on Isaiah Pola-Mao: Defensive Holding, 9 yards (accepted)",-1.37,0.38,3.0,2024,41
4.0,9:11,1.0,10.0,LVR 10,33.0,15.0,Gardner Minshew pass complete short right to Davante Adams for 15 yards (tackle by Michael Jackson),-0.38,0.61,3.0,2024,41
4.0,8:46,1.0,10.0,LVR 25,33.0,15.0,Gardner Minshew pass short right intended for Davante Adams is intercepted by Michael Jackson at LV-37 and returned for 1 yard (tackle by Davante Adams),0.61,-3.18,3.0,2024,41
4.0,8:34,1.0,10.0,LVR 36,33.0,15.0,Chuba Hubbard left end for 6 yards (tackle by Robert Spillane and John Jenkins),3.18,3.45,3.0,2024,41
4.0,7:51,2.0,4.0,LVR 30,33.0,15.0,Chuba Hubbard up the middle for 5 yards (tackle by John Jenkins and Nesta Jade Silvera),3.45,3.91,3.0,2024,41
4.0,7:03,1.0,10.0,LVR 25,33.0,15.0,Chuba Hubbard up the middle for 10 yards (tackle by Tre'von Moehrig),3.91,4.58,3.0,2024,41
4.0,6:23,1.0,10.0,LVR 15,33.0,15.0,Chuba Hubbard right guard for 4 yards (tackle by John Jenkins and Robert Spillane),4.58,4.64,3.0,2024,41
4.0,5:38,2.0,6.0,LVR 11,33.0,15.0,Chuba Hubbard left guard for 2 yards (tackle by Tyree Wilson),4.64,4.22,3.0,2024,41
4.0,4:55,3.0,4.0,LVR 9,33.0,15.0,Miles Sanders left guard for 1 yard (tackle by Tyree Wilson and Jonah Laulu),4.22,2.98,3.0,2024,41
4.0,4:50,,,,,,Timeout #2 by Las Vegas Raiders,,,3.0,2024,41
4.0,4:50,4.0,3.0,LVR 8,36.0,15.0,Eddy Piñeiro 26 yard field goal good,2.98,3.0,3.0,2024,41
4.0,4:47,,,CAR 35,36.0,15.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,41
4.0,4:47,1.0,10.0,LVR 30,36.0,15.0,Aidan O'Connell pass complete short right to Ameer Abdullah for 9 yards (tackle by Jammie Robinson),0.94,1.61,3.0,2024,41
4.0,4:40,2.0,1.0,LVR 39,36.0,15.0,Aidan O'Connell sacked by Jadeveon Clowney for -12 yards,1.61,-0.69,3.0,2024,41
4.0,4:00,3.0,13.0,LVR 27,36.0,15.0,Aidan O'Connell pass complete short left to Brock Bowers for 8 yards (tackle by Michael Jackson),-0.69,-1.04,3.0,2024,41
4.0,3:28,4.0,5.0,LVR 35,36.0,15.0,Aidan O'Connell pass complete short middle to Jakobi Meyers for 16 yards (tackle by Michael Jackson),-1.04,2.32,3.0,2024,41
4.0,2:59,1.0,10.0,CAR 49,36.0,15.0,Aidan O'Connell pass incomplete deep left intended for Jakobi Meyers,2.32,1.78,3.0,2024,41
