Quarter,Time,Down,ToGo,Location,KAN,ATL,Detail,EPB,EPA,week,year,game_id
1.0,5:08,1.0,10.0,ATL 28,0.0,7.0,"Samaje Perine right tackle for no gain (tackle by Grady Jarrett). Penalty on Justin Simmons: Defensive Too Many Men on Field, 6 yards (accepted) (no play)",3.71,4.59,3.0,2024,46
1.0,4:49,1.0,4.0,ATL 22,0.0,7.0,Samaje Perine right tackle for 3 yards (tackle by Grady Jarrett and Troy Andersen),4.59,4.42,3.0,2024,46
1.0,4:11,2.0,1.0,ATL 19,0.0,7.0,Carson Steele right guard for 3 yards (tackle by Eddie Goldman and Ta'Quon Graham),4.42,4.51,3.0,2024,46
1.0,3:32,1.0,10.0,ATL 16,0.0,7.0,Patrick Mahomes pass complete short right to Carson Steele for 2 yards (tackle by Jessie Bates),4.51,4.21,3.0,2024,46
1.0,2:50,2.0,8.0,ATL 14,0.0,7.0,Patrick Mahomes pass short right intended for Noah Gray is intercepted by Justin Simmons in end zone and returned for no gain,4.21,-0.28,3.0,2024,46
1.0,2:46,1.0,10.0,ATL 20,0.0,7.0,Bijan Robinson right tackle for 5 yards (tackle by Michael Danna),0.28,0.41,3.0,2024,46
1.0,2:14,2.0,5.0,ATL 25,0.0,7.0,Bijan Robinson right end for 7 yards (tackle by George Karlaftis and Bryan Cook),0.41,1.07,3.0,2024,46
1.0,1:41,1.0,10.0,ATL 32,0.0,7.0,Bijan Robinson left tackle for -1 yards (tackle by George Karlaftis and Chamarri Conner),1.07,0.39,3.0,2024,46
1.0,1:02,2.0,11.0,ATL 31,0.0,7.0,Kirk Cousins pass complete short right to Darnell Mooney for 2 yards (tackle by Nick Bolton),0.39,-0.03,3.0,2024,46
1.0,0:20,3.0,9.0,ATL 33,0.0,7.0,"Kirk Cousins pass incomplete short right intended for Kyle Pitts (defended by Jaylen Watson). Penalty on Jake Matthews: Illegal Use of Hands / Offense, 5 yards (declined)",-0.03,-1.18,3.0,2024,46
1.0,0:10,4.0,9.0,ATL 33,0.0,7.0,"Bradley Pinion punts 58 yards, returned by Mecole Hardman for 12 yards (tackle by DeAngelo Malone)",-1.18,-0.34,3.0,2024,46
2.0,15:00,1.0,10.0,KAN 21,0.0,7.0,Patrick Mahomes pass complete short left to Rashee Rice for 6 yards (tackle by Troy Andersen),0.34,0.61,3.0,2024,46
2.0,14:34,2.0,4.0,KAN 27,0.0,7.0,Samaje Perine left guard for 3 yards (tackle by Troy Andersen and James Smith-Williams),0.61,0.3,3.0,2024,46
2.0,14:00,3.0,1.0,KAN 30,0.0,7.0,Patrick Mahomes pass complete short middle to Travis Kelce for 3 yards (tackle by Troy Andersen and DeAundre Alford),0.3,1.14,3.0,2024,46
2.0,13:22,1.0,10.0,KAN 33,0.0,7.0,Carson Steele left end for 3 yards (tackle by Kaden Elliss and Justin Simmons),1.14,1.0,3.0,2024,46
2.0,12:49,2.0,7.0,KAN 36,0.0,7.0,Patrick Mahomes pass complete short right to Rashee Rice for 12 yards (tackle by Kaden Elliss),1.0,2.13,3.0,2024,46
2.0,12:12,1.0,10.0,KAN 48,0.0,7.0,Samaje Perine left tackle for 9 yards (tackle by Mike Hughes and Justin Simmons),2.13,2.8,3.0,2024,46
2.0,11:39,2.0,1.0,ATL 43,0.0,7.0,Samaje Perine right guard for 8 yards (tackle by DeAundre Alford),2.8,3.25,3.0,2024,46
2.0,11:03,1.0,10.0,ATL 35,0.0,7.0,Samaje Perine right tackle for 2 yards (tackle by David Onyemata and AJ Terrell),3.25,2.97,3.0,2024,46
2.0,10:35,2.0,8.0,ATL 33,0.0,7.0,Patrick Mahomes pass incomplete short left intended for Samaje Perine,2.97,2.28,3.0,2024,46
2.0,10:30,3.0,8.0,ATL 33,0.0,7.0,Patrick Mahomes pass complete short left to Justin Watson for 13 yards (tackle by DeAundre Alford),2.28,4.24,3.0,2024,46
2.0,9:51,1.0,10.0,ATL 20,0.0,7.0,"Samaje Perine left guard for no gain (tackle by Ta'Quon Graham). Penalty on Kingsley Suamataia: Illegal Formation, 5 yards (offset) . Penalty on Ta'Quon Graham: Defensive Holding, 5 yards (offset) (no play)",4.24,4.24,3.0,2024,46
2.0,9:34,1.0,10.0,ATL 20,0.0,7.0,Patrick Mahomes pass incomplete short left intended for Carson Steele,4.24,3.69,3.0,2024,46
2.0,9:30,2.0,10.0,ATL 20,0.0,7.0,Patrick Mahomes pass complete short right to Xavier Worthy for 7 yards (tackle by AJ Terrell),3.69,4.1,3.0,2024,46
2.0,8:51,3.0,3.0,ATL 13,6.0,7.0,"Patrick Mahomes pass complete short left to Rashee Rice for 13 yards, touchdown. Penalty on Lorenzo Carter: Roughing the Passer, 8 yards (accepted)",4.1,7.0,3.0,2024,46
2.0,8:45,,,ATL 7,7.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,3.0,2024,46
2.0,8:45,,,KAN 35,7.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,46
2.0,8:45,1.0,10.0,ATL 30,7.0,7.0,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Chamarri Conner),0.94,0.39,3.0,2024,46
2.0,8:39,2.0,10.0,ATL 30,7.0,7.0,Tyler Allgeier left end for 4 yards (tackle by Chamarri Conner),0.39,0.23,3.0,2024,46
2.0,7:57,3.0,6.0,ATL 34,7.0,7.0,"Kirk Cousins pass incomplete deep left intended for Drake London. Penalty on Chris Jones: Roughing the Passer, 15 yards (accepted) (no play)",0.23,2.19,3.0,2024,46
2.0,7:51,1.0,10.0,ATL 49,7.0,7.0,Bijan Robinson left end for no gain (tackle by Tershawn Wharton and Chris Jones),2.19,1.65,3.0,2024,46
2.0,7:10,2.0,10.0,ATL 49,7.0,7.0,"Kirk Cousins pass complete deep right to Kyle Pitts for 50 yards (tackle by Justin Reid). Penalty on Trent McDuffie: Defensive Holding, 5 yards (declined)",1.65,6.97,3.0,2024,46
2.0,6:44,1.0,1.0,KAN 1,7.0,13.0,"Bijan Robinson left tackle for 1 yard, touchdown",6.97,7.0,3.0,2024,46
2.0,6:37,,,KAN 15,7.0,14.0,Younghoe Koo kicks extra point good,0.0,0.0,3.0,2024,46
2.0,6:37,,,ATL 35,7.0,14.0,"Bradley Pinion kicks off 66 yards, returned by Mecole Hardman for 32 yards (tackle by DeAundre Alford)",0.0,1.0,3.0,2024,46
2.0,6:31,1.0,10.0,KAN 31,7.0,14.0,Carson Steele left guard for 9 yards (tackle by Kaden Elliss),1.0,1.68,3.0,2024,46
2.0,5:56,2.0,1.0,KAN 40,7.0,14.0,Carson Steele left tackle for 4 yards (tackle by Matt Judon),1.68,1.86,3.0,2024,46
2.0,5:22,1.0,10.0,KAN 44,7.0,14.0,Patrick Mahomes pass complete short middle to Noah Gray for 13 yards (tackle by Justin Simmons),1.86,2.72,3.0,2024,46
2.0,4:48,1.0,10.0,ATL 43,7.0,14.0,Patrick Mahomes pass complete short left to Rashee Rice for 2 yards (tackle by AJ Terrell and Jessie Bates),2.72,2.45,3.0,2024,46
2.0,4:13,2.0,8.0,ATL 41,7.0,14.0,Patrick Mahomes pass complete short left to Rashee Rice for 6 yards (tackle by Clark Phillips),2.45,2.54,3.0,2024,46
2.0,3:32,3.0,2.0,ATL 35,7.0,14.0,Samaje Perine left guard for no gain (tackle by Grady Jarrett and David Onyemata),2.54,0.99,3.0,2024,46
2.0,2:48,4.0,2.0,ATL 35,10.0,14.0,Harrison Butker 53 yard field goal good,0.99,3.0,3.0,2024,46
2.0,2:43,,,KAN 35,10.0,14.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,46
2.0,2:43,1.0,10.0,ATL 30,10.0,14.0,Bijan Robinson left end for 2 yards (tackle by Chamarri Conner),0.94,0.66,3.0,2024,46
2.0,2:00,2.0,8.0,ATL 32,10.0,14.0,"Kirk Cousins sacked by Felix Anudike-Uzomah for no gain. Kirk Cousins fumbles, ball out of bounds at ATL-32 (forced by Felix Anudike-Uzomah). Penalty on Bijan Robinson: Illegal Kick/Kicking Loose Ball / Offense, 10 yards (accepted) . Kirk Cousins fumbles out of bounds",0.66,-1.35,3.0,2024,46
2.0,1:53,3.0,18.0,ATL 22,10.0,14.0,"Kirk Cousins aborted snap, recovered by Bijan Robinson at ATL-18 Bijan Robinson up the middle for no gain (tackle by Nick Bolton)",-1.35,-1.57,3.0,2024,46
2.0,1:46,,,,,,Timeout #2 by Kansas City Chiefs,,,3.0,2024,46
2.0,1:46,4.0,13.0,ATL 27,10.0,14.0,Bradley Pinion punts 39 yards downed by DeAngelo Malone,-1.57,-1.2,3.0,2024,46
2.0,1:37,1.0,10.0,KAN 34,10.0,14.0,Patrick Mahomes pass complete short right to Samaje Perine for 5 yards (tackle by Troy Andersen),1.2,1.33,3.0,2024,46
2.0,1:21,2.0,5.0,KAN 39,10.0,14.0,Patrick Mahomes pass incomplete short right,1.33,0.63,3.0,2024,46
2.0,1:16,3.0,5.0,KAN 39,10.0,14.0,Patrick Mahomes pass incomplete short left intended for Rashee Rice,0.63,-0.78,3.0,2024,46
2.0,1:11,4.0,5.0,KAN 39,10.0,14.0,"Matt Araiza punts 42 yards, returned by Avery Williams for 11 yards (tackle by Samaje Perine and James Winchester)",-0.78,-0.94,3.0,2024,46
2.0,0:59,1.0,10.0,ATL 30,10.0,14.0,"Penalty on Storm Norton: False Start, 5 yards (accepted) (no play)",0.94,0.61,3.0,2024,46
2.0,0:59,1.0,15.0,ATL 25,10.0,14.0,Kirk Cousins pass complete short right to Drake London for 10 yards (tackle by Chamarri Conner),0.61,1.07,3.0,2024,46
2.0,0:42,2.0,5.0,ATL 35,10.0,14.0,"Kirk Cousins pass short right (defended by Tershawn Wharton) intended for Kyle Pitts is intercepted by Chamarri Conner at ATL-49 and returned for 3 yards, lateral to Jaylen Watson for 12 yards (tackle by Chris Lindstrom)",1.07,-3.31,3.0,2024,46
2.0,0:32,1.0,10.0,ATL 34,10.0,14.0,Patrick Mahomes pass complete short right to Samaje Perine for 8 yards (tackle by Troy Andersen),3.31,3.85,3.0,2024,46
2.0,0:23,,,,,,Timeout #3 by Kansas City Chiefs,,,3.0,2024,46
2.0,0:23,2.0,2.0,ATL 26,10.0,14.0,Patrick Mahomes pass incomplete deep middle,3.85,3.14,3.0,2024,46
2.0,0:15,3.0,2.0,ATL 26,10.0,14.0,Patrick Mahomes pass incomplete deep left intended for Justin Watson,3.14,1.86,3.0,2024,46
2.0,0:11,4.0,2.0,ATL 26,13.0,14.0,Harrison Butker 44 yard field goal good,1.86,3.0,3.0,2024,46
2.0,0:06,,,KAN 35,13.0,14.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,46
2.0,0:06,1.0,10.0,ATL 30,13.0,14.0,Kirk Cousins kneels for -1 yards,0.94,0.26,3.0,2024,46
3.0,15:00,,,ATL 35,13.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,46
3.0,15:00,1.0,10.0,KAN 30,13.0,14.0,Patrick Mahomes pass complete short right to Travis Kelce for 9 yards (tackle by Kaden Elliss and DeAundre Alford),0.94,1.61,3.0,2024,46
3.0,14:30,2.0,1.0,KAN 39,13.0,14.0,Patrick Mahomes pass complete short right to Rashee Rice for 14 yards (tackle by Troy Andersen),1.61,2.46,3.0,2024,46
3.0,13:56,1.0,10.0,ATL 47,13.0,14.0,Carson Steele right guard for 5 yards (tackle by Matt Judon),2.46,2.59,3.0,2024,46
3.0,13:22,2.0,5.0,ATL 42,13.0,14.0,Patrick Mahomes pass complete short left to Rashee Rice for 6 yards (tackle by DeAundre Alford),2.59,3.18,3.0,2024,46
3.0,12:50,1.0,10.0,ATL 36,13.0,14.0,Patrick Mahomes pass complete short right to Travis Kelce for 17 yards (tackle by Mike Hughes),3.18,4.31,3.0,2024,46
3.0,12:17,1.0,10.0,ATL 19,13.0,14.0,Carson Steele right guard for 9 yards (tackle by Justin Simmons and Kaden Elliss),4.31,5.36,3.0,2024,46
3.0,11:41,2.0,1.0,ATL 10,13.0,14.0,Carson Steele right guard for 7 yards (tackle by Ta'Quon Graham and Jessie Bates),5.36,6.51,3.0,2024,46
3.0,11:02,1.0,3.0,ATL 3,13.0,14.0,Carson Steele up the middle for 2 yards (tackle by Kentavius Street),6.51,5.91,3.0,2024,46
3.0,10:26,2.0,1.0,ATL 1,13.0,14.0,Carson Steele left guard for -2 yards (tackle by David Onyemata),5.91,4.72,3.0,2024,46
3.0,9:51,3.0,3.0,ATL 3,13.0,14.0,Patrick Mahomes pass incomplete short left,4.72,3.04,3.0,2024,46
3.0,9:42,4.0,3.0,ATL 3,16.0,14.0,Harrison Butker 21 yard field goal good,3.04,3.0,3.0,2024,46
3.0,9:40,,,KAN 35,16.0,14.0,"Harrison Butker kicks off 65 yards, returned by Avery Williams for 28 yards (tackle by Cam Jones and Keaontay Ingram)",0.0,0.81,3.0,2024,46
3.0,9:33,1.0,10.0,ATL 28,16.0,14.0,Kirk Cousins pass complete short right to Darnell Mooney for 5 yards (tackle by Jaylen Watson),0.81,0.94,3.0,2024,46
3.0,8:55,2.0,5.0,ATL 33,16.0,14.0,Bijan Robinson right tackle for 3 yards (tackle by Michael Danna and Chamarri Conner),0.94,0.63,3.0,2024,46
3.0,8:19,3.0,2.0,ATL 36,16.0,14.0,Kirk Cousins sacked by Mike Pennel for -1 yards,0.63,-1.04,3.0,2024,46
3.0,7:30,4.0,3.0,ATL 35,16.0,14.0,"Bradley Pinion punts 65 yards, touchback.",-1.04,-0.28,3.0,2024,46
3.0,7:20,1.0,10.0,KAN 20,16.0,14.0,Carson Steele right guard for 5 yards (tackle by Troy Andersen and Justin Simmons),0.28,0.41,3.0,2024,46
3.0,6:49,2.0,5.0,KAN 25,16.0,14.0,Patrick Mahomes pass complete short left to Rashee Rice for 4 yards (tackle by DeAundre Alford),0.41,0.23,3.0,2024,46
3.0,6:10,3.0,1.0,KAN 29,16.0,14.0,Carson Steele right guard for 2 yards (tackle by Jessie Bates),0.23,1.0,3.0,2024,46
3.0,5:33,1.0,10.0,KAN 31,16.0,14.0,Patrick Mahomes pass complete deep right to Rashee Rice for 27 yards (tackle by Mike Hughes),1.0,2.79,3.0,2024,46
3.0,4:56,1.0,10.0,ATL 42,16.0,14.0,Xavier Worthy left end for 1 yard (tackle by Justin Simmons),2.79,2.38,3.0,2024,46
3.0,4:18,2.0,9.0,ATL 41,16.0,14.0,Patrick Mahomes scrambles right guard for 15 yards (tackle by Jessie Bates),2.38,3.84,3.0,2024,46
3.0,3:39,1.0,10.0,ATL 26,16.0,14.0,Carson Steele left guard for 8 yards (tackle by Arnold Ebiketie),3.84,4.45,3.0,2024,46
3.0,3:00,2.0,2.0,ATL 18,16.0,14.0,Carson Steele left tackle for 2 yards (tackle by David Onyemata),4.45,4.51,3.0,2024,46
3.0,2:20,1.0,10.0,ATL 16,16.0,14.0,Xavier Worthy left end for 6 yards (tackle by Troy Andersen and Mike Hughes),4.51,4.97,3.0,2024,46
3.0,1:41,2.0,4.0,ATL 10,16.0,14.0,Patrick Mahomes pass complete short right to Rashee Rice for -3 yards (tackle by AJ Terrell),4.97,3.54,3.0,2024,46
3.0,1:21,3.0,7.0,ATL 13,22.0,14.0,"Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 13 yards, touchdown",3.54,7.0,3.0,2024,46
3.0,1:16,,,ATL 15,22.0,14.0,Harrison Butker kicks extra point no good,0.0,-1.0,3.0,2024,46
3.0,1:16,,,KAN 35,22.0,14.0,"Harrison Butker kicks off 68 yards, returned by Ray-Ray McCloud for 28 yards (tackle by Jaden Hicks). Penalty on Ross Dwelley: Offensive Illegal Block Above the Waist, 10 yards (accepted)",0.0,-0.22,3.0,2024,46
3.0,1:09,1.0,10.0,ATL 15,22.0,14.0,Kirk Cousins pass complete short left to Darnell Mooney for 11 yards (tackle by Chamarri Conner and Trent McDuffie),-0.22,0.67,3.0,2024,46
3.0,0:40,1.0,10.0,ATL 26,22.0,14.0,Bijan Robinson left guard for -2 yards (tackle by Nick Bolton),0.67,-0.14,3.0,2024,46
3.0,0:07,2.0,12.0,ATL 24,22.0,14.0,Kirk Cousins pass complete short right to Bijan Robinson for 17 yards (tackle by Bryan Cook),-0.14,1.66,3.0,2024,46
4.0,15:00,1.0,10.0,ATL 41,22.0,14.0,Tyler Allgeier left end for 3 yards (tackle by Nick Bolton and Jaylen Watson),1.66,1.53,3.0,2024,46
4.0,14:23,2.0,7.0,ATL 44,22.0,14.0,Kirk Cousins pass incomplete deep left intended for Drake London,1.53,0.83,3.0,2024,46
4.0,14:15,3.0,7.0,ATL 44,22.0,14.0,Kirk Cousins pass complete short left to Darnell Mooney for 17 yards (tackle by Chamarri Conner),0.83,2.98,3.0,2024,46
4.0,13:40,1.0,10.0,KAN 39,22.0,14.0,Bijan Robinson right tackle for 3 yards (tackle by Chamarri Conner and Tershawn Wharton),2.98,2.85,3.0,2024,46
4.0,13:06,2.0,7.0,KAN 36,22.0,14.0,Kirk Cousins pass incomplete short middle,2.85,2.15,3.0,2024,46
4.0,13:00,3.0,7.0,KAN 36,22.0,14.0,Kirk Cousins pass incomplete short middle,2.15,0.88,3.0,2024,46
4.0,12:56,4.0,7.0,KAN 36,22.0,17.0,Younghoe Koo 54 yard field goal good,0.88,3.0,3.0,2024,46
4.0,12:52,,,ATL 35,22.0,17.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,46
4.0,12:52,1.0,10.0,KAN 30,22.0,17.0,Carson Steele right tackle for 6 yards (tackle by Troy Andersen and AJ Terrell),0.94,1.2,3.0,2024,46
4.0,12:15,2.0,4.0,KAN 36,22.0,17.0,Patrick Mahomes pass complete short left to Samaje Perine for 2 yards (tackle by DeAundre Alford),1.2,0.76,3.0,2024,46
4.0,11:37,3.0,2.0,KAN 38,22.0,17.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce (defended by Jessie Bates),0.76,-0.85,3.0,2024,46
4.0,11:31,4.0,2.0,KAN 38,22.0,17.0,"Matt Araiza punts, returned by Avery Williams for 1 yard. Avery Williams fumbles (forced by Jaden Hicks), recovered by Joshua Williams at ATL-8 (tackle by Jaden Hicks) Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Matt Araiza punts 52 yards, returned by Avery Williams for 1 yard (tackle by Jaden Hicks)",-0.85,0.37,3.0,2024,46
4.0,11:22,1.0,10.0,ATL 11,22.0,17.0,"Kirk Cousins pass incomplete short right intended for Ray-Ray McCloud. Penalty on Chris Lindstrom: Illegal Use of Hands / Offense, 5 yards (accepted) (no play)",-0.37,-0.57,3.0,2024,46
4.0,11:17,1.0,15.0,ATL 6,22.0,17.0,Tyler Allgeier left tackle for 10 yards (tackle by Tershawn Wharton),-0.57,-0.3,3.0,2024,46
4.0,10:56,2.0,5.0,ATL 16,22.0,17.0,Tyler Allgeier left tackle for 12 yards (tackle by Chamarri Conner and Justin Reid),-0.3,0.81,3.0,2024,46
4.0,10:32,1.0,10.0,ATL 28,22.0,17.0,Tyler Allgeier right tackle for 2 yards (tackle by Nick Bolton),0.81,0.53,3.0,2024,46
4.0,9:59,2.0,8.0,ATL 30,22.0,17.0,Kirk Cousins pass complete short right to Kyle Pitts for 9 yards (tackle by Drue Tranquill and Jaylen Watson),0.53,1.53,3.0,2024,46
4.0,9:26,1.0,10.0,ATL 39,22.0,17.0,Bijan Robinson right tackle for 2 yards (tackle by Chamarri Conner),1.53,1.26,3.0,2024,46
4.0,8:49,2.0,8.0,ATL 41,22.0,17.0,Kirk Cousins pass complete short right to Drake London for 13 yards (tackle by Nick Bolton),1.26,2.52,3.0,2024,46
4.0,8:21,1.0,10.0,KAN 46,22.0,17.0,Ray-Ray McCloud left end for 20 yards (tackle by Bryan Cook),2.52,3.84,3.0,2024,46
4.0,7:54,1.0,10.0,KAN 26,22.0,17.0,Kirk Cousins pass complete short right to Darnell Mooney for -2 yards (tackle by Justin Reid),3.84,3.03,3.0,2024,46
4.0,7:23,2.0,12.0,KAN 28,22.0,17.0,Kirk Cousins pass complete short left to Bijan Robinson for 4 yards (tackle by Bryan Cook),3.03,2.87,3.0,2024,46
4.0,6:44,3.0,8.0,KAN 24,22.0,17.0,"Penalty on Justin Reid: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.87,3.57,3.0,2024,46
4.0,6:30,3.0,3.0,KAN 19,22.0,17.0,Bijan Robinson right tackle for 1 yard (tackle by Chris Jones and Jack Cochrane),3.57,2.37,3.0,2024,46
4.0,6:08,4.0,2.0,KAN 18,22.0,17.0,Kirk Cousins pass complete short middle to Drake London for 7 yards (tackle by Justin Reid),2.37,4.84,3.0,2024,46
4.0,5:32,1.0,10.0,KAN 11,22.0,17.0,Bijan Robinson left end for 4 yards (tackle by Michael Danna and Bryan Cook),4.84,4.89,3.0,2024,46
4.0,4:54,2.0,6.0,KAN 7,22.0,17.0,Tyler Allgeier right guard for 1 yard (tackle by Felix Anudike-Uzomah),4.89,4.21,3.0,2024,46
4.0,4:13,3.0,5.0,KAN 6,22.0,17.0,Kirk Cousins pass incomplete short middle intended for Kyle Pitts (defended by Bryan Cook),4.21,2.99,3.0,2024,46
4.0,4:08,4.0,5.0,KAN 6,22.0,17.0,Kirk Cousins pass incomplete short middle intended for Drake London,2.99,0.38,3.0,2024,46
4.0,4:04,1.0,10.0,KAN 6,22.0,17.0,Carson Steele right tackle for 2 yards (tackle by David Onyemata),-0.38,-0.63,3.0,2024,46
4.0,3:26,2.0,8.0,KAN 8,22.0,17.0,Patrick Mahomes scrambles left end for 6 yards (tackle by Kaden Elliss),-0.63,-0.48,3.0,2024,46
4.0,2:39,3.0,2.0,KAN 14,22.0,17.0,Patrick Mahomes pass incomplete short left intended for Xavier Worthy,-0.48,-2.47,3.0,2024,46
4.0,2:33,4.0,2.0,KAN 14,22.0,17.0,"Matt Araiza punts 51 yards, fair catch by Avery Williams at ATL-35",-2.47,-1.27,3.0,2024,46
4.0,2:26,1.0,10.0,ATL 35,22.0,17.0,"Kirk Cousins pass incomplete short right intended for Darnell Mooney. Penalty on Chamarri Conner: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.27,1.6,3.0,2024,46
4.0,2:21,1.0,10.0,ATL 40,22.0,17.0,Kirk Cousins pass complete short right to Drake London for 12 yards (tackle by Jaylen Watson),1.6,2.39,3.0,2024,46
4.0,2:01,1.0,10.0,KAN 48,22.0,17.0,"Kirk Cousins pass incomplete short left intended for Ray-Ray McCloud. Penalty on Trent McDuffie: Defensive Pass Interference, 11 yards (accepted) (no play)",2.39,3.12,3.0,2024,46
4.0,1:56,1.0,10.0,KAN 37,22.0,17.0,Kirk Cousins pass incomplete deep left intended for Drake London,3.12,2.64,3.0,2024,46
4.0,1:51,2.0,10.0,KAN 36,22.0,17.0,"Kirk Cousins pass complete short right to Darnell Mooney for 1 yard (tackle by Jaylen Watson). Penalty on Jaylen Watson: Horse Collar Tackle, 15 yards (accepted) (no play)",2.64,4.11,3.0,2024,46
4.0,1:44,1.0,10.0,KAN 22,22.0,17.0,Kirk Cousins pass complete short left to Darnell Mooney for -2 yards (tackle by Nazeeh Johnson),4.11,3.29,3.0,2024,46
4.0,1:10,2.0,12.0,KAN 24,22.0,17.0,Kirk Cousins pass complete short left to Drake London for 11 yards (tackle by Drue Tranquill),3.29,4.39,3.0,2024,46
4.0,1:03,,,,,,Timeout #1 by Atlanta Falcons,,,3.0,2024,46
4.0,1:03,3.0,1.0,KAN 13,22.0,17.0,Tyler Allgeier left guard for no gain (tackle by Drue Tranquill),4.39,2.72,3.0,2024,46
