Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA,week,year,game_id
2.0,1:23,1.0,10.0,SFO 16,14.0,0.0,Kyren Williams left end for 1 yard (tackle by Isaac Yiadom and Javon Hargrave),4.51,4.05,3.0,2024,45
2.0,1:15,,,,,,Timeout #1 by San Francisco 49ers,,,3.0,2024,45
2.0,1:15,2.0,9.0,SFO 15,14.0,6.0,"Matthew Stafford pass complete short middle to Kyren Williams for 15 yards, touchdown",4.05,7.0,3.0,2024,45
2.0,1:11,,,SFO 15,14.0,7.0,Joshua Karty kicks extra point good,0.0,0.0,3.0,2024,45
2.0,1:11,,,LAR 35,14.0,7.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,45
2.0,1:11,1.0,10.0,SFO 30,14.0,7.0,Brock Purdy pass complete short right to Jauan Jennings for 11 yards (tackle by Troy Reeder and Kamren Curl),0.94,1.66,3.0,2024,45
2.0,0:51,1.0,10.0,SFO 41,14.0,7.0,Brock Purdy scrambles right end for 11 yards (tackle by Kamren Kinchens),1.66,2.39,3.0,2024,45
2.0,0:42,,,,,,Timeout #2 by San Francisco 49ers,,,3.0,2024,45
2.0,0:42,1.0,10.0,LAR 48,14.0,7.0,Brock Purdy pass complete short left to Eric Saubert for 8 yards (tackle by Quentin Lake and Jaylen McCollough),2.39,2.93,3.0,2024,45
2.0,0:31,,,,,,Timeout #3 by San Francisco 49ers,,,3.0,2024,45
2.0,0:31,2.0,2.0,LAR 40,14.0,7.0,"Brock Purdy sacked by Byron Young for -4 yards. Brock Purdy fumbles (forced by Byron Young), recovered by Braden Fiske at LA-44",2.93,-1.86,3.0,2024,45
2.0,0:27,1.0,10.0,LAR 44,14.0,7.0,Matthew Stafford sacked by Maliek Collins for -7 yards,1.86,0.37,3.0,2024,45
2.0,0:22,,,,,,Timeout #1 by Los Angeles Rams,,,3.0,2024,45
2.0,0:22,2.0,17.0,LAR 37,14.0,7.0,Matthew Stafford pass incomplete deep right intended for Demarcus Robinson,0.37,-0.3,3.0,2024,45
2.0,0:15,3.0,17.0,LAR 37,14.0,7.0,Kyren Williams left guard for 4 yards (tackle by Isaac Yiadom),-0.3,-0.65,3.0,2024,45
3.0,15:00,,,SFO 35,14.0,7.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,45
3.0,15:00,1.0,10.0,LAR 30,14.0,7.0,"Matthew Stafford pass complete short middle to Jordan Whittington for 15 yards (tackle by Charvarius Ward and Talanoa Hufanga). Penalty on Leonard Floyd: Illegal Use of Hands / Defense, 5 yards (declined)",0.94,1.93,3.0,2024,45
3.0,14:31,1.0,10.0,LAR 45,14.0,7.0,Matthew Stafford pass incomplete short right,1.93,1.38,3.0,2024,45
3.0,14:24,2.0,10.0,LAR 45,14.0,7.0,Matthew Stafford pass complete short middle to Tyler Johnson for 5 yards (tackle by Leonard Floyd),1.38,1.36,3.0,2024,45
3.0,13:44,3.0,5.0,LAR 50,14.0,7.0,Matthew Stafford pass incomplete short left intended for Colby Parkinson (defended by Ji'Ayir Brown),1.36,-0.06,3.0,2024,45
3.0,13:38,4.0,5.0,LAR 50,14.0,7.0,Ethan Evans punts 41 yards,-0.06,0.38,3.0,2024,45
3.0,13:28,1.0,10.0,SFO 9,14.0,7.0,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,-0.38,-0.78,3.0,2024,45
3.0,13:24,2.0,10.0,SFO 9,14.0,7.0,Brock Purdy pass complete short left to Jauan Jennings for 9 yards (tackle by Cobie Durant and Christian Rozeboom),-0.78,-0.37,3.0,2024,45
3.0,12:41,3.0,1.0,SFO 18,14.0,7.0,Brock Purdy up the middle for 2 yards (tackle by Kobie Turner and Tyler Davis),-0.37,0.28,3.0,2024,45
3.0,12:03,1.0,10.0,SFO 20,14.0,7.0,Brock Purdy pass complete short right to Jordan Mason for 3 yards (tackle by Troy Reeder and Jared Verse),0.28,0.14,3.0,2024,45
3.0,11:23,2.0,7.0,SFO 23,14.0,7.0,Jordan Mason up the middle for 14 yards (tackle by Quentin Lake and Kamren Kinchens),0.14,1.4,3.0,2024,45
3.0,10:43,1.0,10.0,SFO 37,14.0,7.0,Isaac Guerendo left guard for 5 yards (tackle by Desjuan Johnson and Bobby Brown),1.4,1.53,3.0,2024,45
3.0,10:06,2.0,5.0,SFO 42,14.0,7.0,Isaac Guerendo up the middle for 4 yards (tackle by Christian Rozeboom and Bobby Brown),1.53,1.36,3.0,2024,45
3.0,9:25,3.0,1.0,SFO 46,14.0,7.0,Jordan Mason left end for 18 yards (tackle by Quentin Lake),1.36,3.18,3.0,2024,45
3.0,8:41,1.0,10.0,LAR 36,14.0,7.0,Brock Purdy scrambles left tackle for 4 yards (tackle by Kobie Turner),3.18,3.18,3.0,2024,45
3.0,7:55,2.0,6.0,LAR 32,14.0,7.0,Isaac Guerendo right tackle for 1 yard (tackle by Kobie Turner and Byron Young),3.18,2.61,3.0,2024,45
3.0,7:07,3.0,5.0,LAR 31,20.0,7.0,"Brock Purdy pass complete deep left to Jauan Jennings for 31 yards, touchdown",2.61,7.0,3.0,2024,45
3.0,7:01,,,LAR 15,21.0,7.0,Jake Moody kicks extra point good,0.0,0.0,3.0,2024,45
3.0,7:01,,,SFO 35,21.0,7.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,45
3.0,7:01,1.0,10.0,LAR 30,21.0,7.0,"Penalty on Alaric Jackson: False Start, 5 yards (accepted) (no play)",0.94,0.61,3.0,2024,45
3.0,7:01,1.0,15.0,LAR 25,21.0,7.0,"Matthew Stafford pass incomplete deep left intended for Tutu Atwell. Penalty on Isaac Yiadom: Defensive Pass Interference, 48 yards (accepted) (no play)",0.61,3.78,3.0,2024,45
3.0,6:53,1.0,10.0,SFO 27,21.0,7.0,Kyren Williams right end for 4 yards (tackle by De'Vondre Campbell),3.78,3.77,3.0,2024,45
3.0,6:09,2.0,6.0,SFO 23,21.0,7.0,"Kyren Williams left end for -3 yards. Kyren Williams fumbles (forced by Nick Bosa), recovered by Kevin Givens at SF-26 Replay Assistant challenged the fumble ruling, and the original play was overturned. Kyren Williams left end for -3 yards (tackle by Nick Bosa)",3.77,2.68,3.0,2024,45
3.0,6:00,3.0,9.0,SFO 26,21.0,7.0,Matthew Stafford pass complete short middle to Tutu Atwell for 11 yards (tackle by Talanoa Hufanga),2.68,4.58,3.0,2024,45
3.0,5:20,1.0,10.0,SFO 15,21.0,7.0,Kyren Williams right guard for 6 yards (tackle by Renardo Green and Ji'Ayir Brown),4.58,5.03,3.0,2024,45
3.0,4:41,2.0,4.0,SFO 9,21.0,7.0,Kyren Williams right guard for 3 yards (tackle by Talanoa Hufanga and Renardo Green),5.03,4.9,3.0,2024,45
3.0,4:05,3.0,1.0,SFO 6,21.0,7.0,"Matthew Stafford pass incomplete short right intended for Tyler Johnson. Penalty on Renardo Green: Defensive Holding, 3 yards (accepted) (no play)",4.9,6.51,3.0,2024,45
3.0,3:56,1.0,3.0,SFO 3,21.0,13.0,"Kyren Williams left guard for 3 yards, touchdown",6.51,7.0,3.0,2024,45
3.0,3:53,,,SFO 15,21.0,14.0,Joshua Karty kicks extra point good,0.0,0.0,3.0,2024,45
3.0,3:53,,,LAR 35,21.0,14.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,45
3.0,3:53,1.0,10.0,SFO 30,21.0,14.0,Brock Purdy pass complete deep left to Jauan Jennings for 32 yards (tackle by Quentin Lake),0.94,3.05,3.0,2024,45
3.0,3:06,1.0,10.0,LAR 38,21.0,14.0,"Jordan Mason right tackle for 2 yards (tackle by Quentin Lake and Bobby Brown). Penalty on Jake Brendel: Offensive Illegal Block Above the Waist, 10 yards (accepted)",3.05,2.52,3.0,2024,45
3.0,2:45,1.0,18.0,LAR 46,21.0,14.0,Brock Purdy pass complete short middle to Jauan Jennings for 14 yards (tackle by Kamren Kinchens),2.52,3.32,3.0,2024,45
3.0,2:03,2.0,4.0,LAR 32,21.0,14.0,Brock Purdy pass incomplete short left intended for Ronnie Bell,3.32,2.61,3.0,2024,45
3.0,1:57,3.0,4.0,LAR 32,21.0,14.0,Brock Purdy scrambles left end for 5 yards (tackle by Quentin Lake),2.61,3.78,3.0,2024,45
3.0,1:20,1.0,10.0,LAR 27,21.0,14.0,Isaac Guerendo left tackle for 6 yards (tackle by Christian Rozeboom),3.78,4.04,3.0,2024,45
3.0,0:40,2.0,4.0,LAR 21,21.0,14.0,Isaac Guerendo up the middle for 3 yards (tackle by Kamren Curl),4.04,3.84,3.0,2024,45
4.0,15:00,3.0,1.0,LAR 18,21.0,14.0,"Brock Purdy up the middle for no gain. Brock Purdy fumbles (forced by Kobie Turner), recovered by Byron Young at LA-14 Replay Assistant challenged the fumble ruling, and the original play was overturned. Brock Purdy up the middle for no gain (tackle by Neville Gallimore)",3.84,2.4,3.0,2024,45
4.0,14:54,4.0,1.0,LAR 18,21.0,14.0,Brock Purdy up the middle for 2 yards (tackle by Braden Fiske),2.4,4.51,3.0,2024,45
4.0,14:11,1.0,10.0,LAR 16,21.0,14.0,Brock Purdy scrambles right end for 8 yards (tackle by Kamren Curl),4.51,5.35,3.0,2024,45
4.0,13:26,2.0,2.0,LAR 8,21.0,14.0,Jordan Mason up the middle for 1 yard (tackle by Kobie Turner and Troy Reeder),5.35,4.85,3.0,2024,45
4.0,12:45,3.0,1.0,LAR 7,21.0,14.0,Jordan Mason left tackle for -1 yards (tackle by Troy Reeder and Quentin Lake),4.85,2.99,3.0,2024,45
4.0,12:00,4.0,2.0,LAR 8,24.0,14.0,Jake Moody 26 yard field goal good,2.99,3.0,3.0,2024,45
4.0,11:57,,,SFO 35,24.0,14.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,45
4.0,11:57,1.0,10.0,LAR 30,24.0,14.0,"Matthew Stafford pass complete short right to Kyren Williams for 12 yards (tackle by Charvarius Ward). Penalty on Colby Parkinson: Offensive Illegal Block Above the Waist, 10 yards (accepted)",0.94,1.23,3.0,2024,45
4.0,11:30,1.0,8.0,LAR 32,24.0,14.0,Matthew Stafford pass complete deep middle to Demarcus Robinson for 32 yards (tackle by Deommodore Lenoir and Fred Warner),1.23,3.18,3.0,2024,45
4.0,10:48,1.0,10.0,SFO 36,24.0,14.0,"Tutu Atwell pass complete deep right to Demarcus Robinson for 34 yards (tackle by Ji'Ayir Brown) SFO challenged the pass completion ruling, and the original play was overturned. Tutu Atwell pass incomplete deep right intended for Demarcus Robinson (defended by Ji'Ayir Brown)",3.18,2.64,3.0,2024,45
4.0,10:35,2.0,10.0,SFO 36,24.0,14.0,Matthew Stafford pass complete short left to Tutu Atwell for 8 yards,2.64,3.01,3.0,2024,45
4.0,10:01,3.0,2.0,SFO 28,24.0,14.0,Matthew Stafford pass complete short right to Colby Parkinson for 8 yards (tackle by Ji'Ayir Brown),3.01,4.24,3.0,2024,45
4.0,9:24,1.0,10.0,SFO 20,24.0,14.0,Kyren Williams right end for 4 yards (tackle by Charvarius Ward),4.24,4.28,3.0,2024,45
4.0,8:48,2.0,6.0,SFO 16,24.0,14.0,Kyren Williams right guard for 5 yards (tackle by Robert Beal and Talanoa Hufanga),4.28,4.59,3.0,2024,45
4.0,8:06,3.0,1.0,SFO 11,24.0,14.0,Matthew Stafford pass incomplete short right intended for Colby Parkinson (defended by Fred Warner),4.59,2.85,3.0,2024,45
4.0,7:58,4.0,1.0,SFO 11,24.0,14.0,Kyren Williams right guard for 3 yards (tackle by Charvarius Ward),2.85,5.37,3.0,2024,45
4.0,7:16,1.0,8.0,SFO 8,24.0,14.0,Matthew Stafford pass incomplete short right,5.37,4.57,3.0,2024,45
4.0,7:06,2.0,8.0,SFO 8,24.0,14.0,Matthew Stafford sacked by Sam Okuayinonu for -7 yards,4.57,2.93,3.0,2024,45
4.0,6:23,,,,,,Timeout #1 by Los Angeles Rams,,,3.0,2024,45
4.0,6:23,3.0,15.0,SFO 15,24.0,14.0,Matthew Stafford pass incomplete short left intended for Demarcus Robinson,2.93,2.44,3.0,2024,45
4.0,6:18,4.0,15.0,SFO 15,24.0,17.0,Joshua Karty 33 yard field goal good,2.44,3.0,3.0,2024,45
4.0,6:15,,,LAR 35,24.0,17.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,45
4.0,6:15,1.0,10.0,SFO 30,24.0,17.0,Brock Purdy pass complete short middle to Jauan Jennings for 15 yards (tackle by Troy Reeder and Cobie Durant),0.94,1.93,3.0,2024,45
4.0,5:36,1.0,10.0,SFO 45,24.0,17.0,Jordan Mason left end for 9 yards (tackle by Tre'Davious White),1.93,2.6,3.0,2024,45
4.0,4:59,2.0,1.0,LAR 46,24.0,17.0,Jordan Mason left tackle for 4 yards (tackle by Troy Reeder and Christian Rozeboom),2.6,2.79,3.0,2024,45
4.0,4:16,1.0,10.0,LAR 42,24.0,17.0,"Isaac Guerendo left end for no gain (tackle by Troy Reeder). Penalty on Kyle Juszczyk: Offensive Holding, 10 yards (accepted) (no play)",2.79,2.13,3.0,2024,45
4.0,4:08,1.0,20.0,SFO 48,24.0,17.0,Brock Purdy pass complete short right to Jauan Jennings for 5 yards (tackle by Michael Hoecht),2.13,1.57,3.0,2024,45
4.0,3:13,2.0,15.0,LAR 47,24.0,17.0,Brock Purdy pass complete short left to Jauan Jennings for 7 yards (tackle by Quentin Lake),1.57,1.82,3.0,2024,45
4.0,3:09,,,,,,Timeout #1 by San Francisco 49ers,,,3.0,2024,45
4.0,3:09,3.0,8.0,LAR 40,24.0,17.0,Brock Purdy scrambles left end for 3 yards (tackle by Jaylen McCollough),1.82,0.79,3.0,2024,45
4.0,2:48,,,,,,Timeout #2 by Los Angeles Rams,,,3.0,2024,45
4.0,2:48,4.0,5.0,LAR 37,24.0,17.0,Jake Moody 55 yard field goal no good,0.79,-1.93,3.0,2024,45
4.0,2:43,1.0,10.0,LAR 45,24.0,17.0,Matthew Stafford pass complete deep right to Tutu Atwell for 50 yards (tackle by Charvarius Ward),1.93,6.06,3.0,2024,45
4.0,2:00,1.0,5.0,SFO 5,24.0,17.0,Kyren Williams up the middle for 1 yard (tackle by Leonard Floyd and Kevin Givens),6.06,5.34,3.0,2024,45
4.0,1:54,,,,,,Timeout #2 by San Francisco 49ers,,,3.0,2024,45
4.0,1:54,2.0,4.0,SFO 4,24.0,23.0,"Kyren Williams up the middle for 4 yards, touchdown",5.34,7.0,3.0,2024,45
4.0,1:51,,,SFO 15,24.0,24.0,Joshua Karty kicks extra point good,0.0,0.0,3.0,2024,45
4.0,1:51,,,LAR 35,24.0,24.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,45
4.0,1:51,1.0,10.0,SFO 30,24.0,24.0,Brock Purdy scrambles right end for 4 yards (tackle by Jared Verse),0.94,0.93,3.0,2024,45
4.0,1:46,2.0,6.0,SFO 34,24.0,24.0,Brock Purdy pass complete short left to Brandon Aiyuk for 9 yards (tackle by Cobie Durant and Kamren Kinchens),0.93,1.8,3.0,2024,45
4.0,1:14,1.0,10.0,SFO 43,24.0,24.0,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,1.8,1.25,3.0,2024,45
4.0,1:08,2.0,10.0,SFO 43,24.0,24.0,Brock Purdy pass incomplete deep right intended for Ronnie Bell,1.25,0.56,3.0,2024,45
4.0,1:02,3.0,10.0,SFO 43,24.0,24.0,Brock Purdy scrambles up the middle for 2 yards (tackle by Braden Fiske and Kobie Turner),0.56,-0.39,3.0,2024,45
4.0,0:56,,,,,,Timeout #3 by Los Angeles Rams,,,3.0,2024,45
4.0,0:56,4.0,8.0,SFO 45,24.0,24.0,"Mitch Wishnowsky punts 43 yards, returned by Xavier Smith for 38 yards (tackle by Mitch Wishnowsky)",-0.39,-2.26,3.0,2024,45
4.0,0:42,1.0,10.0,LAR 50,24.0,24.0,"Matthew Stafford pass incomplete deep right intended for Colby Parkinson. Penalty on De'Vondre Campbell: Defensive Pass Interference, 25 yards (accepted) . Penalty on Deommodore Lenoir: Defensive Holding, 25 yards (declined) . Penalty on Deommodore Lenoir: Illegal Use of Hands / Defense, 5 yards (declined) (no play)",2.26,3.91,3.0,2024,45
4.0,0:37,1.0,10.0,SFO 25,24.0,24.0,Kyren Williams right guard for 6 yards (tackle by Charvarius Ward and Fred Warner),3.91,4.2,3.0,2024,45
4.0,0:05,,,,,,Timeout #3 by San Francisco 49ers,,,3.0,2024,45
