Quarter,Time,Down,ToGo,Location,NWE,NYJ,Detail,EPB,EPA,week,year,game_id
1.0,6:15,1.0,10.0,NWE 46,0.0,0.0,"Aaron Rodgers pass complete short left to Breece Hall for no gain (tackle by Jahlani Tavai). Penalty on Jahlani Tavai: Unnecessary Roughness / Defense, 15 yards (accepted)",2.52,3.51,3.0,2024,33
1.0,5:56,1.0,10.0,NWE 31,0.0,0.0,Breece Hall up the middle for 10 yards (tackle by Raekwon McMillan),3.51,4.17,3.0,2024,33
1.0,5:13,1.0,10.0,NWE 21,0.0,0.0,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson,4.17,3.63,3.0,2024,33
1.0,5:08,2.0,10.0,NWE 21,0.0,0.0,Aaron Rodgers pass complete short middle to Xavier Gipson for 11 yards (tackle by Jabrill Peppers),3.63,4.91,3.0,2024,33
1.0,4:26,1.0,10.0,NWE 10,0.0,6.0,"Aaron Rodgers pass complete short left to Allen Lazard for 10 yards, touchdown",4.91,7.0,3.0,2024,33
1.0,4:21,,,NWE 15,0.0,7.0,Greg Zuerlein kicks extra point good,0.0,0.0,3.0,2024,33
1.0,4:21,,,NYJ 35,0.0,7.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,33
1.0,4:21,1.0,10.0,NWE 30,0.0,7.0,Jacoby Brissett pass complete short left to Demario Douglas for 1 yard (tackle by Jamien Sherwood),0.94,0.53,3.0,2024,33
1.0,3:53,2.0,9.0,NWE 31,0.0,7.0,Jacoby Brissett pass complete short right to Ja'Lynn Polk for 6 yards (tackle by Sauce Gardner),0.53,0.63,3.0,2024,33
1.0,3:09,3.0,3.0,NWE 37,0.0,7.0,Jacoby Brissett pass complete short middle to Hunter Henry for 9 yards (tackle by Tony Adams and Chuck Clark),0.63,1.99,3.0,2024,33
1.0,2:35,1.0,10.0,NWE 46,0.0,7.0,Rhamondre Stevenson left tackle for 3 yards (tackle by Chazz Surratt and Quincy Williams),1.99,1.86,3.0,2024,33
1.0,1:53,2.0,7.0,NWE 49,0.0,7.0,Jacoby Brissett pass incomplete deep left intended for Austin Hooper,1.86,1.16,3.0,2024,33
1.0,1:47,3.0,7.0,NWE 49,0.0,7.0,"Jacoby Brissett sacked by and Micheal Clemons for -8 yards and Will McDonald for -8 yards. Penalty on Caedan Wallace: Illegal Formation, 5 yards (declined)",1.16,-0.65,3.0,2024,33
1.0,1:26,4.0,15.0,NWE 41,0.0,7.0,"Bryce Baringer punts 50 yards, fair catch by Xavier Gipson at NYJ-9",-0.65,0.38,3.0,2024,33
1.0,1:19,1.0,10.0,NYJ 9,0.0,7.0,Breece Hall up the middle for 5 yards (tackle by Raekwon McMillan and Anfernee Jennings),-0.38,-0.39,3.0,2024,33
1.0,0:40,2.0,5.0,NYJ 14,0.0,7.0,"Aaron Rodgers pass complete short right to Breece Hall for no gain (tackle by Marcus Jones). Penalty on Tyler Conklin: Offensive Holding, 7 yards (accepted) (no play)",-0.39,-0.93,3.0,2024,33
1.0,0:10,2.0,12.0,NYJ 7,0.0,7.0,Breece Hall right tackle for 6 yards (tackle by Raekwon McMillan and Josh Uche),-0.93,-0.95,3.0,2024,33
2.0,15:00,3.0,6.0,NYJ 13,0.0,7.0,Aaron Rodgers pass complete short left to Allen Lazard for 27 yards (tackle by Keion White),-0.95,1.6,3.0,2024,33
2.0,14:25,1.0,10.0,NYJ 40,0.0,7.0,Aaron Rodgers pass complete short right to Breece Hall for 14 yards (tackle by Jonathan Jones and Deatrich Wise),1.6,2.52,3.0,2024,33
2.0,13:44,1.0,10.0,NWE 46,0.0,7.0,Braelon Allen right tackle for 11 yards (tackle by Raekwon McMillan),2.52,3.25,3.0,2024,33
2.0,13:00,1.0,10.0,NWE 35,0.0,7.0,Braelon Allen right tackle for 7 yards (tackle by Raekwon McMillan),3.25,3.65,3.0,2024,33
2.0,12:18,2.0,3.0,NWE 28,0.0,7.0,Breece Hall up the middle for -2 yards (tackle by Jahlani Tavai),3.65,2.68,3.0,2024,33
2.0,11:37,3.0,5.0,NWE 30,0.0,7.0,Aaron Rodgers pass complete short left to Garrett Wilson for 9 yards (tackle by Christian Gonzalez),2.68,4.17,3.0,2024,33
2.0,10:54,1.0,10.0,NWE 21,0.0,7.0,Breece Hall right end for -7 yards (tackle by Anfernee Jennings),4.17,2.68,3.0,2024,33
2.0,10:12,2.0,17.0,NWE 28,0.0,7.0,Aaron Rodgers pass complete short middle to Tyler Conklin for 22 yards (tackle by Jaylinn Hawkins),2.68,5.83,3.0,2024,33
2.0,9:25,1.0,6.0,NWE 6,0.0,7.0,Breece Hall left guard for 5 yards (tackle by Jaylinn Hawkins and Jonathan Jones),5.83,5.91,3.0,2024,33
2.0,8:38,2.0,1.0,NWE 1,0.0,7.0,Aaron Rodgers pass incomplete short left intended for Tyler Conklin,5.91,5.17,3.0,2024,33
2.0,8:33,3.0,1.0,NWE 1,0.0,13.0,"Breece Hall up the middle for no gain (tackle by Anfernee Jennings) NYJ challenged the runner broke the plane ruling, and the original play was overturned. Breece Hall up the middle for 1 yard, touchdown",5.17,7.0,3.0,2024,33
2.0,8:32,,,NWE 15,0.0,14.0,Greg Zuerlein kicks extra point good,0.0,0.0,3.0,2024,33
2.0,8:32,,,NYJ 35,0.0,14.0,"Penalty on Kyle Dugger: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",0.0,0.0,3.0,2024,33
2.0,8:32,,,NYJ 50,0.0,14.0,"Greg Zuerlein kicks off 44 yards, returned by Jamycal Hasty for 18 yards (tackle by Samuel Eguavoen)",0.0,0.54,3.0,2024,33
2.0,8:29,1.0,10.0,NWE 24,0.0,14.0,Rhamondre Stevenson left guard for 3 yards (tackle by D.J. Reed),0.54,0.4,3.0,2024,33
2.0,7:56,2.0,7.0,NWE 27,0.0,14.0,"Rhamondre Stevenson right guard for 13 yards (tackle by Chazz Surratt). Penalty on Rhamondre Stevenson: Offensive Facemask, 15 yards (accepted)",0.4,0.13,3.0,2024,33
2.0,7:41,2.0,9.0,NWE 25,0.0,14.0,"Jacoby Brissett pass incomplete short right intended for Tyquan Thornton. Penalty on Jamien Sherwood: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.13,1.6,3.0,2024,33
2.0,7:38,1.0,10.0,NWE 40,0.0,14.0,Demario Douglas right end for 9 yards (tackle by Chuck Clark),1.6,2.27,3.0,2024,33
2.0,7:00,2.0,1.0,NWE 49,0.0,14.0,Jacoby Brissett sacked by Chuck Clark for -8 yards,2.27,0.5,3.0,2024,33
2.0,6:09,3.0,9.0,NWE 41,0.0,14.0,"Jacoby Brissett pass incomplete deep left intended for Tyquan Thornton. Penalty on D.J. Reed: Defensive Pass Interference, 34 yards (accepted) (no play)",0.5,3.91,3.0,2024,33
2.0,6:03,1.0,10.0,NYJ 25,0.0,14.0,Jacoby Brissett sacked by Will McDonald for -9 yards,3.91,2.15,3.0,2024,33
2.0,5:24,2.0,19.0,NYJ 34,0.0,14.0,Jacoby Brissett pass complete short right to Antonio Gibson for 1 yard (tackle by Jamien Sherwood),2.15,1.62,3.0,2024,33
2.0,4:42,3.0,18.0,NYJ 33,0.0,14.0,Jacoby Brissett pass complete short left to Antonio Gibson for 7 yards (tackle by Chuck Clark),1.62,1.74,3.0,2024,33
2.0,4:00,4.0,11.0,NYJ 26,3.0,14.0,Joey Slye 44 yard field goal good,1.74,3.0,3.0,2024,33
2.0,3:56,,,NWE 35,3.0,14.0,"Joey Slye kicks off 68 yards, returned by Isaiah Davis for 27 yards (tackle by Kyle Dugger)",0.0,0.54,3.0,2024,33
2.0,3:52,1.0,10.0,NYJ 24,3.0,14.0,Braelon Allen left tackle for 1 yard (tackle by Jeremiah Pharms and Jabrill Peppers),0.54,0.13,3.0,2024,33
2.0,3:10,2.0,9.0,NYJ 25,3.0,14.0,Braelon Allen up the middle for 5 yards (tackle by Davon Godchaux and Daniel Ekuale),0.13,0.1,3.0,2024,33
2.0,2:27,3.0,4.0,NYJ 30,3.0,14.0,"Penalty on Morgan Moses: False Start, 5 yards (accepted) (no play)",0.1,-0.56,3.0,2024,33
2.0,2:04,3.0,9.0,NYJ 25,3.0,14.0,Aaron Rodgers pass complete deep middle to Tyler Conklin for 22 yards (tackle by Marcus Jones),-0.56,2.06,3.0,2024,33
2.0,1:59,1.0,10.0,NYJ 47,3.0,14.0,"Breece Hall left tackle for 9 yards (tackle by Jonathan Jones) Replay Assistant challenged the fumble ruling, and the original play was overturned. Breece Hall left tackle for 8 yards. Breece Hall fumbles, ball out of bounds at NE-45 (forced by Jonathan Jones). Breece Hall fumbles out of bounds",2.06,2.6,3.0,2024,33
2.0,1:34,2.0,2.0,NWE 45,3.0,14.0,Breece Hall up the middle for 2 yards (tackle by Jahlani Tavai and Daniel Ekuale),2.6,2.72,3.0,2024,33
2.0,0:56,1.0,10.0,NWE 43,3.0,14.0,Breece Hall up the middle for 8 yards (tackle by Josh Uche),2.72,3.26,3.0,2024,33
2.0,0:46,,,,,,Timeout #1 by New York Jets,,,3.0,2024,33
2.0,0:46,2.0,2.0,NWE 35,3.0,14.0,"Aaron Rodgers pass incomplete deep right intended for Garrett Wilson. Penalty on Garrett Wilson: Illegal Motion, 5 yards (accepted) (no play)",3.26,2.58,3.0,2024,33
2.0,0:41,2.0,7.0,NWE 40,3.0,14.0,Aaron Rodgers pass complete short right to Braelon Allen for 2 yards (tackle by Josh Uche),2.58,2.15,3.0,2024,33
2.0,0:29,,,,,,Timeout #2 by New York Jets,,,3.0,2024,33
2.0,0:29,3.0,5.0,NWE 38,3.0,14.0,Aaron Rodgers pass complete short right to Mike Williams for 11 yards (tackle by Jonathan Jones),2.15,3.78,3.0,2024,33
2.0,0:24,,,,,,Timeout #3 by New York Jets,,,3.0,2024,33
2.0,0:24,1.0,10.0,NWE 27,3.0,14.0,Aaron Rodgers pass incomplete short right intended for Breece Hall,3.78,3.23,3.0,2024,33
2.0,0:21,2.0,10.0,NWE 27,3.0,14.0,Aaron Rodgers pass incomplete deep middle,3.23,2.54,3.0,2024,33
2.0,0:14,,,,,,Timeout #1 by New England Patriots,,,3.0,2024,33
2.0,0:14,3.0,10.0,NWE 27,3.0,14.0,Aaron Rodgers pass incomplete short left intended for Garrett Wilson,2.54,1.67,3.0,2024,33
2.0,0:11,4.0,10.0,NWE 27,3.0,14.0,Greg Zuerlein 45 yard field goal no good,1.67,-1.27,3.0,2024,33
2.0,0:07,1.0,10.0,NWE 35,3.0,14.0,Jacoby Brissett pass complete short middle to Demario Douglas for 12 yards (tackle by Michael Carter),1.27,2.06,3.0,2024,33
2.0,0:03,,,,,,Timeout #2 by New England Patriots,,,3.0,2024,33
2.0,0:03,1.0,10.0,NWE 47,3.0,14.0,Jacoby Brissett pass incomplete deep left (defended by Tony Adams),2.06,1.52,3.0,2024,33
3.0,15:00,,,NYJ 35,3.0,14.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,33
3.0,15:00,1.0,10.0,NWE 30,3.0,14.0,Rhamondre Stevenson right guard for -1 yards (tackle by Quincy Williams),0.94,0.26,3.0,2024,33
3.0,14:23,2.0,11.0,NWE 29,3.0,14.0,Jacoby Brissett pass complete short middle to Ja'Lynn Polk for 7 yards (tackle by Sauce Gardner),0.26,0.5,3.0,2024,33
3.0,13:46,3.0,4.0,NWE 36,3.0,14.0,Jacoby Brissett pass incomplete short right intended for Demario Douglas (defended by D.J. Reed),0.5,-0.98,3.0,2024,33
3.0,13:41,4.0,4.0,NWE 36,3.0,14.0,"Bryce Baringer punts 51 yards, returned by Xavier Gipson for 21 yards (tackle by Jahlani Tavai)",-0.98,-1.2,3.0,2024,33
3.0,13:28,1.0,10.0,NYJ 34,3.0,14.0,Breece Hall left end for 1 yard (tackle by Raekwon McMillan),1.2,0.79,3.0,2024,33
3.0,12:44,2.0,9.0,NYJ 35,3.0,14.0,Aaron Rodgers scrambles left end for 11 yards (tackle by Keion White),0.79,1.99,3.0,2024,33
3.0,12:10,1.0,10.0,NYJ 46,3.0,14.0,Breece Hall up the middle for 4 yards (tackle by Daniel Ekuale),1.99,1.99,3.0,2024,33
3.0,11:25,2.0,6.0,NYJ 50,3.0,14.0,Braelon Allen left tackle for 5 yards (tackle by Keion White and Jaylinn Hawkins),1.99,1.95,3.0,2024,33
3.0,10:42,3.0,1.0,NWE 45,3.0,14.0,Aaron Rodgers pass complete short right to Jeremy Ruckert for 4 yards (tackle by Kyle Dugger),1.95,2.85,3.0,2024,33
3.0,9:56,,,,,,Timeout #1 by New York Jets,,,3.0,2024,33
3.0,9:56,1.0,10.0,NWE 41,3.0,14.0,Braelon Allen left tackle for 3 yards (tackle by Josh Uche and Deatrich Wise),2.85,2.71,3.0,2024,33
3.0,9:14,2.0,7.0,NWE 38,3.0,14.0,Aaron Rodgers pass complete short middle to Braelon Allen for 4 yards (tackle by Jahlani Tavai),2.71,2.54,3.0,2024,33
3.0,8:29,3.0,3.0,NWE 34,3.0,14.0,Aaron Rodgers pass complete deep right to Tyler Conklin for 18 yards (tackle by Raekwon McMillan),2.54,4.51,3.0,2024,33
3.0,7:40,,,,,,Timeout #2 by New York Jets,,,3.0,2024,33
3.0,7:40,1.0,10.0,NWE 16,3.0,14.0,Aaron Rodgers pass complete short right to Breece Hall for 6 yards (tackle by Jahlani Tavai and Raekwon McMillan),4.51,4.97,3.0,2024,33
3.0,7:05,2.0,4.0,NWE 10,3.0,14.0,Aaron Rodgers pass complete short left to Garrett Wilson for 8 yards (tackle by Marcus Jones),4.97,6.74,3.0,2024,33
3.0,6:24,1.0,2.0,NWE 2,3.0,20.0,"Aaron Rodgers pass complete short right to Garrett Wilson for 2 yards, touchdown",6.74,7.0,3.0,2024,33
3.0,6:18,,,NWE 15,3.0,21.0,Greg Zuerlein kicks extra point good,0.0,0.0,3.0,2024,33
3.0,6:18,,,NYJ 35,3.0,21.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,33
3.0,6:18,1.0,10.0,NWE 30,3.0,21.0,Jacoby Brissett pass complete deep right to Demario Douglas for 22 yards,0.94,2.39,3.0,2024,33
3.0,5:43,1.0,10.0,NYJ 48,3.0,21.0,Jacoby Brissett pass complete short right to Austin Hooper for 19 yards (tackle by Tony Adams and Chuck Clark),2.39,3.64,3.0,2024,33
3.0,5:01,1.0,10.0,NYJ 29,3.0,21.0,Jacoby Brissett pass complete short right to Demario Douglas for 6 yards (tackle by Jamien Sherwood),3.64,3.91,3.0,2024,33
3.0,4:35,2.0,4.0,NYJ 23,3.0,21.0,Jacoby Brissett pass incomplete deep right intended for Tyquan Thornton,3.91,3.2,3.0,2024,33
3.0,4:30,3.0,4.0,NYJ 23,3.0,21.0,"Jacoby Brissett pass incomplete short middle intended for Demario Douglas. Penalty on David Andrews: Offensive Holding, 10 yards (offset) . Penalty on Michael Carter: Defensive Pass Interference, 15 yards (offset) (no play)",3.2,3.2,3.0,2024,33
3.0,4:26,3.0,4.0,NYJ 23,3.0,21.0,"Jacoby Brissett pass complete deep left to Hunter Henry for no gain (tackle by D.J. Reed). Penalty on Caedan Wallace: Offensive Holding, 10 yards (accepted) (no play)",3.2,1.88,3.0,2024,33
3.0,4:03,3.0,14.0,NYJ 33,3.0,21.0,"Jacoby Brissett sacked by Quinnen Williams for -12 yards. Penalty on Caedan Wallace: Offensive Holding, 10 yards (declined)",1.88,0.27,3.0,2024,33
3.0,3:52,4.0,26.0,NYJ 45,3.0,21.0,"Bryce Baringer punts 36 yards, returned by Xavier Gipson for 3 yards (tackle by Joe Cardona)",0.27,0.35,3.0,2024,33
3.0,3:43,1.0,10.0,NYJ 12,3.0,21.0,Braelon Allen left guard for 1 yard (tackle by Davon Godchaux and Joe Giles-Harris),-0.35,-0.7,3.0,2024,33
3.0,3:01,2.0,9.0,NYJ 13,3.0,21.0,Aaron Rodgers pass complete short left to Braelon Allen for 7 yards (tackle by Joe Giles-Harris),-0.7,-0.48,3.0,2024,33
3.0,2:13,3.0,2.0,NYJ 20,3.0,21.0,"Aaron Rodgers pass complete deep left to Tyler Conklin for 22 yards (tackle by Kyle Dugger). Penalty on Josh Uche: Roughing the Passer, 15 yards (accepted)",-0.48,2.72,3.0,2024,33
3.0,1:43,1.0,10.0,NWE 43,3.0,21.0,Aaron Rodgers pass complete short middle to Tyler Conklin for 9 yards (tackle by Jahlani Tavai),2.72,3.39,3.0,2024,33
3.0,1:03,2.0,1.0,NWE 34,3.0,21.0,Isaiah Davis left tackle for 3 yards (tackle by Davon Godchaux),3.39,3.51,3.0,2024,33
3.0,0:20,1.0,10.0,NWE 31,3.0,21.0,"Aaron Rodgers pass incomplete short left intended for Garrett Wilson. Penalty on John Simpson: Unnecessary Roughness / Offense, 15 yards (accepted)",3.51,0.94,3.0,2024,33
3.0,0:17,2.0,25.0,NWE 46,3.0,21.0,Aaron Rodgers sacked by Josh Uche for -8 yards,0.94,-0.76,3.0,2024,33
4.0,15:00,3.0,33.0,NYJ 46,3.0,21.0,Aaron Rodgers pass complete short right to Xavier Gipson for 5 yards (tackle by Keion White),-0.76,0.0,3.0,2024,33
4.0,14:22,4.0,28.0,NWE 49,3.0,21.0,"Thomas Morstead punts 37 yards, returned by Marcus Jones for 4 yards (tackle by Thomas Hennessy). Penalty on Irvin Charles: Unnecessary Roughness / Offense, 15 yards (accepted)",0.0,-1.0,3.0,2024,33
4.0,14:11,1.0,10.0,NWE 31,3.0,21.0,"Rhamondre Stevenson up the middle for 4 yards. Rhamondre Stevenson fumbles (forced by Chuck Clark), recovered by Chuck Clark at NE-37",1.0,-3.12,3.0,2024,33
4.0,14:02,1.0,10.0,NWE 37,3.0,21.0,Isaiah Davis up the middle for 4 yards (tackle by Davon Godchaux and Eric Johnson),3.12,3.11,3.0,2024,33
4.0,13:22,2.0,6.0,NWE 33,3.0,21.0,Isaiah Davis left end for -1 yards (tackle by Anfernee Jennings),3.11,2.28,3.0,2024,33
4.0,12:35,3.0,7.0,NWE 34,3.0,21.0,Aaron Rodgers pass complete short left to Mike Williams for 18 yards (tackle by Jonathan Jones),2.28,4.51,3.0,2024,33
4.0,11:49,1.0,10.0,NWE 16,3.0,21.0,Aaron Rodgers scrambles right end for 2 yards (tackle by Keion White),4.51,4.21,3.0,2024,33
4.0,11:02,2.0,8.0,NWE 14,3.0,21.0,Braelon Allen right tackle for 5 yards (tackle by Jeremiah Pharms),4.21,4.39,3.0,2024,33
4.0,10:25,3.0,3.0,NWE 9,3.0,21.0,Aaron Rodgers pass incomplete short right intended for Mike Williams (defended by Jonathan Jones),4.39,2.93,3.0,2024,33
4.0,10:19,4.0,3.0,NWE 9,3.0,24.0,Greg Zuerlein 28 yard field goal good,2.93,3.0,3.0,2024,33
4.0,10:16,,,NYJ 35,3.0,24.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,33
4.0,10:16,1.0,10.0,NWE 30,3.0,24.0,Jacoby Brissett pass complete short right to Demario Douglas for 8 yards (tackle by Jamien Sherwood),0.94,1.47,3.0,2024,33
4.0,9:56,2.0,2.0,NWE 38,3.0,24.0,Antonio Gibson left tackle for 7 yards (tackle by Takkarist McKinley),1.47,1.93,3.0,2024,33
4.0,9:35,1.0,10.0,NWE 45,3.0,24.0,Antonio Gibson left tackle for 2 yards (tackle by Quincy Williams),1.93,1.65,3.0,2024,33
4.0,9:07,2.0,8.0,NWE 47,3.0,24.0,Jacoby Brissett pass incomplete short right intended for Hunter Henry,1.65,0.96,3.0,2024,33
4.0,9:04,3.0,8.0,NWE 47,3.0,24.0,Jacoby Brissett sacked by Javon Kinlaw for -9 yards,0.96,-0.85,3.0,2024,33
4.0,8:29,4.0,17.0,NWE 38,3.0,24.0,"Bryce Baringer punts 51 yards, returned by Xavier Gipson for -2 yards (tackle by Brenden Schooler)",-0.85,0.38,3.0,2024,33
4.0,8:17,1.0,10.0,NYJ 9,3.0,24.0,Aaron Rodgers pass complete short left to Garrett Wilson for 8 yards (tackle by Christian Gonzalez),-0.38,-0.02,3.0,2024,33
4.0,7:30,2.0,2.0,NYJ 17,3.0,24.0,Breece Hall left tackle for 1 yard (tackle by Daniel Ekuale),-0.02,-0.37,3.0,2024,33
4.0,6:46,3.0,1.0,NYJ 18,3.0,24.0,Breece Hall right guard for 2 yards (tackle by Davon Godchaux and Raekwon McMillan),-0.37,0.28,3.0,2024,33
4.0,6:03,1.0,10.0,NYJ 20,3.0,24.0,Breece Hall left end for 3 yards (tackle by Anfernee Jennings and Jahlani Tavai),0.28,0.14,3.0,2024,33
4.0,5:22,2.0,7.0,NYJ 23,3.0,24.0,Braelon Allen right guard for 1 yard (tackle by Keion White),0.14,-0.43,3.0,2024,33
4.0,4:37,3.0,6.0,NYJ 24,3.0,24.0,Aaron Rodgers pass incomplete deep right intended for Garrett Wilson,-0.43,-1.77,3.0,2024,33
4.0,4:32,4.0,6.0,NYJ 24,3.0,24.0,"Thomas Morstead punts 42 yards, returned by Marcus Jones for 8 yards (tackle by Irvin Charles and Brandin Echols)",-1.77,-1.73,3.0,2024,33
4.0,4:24,1.0,10.0,NWE 42,3.0,24.0,Drake Maye pass incomplete short left intended for Austin Hooper (defended by Michael Carter),1.73,1.19,3.0,2024,33
4.0,4:21,2.0,10.0,NWE 42,3.0,24.0,Antonio Gibson left guard for 7 yards (tackle by Quincy Williams and Chuck Clark),1.19,1.42,3.0,2024,33
4.0,3:56,3.0,3.0,NWE 49,3.0,24.0,Drake Maye scrambles left tackle for 1 yard (tackle by Jamien Sherwood and Braiden McGregor),1.42,-0.06,3.0,2024,33
4.0,3:25,4.0,2.0,NWE 50,3.0,24.0,Antonio Gibson up the middle for 5 yards (tackle by Solomon Thomas),-0.06,2.59,3.0,2024,33
4.0,3:05,1.0,10.0,NYJ 45,3.0,24.0,Drake Maye pass complete short right to Antonio Gibson for no gain (tackle by Quincy Williams),2.59,2.04,3.0,2024,33
4.0,2:36,2.0,10.0,NYJ 45,3.0,24.0,Antonio Gibson right guard for 8 yards (tackle by Quincy Williams),2.04,2.41,3.0,2024,33
4.0,2:07,3.0,2.0,NYJ 37,3.0,24.0,Drake Maye pass complete short right to Kayshon Boutte for 2 yards (tackle by Sauce Gardner),2.41,3.25,3.0,2024,33
4.0,2:00,1.0,10.0,NYJ 35,3.0,24.0,Drake Maye sacked by and Will McDonald for -8 yards and Leonard Taylor for -8 yards,3.25,1.62,3.0,2024,33
4.0,1:31,2.0,18.0,NYJ 43,3.0,24.0,Jamycal Hasty left guard for 5 yards (tackle by Quincy Williams and Leonard Taylor),1.62,1.62,3.0,2024,33
4.0,1:06,3.0,13.0,NYJ 38,3.0,24.0,Drake Maye pass complete short right to Demario Douglas for 5 yards (tackle by Sauce Gardner),1.62,1.15,3.0,2024,33
4.0,1:00,4.0,8.0,NYJ 33,3.0,24.0,Drake Maye scrambles left end for 11 yards (tackle by D.J. Reed),1.15,4.11,3.0,2024,33
4.0,0:53,1.0,10.0,NYJ 22,3.0,24.0,Drake Maye pass incomplete short left intended for Austin Hooper,4.11,3.56,3.0,2024,33
4.0,0:50,2.0,10.0,NYJ 22,3.0,24.0,Drake Maye pass incomplete short right intended for Kayshon Boutte,3.56,2.87,3.0,2024,33
4.0,0:46,3.0,10.0,NYJ 22,3.0,24.0,Drake Maye pass incomplete short right intended for Demario Douglas,2.87,1.99,3.0,2024,33
4.0,0:43,4.0,10.0,NYJ 22,3.0,24.0,Drake Maye pass complete short middle to Demario Douglas for 15 yards (tackle by Tony Adams),1.99,5.6,3.0,2024,33
4.0,0:20,1.0,7.0,NYJ 7,3.0,24.0,Drake Maye sacked by and Takkarist McKinley for -5 yards and Solomon Thomas for -5 yards,5.6,3.86,3.0,2024,33
