Quarter,Time,Down,ToGo,Location,DET,ARI,Detail,EPB,EPA,week,year,game_id
2.0,2:00,3.0,12.0,ARI 50,13.0,7.0,Jahmyr Gibbs up the middle for 14 yards (tackle by Justin Jones and Jalen Thompson),0.89,3.18,3.0,2024,43
2.0,1:20,1.0,10.0,ARI 36,13.0,7.0,Jahmyr Gibbs left tackle for 6 yards (tackle by Owen Pappoe and Jalen Thompson),3.18,3.52,3.0,2024,43
2.0,0:44,2.0,3.0,ARI 30,13.0,7.0,Jared Goff pass complete short right to Jameson Williams for 9 yards (tackle by Garrett Williams),3.52,4.17,3.0,2024,43
2.0,0:36,,,,,,Timeout #1 by Detroit Lions,,,3.0,2024,43
2.0,0:36,1.0,10.0,ARI 21,19.0,7.0,"Jared Goff pass complete short right to Amon-Ra St. Brown for 1 yard, lateral to Jahmyr Gibbs for 20 yards, touchdown, touchdown",4.17,7.0,3.0,2024,43
2.0,0:29,,,ARI 15,20.0,7.0,Jake Bates kicks extra point good,0.0,0.0,3.0,2024,43
2.0,0:29,,,DET 35,20.0,7.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,43
2.0,0:23,1.0,10.0,ARI 30,20.0,7.0,"Kyler Murray pass complete short middle to Michael Wilson for 9 yards (tackle by Brian Branch). Penalty on Jalen Reeves-Maybin: Unnecessary Roughness / Defense, 15 yards (accepted)",0.94,2.52,3.0,2024,43
2.0,0:23,1.0,10.0,DET 46,20.0,7.0,Kyler Murray pass complete short right to Trey McBride for 9 yards (tackle by Kerby Joseph and Malcolm Rodriguez),2.52,3.19,3.0,2024,43
2.0,0:17,,,,,,Timeout #2 by Detroit Lions,,,3.0,2024,43
2.0,0:17,2.0,1.0,DET 37,20.0,7.0,Kyler Murray pass complete short right to Marvin Harrison for 7 yards (tackle by Carlton Davis),3.19,3.58,3.0,2024,43
2.0,0:13,1.0,10.0,DET 30,20.0,7.0,Kyler Murray pass incomplete deep left intended for Marvin Harrison (defended by Terrion Arnold),3.58,3.03,3.0,2024,43
2.0,0:07,2.0,10.0,DET 30,20.0,7.0,Emari Demercado up the middle for 6 yards (tackle by Aidan Hutchinson),3.03,3.14,3.0,2024,43
2.0,0:02,,,,,,Timeout #1 by Arizona Cardinals,,,3.0,2024,43
2.0,0:02,3.0,4.0,DET 24,20.0,10.0,Matt Prater 42 yard field goal good,3.14,3.0,3.0,2024,43
3.0,15:00,,,DET 35,20.0,10.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,43
3.0,15:00,1.0,10.0,ARI 30,20.0,10.0,Kyler Murray pass complete short left to Greg Dortch for 13 yards (tackle by Jalen Reeves-Maybin),0.94,1.8,3.0,2024,43
3.0,14:27,1.0,10.0,ARI 43,20.0,10.0,Kyler Murray pass incomplete short right intended for Trey McBride,1.8,1.25,3.0,2024,43
3.0,14:16,2.0,10.0,ARI 43,20.0,10.0,James Conner up the middle for 4 yards (tackle by D.J. Reader and Levi Onwuzurike),1.25,1.09,3.0,2024,43
3.0,13:35,3.0,6.0,ARI 47,20.0,10.0,"Kyler Murray pass incomplete short right intended for Marvin Harrison. Penalty on Carlton Davis: Defensive Pass Interference, 10 yards (accepted) (no play)",1.09,2.72,3.0,2024,43
3.0,13:32,1.0,10.0,DET 43,20.0,10.0,James Conner left end for 7 yards (tackle by Malcolm Rodriguez and Brian Branch),2.72,3.12,3.0,2024,43
