Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA,week,year,game_id
1.0,0:38,2.0,10.0,JAX 41,0.0,13.0,Tank Bigsby left tackle for 7 yards (tackle by Dorian Williams and Casey Toohill),1.12,1.36,3.0,2024,47
2.0,15:00,3.0,3.0,JAX 48,0.0,13.0,Trevor Lawrence pass complete short right to Brian Thomas for 12 yards (tackle by Baylon Spector and Cameron Lewis),1.36,2.92,3.0,2024,47
2.0,14:21,1.0,10.0,BUF 40,0.0,13.0,Travis Etienne left guard for 2 yards (tackle by Dorian Williams),2.92,2.64,3.0,2024,47
2.0,13:42,2.0,8.0,BUF 38,0.0,13.0,Trevor Lawrence pass complete short right to Brian Thomas for 6 yards (tackle by Christian Benford),2.64,2.74,3.0,2024,47
2.0,12:58,3.0,2.0,BUF 32,0.0,13.0,Trevor Lawrence pass complete short right to Christian Kirk for 8 yards,2.74,3.97,3.0,2024,47
2.0,12:19,1.0,10.0,BUF 24,0.0,13.0,"Tank Bigsby right end for no gain (tackle by Dorian Williams). Penalty on DaQuan Jones: Defensive Offside, 5 yards (accepted) (no play)",3.97,4.75,3.0,2024,47
2.0,11:57,1.0,5.0,BUF 19,0.0,13.0,"Tank Bigsby up the middle for no gain (tackle by Cameron Lewis). Penalty on Cam Robinson: Illegal Formation, 5 yards (accepted) (no play)",4.75,3.97,3.0,2024,47
2.0,11:35,1.0,10.0,BUF 24,0.0,13.0,Trevor Lawrence pass complete short left to Luke Farrell for 1 yard (tackle by Christian Benford),3.97,3.57,3.0,2024,47
2.0,10:53,2.0,9.0,BUF 23,0.0,13.0,Trevor Lawrence pass incomplete deep left intended for Travis Etienne,3.57,2.87,3.0,2024,47
2.0,10:48,3.0,9.0,BUF 23,0.0,13.0,Trevor Lawrence pass incomplete deep left intended for Gabriel Davis,2.87,1.93,3.0,2024,47
2.0,10:43,4.0,9.0,BUF 23,3.0,13.0,Cam Little 41 yard field goal good,1.93,3.0,3.0,2024,47
2.0,10:39,,,JAX 35,3.0,13.0,"Cam Little kicks off 65 yards, returned by Ty Johnson for 32 yards (tackle by Caleb Johnson)",0.0,1.07,3.0,2024,47
2.0,10:33,1.0,10.0,BUF 32,3.0,13.0,Josh Allen pass complete short right to Dawson Knox for 7 yards (tackle by Andre Cisco),1.07,1.47,3.0,2024,47
2.0,9:51,2.0,3.0,BUF 39,3.0,13.0,James Cook left guard for 2 yards (tackle by Chad Muma and Jeremiah Ledbetter),1.47,1.03,3.0,2024,47
2.0,9:13,3.0,1.0,BUF 41,3.0,13.0,Josh Allen pass complete short right to James Cook for 8 yards (tackle by Yasir Abdullah),1.03,2.19,3.0,2024,47
2.0,8:32,1.0,10.0,BUF 49,3.0,13.0,Josh Allen pass complete short left to James Cook for 17 yards (tackle by Montaric Brown and Chad Muma),2.19,3.31,3.0,2024,47
2.0,7:50,1.0,10.0,JAX 34,3.0,13.0,Ray Davis up the middle for -1 yards (tackle by Travon Walker),3.31,2.64,3.0,2024,47
2.0,7:13,2.0,11.0,JAX 35,3.0,13.0,Josh Allen pass incomplete deep right intended for Mack Hollins,2.64,1.95,3.0,2024,47
2.0,7:08,3.0,11.0,JAX 35,3.0,13.0,Josh Allen scrambles up the middle for 11 yards (tackle by Foyesade Oluokun and Christian Braswell),1.95,3.97,3.0,2024,47
2.0,6:25,1.0,10.0,JAX 24,3.0,19.0,"Josh Allen pass complete deep right to Keon Coleman for 24 yards, touchdown",3.97,7.0,3.0,2024,47
2.0,6:19,,,JAX 15,3.0,20.0,Tyler Bass kicks extra point good,0.0,0.0,3.0,2024,47
2.0,6:19,,,BUF 35,3.0,20.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,47
2.0,6:19,1.0,10.0,JAX 30,3.0,20.0,Trevor Lawrence pass complete short right to Brenton Strange for 6 yards (tackle by Dorian Williams and Rasul Douglas),0.94,1.2,3.0,2024,47
2.0,5:47,2.0,4.0,JAX 36,3.0,20.0,Travis Etienne up the middle for 3 yards (tackle by Gregory Rousseau),1.2,0.89,3.0,2024,47
2.0,5:09,3.0,1.0,JAX 39,3.0,20.0,Trevor Lawrence pass incomplete short left,0.89,-0.78,3.0,2024,47
2.0,5:03,4.0,1.0,JAX 39,3.0,20.0,Trevor Lawrence up the middle for 2 yards (tackle by Dorian Williams and DaQuan Jones),-0.78,1.66,3.0,2024,47
2.0,4:28,1.0,10.0,JAX 41,3.0,20.0,Trevor Lawrence pass deep right intended for Brian Thomas is intercepted by Damar Hamlin at BUF-40 and returned for 19 yards (tackle by Luke Farrell),1.66,-2.85,3.0,2024,47
2.0,4:13,1.0,10.0,JAX 41,3.0,20.0,James Cook right guard for 5 yards (tackle by Antonio Johnson and Travon Walker),2.85,2.98,3.0,2024,47
2.0,3:31,2.0,5.0,JAX 36,3.0,20.0,Josh Allen pass complete short left to Khalil Shakir for 8 yards (tackle by Antonio Johnson),2.98,3.71,3.0,2024,47
2.0,3:00,1.0,10.0,JAX 28,3.0,20.0,Josh Allen pass incomplete deep left intended for James Cook,3.71,3.17,3.0,2024,47
2.0,2:55,2.0,10.0,JAX 28,3.0,20.0,Josh Allen pass complete short right to Ray Davis for 1 yard (tackle by Chad Muma),3.17,2.61,3.0,2024,47
2.0,2:11,3.0,9.0,JAX 27,3.0,26.0,"Josh Allen pass complete short right to Khalil Shakir for 27 yards, touchdown",2.61,7.0,3.0,2024,47
2.0,2:04,,,JAX 15,3.0,27.0,Tyler Bass kicks extra point good,0.0,0.0,3.0,2024,47
2.0,2:04,,,BUF 35,3.0,27.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,47
2.0,2:04,1.0,10.0,JAX 30,3.0,27.0,Trevor Lawrence pass complete short left to Parker Washington for 6 yards (tackle by Cameron Lewis),0.94,1.2,3.0,2024,47
2.0,1:58,2.0,4.0,JAX 36,3.0,27.0,Trevor Lawrence pass complete short middle to Brian Thomas for 5 yards (tackle by Damar Hamlin),1.2,1.66,3.0,2024,47
2.0,1:39,1.0,10.0,JAX 41,3.0,27.0,Trevor Lawrence pass incomplete short middle intended for Travis Etienne,1.66,1.12,3.0,2024,47
2.0,1:35,2.0,10.0,JAX 41,3.0,27.0,Trevor Lawrence pass incomplete short left intended for Brenton Strange,1.12,0.43,3.0,2024,47
2.0,1:31,3.0,10.0,JAX 41,3.0,27.0,Trevor Lawrence sacked by Ja'Marcus Ingram for -8 yards,0.43,-1.18,3.0,2024,47
2.0,1:25,,,,,,Timeout #2 by Buffalo Bills,,,3.0,2024,47
2.0,1:25,4.0,18.0,JAX 33,3.0,27.0,"Logan Cooke punts 50 yards, returned by Brandon Codrington for 19 yards (tackle by Ventrell Miller)",-1.18,-1.33,3.0,2024,47
2.0,1:12,1.0,10.0,BUF 36,3.0,27.0,"intended for Khalil Shakir. Penalty on Travon Walker: Defensive Offside, 5 yards (accepted) (no play)",1.33,2.06,3.0,2024,47
2.0,1:04,1.0,5.0,BUF 41,3.0,27.0,Josh Allen pass complete short middle to Ty Johnson for 8 yards (tackle by Antonio Johnson and Christian Braswell),2.06,2.19,3.0,2024,47
2.0,0:46,1.0,10.0,BUF 49,3.0,27.0,Josh Allen pass incomplete short right,2.19,1.65,3.0,2024,47
2.0,0:41,2.0,10.0,BUF 49,3.0,27.0,"Josh Allen pass incomplete deep left intended for Marquez Valdes-Scantling. Penalty on Arik Armstead: Defensive Offside, 5 yards (accepted) (no play)",1.65,2.32,3.0,2024,47
2.0,0:36,2.0,5.0,JAX 46,3.0,27.0,"Josh Allen pass complete short middle to Khalil Shakir for 8 yards (tackle by Devin Lloyd and Daniel Thomas). Penalty on Daniel Thomas: Unnecessary Roughness / Defense, 15 yards (accepted)",2.32,4.04,3.0,2024,47
2.0,0:32,1.0,10.0,JAX 23,3.0,27.0,Josh Allen pass complete short left to Dalton Kincaid for 7 yards (tackle by Christian Braswell and Montaric Brown),4.04,4.56,3.0,2024,47
2.0,0:24,,,,,,Timeout #3 by Buffalo Bills,,,3.0,2024,47
2.0,0:24,2.0,3.0,JAX 16,3.0,33.0,"Josh Allen pass complete deep left to Ty Johnson for 16 yards, touchdown",4.56,7.0,3.0,2024,47
2.0,0:19,,,JAX 15,3.0,34.0,Tyler Bass kicks extra point good,0.0,0.0,3.0,2024,47
2.0,0:19,,,BUF 35,3.0,34.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,47
2.0,0:19,1.0,10.0,JAX 30,3.0,34.0,Trevor Lawrence pass incomplete short left intended for Gabriel Davis,0.94,0.39,3.0,2024,47
2.0,0:14,2.0,10.0,JAX 30,3.0,34.0,Trevor Lawrence pass complete short middle to Travis Etienne for 8 yards (tackle by Baylon Spector and Cameron Lewis),0.39,0.76,3.0,2024,47
2.0,0:08,,,,,,Timeout #1 by Jacksonville Jaguars,,,3.0,2024,47
2.0,0:08,3.0,2.0,JAX 38,3.0,34.0,Trevor Lawrence pass incomplete deep middle intended for Brenton Strange,0.76,-0.85,3.0,2024,47
2.0,0:02,4.0,2.0,JAX 38,3.0,34.0,Trevor Lawrence pass incomplete short right,-0.85,1.47,3.0,2024,47
3.0,15:00,,,BUF 35,3.0,34.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,47
3.0,15:00,1.0,10.0,JAX 30,3.0,34.0,Travis Etienne left guard for 4 yards (tackle by Rasul Douglas),0.94,0.93,3.0,2024,47
3.0,14:22,2.0,6.0,JAX 34,3.0,34.0,Trevor Lawrence pass complete deep left to Christian Kirk for 18 yards (tackle by Baylon Spector),0.93,2.39,3.0,2024,47
3.0,13:40,1.0,10.0,BUF 48,3.0,34.0,Travis Etienne right guard for 4 yards (tackle by Ed Oliver),2.39,2.39,3.0,2024,47
3.0,13:00,2.0,6.0,BUF 44,3.0,34.0,Trevor Lawrence pass incomplete short left intended for Luke Farrell,2.39,1.69,3.0,2024,47
3.0,12:58,3.0,6.0,BUF 44,3.0,34.0,Trevor Lawrence pass complete short left to Gabriel Davis for 5 yards (tackle by Baylon Spector and Dorian Williams),1.69,0.66,3.0,2024,47
3.0,12:22,4.0,1.0,BUF 39,3.0,34.0,Tank Bigsby right end for 2 yards (tackle by Christian Benford),0.66,3.12,3.0,2024,47
3.0,11:41,1.0,10.0,BUF 37,3.0,34.0,"Trevor Lawrence pass complete deep middle to Christian Kirk for 24 yards (tackle by Damar Hamlin and Cameron Lewis). Penalty on Damar Hamlin: Unnecessary Roughness / Defense, 7 yards (accepted)",3.12,5.83,3.0,2024,47
3.0,11:20,1.0,6.0,BUF 6,9.0,34.0,"Trevor Lawrence pass complete short left to Brenton Strange for 6 yards, touchdown",5.83,7.0,3.0,2024,47
3.0,11:15,,,BUF 15,10.0,34.0,Cam Little kicks extra point good,0.0,0.0,3.0,2024,47
3.0,11:15,,,JAX 35,10.0,34.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,47
3.0,11:15,1.0,10.0,BUF 30,10.0,34.0,James Cook left end for 1 yard (tackle by Montaric Brown),0.94,0.53,3.0,2024,47
3.0,10:37,2.0,9.0,BUF 31,10.0,34.0,Josh Allen pass complete short left to Mack Hollins for 16 yards (tackle by Montaric Brown),0.53,2.06,3.0,2024,47
3.0,9:58,1.0,10.0,BUF 47,10.0,34.0,Ray Davis right end for 3 yards (tackle by Travon Walker and Ronald Darby),2.06,1.92,3.0,2024,47
3.0,9:21,2.0,7.0,BUF 50,10.0,34.0,Josh Allen scrambles right end for 13 yards (tackle by Chad Muma),1.92,3.12,3.0,2024,47
3.0,8:44,1.0,10.0,JAX 37,10.0,34.0,James Cook left end for 13 yards (tackle by Antonio Johnson and Chad Muma),3.12,3.97,3.0,2024,47
3.0,8:02,1.0,10.0,JAX 24,10.0,34.0,James Cook right end for 6 yards (tackle by Ventrell Miller),3.97,4.29,3.0,2024,47
3.0,7:25,2.0,4.0,JAX 18,10.0,34.0,Josh Allen scrambles left end for 6 yards (tackle by Ventrell Miller and Yasir Abdullah),4.29,4.78,3.0,2024,47
3.0,6:41,1.0,10.0,JAX 12,10.0,34.0,James Cook right guard for no gain (tackle by Tyler Lacy and Josh Hines-Allen),4.78,4.1,3.0,2024,47
3.0,5:57,2.0,10.0,JAX 12,10.0,34.0,Josh Allen scrambles right end for 3 yards (tackle by Ronald Darby),4.1,3.7,3.0,2024,47
3.0,5:13,3.0,7.0,JAX 9,10.0,34.0,Josh Allen pass incomplete short middle intended for Dalton Kincaid (defended by Ventrell Miller),3.7,2.83,3.0,2024,47
3.0,5:06,4.0,7.0,JAX 9,10.0,37.0,Tyler Bass 27 yard field goal good,2.83,3.0,3.0,2024,47
3.0,5:03,,,BUF 35,10.0,37.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,47
3.0,5:03,1.0,10.0,JAX 30,10.0,37.0,Travis Etienne up the middle for 9 yards (tackle by Dorian Williams),0.94,1.61,3.0,2024,47
3.0,4:30,2.0,1.0,JAX 39,10.0,37.0,Trevor Lawrence pass complete short left to Christian Kirk for 10 yards (tackle by Cameron Lewis),1.61,2.19,3.0,2024,47
3.0,3:54,1.0,10.0,JAX 49,10.0,37.0,Trevor Lawrence sacked by A.J. Epenesa for -10 yards,2.19,0.3,3.0,2024,47
3.0,3:10,2.0,20.0,JAX 39,10.0,37.0,Trevor Lawrence pass complete short right to Parker Washington for 12 yards (tackle by Cameron Lewis),0.3,1.22,3.0,2024,47
3.0,2:27,3.0,8.0,BUF 49,10.0,37.0,Trevor Lawrence pass complete short middle to Christian Kirk for 7 yards (tackle by Cameron Lewis),1.22,0.46,3.0,2024,47
3.0,1:47,4.0,1.0,BUF 42,10.0,37.0,Travis Etienne up the middle for 3 yards (tackle by Ed Oliver),0.46,2.98,3.0,2024,47
3.0,1:05,1.0,10.0,BUF 39,10.0,37.0,Trevor Lawrence pass incomplete short left intended for Brenton Strange,2.98,2.44,3.0,2024,47
3.0,1:01,,,,,,Timeout #1 by Buffalo Bills,,,3.0,2024,47
3.0,1:01,2.0,10.0,BUF 39,10.0,37.0,Trevor Lawrence pass complete short middle to Gabriel Davis for 13 yards (tackle by Rasul Douglas),2.44,3.84,3.0,2024,47
3.0,0:23,1.0,10.0,BUF 26,10.0,37.0,Trevor Lawrence pass complete short right to Brian Thomas for 16 yards (tackle by Taylor Rapp and Christian Benford),3.84,4.91,3.0,2024,47
4.0,15:00,1.0,10.0,BUF 10,10.0,37.0,Travis Etienne left guard for 3 yards (tackle by Dorian Williams),4.91,4.76,3.0,2024,47
4.0,14:24,2.0,7.0,BUF 7,10.0,37.0,"Penalty on Walker Little: False Start, 5 yards (accepted) (no play)",4.76,3.86,3.0,2024,47
4.0,14:24,2.0,12.0,BUF 12,10.0,37.0,Trevor Lawrence pass incomplete short middle intended for Gabriel Davis (defended by Damar Hamlin),3.86,3.1,3.0,2024,47
4.0,14:20,3.0,12.0,BUF 12,10.0,37.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk (defended by Ja'Marcus Ingram),3.1,2.63,3.0,2024,47
4.0,14:13,4.0,12.0,BUF 12,10.0,37.0,"Penalty on Walker Little: False Start, 5 yards (accepted) (no play)",2.63,2.31,3.0,2024,47
4.0,14:13,4.0,17.0,BUF 17,10.0,37.0,Trevor Lawrence sacked by Von Miller for -10 yards,2.31,-0.74,3.0,2024,47
4.0,14:09,1.0,10.0,BUF 27,10.0,37.0,James Cook left tackle for -1 yards (tackle by Jeremiah Ledbetter),0.74,0.06,3.0,2024,47
4.0,13:31,2.0,11.0,BUF 26,10.0,37.0,Ray Davis left tackle for 10 yards (tackle by Devin Lloyd and Ventrell Miller),0.06,0.7,3.0,2024,47
4.0,12:51,3.0,1.0,BUF 36,10.0,37.0,Ray Davis right tackle for -2 yards (tackle by Ronald Darby and Andre Cisco),0.7,-1.11,3.0,2024,47
4.0,12:02,,,,,,Timeout #2 by Buffalo Bills,,,3.0,2024,47
4.0,12:02,4.0,3.0,BUF 34,10.0,37.0,"Sam Martin punts 49 yards, fair catch by Devin Duvernay at JAC-17. Penalty on Ja'Marcus Ingram: Unnecessary Roughness / Offense, 15 yards (accepted)",-1.11,-1.07,3.0,2024,47
4.0,11:55,1.0,10.0,JAX 32,10.0,37.0,Trevor Lawrence sacked by Casey Toohill for -8 yards,1.07,-0.55,3.0,2024,47
4.0,11:26,2.0,18.0,JAX 24,10.0,37.0,Trevor Lawrence pass complete short middle to Travis Etienne for 1 yard (tackle by Dorian Williams),-0.55,-1.09,3.0,2024,47
4.0,10:50,3.0,17.0,JAX 25,10.0,37.0,Trevor Lawrence pass complete short middle to Travis Etienne for 7 yards (tackle by Damar Hamlin),-1.09,-1.24,3.0,2024,47
4.0,10:04,,,,,,Timeout #1 by Jacksonville Jaguars,,,3.0,2024,47
4.0,10:04,4.0,10.0,JAX 32,10.0,37.0,Trevor Lawrence pass incomplete short left intended for Brian Thomas,-1.24,-3.45,3.0,2024,47
4.0,9:58,1.0,10.0,JAX 32,10.0,37.0,"Penalty on Reggie Gilliam: False Start, 5 yards (accepted) (no play)",3.45,3.12,3.0,2024,47
4.0,9:58,1.0,15.0,JAX 37,10.0,37.0,Ray Davis left end for 2 yards (tackle by Yasir Abdullah),3.12,2.5,3.0,2024,47
4.0,9:14,2.0,13.0,JAX 35,10.0,37.0,Ray Davis up the middle for 7 yards (tackle by Ventrell Miller),2.5,2.74,3.0,2024,47
4.0,8:32,3.0,6.0,JAX 28,10.0,37.0,Mitchell Trubisky pass complete short right to Curtis Samuel for 3 yards (tackle by Chad Muma and Josh Hines-Allen),2.74,1.9,3.0,2024,47
4.0,7:48,4.0,3.0,JAX 25,10.0,40.0,Tyler Bass 43 yard field goal good,1.9,3.0,3.0,2024,47
4.0,7:45,,,BUF 35,10.0,40.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,47
4.0,7:45,1.0,10.0,JAX 30,10.0,40.0,Travis Etienne right tackle for 14 yards (tackle by Damar Hamlin and Kaiir Elam),0.94,1.86,3.0,2024,47
4.0,7:10,1.0,10.0,JAX 44,10.0,40.0,D'Ernest Johnson right end for 1 yard (tackle by Austin Johnson),1.86,1.45,3.0,2024,47
4.0,6:31,2.0,9.0,JAX 45,10.0,40.0,"Mac Jones sacked by Javon Solomon for -17 yards. Mac Jones fumbles (forced by Javon Solomon), recovered by Casey Toohill at JAC-21",1.45,-4.17,3.0,2024,47
4.0,6:21,1.0,10.0,JAX 21,10.0,40.0,Ty Johnson up the middle for 1 yard (tackle by Travon Walker and Ventrell Miller),4.17,3.76,3.0,2024,47
4.0,5:36,2.0,9.0,JAX 20,10.0,40.0,Ty Johnson right end for 18 yards (tackle by Antonio Johnson),3.76,6.74,3.0,2024,47
4.0,4:51,1.0,2.0,JAX 2,10.0,40.0,Ty Johnson left guard for -1 yards (tackle by Jeremiah Ledbetter and Chad Muma),6.74,5.53,3.0,2024,47
4.0,4:08,2.0,3.0,JAX 3,10.0,46.0,"Ray Davis right guard for 3 yards, touchdown",5.53,7.0,3.0,2024,47
4.0,4:04,,,JAX 15,10.0,47.0,Tyler Bass kicks extra point good,0.0,0.0,3.0,2024,47
4.0,4:04,,,BUF 35,10.0,47.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,47
4.0,4:04,1.0,10.0,JAX 30,10.0,47.0,Mac Jones pass complete short right to Brian Thomas for 9 yards (tackle by Brandon Codrington and Joe Andreessen),0.94,1.61,3.0,2024,47
4.0,3:34,2.0,1.0,JAX 39,10.0,47.0,Mac Jones pass complete short left to Christian Kirk for 5 yards (tackle by Ja'Marcus Ingram),1.61,1.86,3.0,2024,47
4.0,3:02,1.0,10.0,JAX 44,10.0,47.0,Travis Etienne left tackle for 22 yards (tackle by Kaiir Elam),1.86,3.31,3.0,2024,47
4.0,2:30,1.0,10.0,BUF 34,10.0,47.0,Mac Jones pass complete short right to Christian Kirk for 1 yard (tackle by Brandon Codrington),3.31,2.91,3.0,2024,47
4.0,2:25,2.0,9.0,BUF 33,10.0,47.0,Mac Jones pass incomplete short left intended for Christian Kirk (defended by Kaiir Elam),2.91,2.21,3.0,2024,47
4.0,2:20,3.0,9.0,BUF 33,10.0,47.0,"Mac Jones pass incomplete short middle intended for Parker Washington. Penalty on Brandon Codrington: Defensive Pass Interference, 10 yards (accepted) (no play)",2.21,4.04,3.0,2024,47
4.0,2:15,1.0,10.0,BUF 23,10.0,47.0,D'Ernest Johnson right guard for 11 yards (tackle by Cole Bishop and Damar Hamlin),4.04,4.78,3.0,2024,47
4.0,2:00,1.0,10.0,BUF 12,10.0,47.0,"Penalty on Brandon Scherff: False Start, 5 yards (accepted) (no play)",4.78,4.32,3.0,2024,47
4.0,2:00,1.0,15.0,BUF 17,10.0,47.0,Mac Jones pass complete short left to Devin Duvernay for -1 yards (tackle by Kaiir Elam),4.32,3.31,3.0,2024,47
4.0,1:28,2.0,16.0,BUF 18,10.0,47.0,Mac Jones pass incomplete short left intended for D'Ernest Johnson,3.31,2.73,3.0,2024,47
