Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA,week,year,game_id
2.0,15:00,1.0,10.0,DEN 46,14.0,0.0,Bo Nix pass complete short left to Javonte Williams for 7 yards (tackle by Lavonte David and Jamel Dean),1.99,2.4,3.0,2024,36
2.0,14:20,2.0,3.0,TAM 47,14.0,0.0,Bo Nix pass complete deep left to Courtland Sutton for 17 yards (tackle by Jamel Dean),2.4,3.58,3.0,2024,36
2.0,13:53,1.0,10.0,TAM 30,14.0,0.0,Bo Nix pass complete short left to Courtland Sutton for 6 yards (tackle by Jamel Dean),3.58,3.84,3.0,2024,36
2.0,13:18,2.0,4.0,TAM 24,14.0,0.0,Tyler Badie right tackle for 4 yards (tackle by K.J. Britt),3.84,4.24,3.0,2024,36
2.0,12:34,1.0,10.0,TAM 20,14.0,0.0,Bo Nix pass complete short left to Troy Franklin for 6 yards (tackle by Christian Izien and Jamel Dean),4.24,4.64,3.0,2024,36
2.0,11:50,2.0,4.0,TAM 14,14.0,0.0,"Bo Nix scrambles left end for no gain (tackle by Christian Izien). Penalty on Garett Bolles: Offensive Holding, 10 yards (accepted) (no play)",4.64,3.15,3.0,2024,36
2.0,11:18,2.0,14.0,TAM 24,14.0,0.0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 1 yard (tackle by Jamel Dean),3.15,2.61,3.0,2024,36
2.0,10:35,3.0,13.0,TAM 23,14.0,0.0,"Bo Nix pass complete short left to Javonte Williams for 3 yards (tackle by Lavonte David and Logan Hall). Penalty on Ben Powers: Offensive Illegal Block Above the Waist, 10 yards (accepted)",2.61,1.68,3.0,2024,36
2.0,10:03,3.0,20.0,TAM 30,14.0,0.0,Bo Nix pass complete short right to Troy Franklin for 5 yards (tackle by Joe Tryon-Shoyinka and Tykee Smith),1.68,1.8,3.0,2024,36
2.0,9:29,4.0,15.0,TAM 25,17.0,0.0,Wil Lutz 43 yard field goal good,1.8,3.0,3.0,2024,36
2.0,9:25,,,DEN 35,17.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,36
2.0,9:25,1.0,10.0,TAM 30,17.0,0.0,Bucky Irving left guard for 1 yard (tackle by Alex Singleton),0.94,0.53,3.0,2024,36
2.0,8:43,2.0,9.0,TAM 31,17.0,0.0,Baker Mayfield pass complete short left to Mike Evans for 8 yards (tackle by P.J. Locke and Alex Singleton),0.53,0.89,3.0,2024,36
2.0,8:06,3.0,1.0,TAM 39,17.0,0.0,Baker Mayfield pass complete short left to Chris Godwin for 8 yards (tackle by Ja'Quan McMillian),0.89,2.06,3.0,2024,36
2.0,7:32,1.0,10.0,TAM 47,17.0,0.0,Rachaad White left guard for no gain (tackle by Zach Allen and Jordan Jackson),2.06,1.52,3.0,2024,36
2.0,6:56,2.0,10.0,TAM 47,17.0,0.0,Baker Mayfield pass complete short right to Rachaad White for 8 yards (tackle by Alex Singleton),1.52,1.88,3.0,2024,36
2.0,6:11,3.0,2.0,DEN 45,17.0,0.0,Baker Mayfield pass incomplete short right intended for Chris Godwin (defended by Nik Bonitto),1.88,0.27,3.0,2024,36
2.0,6:06,4.0,2.0,DEN 45,17.0,0.0,Baker Mayfield pass incomplete short middle intended for Chris Godwin,0.27,-1.93,3.0,2024,36
2.0,6:04,1.0,10.0,DEN 45,17.0,0.0,Bo Nix pass incomplete short middle intended for Courtland Sutton,1.93,1.38,3.0,2024,36
2.0,6:00,2.0,10.0,DEN 45,17.0,0.0,Bo Nix pass complete short right to Jaleel McLaughlin for 7 yards (tackle by Lavonte David),1.38,1.62,3.0,2024,36
2.0,5:28,3.0,3.0,TAM 48,17.0,0.0,Bo Nix right end for 8 yards (tackle by Zyon McCollum),1.62,2.92,3.0,2024,36
2.0,4:42,1.0,10.0,TAM 40,17.0,0.0,"Javonte Williams left tackle for no gain (tackle by Jordan Whitehead) TAM challenged the runner was down by contact ruling, and the original play was overturned. Javonte Williams left tackle for 5 yards. Javonte Williams fumbles (tackle by Jordan Whitehead), recovered by Logan Hall at TB-33 (tackle by Jordan Whitehead)",2.92,-1.14,3.0,2024,36
2.0,4:35,1.0,10.0,TAM 33,17.0,0.0,Bucky Irving right tackle for 32 yards (tackle by Riley Moss),1.14,3.25,3.0,2024,36
2.0,3:55,1.0,10.0,DEN 35,17.0,0.0,Rachaad White right end for 9 yards (tackle by Brandon Jones and Riley Moss),3.25,3.92,3.0,2024,36
2.0,3:15,2.0,1.0,DEN 26,17.0,0.0,Baker Mayfield pass complete short right to Cade Otton for 12 yards (tackle by Cody Barton and Alex Singleton),3.92,4.65,3.0,2024,36
2.0,2:34,1.0,10.0,DEN 14,17.0,0.0,Bucky Irving left end for 13 yards (tackle by Nik Bonitto),4.65,6.97,3.0,2024,36
2.0,2:00,1.0,1.0,DEN 1,17.0,0.0,Rachaad White left end for no gain (tackle by Alex Singleton),6.97,5.91,3.0,2024,36
2.0,1:54,,,,,,Timeout #2 by Denver Broncos,,,3.0,2024,36
2.0,1:54,2.0,1.0,DEN 1,17.0,0.0,"Penalty on Graham Barton: False Start, 4 yards (accepted) (no play)",5.91,5.15,3.0,2024,36
2.0,1:54,2.0,5.0,DEN 5,17.0,6.0,"Baker Mayfield pass complete short left to Chris Godwin for 5 yards, touchdown",5.15,7.0,3.0,2024,36
2.0,1:50,,,DEN 15,17.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,3.0,2024,36
2.0,1:50,,,TAM 35,17.0,7.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,36
2.0,1:50,1.0,10.0,DEN 30,17.0,7.0,Bo Nix pass complete short right to Lil'Jordan Humphrey for 5 yards (tackle by Christian Izien),0.94,1.07,3.0,2024,36
2.0,1:30,2.0,5.0,DEN 35,17.0,7.0,Bo Nix pass complete short left to Courtland Sutton for 10 yards (tackle by Jamel Dean),1.07,1.93,3.0,2024,36
2.0,1:09,1.0,10.0,DEN 45,17.0,7.0,Bo Nix pass complete short right to Adam Trautman for 13 yards (tackle by Jordan Whitehead),1.93,2.79,3.0,2024,36
2.0,1:03,1.0,10.0,TAM 42,17.0,7.0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 8 yards (tackle by SirVocea Dennis and Jamel Dean),2.79,3.32,3.0,2024,36
2.0,0:42,2.0,2.0,TAM 34,17.0,7.0,Bo Nix scrambles left end for 5 yards (tackle by Christian Izien),3.32,3.64,3.0,2024,36
2.0,0:33,1.0,10.0,TAM 29,17.0,7.0,Bo Nix pass complete short left to Marvin Mims for 9 yards (tackle by Jamel Dean),3.64,4.32,3.0,2024,36
2.0,0:15,2.0,1.0,TAM 20,17.0,7.0,Bo Nix pass incomplete short right intended for Troy Franklin,4.32,3.6,3.0,2024,36
2.0,0:11,3.0,1.0,TAM 20,17.0,7.0,Bo Nix pass incomplete short right,3.6,2.27,3.0,2024,36
2.0,0:06,4.0,1.0,TAM 20,20.0,7.0,Wil Lutz 38 yard field goal good,2.27,3.0,3.0,2024,36
2.0,0:02,,,DEN 35,20.0,7.0,"Wil Lutz kicks off 67 yards, returned by Bucky Irving for 27 yards (tackle by Keidron Smith and Jonah Elliss). Penalty on SirVocea Dennis: Illegal Block Above the Waist (accepted)",0.0,1.27,3.0,2024,36
3.0,15:00,,,DEN 35,20.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,36
3.0,15:00,1.0,10.0,TAM 30,20.0,7.0,Baker Mayfield pass complete short left to Chris Godwin for 13 yards (tackle by P.J. Locke),0.94,1.8,3.0,2024,36
3.0,14:22,1.0,10.0,TAM 43,20.0,7.0,Baker Mayfield pass complete short middle to Cade Otton for 13 yards (tackle by P.J. Locke),1.8,2.65,3.0,2024,36
3.0,13:43,1.0,10.0,DEN 44,20.0,7.0,Baker Mayfield sacked by John Franklin-Myers for -7 yards,2.65,1.17,3.0,2024,36
3.0,13:01,2.0,17.0,TAM 49,20.0,7.0,Baker Mayfield pass incomplete short right intended for Cade Otton,1.17,0.5,3.0,2024,36
3.0,12:57,3.0,17.0,TAM 49,20.0,7.0,Baker Mayfield pass complete short left to Rachaad White for no gain (tackle by Ja'Quan McMillian),0.5,-0.13,3.0,2024,36
3.0,12:14,4.0,17.0,TAM 49,20.0,7.0,"Jake Camarda punts 42 yards, fair catch by Marvin Mims at DEN-9",-0.13,0.38,3.0,2024,36
3.0,12:07,1.0,10.0,DEN 9,20.0,7.0,Bo Nix pass incomplete deep middle intended for Lil'Jordan Humphrey (defended by Joe Tryon-Shoyinka),-0.38,-0.78,3.0,2024,36
3.0,12:03,2.0,10.0,DEN 9,20.0,7.0,Tyler Badie right guard for 3 yards (tackle by Christian Izien and Zyon McCollum),-0.78,-1.07,3.0,2024,36
3.0,11:23,3.0,7.0,DEN 12,20.0,7.0,Bo Nix pass incomplete deep right intended for Troy Franklin (defended by Tykee Smith),-1.07,-2.49,3.0,2024,36
3.0,11:18,4.0,7.0,DEN 12,20.0,7.0,"Riley Dixon punts 47 yards, fair catch by Trey Palmer at TB-41",-2.49,-1.66,3.0,2024,36
3.0,11:11,1.0,10.0,TAM 41,20.0,7.0,Bucky Irving left end for 4 yards (tackle by Patrick Surtain and Alex Singleton),1.66,1.66,3.0,2024,36
3.0,10:33,2.0,6.0,TAM 45,20.0,7.0,Baker Mayfield pass complete short right to Bucky Irving for 4 yards (tackle by Brandon Jones),1.66,1.49,3.0,2024,36
3.0,9:49,3.0,2.0,TAM 49,20.0,7.0,Bucky Irving right guard for 6 yards (tackle by Brandon Jones),1.49,2.59,3.0,2024,36
3.0,9:18,1.0,10.0,DEN 45,20.0,7.0,Bucky Irving left end for no gain (tackle by Patrick Surtain and Cody Barton),2.59,2.04,3.0,2024,36
3.0,8:44,2.0,10.0,DEN 45,20.0,7.0,Baker Mayfield sacked by Dondrea Tillman for -8 yards,2.04,0.3,3.0,2024,36
3.0,8:03,3.0,18.0,TAM 47,20.0,7.0,Baker Mayfield pass incomplete short middle intended for Chris Godwin,0.3,-0.26,3.0,2024,36
3.0,7:59,4.0,18.0,TAM 47,20.0,7.0,Jake Camarda punts 47 yards downed by Tavierre Thomas,-0.26,0.38,3.0,2024,36
3.0,7:49,1.0,10.0,DEN 6,20.0,7.0,Bo Nix pass complete short right to Courtland Sutton for 1 yard,-0.38,-0.71,3.0,2024,36
3.0,7:15,2.0,9.0,DEN 7,20.0,7.0,Bo Nix pass incomplete short right,-0.71,-1.3,3.0,2024,36
3.0,7:12,3.0,9.0,DEN 7,20.0,7.0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 17 yards (tackle by Christian Izien),-1.3,0.54,3.0,2024,36
3.0,6:40,1.0,10.0,DEN 24,20.0,7.0,Bo Nix pass complete short left to Javonte Williams for 8 yards (tackle by K.J. Britt and Lavonte David),0.54,1.08,3.0,2024,36
3.0,6:01,2.0,2.0,DEN 32,20.0,7.0,Bo Nix pass complete short right to Courtland Sutton for 4 yards (tackle by Christian Izien),1.08,1.33,3.0,2024,36
3.0,5:17,1.0,10.0,DEN 36,20.0,7.0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 4 yards (tackle by Christian Izien),1.33,1.33,3.0,2024,36
3.0,4:44,2.0,6.0,DEN 40,20.0,7.0,Bo Nix pass complete short middle to Josh Reynolds for 5 yards (tackle by Tykee Smith),1.33,1.29,3.0,2024,36
3.0,4:12,3.0,1.0,DEN 45,20.0,7.0,Bo Nix up the middle for 2 yards (tackle by SirVocea Dennis),1.29,2.06,3.0,2024,36
3.0,3:37,1.0,10.0,DEN 47,20.0,7.0,Bo Nix scrambles up the middle for 22 yards (tackle by Jamel Dean),2.06,3.51,3.0,2024,36
3.0,3:00,1.0,10.0,TAM 31,20.0,7.0,Javonte Williams right guard for 2 yards (tackle by Chris Braswell and Lavonte David),3.51,3.24,3.0,2024,36
3.0,2:17,2.0,8.0,TAM 29,20.0,7.0,Bo Nix pass complete short left to Courtland Sutton for 8 yards (tackle by Jamel Dean),3.24,4.17,3.0,2024,36
3.0,1:34,1.0,10.0,TAM 21,20.0,7.0,Bo Nix pass incomplete short left intended for Courtland Sutton (defended by C.J. Brewer),4.17,3.63,3.0,2024,36
3.0,1:28,2.0,10.0,TAM 21,20.0,7.0,Jaleel McLaughlin right end for -4 yards (tackle by Tykee Smith),3.63,2.41,3.0,2024,36
3.0,0:39,3.0,14.0,TAM 25,20.0,7.0,"Bo Nix pass complete short right to Javonte Williams for no gain (tackle by Christian Izien). Penalty on Joe Tryon-Shoyinka: Defensive Offside, 5 yards (accepted) (no play)",2.41,3.07,3.0,2024,36
3.0,0:20,3.0,9.0,TAM 20,20.0,7.0,"Bo Nix pass complete short right to Greg Dulcich for no gain (tackle by Zyon McCollum). Penalty on YaYa Diaby: Defensive Offside, 5 yards (accepted) (no play)",3.07,3.81,3.0,2024,36
4.0,15:00,3.0,4.0,TAM 15,20.0,7.0,Bo Nix pass incomplete short right intended for Courtland Sutton (defended by Zyon McCollum),3.81,2.52,3.0,2024,36
4.0,14:55,4.0,4.0,TAM 15,23.0,7.0,Wil Lutz 33 yard field goal good,2.52,3.0,3.0,2024,36
4.0,14:52,,,DEN 35,23.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,36
4.0,14:52,1.0,10.0,TAM 30,23.0,7.0,Baker Mayfield pass complete short right to Cade Otton for 4 yards (tackle by Ja'Quan McMillian and Riley Moss),0.94,0.93,3.0,2024,36
4.0,14:31,2.0,6.0,TAM 34,23.0,7.0,Baker Mayfield pass complete short right to Cade Otton for 8 yards (tackle by Alex Singleton),0.93,1.73,3.0,2024,36
4.0,13:47,1.0,10.0,TAM 42,23.0,7.0,Baker Mayfield pass complete short right to Mike Evans for 9 yards,1.73,2.4,3.0,2024,36
4.0,13:16,2.0,1.0,DEN 49,23.0,7.0,Baker Mayfield pass complete short right to Cade Otton for 5 yards (tackle by Brandon Jones),2.4,2.65,3.0,2024,36
4.0,12:44,1.0,10.0,DEN 44,23.0,7.0,Baker Mayfield pass incomplete short right intended for Rachaad White,2.65,2.11,3.0,2024,36
4.0,12:39,2.0,10.0,DEN 44,23.0,7.0,Baker Mayfield pass complete short middle to Chris Godwin for 12 yards (tackle by Jonah Elliss and Cody Barton),2.11,3.45,3.0,2024,36
4.0,12:09,1.0,10.0,DEN 32,23.0,7.0,Baker Mayfield pass complete short right to Payne Durham for 8 yards (tackle by Ja'Quan McMillian),3.45,3.98,3.0,2024,36
4.0,11:30,2.0,2.0,DEN 24,23.0,7.0,Baker Mayfield sacked by Jonathon Cooper for -5 yards,3.98,2.61,3.0,2024,36
4.0,10:44,3.0,7.0,DEN 29,23.0,7.0,Baker Mayfield pass complete short right to Rachaad White for 4 yards (tackle by Riley Moss),2.61,1.9,3.0,2024,36
4.0,9:59,4.0,3.0,DEN 25,23.0,7.0,Baker Mayfield sacked by Nik Bonitto for no gain,1.9,-0.61,3.0,2024,36
4.0,9:52,1.0,10.0,DEN 25,23.0,7.0,Tyler Badie up the middle for 43 yards (tackle by Christian Izien),0.61,3.45,3.0,2024,36
4.0,9:02,1.0,10.0,TAM 32,23.0,7.0,Tyler Badie right tackle for 2 yards (tackle by Lavonte David),3.45,3.17,3.0,2024,36
4.0,8:25,2.0,8.0,TAM 30,23.0,7.0,Tyler Badie left guard for 5 yards (tackle by K.J. Britt),3.17,3.14,3.0,2024,36
4.0,7:39,3.0,3.0,TAM 25,23.0,7.0,Bo Nix pass incomplete short middle intended for Courtland Sutton (defended by Zyon McCollum),3.14,1.9,3.0,2024,36
4.0,7:35,4.0,3.0,TAM 25,26.0,7.0,Wil Lutz 43 yard field goal good,1.9,3.0,3.0,2024,36
4.0,7:30,,,DEN 35,26.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,36
4.0,7:30,1.0,10.0,TAM 30,26.0,7.0,Bucky Irving right tackle for 2 yards (tackle by Dondrea Tillman),0.94,0.66,3.0,2024,36
4.0,7:10,2.0,8.0,TAM 32,26.0,7.0,Baker Mayfield pass complete short left to Chris Godwin for 8 yards (tackle by Ja'Quan McMillian),0.66,1.6,3.0,2024,36
4.0,6:52,1.0,10.0,TAM 40,26.0,7.0,Baker Mayfield sacked by Zach Allen for -1 yards,1.6,0.92,3.0,2024,36
4.0,6:25,2.0,11.0,TAM 39,26.0,7.0,Bucky Irving up the middle for 9 yards (tackle by Ja'Quan McMillian and Alex Singleton),0.92,1.42,3.0,2024,36
4.0,5:48,3.0,2.0,TAM 48,26.0,7.0,Baker Mayfield pass complete short right to Bucky Irving for 4 yards (tackle by Brandon Jones),1.42,2.39,3.0,2024,36
4.0,5:07,1.0,10.0,DEN 48,26.0,7.0,Baker Mayfield pass complete short left to Bucky Irving for 6 yards (tackle by Ja'Quan McMillian),2.39,2.66,3.0,2024,36
4.0,4:45,2.0,4.0,DEN 42,26.0,7.0,Baker Mayfield pass complete short left to Jalen McMillan for 6 yards (tackle by Jordan Jackson),2.66,3.18,3.0,2024,36
4.0,4:27,1.0,10.0,DEN 36,26.0,7.0,"Baker Mayfield pass incomplete deep left intended for Mike Evans. Penalty on P.J. Locke: Defensive Pass Interference, 16 yards (accepted) (no play)",3.18,4.24,3.0,2024,36
4.0,4:27,1.0,10.0,DEN 20,26.0,7.0,"Penalty on P.J. Locke: Face Mask (15 Yards), 10 yards (accepted) (no play)",4.24,4.91,3.0,2024,36
4.0,4:22,1.0,10.0,DEN 10,26.0,7.0,Baker Mayfield pass complete short left to Rachaad White for 4 yards (tackle by P.J. Locke),4.91,4.95,3.0,2024,36
4.0,4:16,2.0,6.0,DEN 6,26.0,7.0,Baker Mayfield sacked by Dondrea Tillman for -10 yards,4.95,2.85,3.0,2024,36
4.0,3:49,3.0,16.0,DEN 16,26.0,7.0,"Baker Mayfield pass complete short right to Cade Otton for 3 yards. Cade Otton fumbles (tackle by Ja'Quan McMillian, recovered by Brandon Jones at DEN-13 and returned for 34 yards (tackle by Mike Evans)",2.85,-2.06,3.0,2024,36
4.0,3:33,1.0,10.0,DEN 47,26.0,7.0,Tyler Badie right guard for 7 yards (tackle by K.J. Britt),2.06,2.46,3.0,2024,36
4.0,2:51,2.0,3.0,TAM 46,26.0,7.0,Tyler Badie right guard for 8 yards (tackle by Zyon McCollum and Lavonte David),2.46,3.05,3.0,2024,36
4.0,2:04,1.0,10.0,TAM 38,26.0,7.0,Tyler Badie up the middle for -3 yards (tackle by C.J. Brewer),3.05,2.1,3.0,2024,36
4.0,2:00,2.0,13.0,TAM 41,26.0,7.0,Bo Nix right end for 4 yards (tackle by K.J. Britt),2.1,1.95,3.0,2024,36
4.0,1:15,3.0,9.0,TAM 37,26.0,7.0,Tyler Badie up the middle for 1 yard (tackle by Jamel Dean and C.J. Brewer),1.95,0.88,3.0,2024,36
4.0,0:29,,,,,,Timeout #1 by Denver Broncos,,,3.0,2024,36
4.0,0:29,4.0,8.0,TAM 36,26.0,7.0,Bo Nix kneels for -2 yards,0.88,-1.47,3.0,2024,36
4.0,0:25,1.0,10.0,TAM 38,26.0,7.0,Sean Tucker up the middle for 4 yards (tackle by Zach Allen and Jordan Jackson),1.47,1.46,3.0,2024,36
