Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA,week,year,game_id
3.0,3:59,1.0,20.0,BAL 38,28.0,6.0,Justice Hill left end for no gain (tackle by Trevon Diggs),1.47,0.23,3.0,2024,44
3.0,3:19,2.0,20.0,BAL 38,28.0,6.0,Lamar Jackson scrambles up the middle for 5 yards (tackle by Eric Kendricks),0.23,0.23,3.0,2024,44
3.0,2:30,3.0,15.0,BAL 43,28.0,6.0,"Lamar Jackson pass complete short right to Justice Hill for no gain (tackle by Jourdan Lewis). Penalty on Andrew Vorhees: Illegal Use of Hands / Offense, 5 yards (accepted) (no play)",0.23,-0.43,3.0,2024,44
3.0,1:57,3.0,20.0,BAL 38,28.0,6.0,Lamar Jackson pass incomplete short left intended for Zay Flowers,-0.43,-0.85,3.0,2024,44
3.0,1:55,4.0,20.0,BAL 38,28.0,6.0,"Jordan Stout punts, returned by KaVontae Turpin for no gain (tackle by Charlie Kolar). Penalty on Nick Moore: Offensive Holding, 10 yards (accepted) (no play)",-0.85,-1.5,3.0,2024,44
3.0,1:43,4.0,30.0,BAL 28,28.0,6.0,"Jordan Stout punts 49 yards, fair catch by KaVontae Turpin at DAL-23",-1.5,-0.48,3.0,2024,44
3.0,1:36,1.0,10.0,DAL 23,28.0,6.0,Dak Prescott pass complete short right to Jake Ferguson for 17 yards (tackle by Kyle Hamilton and Marcus Williams),0.48,1.6,3.0,2024,44
3.0,1:11,1.0,10.0,DAL 40,28.0,6.0,"Penalty on CeeDee Lamb: False Start, 5 yards (accepted) (no play)",1.6,1.27,3.0,2024,44
3.0,1:02,1.0,15.0,DAL 35,28.0,6.0,Dak Prescott pass incomplete short right intended for Jalen Tolbert,1.27,0.38,3.0,2024,44
3.0,0:55,2.0,15.0,DAL 35,28.0,6.0,"Dak Prescott pass incomplete short right intended for Brandin Cooks. Penalty on Nate Wiggins: Illegal Contact, 5 yards (accepted) (no play)",0.38,1.6,3.0,2024,44
3.0,0:50,1.0,10.0,DAL 40,28.0,6.0,Dak Prescott pass complete short middle to Jake Ferguson for 26 yards (tackle by Roquan Smith),1.6,3.31,3.0,2024,44
3.0,0:28,1.0,10.0,BAL 34,28.0,6.0,"Dak Prescott sacked by. Dak Prescott fumbles, recovered by Dak Prescott at BAL-38",3.31,2.23,3.0,2024,44
4.0,15:00,2.0,14.0,BAL 38,28.0,6.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Ar'Darius Washington),2.23,1.55,3.0,2024,44
4.0,14:55,3.0,14.0,BAL 38,28.0,6.0,Dak Prescott pass incomplete short left intended for Jake Ferguson,1.55,0.72,3.0,2024,44
4.0,14:52,4.0,14.0,BAL 38,28.0,6.0,"Dak Prescott pass incomplete deep left intended for Brandin Cooks. Penalty on Brandin Cooks: Offensive Pass Interference, 10 yards (declined)",0.72,-1.53,3.0,2024,44
4.0,14:47,1.0,10.0,BAL 39,28.0,6.0,Derrick Henry left end for 11 yards (tackle by Trevon Diggs),1.53,2.26,3.0,2024,44
4.0,14:02,1.0,10.0,DAL 50,28.0,6.0,Justice Hill left tackle for 2 yards (tackle by Mazi Smith),2.26,1.98,3.0,2024,44
4.0,13:26,2.0,8.0,DAL 48,28.0,6.0,Lamar Jackson pass complete short right to Rashod Bateman for 12 yards (tackle by Damone Clark and Donovan Wilson),1.98,3.18,3.0,2024,44
4.0,12:42,1.0,10.0,DAL 36,28.0,6.0,Justice Hill left end for 1 yard (tackle by Micah Parsons),3.18,2.77,3.0,2024,44
4.0,12:09,2.0,9.0,DAL 35,28.0,6.0,Derrick Henry right tackle for 4 yards (tackle by Damone Clark),2.77,2.61,3.0,2024,44
4.0,11:27,3.0,5.0,DAL 31,28.0,6.0,Derrick Henry up the middle for 3 yards (tackle by DeMarcus Lawrence and Eric Kendricks),2.61,1.7,3.0,2024,44
4.0,10:44,4.0,2.0,DAL 28,28.0,6.0,Justin Tucker 46 yard field goal no good,1.7,-1.33,3.0,2024,44
