Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA,week,year,game_id
2.0,11:26,2.0,6.0,GNB 43,17.0,7.0,Emanuel Wilson right tackle for 10 yards (tackle by L'Jarius Sneed),1.53,2.46,3.0,2024,37
2.0,10:51,1.0,10.0,TEN 47,17.0,7.0,Emanuel Wilson right end for 7 yards (tackle by Jamal Adams),2.46,2.86,3.0,2024,37
2.0,10:12,2.0,3.0,TEN 40,17.0,7.0,Malik Willis sacked by Kenneth Murray for -10 yards,2.86,0.83,3.0,2024,37
2.0,9:22,3.0,13.0,TEN 50,17.0,7.0,Malik Willis pass complete short right to Emanuel Wilson for 5 yards (tackle by Jamal Adams and Ernest Jones),0.83,0.27,3.0,2024,37
2.0,8:30,4.0,8.0,TEN 45,17.0,7.0,"Daniel Whelan punts 45 yards, touchback.",0.27,-0.28,3.0,2024,37
2.0,8:19,1.0,10.0,TEN 20,17.0,7.0,Tony Pollard left guard for 1 yard (tackle by Rashan Gary and Edgerrin Cooper),0.28,-0.13,3.0,2024,37
2.0,7:42,2.0,9.0,TEN 21,17.0,7.0,Will Levis pass complete short left to DeAndre Hopkins for 6 yards (tackle by Eric Stokes),-0.13,-0.03,3.0,2024,37
2.0,6:58,3.0,3.0,TEN 27,17.0,7.0,Will Levis sacked by Lukas Van Ness for -4 yards,-0.03,-1.83,3.0,2024,37
2.0,6:02,4.0,7.0,TEN 23,17.0,7.0,"Ryan Stonehouse punts 42 yards, fair catch by Jayden Reed at GB-35. Penalty on Lukas Van Ness: Offensive Holding, 10 yards (accepted)",-1.83,-0.61,3.0,2024,37
2.0,6:02,1.0,10.0,GNB 25,17.0,7.0,"Josh Jacobs left tackle for no gain (tackle by Kenneth Murray). Penalty on Rasheed Walker: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,3.0,2024,37
2.0,5:43,1.0,20.0,GNB 15,17.0,7.0,Josh Jacobs up the middle for 6 yards (tackle by Ali Gaye and Amani Hooker),-0.41,-0.48,3.0,2024,37
2.0,5:06,2.0,14.0,GNB 21,17.0,7.0,Malik Willis sacked by Kenneth Murray for no gain,-0.48,-1.15,3.0,2024,37
2.0,4:36,3.0,14.0,GNB 21,17.0,7.0,Malik Willis pass complete deep middle to Romeo Doubs for 18 yards (tackle by Jarvis Brownlee),-1.15,1.53,3.0,2024,37
2.0,3:53,1.0,10.0,GNB 39,17.0,7.0,Malik Willis scrambles up the middle for 4 yards (tackle by Ernest Jones),1.53,1.53,3.0,2024,37
2.0,3:08,2.0,6.0,GNB 43,17.0,7.0,Jayden Reed left end for 15 yards (tackle by Roger McCreary),1.53,2.79,3.0,2024,37
2.0,2:29,1.0,10.0,TEN 42,17.0,7.0,"Josh Jacobs left guard for no gain (tackle by Quandre Diggs). Penalty on Bo Melton: Illegal Shift, 5 yards (accepted) (no play)",2.79,2.46,3.0,2024,37
2.0,2:00,1.0,15.0,TEN 47,17.0,7.0,Josh Jacobs left end for 2 yards (tackle by T'Vondre Sweat and Kenneth Murray),2.46,1.84,3.0,2024,37
2.0,1:44,,,,,,Timeout #1 by Tennessee Titans,,,3.0,2024,37
2.0,1:44,2.0,13.0,TEN 45,17.0,7.0,"Malik Willis pass complete short right to Emanuel Wilson for 6 yards (tackle by Roger McCreary). Penalty on Rasheed Walker: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",1.84,0.49,3.0,2024,37
2.0,1:44,2.0,23.0,GNB 45,17.0,7.0,Malik Willis pass complete short right to Josh Jacobs for 5 yards (tackle by Arden Key),0.49,0.5,3.0,2024,37
2.0,1:38,,,,,,Timeout #2 by Tennessee Titans,,,3.0,2024,37
2.0,1:38,3.0,18.0,GNB 50,17.0,7.0,Malik Willis pass complete deep left to Christian Watson for 37 yards (tackle by Quandre Diggs),0.5,4.71,3.0,2024,37
2.0,1:29,1.0,10.0,TEN 13,17.0,7.0,Emanuel Wilson up the middle for no gain (tackle by Ernest Jones and Amani Hooker),4.71,4.05,3.0,2024,37
2.0,0:49,2.0,10.0,TEN 13,17.0,7.0,Malik Willis up the middle for 7 yards (tackle by Kenneth Murray),4.05,4.56,3.0,2024,37
2.0,0:27,,,,,,Timeout #2 by Green Bay Packers,,,3.0,2024,37
2.0,0:27,3.0,3.0,TEN 6,17.0,7.0,Malik Willis sacked by Jeffery Simmons for -2 yards,4.56,2.97,3.0,2024,37
2.0,0:03,,,,,,Timeout #3 by Green Bay Packers,,,3.0,2024,37
2.0,0:03,4.0,5.0,TEN 8,20.0,7.0,Brayden Narveson 26 yard field goal good,2.97,3.0,3.0,2024,37
3.0,15:00,,,GNB 35,20.0,7.0,"Brayden Narveson kicks off 65 yards, returned by Jha'Quan Jackson for 25 yards (tackle by Eric Wilson and Edgerrin Cooper). Penalty on Otis Reese: Offensive Holding, 10 yards (accepted)",0.0,-0.22,3.0,2024,37
3.0,14:55,1.0,10.0,TEN 15,20.0,7.0,Will Levis pass complete short right to Nick Vannett for 8 yards (tackle by Jaire Alexander),-0.22,0.48,3.0,2024,37
3.0,14:16,2.0,2.0,TEN 23,20.0,7.0,Will Levis pass complete short left to DeAndre Hopkins for 6 yards (tackle by Eric Stokes),0.48,0.87,3.0,2024,37
3.0,13:36,1.0,10.0,TEN 29,20.0,7.0,Will Levis sacked by Devonte Wyatt for -5 yards,0.87,-0.35,3.0,2024,37
3.0,13:01,2.0,15.0,TEN 24,20.0,7.0,Will Levis pass complete short right to Tony Pollard for 1 yard (tackle by Eric Stokes),-0.35,-0.89,3.0,2024,37
3.0,12:20,3.0,14.0,TEN 25,20.0,7.0,Will Levis pass complete short middle to Tony Pollard for 12 yards (tackle by Karl Brooks),-0.89,-0.91,3.0,2024,37
3.0,11:44,,,,,,Timeout #1 by Tennessee Titans,,,3.0,2024,37
3.0,11:44,,,,,,Timeout #1 by Green Bay Packers,,,3.0,2024,37
3.0,11:44,4.0,2.0,TEN 37,20.0,7.0,Will Levis sacked by and Quay Walker for no gain and Isaiah McDuffie for no gain,-0.91,-3.18,3.0,2024,37
3.0,11:38,1.0,10.0,TEN 36,20.0,7.0,Josh Jacobs up the middle for 5 yards (tackle by T'Vondre Sweat),3.18,3.31,3.0,2024,37
3.0,10:59,2.0,5.0,TEN 31,20.0,7.0,"Josh Jacobs up the middle for no gain (tackle by Ernest Jones). Penalty on Elgton Jenkins: Offensive Holding, 10 yards (accepted) (no play)",3.31,1.96,3.0,2024,37
3.0,10:41,2.0,15.0,TEN 41,20.0,7.0,Malik Willis pass complete short right to Jayden Reed for 5 yards (tackle by Ernest Jones),1.96,1.95,3.0,2024,37
3.0,9:58,3.0,10.0,TEN 36,20.0,7.0,Malik Willis pass complete short middle to Jayden Reed for 6 yards (tackle by Quandre Diggs),1.95,1.46,3.0,2024,37
3.0,9:15,4.0,4.0,TEN 30,20.0,7.0,"Brayden Narveson yard field goal no good. Penalty on Jeffery Simmons: Defensive Holding, 5 yards (accepted) (no play)",1.46,3.91,3.0,2024,37
3.0,9:10,1.0,10.0,TEN 25,20.0,7.0,Emanuel Wilson left guard for -5 yards (tackle by Jarvis Brownlee),3.91,2.69,3.0,2024,37
3.0,8:33,2.0,15.0,TEN 30,26.0,7.0,"Malik Willis pass complete short left to Emanuel Wilson for 30 yards, touchdown",2.69,7.0,3.0,2024,37
3.0,8:25,,,TEN 15,27.0,7.0,Brayden Narveson kicks extra point good,0.0,0.0,3.0,2024,37
3.0,8:25,,,GNB 35,27.0,7.0,"Brayden Narveson kicks off 66 yards, returned by Jha'Quan Jackson for 33 yards (tackle by Evan Williams)",0.0,1.07,3.0,2024,37
3.0,8:20,1.0,10.0,TEN 32,27.0,7.0,Will Levis pass complete short right to Tyjae Spears for 29 yards (tackle by Xavier McKinney),1.07,2.98,3.0,2024,37
3.0,7:35,1.0,10.0,GNB 39,27.0,7.0,Tony Pollard right end for 3 yards (tackle by Xavier McKinney),2.98,2.85,3.0,2024,37
3.0,6:57,2.0,7.0,GNB 36,27.0,7.0,Will Levis pass complete short middle to DeAndre Hopkins for 15 yards (tackle by Xavier McKinney),2.85,4.17,3.0,2024,37
3.0,6:13,1.0,10.0,GNB 21,27.0,7.0,Will Levis pass incomplete short middle intended for Treylon Burks,4.17,3.63,3.0,2024,37
3.0,6:04,2.0,10.0,GNB 21,27.0,7.0,Will Levis pass complete short left to Calvin Ridley for 9 yards (tackle by Quay Walker and Jaire Alexander),3.63,4.49,3.0,2024,37
3.0,5:40,3.0,1.0,GNB 12,27.0,7.0,Will Levis up the middle for 1 yard (tackle by Kenny Clark),4.49,4.84,3.0,2024,37
3.0,5:00,1.0,10.0,GNB 11,27.0,13.0,"Will Levis pass complete short left to DeAndre Hopkins for 11 yards, touchdown",4.84,7.0,3.0,2024,37
3.0,4:55,,,GNB 15,27.0,14.0,Nick Folk kicks extra point good,0.0,0.0,3.0,2024,37
3.0,4:55,,,TEN 35,27.0,14.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,37
3.0,4:55,1.0,10.0,GNB 30,27.0,14.0,Josh Jacobs up the middle for 3 yards (tackle by Harold Landry and Quandre Diggs),0.94,0.8,3.0,2024,37
3.0,4:22,2.0,7.0,GNB 33,27.0,14.0,Josh Jacobs up the middle for 5 yards (tackle by Jeffery Simmons and Ernest Jones),0.8,0.76,3.0,2024,37
3.0,3:43,3.0,2.0,GNB 38,27.0,14.0,Josh Jacobs right end for -1 yards (tackle by Amani Hooker),0.76,-0.91,3.0,2024,37
3.0,3:01,4.0,3.0,GNB 37,27.0,14.0,"Daniel Whelan punts, fair catch by Jha'Quan Jackson at TEN-10. Penalty on Arron Mosby: Illegal Formation, 5 yards (accepted) (no play)",-0.91,-1.24,3.0,2024,37
3.0,2:53,4.0,8.0,GNB 32,27.0,14.0,"Daniel Whelan punts 51 yards, returned by Jha'Quan Jackson for 13 yards (tackle by Robert Rochell and Tucker Kraft)",-1.24,-0.94,3.0,2024,37
3.0,2:41,1.0,10.0,TEN 30,27.0,14.0,Will Levis pass complete deep right to DeAndre Hopkins for 20 yards (tackle by Jaire Alexander),0.94,2.26,3.0,2024,37
3.0,1:58,1.0,10.0,TEN 50,27.0,14.0,Tony Pollard left guard for 4 yards (tackle by Keisean Nixon),2.26,2.25,3.0,2024,37
3.0,1:17,2.0,6.0,GNB 46,27.0,14.0,Will Levis pass complete short left to DeAndre Hopkins for 15 yards,2.25,3.51,3.0,2024,37
3.0,0:47,1.0,10.0,GNB 31,27.0,14.0,Will Levis pass incomplete short left intended for Josh Whyle,3.51,2.97,3.0,2024,37
3.0,0:35,2.0,10.0,GNB 31,27.0,14.0,"Will Levis sacked by Kingsley Enagbare for -14 yards. Will Levis fumbles (forced by Kingsley Enagbare), recovered by Lukas Van Ness at GB-47",2.97,-2.06,3.0,2024,37
3.0,0:28,1.0,10.0,GNB 47,27.0,14.0,Emanuel Wilson up the middle for 7 yards (tackle by Ernest Jones),2.06,2.46,3.0,2024,37
4.0,15:00,2.0,3.0,TEN 46,27.0,14.0,Emanuel Wilson left guard for 4 yards (tackle by T'Vondre Sweat and Jeffery Simmons),2.46,2.79,3.0,2024,37
4.0,14:20,1.0,10.0,TEN 42,27.0,14.0,Malik Willis pass complete short left to Tucker Kraft for 3 yards (tackle by Kenneth Murray),2.79,2.65,3.0,2024,37
4.0,13:56,2.0,7.0,TEN 39,27.0,14.0,Emanuel Wilson left guard for 1 yard (tackle by Ernest Jones and Sebastian Joseph-Day),2.65,2.08,3.0,2024,37
4.0,13:07,3.0,6.0,TEN 38,27.0,14.0,"Malik Willis pass incomplete deep left intended for Romeo Doubs. Penalty on Zach Tom: Illegal Formation, 5 yards (declined)",2.08,0.72,3.0,2024,37
4.0,13:02,4.0,6.0,TEN 38,27.0,14.0,"Penalty on Malik Willis: Delay of Game, 5 yards (accepted) (no play)",0.72,0.4,3.0,2024,37
4.0,13:02,4.0,11.0,TEN 43,27.0,14.0,"Daniel Whelan punts 33 yards, returned by Jha'Quan Jackson for 11 yards (tackle by Eric Wilson and Lukas Van Ness)",0.4,-0.34,3.0,2024,37
4.0,12:52,1.0,10.0,TEN 21,27.0,14.0,Will Levis pass complete short middle to Tyjae Spears for 6 yards (tackle by Isaiah McDuffie),0.34,0.61,3.0,2024,37
4.0,12:16,2.0,4.0,TEN 27,27.0,14.0,Will Levis pass complete short left to Treylon Burks for 9 yards (tackle by Jaire Alexander),0.61,1.33,3.0,2024,37
4.0,11:35,1.0,10.0,TEN 36,27.0,14.0,Will Levis pass complete short left to Tyjae Spears for 3 yards (tackle by Isaiah McDuffie),1.33,1.2,3.0,2024,37
4.0,10:50,2.0,7.0,TEN 39,27.0,14.0,Will Levis pass incomplete deep left intended for Treylon Burks,1.2,0.5,3.0,2024,37
4.0,10:41,3.0,7.0,TEN 39,27.0,14.0,Will Levis sacked by Preston Smith for -11 yards,0.5,-1.5,3.0,2024,37
4.0,10:06,4.0,18.0,TEN 28,27.0,14.0,"Ryan Stonehouse punts 52 yards, returned by Jayden Reed for 12 yards (tackle by Jack Gibbens)",-1.5,-1.07,3.0,2024,37
4.0,9:53,1.0,10.0,GNB 32,27.0,14.0,Josh Jacobs up the middle for 5 yards (tackle by Arden Key and Kenneth Murray),1.07,1.2,3.0,2024,37
4.0,9:15,2.0,5.0,GNB 37,27.0,14.0,Malik Willis pass incomplete short right intended for Tucker Kraft,1.2,0.5,3.0,2024,37
4.0,9:08,,,,,,Timeout #2 by Green Bay Packers,,,3.0,2024,37
4.0,9:08,3.0,5.0,GNB 37,27.0,14.0,Malik Willis pass incomplete deep left intended for Dontayvion Wicks,0.5,-0.91,3.0,2024,37
4.0,9:04,4.0,5.0,GNB 37,27.0,14.0,"Daniel Whelan punts 63 yards, touchback.",-0.91,-0.28,3.0,2024,37
4.0,8:55,1.0,10.0,TEN 20,27.0,14.0,Will Levis pass complete short left to Tony Pollard for 2 yards (tackle by Kingsley Enagbare and Devonte Wyatt),0.28,0.0,3.0,2024,37
4.0,8:14,2.0,8.0,TEN 22,27.0,14.0,Will Levis sacked by Devonte Wyatt for -5 yards,0.0,-1.51,3.0,2024,37
4.0,7:30,3.0,13.0,TEN 17,27.0,14.0,Will Levis sacked by and Edgerrin Cooper for -11 yards and Kingsley Enagbare for -11 yards,-1.51,-2.49,3.0,2024,37
4.0,6:54,4.0,24.0,TEN 6,27.0,14.0,"Ryan Stonehouse punts 57 yards, returned by Jayden Reed for 3 yards (tackle by Jaylen Harrell)",-2.49,-1.6,3.0,2024,37
4.0,6:40,1.0,10.0,GNB 40,27.0,14.0,Emanuel Wilson left tackle for 7 yards (tackle by Ernest Jones),1.6,2.0,3.0,2024,37
4.0,6:06,2.0,3.0,GNB 47,27.0,14.0,Emanuel Wilson left end for 9 yards (tackle by Quandre Diggs),2.0,2.65,3.0,2024,37
4.0,5:25,1.0,10.0,TEN 44,27.0,14.0,Josh Jacobs left tackle for 10 yards (tackle by Quandre Diggs and Harold Landry),2.65,3.31,3.0,2024,37
4.0,4:36,1.0,10.0,TEN 34,27.0,14.0,"Josh Jacobs left tackle for 5 yards (tackle by L'Jarius Sneed). Penalty on Elgton Jenkins: Offensive Holding, 10 yards (accepted)",3.31,2.98,3.0,2024,37
4.0,4:29,1.0,15.0,TEN 39,27.0,14.0,Emanuel Wilson left guard for 7 yards (tackle by Ernest Jones),2.98,3.04,3.0,2024,37
4.0,4:03,2.0,8.0,TEN 32,27.0,14.0,Emanuel Wilson left end for 3 yards (tackle by L'Jarius Sneed),3.04,2.74,3.0,2024,37
4.0,3:38,,,,,,Timeout #2 by Tennessee Titans,,,3.0,2024,37
4.0,3:38,3.0,5.0,TEN 29,27.0,14.0,Malik Willis pass incomplete short right intended for Jayden Reed,2.74,1.54,3.0,2024,37
4.0,3:34,4.0,5.0,TEN 29,30.0,14.0,Brayden Narveson 47 yard field goal good,1.54,3.0,3.0,2024,37
4.0,3:29,,,GNB 35,30.0,14.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,37
4.0,3:29,1.0,10.0,TEN 30,30.0,14.0,Will Levis pass complete short left to Chigoziem Okonkwo for 7 yards (tackle by Jaire Alexander),0.94,1.34,3.0,2024,37
4.0,3:07,2.0,3.0,TEN 37,30.0,14.0,Will Levis scrambles up the middle for 8 yards (tackle by Quay Walker and Xavier McKinney),1.34,1.93,3.0,2024,37
4.0,2:43,1.0,10.0,TEN 45,30.0,14.0,Will Levis sacked by Preston Smith for -6 yards,1.93,0.57,3.0,2024,37
4.0,2:21,2.0,16.0,TEN 39,30.0,14.0,Will Levis pass incomplete short left intended for Tony Pollard,0.57,-0.1,3.0,2024,37
4.0,2:16,3.0,16.0,TEN 39,30.0,14.0,Will Levis pass deep left intended for Calvin Ridley is intercepted by Xavier McKinney at GB-18 and returned for no gain (tackle by Calvin Ridley),-0.1,-0.04,3.0,2024,37
4.0,2:08,1.0,10.0,GNB 18,30.0,14.0,Chris Brooks up the middle for no gain (tackle by Amani Hooker),0.04,-0.49,3.0,2024,37
4.0,2:00,2.0,10.0,GNB 18,30.0,14.0,Chris Brooks right tackle for 3 yards (tackle by Ernest Jones),-0.49,-0.79,3.0,2024,37
4.0,1:53,,,,,,Timeout #3 by Tennessee Titans,,,3.0,2024,37
4.0,1:53,3.0,7.0,GNB 21,30.0,14.0,Chris Brooks up the middle for no gain (tackle by Ernest Jones and Keondre Coburn),-0.79,-1.96,3.0,2024,37
4.0,1:07,,,,,,Timeout #3 by Green Bay Packers,,,3.0,2024,37
4.0,1:07,4.0,7.0,GNB 21,30.0,14.0,Daniel Whelan punts 52 yards out of bounds,-1.96,-0.74,3.0,2024,37
4.0,1:00,1.0,10.0,TEN 27,30.0,14.0,Will Levis pass complete short right to Josh Whyle for 6 yards (tackle by Eric Stokes),0.74,1.01,3.0,2024,37
4.0,0:42,2.0,4.0,TEN 33,30.0,14.0,Will Levis pass complete short right to Josh Whyle for 7 yards (tackle by Isaiah McDuffie),1.01,1.6,3.0,2024,37
4.0,0:32,1.0,10.0,TEN 40,30.0,14.0,Will Levis pass complete short right to Tyjae Spears for 16 yards (tackle by Preston Smith),1.6,2.65,3.0,2024,37
4.0,0:07,1.0,10.0,GNB 44,30.0,14.0,Will Levis pass complete short left to Tyler Boyd for 12 yards (tackle by Isaiah McDuffie),2.65,1.86,3.0,2024,37
