Quarter,Time,Down,ToGo,Location,MIA,SEA,Detail,EPB,EPA,week,year,game_id
1.0,8:37,1.0,10.0,SEA 47,0.0,3.0,Zach Charbonnet left tackle for 13 yards (tackle by Jordan Poyer),2.06,2.92,3.0,2024,42
1.0,8:13,1.0,10.0,MIA 40,0.0,3.0,Geno Smith pass complete short left to Noah Fant for 11 yards (tackle by Kendall Fuller and Jordyn Brooks),2.92,3.64,3.0,2024,42
1.0,7:39,1.0,10.0,MIA 29,0.0,3.0,Zach Charbonnet left guard for 3 yards (tackle by Jevon Holland),3.64,3.51,3.0,2024,42
1.0,7:17,2.0,7.0,MIA 26,0.0,3.0,Geno Smith pass complete deep right to D.K. Metcalf for 22 yards (tackle by Kendall Fuller),3.51,6.28,3.0,2024,42
1.0,6:48,1.0,4.0,MIA 4,0.0,9.0,"Zach Charbonnet left guard for 4 yards, touchdown",6.28,7.0,3.0,2024,42
1.0,6:44,,,MIA 15,0.0,10.0,Jason Myers kicks extra point good,0.0,0.0,3.0,2024,42
1.0,6:44,,,SEA 35,0.0,10.0,"Jason Myers kicks off 66 yards, returned by De'Von Achane for 32 yards (tackle by Coby Bryant and Drake Thomas)",0.0,1.0,3.0,2024,42
1.0,6:38,1.0,10.0,MIA 31,0.0,10.0,"De'Von Achane left guard for 4 yards (tackle by Rayshawn Jenkins). Penalty on Julian Hill: Offensive Holding, 10 yards (accepted)",1.0,0.61,3.0,2024,42
1.0,6:06,1.0,16.0,MIA 25,0.0,10.0,"Skylar Thompson pass complete short right to Jaylen Waddle for 8 yards (tackle by Rayshawn Jenkins). Penalty on Devon Witherspoon: Unnecessary Roughness / Defense, 15 yards (accepted)",0.61,2.13,3.0,2024,42
1.0,5:49,1.0,10.0,MIA 48,0.0,10.0,De'Von Achane right guard for 9 yards (tackle by Julian Love),2.13,2.8,3.0,2024,42
1.0,5:13,2.0,1.0,SEA 43,0.0,10.0,De'Von Achane right end for -4 yards (tackle by Tyrice Knight),2.8,1.55,3.0,2024,42
1.0,4:23,3.0,5.0,SEA 47,0.0,10.0,"Skylar Thompson sacked by Dre'Mont Jones for -14 yards. Skylar Thompson fumbles (forced by Dre'Mont Jones), recovered by Terron Armstead at MIA-39",1.55,-0.78,3.0,2024,42
1.0,3:45,4.0,19.0,MIA 39,0.0,10.0,Jake Bailey punts 51 yards downed by Blake Ferguson,-0.78,0.38,3.0,2024,42
1.0,3:33,1.0,10.0,SEA 10,0.0,10.0,Zach Charbonnet right tackle for -1 yards (tackle by Emmanuel Ogbah),-0.38,-0.85,3.0,2024,42
1.0,2:54,2.0,11.0,SEA 9,0.0,10.0,"Geno Smith pass complete short right to D.K. Metcalf for no gain (tackle by Jalen Ramsey). Penalty on D.K. Metcalf: Offensive Pass Interference, 4 yards (accepted) (no play)",-0.85,-1.15,3.0,2024,42
1.0,2:33,2.0,15.0,SEA 5,0.0,10.0,Geno Smith pass incomplete short left intended for Tyler Lockett (defended by Kendall Fuller),-1.15,-2.01,3.0,2024,42
1.0,2:28,3.0,15.0,SEA 5,0.0,10.0,Geno Smith pass short left intended for Zach Charbonnet is intercepted by Kader Kohou at SEA-8 and returned for 2 yards (tackle by Zach Charbonnet),-2.01,-5.83,3.0,2024,42
1.0,2:21,1.0,6.0,SEA 6,0.0,10.0,"De'Von Achane up the middle for no gain (tackle by Rayshawn Jenkins). Penalty on Julian Hill: Illegal Motion, 5 yards (accepted) (no play)",5.83,4.77,3.0,2024,42
1.0,1:52,1.0,11.0,SEA 11,0.0,10.0,Skylar Thompson pass complete short left to Tanner Conner for 1 yard (tackle by Rayshawn Jenkins),4.77,4.19,3.0,2024,42
1.0,1:09,2.0,10.0,SEA 10,0.0,10.0,Skylar Thompson pass complete short left to Alec Ingold for 6 yards (tackle by Rayshawn Jenkins and Tyrice Knight),4.19,4.49,3.0,2024,42
1.0,0:23,,,,,,Timeout #1 by Miami Dolphins,,,3.0,2024,42
1.0,0:23,3.0,4.0,SEA 4,0.0,10.0,Skylar Thompson pass incomplete short right,4.49,3.03,3.0,2024,42
1.0,0:15,4.0,4.0,SEA 4,3.0,10.0,Jason Sanders 23 yard field goal good,3.03,3.0,3.0,2024,42
1.0,0:11,,,MIA 35,3.0,10.0,"Jason Sanders kicks off 60 yards, returned by Laviska Shenault for 19 yards (tackle by Tanner Conner). Penalty on Elijah Campbell: Illegal Formation, 5 yards (accepted)",0.0,0.87,3.0,2024,42
1.0,0:05,1.0,10.0,SEA 29,3.0,16.0,"Geno Smith pass complete deep right to D.K. Metcalf for 71 yards, touchdown",0.87,7.0,3.0,2024,42
1.0,0:00,,,MIA 15,3.0,17.0,Jason Myers kicks extra point good,0.0,0.0,3.0,2024,42
2.0,15:00,,,SEA 35,3.0,17.0,"Jason Myers kicks off 60 yards, returned by Braxton Berrios for 31 yards (tackle by Laviska Shenault)",0.0,1.33,3.0,2024,42
2.0,14:55,1.0,10.0,MIA 36,3.0,17.0,Skylar Thompson pass complete short middle to Jaylen Waddle for 10 yards (tackle by Julian Love),1.33,1.99,3.0,2024,42
2.0,14:36,1.0,10.0,MIA 46,3.0,17.0,De'Von Achane left guard for -1 yards (tackle by Johnathan Hankins and Derick Hall),1.99,1.32,3.0,2024,42
2.0,13:53,2.0,11.0,MIA 45,3.0,17.0,Skylar Thompson pass incomplete short left intended for Jonnu Smith,1.32,0.63,3.0,2024,42
2.0,13:49,3.0,11.0,MIA 45,3.0,17.0,Skylar Thompson pass incomplete short left intended for Tyreek Hill,0.63,-0.39,3.0,2024,42
2.0,13:44,4.0,11.0,MIA 45,3.0,17.0,"Jake Bailey punts 39 yards, fair catch by Dee Williams at SEA-16. Penalty on Anthony Walker: Illegal Formation, 5 yards (accepted)",-0.39,-0.34,3.0,2024,42
2.0,13:38,1.0,10.0,SEA 21,3.0,17.0,Geno Smith pass complete short right to Laviska Shenault for 2 yards (tackle by Jevon Holland),0.34,0.07,3.0,2024,42
2.0,13:05,2.0,8.0,SEA 23,3.0,17.0,Zach Charbonnet left guard for 3 yards (tackle by Calais Campbell and Kader Kohou),0.07,-0.23,3.0,2024,42
2.0,12:24,3.0,5.0,SEA 26,3.0,17.0,Geno Smith pass complete short right to Tyler Lockett for 7 yards (tackle by Jalen Ramsey),-0.23,1.14,3.0,2024,42
2.0,11:54,1.0,10.0,SEA 33,3.0,17.0,Geno Smith pass complete short middle to Noah Fant for 16 yards (tackle by Jordan Poyer),1.14,2.19,3.0,2024,42
2.0,11:21,1.0,10.0,SEA 49,3.0,17.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 15 yards (tackle by Kader Kohou and Jordyn Brooks),2.19,3.18,3.0,2024,42
2.0,10:59,1.0,10.0,MIA 36,3.0,17.0,Geno Smith pass incomplete short right intended for Tyler Lockett,3.18,2.64,3.0,2024,42
2.0,10:53,2.0,10.0,MIA 36,3.0,17.0,"Kenny McIntosh right end for no gain (tackle by Jordyn Brooks). Penalty on Anthony Bradford: Offensive Holding, 10 yards (accepted) (no play)",2.64,1.29,3.0,2024,42
2.0,10:28,2.0,20.0,MIA 46,3.0,17.0,Geno Smith pass complete short left to Zach Charbonnet for 3 yards (tackle by Zach Sieler),1.29,1.02,3.0,2024,42
2.0,9:43,3.0,17.0,MIA 43,3.0,17.0,Geno Smith pass complete short right to Pharaoh Brown for 9 yards (tackle by David Long and Storm Duck),1.02,1.06,3.0,2024,42
2.0,9:03,4.0,8.0,MIA 34,3.0,17.0,Jason Myers 53 yard field goal no good,1.06,-1.8,3.0,2024,42
2.0,8:58,1.0,10.0,MIA 43,3.0,17.0,Jaylen Wright left guard for 8 yards (tackle by Boye Mafe),1.8,2.33,3.0,2024,42
2.0,8:31,2.0,2.0,SEA 49,3.0,17.0,De'Von Achane up the middle for 13 yards (tackle by Boye Mafe and Devon Witherspoon),2.33,3.18,3.0,2024,42
2.0,7:53,1.0,10.0,SEA 36,3.0,17.0,Skylar Thompson sacked by Derick Hall for -8 yards,3.18,1.56,3.0,2024,42
2.0,7:09,2.0,18.0,SEA 44,3.0,17.0,Skylar Thompson pass complete short right to Jaylen Waddle for 5 yards (tackle by Devon Witherspoon),1.56,1.55,3.0,2024,42
2.0,6:28,3.0,13.0,SEA 39,3.0,17.0,Skylar Thompson pass incomplete short left intended for Tyreek Hill,1.55,0.66,3.0,2024,42
2.0,6:27,4.0,13.0,SEA 39,3.0,17.0,"Jake Bailey punts 39 yards, touchback.",0.66,-0.28,3.0,2024,42
2.0,6:19,1.0,10.0,SEA 20,3.0,17.0,Geno Smith pass complete short middle to Tyler Lockett for 17 yards (tackle by Jordan Poyer),0.28,1.4,3.0,2024,42
2.0,5:40,1.0,10.0,SEA 37,3.0,17.0,Geno Smith sacked by Zach Sieler for -7 yards,1.4,-0.09,3.0,2024,42
2.0,5:02,2.0,17.0,SEA 30,3.0,17.0,Zach Charbonnet up the middle for 1 yard (tackle by Chop Robinson),-0.09,-0.62,3.0,2024,42
2.0,4:20,3.0,16.0,SEA 31,3.0,17.0,Geno Smith pass incomplete short right intended for Pharaoh Brown (defended by Jaelan Phillips),-0.62,-1.31,3.0,2024,42
2.0,4:13,4.0,16.0,SEA 31,3.0,17.0,"Michael Dickson punts 61 yards, returned by Braxton Berrios for 44 yards (tackle by Michael Dickson)",-1.31,-2.39,3.0,2024,42
2.0,4:00,1.0,10.0,SEA 48,3.0,17.0,Skylar Thompson pass complete short right to Alec Ingold for 4 yards (tackle by Tyrel Dodson),2.39,2.39,3.0,2024,42
2.0,3:14,2.0,6.0,SEA 44,3.0,17.0,Skylar Thompson pass incomplete deep right intended for Tanner Conner,2.39,1.69,3.0,2024,42
2.0,3:07,3.0,6.0,SEA 44,3.0,17.0,"Penalty on Liam Eichenberg: False Start, 5 yards (accepted) (no play)",1.69,1.03,3.0,2024,42
2.0,3:07,3.0,11.0,SEA 49,3.0,17.0,"Skylar Thompson sacked by Boye Mafe for -8 yards. Penalty on Austin Jackson: Illegal Formation, 5 yards (declined)",1.03,-0.52,3.0,2024,42
2.0,2:56,4.0,19.0,MIA 43,3.0,17.0,"Jake Bailey punts, returned by Dee Williams for no gain (tackle by Elijah Campbell). Penalty on Julian Hill: Illegal Formation, 5 yards (accepted) (no play)",-0.52,-0.85,3.0,2024,42
2.0,2:33,4.0,24.0,MIA 38,3.0,17.0,"Jake Bailey punts 57 yards downed by Alec Ingold. Penalty on Duke Riley: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",-0.85,-1.83,3.0,2024,42
2.0,2:33,4.0,39.0,MIA 23,3.0,17.0,"Jake Bailey punts 46 yards, returned by Dee Williams for 11 yards (tackle by Siran Neal and Alec Ingold)",-1.83,-1.73,3.0,2024,42
2.0,2:24,1.0,10.0,SEA 42,3.0,17.0,"Zach Charbonnet left guard for no gain (tackle by Jevon Holland). Penalty on Connor Williams: Offensive Holding, 10 yards (accepted) (no play)",1.73,1.07,3.0,2024,42
2.0,2:00,1.0,20.0,SEA 32,3.0,17.0,Geno Smith pass complete short right to Tyler Lockett for -2 yards (tackle by Jalen Ramsey),1.07,-0.43,3.0,2024,42
2.0,1:16,2.0,22.0,SEA 30,3.0,17.0,Zach Charbonnet left guard for 5 yards (tackle by Jordan Poyer and Storm Duck),-0.43,-0.43,3.0,2024,42
2.0,1:09,,,,,,Timeout #2 by Miami Dolphins,,,3.0,2024,42
2.0,1:09,3.0,17.0,SEA 35,3.0,17.0,"Penalty on Connor Williams: False Start, 5 yards (accepted) (no play)",-0.43,-1.09,3.0,2024,42
2.0,1:09,3.0,22.0,SEA 30,3.0,17.0,Zach Charbonnet right guard for 3 yards (tackle by Emmanuel Ogbah),-1.09,-1.18,3.0,2024,42
2.0,1:01,,,,,,Timeout #3 by Miami Dolphins,,,3.0,2024,42
2.0,1:01,4.0,19.0,SEA 33,3.0,17.0,Michael Dickson punts 44 yards out of bounds,-1.18,-0.48,3.0,2024,42
2.0,0:55,1.0,10.0,MIA 23,3.0,17.0,Skylar Thompson pass complete deep left to Tyreek Hill for 17 yards (tackle by Tre Brown),0.48,1.6,3.0,2024,42
2.0,0:33,1.0,10.0,MIA 40,3.0,17.0,Skylar Thompson pass complete short right to De'Von Achane for 1 yard (tackle by Derick Hall),1.6,1.19,3.0,2024,42
2.0,0:11,2.0,9.0,MIA 41,3.0,17.0,Skylar Thompson pass complete short right to Jonnu Smith for 5 yards (tackle by Rayshawn Jenkins),1.19,1.16,3.0,2024,42
2.0,0:08,3.0,4.0,MIA 46,3.0,17.0,"Skylar Thompson pass incomplete deep left intended for Jonnu Smith (defended by Coby Bryant). Penalty on Riq Woolen: Illegal Contact, 5 yards (accepted) (no play)",1.16,2.32,3.0,2024,42
2.0,0:00,,,,,,Timeout #2 by Seattle Seahawks,,,3.0,2024,42
2.0,0:00,1.0,10.0,SEA 49,3.0,17.0,"Skylar Thompson sacked by Derick Hall for no gain. Skylar Thompson fumbles, ball out of bounds at SEA-49 (forced by Derick Hall). Skylar Thompson fumbles out of bounds",2.32,1.78,3.0,2024,42
3.0,15:00,,,SEA 35,3.0,17.0,"Jason Myers kicks off 69 yards, returned by D'Wayne Eskridge for 28 yards (tackle by Mike Morris). Penalty on Alec Ingold: Illegal Formation, 5 yards (accepted)",0.0,0.15,3.0,2024,42
3.0,14:54,1.0,10.0,MIA 19,3.0,17.0,Skylar Thompson pass complete short middle to Alec Ingold for 6 yards (tackle by Tyrice Knight),0.15,0.48,3.0,2024,42
3.0,14:17,2.0,4.0,MIA 25,3.0,17.0,De'Von Achane left end for 2 yards (tackle by Julian Love and Jarran Reed),0.48,-0.03,3.0,2024,42
3.0,13:30,3.0,2.0,MIA 27,3.0,17.0,Skylar Thompson sacked by Tyrel Dodson for -7 yards,-0.03,-2.03,3.0,2024,42
3.0,12:52,4.0,9.0,MIA 20,3.0,17.0,"Jake Bailey punts 49 yards, returned by Dee Williams for 8 yards (tackle by Elijah Campbell and Julian Hill)",-2.03,-1.53,3.0,2024,42
3.0,12:37,1.0,10.0,SEA 39,3.0,17.0,Zach Charbonnet left guard for 2 yards (tackle by Jordan Poyer and Storm Duck),1.53,1.26,3.0,2024,42
3.0,12:01,2.0,8.0,SEA 41,3.0,17.0,Geno Smith pass complete short right to D.K. Metcalf for 2 yards (tackle by Storm Duck and Jaelan Phillips),1.26,0.83,3.0,2024,42
3.0,11:28,3.0,6.0,SEA 43,3.0,17.0,Geno Smith sacked by Calais Campbell for -7 yards,0.83,-0.98,3.0,2024,42
3.0,10:40,4.0,13.0,SEA 36,3.0,17.0,"Michael Dickson punts, fair catch by Braxton Berrios at MIA-17. Penalty on Patrick O'Connell: Illegal Formation, 5 yards (offset) . Penalty on Jalen Ramsey: Offensive Holding, 10 yards (offset) (no play)",-0.98,-0.98,3.0,2024,42
3.0,10:33,4.0,13.0,SEA 36,3.0,17.0,"Michael Dickson punts 41 yards, fair catch by Braxton Berrios at MIA-23",-0.98,-0.48,3.0,2024,42
3.0,10:26,1.0,10.0,MIA 23,3.0,17.0,Skylar Thompson pass complete deep middle to Tyreek Hill for 17 yards (tackle by Tre Brown),0.48,1.6,3.0,2024,42
3.0,9:46,1.0,10.0,MIA 40,3.0,17.0,Skylar Thompson pass complete short left to De'Von Achane for 5 yards (tackle by Tyrice Knight),1.6,1.73,3.0,2024,42
3.0,9:24,2.0,5.0,MIA 45,3.0,17.0,Jeff Wilson left guard for 4 yards (tackle by Dre'Mont Jones),1.73,1.55,3.0,2024,42
3.0,8:48,3.0,1.0,MIA 49,3.0,17.0,"Alec Ingold right guard for -2 yards. Alec Ingold fumbles, recovered by Jeff Wilson at MIA-47",1.55,-0.26,3.0,2024,42
3.0,8:02,,,,,,Timeout #1 by Miami Dolphins,,,3.0,2024,42
3.0,8:02,4.0,3.0,MIA 47,3.0,17.0,Tim Boyle pass incomplete short left intended for Braxton Berrios (defended by Riq Woolen),-0.26,-2.52,3.0,2024,42
3.0,7:59,1.0,10.0,MIA 46,3.0,17.0,"Zach Charbonnet left tackle for no gain (tackle by Jordan Poyer and Duke Riley). Penalty on Pharaoh Brown: Offensive Holding, 10 yards (accepted) (no play)",2.52,1.86,3.0,2024,42
3.0,7:37,1.0,20.0,SEA 44,3.0,17.0,Geno Smith pass incomplete short right intended for D.K. Metcalf,1.86,0.63,3.0,2024,42
3.0,7:29,2.0,20.0,SEA 44,3.0,17.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf,0.63,-0.03,3.0,2024,42
3.0,7:24,3.0,20.0,SEA 44,3.0,17.0,"Penalty on Anthony Bradford: False Start, 5 yards (accepted) (no play)",-0.03,-0.69,3.0,2024,42
3.0,7:24,3.0,25.0,SEA 39,3.0,17.0,Zach Charbonnet up the middle for 12 yards (tackle by Jordyn Brooks and Marcus Maye),-0.69,0.0,3.0,2024,42
3.0,6:41,4.0,13.0,MIA 49,3.0,17.0,"Michael Dickson punts 49 yards, touchback.",0.0,-0.28,3.0,2024,42
3.0,6:32,1.0,10.0,MIA 20,3.0,17.0,"De'Von Achane right end for no gain (tackle by K'Von Wallace). Penalty on Julian Hill: Offensive Holding, 10 yards (accepted) (no play)",0.28,-0.76,3.0,2024,42
3.0,6:08,1.0,20.0,MIA 10,3.0,17.0,Tim Boyle pass complete short right to Jaylen Waddle for 3 yards (tackle by Mike Morris),-0.76,-1.28,3.0,2024,42
3.0,5:32,2.0,17.0,MIA 13,3.0,17.0,Tim Boyle pass complete short left to Tyreek Hill for 6 yards (tackle by Derick Hall),-1.28,-1.14,3.0,2024,42
3.0,4:55,3.0,11.0,MIA 19,3.0,17.0,Jeff Wilson left guard for 10 yards (tackle by Rayshawn Jenkins),-1.14,-1.44,3.0,2024,42
3.0,4:14,4.0,1.0,MIA 29,3.0,17.0,"Jake Bailey punts 53 yards, fair catch by Dee Williams at SEA-18",-1.44,-0.04,3.0,2024,42
3.0,4:05,1.0,10.0,SEA 18,3.0,17.0,Geno Smith pass complete short left to Noah Fant for 6 yards (tackle by David Long),0.04,0.41,3.0,2024,42
3.0,3:48,2.0,4.0,SEA 24,3.0,17.0,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Kader Kohou),0.41,0.94,3.0,2024,42
3.0,3:30,1.0,10.0,SEA 30,3.0,17.0,Geno Smith pass complete short middle to Noah Fant for 15 yards (tackle by Jordyn Brooks),0.94,1.93,3.0,2024,42
3.0,2:49,1.0,10.0,SEA 45,3.0,17.0,Geno Smith pass complete short middle to Zach Charbonnet for 8 yards (tackle by Jevon Holland),1.93,2.46,3.0,2024,42
3.0,2:10,2.0,2.0,MIA 47,3.0,17.0,Geno Smith pass complete short right to AJ Barner for 8 yards (tackle by Jordyn Brooks and Jalen Ramsey),2.46,2.98,3.0,2024,42
3.0,1:35,1.0,10.0,MIA 39,3.0,17.0,Geno Smith pass complete short right to AJ Barner for -1 yards (tackle by Jalen Ramsey and Jordan Poyer),2.98,2.3,3.0,2024,42
3.0,0:53,2.0,11.0,MIA 40,3.0,17.0,"Geno Smith pass incomplete short middle. Penalty on Geno Smith: Intentional Grounding, 11 yards (accepted)",2.3,0.17,3.0,2024,42
3.0,0:46,3.0,22.0,SEA 49,3.0,17.0,Geno Smith pass short right (defended by Calais Campbell) intended for Tyler Lockett is intercepted by Zach Sieler at MIA-48 and returned for no gain (tackle by Zach Charbonnet and Connor Williams),0.17,-2.13,3.0,2024,42
3.0,0:37,1.0,10.0,MIA 48,3.0,17.0,De'Von Achane left guard for 1 yard (tackle by Dre'Mont Jones and Johnathan Hankins),2.13,1.72,3.0,2024,42
3.0,0:02,2.0,9.0,MIA 49,3.0,17.0,"Tim Boyle pass incomplete short right intended for Alec Ingold. Penalty on Julian Love: Defensive Pass Interference, 13 yards (accepted) (no play)",1.72,3.05,3.0,2024,42
4.0,15:00,1.0,10.0,SEA 38,3.0,17.0,Tim Boyle scrambles right end for 6 yards (tackle by Tyrice Knight),3.05,3.32,3.0,2024,42
4.0,14:19,2.0,4.0,SEA 32,3.0,17.0,De'Von Achane right guard for 3 yards (tackle by Dre'Mont Jones and Jarran Reed),3.32,3.01,3.0,2024,42
4.0,13:36,3.0,1.0,SEA 29,3.0,17.0,De'Von Achane right tackle for 2 yards (tackle by Tyrel Dodson and Boye Mafe),3.01,3.78,3.0,2024,42
4.0,13:01,1.0,10.0,SEA 27,3.0,17.0,Tim Boyle pass complete short right to Jonnu Smith for 13 yards (tackle by K'Von Wallace),3.78,4.65,3.0,2024,42
4.0,12:23,1.0,10.0,SEA 14,3.0,17.0,Tim Boyle pass incomplete short left intended for Jaylen Waddle (defended by Drake Thomas),4.65,4.0,3.0,2024,42
4.0,12:18,2.0,10.0,SEA 14,3.0,17.0,Tim Boyle pass complete short middle to Julian Hill for 11 yards (tackle by Tyrel Dodson and Drake Thomas),4.0,6.51,3.0,2024,42
4.0,11:51,1.0,3.0,SEA 3,3.0,17.0,De'Von Achane up the middle for -1 yards (tackle by Julian Love),6.51,5.34,3.0,2024,42
4.0,11:11,2.0,4.0,SEA 4,3.0,17.0,De'Von Achane right guard for 2 yards (tackle by Tyrel Dodson and Jarran Reed),5.34,4.95,3.0,2024,42
4.0,10:31,3.0,2.0,SEA 2,3.0,17.0,Tim Boyle pass incomplete short left intended for Durham Smythe,4.95,3.25,3.0,2024,42
4.0,10:26,4.0,2.0,SEA 2,3.0,17.0,Tim Boyle pass incomplete short left intended for De'Von Achane,3.25,0.38,3.0,2024,42
4.0,10:22,1.0,10.0,SEA 2,3.0,17.0,Zach Charbonnet up the middle for 3 yards (tackle by Jaelan Phillips and Emmanuel Ogbah),-0.38,-0.56,3.0,2024,42
4.0,9:59,2.0,7.0,SEA 5,3.0,17.0,"Geno Smith pass complete short left to Jaxon Smith-Njigba for 6 yards (tackle by Kader Kohou). Penalty on Kader Kohou: Face Mask (15 Yards), 15 yards (accepted)",-0.56,0.67,3.0,2024,42
4.0,9:37,1.0,10.0,SEA 26,3.0,17.0,Geno Smith pass complete short left to D.K. Metcalf for 9 yards (tackle by Anthony Walker and Jalen Ramsey),0.67,1.35,3.0,2024,42
4.0,9:02,2.0,1.0,SEA 35,3.0,17.0,"Penalty on Laken Tomlinson: False Start, 4 yards (accepted) (no play)",1.35,0.81,3.0,2024,42
4.0,9:02,2.0,5.0,SEA 31,3.0,17.0,"Geno Smith aborted snap, recovered by Geno Smith at SEA-31 Geno Smith pass complete short right to Noah Fant for 4 yards (tackle by Jevon Holland)",0.81,0.63,3.0,2024,42
4.0,8:30,3.0,1.0,SEA 35,3.0,17.0,Zach Charbonnet left guard for 2 yards (tackle by Da'Shawn Hand and Jordyn Brooks),0.63,1.4,3.0,2024,42
4.0,7:48,1.0,10.0,SEA 37,3.0,17.0,Geno Smith pass complete short left to Noah Fant for 8 yards (tackle by Jordan Poyer),1.4,1.94,3.0,2024,42
4.0,7:09,2.0,2.0,SEA 45,3.0,17.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 18 yards (tackle by Jordyn Brooks),1.94,3.12,3.0,2024,42
4.0,6:31,1.0,10.0,MIA 37,3.0,17.0,Zach Charbonnet up the middle for 13 yards (tackle by Marcus Maye),3.12,3.97,3.0,2024,42
4.0,5:46,1.0,10.0,MIA 24,3.0,17.0,Zach Charbonnet left end for 11 yards (tackle by Marcus Maye),3.97,4.71,3.0,2024,42
4.0,5:08,1.0,10.0,MIA 13,3.0,17.0,Zach Charbonnet left guard for 3 yards (tackle by Anthony Walker),4.71,4.58,3.0,2024,42
4.0,5:02,,,,,,Timeout #2 by Miami Dolphins,,,3.0,2024,42
4.0,5:02,2.0,7.0,MIA 10,3.0,23.0,"Zach Charbonnet right guard for 10 yards, touchdown",4.58,7.0,3.0,2024,42
4.0,4:55,,,MIA 15,3.0,24.0,Jason Myers kicks extra point good,0.0,0.0,3.0,2024,42
4.0,4:55,,,SEA 35,3.0,24.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,42
4.0,4:55,1.0,10.0,MIA 30,3.0,24.0,Tim Boyle pass complete short middle to Julian Hill for 13 yards (tackle by Rayshawn Jenkins),0.94,1.8,3.0,2024,42
4.0,4:11,,,,,,Timeout #3 by Miami Dolphins,,,3.0,2024,42
4.0,4:11,1.0,10.0,MIA 43,3.0,24.0,"Tim Boyle pass complete short right to De'Von Achane for no gain (tackle by Tre Brown). Penalty on Jonnu Smith: Illegal Shift, 5 yards (accepted) (no play)",1.8,1.47,3.0,2024,42
4.0,4:04,1.0,15.0,MIA 38,3.0,24.0,Tim Boyle pass complete short middle to D'Wayne Eskridge for 30 yards (tackle by Rayshawn Jenkins),1.47,3.45,3.0,2024,42
4.0,3:42,1.0,10.0,SEA 32,3.0,24.0,Tim Boyle pass complete short right to Durham Smythe for 3 yards (tackle by Rayshawn Jenkins and Drake Thomas),3.45,3.31,3.0,2024,42
4.0,3:18,2.0,7.0,SEA 29,3.0,24.0,"Tim Boyle sacked by Jarran Reed for -9 yards. Penalty on De'Von Achane: Chop Block, 15 yards (declined)",3.31,1.42,3.0,2024,42
4.0,3:14,3.0,16.0,SEA 38,3.0,24.0,Tim Boyle pass incomplete deep right intended for Erik Ezukanma,1.42,0.72,3.0,2024,42
4.0,3:09,4.0,16.0,SEA 38,3.0,24.0,Tim Boyle pass incomplete deep left intended for Erik Ezukanma,0.72,-1.47,3.0,2024,42
