Quarter,Time,Down,ToGo,Location,PHI,NOR,Detail,EPB,EPA,week,year,game_id
2.0,8:54,4.0,1.0,NOR 46,0.0,3.0,Jalen Hurts pass complete short right to Dallas Goedert for 6 yards (tackle by Tyrann Mathieu),0.2,2.92,3.0,2024,39
2.0,8:10,1.0,10.0,NOR 40,0.0,3.0,Saquon Barkley right guard for no gain (tackle by Chase Young and Nathan Shepherd),2.92,2.37,3.0,2024,39
2.0,7:29,2.0,10.0,NOR 40,0.0,3.0,"Jalen Hurts sacked by Carl Granderson for -3 yards. Jalen Hurts fumbles (forced by Carl Granderson), recovered by Willie Gay at NO-43 and returned for 4 yards (tackle by Jalen Hurts)",2.37,-2.06,3.0,2024,39
2.0,7:21,1.0,10.0,NOR 47,0.0,3.0,Alvin Kamara left end for 5 yards (tackle by Zack Baun),2.06,2.19,3.0,2024,39
2.0,6:48,2.0,5.0,PHI 48,0.0,3.0,Alvin Kamara right guard for 4 yards (tackle by Reed Blankenship and C.J. Gardner-Johnson),2.19,2.02,3.0,2024,39
2.0,6:06,3.0,1.0,PHI 44,0.0,3.0,Derek Carr pass complete short left to Foster Moreau for 2 yards (tackle by C.J. Gardner-Johnson),2.02,2.79,3.0,2024,39
2.0,5:23,1.0,10.0,PHI 42,0.0,3.0,Alvin Kamara right tackle for -3 yards (tackle by Jalen Carter),2.79,1.84,3.0,2024,39
2.0,4:45,2.0,13.0,PHI 45,0.0,3.0,Derek Carr pass complete short left to Alvin Kamara for 5 yards (tackle by Nakobe Dean),1.84,1.82,3.0,2024,39
2.0,4:08,3.0,8.0,PHI 40,0.0,3.0,Derek Carr pass incomplete deep left intended for Rashid Shaheed (defended by Quinyon Mitchell),1.82,0.59,3.0,2024,39
2.0,4:02,4.0,8.0,PHI 40,0.0,3.0,"Matthew Hayball punts 33 yards, fair catch by Cooper DeJean at PHI-7",0.59,0.38,3.0,2024,39
2.0,3:55,1.0,10.0,PHI 7,0.0,3.0,Jalen Hurts pass complete short right to Dallas Goedert for 2 yards (tackle by Paulson Adebo),-0.38,-0.63,3.0,2024,39
2.0,3:10,2.0,8.0,PHI 9,0.0,3.0,Jalen Hurts pass incomplete deep right intended for Dallas Goedert,-0.63,-1.19,3.0,2024,39
2.0,3:06,3.0,8.0,PHI 9,0.0,3.0,Jalen Hurts pass complete short left to Johnny Wilson for 9 yards (tackle by Chase Young and Marshon Lattimore),-1.19,0.04,3.0,2024,39
2.0,2:29,1.0,10.0,PHI 18,0.0,3.0,Saquon Barkley right guard for 5 yards (tackle by Willie Gay),0.04,0.28,3.0,2024,39
2.0,2:00,2.0,5.0,PHI 23,0.0,3.0,"Jalen Hurts pass complete short left to Jahan Dotson for 3 yards (tackle by Alontae Taylor). Penalty on Johnny Wilson: Offensive Holding, 10 yards (accepted)",0.28,-0.8,3.0,2024,39
2.0,1:55,2.0,12.0,PHI 16,0.0,3.0,Jalen Hurts pass complete short right to Saquon Barkley for 1 yard (tackle by Paulson Adebo),-0.8,-1.34,3.0,2024,39
2.0,1:49,3.0,11.0,PHI 17,0.0,3.0,Jalen Hurts pass complete short left to DeVonta Smith for 14 yards (tackle by Jordan Howden),-1.34,1.0,3.0,2024,39
2.0,1:21,1.0,10.0,PHI 31,0.0,3.0,Jalen Hurts scrambles right end for 21 yards (tackle by Paulson Adebo),1.0,2.39,3.0,2024,39
2.0,1:11,1.0,10.0,NOR 48,0.0,3.0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by Paulson Adebo),2.39,1.85,3.0,2024,39
2.0,1:06,2.0,10.0,NOR 48,0.0,3.0,Jalen Hurts pass complete short left to Parris Campbell for 7 yards (tackle by Alontae Taylor),1.85,2.08,3.0,2024,39
2.0,0:58,,,,,,Timeout #1 by Philadelphia Eagles,,,3.0,2024,39
2.0,0:58,3.0,3.0,NOR 41,0.0,3.0,"Penalty on Fred Johnson: False Start, 5 yards (accepted) (no play)",2.08,1.42,3.0,2024,39
2.0,0:58,,,,,,Timeout #1 by New Orleans Saints,,,3.0,2024,39
2.0,0:58,3.0,8.0,NOR 46,0.0,3.0,Jalen Hurts pass complete deep left to Dallas Goedert for 22 yards (tackle by Will Harris),1.42,3.97,3.0,2024,39
2.0,0:33,1.0,10.0,NOR 24,0.0,3.0,Jalen Hurts pass incomplete short left,3.97,3.43,3.0,2024,39
2.0,0:27,2.0,10.0,NOR 24,0.0,3.0,Jalen Hurts pass complete short left to Saquon Barkley for 3 yards,3.43,3.14,3.0,2024,39
2.0,0:22,3.0,7.0,NOR 21,0.0,3.0,Jalen Hurts pass complete short right to Parris Campbell for 6 yards (tackle by Demario Davis and Alontae Taylor),3.14,2.59,3.0,2024,39
2.0,0:14,,,,,,Timeout #2 by Philadelphia Eagles,,,3.0,2024,39
2.0,0:14,4.0,1.0,NOR 15,0.0,3.0,Saquon Barkley left end for no gain (tackle by Pete Werner and Chase Young),2.59,0.22,3.0,2024,39
2.0,0:10,1.0,10.0,NOR 15,0.0,3.0,Derek Carr kneels for -1 yards,-0.22,-0.82,3.0,2024,39
3.0,15:00,,,NOR 35,0.0,3.0,"Blake Grupe kicks off 64 yards, returned by Kenneth Gainwell for 22 yards (tackle by Isaiah Stalbird)",0.0,0.48,3.0,2024,39
3.0,14:54,1.0,10.0,PHI 23,0.0,3.0,Saquon Barkley left guard for 11 yards (tackle by Willie Gay),0.48,1.2,3.0,2024,39
3.0,14:13,1.0,10.0,PHI 34,0.0,3.0,Saquon Barkley right tackle for 3 yards (tackle by Nathan Shepherd),1.2,1.06,3.0,2024,39
3.0,13:31,2.0,7.0,PHI 37,0.0,3.0,Jalen Hurts pass complete short left to Saquon Barkley for 3 yards (tackle by Pete Werner),1.06,0.76,3.0,2024,39
