Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA,week,year,game_id
2,10:03,1.0,10.0,BAL 50,0.0,7.0,Trey Sermon right guard for 2 yards (tackle by Brent Urban),2.26,1.98,3.0,2023,37
2,9:19,2.0,8.0,BAL 48,0.0,7.0,Gardner Minshew pass complete short middle to Kylen Granson for 7 yards (tackle by Geno Stone),1.98,2.21,3.0,2023,37
2,8:57,3.0,1.0,BAL 41,0.0,7.0,Zack Moss up the middle for 2 yards (tackle by Kyle Hamilton and Jeremiah Moon),2.21,2.98,3.0,2023,37
2,8:30,1.0,10.0,BAL 39,0.0,7.0,Gardner Minshew pass complete short right to Josh Downs for 9 yards (tackle by Rock Ya-Sin),2.98,3.66,3.0,2023,37
2,8:07,2.0,1.0,BAL 30,0.0,7.0,Zack Moss up the middle for 6 yards (tackle by Patrick Queen and Daryl Worley),3.66,3.97,3.0,2023,37
2,7:40,1.0,10.0,BAL 24,0.0,7.0,Gardner Minshew pass complete short left to Josh Downs for 5 yards (tackle by Kyle Hamilton),3.97,4.12,3.0,2023,37
2,6:56,2.0,5.0,BAL 19,0.0,7.0,Gardner Minshew pass complete short middle to Michael Pittman for 2 yards (tackle by Brandon Stephens),4.12,3.75,3.0,2023,37
2,6:13,3.0,3.0,BAL 17,6.0,7.0,"Gardner Minshew pass complete short right to Zack Moss for 17 yards, touchdown",3.75,7.0,3.0,2023,37
2,6:07,,,BAL 15,7.0,7.0,Matt Gay kicks extra point good,0.0,0.0,3.0,2023,37
2,6:07,,,IND 35,7.0,7.0,"Matt Gay kicks off 61 yards, returned by Devin Duvernay for 20 yards (tackle by Grant Stuard)",0.0,0.54,3.0,2023,37
2,6:03,1.0,10.0,BAL 24,7.0,7.0,"Lamar Jackson sacked by Taven Bryan for -5 yards. Lamar Jackson fumbles (forced by Taven Bryan), recovered by Kwity Paye at BAL-19 and returned for -5 yards",0.54,-4.31,3.0,2023,37
2,5:58,1.0,10.0,BAL 19,7.0,7.0,Zack Moss up the middle for 2 yards (tackle by Patrick Queen and Jeremiah Moon),4.31,4.03,3.0,2023,37
2,5:17,2.0,8.0,BAL 17,7.0,7.0,Gardner Minshew pass complete short middle to Michael Pittman for 7 yards (tackle by Ronald Darby),4.03,4.69,3.0,2023,37
2,4:57,3.0,1.0,BAL 10,7.0,7.0,Zack Moss up the middle for 1 yard (tackle by Geno Stone and Roquan Smith),4.69,5.14,3.0,2023,37
2,4:18,1.0,9.0,BAL 9,7.0,7.0,Zack Moss left tackle for 2 yards (tackle by Justin Madubuike and Roquan Smith),5.14,4.76,3.0,2023,37
2,3:38,2.0,7.0,BAL 7,7.0,7.0,Gardner Minshew pass incomplete short middle intended for Zack Moss,4.76,3.81,3.0,2023,37
2,3:34,3.0,7.0,BAL 7,7.0,7.0,Gardner Minshew pass incomplete short left intended for Kylen Granson,3.81,2.97,3.0,2023,37
2,3:30,,,,,,Timeout #1 by Baltimore Ravens,,,3.0,2023,37
2,3:30,4.0,7.0,BAL 7,7.0,7.0,"Penalty on IND: Delay of Game, 5 yards (accepted) (no play)",2.97,2.63,3.0,2023,37
2,3:28,4.0,12.0,BAL 12,10.0,7.0,Matt Gay 31 yard field goal good,2.63,3.0,3.0,2023,37
2,3:26,,,IND 35,10.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,37
2,3:26,1.0,10.0,BAL 25,10.0,7.0,Lamar Jackson left end for 5 yards (tackle by Julian Blackmon),0.61,0.74,3.0,2023,37
2,2:55,2.0,5.0,BAL 30,10.0,7.0,"Kenyan Drake right end for no gain (tackle by Zaire Franklin). Penalty on Zay Flowers: Illegal Shift, 5 yards (declined)",0.74,0.04,3.0,2023,37
2,2:41,3.0,5.0,BAL 30,10.0,7.0,"Sam Mustipher aborted snap, recovered by Lamar Jackson at BAL-30",0.04,-2.14,3.0,2023,37
2,2:00,4.0,16.0,BAL 19,10.0,7.0,"Jordan Stout punts 51 yards, returned by Isaiah McKenzie for 16 yards (tackle by Isaiah Likely and Jalyn Armour-Davis)",-2.14,-1.99,3.0,2023,37
2,1:49,1.0,10.0,IND 46,10.0,7.0,Zack Moss right tackle for 3 yards (tackle by Travis Jones),1.99,1.86,3.0,2023,37
2,1:33,,,,,,Timeout #2 by Baltimore Ravens,,,3.0,2023,37
2,1:33,2.0,7.0,IND 49,10.0,7.0,Zack Moss up the middle for 6 yards (tackle by Jadeveon Clowney),1.86,1.95,3.0,2023,37
2,1:14,3.0,1.0,BAL 45,10.0,7.0,Zack Moss up the middle for 2 yards (tackle by Daryl Worley and Roquan Smith),1.95,2.72,3.0,2023,37
2,0:52,1.0,10.0,BAL 43,10.0,7.0,Gardner Minshew pass incomplete deep right intended for Michael Pittman (defended by Ronald Darby),2.72,2.18,3.0,2023,37
2,0:47,2.0,10.0,BAL 43,10.0,7.0,"Penalty on Quenton Nelson: False Start, 5 yards (accepted) (no play)",2.18,1.5,3.0,2023,37
2,0:47,2.0,15.0,BAL 48,10.0,7.0,Gardner Minshew pass complete short left to Josh Downs for 6 yards (tackle by Kyle Hamilton),1.5,1.62,3.0,2023,37
2,0:42,3.0,9.0,BAL 42,10.0,7.0,"Gardner Minshew sacked by Kyle Hamilton for -16 yards. Gardner Minshew fumbles (forced by Kyle Hamilton), recovered by Michael Pittman at IND-43",1.62,-0.52,3.0,2023,37
2,0:27,4.0,24.0,IND 43,10.0,7.0,"Rigoberto Sanchez punts 50 yards, returned by Devin Duvernay for 5 yards (tackle by Jaylon Jones)",-0.52,0.35,3.0,2023,37
2,0:18,1.0,10.0,BAL 12,10.0,7.0,Gus Edwards right guard for 14 yards (tackle by Shaquille Leonard and Julian Blackmon),-0.35,0.67,3.0,2023,37
3,15:00,,,IND 35,10.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,37
3,15:00,1.0,10.0,BAL 25,10.0,7.0,Gus Edwards right guard for 3 yards (tackle by Zaire Franklin),0.61,0.47,3.0,2023,37
3,14:25,2.0,7.0,BAL 28,10.0,7.0,Lamar Jackson pass complete short left to Zay Flowers for 6 yards (tackle by Zaire Franklin and Julian Blackmon),0.47,0.56,3.0,2023,37
3,14:08,3.0,1.0,BAL 34,10.0,7.0,Gus Edwards left tackle for 2 yards (tackle by Dayo Odeyingbo),0.56,1.33,3.0,2023,37
3,13:33,1.0,10.0,BAL 36,10.0,7.0,"Penalty on Morgan Moses: False Start, 5 yards (accepted) (no play)",1.33,1.0,3.0,2023,37
3,13:14,1.0,15.0,BAL 31,10.0,7.0,Lamar Jackson pass complete short middle to Mark Andrews for 3 yards (tackle by Julian Blackmon),1.0,0.52,3.0,2023,37
3,12:36,2.0,12.0,BAL 34,10.0,7.0,Lamar Jackson scrambles left end for 11 yards (tackle by Zaire Franklin),0.52,1.29,3.0,2023,37
3,11:50,3.0,1.0,BAL 45,10.0,7.0,Gus Edwards right tackle for -2 yards (tackle by E.J. Speed),1.29,-0.52,3.0,2023,37
3,11:05,4.0,3.0,BAL 43,10.0,7.0,"Jordan Stout punts 44 yards, returned by Isaiah McKenzie for 32 yards (tackle by Tyler Ott)",-0.52,-1.93,3.0,2023,37
3,10:54,1.0,10.0,IND 45,10.0,7.0,Zack Moss right end for 1 yard (tackle by Justin Madubuike),1.93,1.52,3.0,2023,37
3,10:13,2.0,9.0,IND 46,10.0,7.0,Gardner Minshew pass complete short middle to Andrew Ogletree for 11 yards (tackle by Jeremiah Moon and Roquan Smith),1.52,2.72,3.0,2023,37
3,9:50,1.0,10.0,BAL 43,10.0,7.0,Trey Sermon up the middle for 4 yards (tackle by Brandon Stephens),2.72,2.72,3.0,2023,37
3,9:27,2.0,6.0,BAL 39,10.0,7.0,Trey Sermon left guard for 3 yards (tackle by Kyle Hamilton),2.72,2.41,3.0,2023,37
3,8:43,3.0,3.0,BAL 36,10.0,7.0,Gardner Minshew pass incomplete deep right intended for Josh Downs,2.41,0.89,3.0,2023,37
3,8:38,4.0,3.0,BAL 36,13.0,7.0,Matt Gay 54 yard field goal good,0.89,3.0,3.0,2023,37
3,8:33,,,IND 35,13.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,37
3,8:33,1.0,10.0,BAL 25,13.0,7.0,Lamar Jackson pass complete short right to Zay Flowers for 4 yards (tackle by Julian Blackmon),0.61,0.6,3.0,2023,37
3,8:00,2.0,6.0,BAL 29,13.0,7.0,Lamar Jackson pass incomplete short right,0.6,-0.1,3.0,2023,37
3,7:55,3.0,6.0,BAL 29,13.0,7.0,Lamar Jackson pass incomplete short middle intended for Mark Andrews,-0.1,-1.44,3.0,2023,37
3,7:44,4.0,6.0,BAL 29,13.0,7.0,"Jordan Stout punts 49 yards, fair catch by Isaiah McKenzie at IND-22. Penalty on Nick Cross: Offensive Holding, 10 yards (accepted)",-1.44,0.35,3.0,2023,37
3,7:44,1.0,10.0,IND 12,13.0,7.0,Trey Sermon left guard for 3 yards (tackle by Tavius Robinson and Travis Jones),-0.35,-0.5,3.0,2023,37
3,7:02,2.0,7.0,IND 15,13.0,7.0,Gardner Minshew pass complete short left to Trey Sermon for 4 yards (tackle by Patrick Queen),-0.5,-0.6,3.0,2023,37
3,6:23,3.0,3.0,IND 19,13.0,7.0,Gardner Minshew pass complete short left to Josh Downs for 10 yards (tackle by Brandon Stephens),-0.6,0.87,3.0,2023,37
3,5:57,1.0,10.0,IND 29,13.0,7.0,Gardner Minshew pass incomplete short right intended for Josh Downs (defended by Kyle Hamilton),0.87,0.33,3.0,2023,37
3,5:55,2.0,10.0,IND 29,13.0,7.0,Gardner Minshew pass incomplete deep left intended for Alec Pierce,0.33,-0.36,3.0,2023,37
3,5:50,3.0,10.0,IND 29,13.0,7.0,Gardner Minshew pass incomplete deep left intended for Josh Downs,-0.36,-1.44,3.0,2023,37
3,5:41,4.0,10.0,IND 29,13.0,7.0,"Rigoberto Sanchez punts 54 yards, returned by Devin Duvernay for 2 yards (tackle by Trevor Denbow)",-1.44,-0.15,3.0,2023,37
3,5:29,1.0,10.0,BAL 19,13.0,7.0,Lamar Jackson left tackle for 13 yards (tackle by Zaire Franklin),0.15,1.07,3.0,2023,37
3,5:09,1.0,10.0,BAL 32,13.0,7.0,Lamar Jackson pass complete short left to Zay Flowers for 4 yards (tackle by Grover Stewart),1.07,1.07,3.0,2023,37
3,4:35,2.0,6.0,BAL 36,13.0,7.0,Lamar Jackson pass complete short middle to Zay Flowers for 5 yards (tackle by Zaire Franklin and Shaquille Leonard),1.07,1.03,3.0,2023,37
3,4:03,3.0,1.0,BAL 41,13.0,7.0,Gus Edwards up the middle for 10 yards (tackle by Shaquille Leonard),1.03,2.32,3.0,2023,37
3,3:30,1.0,10.0,IND 49,13.0,7.0,Gus Edwards left guard for 4 yards (tackle by DeForest Buckner and Julian Blackmon),2.32,2.32,3.0,2023,37
3,2:54,2.0,6.0,IND 45,13.0,7.0,Melvin Gordon right guard for 15 yards (tackle by Julian Blackmon and Rodney Thomas),2.32,3.58,3.0,2023,37
3,2:16,1.0,10.0,IND 30,13.0,7.0,Lamar Jackson pass complete short left to Melvin Gordon for 11 yards (tackle by Zaire Franklin),3.58,4.31,3.0,2023,37
3,1:38,1.0,10.0,IND 19,13.0,7.0,Melvin Gordon left tackle for -2 yards (tackle by Samson Ebukam),4.31,3.49,3.0,2023,37
3,0:58,2.0,12.0,IND 21,13.0,7.0,Lamar Jackson pass complete short middle to Nelson Agholor for 11 yards (tackle by Julius Brents),3.49,4.69,3.0,2023,37
3,0:19,3.0,1.0,IND 10,13.0,13.0,"Lamar Jackson up the middle for 10 yards, touchdown",4.69,7.0,3.0,2023,37
3,0:13,,,IND 15,13.0,14.0,Justin Tucker kicks extra point good,0.0,0.0,3.0,2023,37
3,0:13,,,BAL 35,13.0,14.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,37
3,0:13,1.0,10.0,IND 25,13.0,14.0,Zack Moss left end for 24 yards (tackle by Geno Stone),0.61,2.19,3.0,2023,37
4,15:00,1.0,10.0,IND 49,13.0,14.0,Zack Moss left tackle for 1 yard (tackle by Justin Madubuike and Patrick Queen),2.19,1.78,3.0,2023,37
4,14:18,2.0,9.0,BAL 50,13.0,14.0,Gardner Minshew pass complete short left to Josh Downs for 3 yards (tackle by Patrick Queen),1.78,1.49,3.0,2023,37
4,13:38,3.0,6.0,BAL 47,13.0,14.0,Gardner Minshew pass complete short left to Michael Pittman for 8 yards (tackle by Patrick Queen),1.49,2.98,3.0,2023,37
4,12:56,1.0,10.0,BAL 39,13.0,14.0,Trey Sermon left tackle for 5 yards (tackle by Patrick Queen and Tavius Robinson),2.98,3.12,3.0,2023,37
4,12:11,2.0,5.0,BAL 34,13.0,14.0,Zack Moss left guard for -1 yards (tackle by Justin Madubuike and Patrick Queen),3.12,2.28,3.0,2023,37
4,11:31,3.0,6.0,BAL 35,13.0,14.0,Gardner Minshew pass incomplete short left intended for Trey Sermon,2.28,0.97,3.0,2023,37
4,11:27,4.0,6.0,BAL 35,16.0,14.0,Matt Gay 53 yard field goal good,0.97,3.0,3.0,2023,37
4,11:22,,,IND 35,16.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,37
4,11:22,1.0,10.0,BAL 25,16.0,14.0,Lamar Jackson pass complete short left to Kenyan Drake for 7 yards (tackle by Zaire Franklin),0.61,1.01,3.0,2023,37
4,10:48,2.0,3.0,BAL 32,16.0,14.0,Lamar Jackson left tackle for 5 yards (tackle by Dallis Flowers),1.01,1.4,3.0,2023,37
4,10:10,1.0,10.0,BAL 37,16.0,14.0,Lamar Jackson pass complete short middle to Zay Flowers for 7 yards (tackle by Zaire Franklin and Shaquille Leonard),1.4,1.8,3.0,2023,37
4,9:36,2.0,3.0,BAL 44,16.0,14.0,Lamar Jackson scrambles up the middle for 16 yards (tackle by Zaire Franklin),1.8,2.92,3.0,2023,37
4,8:59,1.0,10.0,IND 40,16.0,14.0,Gus Edwards right guard for 2 yards (tackle by Zaire Franklin and Samson Ebukam),2.92,2.64,3.0,2023,37
4,8:23,2.0,8.0,IND 38,16.0,14.0,Lamar Jackson pass incomplete short left intended for Rashod Bateman,2.64,1.95,3.0,2023,37
4,8:20,3.0,8.0,IND 38,16.0,14.0,Lamar Jackson pass complete short middle to Nelson Agholor for 6 yards (tackle by Kenny Moore),1.95,1.3,3.0,2023,37
4,7:38,4.0,2.0,IND 32,16.0,17.0,Justin Tucker 50 yard field goal good,1.3,3.0,3.0,2023,37
4,7:33,,,BAL 35,16.0,17.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,37
4,7:33,1.0,10.0,IND 25,16.0,17.0,Gardner Minshew pass complete short left to Alec Pierce for 8 yards (tackle by Brandon Stephens),0.61,1.14,3.0,2023,37
4,6:54,2.0,2.0,IND 33,16.0,17.0,Zack Moss left guard for 2 yards (tackle by Roquan Smith),1.14,1.27,3.0,2023,37
4,6:22,1.0,10.0,IND 35,16.0,17.0,Zack Moss left end for 5 yards (tackle by Roquan Smith),1.27,1.4,3.0,2023,37
4,5:45,2.0,5.0,IND 40,16.0,17.0,Zack Moss left guard for no gain (tackle by Patrick Queen),1.4,0.7,3.0,2023,37
4,5:02,3.0,5.0,IND 40,16.0,17.0,Gardner Minshew pass incomplete short right intended for Josh Downs,0.7,-0.72,3.0,2023,37
4,4:55,4.0,5.0,IND 40,16.0,17.0,"Rigoberto Sanchez punts 39 yards, fair catch by Devin Duvernay at BAL-21",-0.72,-0.34,3.0,2023,37
4,4:48,1.0,10.0,BAL 21,16.0,17.0,Lamar Jackson right end for -2 yards (tackle by Julian Blackmon),0.34,-0.53,3.0,2023,37
4,4:10,2.0,12.0,BAL 19,16.0,17.0,Melvin Gordon right tackle for 6 yards (tackle by DeForest Buckner),-0.53,-0.36,3.0,2023,37
4,3:31,3.0,6.0,BAL 25,16.0,17.0,"Lamar Jackson scrambles left end for 14 yards (tackle by E.J. Speed). Penalty on Kenny Moore: Defensive Holding, 5 yards (accepted)",-0.36,1.86,3.0,2023,37
4,3:20,1.0,10.0,BAL 44,16.0,17.0,Lamar Jackson left tackle for 3 yards (tackle by Tyquan Lewis),1.86,1.72,3.0,2023,37
4,2:44,2.0,7.0,BAL 47,16.0,17.0,Melvin Gordon left guard for 2 yards (tackle by E.J. Speed and Grover Stewart),1.72,1.29,3.0,2023,37
4,2:32,,,,,,Timeout #1 by Indianapolis Colts,,,3.0,2023,37
4,2:32,3.0,5.0,BAL 49,16.0,17.0,Lamar Jackson sacked by Zaire Franklin for -4 yards,1.29,-0.39,3.0,2023,37
4,2:28,,,,,,Timeout #2 by Indianapolis Colts,,,3.0,2023,37
4,2:28,4.0,9.0,BAL 45,16.0,17.0,Jordan Stout punts 53 yards downed by Jalyn Armour-Davis,-0.39,0.38,3.0,2023,37
4,2:14,1.0,10.0,IND 2,16.0,17.0,Gardner Minshew pass incomplete short middle intended for Kylen Granson,-0.38,-0.78,3.0,2023,37
4,2:11,2.0,10.0,IND 2,16.0,17.0,"Penalty on Braden Smith: False Start, 1 yard (accepted) (no play)",-0.78,-0.85,3.0,2023,37
4,2:11,2.0,11.0,IND 1,16.0,17.0,Gardner Minshew pass incomplete short left,-0.85,-1.54,3.0,2023,37
4,2:05,3.0,11.0,IND 1,16.0,19.0,Gardner Minshew sacked by,-1.54,-2.0,3.0,2023,37
4,2:03,,,IND 20,16.0,19.0,"Rigoberto Sanchez kicks off 62 yards,",0.0,0.61,3.0,2023,37
4,2:03,1.0,10.0,BAL 25,16.0,19.0,Melvin Gordon right guard for 1 yard (tackle by Grover Stewart and Kenny Moore),0.61,0.2,3.0,2023,37
4,1:59,2.0,9.0,BAL 26,16.0,19.0,Melvin Gordon left guard for no gain (tackle by Grover Stewart),0.2,-0.49,3.0,2023,37
4,1:55,,,,,,Timeout #3 by Indianapolis Colts,,,3.0,2023,37
4,1:55,,,,,,Timeout #1 by Baltimore Ravens,,,3.0,2023,37
4,1:55,3.0,9.0,BAL 26,16.0,19.0,"Zay Flowers right end for 2 yards (tackle by Kwity Paye). Penalty on Nelson Agholor: Illegal Blindside Block, 15 yards (declined)",-0.49,-1.5,3.0,2023,37
4,1:48,4.0,7.0,BAL 28,16.0,19.0,"Jordan Stout punts 34 yards, fair catch by Isaiah McKenzie at IND-38",-1.5,-1.47,3.0,2023,37
4,1:41,1.0,10.0,IND 38,16.0,19.0,Gardner Minshew pass complete short right to Alec Pierce for 12 yards,1.47,2.26,3.0,2023,37
4,1:36,1.0,10.0,BAL 50,16.0,19.0,Gardner Minshew pass complete short left to Josh Downs for 12 yards (tackle by Daryl Worley),2.26,3.05,3.0,2023,37
4,1:31,1.0,10.0,BAL 38,16.0,19.0,Gardner Minshew pass complete short left to Michael Pittman for 7 yards (tackle by Brandon Stephens and Roquan Smith),3.05,3.45,3.0,2023,37
4,1:12,2.0,3.0,BAL 31,16.0,19.0,Gardner Minshew pass complete short left to Michael Pittman for 2 yards (tackle by Brandon Stephens),3.45,3.01,3.0,2023,37
4,1:07,3.0,1.0,BAL 29,16.0,19.0,"Penalty on Braden Smith: False Start, 5 yards (accepted) (no play)",3.01,2.34,3.0,2023,37
4,1:07,3.0,6.0,BAL 34,16.0,19.0,Gardner Minshew pass incomplete deep left intended for Alec Pierce (defended by Brandon Stephens),2.34,1.07,3.0,2023,37
4,1:02,4.0,6.0,BAL 34,19.0,19.0,Matt Gay 53 yard field goal good,1.07,3.0,3.0,2023,37
4,0:57,,,IND 35,19.0,19.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,37
4,0:57,1.0,10.0,BAL 25,19.0,19.0,Lamar Jackson pass incomplete deep left intended for Rashod Bateman,0.61,0.06,3.0,2023,37
4,0:52,2.0,10.0,BAL 25,19.0,19.0,Lamar Jackson pass complete short left to Zay Flowers for 8 yards (tackle by Dallis Flowers),0.06,0.43,3.0,2023,37
4,0:33,3.0,2.0,BAL 33,19.0,19.0,Lamar Jackson pass complete short left to Nelson Agholor for 4 yards (tackle by Dallis Flowers),0.43,1.4,3.0,2023,37
4,0:29,1.0,10.0,BAL 37,19.0,19.0,Lamar Jackson pass complete short middle to Melvin Gordon for 12 yards (tackle by E.J. Speed),1.4,2.19,3.0,2023,37
4,0:23,,,,,,Timeout #2 by Baltimore Ravens,,,3.0,2023,37
