Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA,week,year,game_id
2.0,4:06,1.0,10.0,NYG 34,3.0,10.0,Elijah Mitchell up the middle for 1 yard (tackle by Leonard Williams),3.31,2.91,3.0,2023,33
2.0,3:22,2.0,9.0,NYG 33,3.0,10.0,Brock Purdy pass complete short middle to Ronnie Bell for 15 yards (tackle by Xavier McKinney),2.91,4.37,3.0,2023,33
2.0,2:39,1.0,10.0,NYG 18,3.0,10.0,Elijah Mitchell right tackle for 5 yards (tackle by Micah McFadden),4.37,4.61,3.0,2023,33
2.0,2:00,2.0,5.0,NYG 13,3.0,10.0,"Deebo Samuel left end for 2 yards (tackle by Deonte Banks). Penalty on Trent Williams: Offensive Holding, 10 yards (accepted)",4.61,3.42,3.0,2023,33
2.0,1:56,2.0,13.0,NYG 21,3.0,10.0,Brock Purdy pass complete short right to Christian McCaffrey for 1 yard (tackle by Jihad Ward),3.42,2.87,3.0,2023,33
2.0,1:51,,,,,,Timeout #1 by New York Giants,,,3.0,2023,33
2.0,1:51,3.0,12.0,NYG 20,3.0,10.0,Brock Purdy pass complete short right to George Kittle for 11 yards (tackle by Isaiah Simmons and Tre Hawkins),2.87,2.93,3.0,2023,33
2.0,1:51,4.0,3.0,NYG 9,3.0,10.0,"Penalty on Leonard Williams: Roughing the Passer, 5 yards (accepted) (no play)",2.93,6.28,3.0,2023,33
2.0,1:44,,,,,,Timeout #2 by New York Giants,,,3.0,2023,33
2.0,1:44,1.0,4.0,NYG 4,3.0,16.0,"Christian McCaffrey up the middle for 4 yards, touchdown",6.28,7.0,3.0,2023,33
2.0,1:40,,,NYG 15,3.0,17.0,Jake Moody kicks extra point good,0.0,0.0,3.0,2023,33
2.0,1:40,,,SFO 35,3.0,17.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,33
2.0,1:40,1.0,10.0,NYG 25,3.0,17.0,Daniel Jones pass complete short left to Parris Campbell for 2 yards (tackle by Tashaun Gipson),0.61,0.33,3.0,2023,33
2.0,1:19,2.0,8.0,NYG 27,3.0,17.0,Daniel Jones pass complete short middle to Darren Waller for 6 yards (tackle by Fred Warner),0.33,0.43,3.0,2023,33
2.0,0:58,3.0,2.0,NYG 33,3.0,17.0,Daniel Jones pass complete short left to Darren Waller for 5 yards (tackle by George Odum and Dre Greenlaw),0.43,1.47,3.0,2023,33
2.0,0:38,1.0,10.0,NYG 38,3.0,17.0,Daniel Jones pass complete short left to Darius Slayton for 17 yards (tackle by Deommodore Lenoir),1.47,2.59,3.0,2023,33
2.0,0:32,1.0,10.0,SFO 45,3.0,17.0,Daniel Jones pass complete short left to Parris Campbell for 7 yards (tackle by Deommodore Lenoir),2.59,2.99,3.0,2023,33
2.0,0:25,,,,,,Timeout #3 by New York Giants,,,3.0,2023,33
2.0,0:25,2.0,3.0,SFO 38,3.0,17.0,Daniel Jones pass incomplete short left intended for Darren Waller,2.99,2.28,3.0,2023,33
2.0,0:22,3.0,3.0,SFO 38,3.0,17.0,Daniel Jones pass incomplete deep right intended for Isaiah Hodgins,2.28,0.72,3.0,2023,33
2.0,0:18,4.0,3.0,SFO 38,6.0,17.0,Graham Gano 57 yard field goal good,0.72,3.0,3.0,2023,33
2.0,0:13,,,NYG 35,6.0,17.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,33
2.0,0:13,1.0,10.0,SFO 25,6.0,17.0,"Brock Purdy kneels for -1 yards. Penalty on Trent Williams: Unnecessary Roughness / Offense, 15 yards (offset) . Penalty on A'Shawn Robinson: Unnecessary Roughness / Defense, 15 yards (offset)",0.61,0.54,3.0,2023,33
2.0,0:06,1.0,10.0,SFO 24,6.0,17.0,Brock Purdy kneels for -1 yards,0.54,-0.14,3.0,2023,33
3.0,15:00,,,SFO 35,6.0,17.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,33
3.0,15:00,1.0,10.0,NYG 25,6.0,17.0,Gary Brightwell left tackle for 2 yards (tackle by Javon Hargrave and Nick Bosa),0.61,0.33,3.0,2023,33
3.0,14:23,2.0,8.0,NYG 27,6.0,17.0,Daniel Jones pass complete short left to Gary Brightwell for 13 yards (tackle by Tashaun Gipson),0.33,1.6,3.0,2023,33
3.0,13:52,1.0,10.0,NYG 40,6.0,17.0,Gary Brightwell left end for -1 yards (tackle by Oren Burks),1.6,0.92,3.0,2023,33
3.0,13:13,2.0,11.0,NYG 39,6.0,17.0,Daniel Jones left end for 4 yards (tackle by Dre Greenlaw),0.92,0.76,3.0,2023,33
3.0,12:32,3.0,7.0,NYG 43,6.0,17.0,Daniel Jones pass incomplete short right intended for Darius Slayton,0.76,-0.52,3.0,2023,33
3.0,12:24,4.0,7.0,NYG 43,6.0,17.0,"Jamie Gillan punts 49 yards, returned by Ray-Ray McCloud for no gain (tackle by Cam Brown). Penalty on Tre Swilling: Offensive Holding, 4 yards (accepted)",-0.52,0.38,3.0,2023,33
3.0,12:14,1.0,10.0,SFO 4,6.0,17.0,Christian McCaffrey right guard for 3 yards (tackle by A'Shawn Robinson),-0.38,-0.56,3.0,2023,33
3.0,11:38,2.0,7.0,SFO 7,6.0,17.0,"Brock Purdy aborted snap, recovered by Brock Purdy at SF-6 and returned for -1 yards Brock Purdy for no gain",-0.56,-1.19,3.0,2023,33
3.0,11:01,3.0,8.0,SFO 6,6.0,17.0,Brock Purdy pass incomplete short left intended for Jauan Jennings (defended by Darnay Holmes),-1.19,-2.49,3.0,2023,33
3.0,10:46,4.0,8.0,SFO 6,6.0,17.0,"Mitch Wishnowsky punts 46 yards, fair catch by Eric Gray at NYG-48. Penalty on Shemar Jean-Charles: Fair Catch Interference, 15 yards (accepted)",-2.49,-3.12,3.0,2023,33
3.0,10:46,1.0,10.0,SFO 37,6.0,17.0,Daniel Jones pass complete short right to Parris Campbell for 7 yards (tackle by Charvarius Ward and Oren Burks),3.12,3.52,3.0,2023,33
3.0,10:11,2.0,3.0,SFO 30,6.0,17.0,"Daniel Jones pass incomplete deep left intended for Darren Waller. Penalty on Deommodore Lenoir: Defensive Pass Interference, 22 yards (accepted) (no play)",3.52,5.37,3.0,2023,33
3.0,10:06,1.0,8.0,SFO 8,12.0,17.0,"Matt Breida right tackle for 8 yards, touchdown",5.37,7.0,3.0,2023,33
3.0,10:00,,,SFO 2,12.0,17.0,"Two Point Attempt: Daniel Jones pass incomplete, sacked by Daniel Jones sacked by",1.0,-1.0,3.0,2023,33
3.0,10:00,,,NYG 35,12.0,17.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,33
3.0,10:00,1.0,10.0,SFO 25,12.0,17.0,Brock Purdy pass complete deep middle to Deebo Samuel for 40 yards (tackle by Micah McFadden),0.61,3.25,3.0,2023,33
3.0,9:09,1.0,10.0,NYG 35,12.0,17.0,Brock Purdy sacked by and D.J. Davidson for -6 yards and Leonard Williams for -6 yards,3.25,1.89,3.0,2023,33
3.0,8:26,2.0,16.0,NYG 41,12.0,17.0,Brock Purdy pass complete short right to George Kittle for 12 yards (tackle by Xavier McKinney),1.89,2.81,3.0,2023,33
3.0,7:42,3.0,4.0,NYG 29,12.0,17.0,"Brock Purdy pass incomplete deep left intended for Deebo Samuel. Penalty on Darnay Holmes: Defensive Holding, 5 yards (accepted) (no play)",2.81,3.97,3.0,2023,33
3.0,7:37,1.0,10.0,NYG 24,12.0,17.0,Christian McCaffrey up the middle for 4 yards (tackle by Dexter Lawrence),3.97,3.97,3.0,2023,33
3.0,6:56,2.0,6.0,NYG 20,12.0,17.0,Brock Purdy pass complete short left to Christian McCaffrey for 6 yards (tackle by Adoree' Jackson),3.97,4.65,3.0,2023,33
3.0,6:26,1.0,10.0,NYG 14,12.0,17.0,Christian McCaffrey right guard for 6 yards (tackle by Bobby Okereke),4.65,5.09,3.0,2023,33
3.0,5:46,2.0,4.0,NYG 8,12.0,17.0,Christian McCaffrey right end for -4 yards (tackle by Micah McFadden),5.09,3.43,3.0,2023,33
3.0,5:02,3.0,8.0,NYG 12,12.0,17.0,"Brock Purdy pass incomplete short middle intended for George Kittle. Penalty on Kayvon Thibodeaux: Illegal Contact, 5 yards (accepted) (no play)",3.43,5.6,3.0,2023,33
3.0,4:58,1.0,7.0,NYG 7,12.0,17.0,Christian McCaffrey up the middle for 4 yards (tackle by Jason Pinnock and Dexter Lawrence),5.6,5.53,3.0,2023,33
