Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA,week,year,game_id
3.0,14:54,2.0,10.0,PHI 25,13.0,3.0,Jalen Hurts pass complete short left to DeVonta Smith for 7 yards,0.06,0.3,3.0,2023,47
3.0,14:20,3.0,3.0,PHI 32,13.0,3.0,Jalen Hurts scrambles right end for 4 yards (tackle by Logan Hall),0.3,1.33,3.0,2023,47
3.0,13:48,1.0,10.0,PHI 36,13.0,3.0,D'Andre Swift up the middle for 2 yards (tackle by Lavonte David),1.33,1.06,3.0,2023,47
3.0,13:11,2.0,8.0,PHI 38,13.0,3.0,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Jamel Dean),1.06,2.19,3.0,2023,47
3.0,12:32,1.0,10.0,PHI 49,13.0,3.0,Jalen Hurts pass complete short left to Dallas Goedert for 9 yards (tackle by Anthony Nelson),2.19,2.86,3.0,2023,47
3.0,12:03,2.0,1.0,TAM 42,13.0,3.0,D'Andre Swift up the middle for 26 yards (tackle by Ryan Neal),2.86,4.51,3.0,2023,47
3.0,11:31,1.0,10.0,TAM 16,13.0,3.0,D'Andre Swift right tackle for 9 yards (tackle by Christian Izien and Zyon McCollum),4.51,5.54,3.0,2023,47
3.0,11:01,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,3.0,2023,47
3.0,11:01,2.0,1.0,TAM 7,13.0,3.0,D'Andre Swift left tackle for 1 yard (tackle by Antoine Winfield and Dee Delaney),5.54,5.83,3.0,2023,47
3.0,10:29,1.0,6.0,TAM 6,13.0,3.0,D'Andre Swift up the middle for 5 yards (tackle by Anthony Nelson and Vita Vea),5.83,5.91,3.0,2023,47
3.0,9:59,2.0,1.0,TAM 1,13.0,3.0,Jalen Hurts pass incomplete short left intended for A.J. Brown,5.91,5.17,3.0,2023,47
3.0,9:56,3.0,1.0,TAM 1,13.0,3.0,Jalen Hurts up the middle for no gain (tackle by William Gholston and Anthony Nelson),5.17,3.55,3.0,2023,47
3.0,9:21,4.0,1.0,TAM 1,19.0,3.0,"Jalen Hurts up the middle for 1 yard, touchdown",3.55,7.0,3.0,2023,47
3.0,9:12,,,TAM 15,20.0,3.0,Jake Elliott kicks extra point good,0.0,0.0,3.0,2023,47
3.0,9:12,,,PHI 35,20.0,3.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,47
3.0,9:12,1.0,10.0,TAM 25,20.0,3.0,Rachaad White up the middle for 3 yards (tackle by Jordan Davis),0.61,0.47,3.0,2023,47
3.0,8:34,2.0,7.0,TAM 28,20.0,3.0,Baker Mayfield pass complete short left to Trey Palmer for 8 yards (tackle by Reed Blankenship),0.47,1.33,3.0,2023,47
3.0,7:58,1.0,10.0,TAM 36,20.0,3.0,Rachaad White up the middle for 3 yards (tackle by Milton Williams and Zach Cunningham),1.33,1.2,3.0,2023,47
3.0,7:19,2.0,7.0,TAM 39,20.0,3.0,Baker Mayfield pass incomplete short right intended for Mike Evans,1.2,0.5,3.0,2023,47
3.0,7:14,3.0,7.0,TAM 39,20.0,3.0,Baker Mayfield pass incomplete deep middle intended for Mike Evans,0.5,-0.78,3.0,2023,47
3.0,7:06,4.0,7.0,TAM 39,20.0,3.0,"Jake Camarda punts 48 yards, fair catch by Britain Covey at PHI-13",-0.78,0.32,3.0,2023,47
3.0,6:59,1.0,10.0,PHI 13,20.0,3.0,D'Andre Swift right guard for 8 yards (tackle by Anthony Nelson and Antoine Winfield),-0.32,0.35,3.0,2023,47
3.0,6:24,2.0,2.0,PHI 21,20.0,3.0,D'Andre Swift up the middle for 1 yard (tackle by William Gholston),0.35,-0.35,3.0,2023,47
3.0,5:42,3.0,1.0,PHI 22,20.0,3.0,Jalen Hurts up the middle for 2 yards (tackle by William Gholston),-0.35,0.54,3.0,2023,47
3.0,5:07,1.0,10.0,PHI 24,20.0,3.0,Jalen Hurts pass complete short right to Jack Stoll for 6 yards,0.54,0.81,3.0,2023,47
3.0,4:26,2.0,4.0,PHI 30,20.0,3.0,D'Andre Swift right guard for 29 yards (tackle by Ryan Neal and Antoine Winfield),0.81,2.85,3.0,2023,47
3.0,4:09,1.0,10.0,TAM 41,20.0,3.0,Jalen Hurts pass deep right intended for DeVonta Smith is intercepted by Dee Delaney at TB-1 and returned for no gain,2.85,0.38,3.0,2023,47
3.0,3:46,1.0,10.0,TAM 1,22.0,3.0,"Rachaad White up the middle for -1 yards (tackle by Nicholas Morrow), safety.",-0.38,-2.0,3.0,2023,47
3.0,3:40,,,TAM 20,22.0,3.0,"Jake Camarda kicks off 78 yards, returned by Britain Covey for 30 yards (tackle by Derrek Pitts). Penalty on Derrek Pitts: Offside on Free Kick, 5 yards (accepted)",0.0,1.4,3.0,2023,47
3.0,3:31,1.0,10.0,PHI 37,22.0,3.0,D'Andre Swift up the middle for 5 yards (tackle by Joe Tryon-Shoyinka and Vita Vea),1.4,1.53,3.0,2023,47
3.0,2:58,2.0,5.0,PHI 42,22.0,3.0,D'Andre Swift right guard for 6 yards (tackle by Devin White),1.53,2.13,3.0,2023,47
3.0,2:20,1.0,10.0,PHI 48,22.0,3.0,D'Andre Swift up the middle for no gain (tackle by Dee Delaney),2.13,1.58,3.0,2023,47
3.0,1:37,2.0,10.0,PHI 48,22.0,3.0,Jalen Hurts pass complete short left to A.J. Brown for 26 yards (tackle by Ryan Neal),1.58,3.84,3.0,2023,47
3.0,0:59,1.0,10.0,TAM 26,22.0,3.0,Jalen Hurts pass complete short left to Dallas Goedert for 5 yards (tackle by Lavonte David),3.84,3.97,3.0,2023,47
3.0,0:19,2.0,5.0,TAM 21,22.0,3.0,Jalen Hurts pass complete short left to A.J. Brown for 15 yards (tackle by Dee Delaney),3.97,5.83,3.0,2023,47
4.0,15:00,1.0,6.0,TAM 6,22.0,3.0,Jalen Hurts pass incomplete short right intended for A.J. Brown,5.83,4.95,3.0,2023,47
4.0,14:55,2.0,6.0,TAM 6,22.0,3.0,Kenneth Gainwell up the middle for 4 yards (tackle by Ryan Neal and Antoine Winfield),4.95,4.95,3.0,2023,47
4.0,14:16,3.0,2.0,TAM 2,22.0,3.0,Jalen Hurts sacked by Lavonte David for -6 yards,4.95,2.95,3.0,2023,47
4.0,13:32,4.0,8.0,TAM 8,25.0,3.0,Jake Elliott 26 yard field goal good,2.95,3.0,3.0,2023,47
4.0,13:28,,,PHI 35,25.0,3.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,47
4.0,13:28,1.0,10.0,TAM 25,25.0,3.0,Baker Mayfield pass complete deep left to Mike Evans for 24 yards (tackle by Reed Blankenship),0.61,2.19,3.0,2023,47
4.0,12:54,1.0,10.0,TAM 49,25.0,3.0,Baker Mayfield pass complete deep middle to Mike Evans for 22 yards (tackle by Reed Blankenship),2.19,3.64,3.0,2023,47
4.0,12:14,1.0,10.0,PHI 29,25.0,3.0,Rachaad White up the middle for 12 yards (tackle by Terrell Edmunds),3.64,4.44,3.0,2023,47
4.0,11:44,1.0,10.0,PHI 17,25.0,3.0,Baker Mayfield pass complete short right to Deven Thompkins for 5 yards (tackle by Josh Jobe),4.44,4.69,3.0,2023,47
4.0,11:02,2.0,5.0,PHI 12,25.0,3.0,Rachaad White up the middle for 4 yards (tackle by Milton Williams),4.69,4.8,3.0,2023,47
4.0,10:22,3.0,1.0,PHI 8,25.0,3.0,Baker Mayfield pass complete short right to Chris Godwin for 7 yards (tackle by Josh Jobe),4.8,6.97,3.0,2023,47
4.0,10:06,1.0,1.0,PHI 1,25.0,3.0,Baker Mayfield pass incomplete short left intended for Mike Evans,6.97,5.91,3.0,2023,47
4.0,10:03,2.0,1.0,PHI 1,25.0,3.0,Rachaad White up the middle for no gain (tackle by Terrell Edmunds),5.91,5.17,3.0,2023,47
4.0,9:27,3.0,1.0,PHI 1,25.0,9.0,"Baker Mayfield pass complete short left to Mike Evans for 1 yard, touchdown",5.17,7.0,3.0,2023,47
4.0,9:22,,,PHI 2,25.0,11.0,Two Point Attempt: Baker Mayfield pass complete to to Chris Godwin for no gain,1.0,1.0,3.0,2023,47
4.0,9:22,,,TAM 35,25.0,11.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,47
4.0,9:22,1.0,10.0,PHI 25,25.0,11.0,Kenneth Gainwell up the middle for 1 yard (tackle by Lavonte David and Greg Gaines),0.61,0.2,3.0,2023,47
4.0,8:42,2.0,9.0,PHI 26,25.0,11.0,Jalen Hurts pass complete short middle to Dallas Goedert for 11 yards (tackle by Ryan Neal),0.2,1.4,3.0,2023,47
4.0,7:58,1.0,10.0,PHI 37,25.0,11.0,Kenneth Gainwell up the middle for 6 yards (tackle by Derrek Pitts),1.4,1.67,3.0,2023,47
4.0,7:14,2.0,4.0,PHI 43,25.0,11.0,Kenneth Gainwell up the middle for 3 yards (tackle by Lavonte David),1.67,1.36,3.0,2023,47
4.0,6:31,,,,,,Timeout #1 by Philadelphia Eagles,,,3.0,2023,47
4.0,6:31,3.0,1.0,PHI 46,25.0,11.0,Jalen Hurts up the middle for 2 yards (tackle by Lavonte David and Ryan Neal),1.36,2.13,3.0,2023,47
4.0,5:45,1.0,10.0,PHI 48,25.0,11.0,Kenneth Gainwell left tackle for -3 yards (tackle by Joe Tryon-Shoyinka),2.13,1.18,3.0,2023,47
4.0,5:05,2.0,13.0,PHI 45,25.0,11.0,Jalen Hurts pass incomplete deep right intended for Kenneth Gainwell,1.18,0.5,3.0,2023,47
4.0,5:00,3.0,13.0,PHI 45,25.0,11.0,Jalen Hurts pass complete short left to A.J. Brown for 25 yards (tackle by Antoine Winfield),0.5,3.58,3.0,2023,47
4.0,4:54,1.0,10.0,TAM 30,25.0,11.0,Kenneth Gainwell up the middle for 6 yards (tackle by Ryan Neal and Antoine Winfield),3.58,3.84,3.0,2023,47
4.0,4:10,2.0,4.0,TAM 24,25.0,11.0,Kenneth Gainwell up the middle for no gain (tackle by Lavonte David and Antoine Winfield),3.84,3.14,3.0,2023,47
4.0,3:24,3.0,4.0,TAM 24,25.0,11.0,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards (tackle by Christian Izien),3.14,4.31,3.0,2023,47
4.0,2:39,1.0,10.0,TAM 19,25.0,11.0,Jalen Hurts left end for 2 yards (tackle by Zyon McCollum),4.31,4.03,3.0,2023,47
4.0,2:00,2.0,8.0,TAM 17,25.0,11.0,Kenneth Gainwell up the middle for 2 yards (tackle by Greg Gaines and Lavonte David),4.03,3.58,3.0,2023,47
4.0,1:19,3.0,6.0,TAM 15,25.0,11.0,Kenneth Gainwell up the middle for 4 yards (tackle by Greg Gaines and Ryan Neal),3.58,2.82,3.0,2023,47
4.0,0:38,4.0,2.0,TAM 11,25.0,11.0,Jalen Hurts pass complete short right to A.J. Brown for 4 yards (tackle by Zyon McCollum),2.82,4.58,3.0,2023,47
