Quarter,Time,Down,ToGo,Location,PIT,LVR,Detail,EPB,EPA,week,year,game_id
2.0,7:53,3.0,11.0,LVR 24,10.0,7.0,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",-0.76,-1.51,3.0,2023,46
2.0,7:53,3.0,16.0,LVR 19,10.0,7.0,Jimmy Garoppolo pass complete short middle to Ameer Abdullah for 13 yards (tackle by Cole Holcomb),-1.51,-1.24,3.0,2023,46
2.0,7:11,4.0,3.0,LVR 32,10.0,7.0,"AJ Cole punts 45 yards, fair catch by Calvin Austin at PIT-23",-1.24,-0.48,3.0,2023,46
2.0,7:04,1.0,10.0,PIT 23,10.0,7.0,Kenny Pickett pass complete short left to George Pickens for 13 yards,0.48,1.33,3.0,2023,46
2.0,6:30,1.0,10.0,PIT 36,10.0,7.0,Najee Harris up the middle for no gain (tackle by Tre'von Moehrig and Nate Hobbs),1.33,0.79,3.0,2023,46
2.0,5:55,2.0,10.0,PIT 36,10.0,7.0,Kenny Pickett pass incomplete short left intended for George Pickens (defended by Jakorian Bennett),0.79,0.1,3.0,2023,46
2.0,5:50,3.0,10.0,PIT 36,10.0,7.0,"Kenny Pickett pass incomplete intended for Calvin Austin. Penalty on Jakorian Bennett: Defensive Pass Interference, 16 yards (accepted) (no play)",0.1,2.39,3.0,2023,46
2.0,5:46,1.0,10.0,LVR 48,10.0,7.0,Jaylen Warren up the middle for 11 yards (tackle by Nate Hobbs),2.39,3.12,3.0,2023,46
2.0,5:22,1.0,10.0,LVR 37,10.0,7.0,Kenny Pickett pass complete short right to Allen Robinson for 4 yards (tackle by Marcus Peters and Robert Spillane),3.12,3.11,3.0,2023,46
2.0,4:40,2.0,6.0,LVR 33,10.0,7.0,Najee Harris left guard for 2 yards (tackle by John Jenkins and Maxx Crosby),3.11,2.68,3.0,2023,46
2.0,4:03,3.0,4.0,LVR 31,10.0,7.0,"Kenny Pickett scrambles for no gain. Penalty on George Pickens: Illegal Shift, 5 yards (accepted) (no play)",2.68,2.01,3.0,2023,46
2.0,3:34,3.0,9.0,LVR 36,10.0,7.0,Kenny Pickett scrambles left end for 10 yards (tackle by Tre'von Moehrig),2.01,3.84,3.0,2023,46
2.0,3:07,1.0,10.0,LVR 26,10.0,7.0,Najee Harris right guard for -4 yards (tackle by Marcus Peters),3.84,2.76,3.0,2023,46
2.0,2:28,2.0,14.0,LVR 30,10.0,7.0,Kenny Pickett pass incomplete short right intended for Connor Heyward,2.76,2.08,3.0,2023,46
2.0,2:23,3.0,14.0,LVR 30,10.0,7.0,Jaylen Warren up the middle for 7 yards (tackle by Marcus Epps),2.08,1.93,3.0,2023,46
2.0,2:00,4.0,7.0,LVR 23,13.0,7.0,Chris Boswell 42 yard field goal good,1.93,3.0,3.0,2023,46
2.0,1:56,,,PIT 35,13.0,7.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,46
2.0,1:56,1.0,10.0,LVR 25,13.0,7.0,Josh Jacobs right guard for 4 yards (tackle by Patrick Peterson),0.61,0.6,3.0,2023,46
2.0,1:35,2.0,6.0,LVR 29,13.0,7.0,Jimmy Garoppolo pass complete short right to Jakobi Meyers for 13 yards (tackle by Joey Porter),0.6,1.73,3.0,2023,46
2.0,1:19,1.0,10.0,LVR 42,13.0,7.0,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 6 yards (tackle by Cole Holcomb),1.73,2.0,3.0,2023,46
2.0,0:56,2.0,4.0,LVR 48,13.0,7.0,Jimmy Garoppolo pass incomplete deep left intended for Davante Adams,2.0,1.29,3.0,2023,46
2.0,0:52,3.0,4.0,LVR 48,13.0,7.0,Jimmy Garoppolo sacked by T.J. Watt for -8 yards,1.29,-0.72,3.0,2023,46
2.0,0:46,4.0,12.0,LVR 40,13.0,7.0,"AJ Cole punts 60 yards, touchback.",-0.72,-0.28,3.0,2023,46
2.0,0:38,1.0,10.0,PIT 20,13.0,7.0,Najee Harris up the middle for 6 yards (tackle by Bilal Nichols),0.28,0.54,3.0,2023,46
3.0,15:00,,,PIT 35,13.0,7.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,46
3.0,15:00,1.0,10.0,LVR 25,13.0,7.0,Jimmy Garoppolo pass incomplete short right intended for Jakobi Meyers,0.61,0.06,3.0,2023,46
3.0,14:55,2.0,10.0,LVR 25,13.0,7.0,Jimmy Garoppolo pass incomplete deep middle intended for Davante Adams (defended by Cole Holcomb),0.06,-0.62,3.0,2023,46
3.0,14:48,3.0,10.0,LVR 25,13.0,7.0,Jimmy Garoppolo pass complete short left to Hunter Renfrow for 7 yards (tackle by Minkah Fitzpatrick),-0.62,-1.24,3.0,2023,46
3.0,14:04,4.0,3.0,LVR 32,13.0,7.0,AJ Cole punts 59 yards out of bounds,-1.24,0.38,3.0,2023,46
3.0,13:57,1.0,10.0,PIT 9,13.0,7.0,Kenny Pickett pass complete short right to Allen Robinson for 8 yards (tackle by Marcus Peters),-0.38,-0.02,3.0,2023,46
3.0,13:18,2.0,2.0,PIT 17,13.0,7.0,Najee Harris up the middle for 4 yards (tackle by Byron Young),-0.02,0.34,3.0,2023,46
3.0,12:38,1.0,10.0,PIT 21,13.0,7.0,Kenny Pickett pass incomplete deep right intended for Calvin Austin,0.34,-0.2,3.0,2023,46
3.0,12:31,2.0,10.0,PIT 21,13.0,7.0,Najee Harris left tackle for 5 yards (tackle by Nate Hobbs and Divine Deablo),-0.2,-0.23,3.0,2023,46
3.0,11:50,3.0,5.0,PIT 26,13.0,7.0,Kenny Pickett pass complete short right to George Pickens for 32 yards (tackle by Marcus Peters),-0.23,2.79,3.0,2023,46
3.0,11:03,1.0,10.0,LVR 42,13.0,7.0,Kenny Pickett pass complete short left to Jaylen Warren for 2 yards (tackle by Robert Spillane),2.79,2.51,3.0,2023,46
3.0,10:21,2.0,8.0,LVR 40,13.0,7.0,Najee Harris up the middle for 1 yard (tackle by Tre'von Moehrig and Maxx Crosby),2.51,1.95,3.0,2023,46
3.0,9:38,3.0,7.0,LVR 39,13.0,7.0,Kenny Pickett pass incomplete short right,1.95,0.66,3.0,2023,46
3.0,9:33,4.0,7.0,LVR 39,16.0,7.0,Chris Boswell 57 yard field goal good,0.66,3.0,3.0,2023,46
3.0,9:28,,,PIT 35,16.0,7.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,46
3.0,9:28,1.0,10.0,LVR 25,16.0,7.0,Josh Jacobs left tackle for 6 yards (tackle by DeMarvin Leal),0.61,0.87,3.0,2023,46
3.0,8:56,2.0,4.0,LVR 31,16.0,7.0,Josh Jacobs up the middle for 3 yards (tackle by DeMarvin Leal),0.87,0.56,3.0,2023,46
3.0,8:14,3.0,1.0,LVR 34,16.0,7.0,Jimmy Garoppolo pass complete short left to Davante Adams for 18 yards (tackle by Levi Wallace),0.56,2.39,3.0,2023,46
3.0,7:31,1.0,10.0,PIT 48,16.0,7.0,Jimmy Garoppolo pass incomplete short left intended for Josh Jacobs,2.39,1.85,3.0,2023,46
3.0,7:25,2.0,10.0,PIT 48,16.0,7.0,Jimmy Garoppolo pass deep right intended for Jakobi Meyers is intercepted by Patrick Peterson at PIT-19 and returned for no gain,1.85,-0.15,3.0,2023,46
3.0,7:15,1.0,10.0,PIT 19,16.0,7.0,Kenny Pickett pass complete short left to George Pickens for 17 yards (tackle by Robert Spillane and Marcus Epps),0.15,1.33,3.0,2023,46
3.0,6:34,1.0,10.0,PIT 36,16.0,7.0,Jaylen Warren right tackle for 4 yards (tackle by Malcolm Koonce),1.33,1.33,3.0,2023,46
3.0,5:53,2.0,6.0,PIT 40,16.0,7.0,Kenny Pickett pass complete short right to Jaylen Warren for 16 yards (tackle by Divine Deablo),1.33,2.65,3.0,2023,46
3.0,5:12,1.0,10.0,LVR 44,16.0,7.0,Kenny Pickett pass complete short middle to Pat Freiermuth for 14 yards (tackle by Divine Deablo and Marcus Epps),2.65,3.58,3.0,2023,46
3.0,4:31,1.0,10.0,LVR 30,16.0,7.0,Najee Harris left guard for 17 yards (tackle by Jakorian Bennett and Tre'von Moehrig),3.58,4.71,3.0,2023,46
3.0,4:00,1.0,10.0,LVR 13,22.0,7.0,"Kenny Pickett pass complete short left to Pat Freiermuth for 13 yards, touchdown",4.71,7.0,3.0,2023,46
3.0,3:56,,,LVR 15,23.0,7.0,Chris Boswell kicks extra point good,0.0,0.0,3.0,2023,46
3.0,3:56,,,PIT 35,23.0,7.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,46
3.0,3:56,1.0,10.0,LVR 25,23.0,7.0,Josh Jacobs up the middle for 8 yards (tackle by Minkah Fitzpatrick and Keanu Neal),0.61,1.14,3.0,2023,46
3.0,3:18,2.0,2.0,LVR 33,23.0,7.0,Jimmy Garoppolo pass complete deep middle to Jakobi Meyers for 18 yards (tackle by Minkah Fitzpatrick),1.14,2.32,3.0,2023,46
3.0,2:41,1.0,10.0,PIT 49,23.0,7.0,Josh Jacobs left guard for no gain (tackle by Montravius Adams),2.32,1.78,3.0,2023,46
3.0,2:11,2.0,10.0,PIT 49,23.0,7.0,Jimmy Garoppolo pass complete short middle to Davante Adams for 12 yards (tackle by Joey Porter),1.78,3.12,3.0,2023,46
3.0,1:41,1.0,10.0,PIT 37,23.0,7.0,Jimmy Garoppolo pass complete short right to Ameer Abdullah for 3 yards (tackle by Patrick Peterson),3.12,2.98,3.0,2023,46
3.0,1:06,2.0,7.0,PIT 34,23.0,7.0,Jimmy Garoppolo scrambles left end for 7 yards (tackle by Damontae Kazee),2.98,3.78,3.0,2023,46
3.0,0:23,1.0,10.0,PIT 27,23.0,7.0,Jimmy Garoppolo sacked by Keeanu Benton for -9 yards,3.78,2.02,3.0,2023,46
4.0,15:00,2.0,19.0,PIT 36,23.0,7.0,"Penalty on Dylan Parham: False Start, 5 yards (accepted) (no play)",2.02,1.34,3.0,2023,46
4.0,15:00,2.0,24.0,PIT 41,23.0,7.0,"Jimmy Garoppolo pass complete to Davante Adams for no gain. Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)",1.34,-0.01,3.0,2023,46
4.0,14:38,2.0,34.0,LVR 49,23.0,7.0,Jimmy Garoppolo pass complete short right to DeAndre Carter for 16 yards (tackle by Minkah Fitzpatrick),-0.01,1.49,3.0,2023,46
4.0,13:53,3.0,18.0,PIT 35,23.0,7.0,Jimmy Garoppolo pass complete short right to Jakobi Meyers for 13 yards,1.49,2.04,3.0,2023,46
4.0,13:16,4.0,5.0,PIT 22,23.0,7.0,Jimmy Garoppolo pass incomplete short middle intended for Jakobi Meyers (defended by Levi Wallace),2.04,-0.41,3.0,2023,46
4.0,13:13,1.0,10.0,PIT 22,23.0,7.0,Najee Harris right guard for 3 yards (tackle by Divine Deablo),0.41,0.27,3.0,2023,46
4.0,12:32,2.0,7.0,PIT 25,23.0,7.0,Kenny Pickett pass complete short left to Jaylen Warren for 5 yards (tackle by Nate Hobbs),0.27,0.23,3.0,2023,46
4.0,11:50,3.0,2.0,PIT 30,23.0,7.0,Kenny Pickett pass incomplete short right intended for Jaylen Warren,0.23,-1.37,3.0,2023,46
4.0,11:44,4.0,2.0,PIT 30,23.0,7.0,"Pressley Harvin punts 63 yards, returned by DeAndre Carter for 13 yards (tackle by Miles Killebrew)",-1.37,-0.28,3.0,2023,46
4.0,11:32,1.0,10.0,LVR 20,23.0,7.0,Jimmy Garoppolo pass complete deep left to Davante Adams for 26 yards (tackle by Kwon Alexander),0.28,1.99,3.0,2023,46
4.0,10:53,1.0,10.0,LVR 46,23.0,7.0,Jimmy Garoppolo pass complete short left to Davante Adams for 6 yards (tackle by Minkah Fitzpatrick),1.99,2.26,3.0,2023,46
4.0,10:16,2.0,4.0,PIT 48,23.0,7.0,Jimmy Garoppolo pass complete short middle to Hunter Renfrow for 10 yards (tackle by Cole Holcomb),2.26,3.05,3.0,2023,46
4.0,9:46,1.0,10.0,PIT 38,23.0,7.0,Josh Jacobs right guard for 10 yards (tackle by Kwon Alexander and Minkah Fitzpatrick),3.05,3.71,3.0,2023,46
4.0,9:24,1.0,10.0,PIT 28,23.0,7.0,Josh Jacobs up the middle for 9 yards (tackle by Minkah Fitzpatrick),3.71,4.42,3.0,2023,46
4.0,8:56,2.0,1.0,PIT 19,23.0,7.0,Josh Jacobs right guard for 2 yards (tackle by Kwon Alexander),4.42,4.44,3.0,2023,46
4.0,8:37,1.0,10.0,PIT 17,23.0,7.0,Jimmy Garoppolo sacked by Markus Golden for -6 yards,4.44,3.08,3.0,2023,46
4.0,7:51,2.0,16.0,PIT 23,23.0,7.0,"Jimmy Garoppolo pass complete to Ameer Abdullah for no gain. Penalty on Cole Holcomb: Defensive Holding, 5 yards (accepted) (no play)",3.08,4.37,3.0,2023,46
4.0,7:21,1.0,10.0,PIT 18,23.0,7.0,Jimmy Garoppolo pass incomplete short left intended for Davante Adams,4.37,3.8,3.0,2023,46
4.0,7:18,2.0,10.0,PIT 18,23.0,7.0,"Jimmy Garoppolo sacked by Minkah Fitzpatrick for no gain. Penalty on Minkah Fitzpatrick: Roughing the Passer, 9 yards (accepted) (no play)",3.8,5.14,3.0,2023,46
4.0,6:54,1.0,9.0,PIT 9,23.0,7.0,Jimmy Garoppolo pass complete short left to Jakobi Meyers for 8 yards (tackle by Levi Wallace and Minkah Fitzpatrick),5.14,5.91,3.0,2023,46
4.0,6:26,2.0,1.0,PIT 1,23.0,7.0,Josh Jacobs left tackle for no gain (tackle by Levi Wallace and Montravius Adams),5.91,5.17,3.0,2023,46
4.0,5:44,3.0,1.0,PIT 1,23.0,13.0,"Jimmy Garoppolo pass complete short left to Davante Adams for 1 yard, touchdown",5.17,7.0,3.0,2023,46
4.0,5:41,,,PIT 2,23.0,13.0,"Two Point Attempt: Jimmy Garoppolo pass incomplete. Penalty on Chandon Sullivan: Defensive Pass Interference, 1 yard (accepted) (no play)",1.0,1.0,3.0,2023,46
4.0,5:41,,,PIT 1,23.0,15.0,Two Point Attempt: Jimmy Garoppolo pass complete to to Michael Mayer for no gain,1.0,1.0,3.0,2023,46
4.0,5:41,,,LVR 35,23.0,15.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,46
4.0,5:41,1.0,10.0,PIT 25,23.0,15.0,Kenny Pickett pass incomplete short left intended for Calvin Austin,0.61,0.06,3.0,2023,46
4.0,5:36,2.0,10.0,PIT 25,23.0,15.0,Najee Harris up the middle for 2 yards (tackle by Malcolm Koonce and Adam Butler),0.06,-0.36,3.0,2023,46
4.0,4:52,,,,,,Timeout #1 by Pittsburgh Steelers,,,3.0,2023,46
4.0,4:52,3.0,8.0,PIT 27,23.0,15.0,Kenny Pickett pass incomplete deep middle intended for Pat Freiermuth (defended by Nate Hobbs),-0.36,-1.57,3.0,2023,46
4.0,4:47,4.0,8.0,PIT 27,23.0,15.0,"Pressley Harvin punts 41 yards, returned by DeAndre Carter for 16 yards (tackle by Miles Killebrew)",-1.57,-2.13,3.0,2023,46
4.0,4:35,1.0,10.0,LVR 48,23.0,15.0,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 6 yards (tackle by Kwon Alexander),2.13,2.39,3.0,2023,46
4.0,4:08,2.0,4.0,PIT 46,23.0,15.0,Jimmy Garoppolo pass complete short left to Davante Adams for 12 yards,2.39,3.31,3.0,2023,46
4.0,4:04,1.0,10.0,PIT 34,23.0,15.0,Jimmy Garoppolo pass incomplete short middle intended for Josh Jacobs,3.31,2.77,3.0,2023,46
4.0,3:59,2.0,10.0,PIT 34,23.0,15.0,Jimmy Garoppolo pass complete short right to Jakobi Meyers for 7 yards (tackle by Levi Wallace),2.77,3.01,3.0,2023,46
4.0,3:52,3.0,3.0,PIT 27,23.0,15.0,Josh Jacobs up the middle for 2 yards (tackle by Keanu Neal),3.01,1.95,3.0,2023,46
4.0,3:15,4.0,1.0,PIT 25,23.0,15.0,"Penalty on Andre James: False Start, 4 yards (accepted) (no play)",1.95,1.52,3.0,2023,46
4.0,3:15,4.0,6.0,PIT 29,23.0,15.0,"Daniel Carlson yard field goal good. Penalty on DeMarvin Leal: Leverage, 15 yards (accepted) (no play)",1.52,4.65,3.0,2023,46
4.0,3:11,1.0,10.0,PIT 14,23.0,15.0,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 6 yards (tackle by Elandon Roberts and Markus Golden),4.65,5.09,3.0,2023,46
4.0,2:38,2.0,4.0,PIT 8,23.0,15.0,Jimmy Garoppolo pass incomplete short left intended for Davante Adams,5.09,4.28,3.0,2023,46
4.0,2:31,3.0,4.0,PIT 8,23.0,15.0,Jimmy Garoppolo pass incomplete short right intended for Jakobi Meyers,4.28,2.98,3.0,2023,46
4.0,2:25,4.0,4.0,PIT 8,23.0,18.0,Daniel Carlson 26 yard field goal good,2.98,3.0,3.0,2023,46
4.0,2:22,,,LVR 35,23.0,18.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,46
4.0,2:22,1.0,10.0,PIT 25,23.0,18.0,Najee Harris up the middle for 5 yards (tackle by Byron Young),0.61,0.74,3.0,2023,46
4.0,2:17,,,,,,Timeout #1 by Las Vegas Raiders,,,3.0,2023,46
4.0,2:17,2.0,5.0,PIT 30,23.0,18.0,Najee Harris right guard for 3 yards (tackle by John Jenkins),0.74,0.43,3.0,2023,46
4.0,2:12,,,,,,Timeout #2 by Las Vegas Raiders,,,3.0,2023,46
