Quarter,Time,Down,ToGo,Location,DEN,MIA,Detail,EPB,EPA,week,year,game_id
1.0,6:31,1.0,10.0,DEN 25,0.0,14.0,Russell Wilson pass complete deep right to Jerry Jeudy for 15 yards (tackle by Xavien Howard),0.61,1.6,3.0,2023,38
1.0,5:54,1.0,10.0,DEN 40,0.0,14.0,Russell Wilson pass complete short middle to Courtland Sutton for 11 yards (tackle by David Long),1.6,2.32,3.0,2023,38
1.0,5:18,1.0,10.0,MIA 49,0.0,14.0,Javonte Williams up the middle for 3 yards (tackle by David Long),2.32,2.19,3.0,2023,38
1.0,4:39,2.0,7.0,MIA 46,0.0,14.0,Russell Wilson pass complete short right to Javonte Williams for 17 yards (tackle by Jevon Holland),2.19,3.64,3.0,2023,38
1.0,4:01,1.0,10.0,MIA 29,0.0,14.0,Samaje Perine left guard for 3 yards (tackle by David Long),3.64,3.51,3.0,2023,38
1.0,3:27,2.0,7.0,MIA 26,0.0,14.0,Russell Wilson pass complete short left to Courtland Sutton for 6 yards (tackle by Kader Kohou and Jevon Holland),3.51,3.6,3.0,2023,38
1.0,2:43,3.0,1.0,MIA 20,0.0,14.0,Javonte Williams right guard for 4 yards (tackle by David Long and DeShon Elliott),3.6,4.51,3.0,2023,38
1.0,2:06,1.0,10.0,MIA 16,0.0,14.0,Javonte Williams right tackle for 4 yards (tackle by Jaelan Phillips and Christian Wilkins),4.51,4.57,3.0,2023,38
1.0,1:28,2.0,6.0,MIA 12,0.0,14.0,Russell Wilson pass incomplete short middle intended for Chris Manhertz (defended by DeShon Elliott),4.57,3.73,3.0,2023,38
1.0,1:21,3.0,6.0,MIA 12,6.0,14.0,"Russell Wilson pass complete short right to Courtland Sutton for 12 yards, touchdown",3.73,7.0,3.0,2023,38
1.0,1:12,,,MIA 15,7.0,14.0,Wil Lutz kicks extra point good,0.0,0.0,3.0,2023,38
1.0,1:12,,,DEN 35,7.0,14.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
1.0,1:12,1.0,10.0,MIA 25,7.0,14.0,Raheem Mostert left end for -6 yards (tackle by Nik Bonitto),0.61,-0.81,3.0,2023,38
1.0,0:38,2.0,16.0,MIA 19,7.0,14.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 19 yards (tackle by Delarrin Turner-Yell),-0.81,1.47,3.0,2023,38
1.0,0:05,1.0,10.0,MIA 38,7.0,14.0,"Penalty on Randy Gregory: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.47,2.2,3.0,2023,38
2.0,15:00,1.0,5.0,MIA 43,7.0,14.0,"Raheem Mostert up the middle for 17 yards (tackle by Josey Jewell and Kareem Jackson). Penalty on Mike Purcell: Defensive Offside, 5 yards (declined)",2.2,2.92,3.0,2023,38
2.0,14:33,1.0,10.0,DEN 40,7.0,14.0,"Tua Tagovailoa pass complete deep right to Tyreek Hill for no gain. Penalty on Connor Williams: Offensive Holding, 10 yards (accepted) (no play)",2.92,2.26,3.0,2023,38
2.0,14:09,1.0,20.0,DEN 50,7.0,14.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 5 yards (tackle by D.J. Jones),2.26,1.7,3.0,2023,38
2.0,13:26,2.0,15.0,DEN 45,7.0,14.0,Tua Tagovailoa pass complete short left to Raheem Mostert for 11 yards (tackle by D.J. Jones),1.7,2.48,3.0,2023,38
2.0,12:47,3.0,4.0,DEN 34,7.0,14.0,Tua Tagovailoa pass complete short right to Braxton Berrios for 11 yards (tackle by Delarrin Turner-Yell),2.48,4.04,3.0,2023,38
2.0,12:17,1.0,10.0,DEN 23,7.0,14.0,"De'Von Achane right end for 3 yards, touchdown. Penalty on Connor Williams: Offensive Holding, 10 yards (accepted)",4.04,3.58,3.0,2023,38
2.0,12:11,1.0,17.0,DEN 30,7.0,14.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 11 yards (tackle by Patrick Surtain),3.58,4.05,3.0,2023,38
2.0,11:38,2.0,6.0,DEN 19,7.0,14.0,De'Von Achane right tackle for 10 yards (tackle by Delarrin Turner-Yell and Kareem Jackson),4.05,5.14,3.0,2023,38
2.0,10:55,1.0,9.0,DEN 9,7.0,14.0,De'Von Achane right guard for 5 yards (tackle by Kareem Jackson),5.14,5.34,3.0,2023,38
2.0,10:21,2.0,4.0,DEN 4,7.0,20.0,"Tua Tagovailoa pass complete short middle to De'Von Achane for 4 yards, touchdown",5.34,7.0,3.0,2023,38
2.0,10:16,,,DEN 15,7.0,21.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2023,38
2.0,10:16,,,MIA 35,7.0,21.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
2.0,10:16,1.0,10.0,DEN 25,7.0,21.0,Russell Wilson pass complete short left to Nate Adkins for 11 yards (tackle by Jevon Holland),0.61,1.33,3.0,2023,38
2.0,9:46,1.0,10.0,DEN 36,7.0,21.0,Russell Wilson pass incomplete short right intended for Javonte Williams (defended by Christian Wilkins),1.33,0.79,3.0,2023,38
2.0,9:40,2.0,10.0,DEN 36,7.0,21.0,Javonte Williams up the middle for 16 yards (tackle by Andrew Van Ginkel),0.79,2.39,3.0,2023,38
2.0,8:56,1.0,10.0,MIA 48,7.0,21.0,Russell Wilson pass complete deep middle to Marvin Mims for 38 yards (tackle by Jevon Holland),2.39,4.91,3.0,2023,38
2.0,8:09,1.0,10.0,MIA 10,7.0,21.0,Russell Wilson pass incomplete short right,4.91,4.19,3.0,2023,38
2.0,8:06,2.0,10.0,MIA 10,7.0,21.0,Samaje Perine right tackle for 3 yards (tackle by Jevon Holland and DeShon Elliott),4.19,3.81,3.0,2023,38
2.0,7:21,3.0,7.0,MIA 7,7.0,21.0,"Russell Wilson pass complete short left to Courtland Sutton for no gain, touchdown. Penalty on Brandon Johnson: Offensive Pass Interference, 10 yards (accepted) (no play)",3.81,2.74,3.0,2023,38
2.0,7:15,,,,,,Timeout #1 by Denver Broncos,,,3.0,2023,38
2.0,7:15,3.0,17.0,MIA 17,7.0,21.0,Russell Wilson pass complete short left to Brandon Johnson for 4 yards (tackle by DeShon Elliott),2.74,2.57,3.0,2023,38
2.0,6:41,4.0,13.0,MIA 13,10.0,21.0,Wil Lutz 31 yard field goal good,2.57,3.0,3.0,2023,38
2.0,6:36,,,DEN 35,10.0,21.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
2.0,6:36,1.0,10.0,MIA 25,10.0,21.0,De'Von Achane up the middle for 8 yards (tackle by Nik Bonitto and Kareem Jackson),0.61,1.14,3.0,2023,38
2.0,6:10,2.0,2.0,MIA 33,10.0,21.0,De'Von Achane left guard for 1 yard (tackle by Jonathon Cooper),1.14,0.56,3.0,2023,38
2.0,5:34,3.0,1.0,MIA 34,10.0,21.0,Alec Ingold up the middle for no gain (tackle by Alex Singleton and Zach Allen),0.56,-1.11,3.0,2023,38
2.0,4:52,4.0,1.0,MIA 34,10.0,21.0,Alec Ingold up the middle for no gain (tackle by Alex Singleton and Nik Bonitto),-1.11,-3.38,3.0,2023,38
2.0,4:47,1.0,10.0,MIA 33,10.0,21.0,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",3.38,3.05,3.0,2023,38
2.0,4:47,1.0,15.0,MIA 38,10.0,21.0,Russell Wilson pass complete short left to Courtland Sutton for 1 yard,3.05,2.3,3.0,2023,38
2.0,4:10,2.0,14.0,MIA 37,10.0,21.0,Javonte Williams right end for -3 yards (tackle by Andrew Van Ginkel),2.3,1.22,3.0,2023,38
2.0,3:25,3.0,17.0,MIA 40,10.0,21.0,Russell Wilson pass incomplete deep middle intended for Marvin Mims,1.22,0.59,3.0,2023,38
2.0,3:18,4.0,17.0,MIA 40,10.0,21.0,"Riley Dixon punts 31 yards, returned by Braxton Berrios for 5 yards (tackle by Tremon Smith)",0.59,0.28,3.0,2023,38
2.0,3:09,1.0,10.0,MIA 14,10.0,21.0,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 15 yards (tackle by Delarrin Turner-Yell),-0.28,0.87,3.0,2023,38
2.0,2:40,1.0,10.0,MIA 29,10.0,21.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 8 yards (tackle by Patrick Surtain),0.87,1.41,3.0,2023,38
2.0,2:25,2.0,2.0,MIA 37,10.0,21.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 15 yards (tackle by Patrick Surtain),1.41,2.39,3.0,2023,38
2.0,2:05,1.0,10.0,DEN 48,10.0,21.0,Tua Tagovailoa pass complete short middle to River Cracraft for 13 yards (tackle by Damarri Mathis),2.39,3.25,3.0,2023,38
2.0,2:00,1.0,10.0,DEN 35,10.0,21.0,Raheem Mostert up the middle for 9 yards (tackle by Jonathon Cooper),3.25,3.92,3.0,2023,38
2.0,1:55,,,,,,Timeout #2 by Denver Broncos,,,3.0,2023,38
2.0,1:55,2.0,1.0,DEN 26,10.0,21.0,"Penalty on Randy Gregory: Neutral Zone Infraction, 6 yards (accepted) (no play)",3.92,4.24,3.0,2023,38
2.0,1:55,1.0,10.0,DEN 20,10.0,27.0,"Raheem Mostert up the middle for 20 yards, touchdown",4.24,7.0,3.0,2023,38
2.0,1:49,,,DEN 15,10.0,28.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2023,38
2.0,1:49,,,MIA 35,10.0,28.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
2.0,1:49,1.0,10.0,DEN 25,10.0,28.0,Russell Wilson pass incomplete short right intended for Samaje Perine,0.61,0.06,3.0,2023,38
2.0,1:45,2.0,10.0,DEN 25,10.0,28.0,"Russell Wilson pass complete short middle to Courtland Sutton for 5 yards. Courtland Sutton fumbles (forced by Jevon Holland), recovered by Andrew Van Ginkel at DEN-32 and returned for 29 yards (tackle by Russell Wilson)",0.06,-6.51,3.0,2023,38
2.0,1:33,1.0,3.0,DEN 3,10.0,34.0,"Raheem Mostert left guard for 3 yards, touchdown",6.51,7.0,3.0,2023,38
2.0,1:29,,,DEN 15,10.0,35.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2023,38
2.0,1:29,,,MIA 35,10.0,35.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
2.0,1:29,1.0,10.0,DEN 25,10.0,35.0,Russell Wilson pass complete short left to Samaje Perine for 8 yards (tackle by Jerome Baker and Kader Kohou),0.61,1.14,3.0,2023,38
2.0,1:07,2.0,2.0,DEN 33,10.0,35.0,"Russell Wilson pass complete deep middle to Courtland Sutton for 20 yards (tackle by DeShon Elliott) Replay Assistant challenged the pass completion ruling, and the play was upheld.",1.14,2.46,3.0,2023,38
2.0,0:51,1.0,10.0,MIA 47,10.0,35.0,Russell Wilson pass complete short right to Courtland Sutton for 11 yards (tackle by Xavien Howard),2.46,3.18,3.0,2023,38
2.0,0:43,1.0,10.0,MIA 36,10.0,35.0,Russell Wilson pass incomplete deep left intended for Marvin Mims (defended by DeShon Elliott),3.18,2.64,3.0,2023,38
2.0,0:37,2.0,10.0,MIA 36,10.0,35.0,Russell Wilson pass complete short left to Marvin Mims for 30 yards (tackle by DeShon Elliott),2.64,5.83,3.0,2023,38
2.0,0:29,1.0,6.0,MIA 6,10.0,35.0,"Russell Wilson pass complete short right to Jerry Jeudy for no gain, touchdown. Penalty on Brandon Johnson: Illegal Shift, 5 yards (accepted) (no play)",5.83,4.77,3.0,2023,38
2.0,0:25,1.0,11.0,MIA 11,10.0,35.0,Russell Wilson pass complete short right to Samaje Perine for 7 yards (tackle by Justin Bethel and Andrew Van Ginkel),4.77,5.34,3.0,2023,38
2.0,0:17,,,,,,Timeout #1 by Miami Dolphins,,,3.0,2023,38
2.0,0:17,2.0,4.0,MIA 4,10.0,35.0,Russell Wilson pass incomplete short middle intended for Courtland Sutton,5.34,4.49,3.0,2023,38
2.0,0:11,,,,,,Timeout #2 by Miami Dolphins,,,3.0,2023,38
2.0,0:11,3.0,4.0,MIA 4,10.0,35.0,Russell Wilson pass complete short left to Jerry Jeudy for -3 yards (tackle by Justin Bethel),4.49,2.97,3.0,2023,38
2.0,0:07,,,,,,Timeout #3 by Denver Broncos,,,3.0,2023,38
2.0,0:07,4.0,7.0,MIA 7,13.0,35.0,Wil Lutz 25 yard field goal good,2.97,3.0,3.0,2023,38
2.0,0:03,,,DEN 35,13.0,35.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
2.0,0:03,1.0,10.0,MIA 25,13.0,35.0,De'Von Achane left guard for 6 yards (tackle by Alex Singleton),0.61,0.87,3.0,2023,38
3.0,15:00,,,MIA 35,13.0,35.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
3.0,15:00,1.0,10.0,DEN 25,13.0,35.0,"Russell Wilson pass complete short middle to Jerry Jeudy for 12 yards. Jerry Jeudy fumbles, ball out of bounds at DEN-37 (forced by Jevon Holland). Jerry Jeudy fumbles out of bounds",0.61,1.4,3.0,2023,38
3.0,14:22,1.0,10.0,DEN 37,13.0,35.0,Javonte Williams up the middle for 9 yards (tackle by Bradley Chubb),1.4,2.07,3.0,2023,38
3.0,13:47,2.0,1.0,DEN 46,13.0,35.0,Javonte Williams right end for -2 yards (tackle by Justin Bethel),2.07,1.09,3.0,2023,38
3.0,13:01,3.0,3.0,DEN 44,13.0,35.0,Jaleel McLaughlin right tackle for -2 yards (tackle by David Long and Jerome Baker),1.09,-0.59,3.0,2023,38
3.0,12:24,4.0,5.0,DEN 42,13.0,35.0,"Riley Dixon punts 48 yards, fair catch by Braxton Berrios at MIA-10",-0.59,0.38,3.0,2023,38
3.0,12:17,1.0,10.0,MIA 10,13.0,35.0,Raheem Mostert left tackle for 6 yards (tackle by Damarri Mathis),-0.38,-0.23,3.0,2023,38
3.0,11:41,2.0,4.0,MIA 16,13.0,35.0,Raheem Mostert up the middle for 1 yard (tackle by Delarrin Turner-Yell and Zach Allen),-0.23,-0.6,3.0,2023,38
3.0,11:03,3.0,3.0,MIA 17,13.0,35.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 9 yards (tackle by Jonathon Cooper),-0.6,0.67,3.0,2023,38
3.0,10:26,1.0,10.0,MIA 26,13.0,35.0,Raheem Mostert right end for 7 yards (tackle by Alex Singleton and Drew Sanders),0.67,1.07,3.0,2023,38
3.0,9:46,2.0,3.0,MIA 33,13.0,35.0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill,1.07,0.37,3.0,2023,38
3.0,9:38,3.0,3.0,MIA 33,13.0,35.0,Tua Tagovailoa pass complete short middle to Braxton Berrios for 22 yards (tackle by Kareem Jackson),0.37,2.59,3.0,2023,38
3.0,8:53,1.0,10.0,DEN 45,13.0,35.0,De'Von Achane left end for 40 yards (tackle by Patrick Surtain),2.59,6.06,3.0,2023,38
3.0,8:37,1.0,5.0,DEN 5,13.0,35.0,Tua Tagovailoa pass incomplete short left intended for Julian Hill,6.06,5.15,3.0,2023,38
3.0,8:34,2.0,5.0,DEN 5,13.0,35.0,De'Von Achane up the middle for 4 yards (tackle by Alex Singleton and Jonathon Cooper),5.15,5.17,3.0,2023,38
3.0,7:56,3.0,1.0,DEN 1,13.0,35.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill,5.17,3.55,3.0,2023,38
3.0,7:52,4.0,1.0,DEN 1,13.0,41.0,"Raheem Mostert up the middle for 1 yard, touchdown",3.55,7.0,3.0,2023,38
3.0,7:48,,,DEN 15,13.0,42.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2023,38
3.0,7:48,,,MIA 35,13.0,42.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
3.0,7:48,1.0,10.0,DEN 25,13.0,42.0,Russell Wilson pass complete short left to Jerry Jeudy for 11 yards,0.61,1.33,3.0,2023,38
3.0,7:23,1.0,10.0,DEN 36,13.0,42.0,Russell Wilson pass incomplete short left intended for Adam Trautman (defended by Jevon Holland),1.33,0.79,3.0,2023,38
3.0,7:20,2.0,10.0,DEN 36,13.0,42.0,Javonte Williams up the middle for 4 yards (tackle by Christian Wilkins and David Long),0.79,0.63,3.0,2023,38
3.0,6:42,3.0,6.0,DEN 40,13.0,42.0,Russell Wilson pass complete short left to Brandon Johnson for 8 yards (tackle by Xavien Howard),0.63,2.13,3.0,2023,38
3.0,6:05,1.0,10.0,DEN 48,13.0,42.0,Russell Wilson pass incomplete deep middle intended for Jerry Jeudy (defended by Kader Kohou),2.13,1.58,3.0,2023,38
3.0,5:58,2.0,10.0,DEN 48,13.0,42.0,Javonte Williams up the middle for 4 yards (tackle by Christian Wilkins and David Long),1.58,1.42,3.0,2023,38
3.0,5:25,3.0,6.0,MIA 48,13.0,42.0,"Russell Wilson pass complete short right to Courtland Sutton for 25 yards. Courtland Sutton fumbles (forced by Jevon Holland), recovered by Kader Kohou at MIA-23 (tackle by Jevon Holland)",1.42,-0.48,3.0,2023,38
3.0,5:13,1.0,10.0,MIA 23,13.0,42.0,De'Von Achane up the middle for 7 yards (tackle by Kareem Jackson),0.48,0.88,3.0,2023,38
3.0,4:38,2.0,3.0,MIA 30,13.0,42.0,Tua Tagovailoa pass complete short right to De'Von Achane for 17 yards (tackle by Alex Singleton and Delarrin Turner-Yell),0.88,2.06,3.0,2023,38
3.0,3:44,1.0,10.0,MIA 47,13.0,42.0,"De'Von Achane for 2 yards (tackle by Nik Bonitto and Damarri Mathis). Penalty on Drew Sanders: Unnecessary Roughness / Defense, 15 yards (accepted)",2.06,3.18,3.0,2023,38
3.0,3:16,1.0,10.0,DEN 36,13.0,42.0,"De'Von Achane left tackle for 3 yards (tackle by Damarri Mathis). Penalty on Liam Eichenberg: Illegal Peelback, 15 yards (accepted)",3.18,2.39,3.0,2023,38
3.0,2:57,1.0,22.0,DEN 48,13.0,42.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 7 yards (tackle by Zach Allen),2.39,1.96,3.0,2023,38
3.0,2:22,2.0,15.0,DEN 41,13.0,42.0,"Tua Tagovailoa pass complete deep middle to Tyreek Hill for 19 yards (tackle by Delarrin Turner-Yell). Penalty on Damarri Mathis: Defensive Holding, 5 yards (declined)",1.96,4.11,3.0,2023,38
3.0,1:55,1.0,10.0,DEN 22,13.0,42.0,Raheem Mostert up the middle for -1 yards (tackle by Zach Allen and Nik Bonitto),4.11,3.43,3.0,2023,38
3.0,1:17,2.0,11.0,DEN 23,13.0,42.0,Raheem Mostert right tackle for 4 yards (tackle by Zach Allen and Alex Singleton),3.43,3.26,3.0,2023,38
3.0,0:38,3.0,7.0,DEN 19,13.0,48.0,"Tua Tagovailoa pass complete short left to Raheem Mostert for 19 yards, touchdown",3.26,7.0,3.0,2023,38
3.0,0:29,,,DEN 15,13.0,49.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2023,38
3.0,0:29,,,MIA 35,13.0,49.0,"Jake Bailey kicks off 69 yards, returned by Marvin Mims for 22 yards (tackle by Channing Tindall and Brandon Jones)",0.0,0.04,3.0,2023,38
3.0,0:22,1.0,10.0,DEN 18,13.0,49.0,Russell Wilson pass short middle (defended by Da'Shawn Hand) intended for Adam Trautman is intercepted by Emmanuel Ogbah at DEN-13 and returned for 5 yards (tackle by Samaje Perine and Mike McGlinchey),0.04,-5.37,3.0,2023,38
3.0,0:15,1.0,8.0,DEN 8,13.0,49.0,De'Von Achane up the middle for -2 yards (tackle by Zach Allen),5.37,4.19,3.0,2023,38
4.0,15:00,2.0,10.0,DEN 10,13.0,55.0,"Tua Tagovailoa pass complete short middle to De'Von Achane for 10 yards, touchdown",4.19,7.0,3.0,2023,38
4.0,14:55,,,DEN 15,13.0,56.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2023,38
4.0,14:55,,,MIA 35,13.0,56.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
4.0,14:55,1.0,10.0,DEN 25,13.0,56.0,Samaje Perine right tackle for 3 yards (tackle by David Long),0.61,0.47,3.0,2023,38
4.0,14:28,2.0,7.0,DEN 28,13.0,56.0,Russell Wilson pass incomplete short middle intended for Jerry Jeudy,0.47,-0.23,3.0,2023,38
4.0,14:25,3.0,7.0,DEN 28,13.0,56.0,Russell Wilson pass incomplete deep left intended for Brandon Johnson. Penalty on Brandon Johnson: Illegal Touch Pass (accepted),-0.23,-1.5,3.0,2023,38
4.0,14:04,4.0,7.0,DEN 28,13.0,56.0,"Riley Dixon punts 58 yards, returned by Braxton Berrios for 15 yards (tackle by Delarrin Turner-Yell). Penalty on Channing Tindall: Offensive Holding, 10 yards (accepted)",-1.5,-0.15,3.0,2023,38
4.0,13:55,1.0,10.0,MIA 19,13.0,56.0,Chris Brooks up the middle for 1 yard (tackle by Jonathan Harris),0.15,-0.2,3.0,2023,38
4.0,13:29,2.0,9.0,MIA 20,13.0,56.0,Chris Brooks right tackle for 8 yards (tackle by Essang Bassey),-0.2,0.1,3.0,2023,38
4.0,12:44,3.0,1.0,MIA 28,13.0,56.0,Mike White pass complete short left to De'Von Achane for -1 yards (tackle by Alex Singleton),0.1,-1.57,3.0,2023,38
4.0,12:03,4.0,2.0,MIA 27,13.0,56.0,"Jake Bailey punts 48 yards, fair catch by Marvin Mims at DEN-25",-1.57,-0.61,3.0,2023,38
4.0,11:57,1.0,10.0,DEN 25,13.0,56.0,Javonte Williams up the middle for 1 yard (tackle by Brandon Jones and Emmanuel Ogbah),0.61,0.2,3.0,2023,38
4.0,11:19,2.0,9.0,DEN 26,13.0,56.0,Russell Wilson pass complete short middle to Javonte Williams for 6 yards (tackle by Duke Riley),0.2,0.3,3.0,2023,38
4.0,10:39,3.0,3.0,DEN 32,13.0,56.0,Russell Wilson pass incomplete deep left,0.3,-1.24,3.0,2023,38
4.0,10:32,4.0,3.0,DEN 32,13.0,56.0,"Riley Dixon punts 36 yards, fair catch by Braxton Berrios at MIA-32",-1.24,-1.07,3.0,2023,38
4.0,10:28,1.0,10.0,MIA 32,13.0,56.0,Chris Brooks up the middle for 3 yards (tackle by Delarrin Turner-Yell),1.07,0.93,3.0,2023,38
4.0,9:54,2.0,7.0,MIA 35,13.0,56.0,Chris Brooks up the middle for -3 yards (tackle by Nik Bonitto),0.93,-0.16,3.0,2023,38
4.0,9:17,3.0,10.0,MIA 32,13.0,62.0,"Mike White pass complete deep right to Robbie Chosen for 68 yards, touchdown",-0.16,7.0,3.0,2023,38
4.0,9:05,,,DEN 15,13.0,63.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2023,38
4.0,9:05,,,MIA 35,19.0,63.0,"Jason Sanders kicks off 64 yards, returned by Marvin Mims for 99 yards, touchdown",0.0,7.0,3.0,2023,38
4.0,8:50,,,MIA 15,20.0,63.0,Wil Lutz kicks extra point good,0.0,0.0,3.0,2023,38
4.0,8:50,,,DEN 35,20.0,63.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
4.0,8:50,1.0,10.0,MIA 25,20.0,63.0,De'Von Achane right tackle for 8 yards (tackle by Thomas Incoom),0.61,1.14,3.0,2023,38
4.0,8:12,2.0,2.0,MIA 33,20.0,69.0,"De'Von Achane left tackle for 67 yards, touchdown",1.14,7.0,3.0,2023,38
4.0,8:01,,,DEN 15,20.0,70.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2023,38
4.0,8:01,,,MIA 35,20.0,70.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
4.0,8:01,1.0,10.0,DEN 25,20.0,70.0,Jaleel McLaughlin left end for 3 yards (tackle by Duke Riley and Da'Shawn Hand),0.61,0.47,3.0,2023,38
4.0,7:24,2.0,7.0,DEN 28,20.0,70.0,Russell Wilson pass complete short right to Marvin Mims for 5 yards (tackle by Kelvin Joseph),0.47,0.43,3.0,2023,38
4.0,6:44,3.0,2.0,DEN 33,20.0,70.0,"Russell Wilson pass incomplete short right. Penalty on Parry Nickerson: Illegal Contact, 5 yards (accepted) (no play)",0.43,1.47,3.0,2023,38
4.0,6:39,1.0,10.0,DEN 38,20.0,70.0,Russell Wilson pass complete deep right to Jerry Jeudy for 46 yards (tackle by Brandon Jones),1.47,4.51,3.0,2023,38
