Quarter,Time,Down,ToGo,Location,LAC,MIN,Detail,EPB,EPA,week,year,game_id
2.0,12:17,3.0,7.0,LAC 34,7.0,0.0,"Justin Herbert pass complete short left to Keenan Allen for 9 yards. Keenan Allen fumbles (forced by Akayleb Evans), recovered by Keenan Allen at LAC-43 (tackle by Akayleb Evans)",0.17,1.8,3.0,2023,41
2.0,11:35,1.0,10.0,LAC 43,7.0,0.0,Isaiah Spiller right guard for 1 yard (tackle by Ivan Pace),1.8,1.39,3.0,2023,41
2.0,10:59,2.0,9.0,LAC 44,7.0,0.0,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Camryn Bynum),1.39,0.69,3.0,2023,41
2.0,10:54,3.0,9.0,LAC 44,7.0,0.0,Justin Herbert pass complete short right to Gerald Everett for -2 yards (tackle by Danielle Hunter),0.69,-0.59,3.0,2023,41
2.0,10:21,4.0,11.0,LAC 42,7.0,0.0,"JK Scott punts 33 yards, fair catch by Brandon Powell at MIN-25",-0.59,-0.61,3.0,2023,41
2.0,10:13,1.0,10.0,MIN 25,7.0,0.0,Kirk Cousins pass complete short middle to Alexander Mattison for 8 yards (tackle by Nick Niemann),0.61,1.14,3.0,2023,41
2.0,9:40,2.0,2.0,MIN 33,7.0,0.0,Kirk Cousins pass complete deep right to Justin Jefferson for 21 yards (tackle by Michael Davis),1.14,2.52,3.0,2023,41
2.0,9:09,1.0,10.0,LAC 46,7.0,0.0,Kirk Cousins pass complete deep right to Justin Jefferson for 34 yards (tackle by Ja'Sir Taylor),2.52,4.78,3.0,2023,41
2.0,8:25,1.0,10.0,LAC 12,7.0,0.0,"Kirk Cousins pass complete short right to Johnny Mundt for 2 yards. Penalty on Tuli Tuipulotu: Defensive Holding, 5 yards (accepted) (no play)",4.78,5.6,3.0,2023,41
2.0,8:23,1.0,7.0,LAC 7,7.0,0.0,Alexander Mattison left end for 3 yards (tackle by Scott Matlock),5.6,5.34,3.0,2023,41
2.0,7:34,2.0,4.0,LAC 4,7.0,6.0,"Kirk Cousins pass complete short left to Josh Oliver for 4 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",5.34,7.0,3.0,2023,41
2.0,7:27,,,LAC 15,7.0,7.0,Greg Joseph kicks extra point good,0.0,0.0,3.0,2023,41
2.0,7:27,,,MIN 35,7.0,7.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,41
2.0,7:27,1.0,10.0,LAC 25,7.0,7.0,Justin Herbert pass complete short right to Mike Williams for 7 yards (tackle by Byron Murphy),0.61,1.01,3.0,2023,41
2.0,6:52,2.0,3.0,LAC 32,7.0,7.0,Justin Herbert pass complete short left to Quentin Johnston for 7 yards (tackle by Camryn Bynum),1.01,1.53,3.0,2023,41
2.0,6:12,1.0,10.0,LAC 39,7.0,7.0,"Justin Herbert pass complete short left to Josh Palmer for 4 yards. Josh Palmer fumbles (forced by Jordan Hicks), recovered by Jordan Hicks at LAC-45 (tackle by Jordan Hicks)",1.53,-2.59,3.0,2023,41
2.0,6:02,1.0,10.0,LAC 45,7.0,7.0,Alexander Mattison left tackle for 7 yards (tackle by Derwin James),2.59,2.99,3.0,2023,41
2.0,5:34,2.0,3.0,LAC 38,7.0,7.0,Kirk Cousins pass complete short right to C.J. Ham for 7 yards (tackle by Nick Niemann),2.99,3.51,3.0,2023,41
2.0,4:58,1.0,10.0,LAC 31,7.0,7.0,"Kirk Cousins pass incomplete short left. Penalty on Kirk Cousins: Intentional Grounding, 10 yards (accepted)",3.51,1.62,3.0,2023,41
2.0,4:54,2.0,20.0,LAC 41,7.0,7.0,"Kirk Cousins pass incomplete short right intended for Jordan Addison. Penalty on Michael Davis: Defensive Pass Interference, 16 yards (accepted) (no play)",1.62,3.91,3.0,2023,41
2.0,4:47,1.0,10.0,LAC 25,7.0,7.0,"Alexander Mattison up the middle for no gain (tackle by Kenneth Murray). Penalty on Ed Ingram: Offensive Holding, 10 yards (accepted) (no play)",3.91,3.25,3.0,2023,41
2.0,4:24,1.0,20.0,LAC 35,7.0,7.0,Kirk Cousins pass complete deep left to Justin Jefferson for 25 yards (tackle by Asante Samuel),3.25,4.91,3.0,2023,41
2.0,3:46,1.0,10.0,LAC 10,7.0,7.0,Kirk Cousins pass incomplete short left intended for Jordan Addison,4.91,4.19,3.0,2023,41
2.0,3:41,2.0,10.0,LAC 10,7.0,7.0,"Penalty on Brian O'Neill: False Start, 5 yards (accepted) (no play)",4.19,3.46,3.0,2023,41
2.0,3:41,2.0,15.0,LAC 15,7.0,7.0,Kirk Cousins pass incomplete short left intended for Alexander Mattison,3.46,2.93,3.0,2023,41
2.0,3:37,3.0,15.0,LAC 15,7.0,7.0,Kirk Cousins pass complete short left to Alexander Mattison for 9 yards (tackle by Derwin James),2.93,2.99,3.0,2023,41
2.0,3:30,4.0,6.0,LAC 6,7.0,7.0,"Penalty on Derwin James: Unnecessary Roughness / Defense, 3 yards (accepted)",2.99,6.51,3.0,2023,41
2.0,2:48,1.0,3.0,LAC 3,7.0,7.0,"Alexander Mattison left tackle for -2 yards (tackle by Nick Williams and Alohi Gilman) LAC challenged the fumble ruling, and the play was upheld.",6.51,5.15,3.0,2023,41
2.0,2:21,2.0,5.0,LAC 5,7.0,7.0,Kirk Cousins pass incomplete short left intended for K.J. Osborn (defended by Asante Samuel),5.15,4.26,3.0,2023,41
2.0,2:15,3.0,5.0,LAC 5,7.0,7.0,Kirk Cousins pass incomplete short right intended for Alexander Mattison (defended by Joey Bosa),4.26,3.01,3.0,2023,41
2.0,2:11,4.0,5.0,LAC 5,7.0,10.0,Greg Joseph 23 yard field goal good,3.01,3.0,3.0,2023,41
2.0,2:08,,,MIN 35,7.0,10.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,41
2.0,2:08,1.0,10.0,LAC 25,7.0,10.0,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Camryn Bynum),0.61,1.01,3.0,2023,41
2.0,2:00,2.0,3.0,LAC 32,7.0,10.0,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Mekhi Blackmon),1.01,1.47,3.0,2023,41
2.0,1:57,1.0,10.0,LAC 38,7.0,10.0,Justin Herbert pass complete short right to Gerald Everett for 13 yards (tackle by Mekhi Blackmon),1.47,2.32,3.0,2023,41
2.0,1:48,1.0,10.0,MIN 49,7.0,10.0,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Byron Murphy),2.32,3.0,3.0,2023,41
2.0,1:31,2.0,1.0,MIN 40,7.0,10.0,Justin Herbert pass complete short left to Mike Williams for 5 yards (tackle by Akayleb Evans),3.0,3.25,3.0,2023,41
2.0,1:11,1.0,10.0,MIN 35,7.0,10.0,"Justin Herbert pass complete deep left to Josh Palmer for 29 yards. Penalty on Akayleb Evans: Defensive Pass Interference, 15 yards (declined)",3.25,5.83,3.0,2023,41
2.0,1:06,1.0,6.0,MIN 6,7.0,10.0,Joshua Kelley left tackle for 3 yards (tackle by Harrison Phillips and Mekhi Blackmon),5.83,5.53,3.0,2023,41
2.0,1:00,,,,,,Timeout #1 by Minnesota Vikings,,,3.0,2023,41
2.0,1:00,2.0,3.0,MIN 3,7.0,10.0,Justin Herbert pass complete short left to Gerald Everett for 2 yards (tackle by Mekhi Blackmon),5.53,5.17,3.0,2023,41
2.0,0:56,,,,,,Timeout #2 by Minnesota Vikings,,,3.0,2023,41
2.0,0:56,3.0,1.0,MIN 1,7.0,10.0,Joshua Kelley right guard for no gain (tackle by Jonathan Bullard and Ivan Pace),5.17,3.55,3.0,2023,41
2.0,0:50,,,,,,Timeout #3 by Minnesota Vikings,,,3.0,2023,41
2.0,0:50,4.0,1.0,MIN 1,13.0,10.0,"Justin Herbert pass complete short middle to Donald Parham for 1 yard, touchdown",3.55,7.0,3.0,2023,41
2.0,0:47,,,MIN 15,14.0,10.0,Cameron Dicker kicks extra point good,0.0,0.0,3.0,2023,41
2.0,0:47,,,LAC 35,14.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,41
2.0,0:47,1.0,10.0,MIN 25,14.0,10.0,Kirk Cousins pass complete short left to T.J. Hockenson for 8 yards (tackle by Asante Samuel),0.61,1.14,3.0,2023,41
2.0,0:41,2.0,2.0,MIN 33,14.0,10.0,Kirk Cousins pass complete short right to T.J. Hockenson for 9 yards (tackle by Ja'Sir Taylor),1.14,1.73,3.0,2023,41
2.0,0:20,1.0,10.0,MIN 42,14.0,10.0,Kirk Cousins pass complete short left to T.J. Hockenson for 7 yards (tackle by Michael Davis),1.73,2.13,3.0,2023,41
2.0,0:01,2.0,3.0,MIN 49,14.0,10.0,Kirk Cousins pass incomplete short left,2.13,1.42,3.0,2023,41
3.0,15:00,,,LAC 35,14.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,41
3.0,15:00,1.0,10.0,MIN 25,14.0,10.0,Alexander Mattison left tackle for 15 yards (tackle by Alohi Gilman),0.61,1.6,3.0,2023,41
3.0,14:38,1.0,10.0,MIN 40,14.0,10.0,Alexander Mattison left tackle for 8 yards (tackle by Michael Davis),1.6,2.13,3.0,2023,41
3.0,14:00,2.0,2.0,MIN 48,14.0,10.0,Kirk Cousins pass incomplete deep left intended for Justin Jefferson,2.13,1.42,3.0,2023,41
3.0,13:53,3.0,2.0,MIN 48,14.0,10.0,Kirk Cousins pass incomplete deep right intended for Justin Jefferson,1.42,-0.19,3.0,2023,41
3.0,13:47,4.0,2.0,MIN 48,14.0,10.0,Ryan Wright punts 46 yards out of bounds,-0.19,0.38,3.0,2023,41
3.0,13:39,1.0,10.0,LAC 6,14.0,10.0,Joshua Kelley left tackle for 3 yards (tackle by Akayleb Evans and D.J. Wonnum),-0.38,-0.56,3.0,2023,41
3.0,13:05,2.0,7.0,LAC 9,14.0,10.0,"Penalty on Donald Parham: False Start, 5 yards (accepted) (no play)",-0.56,-0.93,3.0,2023,41
3.0,12:59,2.0,12.0,LAC 4,14.0,10.0,"Justin Herbert pass complete deep right to Mike Williams for 35 yards (tackle by Byron Murphy) MIN challenged the pass completion ruling, and the play was upheld.",-0.93,1.53,3.0,2023,41
3.0,12:23,1.0,10.0,LAC 39,14.0,10.0,Justin Herbert pass complete short left to Keenan Allen for 25 yards (tackle by Akayleb Evans),1.53,3.18,3.0,2023,41
3.0,11:43,1.0,10.0,MIN 36,14.0,10.0,Justin Herbert pass complete short right to Keenan Allen for 1 yard (tackle by Byron Murphy),3.18,2.77,3.0,2023,41
3.0,11:07,2.0,9.0,MIN 35,14.0,10.0,Justin Herbert pass incomplete short left intended for Josh Palmer,2.77,2.08,3.0,2023,41
3.0,11:00,3.0,9.0,MIN 35,14.0,10.0,Justin Herbert pass incomplete short left intended for Quentin Johnston (defended by Byron Murphy),2.08,0.97,3.0,2023,41
3.0,10:54,4.0,9.0,MIN 35,14.0,10.0,Cameron Dicker 53 yard field goal no good,0.97,-1.8,3.0,2023,41
3.0,10:50,1.0,10.0,MIN 43,14.0,10.0,Alexander Mattison right guard for 1 yard (tackle by Tuli Tuipulotu and Nick Niemann),1.8,1.39,3.0,2023,41
3.0,10:18,2.0,9.0,MIN 44,14.0,10.0,Kirk Cousins pass complete short right to Alexander Mattison for 4 yards (tackle by Kenneth Murray),1.39,1.22,3.0,2023,41
3.0,9:45,3.0,5.0,MIN 48,14.0,10.0,Kirk Cousins pass complete short right to Justin Jefferson for 6 yards (tackle by Michael Davis),1.22,2.52,3.0,2023,41
3.0,9:19,1.0,10.0,LAC 46,14.0,10.0,"Penalty on Ezra Cleveland: False Start, 5 yards (accepted) (no play)",2.52,2.19,3.0,2023,41
3.0,8:58,1.0,15.0,MIN 49,14.0,10.0,Kirk Cousins pass complete short right to T.J. Hockenson for 10 yards (tackle by Kenneth Murray),2.19,2.65,3.0,2023,41
3.0,8:27,2.0,5.0,LAC 41,14.0,10.0,Alexander Mattison up the middle for 1 yard (tackle by Tuli Tuipulotu),2.65,2.08,3.0,2023,41
3.0,7:50,3.0,4.0,LAC 40,14.0,10.0,Kirk Cousins sacked by Morgan Fox for -6 yards,2.08,0.2,3.0,2023,41
3.0,7:04,4.0,10.0,LAC 46,14.0,10.0,"Ryan Wright punts 46 yards, touchback.",0.2,-0.28,3.0,2023,41
3.0,7:04,1.0,10.0,LAC 20,14.0,10.0,Isaiah Spiller up the middle for 6 yards (tackle by Akayleb Evans and Patrick Jones),0.28,0.54,3.0,2023,41
3.0,6:23,2.0,4.0,LAC 26,14.0,10.0,Justin Herbert pass complete deep right to Keenan Allen for 25 yards (tackle by Theo Jackson),0.54,2.32,3.0,2023,41
3.0,6:01,1.0,10.0,MIN 49,20.0,10.0,"Keenan Allen pass complete deep right to Mike Williams for 49 yards, touchdown",2.32,7.0,3.0,2023,41
3.0,5:53,,,MIN 15,21.0,10.0,Cameron Dicker kicks extra point good,0.0,0.0,3.0,2023,41
3.0,5:53,,,LAC 35,21.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,41
3.0,5:53,1.0,10.0,MIN 25,21.0,10.0,Kirk Cousins pass complete deep middle to T.J. Hockenson for 21 yards (tackle by Derwin James),0.61,1.99,3.0,2023,41
3.0,5:21,1.0,10.0,MIN 46,21.0,10.0,Kirk Cousins sacked by Sebastian Joseph-Day for -5 yards,1.99,0.78,3.0,2023,41
3.0,5:13,2.0,15.0,MIN 41,21.0,10.0,Kirk Cousins pass complete short right to Jordan Addison for 4 yards (tackle by Michael Davis),0.78,0.63,3.0,2023,41
3.0,4:50,3.0,11.0,MIN 45,21.0,10.0,Kirk Cousins scrambles left tackle for 10 yards (tackle by Derwin James),0.63,0.27,3.0,2023,41
3.0,4:40,4.0,1.0,LAC 45,21.0,10.0,"Penalty on Michael Davis: Defensive Holding, 5 yards (accepted) (no play)",0.27,2.92,3.0,2023,41
3.0,4:00,1.0,10.0,LAC 40,21.0,10.0,Kirk Cousins pass complete short right to Ty Chandler for 4 yards (tackle by Asante Samuel),2.92,2.91,3.0,2023,41
3.0,3:20,2.0,6.0,LAC 36,21.0,10.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson,2.91,2.21,3.0,2023,41
3.0,3:14,3.0,6.0,LAC 36,21.0,10.0,"Kirk Cousins pass incomplete deep left intended for Justin Jefferson. Penalty on Ed Ingram: Offensive Holding, 10 yards (declined)",2.21,0.88,3.0,2023,41
3.0,3:09,4.0,6.0,LAC 36,21.0,16.0,"Kirk Cousins pass complete short left to K.J. Osborn for 36 yards, touchdown",0.88,7.0,3.0,2023,41
3.0,3:01,,,LAC 15,21.0,17.0,Greg Joseph kicks extra point good,0.0,0.0,3.0,2023,41
3.0,3:01,,,MIN 35,21.0,17.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,41
3.0,3:01,1.0,10.0,LAC 25,21.0,17.0,Justin Herbert pass complete short middle to Keenan Allen for 14 yards (tackle by Camryn Bynum),0.61,1.53,3.0,2023,41
3.0,2:28,1.0,10.0,LAC 39,21.0,17.0,"Justin Herbert pass complete short left to Keenan Allen for 2 yards (tackle by Harrison Smith). Penalty on Tre' McKitty: Offensive Holding, 10 yards (accepted)",1.53,1.0,3.0,2023,41
3.0,2:01,1.0,18.0,LAC 31,21.0,17.0,Justin Herbert pass complete short right to Mike Williams for 11 yards (tackle by Harrison Phillips),1.0,1.39,3.0,2023,41
3.0,1:36,2.0,7.0,LAC 42,21.0,17.0,Joshua Kelley left end for -2 yards (tackle by Camryn Bynum and Josh Metellus),1.39,0.43,3.0,2023,41
3.0,0:55,3.0,9.0,LAC 40,21.0,17.0,"Justin Herbert sacked by Danielle Hunter for -9 yards. Justin Herbert fumbles (forced by Danielle Hunter), recovered by Justin Herbert at LAC-31 (tackle by Danielle Hunter)",0.43,-1.31,3.0,2023,41
3.0,0:17,4.0,18.0,LAC 31,21.0,17.0,"JK Scott punts 52 yards, fair catch by Brandon Powell at MIN-17",-1.31,0.06,3.0,2023,41
3.0,0:07,1.0,10.0,MIN 17,21.0,17.0,Alexander Mattison right tackle for 14 yards (tackle by JT Woods and Nick Niemann),-0.06,1.0,3.0,2023,41
4.0,15:00,1.0,10.0,MIN 31,21.0,17.0,"Alexander Mattison left guard for no gain (tackle by Nick Niemann). Penalty on Brian O'Neill: Offensive Holding, 10 yards (accepted) (no play)",1.0,0.34,3.0,2023,41
4.0,14:43,1.0,20.0,MIN 21,21.0,17.0,Kirk Cousins pass complete short left to Jordan Addison for 11 yards (tackle by Asante Samuel),0.34,0.6,3.0,2023,41
4.0,14:03,2.0,9.0,MIN 32,21.0,17.0,Kirk Cousins pass complete short left to Jordan Addison for 4 yards (tackle by Michael Davis),0.6,0.43,3.0,2023,41
4.0,13:27,3.0,5.0,MIN 36,21.0,17.0,Kirk Cousins pass complete short left to Jordan Addison for 6 yards (tackle by Michael Davis),0.43,1.73,3.0,2023,41
4.0,12:48,1.0,10.0,MIN 42,21.0,17.0,Kirk Cousins pass incomplete deep right intended for Jordan Addison (defended by Asante Samuel),1.73,1.19,3.0,2023,41
4.0,12:39,2.0,10.0,MIN 42,21.0,17.0,Alexander Mattison up the middle for 10 yards (tackle by Nick Niemann),1.19,2.39,3.0,2023,41
4.0,12:11,1.0,10.0,LAC 48,21.0,17.0,Kirk Cousins sacked by Tuli Tuipulotu for -4 yards,2.39,1.24,3.0,2023,41
4.0,11:31,2.0,15.0,MIN 48,21.0,23.0,"Kirk Cousins pass complete short left to Justin Jefferson for 52 yards, touchdown",1.24,7.0,3.0,2023,41
4.0,11:20,,,LAC 15,21.0,24.0,Greg Joseph kicks extra point good,0.0,0.0,3.0,2023,41
4.0,11:20,,,MIN 35,21.0,24.0,"Penalty on Asante Samuel: Defensive Offside, 5 yards (accepted)",0.0,-2.92,3.0,2023,41
4.0,11:20,1.0,10.0,MIN 40,21.0,24.0,"Greg Joseph kicks off 60 yards, touchback.",2.92,0.61,3.0,2023,41
4.0,11:20,1.0,10.0,LAC 25,21.0,24.0,"Justin Herbert pass complete short right to Keenan Allen for 21 yards (tackle by Akayleb Evans). Penalty on Byron Murphy: Defensive Holding, 5 yards (declined)",0.61,1.99,3.0,2023,41
4.0,11:09,1.0,10.0,LAC 46,21.0,24.0,Justin Herbert pass complete short left to Joshua Kelley for 5 yards (tackle by Ivan Pace and Josh Metellus),1.99,2.13,3.0,2023,41
4.0,10:32,2.0,5.0,MIN 49,21.0,24.0,Justin Herbert pass complete short left to Gerald Everett for 6 yards. Gerald Everett fumbles (forced by Harrison Smith) (tackle by Josh Metellus). Gerald Everett fumbles out of bounds,2.13,2.72,3.0,2023,41
4.0,9:56,1.0,10.0,MIN 43,21.0,24.0,"Justin Herbert pass complete deep right to Keenan Allen for no gain (tackle by Byron Murphy). Penalty on Keenan Allen: Offensive Pass Interference, 10 yards (accepted) (no play)",2.72,2.06,3.0,2023,41
4.0,9:36,1.0,20.0,LAC 47,21.0,24.0,Justin Herbert pass incomplete deep right intended for Josh Palmer,2.06,0.83,3.0,2023,41
4.0,9:29,2.0,20.0,LAC 47,21.0,24.0,Joshua Kelley left end for 3 yards (tackle by Ivan Pace),0.83,0.56,3.0,2023,41
4.0,8:51,3.0,17.0,LAC 50,21.0,24.0,Justin Herbert pass complete deep middle to Keenan Allen for 20 yards (tackle by Jordan Hicks),0.56,3.58,3.0,2023,41
4.0,8:11,1.0,10.0,MIN 30,27.0,24.0,"Justin Herbert pass complete deep left to Josh Palmer for 30 yards, touchdown",3.58,7.0,3.0,2023,41
4.0,8:05,,,MIN 15,28.0,24.0,Cameron Dicker kicks extra point good,0.0,0.0,3.0,2023,41
4.0,8:05,,,LAC 35,28.0,24.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,41
4.0,8:05,1.0,10.0,MIN 25,28.0,24.0,Alexander Mattison left tackle for 1 yard (tackle by Khalil Mack),0.61,0.2,3.0,2023,41
4.0,7:31,2.0,9.0,MIN 26,28.0,24.0,Kirk Cousins pass incomplete short left intended for T.J. Hockenson,0.2,-0.49,3.0,2023,41
4.0,7:30,3.0,9.0,MIN 26,28.0,24.0,"Kirk Cousins pass complete deep left to Jordan Addison for 16 yards (tackle by Raheem Layne). Penalty on Raheem Layne: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.49,2.72,3.0,2023,41
4.0,7:21,1.0,10.0,LAC 43,28.0,24.0,Kirk Cousins pass complete short right to Jordan Addison for 11 yards,2.72,3.45,3.0,2023,41
4.0,6:53,1.0,10.0,LAC 32,28.0,24.0,Kirk Cousins pass complete short middle to Alexander Mattison for 6 yards (tackle by Kenneth Murray),3.45,3.71,3.0,2023,41
