Quarter,Time,Down,ToGo,Location,CAR,SEA,Detail,EPB,EPA,week,year,game_id
1.0,7:47,,,CAR 35,3.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,43
1.0,7:47,1.0,10.0,SEA 25,3.0,0.0,"Penalty on Damien Lewis: False Start, 5 yards (accepted) (no play)",0.61,0.28,3.0,2023,43
1.0,7:47,1.0,15.0,SEA 20,3.0,0.0,"Kenneth Walker right guard for 7 yards (tackle by Vonn Bell). Penalty on Justin Houston: Face Mask (15 Yards), 15 yards (accepted)",0.28,1.73,3.0,2023,43
1.0,7:28,1.0,10.0,SEA 42,3.0,0.0,Geno Smith pass complete deep left to D.K. Metcalf for 20 yards (tackle by Kamu Grugier-Hill),1.73,3.05,3.0,2023,43
1.0,6:54,1.0,10.0,CAR 38,3.0,0.0,Geno Smith pass complete short right to Noah Fant for 7 yards,3.05,3.45,3.0,2023,43
1.0,6:21,2.0,3.0,CAR 31,3.0,0.0,Kenneth Walker right guard for 2 yards (tackle by Frankie Luvu),3.45,3.01,3.0,2023,43
1.0,5:41,3.0,1.0,CAR 29,3.0,0.0,Kenneth Walker up the middle for no gain (tackle by Frankie Luvu),3.01,1.62,3.0,2023,43
1.0,4:58,4.0,1.0,CAR 29,3.0,0.0,Kenneth Walker up the middle for 1 yard (tackle by DeShawn Williams),1.62,3.71,3.0,2023,43
1.0,4:25,1.0,10.0,CAR 28,3.0,0.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by C.J. Henderson),3.71,3.17,3.0,2023,43
1.0,4:23,2.0,10.0,CAR 28,3.0,0.0,Kenneth Walker left guard for 3 yards (tackle by Derrick Brown),3.17,2.87,3.0,2023,43
1.0,3:45,3.0,7.0,CAR 25,3.0,0.0,Geno Smith pass incomplete short right intended for Tyler Lockett,2.87,1.8,3.0,2023,43
1.0,3:37,4.0,7.0,CAR 25,3.0,3.0,Jason Myers 43 yard field goal good,1.8,3.0,3.0,2023,43
1.0,3:33,,,SEA 35,3.0,3.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,43
1.0,3:33,1.0,10.0,CAR 25,3.0,3.0,Andy Dalton pass complete short right to Adam Thielen for 15 yards (tackle by Bobby Wagner),0.61,1.6,3.0,2023,43
1.0,2:50,1.0,10.0,CAR 40,3.0,3.0,Miles Sanders right tackle for no gain (tackle by Jordyn Brooks),1.6,1.05,3.0,2023,43
1.0,2:13,2.0,10.0,CAR 40,3.0,3.0,Andy Dalton pass incomplete short right intended for Jonathan Mingo (defended by Devon Witherspoon),1.05,0.37,3.0,2023,43
1.0,2:07,3.0,10.0,CAR 40,3.0,3.0,Andy Dalton sacked by Jarran Reed for -8 yards,0.37,-1.24,3.0,2023,43
1.0,1:17,4.0,18.0,CAR 32,3.0,3.0,"Johnny Hekker punts 49 yards, fair catch by DeeJay Dallas at SEA-19",-1.24,-0.15,3.0,2023,43
1.0,1:10,1.0,10.0,SEA 19,3.0,3.0,Geno Smith pass complete short right to Tyler Lockett for 16 yards (tackle by Kamu Grugier-Hill),0.15,1.27,3.0,2023,43
1.0,0:46,1.0,10.0,SEA 35,3.0,3.0,Geno Smith pass complete short left to Noah Fant for 9 yards (tackle by Kamu Grugier-Hill and Yetur Gross-Matos),1.27,1.94,3.0,2023,43
1.0,0:05,2.0,1.0,SEA 44,3.0,3.0,Zach Charbonnet left tackle for 7 yards (tackle by Vonn Bell),1.94,2.32,3.0,2023,43
2.0,15:00,1.0,10.0,CAR 49,3.0,3.0,Geno Smith pass complete deep right to D.K. Metcalf for 34 yards (tackle by Xavier Woods),2.32,4.58,3.0,2023,43
2.0,14:32,1.0,10.0,CAR 15,3.0,3.0,"Zach Charbonnet left guard for no gain. Penalty on Evan Brown: Offensive Holding, 10 yards (accepted) (no play)",4.58,3.91,3.0,2023,43
2.0,14:13,1.0,19.0,CAR 25,3.0,3.0,Geno Smith pass complete short middle to Tyler Lockett for 9 yards (tackle by Vonn Bell),3.91,3.9,3.0,2023,43
2.0,13:32,2.0,10.0,CAR 16,3.0,3.0,Geno Smith sacked by Brian Burns for -11 yards,3.9,1.82,3.0,2023,43
2.0,12:51,3.0,21.0,CAR 27,3.0,3.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 10 yards (tackle by Frankie Luvu and Sam Franklin),1.82,2.31,3.0,2023,43
2.0,12:09,4.0,11.0,CAR 17,3.0,6.0,Jason Myers 35 yard field goal good,2.31,3.0,3.0,2023,43
2.0,12:07,,,SEA 35,3.0,6.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,43
2.0,12:07,1.0,10.0,CAR 25,3.0,6.0,Miles Sanders right guard for 1 yard (tackle by Devon Witherspoon),0.61,0.2,3.0,2023,43
2.0,11:31,2.0,9.0,CAR 26,3.0,6.0,Miles Sanders left guard for 3 yards (tackle by Derick Hall and Jordyn Brooks),0.2,-0.1,3.0,2023,43
2.0,11:00,3.0,6.0,CAR 29,3.0,6.0,Andy Dalton pass incomplete deep right intended for Jonathan Mingo (defended by Jarran Reed),-0.1,-1.44,3.0,2023,43
2.0,10:56,4.0,6.0,CAR 29,3.0,6.0,"Johnny Hekker punts 45 yards, returned by DeeJay Dallas for 13 yards (tackle by J.J. Jansen)",-1.44,-1.53,3.0,2023,43
2.0,10:45,1.0,10.0,SEA 39,3.0,6.0,Kenneth Walker right end for 9 yards (tackle by Vonn Bell),1.53,2.2,3.0,2023,43
2.0,10:21,2.0,1.0,SEA 48,3.0,6.0,Kenneth Walker right guard for 36 yards (tackle by Jeremy Chinn),2.2,4.51,3.0,2023,43
2.0,9:37,1.0,10.0,CAR 16,3.0,6.0,Zach Charbonnet right guard for 1 yard (tackle by Derrick Brown),4.51,4.05,3.0,2023,43
2.0,9:00,2.0,9.0,CAR 15,3.0,6.0,Geno Smith pass incomplete short left intended for Tyler Lockett,4.05,3.22,3.0,2023,43
2.0,8:52,3.0,9.0,CAR 15,3.0,6.0,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba (defended by Sam Franklin),3.22,2.44,3.0,2023,43
2.0,8:48,4.0,9.0,CAR 15,3.0,9.0,Jason Myers 33 yard field goal good,2.44,3.0,3.0,2023,43
2.0,8:45,,,SEA 35,3.0,9.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,43
2.0,8:45,1.0,10.0,CAR 25,3.0,9.0,Andy Dalton pass incomplete deep right intended for DJ Chark,0.61,0.06,3.0,2023,43
2.0,8:39,2.0,10.0,CAR 25,3.0,9.0,Andy Dalton pass complete short left to Jonathan Mingo for 8 yards (tackle by Michael Jackson),0.06,0.43,3.0,2023,43
2.0,7:57,3.0,2.0,CAR 33,3.0,9.0,Andy Dalton pass complete short left to Adam Thielen for 5 yards (tackle by Julian Love),0.43,1.47,3.0,2023,43
2.0,7:26,1.0,10.0,CAR 38,3.0,9.0,Andy Dalton pass incomplete short left intended for Jonathan Mingo,1.47,0.92,3.0,2023,43
2.0,7:23,2.0,10.0,CAR 38,3.0,9.0,Miles Sanders left guard for 15 yards (tackle by Devon Witherspoon and Jarran Reed),0.92,2.46,3.0,2023,43
2.0,7:01,1.0,10.0,SEA 47,3.0,9.0,Andy Dalton pass complete short left to Chuba Hubbard for 1 yard (tackle by Jordyn Brooks and Dre'Mont Jones),2.46,2.05,3.0,2023,43
2.0,6:24,2.0,9.0,SEA 46,3.0,9.0,"Penalty on Taylor Moton: False Start, 5 yards (accepted) (no play)",2.05,1.37,3.0,2023,43
2.0,6:02,2.0,14.0,CAR 49,3.0,9.0,Andy Dalton pass complete short right to Jonathan Mingo for 9 yards (tackle by Devon Witherspoon and Artie Burns),1.37,1.88,3.0,2023,43
2.0,5:25,3.0,5.0,SEA 42,3.0,9.0,"Penalty on Ikem Ekwonu: False Start, 5 yards (accepted) (no play)",1.88,1.22,3.0,2023,43
2.0,5:03,3.0,10.0,SEA 47,9.0,9.0,"Andy Dalton pass complete deep left to DJ Chark for 47 yards, touchdown",1.22,7.0,3.0,2023,43
2.0,4:54,,,SEA 15,10.0,9.0,Eddy Pineiro kicks extra point good,0.0,0.0,3.0,2023,43
2.0,4:54,,,CAR 35,10.0,9.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,43
2.0,4:54,1.0,10.0,SEA 25,10.0,9.0,Geno Smith pass incomplete deep left intended for Tyler Lockett,0.61,0.06,3.0,2023,43
2.0,4:47,2.0,10.0,SEA 25,10.0,9.0,"Geno Smith sacked by Yetur Gross-Matos for -6 yards. Penalty on Stone Forsythe: Offensive Holding, 10 yards (declined)",0.06,-1.51,3.0,2023,43
2.0,4:22,3.0,16.0,SEA 19,10.0,9.0,Geno Smith pass short middle intended for Jaxon Smith-Njigba is intercepted by Deion Jones at SEA-28 and returned for no gain (tackle by D.K. Metcalf),-1.51,-3.71,3.0,2023,43
2.0,4:16,1.0,10.0,SEA 28,10.0,9.0,"Penalty on Ikem Ekwonu: False Start, 5 yards (accepted) (no play)",3.71,3.38,3.0,2023,43
2.0,4:16,1.0,15.0,SEA 33,10.0,9.0,Andy Dalton pass complete short right to Adam Thielen for 2 yards (tackle by Julian Love),3.38,2.76,3.0,2023,43
2.0,3:34,2.0,13.0,SEA 31,10.0,9.0,Laviska Shenault left end for 5 yards (tackle by Bobby Wagner and Artie Burns),2.76,2.74,3.0,2023,43
2.0,2:50,3.0,8.0,SEA 26,10.0,9.0,Andy Dalton pass incomplete deep right intended for Adam Thielen (defended by Artie Burns),2.74,1.74,3.0,2023,43
2.0,2:44,4.0,8.0,SEA 26,13.0,9.0,Eddy Pineiro 44 yard field goal good,1.74,3.0,3.0,2023,43
2.0,2:39,,,CAR 35,13.0,9.0,"Eddy Pineiro kicks off 64 yards, returned by DeeJay Dallas for 26 yards (tackle by Ihmir Smith-Marsette and Chandler Wooten)",0.0,0.74,3.0,2023,43
2.0,2:35,1.0,10.0,SEA 27,13.0,9.0,Zach Charbonnet up the middle for 3 yards (tackle by Derrick Brown),0.74,0.6,3.0,2023,43
2.0,2:19,2.0,7.0,SEA 30,13.0,9.0,Geno Smith pass complete deep right to D.K. Metcalf for 19 yards (tackle by Vonn Bell),0.6,2.19,3.0,2023,43
2.0,2:00,1.0,10.0,SEA 49,13.0,9.0,Geno Smith pass incomplete short right intended for Zach Charbonnet,2.19,1.65,3.0,2023,43
2.0,1:56,2.0,10.0,SEA 49,13.0,9.0,Geno Smith pass complete short right to Tyler Lockett for 9 yards,1.65,2.15,3.0,2023,43
2.0,1:45,3.0,1.0,CAR 42,13.0,9.0,Zach Charbonnet up the middle for 1 yard (tackle by Justin Houston),2.15,2.85,3.0,2023,43
2.0,1:29,1.0,10.0,CAR 41,13.0,9.0,Geno Smith pass incomplete short right intended for Noah Fant,2.85,2.31,3.0,2023,43
2.0,1:28,2.0,10.0,CAR 41,13.0,9.0,Geno Smith pass complete short left to D.K. Metcalf for 22 yards (tackle by Vonn Bell and Jeremy Chinn),2.31,4.31,3.0,2023,43
2.0,1:07,1.0,10.0,CAR 19,13.0,9.0,Geno Smith pass incomplete deep right intended for Tyler Lockett,4.31,3.75,3.0,2023,43
2.0,1:02,2.0,10.0,CAR 19,13.0,9.0,Geno Smith pass incomplete short right intended for Jake Bobo,3.75,3.03,3.0,2023,43
2.0,0:55,3.0,10.0,CAR 19,13.0,9.0,Geno Smith pass incomplete deep right intended for Colby Parkinson,3.03,2.18,3.0,2023,43
2.0,0:48,4.0,10.0,CAR 19,13.0,12.0,Jason Myers 37 yard field goal good,2.18,3.0,3.0,2023,43
2.0,0:44,,,SEA 35,13.0,12.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,43
2.0,0:44,1.0,10.0,CAR 25,13.0,12.0,Andy Dalton pass complete short middle to Adam Thielen for 12 yards (tackle by Julian Love),0.61,1.4,3.0,2023,43
2.0,0:36,,,,,,Timeout #1 by Carolina Panthers,,,3.0,2023,43
2.0,0:36,1.0,10.0,CAR 37,13.0,12.0,Andy Dalton pass complete short middle to Miles Sanders for 14 yards (tackle by Artie Burns),1.4,2.32,3.0,2023,43
2.0,0:29,1.0,10.0,SEA 49,13.0,12.0,Andy Dalton right end for 1 yard (tackle by Uchenna Nwosu),2.32,1.92,3.0,2023,43
2.0,0:22,,,,,,Timeout #2 by Carolina Panthers,,,3.0,2023,43
2.0,0:22,2.0,9.0,SEA 48,13.0,12.0,Andy Dalton pass incomplete deep right intended for DJ Chark,1.92,1.22,3.0,2023,43
2.0,0:18,3.0,9.0,SEA 48,13.0,12.0,Andy Dalton pass incomplete short left intended for Adam Thielen,1.22,0.07,3.0,2023,43
2.0,0:14,4.0,9.0,SEA 48,13.0,12.0,Johnny Hekker punts 45 yards downed by Dicaprio Bootle,0.07,0.38,3.0,2023,43
2.0,0:01,1.0,10.0,SEA 3,13.0,12.0,Geno Smith kneels for -1 yards,-0.38,-0.85,3.0,2023,43
3.0,15:00,,,SEA 35,13.0,12.0,"Jason Myers kicks off 71 yards, returned by Laviska Shenault for 37 yards (tackle by Jerrick Reed and Brady Russell)",0.0,1.0,3.0,2023,43
3.0,14:54,1.0,10.0,CAR 31,13.0,12.0,Miles Sanders left tackle for 1 yard (tackle by Jarran Reed),1.0,0.6,3.0,2023,43
3.0,14:13,2.0,9.0,CAR 32,13.0,12.0,Andy Dalton pass incomplete short right intended for Hayden Hurst (defended by Julian Love),0.6,-0.1,3.0,2023,43
3.0,14:08,3.0,9.0,CAR 32,13.0,12.0,Andy Dalton pass incomplete short right intended for Terrace Marshall,-0.1,-1.24,3.0,2023,43
3.0,14:04,4.0,9.0,CAR 32,13.0,12.0,"Johnny Hekker punts 58 yards, returned by DeeJay Dallas for 14 yards (tackle by Chandler Wooten)",-1.24,-0.54,3.0,2023,43
3.0,13:53,1.0,10.0,SEA 24,13.0,12.0,"Geno Smith pass incomplete intended for Colby Parkinson. Penalty on Troy Hill: Illegal Contact, 5 yards (accepted) (no play)",0.54,0.87,3.0,2023,43
3.0,13:47,1.0,10.0,SEA 29,13.0,12.0,Kenneth Walker right guard for 1 yard (tackle by Deion Jones and Troy Hill),0.87,0.46,3.0,2023,43
3.0,13:24,2.0,9.0,SEA 30,13.0,12.0,Geno Smith pass complete short right to D.K. Metcalf for 6 yards (tackle by Kamu Grugier-Hill),0.46,0.56,3.0,2023,43
3.0,12:46,3.0,3.0,SEA 36,13.0,12.0,Geno Smith pass complete short left to Colby Parkinson for 7 yards (tackle by Jeremy Chinn),0.56,1.8,3.0,2023,43
3.0,12:14,1.0,10.0,SEA 43,13.0,12.0,Geno Smith pass complete short right to D.K. Metcalf for 11 yards (tackle by Troy Hill),1.8,2.52,3.0,2023,43
3.0,11:37,1.0,10.0,CAR 46,13.0,12.0,Geno Smith pass complete short left to Kenneth Walker for 18 yards (tackle by Donte Jackson),2.52,3.71,3.0,2023,43
3.0,10:49,1.0,10.0,CAR 28,13.0,12.0,DeeJay Dallas right end for 8 yards (tackle by Troy Hill),3.71,4.25,3.0,2023,43
3.0,10:31,2.0,2.0,CAR 20,13.0,12.0,DeeJay Dallas left guard for -1 yards (tackle by Brian Burns and Jeremy Chinn),4.25,3.4,3.0,2023,43
3.0,9:53,3.0,3.0,CAR 21,13.0,12.0,Geno Smith pass incomplete short left,3.4,2.16,3.0,2023,43
3.0,9:49,4.0,3.0,CAR 21,13.0,15.0,Jason Myers 39 yard field goal good,2.16,3.0,3.0,2023,43
3.0,9:45,,,SEA 35,13.0,15.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,43
3.0,9:45,1.0,10.0,CAR 25,13.0,15.0,Andy Dalton pass incomplete short right intended for Chuba Hubbard (defended by Derick Hall),0.61,0.06,3.0,2023,43
3.0,9:40,2.0,10.0,CAR 25,13.0,15.0,Andy Dalton pass complete short middle to Hayden Hurst for 11 yards (tackle by Julian Love),0.06,1.33,3.0,2023,43
3.0,9:09,1.0,10.0,CAR 36,13.0,15.0,"Andy Dalton pass complete deep left to DJ Chark for 28 yards (tackle by Michael Jackson) SEA challenged the pass completion ruling, and the play was upheld.",1.33,3.18,3.0,2023,43
3.0,9:03,1.0,10.0,SEA 36,13.0,15.0,Miles Sanders left end for -1 yards (tackle by Jordyn Brooks),3.18,2.5,3.0,2023,43
3.0,8:22,2.0,11.0,SEA 37,13.0,15.0,Andy Dalton pass incomplete short right intended for DJ Chark,2.5,1.82,3.0,2023,43
3.0,8:18,3.0,11.0,SEA 37,13.0,15.0,Andy Dalton pass incomplete short right intended for Miles Sanders,1.82,0.79,3.0,2023,43
3.0,8:14,4.0,11.0,SEA 37,13.0,15.0,Eddy Pineiro 55 yard field goal no good,0.79,-1.93,3.0,2023,43
3.0,8:09,1.0,10.0,SEA 45,13.0,15.0,Geno Smith pass complete short right to Colby Parkinson for 14 yards (tackle by Kamu Grugier-Hill),1.93,2.85,3.0,2023,43
3.0,7:36,1.0,10.0,CAR 41,13.0,15.0,"Kenneth Walker right end for 4 yards (tackle by Sam Franklin). Penalty on Colby Parkinson: Offensive Holding, 10 yards (declined) . Penalty on D.K. Metcalf: Illegal Blindside Block, 15 yards (accepted)",2.85,2.13,3.0,2023,43
3.0,7:07,1.0,21.0,SEA 48,13.0,15.0,Geno Smith pass complete deep left to Kenneth Walker for 36 yards (tackle by Donte Jackson),2.13,4.51,3.0,2023,43
3.0,6:39,1.0,10.0,CAR 16,13.0,15.0,Geno Smith pass incomplete (no play),4.51,4.17,3.0,2023,43
3.0,6:30,1.0,15.0,CAR 21,13.0,15.0,Kenneth Walker left guard for 5 yards (tackle by Jeremy Chinn and Deion Jones),4.17,3.9,3.0,2023,43
3.0,5:50,2.0,10.0,CAR 16,13.0,15.0,Geno Smith pass complete short left to Noah Fant for 12 yards (tackle by Vonn Bell and Kamu Grugier-Hill),3.9,6.28,3.0,2023,43
3.0,5:08,1.0,4.0,CAR 4,13.0,15.0,Kenneth Walker up the middle for 3 yards (tackle by Justin Houston and Shy Tuttle),6.28,5.91,3.0,2023,43
3.0,4:28,2.0,1.0,CAR 1,13.0,15.0,Kenneth Walker up the middle for no gain (tackle by Derrick Brown and Shy Tuttle),5.91,5.17,3.0,2023,43
3.0,3:58,3.0,1.0,CAR 1,13.0,21.0,"Kenneth Walker up the middle for 1 yard, touchdown",5.17,7.0,3.0,2023,43
3.0,3:52,,,CAR 15,13.0,22.0,Jason Myers kicks extra point good,0.0,0.0,3.0,2023,43
3.0,3:52,,,SEA 35,13.0,22.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,43
3.0,3:52,1.0,10.0,CAR 25,13.0,22.0,Chuba Hubbard left guard for 2 yards (tackle by Devin Bush and Julian Love),0.61,0.33,3.0,2023,43
3.0,3:30,2.0,8.0,CAR 27,13.0,22.0,Andy Dalton pass complete short right to Laviska Shenault for no gain (tackle by Devon Witherspoon),0.33,-0.36,3.0,2023,43
3.0,2:48,3.0,8.0,CAR 27,13.0,22.0,"Andy Dalton pass incomplete intended for DJ Chark. Penalty on Devon Witherspoon: Defensive Pass Interference, 12 yards (accepted) (no play)",-0.36,1.53,3.0,2023,43
3.0,2:44,1.0,10.0,CAR 39,13.0,22.0,Andy Dalton pass incomplete short right intended for Miles Sanders,1.53,0.99,3.0,2023,43
3.0,2:41,2.0,10.0,CAR 39,13.0,22.0,Andy Dalton pass complete short left to DJ Chark for 7 yards (tackle by Michael Jackson and Devin Bush),0.99,1.22,3.0,2023,43
3.0,1:59,3.0,3.0,CAR 46,13.0,22.0,Andy Dalton pass complete deep left to Adam Thielen for 23 yards (tackle by Artie Burns),1.22,3.51,3.0,2023,43
3.0,1:22,1.0,10.0,SEA 31,13.0,22.0,"Penalty on Ikem Ekwonu: False Start, 5 yards (accepted) (no play)",3.51,3.18,3.0,2023,43
3.0,1:07,1.0,15.0,SEA 36,13.0,22.0,"Penalty on Ikem Ekwonu: False Start, 5 yards (accepted) (no play)",3.18,2.85,3.0,2023,43
3.0,0:49,1.0,20.0,SEA 41,13.0,22.0,Andy Dalton pass incomplete short right intended for Miles Sanders,2.85,1.62,3.0,2023,43
3.0,0:46,2.0,20.0,SEA 41,13.0,22.0,Andy Dalton pass complete deep right to Tommy Tremble for 15 yards (tackle by Quandre Diggs),1.62,2.94,3.0,2023,43
3.0,0:06,3.0,5.0,SEA 26,13.0,22.0,Andy Dalton pass complete short right to Adam Thielen for 25 yards (tackle by Quandre Diggs),2.94,6.97,3.0,2023,43
4.0,15:00,1.0,1.0,SEA 1,19.0,22.0,"Miles Sanders left guard for 1 yard, touchdown",6.97,7.0,3.0,2023,43
4.0,14:55,,,SEA 15,20.0,22.0,Eddy Pineiro kicks extra point good,0.0,0.0,3.0,2023,43
4.0,14:55,,,CAR 35,20.0,22.0,"Eddy Pineiro kicks off 63 yards, returned by DeeJay Dallas for 29 yards (tackle by Dicaprio Bootle and D'Shawn Jamison)",0.0,1.0,3.0,2023,43
4.0,14:47,1.0,10.0,SEA 31,20.0,22.0,Geno Smith pass complete short right to Colby Parkinson for 17 yards (tackle by Kamu Grugier-Hill),1.0,2.13,3.0,2023,43
4.0,14:07,1.0,10.0,SEA 48,20.0,22.0,Geno Smith pass complete short left to Noah Fant for 13 yards (tackle by Kamu Grugier-Hill and Sam Franklin),2.13,2.98,3.0,2023,43
4.0,13:27,1.0,10.0,CAR 39,20.0,22.0,Zach Charbonnet right end for 4 yards (tackle by Yetur Gross-Matos),2.98,2.98,3.0,2023,43
4.0,12:52,2.0,6.0,CAR 35,20.0,22.0,Zach Charbonnet right guard for 11 yards (tackle by Kamu Grugier-Hill and Brian Burns),2.98,3.97,3.0,2023,43
4.0,12:12,1.0,10.0,CAR 24,20.0,22.0,"Zach Charbonnet up the middle for 10 yards (tackle by Deion Jones and Sam Franklin). Penalty on Deion Jones: Unnecessary Roughness / Defense, 7 yards (accepted)",3.97,5.6,3.0,2023,43
4.0,11:45,1.0,7.0,CAR 7,20.0,28.0,"Kenneth Walker right end for 7 yards, touchdown",5.6,7.0,3.0,2023,43
4.0,11:40,,,CAR 15,20.0,29.0,Jason Myers kicks extra point good,0.0,0.0,3.0,2023,43
4.0,11:40,,,SEA 35,20.0,29.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,43
4.0,11:40,1.0,10.0,CAR 25,20.0,29.0,Andy Dalton pass incomplete deep left intended for DJ Chark,0.61,0.06,3.0,2023,43
4.0,11:34,2.0,10.0,CAR 25,20.0,29.0,Andy Dalton pass incomplete short left,0.06,-0.62,3.0,2023,43
4.0,11:28,3.0,10.0,CAR 25,20.0,29.0,Andy Dalton pass complete short right to Adam Thielen for 12 yards (tackle by Bobby Wagner),-0.62,1.4,3.0,2023,43
4.0,10:58,1.0,10.0,CAR 37,20.0,29.0,Andy Dalton pass complete short left to Terrace Marshall for 7 yards (tackle by Michael Jackson),1.4,1.8,3.0,2023,43
4.0,10:26,2.0,3.0,CAR 44,20.0,29.0,Andy Dalton pass complete short right to Chuba Hubbard for 1 yard (tackle by Bobby Wagner and Jordyn Brooks),1.8,1.22,3.0,2023,43
4.0,9:45,3.0,2.0,CAR 45,20.0,29.0,Andy Dalton scrambles right guard for 10 yards (tackle by Devon Witherspoon),1.22,2.59,3.0,2023,43
4.0,9:04,1.0,10.0,SEA 45,20.0,29.0,Andy Dalton pass incomplete deep right intended for DJ Chark,2.59,2.04,3.0,2023,43
4.0,8:55,2.0,10.0,SEA 45,20.0,29.0,Andy Dalton pass complete short right to Miles Sanders for 6 yards (tackle by Devon Witherspoon),2.04,2.15,3.0,2023,43
4.0,8:16,3.0,4.0,SEA 39,20.0,29.0,"Penalty on Taylor Moton: False Start, 5 yards (accepted) (no play)",2.15,1.49,3.0,2023,43
4.0,8:16,3.0,9.0,SEA 44,20.0,29.0,"Penalty on Chandler Zavala: False Start, 5 yards (accepted) (no play)",1.49,0.83,3.0,2023,43
4.0,8:16,3.0,14.0,SEA 49,20.0,29.0,Andy Dalton pass incomplete short left intended for Adam Thielen,0.83,0.0,3.0,2023,43
4.0,8:13,4.0,14.0,SEA 49,20.0,29.0,"Penalty on Chandler Wooten: False Start, 5 yards (accepted) (no play)",0.0,-0.32,3.0,2023,43
4.0,8:13,4.0,19.0,CAR 46,20.0,29.0,"Johnny Hekker punts 49 yards, returned by DeeJay Dallas for 14 yards (tackle by Tommy Tremble)",-0.32,-0.15,3.0,2023,43
4.0,8:02,1.0,10.0,SEA 19,20.0,29.0,Kenneth Walker right tackle for 3 yards (tackle by DeShawn Williams),0.15,0.07,3.0,2023,43
