Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA,week,year,game_id
2.0,12:05,1.0,10.0,CLE 49,3.0,3.0,"Deshaun Watson sacked by Denico Autry for -16 yards. Deshaun Watson fumbles (forced by Denico Autry), recovered by Elijah Moore at CLE-32 and returned for 1 yard (tackle by Elijah Molden)",2.19,-0.51,3.0,2023,36
2.0,11:09,2.0,26.0,CLE 33,3.0,3.0,"Deshaun Watson pass incomplete short left intended for Amari Cooper. Penalty on Kristian Fulton: Defensive Pass Interference, 37 yards (accepted) . Penalty on Arden Key: Roughing the Passer, 15 yards (declined) (no play)",-0.51,3.58,3.0,2023,36
2.0,11:09,1.0,10.0,TEN 30,3.0,3.0,Deshaun Watson pass incomplete deep left,3.58,3.03,3.0,2023,36
2.0,11:05,2.0,10.0,TEN 30,3.0,3.0,Deshaun Watson pass complete short middle to Elijah Moore for 9 yards (tackle by Amani Hooker),3.03,3.53,3.0,2023,36
2.0,10:28,3.0,1.0,TEN 21,3.0,3.0,Harrison Bryant right guard for 2 yards (tackle by Teair Tart),3.53,4.31,3.0,2023,36
2.0,9:44,1.0,10.0,TEN 19,3.0,9.0,"Deshaun Watson pass complete deep left to Jerome Ford for 19 yards, touchdown",4.31,7.0,3.0,2023,36
2.0,9:39,,,TEN 15,3.0,10.0,Dustin Hopkins kicks extra point good,0.0,0.0,3.0,2023,36
2.0,9:39,,,CLE 35,3.0,10.0,"Dustin Hopkins kicks off 66 yards, returned by Tyjae Spears for 21 yards (tackle by Jeremiah Owusu-Koramoah and Mohamoud Diabate)",0.0,0.28,3.0,2023,36
2.0,9:35,1.0,10.0,TEN 20,3.0,10.0,Ryan Tannehill pass incomplete short left,0.28,-0.27,3.0,2023,36
2.0,9:29,2.0,10.0,TEN 20,3.0,10.0,Ryan Tannehill pass complete short right to DeAndre Hopkins for 17 yards (tackle by Anthony Walker),-0.27,1.4,3.0,2023,36
2.0,8:47,1.0,10.0,TEN 37,3.0,10.0,Tyjae Spears left guard for 5 yards (tackle by Rodney McLeod),1.4,1.53,3.0,2023,36
2.0,8:07,2.0,5.0,TEN 42,3.0,10.0,Ryan Tannehill pass complete short right to Chigoziem Okonkwo for 3 yards (tackle by Grant Delpit),1.53,1.22,3.0,2023,36
2.0,7:34,3.0,2.0,TEN 45,3.0,10.0,"Ryan Tannehill pass complete short left to Treylon Burks for no gain (tackle by Grant Delpit). Penalty on Andre Dillard: Offensive Holding, 10 yards (accepted) (no play)",1.22,-0.1,3.0,2023,36
2.0,7:11,3.0,12.0,TEN 35,3.0,10.0,"Penalty on Andre Dillard: False Start, 5 yards (accepted) (no play)",-0.1,-0.76,3.0,2023,36
2.0,6:40,3.0,17.0,TEN 30,3.0,10.0,"Penalty on Myles Garrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.76,-0.1,3.0,2023,36
2.0,6:19,3.0,12.0,TEN 35,3.0,10.0,"Ryan Tannehill pass incomplete short left intended for Treylon Burks. Penalty on Martin Emerson: Defensive Pass Interference, 26 yards (accepted) (no play)",-0.1,2.98,3.0,2023,36
2.0,6:14,1.0,10.0,CLE 39,3.0,10.0,Derrick Henry left tackle for -3 yards (tackle by Jeremiah Owusu-Koramoah),2.98,2.04,3.0,2023,36
2.0,5:39,2.0,13.0,CLE 42,3.0,10.0,"Penalty on Jordan Elliott: Encroachment, 5 yards (accepted) (no play)",2.04,2.71,3.0,2023,36
2.0,5:17,2.0,8.0,CLE 37,3.0,10.0,Derrick Henry right guard for -3 yards (tackle by Maurice Hurst),2.71,1.62,3.0,2023,36
2.0,4:33,3.0,11.0,CLE 40,3.0,10.0,Ryan Tannehill sacked by and Ogbonnia Okoronkwo for -8 yards and Myles Garrett for -8 yards,1.62,0.07,3.0,2023,36
2.0,3:57,4.0,19.0,CLE 48,3.0,10.0,"Ryan Stonehouse punts 48 yards, touchback.",0.07,-0.28,3.0,2023,36
2.0,3:49,1.0,10.0,CLE 20,3.0,10.0,Deshaun Watson pass complete short left to Jerome Ford for 14 yards (tackle by Amani Hooker),0.28,1.2,3.0,2023,36
2.0,3:17,1.0,10.0,CLE 34,3.0,10.0,Jerome Ford left tackle for 1 yard (tackle by Amani Hooker and Arden Key),1.2,0.79,3.0,2023,36
2.0,2:41,2.0,9.0,CLE 35,3.0,10.0,Deshaun Watson pass complete deep left to Amari Cooper for 25 yards (tackle by Kristian Fulton),0.79,2.92,3.0,2023,36
2.0,2:04,,,,,,Timeout #1 by Cleveland Browns,,,3.0,2023,36
2.0,2:04,1.0,10.0,TEN 40,3.0,10.0,Deshaun Watson pass incomplete deep right intended for Amari Cooper,2.92,2.37,3.0,2023,36
2.0,1:58,2.0,10.0,TEN 40,3.0,10.0,Jerome Ford left guard for 2 yards (tackle by Amani Hooker),2.37,1.95,3.0,2023,36
2.0,1:19,3.0,8.0,TEN 38,3.0,10.0,Deshaun Watson pass complete short right to David Njoku for 4 yards (tackle by Roger McCreary),1.95,1.08,3.0,2023,36
2.0,1:05,,,,,,Timeout #1 by Tennessee Titans,,,3.0,2023,36
2.0,1:05,4.0,4.0,TEN 34,3.0,13.0,Dustin Hopkins 52 yard field goal good,1.08,3.0,3.0,2023,36
2.0,1:00,,,CLE 35,3.0,13.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,36
2.0,1:00,1.0,10.0,TEN 25,3.0,13.0,"Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins (defended by Martin Emerson) Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",0.61,0.06,3.0,2023,36
2.0,0:55,2.0,10.0,TEN 25,3.0,13.0,Ryan Tannehill pass incomplete deep right intended for Treylon Burks (defended by Denzel Ward),0.06,-0.62,3.0,2023,36
2.0,0:50,3.0,10.0,TEN 25,3.0,13.0,Ryan Tannehill pass complete deep left to DeAndre Hopkins for 26 yards,-0.62,2.32,3.0,2023,36
2.0,0:45,1.0,10.0,CLE 49,3.0,13.0,Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins,2.32,1.78,3.0,2023,36
2.0,0:40,2.0,10.0,CLE 49,3.0,13.0,Ryan Tannehill pass complete short left to Tyjae Spears for 5 yards (tackle by Martin Emerson),1.78,1.75,3.0,2023,36
2.0,0:34,3.0,5.0,CLE 44,3.0,13.0,Ryan Tannehill pass complete short left to Tyjae Spears for no gain (tackle by Jeremiah Owusu-Koramoah),1.75,0.33,3.0,2023,36
2.0,0:29,4.0,5.0,CLE 44,3.0,13.0,Ryan Tannehill pass complete deep right to Chris Moore for 33 yards (tackle by Cameron Mitchell),0.33,4.84,3.0,2023,36
2.0,0:22,,,,,,Timeout #2 by Tennessee Titans,,,3.0,2023,36
2.0,0:22,1.0,10.0,CLE 11,3.0,13.0,Ryan Tannehill pass incomplete short right intended for DeAndre Hopkins (defended by Anthony Walker),4.84,4.14,3.0,2023,36
2.0,0:19,2.0,10.0,CLE 11,3.0,13.0,Ryan Tannehill pass complete short left to Tyjae Spears for no gain (tackle by Juan Thornhill),4.14,3.13,3.0,2023,36
2.0,0:13,,,,,,Timeout #3 by Tennessee Titans,,,3.0,2023,36
2.0,0:13,,,,,,Timeout #2 by Cleveland Browns,,,3.0,2023,36
2.0,0:13,3.0,10.0,CLE 11,3.0,13.0,Ryan Tannehill sacked by Myles Garrett for -9 yards,3.13,2.12,3.0,2023,36
3.0,15:00,,,CLE 35,3.0,13.0,"Dustin Hopkins kicks off 64 yards,",0.0,0.61,3.0,2023,36
3.0,15:00,1.0,10.0,TEN 25,3.0,13.0,Derrick Henry right guard for 9 yards (tackle by Juan Thornhill),0.61,1.28,3.0,2023,36
3.0,14:22,2.0,1.0,TEN 34,3.0,13.0,Tyjae Spears left guard for -1 yards (tackle by Martin Emerson and Jeremiah Owusu-Koramoah),1.28,0.43,3.0,2023,36
3.0,13:43,3.0,2.0,TEN 33,3.0,13.0,Ryan Tannehill pass complete short left to DeAndre Hopkins for 5 yards (tackle by Jeremiah Owusu-Koramoah),0.43,1.47,3.0,2023,36
3.0,13:09,1.0,10.0,TEN 38,3.0,13.0,Derrick Henry left guard for 1 yard (tackle by Jeremiah Owusu-Koramoah and Za'Darius Smith),1.47,1.06,3.0,2023,36
3.0,12:30,2.0,9.0,TEN 39,3.0,13.0,Derrick Henry left guard for 1 yard (tackle by Anthony Walker and Dalvin Tomlinson),1.06,0.5,3.0,2023,36
3.0,12:04,3.0,8.0,TEN 40,3.0,13.0,"Penalty on TEN: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",0.5,-0.16,3.0,2023,36
3.0,11:42,3.0,13.0,TEN 35,3.0,13.0,Ryan Tannehill pass incomplete deep right intended for Treylon Burks,-0.16,-1.04,3.0,2023,36
3.0,11:34,4.0,13.0,TEN 35,3.0,13.0,"Ryan Stonehouse punts 48 yards, returned by Donovan Peoples-Jones for -2 yards (tackle by Chance Campbell and Luke Gifford)",-1.04,0.22,3.0,2023,36
3.0,11:23,1.0,10.0,CLE 15,3.0,13.0,Jerome Ford left tackle for 9 yards (tackle by Amani Hooker),-0.22,0.62,3.0,2023,36
3.0,10:45,2.0,1.0,CLE 24,3.0,13.0,"Deshaun Watson pass complete deep right to Donovan Peoples-Jones for 29 yards (tackle by Roger McCreary) Penalty on TEN: Illegal Use of Hands / Defense, 5 yards (declined)",0.62,2.46,3.0,2023,36
3.0,10:20,1.0,10.0,TEN 47,3.0,13.0,Deshaun Watson pass incomplete short left intended for Kareem Hunt,2.46,1.91,3.0,2023,36
3.0,10:17,2.0,10.0,TEN 47,3.0,13.0,Jerome Ford right tackle for 8 yards (tackle by Jack Gibbens),1.91,2.28,3.0,2023,36
3.0,9:40,3.0,2.0,TEN 39,3.0,13.0,Jerome Ford right guard for no gain (tackle by Azeez Al-Shaair and Harold Landry),2.28,0.66,3.0,2023,36
3.0,9:02,4.0,2.0,TEN 39,3.0,13.0,"Deshaun Watson pass incomplete intended for Amari Cooper. Penalty on Sean Murphy-Bunting: Defensive Holding, 5 yards (accepted) (no play)",0.66,3.31,3.0,2023,36
3.0,8:56,1.0,10.0,TEN 34,3.0,13.0,Elijah Moore left end for -4 yards (tackle by Kristian Fulton),3.31,2.23,3.0,2023,36
3.0,8:20,2.0,14.0,TEN 38,3.0,13.0,Deshaun Watson pass complete short left to Amari Cooper for 9 yards (tackle by Kristian Fulton and Azeez Al-Shaair),2.23,2.74,3.0,2023,36
3.0,7:41,3.0,5.0,TEN 29,3.0,13.0,Deshaun Watson pass complete short middle to Donovan Peoples-Jones for 12 yards (tackle by Amani Hooker and Kevin Byard),2.74,4.44,3.0,2023,36
3.0,7:01,1.0,10.0,TEN 17,3.0,13.0,Deshaun Watson scrambles right end for 4 yards (tackle by Teair Tart),4.44,4.5,3.0,2023,36
3.0,6:41,2.0,6.0,TEN 13,3.0,13.0,Deshaun Watson right guard for 10 yards (tackle by Jack Gibbens and Roger McCreary),4.5,6.51,3.0,2023,36
3.0,5:53,1.0,3.0,TEN 3,3.0,19.0,"Jerome Ford left tackle for 3 yards, touchdown",6.51,7.0,3.0,2023,36
3.0,5:49,,,TEN 15,3.0,20.0,Dustin Hopkins kicks extra point good,0.0,0.0,3.0,2023,36
3.0,5:49,,,CLE 35,3.0,20.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,36
3.0,5:49,1.0,10.0,TEN 25,3.0,20.0,Ryan Tannehill pass incomplete deep left intended for Treylon Burks,0.61,0.06,3.0,2023,36
3.0,5:44,2.0,10.0,TEN 25,3.0,20.0,Derrick Henry right tackle for 2 yards (tackle by Denzel Ward and Alex Wright),0.06,-0.36,3.0,2023,36
3.0,5:00,3.0,8.0,TEN 27,3.0,20.0,Ryan Tannehill pass incomplete short right intended for Chigoziem Okonkwo,-0.36,-1.57,3.0,2023,36
3.0,4:56,4.0,8.0,TEN 27,3.0,20.0,Ryan Stonehouse punts 54 yards out of bounds,-1.57,-0.15,3.0,2023,36
3.0,4:47,1.0,10.0,CLE 19,3.0,20.0,Deshaun Watson sacked by Roger McCreary for -8 yards,0.15,-1.36,3.0,2023,36
3.0,4:08,2.0,18.0,CLE 11,3.0,20.0,Deshaun Watson pass complete short middle to Kareem Hunt for 9 yards (tackle by Roger McCreary and Azeez Al-Shaair),-1.36,-0.94,3.0,2023,36
3.0,3:34,3.0,9.0,CLE 20,3.0,20.0,Deshaun Watson pass complete short middle to Kareem Hunt for 13 yards (tackle by Rashad Weaver and Roger McCreary),-0.94,1.14,3.0,2023,36
3.0,2:49,1.0,10.0,CLE 33,3.0,20.0,Jerome Ford left tackle for -2 yards (tackle by Denico Autry and Jaleel Johnson),1.14,0.32,3.0,2023,36
3.0,2:08,2.0,12.0,CLE 31,3.0,20.0,Deshaun Watson pass complete short left to Amari Cooper for 14 yards (tackle by Kristian Fulton),0.32,1.93,3.0,2023,36
3.0,1:38,1.0,10.0,CLE 45,3.0,20.0,Deshaun Watson pass complete short left to Elijah Moore for 5 yards (tackle by Kristian Fulton),1.93,2.06,3.0,2023,36
3.0,1:08,2.0,5.0,CLE 50,3.0,20.0,Deshaun Watson pass complete short right to Elijah Moore for 2 yards (tackle by Kevin Byard),2.06,1.62,3.0,2023,36
3.0,0:22,3.0,3.0,TEN 48,3.0,20.0,Deshaun Watson pass incomplete short right intended for Donovan Peoples-Jones,1.62,0.07,3.0,2023,36
3.0,0:19,4.0,3.0,TEN 48,3.0,20.0,"Corey Bojorquez punts 38 yards, fair catch by Mason Kinsey at TEN-10",0.07,0.38,3.0,2023,36
3.0,0:11,1.0,10.0,TEN 10,3.0,20.0,Derrick Henry left guard for 8 yards (tackle by Sione Takitaki),-0.38,0.07,3.0,2023,36
4.0,15:00,2.0,2.0,TEN 18,3.0,20.0,Ryan Tannehill sacked by Alex Wright for -10 yards,0.07,-1.65,3.0,2023,36
4.0,14:14,,,,,,Timeout #1 by Tennessee Titans,,,3.0,2023,36
4.0,14:14,3.0,12.0,TEN 8,3.0,20.0,Ryan Tannehill sacked by Myles Garrett for -5 yards,-1.65,-2.49,3.0,2023,36
4.0,13:33,4.0,17.0,TEN 3,3.0,20.0,"Ryan Stonehouse punts 74 yards, recovered by Donovan Peoples-Jones at CLE-23 (tackle by Jack Gibbens)",-2.49,-1.33,3.0,2023,36
4.0,13:19,1.0,10.0,CLE 36,3.0,20.0,Kareem Hunt left guard for 4 yards (tackle by Rashad Weaver and Azeez Al-Shaair),1.33,1.33,3.0,2023,36
4.0,12:43,2.0,6.0,CLE 40,3.0,20.0,Kareem Hunt left guard for 5 yards (tackle by Jack Gibbens),1.33,1.29,3.0,2023,36
4.0,11:59,3.0,1.0,CLE 45,3.0,20.0,Harrison Bryant right guard for 2 yards (tackle by Harold Landry and Azeez Al-Shaair),1.29,2.06,3.0,2023,36
4.0,11:18,1.0,10.0,CLE 47,3.0,20.0,Kareem Hunt left tackle for -1 yards (tackle by Azeez Al-Shaair and Amani Hooker),2.06,1.52,3.0,2023,36
4.0,10:37,2.0,9.0,CLE 46,3.0,20.0,"Deshaun Watson pass incomplete short left intended for Amari Cooper. Penalty on Kristian Fulton: Defensive Holding, 5 yards (accepted) (no play)",1.52,2.32,3.0,2023,36
4.0,10:31,1.0,10.0,TEN 49,3.0,20.0,Jerome Ford right end for 2 yards (tackle by Sean Murphy-Bunting),2.32,2.05,3.0,2023,36
4.0,9:39,2.0,8.0,TEN 47,3.0,20.0,Deshaun Watson pass complete short left to Elijah Moore for no gain (tackle by Kristian Fulton),2.05,1.36,3.0,2023,36
4.0,9:33,3.0,8.0,TEN 47,3.0,20.0,Deshaun Watson pass complete short left to David Njoku for 7 yards (tackle by Elijah Molden and Amani Hooker),1.36,0.59,3.0,2023,36
4.0,8:23,4.0,1.0,TEN 40,3.0,20.0,Deshaun Watson right guard for 2 yards (tackle by Arden Key),0.59,3.05,3.0,2023,36
4.0,7:38,1.0,10.0,TEN 38,3.0,20.0,Jerome Ford left guard for -5 yards (tackle by Teair Tart),3.05,1.83,3.0,2023,36
4.0,6:58,2.0,15.0,TEN 43,3.0,26.0,"Deshaun Watson pass complete deep left to Amari Cooper for 43 yards, touchdown",1.83,7.0,3.0,2023,36
4.0,6:51,,,TEN 15,3.0,27.0,Dustin Hopkins kicks extra point good,0.0,0.0,3.0,2023,36
4.0,6:51,,,CLE 35,3.0,27.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,36
4.0,6:51,1.0,10.0,TEN 25,3.0,27.0,Derrick Henry right guard for 5 yards (tackle by Maurice Hurst and Anthony Walker),0.61,0.74,3.0,2023,36
4.0,6:16,2.0,5.0,TEN 30,3.0,27.0,Ryan Tannehill pass complete short left to Chris Moore for 8 yards (tackle by Denzel Ward),0.74,1.47,3.0,2023,36
4.0,5:47,1.0,10.0,TEN 38,3.0,27.0,Derrick Henry for 1 yard (tackle by Za'Darius Smith and Anthony Walker),1.47,1.06,3.0,2023,36
4.0,5:06,2.0,9.0,TEN 39,3.0,27.0,Ryan Tannehill pass incomplete short left intended for Chris Moore,1.06,0.37,3.0,2023,36
4.0,5:02,3.0,9.0,TEN 39,3.0,27.0,"Penalty on Za'Darius Smith: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.37,1.02,3.0,2023,36
4.0,5:02,3.0,4.0,TEN 44,3.0,27.0,Ryan Tannehill pass incomplete deep right intended for Treylon Burks (defended by Denzel Ward),1.02,-0.46,3.0,2023,36
4.0,4:58,4.0,4.0,TEN 44,3.0,27.0,"Ryan Stonehouse punts 56 yards, touchback.",-0.46,-0.28,3.0,2023,36
4.0,4:49,1.0,10.0,CLE 20,3.0,27.0,Pierre Strong right guard for 9 yards (tackle by Chance Campbell),0.28,0.95,3.0,2023,36
4.0,4:05,2.0,1.0,CLE 29,3.0,27.0,Pierre Strong right tackle for 4 yards (tackle by Naquan Jones and Jack Gibbens),0.95,1.14,3.0,2023,36
4.0,3:21,1.0,10.0,CLE 33,3.0,27.0,Pierre Strong left guard for 3 yards (tackle by Jaleel Johnson),1.14,1.0,3.0,2023,36
4.0,2:42,2.0,7.0,CLE 36,3.0,27.0,Pierre Strong left tackle for 6 yards (tackle by Elijah Molden and Matthew Jackson),1.0,1.09,3.0,2023,36
4.0,2:00,3.0,1.0,CLE 42,3.0,27.0,Pierre Strong left tackle for no gain (tackle by Kyle Peko and Chance Campbell),1.09,-0.59,3.0,2023,36
4.0,1:13,4.0,1.0,CLE 42,3.0,27.0,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",-0.59,-0.91,3.0,2023,36
4.0,1:13,4.0,6.0,CLE 37,3.0,27.0,"Corey Bojorquez punts 53 yards out of bounds. Penalty on Monty Rice: Offensive Holding, 5 yards (accepted)",-0.91,0.38,3.0,2023,36
4.0,1:06,1.0,10.0,TEN 5,3.0,27.0,Tyjae Spears right guard for 1 yard (tackle by Alex Wright),-0.38,-0.71,3.0,2023,36
4.0,0:32,2.0,9.0,TEN 6,3.0,27.0,Tyjae Spears right guard for 1 yard (tackle by Alex Wright and Shelby Harris),-0.71,-1.19,3.0,2023,36
