Quarter,Time,Down,ToGo,Location,CHI,KAN,Detail,EPB,EPA,week,year,game_id
1.0,8:16,1.0,10.0,CHI 14,0.0,0.0,Patrick Mahomes scrambles right end for 11 yards (tackle by T.J. Edwards),4.65,6.51,3.0,2023,44
1.0,7:37,1.0,3.0,CHI 3,0.0,0.0,"Isiah Pacheco right end for 1 yard (tackle by Tyrique Stevenson). Penalty on Tyrique Stevenson: Unnecessary Roughness / Defense, 1 yard (accepted)",6.51,6.97,3.0,2023,44
1.0,7:21,1.0,1.0,CHI 1,0.0,0.0,"Penalty on Travis Kelce: False Start, 5 yards (accepted) (no play)",6.97,5.83,3.0,2023,44
1.0,7:01,1.0,6.0,CHI 6,0.0,0.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,5.83,4.95,3.0,2023,44
1.0,6:55,2.0,6.0,CHI 6,0.0,6.0,"Patrick Mahomes pass complete short middle to Jerick McKinnon for 6 yards, touchdown",4.95,7.0,3.0,2023,44
1.0,6:51,,,CHI 15,0.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,3.0,2023,44
1.0,6:51,,,KAN 35,0.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,44
1.0,6:51,1.0,10.0,CHI 25,0.0,7.0,Khalil Herbert right guard for 7 yards (tackle by Bryan Cook),0.61,1.01,3.0,2023,44
1.0,6:17,2.0,3.0,CHI 32,0.0,7.0,Justin Fields pass incomplete deep left intended for D.J. Moore,1.01,0.3,3.0,2023,44
1.0,6:12,3.0,3.0,CHI 32,0.0,7.0,Khalil Herbert right tackle for 11 yards (tackle by Jack Cochrane and Justin Reid),0.3,1.8,3.0,2023,44
1.0,5:26,1.0,10.0,CHI 43,0.0,7.0,Justin Fields scrambles right end for 17 yards (tackle by Drue Tranquill),1.8,2.92,3.0,2023,44
1.0,4:36,1.0,10.0,KAN 40,0.0,7.0,Khalil Herbert up the middle for 3 yards (tackle by Derrick Nnadi),2.92,2.78,3.0,2023,44
1.0,3:57,2.0,7.0,KAN 37,0.0,7.0,Khalil Herbert right end for 1 yard (tackle by Trent McDuffie),2.78,2.21,3.0,2023,44
1.0,3:18,3.0,6.0,KAN 36,0.0,7.0,Justin Fields sacked by Chris Jones for -8 yards,2.21,0.33,3.0,2023,44
1.0,2:39,4.0,14.0,KAN 44,0.0,7.0,"Trenton Gill punts 44 yards, touchback.",0.33,-0.28,3.0,2023,44
1.0,2:31,1.0,10.0,KAN 20,0.0,7.0,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 2 yards (tackle by Tyrique Stevenson and T.J. Edwards),0.28,0.0,3.0,2023,44
1.0,1:51,2.0,8.0,KAN 22,0.0,7.0,Clyde Edwards-Helaire left end for 9 yards (tackle by Jaquan Brisker and T.J. Edwards),0.0,1.0,3.0,2023,44
1.0,1:17,1.0,10.0,KAN 31,0.0,7.0,Clyde Edwards-Helaire right end for 2 yards (tackle by T.J. Edwards and Josh Blackwell),1.0,0.73,3.0,2023,44
1.0,0:42,2.0,8.0,KAN 33,0.0,7.0,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Jaquan Brisker),0.73,0.83,3.0,2023,44
2.0,15:00,3.0,2.0,KAN 39,0.0,7.0,Patrick Mahomes pass complete short left to Travis Kelce for 15 yards (tackle by Terell Smith),0.83,2.52,3.0,2023,44
2.0,14:19,1.0,10.0,CHI 46,0.0,7.0,Isiah Pacheco left end for 18 yards (tackle by Elijah Hicks),2.52,3.71,3.0,2023,44
2.0,13:43,1.0,10.0,CHI 28,0.0,7.0,Patrick Mahomes scrambles right end for 2 yards (tackle by Gervon Dexter),3.71,3.44,3.0,2023,44
2.0,13:02,2.0,8.0,CHI 26,0.0,7.0,Clyde Edwards-Helaire left end for 1 yard (tackle by Gervon Dexter),3.44,2.87,3.0,2023,44
2.0,12:25,3.0,7.0,CHI 25,0.0,7.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 10 yards (tackle by Tremaine Edmunds and Elijah Hicks),2.87,4.58,3.0,2023,44
2.0,11:55,1.0,10.0,CHI 15,0.0,7.0,"Patrick Mahomes pass complete short middle to Rashee Rice for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Patrick Mahomes pass complete short middle to Rashee Rice for 14 yards (tackle by Josh Blackwell and Quindell Johnson)",4.58,6.97,3.0,2023,44
2.0,11:42,1.0,1.0,CHI 1,0.0,13.0,"Clyde Edwards-Helaire right tackle for 1 yard, touchdown",6.97,7.0,3.0,2023,44
2.0,11:34,,,CHI 15,0.0,14.0,Harrison Butker kicks extra point good,0.0,0.0,3.0,2023,44
2.0,11:34,,,KAN 35,0.0,14.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,44
2.0,11:34,1.0,10.0,CHI 25,0.0,14.0,Justin Fields right end for 5 yards (tackle by George Karlaftis),0.61,0.74,3.0,2023,44
2.0,10:53,2.0,5.0,CHI 30,0.0,14.0,Justin Fields pass complete short left to Cole Kmet for 14 yards (tackle by Bryan Cook),0.74,1.86,3.0,2023,44
2.0,10:08,1.0,10.0,CHI 44,0.0,14.0,Roschon Johnson up the middle for 3 yards (tackle by Leo Chenal and Derrick Nnadi),1.86,1.72,3.0,2023,44
2.0,9:26,2.0,7.0,CHI 47,0.0,14.0,Roschon Johnson right end for no gain (tackle by Willie Gay),1.72,1.03,3.0,2023,44
2.0,8:48,3.0,7.0,CHI 47,0.0,14.0,"Justin Fields pass incomplete short right. Penalty on Roschon Johnson: Offensive Holding, 10 yards (declined)",1.03,-0.26,3.0,2023,44
2.0,8:41,4.0,7.0,CHI 47,0.0,14.0,"Trenton Gill punts 43 yards, returned by Montrell Washington for 2 yards (tackle by Jaylon Jones)",-0.26,0.35,3.0,2023,44
2.0,8:29,1.0,10.0,KAN 12,0.0,14.0,Patrick Mahomes pass complete short left to Skyy Moore for 4 yards (tackle by Tremaine Edmunds),-0.35,-0.37,3.0,2023,44
2.0,7:52,2.0,6.0,KAN 16,0.0,14.0,Patrick Mahomes pass complete deep right to Justin Watson for 37 yards (tackle by Terell Smith),-0.37,2.46,3.0,2023,44
2.0,7:11,,,,,,Timeout #1 by Kansas City Chiefs,,,3.0,2023,44
2.0,7:11,1.0,10.0,CHI 47,0.0,14.0,Patrick Mahomes pass complete short left to Noah Gray for 9 yards (tackle by Jaylon Johnson),2.46,3.13,3.0,2023,44
2.0,6:33,2.0,1.0,CHI 38,0.0,14.0,Isiah Pacheco right end for 5 yards (tackle by Justin Jones),3.13,3.38,3.0,2023,44
2.0,5:54,1.0,10.0,CHI 33,0.0,14.0,Isiah Pacheco up the middle for 4 yards (tackle by Tremaine Edmunds and Andrew Billings),3.38,3.38,3.0,2023,44
2.0,5:14,2.0,6.0,CHI 29,0.0,14.0,Isiah Pacheco right tackle for 13 yards (tackle by Dominique Robinson and Terell Smith),3.38,4.51,3.0,2023,44
2.0,4:32,1.0,10.0,CHI 16,0.0,14.0,Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling,4.51,3.9,3.0,2023,44
2.0,4:27,2.0,10.0,CHI 16,0.0,14.0,Patrick Mahomes pass complete short right to Isiah Pacheco for 9 yards (tackle by Zacch Pickens and Tremaine Edmunds),3.9,4.85,3.0,2023,44
2.0,3:48,3.0,1.0,CHI 7,0.0,14.0,Isiah Pacheco left guard for 4 yards (tackle by Jaquan Brisker and Greg Stroman),4.85,6.51,3.0,2023,44
2.0,3:12,1.0,3.0,CHI 3,0.0,14.0,Patrick Mahomes pass incomplete short right intended for Isiah Pacheco,6.51,5.53,3.0,2023,44
2.0,3:08,2.0,3.0,CHI 3,0.0,20.0,"Patrick Mahomes pass complete short left to Jerick McKinnon for 3 yards, touchdown",5.53,7.0,3.0,2023,44
2.0,3:05,,,CHI 15,0.0,21.0,Harrison Butker kicks extra point good,0.0,0.0,3.0,2023,44
2.0,3:05,,,KAN 35,0.0,21.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,44
2.0,3:05,1.0,10.0,CHI 25,0.0,21.0,"Penalty on Justin Fields: Delay of Game, 5 yards (accepted) (no play)",0.61,0.28,3.0,2023,44
2.0,3:05,1.0,15.0,CHI 20,0.0,21.0,"Justin Fields pass complete short left to Khalil Herbert for 5 yards. Khalil Herbert fumbles (forced by Trent McDuffie), recovered by Willie Gay at CHI-26 (tackle by Trent McDuffie)",0.28,-3.84,3.0,2023,44
2.0,2:57,1.0,10.0,CHI 26,0.0,21.0,Isiah Pacheco right end for -4 yards (tackle by T.J. Edwards and Terell Smith),3.84,2.76,3.0,2023,44
2.0,2:16,2.0,14.0,CHI 30,0.0,21.0,Patrick Mahomes pass complete short right to Isiah Pacheco for 7 yards (tackle by T.J. Edwards),2.76,3.01,3.0,2023,44
2.0,2:00,3.0,7.0,CHI 23,0.0,21.0,"Patrick Mahomes pass incomplete short left intended for Skyy Moore. Penalty on Jawaan Taylor: Illegal Formation, 5 yards (declined)",3.01,1.93,3.0,2023,44
2.0,1:55,4.0,7.0,CHI 23,0.0,24.0,Harrison Butker 41 yard field goal good,1.93,3.0,3.0,2023,44
2.0,1:51,,,KAN 35,0.0,24.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,44
2.0,1:51,1.0,10.0,CHI 25,0.0,24.0,Justin Fields pass incomplete deep right intended for D.J. Moore,0.61,0.06,3.0,2023,44
2.0,1:45,2.0,10.0,CHI 25,0.0,24.0,Justin Fields pass deep left (defended by Justin Reid) intended for Chase Claypool is intercepted by Mike Edwards at CHI-42 and returned for 16 yards (tackle by Cole Kmet),0.06,-3.84,3.0,2023,44
2.0,1:37,1.0,10.0,CHI 26,0.0,24.0,Patrick Mahomes pass complete short left to Rashee Rice for 12 yards (tackle by Tremaine Edmunds and Greg Stroman),3.84,4.65,3.0,2023,44
2.0,1:17,1.0,10.0,CHI 14,0.0,24.0,Patrick Mahomes pass complete short middle to Rashee Rice for 13 yards (tackle by T.J. Edwards and Jaquan Brisker),4.65,6.97,3.0,2023,44
2.0,1:08,,,,,,Timeout #1 by Chicago Bears,,,3.0,2023,44
2.0,1:08,1.0,1.0,CHI 1,0.0,30.0,"Isiah Pacheco left guard for 1 yard, touchdown",6.97,7.0,3.0,2023,44
2.0,1:06,,,CHI 15,0.0,31.0,Harrison Butker kicks extra point good,0.0,0.0,3.0,2023,44
2.0,1:06,,,KAN 35,0.0,31.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,44
2.0,1:06,1.0,10.0,CHI 25,0.0,31.0,Justin Fields pass complete short left to Roschon Johnson for 6 yards (tackle by Joshua Williams),0.61,0.87,3.0,2023,44
2.0,0:59,2.0,4.0,CHI 31,0.0,31.0,Justin Fields pass incomplete deep left intended for Chase Claypool (defended by Joshua Williams),0.87,0.17,3.0,2023,44
2.0,0:52,3.0,4.0,CHI 31,0.0,31.0,"Penalty on Justin Fields: Delay of Game, 5 yards (accepted) (no play)",0.17,-0.49,3.0,2023,44
2.0,0:52,3.0,9.0,CHI 26,0.0,31.0,Justin Fields pass incomplete deep right intended for D.J. Moore,-0.49,-1.63,3.0,2023,44
2.0,0:47,4.0,9.0,CHI 26,0.0,31.0,"Trenton Gill punts 47 yards, returned by Montrell Washington for 8 yards (tackle by Velus Jones and Jack Sanborn)",-1.63,-1.27,3.0,2023,44
2.0,0:35,1.0,10.0,KAN 35,0.0,31.0,Patrick Mahomes scrambles left end for 15 yards (tackle by Terell Smith),1.27,2.26,3.0,2023,44
2.0,0:27,1.0,10.0,KAN 50,0.0,31.0,"Patrick Mahomes pass complete to Marquez Valdes-Scantling for no gain, touchdown. Penalty on Keith Taylor: Illegal Formation, 5 yards (accepted) (no play)",2.26,1.93,3.0,2023,44
2.0,0:18,1.0,15.0,KAN 45,0.0,31.0,"Patrick Mahomes pass complete short right to Justin Watson for 14 yards (tackle by Jaylon Jones). Penalty on Jaylon Jones: Face Mask (15 Yards), 15 yards (accepted)",1.93,3.84,3.0,2023,44
2.0,0:11,1.0,10.0,CHI 26,0.0,31.0,Patrick Mahomes pass incomplete short right intended for Noah Gray (defended by Terell Smith),3.84,3.3,3.0,2023,44
2.0,0:08,2.0,10.0,CHI 26,0.0,31.0,Patrick Mahomes pass complete short middle to Travis Kelce for 6 yards (tackle by T.J. Edwards),3.3,3.4,3.0,2023,44
2.0,0:03,,,,,,Timeout #2 by Kansas City Chiefs,,,3.0,2023,44
2.0,0:03,3.0,4.0,CHI 20,0.0,34.0,Harrison Butker 38 yard field goal good,3.4,3.0,3.0,2023,44
3.0,15:00,,,KAN 35,0.0,34.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,44
3.0,15:00,1.0,10.0,CHI 25,0.0,34.0,Khalil Herbert right end for 7 yards (tackle by Drue Tranquill and Bryan Cook),0.61,1.01,3.0,2023,44
3.0,14:21,2.0,3.0,CHI 32,0.0,34.0,Justin Fields sacked by Michael Danna for -4 yards,1.01,-0.23,3.0,2023,44
3.0,13:35,3.0,7.0,CHI 28,0.0,34.0,Justin Fields pass complete short right to Khalil Herbert for -1 yards (tackle by L'Jarius Sneed),-0.23,-1.57,3.0,2023,44
3.0,13:01,4.0,8.0,CHI 27,0.0,34.0,"Trenton Gill punts 37 yards, fair catch by Montrell Washington at KC-36",-1.57,-1.33,3.0,2023,44
3.0,12:54,1.0,10.0,KAN 36,0.0,34.0,Isiah Pacheco right end for -1 yards (tackle by Terell Smith),1.33,0.66,3.0,2023,44
3.0,12:19,2.0,11.0,KAN 35,0.0,34.0,Patrick Mahomes pass complete short left to Travis Kelce for 5 yards (tackle by Greg Stroman),0.66,0.63,3.0,2023,44
3.0,11:43,3.0,6.0,KAN 40,0.0,34.0,Patrick Mahomes pass complete deep right to Marquez Valdes-Scantling for 37 yards (tackle by Terell Smith),0.63,4.04,3.0,2023,44
3.0,11:01,1.0,10.0,CHI 23,0.0,34.0,Isiah Pacheco up the middle for 5 yards (tackle by Terell Smith and T.J. Edwards),4.04,4.21,3.0,2023,44
3.0,10:22,2.0,5.0,CHI 18,0.0,34.0,Isiah Pacheco up the middle for 2 yards (tackle by Gervon Dexter and Andrew Billings),4.21,3.85,3.0,2023,44
3.0,9:40,3.0,3.0,CHI 16,0.0,34.0,Patrick Mahomes pass complete short left to Skyy Moore for 6 yards (tackle by Tremaine Edmunds),3.85,4.91,3.0,2023,44
3.0,9:00,1.0,10.0,CHI 10,0.0,34.0,Patrick Mahomes pass incomplete short right,4.91,4.19,3.0,2023,44
3.0,8:54,2.0,10.0,CHI 10,0.0,34.0,"Isiah Pacheco left guard for 8 yards (tackle by Jaquan Brisker and T.J. Edwards). Penalty on Jaquan Brisker: Face Mask (15 Yards), 1 yard (accepted)",4.19,6.97,3.0,2023,44
3.0,8:29,1.0,1.0,CHI 1,0.0,34.0,Isiah Pacheco right guard for -2 yards (tackle by Jaylon Jones),6.97,5.53,3.0,2023,44
3.0,7:50,2.0,3.0,CHI 3,0.0,34.0,Patrick Mahomes pass incomplete short left intended for Justin Watson,5.53,4.72,3.0,2023,44
3.0,7:44,3.0,3.0,CHI 3,0.0,40.0,"Patrick Mahomes pass complete short right to Travis Kelce for 3 yards, touchdown",4.72,7.0,3.0,2023,44
3.0,7:40,,,CHI 15,0.0,41.0,Harrison Butker kicks extra point good,0.0,0.0,3.0,2023,44
3.0,7:40,,,KAN 35,0.0,41.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,44
3.0,7:40,1.0,10.0,CHI 25,0.0,41.0,Roschon Johnson left end for 3 yards (tackle by Michael Danna and Malik Herring),0.61,0.47,3.0,2023,44
3.0,7:00,2.0,7.0,CHI 28,0.0,41.0,Roschon Johnson right end for 6 yards (tackle by Jack Cochrane),0.47,0.56,3.0,2023,44
3.0,6:41,3.0,1.0,CHI 34,0.0,41.0,Justin Fields up the middle for 2 yards (tackle by Drue Tranquill and Jack Cochrane),0.56,1.33,3.0,2023,44
3.0,5:59,1.0,10.0,CHI 36,0.0,41.0,Justin Fields scrambles left end for 1 yard (tackle by Michael Danna),1.33,0.93,3.0,2023,44
3.0,5:16,2.0,9.0,CHI 37,0.0,41.0,Roschon Johnson right guard for 4 yards (tackle by Malik Herring),0.93,0.76,3.0,2023,44
3.0,4:47,3.0,5.0,CHI 41,0.0,41.0,Justin Fields pass incomplete deep right intended for Tyler Scott,0.76,-0.65,3.0,2023,44
3.0,4:42,4.0,5.0,CHI 41,0.0,41.0,Justin Fields pass incomplete deep left intended for Darnell Mooney,-0.65,-2.85,3.0,2023,44
3.0,4:37,1.0,10.0,CHI 41,0.0,41.0,Clyde Edwards-Helaire left guard for 3 yards (tackle by Dominique Robinson and T.J. Edwards),2.85,2.71,3.0,2023,44
3.0,3:53,2.0,7.0,CHI 38,0.0,41.0,Clyde Edwards-Helaire left end for 3 yards (tackle by Jaquan Brisker and Zacch Pickens),2.71,2.41,3.0,2023,44
3.0,3:27,3.0,4.0,CHI 35,0.0,41.0,Blaine Gabbert pass short middle intended for Skyy Moore is intercepted by Jack Sanborn at CHI-30 and returned for 42 yards (tackle by Rashee Rice),2.41,-3.71,3.0,2023,44
3.0,3:16,1.0,10.0,KAN 28,0.0,41.0,Justin Fields right end for 9 yards (tackle by Drue Tranquill),3.71,4.42,3.0,2023,44
3.0,2:39,2.0,1.0,KAN 19,0.0,41.0,Justin Fields pass incomplete deep right intended for Chase Claypool,4.42,3.72,3.0,2023,44
3.0,2:34,3.0,1.0,KAN 19,0.0,41.0,Justin Fields up the middle for 2 yards (tackle by Felix Anudike-Uzomah),3.72,4.44,3.0,2023,44
3.0,1:54,1.0,10.0,KAN 17,0.0,41.0,Justin Fields pass complete short left to D.J. Moore for 3 yards (tackle by Bryan Cook and Felix Anudike-Uzomah),4.44,4.32,3.0,2023,44
3.0,1:26,2.0,7.0,KAN 14,0.0,41.0,Justin Fields left end for 2 yards (tackle by Trent McDuffie),4.32,3.88,3.0,2023,44
3.0,0:46,3.0,5.0,KAN 12,0.0,41.0,Justin Fields scrambles left end for 4 yards (tackle by Justin Reid),3.88,2.99,3.0,2023,44
3.0,0:26,4.0,1.0,KAN 8,0.0,41.0,Justin Fields up the middle for 1 yard (tackle by Tershawn Wharton),2.99,5.6,3.0,2023,44
4.0,15:00,1.0,7.0,KAN 7,0.0,41.0,Justin Fields pass incomplete short left,5.6,4.76,3.0,2023,44
4.0,14:53,2.0,7.0,KAN 7,0.0,41.0,Khalil Herbert up the middle for 1 yard (tackle by Trent McDuffie and Derrick Nnadi),4.76,4.04,3.0,2023,44
4.0,14:16,3.0,6.0,KAN 6,0.0,41.0,Justin Fields scrambles left end for 3 yards (tackle by Drue Tranquill),4.04,3.04,3.0,2023,44
4.0,13:36,4.0,3.0,KAN 3,3.0,41.0,Cairo Santos 21 yard field goal good,3.04,3.0,3.0,2023,44
4.0,13:34,,,CHI 35,3.0,41.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,44
4.0,13:34,1.0,10.0,KAN 25,3.0,41.0,Clyde Edwards-Helaire left tackle for 2 yards (tackle by Andrew Billings and Noah Sewell),0.61,0.33,3.0,2023,44
4.0,12:52,2.0,8.0,KAN 27,3.0,41.0,Clyde Edwards-Helaire left end for 3 yards (tackle by Noah Sewell),0.33,0.04,3.0,2023,44
4.0,12:12,3.0,5.0,KAN 30,3.0,41.0,Blaine Gabbert pass complete short left to Skyy Moore for 11 yards (tackle by Terell Smith),0.04,1.66,3.0,2023,44
4.0,11:37,1.0,10.0,KAN 41,3.0,41.0,Clyde Edwards-Helaire left end for 12 yards (tackle by Jaylon Jones),1.66,2.46,3.0,2023,44
4.0,10:53,1.0,10.0,CHI 47,3.0,41.0,Clyde Edwards-Helaire left end for -1 yards (tackle by Dominique Robinson and T.J. Edwards),2.46,1.78,3.0,2023,44
4.0,10:11,2.0,11.0,CHI 48,3.0,41.0,"Penalty on Trey Smith: False Start, 5 yards (accepted) (no play)",1.78,1.1,3.0,2023,44
4.0,10:11,2.0,16.0,KAN 47,3.0,41.0,Jerick McKinnon left end for -1 yards (tackle by T.J. Edwards),1.1,0.3,3.0,2023,44
4.0,9:27,3.0,17.0,KAN 46,3.0,41.0,"Blaine Gabbert pass incomplete intended for Skyy Moore. Penalty on Dominique Robinson: Defensive Offside, 5 yards (accepted) (no play)",0.3,0.96,3.0,2023,44
4.0,9:23,3.0,12.0,CHI 49,3.0,41.0,Blaine Gabbert pass complete short right to Rashee Rice for 15 yards (tackle by Jaylon Jones),0.96,3.31,3.0,2023,44
4.0,8:38,1.0,10.0,CHI 34,3.0,41.0,Blaine Gabbert pass complete short left to Rashee Rice for 5 yards (tackle by Noah Sewell and Jaylon Jones),3.31,3.45,3.0,2023,44
4.0,7:57,2.0,5.0,CHI 29,3.0,41.0,Clyde Edwards-Helaire left end for no gain (tackle by T.J. Edwards and Yannick Ngakoue),3.45,2.74,3.0,2023,44
4.0,7:14,3.0,5.0,CHI 29,3.0,41.0,Blaine Gabbert pass short left intended for Rashee Rice is intercepted by Quindell Johnson at CHI-25 and returned for no gain (tackle by Rashee Rice),2.74,-0.61,3.0,2023,44
4.0,7:09,1.0,10.0,CHI 25,3.0,41.0,Roschon Johnson right end for 6 yards (tackle by Leo Chenal),0.61,0.81,3.0,2023,44
4.0,6:45,2.0,5.0,CHI 31,3.0,41.0,Justin Fields pass complete short right to Cole Kmet for 8 yards (tackle by Malik Herring and Leo Chenal),0.81,1.53,3.0,2023,44
4.0,6:16,1.0,10.0,CHI 39,3.0,41.0,Justin Fields scrambles left end for 1 yard (tackle by Felix Anudike-Uzomah),1.53,1.12,3.0,2023,44
4.0,5:47,2.0,9.0,CHI 40,3.0,41.0,Roschon Johnson left end for 11 yards (tackle by Chamarri Conner and Mike Edwards),1.12,2.32,3.0,2023,44
4.0,5:25,1.0,10.0,KAN 49,3.0,41.0,Justin Fields pass complete short middle to Roschon Johnson for 5 yards (tackle by Leo Chenal),2.32,2.46,3.0,2023,44
4.0,4:59,2.0,5.0,KAN 44,3.0,41.0,Justin Fields pass complete deep left to D.J. Moore for 29 yards (tackle by Jaylen Watson),2.46,4.58,3.0,2023,44
4.0,4:54,1.0,10.0,KAN 15,3.0,41.0,Justin Fields pass complete short right to Tyler Scott for 6 yards (tackle by Joshua Williams),4.58,5.03,3.0,2023,44
4.0,4:27,2.0,4.0,KAN 9,3.0,41.0,Justin Fields pass incomplete short left intended for Tyler Scott,5.03,4.22,3.0,2023,44
4.0,4:23,3.0,4.0,KAN 9,9.0,41.0,"Justin Fields pass complete short left to D.J. Moore for 9 yards, touchdown",4.22,7.0,3.0,2023,44
4.0,4:20,,,KAN 15,10.0,41.0,Cairo Santos kicks extra point good,0.0,0.0,3.0,2023,44
4.0,4:20,,,CHI 35,10.0,41.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,44
4.0,4:20,1.0,10.0,KAN 25,10.0,41.0,Clyde Edwards-Helaire right tackle for 2 yards (tackle by Rasheem Green),0.61,0.33,3.0,2023,44
4.0,3:39,2.0,8.0,KAN 27,10.0,41.0,Clyde Edwards-Helaire left tackle for 2 yards (tackle by Jack Sanborn and Justin Jones),0.33,-0.1,3.0,2023,44
4.0,2:57,3.0,6.0,KAN 29,10.0,41.0,Jerick McKinnon left guard for 10 yards (tackle by Terell Smith),-0.1,1.53,3.0,2023,44
4.0,2:13,1.0,10.0,KAN 39,10.0,41.0,Clyde Edwards-Helaire right end for no gain (tackle by T.J. Edwards and Noah Sewell),1.53,0.99,3.0,2023,44
4.0,2:00,2.0,10.0,KAN 39,10.0,41.0,Clyde Edwards-Helaire right guard for 16 yards (tackle by Elijah Hicks),0.99,2.59,3.0,2023,44
4.0,1:14,1.0,10.0,CHI 45,10.0,41.0,Blaine Gabbert kneels for no gain,2.59,2.04,3.0,2023,44
4.0,0:38,2.0,10.0,CHI 45,10.0,41.0,Blaine Gabbert kneels for -1 yards,2.04,1.22,3.0,2023,44
