Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA,week,year,game_id
1.0,10:01,1.0,10.0,ARI 18,0.0,3.0,Joshua Dobbs pass complete short left to Michael Wilson for 17 yards (tackle by Jayron Kearse),0.04,1.27,3.0,2023,45
1.0,9:41,1.0,10.0,ARI 35,0.0,3.0,James Conner left tackle for no gain (tackle by Johnathan Hankins and Osa Odighizuwa),1.27,0.72,3.0,2023,45
1.0,9:06,2.0,10.0,ARI 35,0.0,3.0,"Joshua Dobbs pass incomplete deep left intended for Marquise Brown. Penalty on DaRon Bland: Defensive Pass Interference, 22 yards (accepted) (no play)",0.72,2.72,3.0,2023,45
1.0,9:02,1.0,10.0,DAL 43,0.0,3.0,James Conner left tackle for 20 yards (tackle by Malik Hooker),2.72,4.04,3.0,2023,45
1.0,8:22,1.0,10.0,DAL 23,0.0,3.0,Joshua Dobbs scrambles right end for 7 yards (tackle by Micah Parsons and Damone Clark),4.04,4.56,3.0,2023,45
1.0,7:38,2.0,3.0,DAL 16,0.0,3.0,James Conner right tackle for 1 yard (tackle by DeMarcus Lawrence and Markquese Bell),4.56,4.05,3.0,2023,45
1.0,6:55,3.0,2.0,DAL 15,0.0,3.0,Joshua Dobbs pass complete short right to James Conner for 10 yards (tackle by Jayron Kearse and Markquese Bell),4.05,6.06,3.0,2023,45
1.0,6:16,1.0,5.0,DAL 5,0.0,9.0,"James Conner right end for 5 yards, touchdown",6.06,7.0,3.0,2023,45
1.0,6:12,,,DAL 15,0.0,9.0,"Penalty on Osa Odighizuwa: Defensive Offside, 1 yard (accepted) (no play)",0.0,1.0,3.0,2023,45
1.0,6:12,1.0,1.0,DAL 1,0.0,9.0,"Two Point Attempt: James Conner rushes, conversion fails.",1.0,-1.0,3.0,2023,45
1.0,6:12,,,ARI 35,0.0,9.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,45
1.0,6:12,1.0,10.0,DAL 25,0.0,9.0,Dak Prescott pass complete short right to Peyton Hendershot for 3 yards (tackle by Kei'Trel Clark and Kyzir White),0.61,0.47,3.0,2023,45
1.0,5:38,2.0,7.0,DAL 28,0.0,9.0,Dak Prescott pass complete short right to Jake Ferguson for 12 yards (tackle by K'Von Wallace),0.47,1.6,3.0,2023,45
1.0,5:08,1.0,10.0,DAL 40,0.0,9.0,Dak Prescott sacked by Zaven Collins for -11 yards,1.6,-0.43,3.0,2023,45
1.0,4:30,2.0,21.0,DAL 29,0.0,9.0,"Dak Prescott pass incomplete short left intended for CeeDee Lamb. Penalty on Jalen Thompson: Defensive Pass Interference, 10 yards (accepted) (no play)",-0.43,1.53,3.0,2023,45
1.0,4:25,1.0,10.0,DAL 39,0.0,9.0,Dak Prescott pass complete short left to Hunter Luepke for 12 yards (tackle by Krys Barnes),1.53,2.32,3.0,2023,45
1.0,3:51,1.0,10.0,ARI 49,0.0,9.0,Dak Prescott sacked by Victor Dimukeje for -7 yards,2.32,0.84,3.0,2023,45
1.0,3:13,2.0,17.0,DAL 44,0.0,9.0,Dak Prescott pass complete short left to Michael Gallup for 19 yards (tackle by Jalen Thompson),0.84,3.12,3.0,2023,45
1.0,2:39,1.0,10.0,ARI 37,0.0,9.0,Dak Prescott pass incomplete short left intended for Brandin Cooks (defended by Marco Wilson),3.12,2.57,3.0,2023,45
1.0,2:35,2.0,10.0,ARI 37,0.0,9.0,Tony Pollard up the middle for 6 yards (tackle by Ben Stille),2.57,2.68,3.0,2023,45
1.0,1:55,3.0,4.0,ARI 31,0.0,9.0,Dak Prescott pass incomplete short left intended for CeeDee Lamb (defended by Krys Barnes),2.68,1.37,3.0,2023,45
1.0,1:52,4.0,4.0,ARI 31,3.0,9.0,Brandon Aubrey 49 yard field goal good,1.37,3.0,3.0,2023,45
1.0,1:48,,,DAL 35,3.0,9.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,45
1.0,1:48,1.0,10.0,ARI 25,3.0,9.0,Keaontay Ingram up the middle for -1 yards (tackle by Osa Odighizuwa),0.61,-0.07,3.0,2023,45
1.0,1:11,2.0,11.0,ARI 24,3.0,9.0,Keaontay Ingram up the middle for 7 yards (tackle by Stephon Gilmore and Donovan Wilson),-0.07,0.17,3.0,2023,45
1.0,0:32,3.0,4.0,ARI 31,3.0,9.0,Joshua Dobbs pass complete short left to Marquise Brown for 12 yards (tackle by DaRon Bland),0.17,1.8,3.0,2023,45
2.0,15:00,1.0,10.0,ARI 43,3.0,9.0,"Joshua Dobbs sacked by Donovan Wilson for no gain. Penalty on D.J. Humphries: Offensive Holding, 10 yards (accepted) (no play)",1.8,1.14,3.0,2023,45
2.0,14:40,1.0,20.0,ARI 33,3.0,9.0,Keaontay Ingram right tackle for 1 yard (tackle by Jayron Kearse),1.14,0.04,3.0,2023,45
2.0,14:08,2.0,19.0,ARI 34,3.0,9.0,Joshua Dobbs pass complete short right to Keaontay Ingram for 8 yards (tackle by Stephon Gilmore and Leighton Vander Esch),0.04,0.43,3.0,2023,45
2.0,13:23,3.0,11.0,ARI 42,3.0,9.0,"Joshua Dobbs pass incomplete deep left intended for Rondale Moore. Penalty on Micah Parsons: Defensive Offside, 5 yards (declined) . Penalty on Jourdan Lewis: Defensive Holding, 5 yards (accepted) (no play)",0.43,2.06,3.0,2023,45
2.0,13:13,1.0,10.0,ARI 47,3.0,9.0,Joshua Dobbs pass complete short left to Rondale Moore for 8 yards (tackle by DaRon Bland),2.06,2.6,3.0,2023,45
2.0,12:38,2.0,2.0,DAL 45,3.0,15.0,"Rondale Moore left tackle for 45 yards, touchdown",2.6,7.0,3.0,2023,45
2.0,12:31,,,DAL 2,3.0,15.0,Two Point Attempt: Joshua Dobbs pass incomplete intended for Marquise Brown,1.0,-1.0,3.0,2023,45
2.0,12:31,,,ARI 35,3.0,15.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,45
2.0,12:31,1.0,10.0,DAL 25,3.0,15.0,Tony Pollard up the middle for 8 yards (tackle by K'Von Wallace and Kei'Trel Clark),0.61,1.14,3.0,2023,45
2.0,12:02,2.0,2.0,DAL 33,3.0,15.0,Tony Pollard up the middle for 8 yards (tackle by Kyzir White),1.14,1.66,3.0,2023,45
2.0,11:24,1.0,10.0,DAL 41,3.0,15.0,Dak Prescott scrambles left end for 10 yards (tackle by Jalen Thompson),1.66,2.32,3.0,2023,45
2.0,10:50,1.0,10.0,ARI 49,3.0,15.0,Dak Prescott pass complete short left to Michael Gallup for 6 yards (tackle by Zaven Collins),2.32,2.59,3.0,2023,45
2.0,10:20,2.0,4.0,ARI 43,3.0,15.0,Dak Prescott pass incomplete short right intended for Luke Schoonmaker,2.59,1.88,3.0,2023,45
2.0,10:17,3.0,4.0,ARI 43,3.0,15.0,Dak Prescott pass complete short right to Brandin Cooks for 5 yards (tackle by Kei'Trel Clark),1.88,3.05,3.0,2023,45
2.0,9:42,1.0,10.0,ARI 38,3.0,15.0,CeeDee Lamb left end for 9 yards (tackle by Kyzir White and Jalen Thompson),3.05,3.72,3.0,2023,45
2.0,9:06,2.0,1.0,ARI 29,3.0,15.0,"Dak Prescott pass complete short right to Jake Ferguson for no gain (tackle by Jesse Luketa). Penalty on T.J. Bass: Offensive Holding, 10 yards (accepted) (no play)",3.72,2.37,3.0,2023,45
2.0,8:41,2.0,11.0,ARI 39,3.0,15.0,Dak Prescott pass complete short left to Jake Ferguson for 10 yards (tackle by Andre Chachere),2.37,3.01,3.0,2023,45
2.0,8:00,3.0,1.0,ARI 29,3.0,15.0,Tony Pollard left tackle for 5 yards (tackle by K'Von Wallace),3.01,3.97,3.0,2023,45
2.0,7:26,1.0,10.0,ARI 24,3.0,15.0,Tony Pollard up the middle for 5 yards (tackle by Ben Stille and Leki Fotu),3.97,4.12,3.0,2023,45
2.0,6:44,2.0,5.0,ARI 19,3.0,15.0,Tony Pollard up the middle for 8 yards (tackle by Kyzir White and Jalen Thompson),4.12,4.84,3.0,2023,45
2.0,6:10,1.0,10.0,ARI 11,3.0,15.0,"Penalty on Terence Steele: False Start, 4 yards (accepted) (no play)",4.84,4.41,3.0,2023,45
2.0,5:44,1.0,14.0,ARI 15,3.0,15.0,Dak Prescott pass incomplete short right intended for Brandin Cooks (defended by Kei'Trel Clark),4.41,3.56,3.0,2023,45
2.0,5:40,2.0,14.0,ARI 15,9.0,15.0,"Dak Prescott pass complete short right to Rico Dowdle for 15 yards, touchdown",3.56,7.0,3.0,2023,45
2.0,5:32,,,ARI 15,10.0,15.0,Brandon Aubrey kicks extra point good,0.0,0.0,3.0,2023,45
2.0,5:32,,,DAL 35,10.0,15.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,45
2.0,5:32,1.0,10.0,ARI 25,10.0,15.0,"Joshua Dobbs pass incomplete short right intended for Zach Ertz. Penalty on Paris Johnson: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,3.0,2023,45
2.0,5:28,1.0,20.0,ARI 15,10.0,15.0,Joshua Dobbs pass complete short left to Marquise Brown for 10 yards (tackle by Malik Hooker),-0.41,0.06,3.0,2023,45
2.0,4:50,2.0,10.0,ARI 25,10.0,15.0,James Conner left tackle for 26 yards (tackle by Jayron Kearse),0.06,2.32,3.0,2023,45
2.0,4:12,1.0,10.0,DAL 49,10.0,15.0,James Conner up the middle for 12 yards (tackle by Jourdan Lewis and Malik Hooker),2.32,3.12,3.0,2023,45
2.0,3:36,1.0,10.0,DAL 37,10.0,15.0,Keaontay Ingram right tackle for 8 yards (tackle by Damone Clark),3.12,3.65,3.0,2023,45
2.0,2:56,2.0,2.0,DAL 29,10.0,15.0,Keaontay Ingram up the middle for -2 yards (tackle by DeMarcus Lawrence),3.65,2.68,3.0,2023,45
2.0,2:21,3.0,4.0,DAL 31,10.0,15.0,Joshua Dobbs sacked by DeMarcus Lawrence for -1 yards,2.68,1.26,3.0,2023,45
2.0,2:00,4.0,5.0,DAL 32,10.0,15.0,"Penalty on Juanyeh Thomas: Defensive Offside, 5 yards (accepted) (no play)",1.26,3.78,3.0,2023,45
2.0,1:55,1.0,10.0,DAL 27,10.0,15.0,Joshua Dobbs pass incomplete deep right intended for Marquise Brown (defended by Stephon Gilmore),3.78,3.23,3.0,2023,45
2.0,1:50,2.0,10.0,DAL 27,10.0,15.0,"Joshua Dobbs pass incomplete short right intended for Trey McBride. Penalty on D.J. Humphries: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.23,2.56,3.0,2023,45
2.0,1:46,2.0,15.0,DAL 32,10.0,15.0,Joshua Dobbs pass complete short left to James Conner for 8 yards (tackle by Damone Clark),2.56,2.94,3.0,2023,45
2.0,1:40,3.0,7.0,DAL 24,10.0,15.0,Joshua Dobbs pass complete short right to Rondale Moore for -1 yards (tackle by Jourdan Lewis),2.94,1.8,3.0,2023,45
2.0,1:31,,,,,,Timeout #1 by Dallas Cowboys,,,3.0,2023,45
2.0,1:31,4.0,8.0,DAL 25,10.0,18.0,Matt Prater 43 yard field goal good,1.8,3.0,3.0,2023,45
2.0,1:28,,,ARI 35,10.0,18.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,45
2.0,1:28,1.0,10.0,DAL 25,10.0,18.0,Dak Prescott pass complete short right to CeeDee Lamb for 7 yards (tackle by Kei'Trel Clark),0.61,1.01,3.0,2023,45
2.0,1:12,2.0,3.0,DAL 32,10.0,18.0,Dak Prescott pass complete short left to Tony Pollard for 2 yards (tackle by Marco Wilson),1.01,0.56,3.0,2023,45
2.0,1:06,3.0,1.0,DAL 34,10.0,18.0,Tony Pollard up the middle for 6 yards (tackle by Krys Barnes),0.56,1.6,3.0,2023,45
2.0,1:02,,,,,,Timeout #2 by Dallas Cowboys,,,3.0,2023,45
2.0,1:02,1.0,10.0,DAL 40,10.0,18.0,"Dak Prescott pass complete short right to CeeDee Lamb for no gain (tackle by Kei'Trel Clark). Penalty on CeeDee Lamb: Offensive Pass Interference, 10 yards (accepted) (no play)",1.6,0.94,3.0,2023,45
2.0,0:56,1.0,20.0,DAL 30,10.0,18.0,Dak Prescott pass incomplete short left,0.94,-0.3,3.0,2023,45
2.0,0:51,2.0,20.0,DAL 30,10.0,18.0,Dak Prescott pass incomplete short right,-0.3,-0.96,3.0,2023,45
2.0,0:43,3.0,20.0,DAL 30,10.0,18.0,Dak Prescott pass complete short right to Jake Ferguson for 10 yards (tackle by Jalen Thompson and Kyzir White),-0.96,-0.72,3.0,2023,45
2.0,0:37,,,,,,Timeout #1 by Arizona Cardinals,,,3.0,2023,45
2.0,0:37,4.0,10.0,DAL 40,10.0,18.0,"Bryan Anger punts 50 yards, returned by Greg Dortch for 19 yards (tackle by C.J. Goodwin)",-0.72,-0.87,3.0,2023,45
2.0,0:25,1.0,10.0,ARI 29,10.0,18.0,"Joshua Dobbs pass complete short left to Marquise Brown for 14 yards (tackle by DaRon Bland). Penalty on Osa Odighizuwa: Defensive Offside, 5 yards (declined)",0.87,1.8,3.0,2023,45
2.0,0:20,1.0,10.0,ARI 43,10.0,18.0,"Joshua Dobbs pass incomplete short left intended for Michael Wilson (defended by DaRon Bland). Penalty on Dante Fowler: Defensive Offside, 5 yards (accepted) (no play)",1.8,2.53,3.0,2023,45
2.0,0:16,1.0,5.0,ARI 48,10.0,18.0,Joshua Dobbs pass incomplete deep right intended for Rondale Moore,2.53,1.93,3.0,2023,45
2.0,0:11,2.0,5.0,ARI 48,10.0,18.0,Joshua Dobbs pass complete short middle to Rondale Moore for 6 yards (tackle by Jourdan Lewis),1.93,2.52,3.0,2023,45
2.0,0:08,,,,,,Timeout #2 by Arizona Cardinals,,,3.0,2023,45
2.0,0:08,1.0,10.0,DAL 46,10.0,18.0,Emari Demercado up the middle for 2 yards (tackle by Dorance Armstrong and DeMarcus Lawrence),2.52,2.25,3.0,2023,45
2.0,0:04,,,,,,Timeout #3 by Arizona Cardinals,,,3.0,2023,45
2.0,0:04,2.0,8.0,DAL 44,10.0,21.0,Matt Prater 62 yard field goal good,2.25,3.0,3.0,2023,45
3.0,15:00,,,ARI 35,10.0,21.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,45
3.0,15:00,1.0,10.0,DAL 25,10.0,21.0,Dak Prescott pass complete short right to Jake Ferguson for 6 yards (tackle by Kyzir White),0.61,0.87,3.0,2023,45
3.0,14:28,2.0,4.0,DAL 31,10.0,21.0,Tony Pollard up the middle for 3 yards (tackle by Kyzir White and Kevin Strong),0.87,0.56,3.0,2023,45
3.0,13:51,3.0,1.0,DAL 34,10.0,21.0,Hunter Luepke up the middle for 9 yards (tackle by Kei'Trel Clark),0.56,1.8,3.0,2023,45
3.0,13:19,1.0,10.0,DAL 43,10.0,21.0,Dak Prescott pass complete short left to CeeDee Lamb for 4 yards (tackle by Jalen Thompson),1.8,1.79,3.0,2023,45
3.0,12:47,2.0,6.0,DAL 47,10.0,21.0,Dak Prescott pass complete short right to Tony Pollard for -1 yards (tackle by Dennis Gardeck),1.79,0.96,3.0,2023,45
3.0,12:12,3.0,7.0,DAL 46,10.0,21.0,Dak Prescott pass complete deep right to CeeDee Lamb for 32 yards (tackle by Kei'Trel Clark),0.96,4.11,3.0,2023,45
3.0,11:40,1.0,10.0,ARI 22,10.0,21.0,Dak Prescott pass complete short left to Tony Pollard for -2 yards (tackle by Kyzir White),4.11,3.29,3.0,2023,45
3.0,11:07,2.0,12.0,ARI 24,10.0,21.0,Dak Prescott pass incomplete short left intended for Jake Ferguson,3.29,2.61,3.0,2023,45
3.0,11:04,3.0,12.0,ARI 24,10.0,21.0,Dak Prescott scrambles left end for 13 yards (tackle by Krys Barnes),2.61,4.84,3.0,2023,45
3.0,10:19,1.0,10.0,ARI 11,10.0,21.0,Tony Pollard up the middle for 3 yards (tackle by Jonathan Ledbetter),4.84,4.7,3.0,2023,45
3.0,9:42,2.0,7.0,ARI 8,10.0,21.0,Dak Prescott pass incomplete short middle,4.7,3.76,3.0,2023,45
3.0,9:35,3.0,7.0,ARI 8,10.0,21.0,Dak Prescott pass incomplete short middle intended for Brandin Cooks (defended by Jalen Thompson),3.76,2.96,3.0,2023,45
3.0,9:30,4.0,7.0,ARI 8,13.0,21.0,Brandon Aubrey 27 yard field goal good,2.96,3.0,3.0,2023,45
3.0,9:27,,,DAL 35,13.0,21.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,45
3.0,9:27,1.0,10.0,ARI 25,13.0,21.0,Rondale Moore left end for 2 yards (tackle by DaRon Bland),0.61,0.33,3.0,2023,45
3.0,8:51,2.0,8.0,ARI 27,13.0,21.0,James Conner right tackle for no gain (tackle by Johnathan Hankins and Micah Parsons),0.33,-0.36,3.0,2023,45
3.0,8:07,3.0,8.0,ARI 27,13.0,21.0,"Penalty on Hjalte Froholdt: False Start, 5 yards (accepted) (no play)",-0.36,-1.02,3.0,2023,45
3.0,7:47,3.0,13.0,ARI 22,13.0,21.0,"Emari Demercado up the middle for no gain (tackle by Micah Parsons and Dorance Armstrong). Penalty on Paris Johnson: Offensive Holding, 10 yards (declined)",-1.02,-1.9,3.0,2023,45
3.0,7:34,4.0,13.0,ARI 22,13.0,21.0,"Nolan Cooney punts 52 yards, returned by KaVontae Turpin for no gain (tackle by Zach Pascal). Penalty on Devin Harper: Defensive Holding, 10 yards (accepted)",-1.9,0.14,3.0,2023,45
3.0,7:19,1.0,10.0,DAL 16,13.0,21.0,Dak Prescott pass complete deep right to Michael Gallup for 27 yards (tackle by Kei'Trel Clark),-0.14,1.8,3.0,2023,45
3.0,6:48,1.0,10.0,DAL 43,13.0,21.0,Tony Pollard up the middle for 5 yards (tackle by Krys Barnes),1.8,1.93,3.0,2023,45
3.0,6:20,2.0,5.0,DAL 48,13.0,21.0,Dak Prescott pass complete short right to CeeDee Lamb for 10 yards (tackle by K'Von Wallace),1.93,2.79,3.0,2023,45
3.0,5:45,1.0,10.0,ARI 42,13.0,21.0,Tony Pollard right tackle for 31 yards (tackle by Krys Barnes),2.79,4.84,3.0,2023,45
3.0,5:03,1.0,10.0,ARI 11,13.0,21.0,Rico Dowdle up the middle for 2 yards (tackle by Jalen Thompson),4.84,4.51,3.0,2023,45
3.0,4:26,2.0,8.0,ARI 9,13.0,21.0,Rico Dowdle right end for 5 yards (tackle by Kyzir White),4.51,4.67,3.0,2023,45
3.0,3:50,3.0,3.0,ARI 4,13.0,21.0,"Dak Prescott pass incomplete short left intended for Michael Gallup (defended by Marco Wilson). Penalty on Chuma Edoga: Offensive Holding, 10 yards (accepted) (no play)",4.67,3.03,3.0,2023,45
3.0,3:44,3.0,13.0,ARI 14,13.0,21.0,Dak Prescott pass complete short right to Jake Ferguson for 10 yards (tackle by Kyzir White and Marco Wilson),3.03,3.03,3.0,2023,45
3.0,3:03,4.0,3.0,ARI 4,13.0,21.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb,3.03,0.38,3.0,2023,45
3.0,2:57,1.0,10.0,ARI 5,13.0,21.0,"Joshua Dobbs pass incomplete short right intended for Marquise Brown. Penalty on D.J. Humphries: Offensive Holding, 10 yards (declined)",-0.38,-0.78,3.0,2023,45
3.0,2:51,2.0,10.0,ARI 5,13.0,21.0,James Conner up the middle for 2 yards (tackle by Leighton Vander Esch and Mazi Smith),-0.78,-1.19,3.0,2023,45
3.0,2:08,3.0,8.0,ARI 7,13.0,21.0,Joshua Dobbs pass complete deep right to Marquise Brown for 23 yards (tackle by Stephon Gilmore),-1.19,0.94,3.0,2023,45
3.0,1:42,1.0,10.0,ARI 30,13.0,21.0,Joshua Dobbs pass complete short right to Rondale Moore for -5 yards (tackle by Donovan Wilson),0.94,-0.28,3.0,2023,45
3.0,1:00,2.0,15.0,ARI 25,13.0,21.0,Rondale Moore right end for 7 yards (tackle by Johnathan Hankins and Malik Hooker),-0.28,-0.03,3.0,2023,45
3.0,0:16,3.0,8.0,ARI 32,13.0,21.0,Joshua Dobbs sacked by Micah Parsons for -10 yards,-0.03,-1.9,3.0,2023,45
4.0,15:00,4.0,18.0,ARI 22,13.0,21.0,"Nolan Cooney punts 42 yards, fair catch by KaVontae Turpin at DAL-36",-1.9,-1.33,3.0,2023,45
4.0,14:53,1.0,10.0,DAL 36,13.0,21.0,Tony Pollard up the middle for 1 yard (tackle by Jonathan Ledbetter and Kevin Strong),1.33,0.93,3.0,2023,45
4.0,14:19,2.0,9.0,DAL 37,13.0,21.0,Dak Prescott pass incomplete short right intended for Brandin Cooks (defended by Krys Barnes),0.93,0.23,3.0,2023,45
4.0,14:15,3.0,9.0,DAL 37,13.0,21.0,"Dak Prescott pass incomplete short right intended for Michael Gallup. Penalty on Kei'Trel Clark: Defensive Pass Interference, 14 yards (accepted) (no play)",0.23,2.32,3.0,2023,45
4.0,14:10,1.0,10.0,ARI 49,13.0,21.0,Dak Prescott scrambles up the middle for 1 yard (tackle by Jonathan Ledbetter),2.32,1.92,3.0,2023,45
4.0,13:35,2.0,9.0,ARI 48,13.0,21.0,Rico Dowdle left tackle for 10 yards (tackle by Kyzir White),1.92,3.05,3.0,2023,45
4.0,12:58,1.0,10.0,ARI 38,13.0,21.0,Rico Dowdle up the middle for 4 yards (tackle by Ben Stille and Krys Barnes),3.05,3.05,3.0,2023,45
4.0,12:28,2.0,6.0,ARI 34,13.0,21.0,Tony Pollard up the middle for 2 yards (tackle by Dennis Gardeck),3.05,2.61,3.0,2023,45
4.0,11:50,3.0,4.0,ARI 32,13.0,21.0,Dak Prescott pass complete short right to Brandin Cooks for 12 yards (tackle by Kei'Trel Clark and Andre Chachere),2.61,4.24,3.0,2023,45
4.0,11:15,1.0,10.0,ARI 20,13.0,21.0,Dak Prescott pass complete short right to Michael Gallup for 10 yards (tackle by Kei'Trel Clark),4.24,4.91,3.0,2023,45
4.0,10:39,1.0,10.0,ARI 10,13.0,21.0,Tony Pollard left tackle for 2 yards (tackle by Jalen Thompson),4.91,4.57,3.0,2023,45
4.0,10:19,2.0,8.0,ARI 8,13.0,21.0,CeeDee Lamb right end for no gain (tackle by Kyzir White),4.57,3.58,3.0,2023,45
4.0,9:40,3.0,8.0,ARI 8,13.0,21.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Kei'Trel Clark),3.58,2.95,3.0,2023,45
4.0,9:36,4.0,8.0,ARI 8,16.0,21.0,Brandon Aubrey 26 yard field goal good,2.95,3.0,3.0,2023,45
4.0,9:33,,,DAL 35,16.0,21.0,"Brandon Aubrey kicks off 69 yards, returned by Greg Dortch for 28 yards (tackle by C.J. Goodwin)",0.0,0.54,3.0,2023,45
4.0,9:28,1.0,10.0,ARI 24,16.0,21.0,Joshua Dobbs pass complete deep right to Michael Wilson for 69 yards (tackle by Malik Hooker and Damone Clark),0.54,5.6,3.0,2023,45
4.0,8:35,1.0,7.0,DAL 7,16.0,21.0,James Conner right tackle for no gain (tackle by DeMarcus Lawrence),5.6,4.76,3.0,2023,45
4.0,8:02,2.0,7.0,DAL 7,16.0,21.0,Joshua Dobbs pass complete short middle to Zach Ertz for 5 yards (tackle by Donovan Wilson),4.76,4.95,3.0,2023,45
4.0,7:28,3.0,2.0,DAL 2,16.0,27.0,"Joshua Dobbs pass complete short right to Marquise Brown for 2 yards, touchdown",4.95,7.0,3.0,2023,45
4.0,7:22,,,DAL 15,16.0,28.0,Matt Prater kicks extra point good,0.0,0.0,3.0,2023,45
4.0,7:22,,,ARI 35,16.0,28.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,45
4.0,7:22,1.0,10.0,DAL 25,16.0,28.0,Tony Pollard up the middle for 9 yards (tackle by K'Von Wallace and Zeke Turner),0.61,1.28,3.0,2023,45
4.0,7:01,2.0,1.0,DAL 34,16.0,28.0,Dak Prescott pass complete short right to Michael Gallup for 21 yards (tackle by Kyzir White and K'Von Wallace),1.28,2.59,3.0,2023,45
4.0,6:44,1.0,10.0,ARI 45,16.0,28.0,Dak Prescott pass incomplete short right intended for Jake Ferguson (defended by K'Von Wallace),2.59,2.04,3.0,2023,45
4.0,6:41,2.0,10.0,ARI 45,16.0,28.0,Dak Prescott pass complete short right to Michael Gallup for 9 yards (tackle by Marco Wilson),2.04,2.54,3.0,2023,45
4.0,6:23,3.0,1.0,ARI 36,16.0,28.0,"Tony Pollard up the middle for 4 yards (tackle by Ben Stille). Penalty on Ben Stille: Defensive Holding, 5 yards (accepted)",2.54,3.78,3.0,2023,45
4.0,6:01,1.0,10.0,ARI 27,16.0,28.0,Dak Prescott pass complete short right to Rico Dowdle for 9 yards (tackle by Kei'Trel Clark),3.78,4.53,3.0,2023,45
4.0,5:38,2.0,1.0,ARI 18,16.0,28.0,"Rico Dowdle up the middle for no gain (tackle by Kyzir White and Jonathan Ledbetter). Penalty on Tyler Smith: Offensive Holding, 10 yards (offset) . Penalty on Dante Stills: Defensive Offside, 5 yards (offset) Penalty on ARI: Defensive Too Many Men on Field, 5 yards (offset) (no play)",4.53,4.53,3.0,2023,45
4.0,5:24,2.0,1.0,ARI 18,16.0,28.0,Dak Prescott pass incomplete deep right intended for Michael Gallup (defended by Marco Wilson),4.53,3.84,3.0,2023,45
4.0,5:19,3.0,1.0,ARI 18,16.0,28.0,Tony Pollard up the middle for 2 yards (tackle by Victor Dimukeje),3.84,4.51,3.0,2023,45
