Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA,week,year,game_id
2.0,2:39,2.0,4.0,ATL 4,3.0,10.0,"Jared Goff scrambles for no gain. Penalty on Penei Sewell: Offensive Holding, 10 yards (accepted) (no play)",5.34,3.58,3.0,2023,34
2.0,2:12,2.0,14.0,ATL 14,3.0,10.0,Jahmyr Gibbs left tackle for 8 yards (tackle by Richie Grant),3.58,4.04,3.0,2023,34
2.0,2:00,3.0,6.0,ATL 6,3.0,10.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,4.04,2.99,3.0,2023,34
2.0,1:56,4.0,6.0,ATL 6,3.0,13.0,Riley Patterson 24 yard field goal good,2.99,3.0,3.0,2023,34
2.0,1:53,,,DET 35,3.0,13.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,34
2.0,1:53,1.0,10.0,ATL 25,3.0,13.0,Desmond Ridder sacked by Alim McNeill for -8 yards,0.61,-1.15,3.0,2023,34
2.0,1:19,2.0,18.0,ATL 17,3.0,13.0,Bijan Robinson up the middle for 4 yards (tackle by Aidan Hutchinson),-1.15,-1.15,3.0,2023,34
2.0,1:08,,,,,,Timeout #2 by Detroit Lions,,,3.0,2023,34
2.0,1:08,3.0,14.0,ATL 21,3.0,13.0,Desmond Ridder pass incomplete short right intended for Bijan Robinson,-1.15,-1.96,3.0,2023,34
2.0,1:04,4.0,14.0,ATL 21,3.0,13.0,"Bradley Pinion punts 52 yards, returned by Kalif Raymond for no gain (tackle by Troy Andersen). Penalty on Will Harris: Offensive Holding, 10 yards (accepted)",-1.96,0.06,3.0,2023,34
2.0,0:51,1.0,10.0,DET 17,3.0,13.0,Jared Goff pass complete deep left to Amon-Ra St. Brown for 20 yards (tackle by Tre Flowers),-0.06,1.4,3.0,2023,34
2.0,0:44,,,,,,Timeout #3 by Detroit Lions,,,3.0,2023,34
2.0,0:44,1.0,10.0,DET 37,3.0,13.0,Jared Goff pass incomplete short left,1.4,0.86,3.0,2023,34
2.0,0:39,2.0,10.0,DET 37,3.0,13.0,Jared Goff pass incomplete short middle intended for Kalif Raymond (defended by DeAundre Alford),0.86,0.17,3.0,2023,34
2.0,0:34,3.0,10.0,DET 37,3.0,13.0,Jared Goff pass incomplete short left intended for Sam LaPorta,0.17,-0.91,3.0,2023,34
2.0,0:29,4.0,10.0,DET 37,3.0,13.0,"Jack Fox punts 44 yards, returned by Mike Hughes for 1 yard (tackle by Jack Campbell)",-0.91,-0.28,3.0,2023,34
2.0,0:19,1.0,10.0,ATL 20,3.0,13.0,Desmond Ridder pass complete short right to Bijan Robinson for 7 yards (tackle by Brian Branch),0.28,0.68,3.0,2023,34
2.0,0:13,2.0,3.0,ATL 27,3.0,13.0,Desmond Ridder pass complete short middle to Bijan Robinson for 10 yards (tackle by Ifeatu Melifonwu),0.68,1.4,3.0,2023,34
2.0,0:06,,,,,,Timeout #2 by Atlanta Falcons,,,3.0,2023,34
2.0,0:06,1.0,10.0,ATL 37,3.0,13.0,Desmond Ridder pass complete short left to Jonnu Smith for 9 yards (tackle by Charles Harris),1.4,2.07,3.0,2023,34
2.0,0:01,2.0,1.0,ATL 46,3.0,13.0,Desmond Ridder sacked by Jack Campbell for -5 yards,2.07,0.7,3.0,2023,34
3.0,15:00,,,ATL 35,3.0,13.0,"Younghoe Koo kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,34
3.0,15:00,1.0,10.0,DET 25,3.0,13.0,Jared Goff pass complete short middle to Sam LaPorta for 7 yards (tackle by Kaden Elliss),0.61,1.01,3.0,2023,34
3.0,14:25,2.0,3.0,DET 32,3.0,13.0,Jared Goff pass complete short left to Jahmyr Gibbs for 2 yards (tackle by Troy Andersen),1.01,0.56,3.0,2023,34
3.0,13:49,3.0,1.0,DET 34,3.0,13.0,Jason Cabinda left tackle for no gain (tackle by Kaden Elliss and Arnold Ebiketie),0.56,-1.11,3.0,2023,34
3.0,13:09,4.0,1.0,DET 34,3.0,13.0,"Jack Fox punts 55 yards, returned by Mike Hughes for 8 yards (tackle by Jason Cabinda)",-1.11,-0.15,3.0,2023,34
3.0,12:59,1.0,10.0,ATL 19,3.0,13.0,Bijan Robinson right end for 4 yards (tackle by Derrick Barnes and John Cominsky),0.15,0.21,3.0,2023,34
3.0,12:16,2.0,6.0,ATL 23,3.0,13.0,"Bijan Robinson left tackle for 8 yards (tackle by Brian Branch and Alex Anzalone). Penalty on Brian Branch: Horse Collar Tackle, 15 yards (accepted)",0.21,1.99,3.0,2023,34
3.0,11:47,1.0,10.0,ATL 46,3.0,13.0,Tyler Allgeier left end for 5 yards (tackle by Jack Campbell),1.99,2.13,3.0,2023,34
3.0,11:10,2.0,5.0,DET 49,3.0,13.0,Desmond Ridder pass complete short right to Tyler Allgeier for 16 yards (tackle by Tracy Walker),2.13,3.38,3.0,2023,34
3.0,10:36,1.0,10.0,DET 33,3.0,13.0,Tyler Allgeier left end for -3 yards (tackle by Brian Branch),3.38,2.43,3.0,2023,34
3.0,9:51,2.0,13.0,DET 36,3.0,13.0,Desmond Ridder pass complete short left to Kyle Pitts for 7 yards (tackle by Alex Anzalone),2.43,2.68,3.0,2023,34
3.0,9:12,3.0,6.0,DET 29,3.0,13.0,Bijan Robinson left end for 1 yard (tackle by Aidan Hutchinson and Malcolm Rodriguez),2.68,1.63,3.0,2023,34
3.0,8:30,4.0,5.0,DET 28,3.0,13.0,Younghoe Koo 47 yard field goal no good,1.63,-1.4,3.0,2023,34
3.0,8:25,1.0,10.0,DET 37,3.0,13.0,Jahmyr Gibbs right tackle for 4 yards (tackle by AJ Terrell),1.4,1.4,3.0,2023,34
3.0,7:49,2.0,6.0,DET 41,3.0,13.0,Zonovan Knight right tackle for 3 yards (tackle by Zach Harrison and Troy Andersen),1.4,1.09,3.0,2023,34
3.0,7:13,3.0,3.0,DET 44,3.0,13.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 11 yards (tackle by Troy Andersen),1.09,2.59,3.0,2023,34
3.0,6:40,1.0,10.0,ATL 45,3.0,13.0,Jared Goff pass incomplete short left intended for Jahmyr Gibbs (defended by Bud Dupree),2.59,2.04,3.0,2023,34
3.0,6:35,2.0,10.0,ATL 45,3.0,13.0,"Jared Goff pass complete short middle to Amon-Ra St. Brown for no gain. Penalty on Penei Sewell: Offensive Holding, 10 yards (accepted) (no play)",2.04,0.69,3.0,2023,34
3.0,6:06,2.0,20.0,DET 45,3.0,13.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,0.69,0.04,3.0,2023,34
3.0,6:02,3.0,20.0,DET 45,3.0,13.0,Jahmyr Gibbs up the middle for 13 yards (tackle by Jaylinn Hawkins and Troy Andersen),0.04,0.46,3.0,2023,34
3.0,5:27,4.0,7.0,ATL 42,3.0,13.0,Jack Fox punts 25 yards downed by Brock Wright,0.46,0.06,3.0,2023,34
3.0,5:17,1.0,10.0,ATL 17,3.0,13.0,Desmond Ridder scrambles left end for 1 yard (tackle by Brian Branch),-0.06,-0.42,3.0,2023,34
3.0,4:40,2.0,9.0,ATL 18,3.0,13.0,"Desmond Ridder pass incomplete deep right intended for KhaDarel Hodge. Penalty on Jerry Jacobs: Defensive Pass Interference, 8 yards (accepted) (no play)",-0.42,0.67,3.0,2023,34
3.0,4:36,1.0,10.0,ATL 26,3.0,13.0,Bijan Robinson right tackle for 3 yards (tackle by Alim McNeill),0.67,0.54,3.0,2023,34
3.0,3:54,2.0,7.0,ATL 29,3.0,13.0,Desmond Ridder pass incomplete short middle intended for Jonnu Smith,0.54,-0.16,3.0,2023,34
3.0,3:51,3.0,7.0,ATL 29,3.0,13.0,Desmond Ridder pass incomplete short left intended for Mack Hollins (defended by Ifeatu Melifonwu),-0.16,-1.44,3.0,2023,34
3.0,3:46,4.0,7.0,ATL 29,3.0,13.0,Bradley Pinion punts 46 yards out of bounds,-1.44,-0.61,3.0,2023,34
3.0,3:39,1.0,10.0,DET 25,3.0,13.0,"Jahmyr Gibbs left tackle for no gain. Penalty on Frank Ragnow: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,3.0,2023,34
3.0,3:17,1.0,20.0,DET 15,3.0,13.0,Jared Goff pass complete short right to Sam LaPorta for 7 yards (tackle by AJ Terrell),-0.41,-0.34,3.0,2023,34
3.0,2:45,2.0,13.0,DET 22,3.0,13.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by DeAundre Alford),-0.34,-0.23,3.0,2023,34
3.0,2:03,3.0,7.0,DET 28,3.0,13.0,Jared Goff pass incomplete deep left intended for Sam LaPorta,-0.23,-1.5,3.0,2023,34
3.0,1:58,4.0,7.0,DET 28,3.0,13.0,"Jack Fox punts 37 yards, fair catch by Mike Hughes at ATL-35",-1.5,-1.27,3.0,2023,34
3.0,1:50,1.0,10.0,ATL 35,3.0,13.0,Desmond Ridder sacked by Charles Harris for -7 yards,1.27,-0.22,3.0,2023,34
3.0,1:09,2.0,17.0,ATL 28,3.0,13.0,"Desmond Ridder pass incomplete short right intended for Jonnu Smith (defended by Romeo Okwara) DET challenged the pass completion ruling, and the play was upheld.",-0.22,-0.89,3.0,2023,34
3.0,1:05,3.0,17.0,ATL 28,3.0,13.0,Desmond Ridder pass incomplete deep left intended for Mack Hollins,-0.89,-1.5,3.0,2023,34
3.0,1:01,4.0,17.0,ATL 28,3.0,13.0,"Bradley Pinion punts 39 yards, fair catch by Kalif Raymond at DET-33. Penalty on Will Harris: Face Mask (15 Yards), 15 yards (accepted)",-1.5,-0.04,3.0,2023,34
3.0,0:54,1.0,10.0,DET 18,3.0,13.0,Jahmyr Gibbs left end for no gain (tackle by Calais Campbell),0.04,-0.49,3.0,2023,34
3.0,0:16,2.0,10.0,DET 18,3.0,13.0,Jared Goff pass incomplete short left intended for Sam LaPorta (defended by Tre Flowers),-0.49,-1.17,3.0,2023,34
3.0,0:09,3.0,10.0,DET 18,3.0,13.0,Jared Goff pass deep middle intended for Amon-Ra St. Brown is intercepted by Jessie Bates at DET-43 and returned for no gain (tackle by Amon-Ra St. Brown),-1.17,-2.72,3.0,2023,34
4.0,15:00,1.0,10.0,DET 43,3.0,13.0,Tyler Allgeier up the middle for 4 yards (tackle by Brian Branch and Derrick Barnes),2.72,2.72,3.0,2023,34
4.0,14:14,2.0,6.0,DET 39,3.0,13.0,Tyler Allgeier left end for 2 yards (tackle by Jerry Jacobs and Jack Campbell),2.72,2.28,3.0,2023,34
4.0,13:50,3.0,4.0,DET 37,3.0,13.0,Desmond Ridder pass incomplete short left intended for Drake London,2.28,0.79,3.0,2023,34
4.0,13:46,4.0,4.0,DET 37,3.0,13.0,Desmond Ridder pass incomplete short left intended for Drake London,0.79,-1.47,3.0,2023,34
4.0,13:42,1.0,10.0,DET 38,3.0,13.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 17 yards (tackle by Troy Andersen),1.47,2.59,3.0,2023,34
4.0,13:10,1.0,10.0,ATL 45,3.0,13.0,Jahmyr Gibbs left tackle for 4 yards (tackle by Lorenzo Carter),2.59,2.58,3.0,2023,34
4.0,12:29,2.0,6.0,ATL 41,3.0,13.0,Jahmyr Gibbs left tackle for 12 yards (tackle by DeAundre Alford and Jessie Bates),2.58,3.64,3.0,2023,34
4.0,11:54,1.0,10.0,ATL 29,3.0,13.0,Jahmyr Gibbs left tackle for 21 yards (tackle by Tre Flowers),3.64,5.37,3.0,2023,34
4.0,11:10,1.0,8.0,ATL 8,3.0,13.0,Jahmyr Gibbs right tackle for no gain (tackle by Bud Dupree and Jessie Bates),5.37,4.57,3.0,2023,34
4.0,10:32,2.0,8.0,ATL 8,3.0,13.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 5 yards (tackle by Tre Flowers),4.57,4.72,3.0,2023,34
4.0,9:54,3.0,3.0,ATL 3,3.0,19.0,"Jared Goff left end for 3 yards, touchdown",4.72,7.0,3.0,2023,34
4.0,9:50,,,ATL 15,3.0,20.0,Riley Patterson kicks extra point good,0.0,0.0,3.0,2023,34
4.0,9:50,,,DET 35,3.0,20.0,"Jack Fox kicks off 64 yards, returned by Mike Hughes for 17 yards (tackle by Malcolm Rodriguez)",0.0,0.04,3.0,2023,34
4.0,9:47,1.0,10.0,ATL 18,3.0,20.0,Desmond Ridder pass incomplete short right intended for Tyler Allgeier,0.04,-0.49,3.0,2023,34
4.0,9:42,2.0,10.0,ATL 18,3.0,20.0,Kyle Pitts left end for -4 yards (tackle by Brian Branch),-0.49,-1.82,3.0,2023,34
4.0,9:01,3.0,14.0,ATL 14,3.0,20.0,Desmond Ridder pass complete deep right to Mack Hollins for 23 yards (tackle by Jerry Jacobs),-1.82,1.4,3.0,2023,34
4.0,8:39,1.0,10.0,ATL 37,3.0,20.0,Desmond Ridder pass complete short middle to Kyle Pitts for 5 yards (tackle by Jerry Jacobs and Tracy Walker),1.4,1.53,3.0,2023,34
4.0,8:26,2.0,5.0,ATL 42,3.0,20.0,Desmond Ridder pass incomplete short middle intended for Bijan Robinson (defended by Aidan Hutchinson),1.53,0.83,3.0,2023,34
4.0,8:21,3.0,5.0,ATL 42,3.0,20.0,"Desmond Ridder pass incomplete short right intended for Mack Hollins. Penalty on Jerry Jacobs: Defensive Pass Interference, 11 yards (accepted) (no play)",0.83,2.46,3.0,2023,34
4.0,8:17,1.0,10.0,DET 47,3.0,20.0,Bijan Robinson left end for 1 yard (tackle by Brian Branch),2.46,2.05,3.0,2023,34
4.0,7:56,2.0,9.0,DET 46,3.0,20.0,Desmond Ridder pass complete short left to MyCole Pruitt for 10 yards (tackle by Cameron Sutton),2.05,3.18,3.0,2023,34
4.0,7:25,1.0,10.0,DET 36,3.0,20.0,Desmond Ridder pass incomplete short right intended for Kyle Pitts,3.18,2.64,3.0,2023,34
4.0,7:18,2.0,10.0,DET 36,3.0,20.0,Desmond Ridder pass complete short right to Jonnu Smith for 8 yards (tackle by Jerry Jacobs),2.64,3.01,3.0,2023,34
4.0,6:56,3.0,2.0,DET 28,3.0,20.0,Tyler Allgeier up the middle for 2 yards (tackle by Jack Campbell and Alim McNeill),3.01,3.84,3.0,2023,34
4.0,6:34,1.0,10.0,DET 26,3.0,20.0,Desmond Ridder sacked by Aidan Hutchinson for -7 yards,3.84,2.35,3.0,2023,34
4.0,5:57,2.0,17.0,DET 33,3.0,20.0,Desmond Ridder pass complete short middle to Jonnu Smith for 11 yards (tackle by Ifeatu Melifonwu),2.35,3.14,3.0,2023,34
4.0,5:45,3.0,6.0,DET 22,3.0,20.0,Desmond Ridder pass complete short left to KhaDarel Hodge for 15 yards (tackle by Tracy Walker and Alex Anzalone),3.14,5.6,3.0,2023,34
4.0,5:18,1.0,7.0,DET 7,3.0,20.0,Desmond Ridder pass incomplete short left intended for Drake London,5.6,4.76,3.0,2023,34
4.0,5:15,2.0,7.0,DET 7,3.0,20.0,"Penalty on ATL: Delay of Game, 5 yards (accepted) (no play)",4.76,3.86,3.0,2023,34
4.0,5:15,2.0,12.0,DET 12,3.0,20.0,Desmond Ridder pass complete short left to Drake London for 3 yards (tackle by Brian Branch),3.86,3.36,3.0,2023,34
4.0,4:54,3.0,9.0,DET 9,3.0,20.0,Desmond Ridder pass complete short middle to Kyle Pitts for 3 yards (tackle by Jerry Jacobs),3.36,2.99,3.0,2023,34
4.0,4:22,4.0,6.0,DET 6,6.0,20.0,Younghoe Koo 24 yard field goal good,2.99,3.0,3.0,2023,34
4.0,4:19,,,ATL 35,6.0,20.0,"Younghoe Koo kicks off 62 yards,",0.0,0.61,3.0,2023,34
4.0,4:19,1.0,10.0,DET 25,6.0,20.0,Craig Reynolds right tackle for 8 yards (tackle by Richie Grant and David Onyemata),0.61,1.14,3.0,2023,34
4.0,3:32,,,,,,Timeout #2 by Detroit Lions,,,3.0,2023,34
4.0,3:32,2.0,2.0,DET 33,6.0,20.0,"Craig Reynolds for 4 yards. Penalty on David Onyemata: Defensive Holding, 5 yards (offset) . Penalty on Josh Reynolds: Offensive Holding, 10 yards (offset) (no play)",1.14,1.14,3.0,2023,34
4.0,3:26,2.0,2.0,DET 33,6.0,20.0,Craig Reynolds left tackle for 4 yards (tackle by Grady Jarrett),1.14,1.4,3.0,2023,34
4.0,2:41,1.0,10.0,DET 37,6.0,20.0,Jahmyr Gibbs left end for 1 yard (tackle by Tre Flowers and Jessie Bates),1.4,0.99,3.0,2023,34
4.0,2:35,,,,,,Timeout #1 by Atlanta Falcons,,,3.0,2023,34
4.0,2:35,2.0,9.0,DET 38,6.0,20.0,Craig Reynolds left end for -1 yards (tackle by Grady Jarrett and Nathan Landman),0.99,0.17,3.0,2023,34
4.0,2:30,,,,,,Timeout #2 by Atlanta Falcons,,,3.0,2023,34
4.0,2:30,3.0,10.0,DET 37,6.0,20.0,Amon-Ra St. Brown left end for 4 yards (tackle by David Onyemata and Nathan Landman),0.17,-0.65,3.0,2023,34
