Quarter,Time,Down,ToGo,Location,SFO,PIT,Detail,EPB,EPA,week,year,game_id
1.0,5:37,2.0,14.0,PIT 30,7.0,0.0,Brock Purdy pass incomplete short middle intended for Jauan Jennings (defended by Patrick Peterson),2.76,2.08,1.0,2023,9
1.0,5:32,3.0,14.0,PIT 30,7.0,0.0,Brock Purdy pass complete short right to George Kittle for 2 yards (tackle by Damontae Kazee and Keanu Neal),2.08,1.67,1.0,2023,9
1.0,4:41,,,,,,Timeout #1 by Pittsburgh Steelers,,,1.0,2023,9
1.0,4:41,4.0,12.0,PIT 27,7.0,0.0,"Penalty on Patrick Peterson: Defensive Offside, 5 yards (accepted) (no play)",1.67,1.99,1.0,2023,9
1.0,4:41,4.0,7.0,PIT 22,10.0,0.0,Jake Moody 41 yard field goal good,1.99,3.0,1.0,2023,9
1.0,4:38,,,SFO 35,10.0,0.0,"Mitch Wishnowsky kicks off 65 yards, returned by Anthony McFarland for 32 yards (tackle by Curtis Robinson)",0.0,1.07,1.0,2023,9
1.0,4:32,1.0,10.0,PIT 32,10.0,0.0,Kenny Pickett pass complete short left to Allen Robinson for 2 yards (tackle by Deommodore Lenoir),1.07,0.8,1.0,2023,9
1.0,3:58,2.0,8.0,PIT 34,10.0,0.0,Najee Harris left guard for no gain (tackle by Javon Hargrave),0.8,0.1,1.0,2023,9
1.0,3:22,3.0,8.0,PIT 34,10.0,0.0,Kenny Pickett pass incomplete deep middle intended for Diontae Johnson,0.1,-1.11,1.0,2023,9
1.0,3:16,4.0,8.0,PIT 34,10.0,0.0,"Penalty on Elandon Roberts: False Start, 5 yards (accepted) (no play)",-1.11,-1.44,1.0,2023,9
1.0,3:16,4.0,13.0,PIT 29,10.0,0.0,"Pressley Harvin punts 54 yards, returned by Ray-Ray McCloud for 15 yards (tackle by Christian Kuntz and Miles Killebrew)",-1.44,-1.07,1.0,2023,9
1.0,3:05,,,,,,Timeout #1 by San Francisco 49ers,,,1.0,2023,9
1.0,3:05,1.0,10.0,SFO 32,10.0,0.0,"Brock Purdy pass complete short middle to Christian McCaffrey for 7 yards. Christian McCaffrey fumbles (forced by Cole Holcomb) (tackle by Kwon Alexander), recovered by Christian McCaffrey at SF-39 (tackle by Kwon Alexander) (tackle by Cole Holcomb) (tackle by Cole Holcomb)",1.07,1.47,1.0,2023,9
1.0,2:36,2.0,3.0,SFO 39,10.0,0.0,Christian McCaffrey right tackle for 5 yards (tackle by Cole Holcomb),1.47,1.86,1.0,2023,9
1.0,2:01,1.0,10.0,SFO 44,10.0,0.0,Brock Purdy pass incomplete short middle intended for George Kittle (defended by Patrick Peterson),1.86,1.32,1.0,2023,9
1.0,1:57,2.0,10.0,SFO 44,10.0,0.0,Christian McCaffrey up the middle for 11 yards (tackle by Minkah Fitzpatrick and DeMarvin Leal),1.32,2.59,1.0,2023,9
1.0,1:17,1.0,10.0,PIT 45,10.0,0.0,Elijah Mitchell right tackle for 1 yard (tackle by T.J. Watt),2.59,2.18,1.0,2023,9
1.0,0:37,2.0,9.0,PIT 44,10.0,0.0,Brock Purdy pass complete short middle to Brandon Aiyuk for 10 yards (tackle by Kwon Alexander),2.18,3.31,1.0,2023,9
1.0,0:06,1.0,10.0,PIT 34,10.0,0.0,"Penalty on Spencer Burford: False Start, 5 yards (accepted) (no play)",3.31,2.98,1.0,2023,9
2.0,15:00,1.0,15.0,PIT 39,10.0,0.0,Brock Purdy pass complete deep middle to Deebo Samuel for 22 yards (tackle by Damontae Kazee),2.98,4.44,1.0,2023,9
2.0,14:18,1.0,10.0,PIT 17,10.0,0.0,Christian McCaffrey left end for -2 yards (tackle by Kwon Alexander and Alex Highsmith),4.44,3.6,1.0,2023,9
2.0,13:36,2.0,12.0,PIT 19,16.0,0.0,"Brock Purdy pass complete deep right to Brandon Aiyuk for 19 yards, touchdown",3.6,7.0,1.0,2023,9
2.0,13:30,,,PIT 15,17.0,0.0,Jake Moody kicks extra point good,0.0,0.0,1.0,2023,9
2.0,13:30,,,SFO 35,17.0,0.0,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,9
2.0,13:30,1.0,10.0,PIT 25,17.0,0.0,"Kenny Pickett pass complete short right to Jaylen Warren for -5 yards (tackle by Talanoa Hufanga). Penalty on Chukwuma Okorafor: Offensive Holding, 10 yards (declined)",0.61,-0.61,1.0,2023,9
2.0,13:10,2.0,15.0,PIT 20,17.0,0.0,Kenny Pickett pass incomplete short left intended for Allen Robinson,-0.61,-1.29,1.0,2023,9
2.0,13:05,3.0,15.0,PIT 20,17.0,0.0,"Penalty on Isaac Seumalo: False Start, 5 yards (accepted) (no play)",-1.29,-2.35,1.0,2023,9
2.0,13:05,3.0,20.0,PIT 15,17.0,0.0,Kenny Pickett sacked by Drake Jackson for no gain,-2.35,-2.44,1.0,2023,9
2.0,12:30,4.0,20.0,PIT 15,17.0,0.0,"Pressley Harvin punts 57 yards, returned by Ray-Ray McCloud for 7 yards (tackle by Christian Kuntz and Elijah Riley). Penalty on Christian Kuntz: Offensive Facemask, 15 yards (accepted)",-2.44,-2.26,1.0,2023,9
2.0,12:17,1.0,10.0,SFO 50,17.0,0.0,"Christian McCaffrey left guard for no gain (tackle by DeMarvin Leal and Larry Ogunjobi). Penalty on Deebo Samuel: Illegal Motion, 5 yards (accepted) (no play)",2.26,1.93,1.0,2023,9
2.0,11:53,1.0,15.0,SFO 45,17.0,0.0,Christian McCaffrey up the middle for 1 yard (tackle by Markus Golden),1.93,1.17,1.0,2023,9
2.0,11:16,2.0,14.0,SFO 46,17.0,0.0,Brock Purdy pass complete short middle to Deebo Samuel for 7 yards (tackle by Kwon Alexander),1.17,1.42,1.0,2023,9
2.0,10:20,3.0,7.0,PIT 47,17.0,0.0,"Brock Purdy pass complete deep right to Brandon Aiyuk for 16 yards (tackle by Kwon Alexander and Keanu Neal). Penalty on Levi Wallace: Unnecessary Roughness / Defense, 15 yards (accepted)",1.42,4.51,1.0,2023,9
2.0,9:52,1.0,10.0,PIT 16,17.0,0.0,Christian McCaffrey left end for 3 yards (tackle by Elandon Roberts),4.51,4.39,1.0,2023,9
2.0,9:10,2.0,7.0,PIT 13,17.0,0.0,"Brock Purdy sacked by T.J. Watt for no gain. Brock Purdy fumbles (forced by T.J. Watt), recovered by Brock Purdy at PIT-13 (tackle by T.J. Watt) PIT challenged the loose ball recovery ruling, and the play was upheld.",4.39,3.54,1.0,2023,9
2.0,8:32,3.0,7.0,PIT 13,17.0,0.0,"Brock Purdy pass incomplete short left intended for George Kittle (defended by Isaiahh Loudermilk). Penalty on Trent Williams: Offensive Holding, 10 yards (declined)",3.54,2.57,1.0,2023,9
2.0,8:26,4.0,7.0,PIT 13,20.0,0.0,Jake Moody 32 yard field goal good,2.57,3.0,1.0,2023,9
2.0,8:22,,,SFO 35,20.0,0.0,"Mitch Wishnowsky kicks off 63 yards, returned by Anthony McFarland for 34 yards (tackle by Isaiah Oliver)",0.0,1.33,1.0,2023,9
2.0,8:17,1.0,10.0,PIT 36,20.0,0.0,Jaylen Warren left tackle for 1 yard (tackle by Nick Bosa),1.33,0.93,1.0,2023,9
2.0,7:44,2.0,9.0,PIT 37,20.0,0.0,Jaylen Warren left end for 3 yards (tackle by Fred Warner),0.93,0.63,1.0,2023,9
2.0,7:05,3.0,6.0,PIT 40,20.0,0.0,Kenny Pickett pass incomplete short right intended for Pat Freiermuth,0.63,-0.72,1.0,2023,9
2.0,7:00,4.0,6.0,PIT 40,20.0,0.0,Pressley Harvin punts 36 yards out of bounds,-0.72,-0.54,1.0,2023,9
2.0,6:53,1.0,10.0,SFO 24,20.0,0.0,Brock Purdy scrambles left end for 4 yards (tackle by Kwon Alexander),0.54,0.54,1.0,2023,9
2.0,6:19,2.0,6.0,SFO 28,20.0,0.0,Brock Purdy pass incomplete short right intended for Christian McCaffrey (defended by T.J. Watt),0.54,-0.16,1.0,2023,9
2.0,6:13,3.0,6.0,SFO 28,20.0,0.0,Brock Purdy pass complete short right to Christian McCaffrey for 7 yards (tackle by Kwon Alexander),-0.16,1.27,1.0,2023,9
2.0,5:27,1.0,10.0,SFO 35,20.0,0.0,Deebo Samuel left end for 5 yards (tackle by Alex Highsmith),1.27,1.4,1.0,2023,9
2.0,4:48,2.0,5.0,SFO 40,20.0,0.0,Elijah Mitchell left tackle for 4 yards (tackle by Larry Ogunjobi),1.4,1.22,1.0,2023,9
2.0,4:01,,,,,,Timeout #2 by San Francisco 49ers,,,1.0,2023,9
2.0,4:01,3.0,1.0,SFO 44,20.0,0.0,Christian McCaffrey left end for 7 yards (tackle by Elandon Roberts),1.22,2.32,1.0,2023,9
2.0,3:27,1.0,10.0,PIT 49,20.0,0.0,Christian McCaffrey left guard for 2 yards (tackle by Elandon Roberts and Keeanu Benton),2.32,2.05,1.0,2023,9
2.0,2:44,2.0,8.0,PIT 47,20.0,0.0,Brock Purdy pass complete short left to Deebo Samuel for 10 yards (tackle by Levi Wallace),2.05,3.12,1.0,2023,9
2.0,2:00,1.0,10.0,PIT 37,20.0,0.0,Brock Purdy pass incomplete short middle intended for George Kittle,3.12,2.57,1.0,2023,9
2.0,1:55,2.0,10.0,PIT 37,20.0,0.0,Brock Purdy pass incomplete deep left intended for Deebo Samuel (defended by Isaiahh Loudermilk),2.57,1.88,1.0,2023,9
2.0,1:50,,,,,,Timeout #3 by Pittsburgh Steelers,,,1.0,2023,9
2.0,1:50,3.0,10.0,PIT 37,20.0,0.0,"Penalty on Jake Brendel: False Start, 5 yards (accepted) (no play)",1.88,1.22,1.0,2023,9
2.0,1:50,3.0,15.0,PIT 42,20.0,0.0,Brock Purdy pass incomplete short left,1.22,0.46,1.0,2023,9
2.0,1:43,4.0,15.0,PIT 42,20.0,0.0,Mitch Wishnowsky punts 37 yards downed by Samuel Womack,0.46,0.38,1.0,2023,9
2.0,1:35,1.0,10.0,PIT 5,20.0,0.0,"Kenny Pickett pass complete to George Pickens for 10 yards Replay Assistant challenged the first down ruling, and the original play was overturned. Kenny Pickett pass complete short left to George Pickens for 9 yards (tackle by Ambry Thomas)",-0.38,-0.1,1.0,2023,9
2.0,1:31,2.0,1.0,PIT 14,20.0,0.0,Kenny Pickett pass incomplete deep right intended for George Pickens,-0.1,-0.37,1.0,2023,9
2.0,1:24,3.0,1.0,PIT 14,20.0,0.0,"Najee Harris right guard for 24 yards (tackle by Talanoa Hufanga). Penalty on Deommodore Lenoir: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.37,2.46,1.0,2023,9
2.0,1:16,1.0,10.0,SFO 47,20.0,0.0,Kenny Pickett pass complete short left to Allen Robinson for 9 yards (tackle by Deommodore Lenoir),2.46,3.13,1.0,2023,9
2.0,0:56,2.0,1.0,SFO 38,20.0,0.0,Kenny Pickett pass complete short left to Diontae Johnson for 15 yards (tackle by Ambry Thomas),3.13,4.04,1.0,2023,9
2.0,0:51,1.0,10.0,SFO 23,20.0,0.0,Kenny Pickett pass complete short left to Diontae Johnson for 7 yards (tackle by Deommodore Lenoir),4.04,4.56,1.0,2023,9
2.0,0:46,2.0,3.0,SFO 16,20.0,0.0,Kenny Pickett pass incomplete deep middle intended for Pat Freiermuth (defended by Ambry Thomas),4.56,3.85,1.0,2023,9
2.0,0:42,3.0,3.0,SFO 16,20.0,0.0,Kenny Pickett pass incomplete short middle intended for Diontae Johnson,3.85,2.48,1.0,2023,9
2.0,0:39,,,,,,Timeout #3 by San Francisco 49ers,,,1.0,2023,9
2.0,0:39,4.0,3.0,SFO 16,20.0,0.0,Kenny Pickett pass complete short left to Anthony McFarland for 5 yards (tackle by Ambry Thomas),2.48,4.84,1.0,2023,9
2.0,0:24,1.0,10.0,SFO 11,20.0,0.0,Kenny Pickett spiked the ball,4.84,4.14,1.0,2023,9
2.0,0:23,2.0,10.0,SFO 11,20.0,0.0,Kenny Pickett pass complete short left to George Pickens for 4 yards (tackle by Ambry Thomas),4.14,3.98,1.0,2023,9
2.0,0:18,3.0,6.0,SFO 7,20.0,0.0,"Kenny Pickett pass incomplete intended for Diontae Johnson. Penalty on Deommodore Lenoir: Illegal Contact, 4 yards (accepted) (no play)",3.98,6.51,1.0,2023,9
2.0,0:13,1.0,3.0,SFO 3,20.0,6.0,"Kenny Pickett pass complete short left to Pat Freiermuth for 3 yards, touchdown",6.51,7.0,1.0,2023,9
2.0,0:10,,,SFO 15,20.0,7.0,Chris Boswell kicks extra point good,0.0,0.0,1.0,2023,9
2.0,0:10,,,PIT 35,20.0,7.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,9
2.0,0:10,1.0,10.0,SFO 25,20.0,7.0,Brock Purdy kneels for -1 yards,0.61,-0.07,1.0,2023,9
3.0,15:00,,,PIT 35,20.0,7.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,9
3.0,15:00,1.0,10.0,SFO 25,20.0,7.0,Brock Purdy pass complete short left to Deebo Samuel for 10 yards (tackle by Kwon Alexander),0.61,1.27,1.0,2023,9
3.0,14:15,1.0,10.0,SFO 35,26.0,7.0,"Christian McCaffrey left tackle for 65 yards, touchdown",1.27,7.0,1.0,2023,9
3.0,14:02,,,PIT 15,27.0,7.0,Jake Moody kicks extra point good,0.0,0.0,1.0,2023,9
3.0,14:02,,,SFO 35,27.0,7.0,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,9
3.0,14:02,1.0,10.0,PIT 25,27.0,7.0,Kenny Pickett pass complete short right to Diontae Johnson for 26 yards (tackle by Tashaun Gipson),0.61,2.32,1.0,2023,9
3.0,13:33,1.0,10.0,SFO 49,27.0,7.0,Kenny Pickett pass complete short right to Jaylen Warren for 2 yards (tackle by Fred Warner),2.32,2.05,1.0,2023,9
3.0,12:55,2.0,8.0,SFO 47,27.0,7.0,Jaylen Warren up the middle for 2 yards (tackle by Javon Hargrave and Clelin Ferrell),2.05,1.62,1.0,2023,9
3.0,12:15,3.0,6.0,SFO 45,27.0,7.0,Kenny Pickett pass incomplete short right intended for Allen Robinson,1.62,0.27,1.0,2023,9
3.0,12:07,4.0,6.0,SFO 45,27.0,7.0,"Pressley Harvin punts 28 yards, fair catch by Ray-Ray McCloud at SF-17",0.27,0.06,1.0,2023,9
3.0,12:00,1.0,10.0,SFO 17,27.0,7.0,Brock Purdy pass complete deep middle to Brandon Aiyuk for 16 yards (tackle by Damontae Kazee),-0.06,1.14,1.0,2023,9
3.0,11:19,1.0,10.0,SFO 33,27.0,7.0,Christian McCaffrey up the middle for 3 yards (tackle by Alex Highsmith),1.14,1.0,1.0,2023,9
3.0,10:34,2.0,7.0,SFO 36,27.0,7.0,Christian McCaffrey left tackle for -1 yards (tackle by Alex Highsmith),1.0,0.17,1.0,2023,9
3.0,9:52,3.0,8.0,SFO 35,27.0,7.0,Brock Purdy pass complete short left to Brandon Aiyuk for 15 yards (tackle by Damontae Kazee),0.17,2.26,1.0,2023,9
3.0,9:11,1.0,10.0,SFO 50,27.0,7.0,Christian McCaffrey right tackle for 1 yard (tackle by Markus Golden and Nick Herbig),2.26,1.85,1.0,2023,9
3.0,8:31,2.0,9.0,PIT 49,27.0,7.0,Elijah Mitchell up the middle for 3 yards (tackle by DeMarvin Leal),1.85,1.55,1.0,2023,9
3.0,7:52,3.0,6.0,PIT 46,27.0,7.0,Brock Purdy sacked by T.J. Watt for -9 yards,1.55,-0.39,1.0,2023,9
3.0,7:14,4.0,15.0,SFO 45,27.0,7.0,"Penalty on Samuel Womack: False Start, 5 yards (accepted) (no play)",-0.39,-0.72,1.0,2023,9
3.0,7:06,4.0,20.0,SFO 40,27.0,7.0,"Mitch Wishnowsky punts 56 yards, returned by Calvin Austin for 2 yards (tackle by Samuel Womack)",-0.72,0.38,1.0,2023,9
3.0,6:54,1.0,10.0,PIT 6,27.0,7.0,Kenny Pickett pass complete short left to Calvin Austin for 4 yards (tackle by Deommodore Lenoir),-0.38,-0.49,1.0,2023,9
3.0,6:21,2.0,6.0,PIT 10,27.0,7.0,Najee Harris left end for 2 yards (tackle by Javon Kinlaw),-0.49,-0.72,1.0,2023,9
3.0,5:58,3.0,4.0,PIT 12,27.0,7.0,Kenny Pickett pass incomplete short left intended for Allen Robinson,-0.72,-2.49,1.0,2023,9
3.0,5:54,4.0,4.0,PIT 12,27.0,7.0,"Pressley Harvin punts 45 yards, returned by Ray-Ray McCloud for 19 yards (tackle by Miles Killebrew)",-2.49,-3.05,1.0,2023,9
3.0,5:42,1.0,10.0,PIT 38,27.0,7.0,"Brock Purdy sacked by T.J. Watt for -8 yards. Brock Purdy fumbles (forced by T.J. Watt), recovered by T.J. Watt at PIT-46",3.05,-1.99,1.0,2023,9
3.0,5:35,1.0,10.0,PIT 46,27.0,7.0,"Penalty on Spencer Burford: Offensive Facemask, 15 yards (accepted) (no play)",1.99,2.98,1.0,2023,9
3.0,5:35,1.0,10.0,SFO 39,27.0,7.0,Kenny Pickett pass complete short right to Najee Harris for 4 yards (tackle by Dre Greenlaw and Isaiah Oliver),2.98,2.98,1.0,2023,9
3.0,4:53,2.0,6.0,SFO 35,27.0,7.0,"Kenny Pickett pass incomplete short right intended for Calvin Austin. Penalty on Charvarius Ward: Defensive Pass Interference, 11 yards (accepted) (no play)",2.98,3.97,1.0,2023,9
3.0,4:48,1.0,10.0,SFO 24,27.0,7.0,Kenny Pickett pass complete short right to Connor Heyward for 8 yards (tackle by Charvarius Ward and Dre Greenlaw),3.97,4.65,1.0,2023,9
3.0,4:18,2.0,2.0,SFO 16,27.0,7.0,Kenny Pickett pass incomplete deep right intended for Connor Heyward,4.65,3.95,1.0,2023,9
3.0,4:10,,,,,,Timeout #1 by Pittsburgh Steelers,,,1.0,2023,9
3.0,4:10,3.0,2.0,SFO 16,27.0,7.0,Najee Harris up the middle for 2 yards (tackle by Talanoa Hufanga and Fred Warner),3.95,4.65,1.0,2023,9
3.0,3:34,1.0,10.0,SFO 14,27.0,7.0,Kenny Pickett pass incomplete short right intended for George Pickens,4.65,4.0,1.0,2023,9
3.0,3:29,2.0,10.0,SFO 14,27.0,7.0,Kenny Pickett pass complete short right to Anthony McFarland for 6 yards (tackle by Dre Greenlaw),4.0,4.28,1.0,2023,9
3.0,2:52,3.0,4.0,SFO 8,27.0,7.0,Kenny Pickett pass complete short right to Jaylen Warren for no gain (tackle by Charvarius Ward and Nick Bosa),4.28,2.98,1.0,2023,9
3.0,2:06,4.0,4.0,SFO 8,27.0,7.0,Kenny Pickett pass incomplete short middle intended for Pat Freiermuth,2.98,0.38,1.0,2023,9
3.0,2:02,1.0,10.0,SFO 8,27.0,7.0,Christian McCaffrey left guard for 11 yards (tackle by Keanu Neal),-0.38,0.15,1.0,2023,9
3.0,1:20,1.0,10.0,SFO 19,27.0,7.0,Christian McCaffrey up the middle for 3 yards (tackle by Montravius Adams and Alex Highsmith),0.15,0.07,1.0,2023,9
3.0,0:37,2.0,7.0,SFO 22,27.0,7.0,Brock Purdy pass complete short right to Christian McCaffrey for 3 yards (tackle by Markus Golden),0.07,-0.29,1.0,2023,9
4.0,15:00,3.0,4.0,SFO 25,27.0,7.0,Brock Purdy pass complete short left to Brandon Aiyuk for 22 yards (tackle by Levi Wallace and Cole Holcomb),-0.29,2.06,1.0,2023,9
4.0,14:19,1.0,10.0,SFO 47,27.0,7.0,Christian McCaffrey left tackle for 3 yards (tackle by Keeanu Benton),2.06,1.92,1.0,2023,9
4.0,13:38,2.0,7.0,SFO 50,27.0,7.0,Christian McCaffrey left tackle for 5 yards (tackle by Alex Highsmith and Keeanu Benton),1.92,1.88,1.0,2023,9
4.0,12:57,3.0,2.0,PIT 45,27.0,7.0,Brock Purdy pass incomplete short right intended for Christian McCaffrey,1.88,0.27,1.0,2023,9
4.0,12:52,4.0,2.0,PIT 45,27.0,7.0,Mitch Wishnowsky punts 41 yards out of bounds,0.27,0.38,1.0,2023,9
4.0,12:44,1.0,10.0,PIT 4,27.0,7.0,Kenny Pickett pass complete short right to Calvin Austin for 9 yards (tackle by Charvarius Ward),-0.38,-0.12,1.0,2023,9
4.0,12:22,2.0,1.0,PIT 13,27.0,7.0,Kenny Pickett pass complete short left to Allen Robinson for 12 yards (tackle by Isaiah Oliver and Deommodore Lenoir),-0.12,0.61,1.0,2023,9
4.0,11:58,1.0,10.0,PIT 25,27.0,7.0,Kenny Pickett pass complete short left to Calvin Austin for 13 yards (tackle by Deommodore Lenoir),0.61,1.47,1.0,2023,9
4.0,11:32,1.0,10.0,PIT 38,27.0,7.0,Kenny Pickett pass complete short left to Najee Harris for -2 yards (tackle by Dre Greenlaw),1.47,0.65,1.0,2023,9
4.0,11:10,2.0,12.0,PIT 36,27.0,7.0,Kenny Pickett pass complete short left to Connor Heyward for 11 yards,0.65,1.42,1.0,2023,9
4.0,10:50,3.0,1.0,PIT 47,27.0,7.0,Najee Harris up the middle for 5 yards (tackle by Dre Greenlaw and Deommodore Lenoir),1.42,2.39,1.0,2023,9
4.0,10:23,1.0,10.0,SFO 48,27.0,7.0,"Kenny Pickett pass deep middle (defended by Fred Warner) intended for Connor Heyward is intercepted by Talanoa Hufanga at SF-26 and returned for 28 yards (tackle by Mason Cole). Penalty on Talanoa Hufanga: Illegal Forward Pass, 5 yards (accepted)",2.39,-2.19,1.0,2023,9
4.0,10:08,1.0,10.0,SFO 49,27.0,7.0,Christian McCaffrey left tackle for 6 yards (tackle by Elandon Roberts and Montravius Adams),2.19,2.46,1.0,2023,9
4.0,9:22,2.0,4.0,PIT 45,27.0,7.0,Christian McCaffrey left guard for 5 yards (tackle by Patrick Peterson and Isaiahh Loudermilk),2.46,2.92,1.0,2023,9
4.0,8:38,1.0,10.0,PIT 40,27.0,7.0,Christian McCaffrey up the middle for -1 yards (tackle by DeMarvin Leal and Alex Highsmith),2.92,2.24,1.0,2023,9
4.0,7:54,2.0,11.0,PIT 41,27.0,7.0,Brock Purdy pass incomplete short right intended for Elijah Mitchell,2.24,1.55,1.0,2023,9
4.0,7:50,3.0,11.0,PIT 41,27.0,7.0,Brock Purdy scrambles for 17 yards (tackle by Joey Porter),1.55,3.97,1.0,2023,9
4.0,7:03,1.0,10.0,PIT 24,27.0,7.0,Elijah Mitchell right guard for -1 yards (tackle by Elandon Roberts),3.97,3.3,1.0,2023,9
4.0,6:21,2.0,11.0,PIT 25,27.0,7.0,Elijah Mitchell up the middle for 3 yards (tackle by Cole Holcomb),3.3,3.01,1.0,2023,9
4.0,5:37,,,,,,Timeout #1 by San Francisco 49ers,,,1.0,2023,9
4.0,5:37,3.0,8.0,PIT 22,27.0,7.0,Brock Purdy pass incomplete short left intended for Deebo Samuel,3.01,1.99,1.0,2023,9
4.0,5:34,4.0,8.0,PIT 22,30.0,7.0,Jake Moody 40 yard field goal good,1.99,3.0,1.0,2023,9
4.0,5:30,,,SFO 35,30.0,7.0,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,9
4.0,5:30,1.0,10.0,PIT 25,30.0,7.0,Kenny Pickett pass incomplete short left intended for Jaylen Warren,0.61,0.06,1.0,2023,9
4.0,5:26,2.0,10.0,PIT 25,30.0,7.0,Kenny Pickett pass complete short left to George Pickens for 8 yards (tackle by Deommodore Lenoir),0.06,0.43,1.0,2023,9
4.0,4:46,3.0,2.0,PIT 33,30.0,7.0,"Kenny Pickett pass complete short middle to George Pickens for 9 yards (tackle by Fred Warner). Penalty on George Pickens: Unnecessary Roughness / Offense, 15 yards (accepted)",0.43,0.74,1.0,2023,9
4.0,4:46,1.0,10.0,PIT 27,30.0,7.0,Kenny Pickett scrambles for 4 yards (tackle by Talanoa Hufanga),0.74,0.74,1.0,2023,9
4.0,4:24,2.0,6.0,PIT 31,30.0,7.0,Kenny Pickett pass complete short left to Jaylen Warren for 9 yards (tackle by Isaiah Oliver and Fred Warner),0.74,1.6,1.0,2023,9
