Quarter,Time,Down,ToGo,Location,MIA,LAC,Detail,EPB,EPA,week,year,game_id
1.0,2:39,2.0,3.0,LAC 34,0.0,7.0,Tua Tagovailoa pass incomplete deep left intended for Durham Smythe,3.25,2.54,1.0,2023,12
1.0,2:31,3.0,3.0,LAC 34,0.0,7.0,"Erik Ezukanma left end for 5 yards (tackle by Alohi Gilman). Penalty on Connor Williams: Offensive Holding, 10 yards (accepted)",2.54,1.88,1.0,2023,12
1.0,2:20,3.0,8.0,LAC 39,0.0,7.0,"Tua Tagovailoa pass complete short left to Braxton Berrios for 11 yards (tackle by Asante Samuel and Michael Davis). Penalty on Joey Bosa: Face Mask (15 Yards), 14 yards (accepted)",1.88,4.65,1.0,2023,12
1.0,1:48,1.0,10.0,LAC 14,0.0,7.0,Raheem Mostert right guard for 12 yards (tackle by Alohi Gilman),4.65,6.74,1.0,2023,12
1.0,1:19,1.0,2.0,LAC 2,6.0,7.0,"Raheem Mostert left guard for 2 yards, touchdown",6.74,7.0,1.0,2023,12
1.0,1:15,,,LAC 15,7.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,1.0,2023,12
1.0,1:15,,,MIA 35,7.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
1.0,1:15,1.0,10.0,LAC 25,7.0,7.0,Justin Herbert pass complete short right to Mike Williams for 3 yards (tackle by Jevon Holland and Kader Kohou),0.61,0.47,1.0,2023,12
1.0,0:40,2.0,7.0,LAC 28,7.0,7.0,Justin Herbert pass complete short middle to Derius Davis for 5 yards (tackle by Jaelan Phillips),0.47,0.43,1.0,2023,12
2.0,15:00,3.0,2.0,LAC 33,7.0,7.0,"Penalty on Zion Johnson: False Start, 5 yards (accepted) (no play)",0.43,-0.23,1.0,2023,12
2.0,15:00,3.0,7.0,LAC 28,7.0,7.0,Justin Herbert pass incomplete short right intended for Joshua Kelley,-0.23,-1.5,1.0,2023,12
2.0,14:54,4.0,7.0,LAC 28,7.0,7.0,"JK Scott punts 49 yards, fair catch by Braxton Berrios at MIA-23",-1.5,-0.48,1.0,2023,12
2.0,14:46,1.0,10.0,MIA 23,7.0,7.0,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 29 yards (tackle by Alohi Gilman),0.48,2.39,1.0,2023,12
2.0,14:04,1.0,10.0,LAC 48,7.0,7.0,Tua Tagovailoa pass complete deep left to Tyreek Hill for 28 yards (tackle by Michael Davis),2.39,4.24,1.0,2023,12
2.0,13:21,1.0,10.0,LAC 20,7.0,7.0,Raheem Mostert up the middle for no gain (tackle by Eric Kendricks),4.24,3.69,1.0,2023,12
2.0,12:39,2.0,10.0,LAC 20,7.0,7.0,Tua Tagovailoa pass complete short left to Alec Ingold for 15 yards (tackle by JT Woods),3.69,6.06,1.0,2023,12
2.0,11:58,1.0,5.0,LAC 5,7.0,7.0,Tua Tagovailoa pass incomplete short left,6.06,5.15,1.0,2023,12
2.0,11:51,2.0,5.0,LAC 5,7.0,7.0,"Tua Tagovailoa pass complete short left to Tyreek Hill for no gain (tackle by J.C. Jackson) LAC challenged the pass completion ruling, and the original play was overturned. Tua Tagovailoa pass incomplete short left intended for Tyreek Hill",5.15,4.26,1.0,2023,12
2.0,11:50,3.0,5.0,LAC 5,7.0,7.0,Tua Tagovailoa pass incomplete short left intended for Durham Smythe (defended by Derwin James),4.26,3.01,1.0,2023,12
2.0,11:46,4.0,5.0,LAC 5,10.0,7.0,Jason Sanders 23 yard field goal good,3.01,3.0,1.0,2023,12
2.0,11:43,,,MIA 35,10.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
2.0,11:43,1.0,10.0,LAC 25,10.0,7.0,Austin Ekeler right guard for 4 yards (tackle by Jaelan Phillips and Zach Sieler),0.61,0.6,1.0,2023,12
2.0,11:11,2.0,6.0,LAC 29,10.0,7.0,Justin Herbert pass complete short middle to Austin Ekeler for 7 yards (tackle by Jerome Baker),0.6,1.33,1.0,2023,12
2.0,10:29,1.0,10.0,LAC 36,10.0,7.0,Austin Ekeler right guard for 55 yards (tackle by Jevon Holland),1.33,5.14,1.0,2023,12
2.0,9:53,1.0,9.0,MIA 9,10.0,7.0,"Justin Herbert pass complete to Keenan Allen for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Justin Herbert pass complete short left to Keenan Allen for 8 yards (tackle by David Long)",5.14,5.91,1.0,2023,12
2.0,9:49,2.0,1.0,MIA 1,10.0,7.0,Austin Ekeler right guard for no gain (tackle by Christian Wilkins and Jerome Baker),5.91,5.17,1.0,2023,12
2.0,9:11,3.0,1.0,MIA 1,10.0,13.0,"Justin Herbert pass complete short middle to Donald Parham for 1 yard, touchdown. Penalty on Kader Kohou: Defensive Offside, 5 yards (declined)",5.17,7.0,1.0,2023,12
2.0,9:07,,,MIA 15,10.0,14.0,Cameron Dicker kicks extra point good,0.0,0.0,1.0,2023,12
2.0,9:07,,,LAC 35,10.0,14.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
2.0,9:07,1.0,10.0,MIA 25,10.0,14.0,Tua Tagovailoa pass incomplete deep right intended for Jaylen Waddle (defended by Michael Davis),0.61,0.06,1.0,2023,12
2.0,9:01,2.0,10.0,MIA 25,10.0,14.0,Salvon Ahmed up the middle for 8 yards (tackle by Kenneth Murray),0.06,0.43,1.0,2023,12
2.0,8:21,3.0,2.0,MIA 33,10.0,14.0,Tua Tagovailoa pass incomplete short middle intended for Durham Smythe (defended by Eric Kendricks),0.43,-1.18,1.0,2023,12
2.0,8:16,4.0,2.0,MIA 33,10.0,14.0,"Jake Bailey punts 38 yards, returned by Derius Davis for 3 yards (tackle by Justin Bethel)",-1.18,-1.07,1.0,2023,12
2.0,8:08,1.0,10.0,LAC 32,10.0,14.0,Justin Herbert pass complete short middle to Keenan Allen for 7 yards (tackle by Xavien Howard),1.07,1.47,1.0,2023,12
2.0,7:57,2.0,3.0,LAC 39,10.0,14.0,Joshua Kelley right guard for 1 yard (tackle by Christian Wilkins),1.47,0.89,1.0,2023,12
2.0,7:24,3.0,2.0,LAC 40,10.0,14.0,Justin Herbert pass complete short middle to Quentin Johnston for -2 yards (tackle by Bradley Chubb and Christian Wilkins),0.89,-0.85,1.0,2023,12
2.0,6:46,4.0,4.0,LAC 38,10.0,14.0,"JK Scott punts 62 yards, touchback.",-0.85,-0.28,1.0,2023,12
2.0,6:34,1.0,10.0,MIA 20,10.0,14.0,Tua Tagovailoa pass complete short left to Durham Smythe for 18 yards (tackle by Alohi Gilman and Eric Kendricks),0.28,1.47,1.0,2023,12
2.0,5:52,1.0,10.0,MIA 38,10.0,14.0,Raheem Mostert right end for 1 yard (tackle by Khalil Mack),1.47,1.06,1.0,2023,12
2.0,5:08,2.0,9.0,MIA 39,10.0,14.0,Tua Tagovailoa pass complete deep left to Durham Smythe for 16 yards (tackle by Alohi Gilman and Kenneth Murray),1.06,2.59,1.0,2023,12
2.0,4:24,1.0,10.0,LAC 45,10.0,14.0,"Penalty on Isaiah Wynn: False Start, 5 yards (accepted) (no play)",2.59,2.26,1.0,2023,12
2.0,4:05,1.0,15.0,LAC 50,10.0,14.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 8 yards (tackle by Michael Davis),2.26,2.45,1.0,2023,12
2.0,3:24,2.0,7.0,LAC 42,10.0,14.0,Tua Tagovailoa pass incomplete short right intended for Durham Smythe (defended by Michael Davis),2.45,1.75,1.0,2023,12
2.0,3:14,,,,,,Timeout #1 by Los Angeles Chargers,,,1.0,2023,12
2.0,3:14,3.0,7.0,LAC 42,10.0,14.0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill (defended by J.C. Jackson),1.75,0.46,1.0,2023,12
2.0,3:09,4.0,7.0,LAC 42,10.0,14.0,Tua Tagovailoa pass complete short left to Durham Smythe for 10 yards (tackle by Asante Samuel),0.46,3.45,1.0,2023,12
2.0,2:33,1.0,10.0,LAC 32,10.0,14.0,Tua Tagovailoa pass incomplete deep right intended for Braxton Berrios,3.45,2.9,1.0,2023,12
2.0,2:27,2.0,10.0,LAC 32,10.0,14.0,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 19 yards (tackle by Eric Kendricks),2.9,4.71,1.0,2023,12
2.0,2:00,1.0,10.0,LAC 13,10.0,14.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 4 yards (tackle by Alohi Gilman),4.71,4.77,1.0,2023,12
2.0,1:55,2.0,6.0,LAC 9,10.0,14.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 8 yards (tackle by Derwin James),4.77,6.97,1.0,2023,12
2.0,1:47,,,,,,Timeout #2 by Los Angeles Chargers,,,1.0,2023,12
2.0,1:47,1.0,1.0,LAC 1,16.0,14.0,"Tua Tagovailoa pass complete short middle to River Cracraft for 1 yard, touchdown",6.97,7.0,1.0,2023,12
2.0,1:42,,,LAC 15,17.0,14.0,Jason Sanders kicks extra point good,0.0,0.0,1.0,2023,12
2.0,1:42,,,MIA 35,17.0,14.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
2.0,1:42,1.0,10.0,LAC 25,17.0,14.0,Justin Herbert pass complete short left to Josh Palmer for 4 yards (tackle by Kader Kohou),0.61,0.6,1.0,2023,12
2.0,1:27,2.0,6.0,LAC 29,17.0,14.0,Justin Herbert pass incomplete short right,0.6,-0.1,1.0,2023,12
2.0,1:20,3.0,6.0,LAC 29,17.0,14.0,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Justin Bethel and Kader Kohou),-0.1,1.47,1.0,2023,12
2.0,1:02,1.0,10.0,LAC 38,17.0,14.0,Justin Herbert pass complete short left to Quentin Johnston for 11 yards (tackle by Eli Apple),1.47,2.19,1.0,2023,12
2.0,0:57,1.0,10.0,LAC 49,17.0,14.0,Justin Herbert pass complete short right to Austin Ekeler for 1 yard (tackle by Justin Bethel),2.19,1.78,1.0,2023,12
2.0,0:42,2.0,9.0,LAC 50,17.0,14.0,Justin Herbert pass complete short middle to Donald Parham for 16 yards (tackle by Kader Kohou),1.78,3.31,1.0,2023,12
2.0,0:32,1.0,10.0,MIA 34,17.0,14.0,Justin Herbert pass incomplete deep left intended for Quentin Johnston,3.31,2.77,1.0,2023,12
2.0,0:28,2.0,10.0,MIA 34,17.0,14.0,Justin Herbert pass incomplete short right intended for Gerald Everett,2.77,2.08,1.0,2023,12
2.0,0:25,3.0,10.0,MIA 34,17.0,14.0,Justin Herbert right end for 2 yards (tackle by Duke Riley),2.08,1.24,1.0,2023,12
2.0,0:14,,,,,,Timeout #1 by Miami Dolphins,,,1.0,2023,12
2.0,0:14,4.0,8.0,MIA 32,17.0,17.0,Cameron Dicker 50 yard field goal good,1.24,3.0,1.0,2023,12
2.0,0:09,,,LAC 35,17.0,17.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
2.0,0:09,1.0,10.0,MIA 25,17.0,17.0,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 22 yards (tackle by Michael Davis),0.61,2.06,1.0,2023,12
2.0,0:02,1.0,10.0,MIA 47,17.0,17.0,"Tua Tagovailoa pass incomplete intended for Erik Ezukanma. Penalty on J.C. Jackson: Defensive Pass Interference, 30 yards (accepted) (no play)",2.06,4.04,1.0,2023,12
2.0,0:00,1.0,10.0,LAC 23,20.0,17.0,Jason Sanders 41 yard field goal good,4.04,3.0,1.0,2023,12
3.0,15:00,,,MIA 35,20.0,17.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
3.0,15:00,1.0,10.0,LAC 25,20.0,17.0,Austin Ekeler left guard for 8 yards (tackle by Jevon Holland and DeShon Elliott),0.61,1.14,1.0,2023,12
3.0,14:41,2.0,2.0,LAC 33,20.0,17.0,Justin Herbert up the middle for 4 yards (tackle by Jaelan Phillips),1.14,1.4,1.0,2023,12
3.0,14:00,1.0,10.0,LAC 37,20.0,17.0,Justin Herbert pass incomplete deep right intended for Keenan Allen,1.4,0.86,1.0,2023,12
3.0,13:52,2.0,10.0,LAC 37,20.0,17.0,Joshua Kelley left tackle for 8 yards (tackle by DeShon Elliott),0.86,1.22,1.0,2023,12
3.0,13:19,3.0,2.0,LAC 45,20.0,17.0,Joshua Kelley left guard for 3 yards (tackle by Bradley Chubb),1.22,2.13,1.0,2023,12
3.0,12:40,1.0,10.0,LAC 48,20.0,17.0,Joshua Kelley right end for 5 yards (tackle by Kader Kohou and Emmanuel Ogbah),2.13,2.26,1.0,2023,12
3.0,12:00,2.0,5.0,MIA 47,20.0,17.0,Joshua Kelley right end for 14 yards (tackle by DeShon Elliott),2.26,3.38,1.0,2023,12
3.0,11:20,1.0,10.0,MIA 33,20.0,17.0,Austin Ekeler up the middle for 11 yards (tackle by Jevon Holland and Jaelan Phillips),3.38,4.11,1.0,2023,12
3.0,10:48,1.0,10.0,MIA 22,20.0,17.0,Austin Ekeler right tackle for 4 yards (tackle by Jerome Baker and Raekwon Davis),4.11,4.13,1.0,2023,12
3.0,10:07,2.0,6.0,MIA 18,20.0,17.0,"Justin Herbert pass incomplete deep right intended for Keenan Allen. Penalty on Xavien Howard: Defensive Pass Interference, 13 yards (accepted) (no play)",4.13,6.06,1.0,2023,12
3.0,9:59,1.0,5.0,MIA 5,20.0,17.0,Austin Ekeler left guard for -1 yards (tackle by Jevon Holland and Bradley Chubb),6.06,4.95,1.0,2023,12
3.0,9:25,2.0,6.0,MIA 6,20.0,17.0,"Justin Herbert pass incomplete intended for Donald Parham. Penalty on Xavien Howard: Defensive Pass Interference, 5 yards (accepted) (no play)",4.95,6.97,1.0,2023,12
3.0,9:20,1.0,1.0,MIA 1,20.0,17.0,Penalty on MIA: Defensive Too Many Men on Field (accepted) (no play),6.97,6.97,1.0,2023,12
3.0,9:20,1.0,1.0,MIA 1,20.0,23.0,"Justin Herbert for 1 yard, touchdown",6.97,7.0,1.0,2023,12
3.0,9:19,,,MIA 15,20.0,24.0,Cameron Dicker kicks extra point good,0.0,0.0,1.0,2023,12
3.0,9:19,,,LAC 35,20.0,24.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
3.0,9:19,1.0,10.0,MIA 25,20.0,24.0,Raheem Mostert up the middle for 3 yards (tackle by Khalil Mack),0.61,0.47,1.0,2023,12
3.0,8:41,2.0,7.0,MIA 28,20.0,24.0,Tua Tagovailoa up the middle for 7 yards (tackle by Eric Kendricks),0.47,1.27,1.0,2023,12
3.0,8:00,1.0,10.0,MIA 35,20.0,24.0,Raheem Mostert left end for -3 yards (tackle by Derwin James),1.27,0.32,1.0,2023,12
3.0,7:17,2.0,13.0,MIA 32,20.0,24.0,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 30 yards (tackle by Alohi Gilman),0.32,3.05,1.0,2023,12
3.0,6:41,1.0,10.0,LAC 38,20.0,24.0,Raheem Mostert up the middle for 1 yard (tackle by Derwin James),3.05,2.64,1.0,2023,12
3.0,6:03,2.0,9.0,LAC 37,20.0,24.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 13 yards (tackle by Alohi Gilman and Eric Kendricks),2.64,3.97,1.0,2023,12
3.0,5:35,1.0,10.0,LAC 24,20.0,24.0,Salvon Ahmed left tackle for -2 yards (tackle by Tuli Tuipulotu),3.97,3.16,1.0,2023,12
3.0,4:49,2.0,12.0,LAC 26,20.0,24.0,Tua Tagovailoa pass incomplete short middle intended for River Cracraft,3.16,2.48,1.0,2023,12
3.0,4:39,3.0,12.0,LAC 26,20.0,24.0,Tua Tagovailoa pass deep left intended for Braxton Berrios is intercepted by J.C. Jackson in end zone and returned for 9 yards (tackle by Jaylen Waddle),2.48,0.38,1.0,2023,12
3.0,4:31,1.0,10.0,LAC 4,20.0,24.0,Justin Herbert pass complete short left to Mike Williams for 1 yard (tackle by Kader Kohou and DeShon Elliott),-0.38,-0.71,1.0,2023,12
3.0,3:55,2.0,9.0,LAC 5,20.0,24.0,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Kader Kohou),-0.71,-0.37,1.0,2023,12
3.0,3:14,3.0,1.0,LAC 13,20.0,24.0,Justin Herbert sacked by Kader Kohou for -12 yards,-0.37,-2.49,1.0,2023,12
3.0,2:27,4.0,13.0,LAC 1,20.0,24.0,"JK Scott punts 34 yards, fair catch by Braxton Berrios at LAC-35",-2.49,-3.25,1.0,2023,12
3.0,2:18,1.0,10.0,LAC 35,26.0,24.0,"Tua Tagovailoa pass complete deep right to Tyreek Hill for 35 yards, touchdown",3.25,7.0,1.0,2023,12
3.0,2:12,,,LAC 15,27.0,24.0,Jason Sanders kicks extra point good,0.0,0.0,1.0,2023,12
3.0,2:12,,,MIA 35,27.0,24.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
3.0,2:12,1.0,10.0,LAC 25,27.0,24.0,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Xavien Howard),0.61,0.06,1.0,2023,12
3.0,2:07,2.0,10.0,LAC 25,27.0,24.0,Justin Herbert pass complete short right to Austin Ekeler for 35 yards (tackle by DeShon Elliott),0.06,2.92,1.0,2023,12
3.0,1:42,1.0,10.0,MIA 40,27.0,24.0,Austin Ekeler right guard for 5 yards (tackle by Jaelan Phillips),2.92,3.05,1.0,2023,12
3.0,1:11,2.0,5.0,MIA 35,27.0,24.0,Austin Ekeler right tackle for 5 yards (tackle by Xavien Howard),3.05,3.58,1.0,2023,12
3.0,0:32,1.0,10.0,MIA 30,27.0,24.0,Justin Herbert pass complete short left to Gerald Everett for 11 yards (tackle by DeShon Elliott),3.58,4.31,1.0,2023,12
3.0,0:12,1.0,10.0,MIA 19,27.0,24.0,Joshua Kelley right guard for 2 yards (tackle by Jevon Holland),4.31,4.03,1.0,2023,12
4.0,15:00,2.0,8.0,MIA 17,27.0,24.0,Joshua Kelley right tackle for 7 yards (tackle by Andrew Van Ginkel and Xavien Howard),4.03,4.69,1.0,2023,12
4.0,14:43,3.0,1.0,MIA 10,27.0,24.0,Joshua Kelley right tackle for 3 yards (tackle by Jerome Baker),4.69,5.6,1.0,2023,12
4.0,14:23,1.0,7.0,MIA 7,27.0,24.0,Justin Herbert pass complete short right to Donald Parham for 5 yards (tackle by Xavien Howard and Andrew Van Ginkel),5.6,5.72,1.0,2023,12
4.0,14:03,2.0,2.0,MIA 2,27.0,30.0,"Joshua Kelley up the middle for 2 yards, touchdown",5.72,7.0,1.0,2023,12
4.0,14:00,,,MIA 15,27.0,31.0,Cameron Dicker kicks extra point good,0.0,0.0,1.0,2023,12
4.0,14:00,,,LAC 35,27.0,31.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
4.0,14:00,1.0,10.0,MIA 25,27.0,31.0,Tua Tagovailoa pass incomplete short middle intended for Salvon Ahmed (defended by Austin Johnson),0.61,0.06,1.0,2023,12
4.0,13:56,2.0,10.0,MIA 25,27.0,31.0,"Tua Tagovailoa aborted snap, recovered by Tua Tagovailoa at MIA-20 and returned for -5 yards",0.06,-1.29,1.0,2023,12
4.0,13:10,3.0,15.0,MIA 20,27.0,31.0,"Tua Tagovailoa pass complete deep left to Braxton Berrios for 16 yards. Penalty on Michael Davis: Defensive Holding, 5 yards (declined)",-1.29,1.33,1.0,2023,12
4.0,12:56,1.0,10.0,MIA 36,27.0,31.0,Tua Tagovailoa pass complete short left to Alec Ingold for 19 yards (tackle by Tuli Tuipulotu and Eric Kendricks),1.33,2.59,1.0,2023,12
4.0,12:03,1.0,10.0,LAC 45,27.0,31.0,"Tua Tagovailoa pass complete short middle to Braxton Berrios for 15 yards (tackle by Eric Kendricks) LAC challenged the pass completion ruling, and the play was upheld.",2.59,3.58,1.0,2023,12
4.0,11:38,1.0,10.0,LAC 30,27.0,31.0,Tua Tagovailoa pass complete short left to Tyreek Hill for -5 yards (tackle by Nick Williams),3.58,2.36,1.0,2023,12
4.0,10:55,2.0,15.0,LAC 35,27.0,31.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill,2.36,1.68,1.0,2023,12
4.0,10:51,3.0,15.0,LAC 35,27.0,31.0,Tua Tagovailoa pass complete short middle to Raheem Mostert for 8 yards (tackle by Alohi Gilman),1.68,1.67,1.0,2023,12
4.0,10:07,4.0,7.0,LAC 27,30.0,31.0,Jason Sanders 45 yard field goal good,1.67,3.0,1.0,2023,12
4.0,10:03,,,MIA 35,30.0,31.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
4.0,10:03,1.0,10.0,LAC 25,30.0,31.0,Justin Herbert pass complete short left to Keenan Allen for 8 yards (tackle by Jevon Holland),0.61,1.14,1.0,2023,12
4.0,9:34,2.0,2.0,LAC 33,30.0,31.0,Keenan Allen right end for 2 yards (tackle by Jevon Holland),1.14,1.27,1.0,2023,12
4.0,8:53,1.0,10.0,LAC 35,30.0,31.0,Joshua Kelley left end for 5 yards (tackle by Eli Apple and Bradley Chubb),1.27,1.4,1.0,2023,12
4.0,8:19,2.0,5.0,LAC 40,30.0,31.0,Joshua Kelley up the middle for 4 yards (tackle by Jaelan Phillips and DeShon Elliott),1.4,1.22,1.0,2023,12
4.0,7:44,3.0,1.0,LAC 44,30.0,31.0,Joshua Kelley left guard for 3 yards (tackle by Zach Sieler),1.22,2.06,1.0,2023,12
4.0,7:22,1.0,10.0,LAC 47,30.0,31.0,Justin Herbert pass incomplete intended for Keenan Allen (no play),2.06,1.73,1.0,2023,12
4.0,7:18,1.0,15.0,LAC 42,30.0,31.0,Austin Ekeler for 3 yards (tackle by Jaelan Phillips and Jevon Holland),1.73,1.25,1.0,2023,12
4.0,6:41,2.0,12.0,LAC 45,30.0,31.0,Justin Herbert pass incomplete deep left intended for Austin Ekeler,1.25,0.56,1.0,2023,12
4.0,6:36,3.0,12.0,LAC 45,30.0,31.0,Justin Herbert pass complete deep left to Mike Williams for 24 yards (tackle by Jevon Holland and DeShon Elliott),0.56,3.51,1.0,2023,12
4.0,5:53,1.0,10.0,MIA 31,30.0,31.0,Joshua Kelley left end for 14 yards (tackle by Xavien Howard),3.51,4.44,1.0,2023,12
4.0,5:12,1.0,10.0,MIA 17,30.0,31.0,"Justin Herbert pass incomplete intended for Keenan Allen. Penalty on Xavien Howard: Illegal Contact, 5 yards (accepted) (no play)",4.44,4.78,1.0,2023,12
4.0,5:10,1.0,10.0,MIA 12,30.0,31.0,Austin Ekeler right guard for 1 yard (tackle by Andrew Van Ginkel and Jaelan Phillips),4.78,4.27,1.0,2023,12
4.0,4:26,2.0,9.0,MIA 11,30.0,31.0,Justin Herbert pass complete short right to Austin Ekeler for 4 yards (tackle by Xavien Howard and DeShon Elliott),4.27,4.16,1.0,2023,12
4.0,4:03,3.0,5.0,MIA 7,30.0,31.0,Justin Herbert pass incomplete short right intended for Mike Williams,4.16,2.98,1.0,2023,12
4.0,3:57,4.0,5.0,MIA 7,30.0,34.0,Cameron Dicker 25 yard field goal good,2.98,3.0,1.0,2023,12
4.0,3:53,,,LAC 35,30.0,34.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
