Quarter,Time,Down,ToGo,Location,HOU,BAL,Detail,EPB,EPA,week,year,game_id
1.0,8:08,2.0,15.0,HOU 25,0.0,0.0,Lamar Jackson pass complete short middle to Rashod Bateman for 9 yards (tackle by Tavierre Thomas),3.02,3.52,1.0,2023,6
1.0,7:25,3.0,6.0,HOU 16,0.0,0.0,Lamar Jackson pass short left intended for Zay Flowers is intercepted by Steven Nelson at HOU-15 and returned for no gain (tackle by Zay Flowers),3.52,0.22,1.0,2023,6
1.0,7:20,1.0,10.0,HOU 15,0.0,0.0,C.J. Stroud pass incomplete short right intended for Dalton Schultz,-0.22,-0.71,1.0,2023,6
1.0,7:16,2.0,10.0,HOU 15,0.0,0.0,Dameon Pierce left end for 7 yards (tackle by Brandon Stephens),-0.71,-0.51,1.0,2023,6
1.0,6:39,,,,,,Timeout #1 by Houston Texans,,,1.0,2023,6
1.0,6:39,3.0,3.0,HOU 22,0.0,0.0,"C.J. Stroud pass complete short left to Tank Dell for no gain. Penalty on Laremy Tunsil: Offensive Holding, 10 yards (accepted) (no play)",-0.51,-1.77,1.0,2023,6
1.0,6:11,3.0,13.0,HOU 12,0.0,0.0,C.J. Stroud pass complete short right to Noah Brown for 7 yards (tackle by Ar'Darius Washington and Roquan Smith),-1.77,-2.14,1.0,2023,6
1.0,5:35,4.0,6.0,HOU 19,0.0,0.0,Ty Zentner punts 39 yards out of bounds,-2.14,-1.73,1.0,2023,6
1.0,5:28,1.0,10.0,BAL 42,0.0,0.0,Zay Flowers right end for 6 yards (tackle by Derek Stingley),1.73,2.0,1.0,2023,6
1.0,4:51,2.0,4.0,BAL 48,0.0,0.0,J.K. Dobbins left guard for 3 yards (tackle by Henry To'oTo'o and Denzel Perryman),2.0,1.69,1.0,2023,6
1.0,4:33,3.0,1.0,HOU 49,0.0,0.0,Lamar Jackson up the middle for 1 yard (tackle by Denzel Perryman),1.69,2.39,1.0,2023,6
1.0,4:01,1.0,10.0,HOU 48,0.0,0.0,Lamar Jackson scrambles right end for 11 yards (tackle by Sheldon Rankins),2.39,3.12,1.0,2023,6
1.0,3:12,1.0,10.0,HOU 37,0.0,0.0,"Lamar Jackson left tackle for no gain (tackle by Cory Littleton). Penalty on Gus Edwards: Illegal Motion, 5 yards (accepted) (no play)",3.12,2.79,1.0,2023,6
1.0,2:57,1.0,15.0,HOU 42,0.0,0.0,Lamar Jackson pass complete short right to J.K. Dobbins for 10 yards (tackle by Denzel Perryman and Tavierre Thomas),2.79,3.25,1.0,2023,6
1.0,2:19,2.0,5.0,HOU 32,0.0,0.0,J.K. Dobbins right guard for no gain (tackle by Hassan Ridgeway and Denzel Perryman),3.25,2.54,1.0,2023,6
1.0,1:44,3.0,5.0,HOU 32,0.0,0.0,Lamar Jackson pass complete deep left to Zay Flowers for 21 yards (tackle by Jalen Pitre),2.54,4.84,1.0,2023,6
1.0,1:11,1.0,10.0,HOU 11,0.0,0.0,"Zay Flowers right end for 3 yards (tackle by Denzel Perryman). Penalty on Jalen Pitre: Low Block, 4 yards (accepted)",4.84,0.0,1.0,2023,6
1.0,1:05,1.0,10.0,HOU 4,0.0,6.0,"J.K. Dobbins right end for 4 yards, touchdown",0.0,7.0,1.0,2023,6
1.0,1:00,,,HOU 15,0.0,7.0,Justin Tucker kicks extra point good,0.0,0.0,1.0,2023,6
1.0,1:00,,,BAL 35,0.0,7.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,6
1.0,1:00,1.0,10.0,HOU 25,0.0,7.0,Devin Singletary left guard for 3 yards (tackle by David Ojabo and Michael Pierce),0.61,0.47,1.0,2023,6
1.0,0:16,2.0,7.0,HOU 28,0.0,7.0,C.J. Stroud pass incomplete deep left intended for Nico Collins,0.47,-0.23,1.0,2023,6
1.0,0:11,3.0,7.0,HOU 28,0.0,7.0,C.J. Stroud pass complete short right to Dalton Schultz for -1 yards (tackle by Roquan Smith and Ar'Darius Washington),-0.23,-1.57,1.0,2023,6
2.0,15:00,4.0,8.0,HOU 27,0.0,7.0,"Ty Zentner punts 41 yards, fair catch by Devin Duvernay at BAL-32",-1.57,-1.07,1.0,2023,6
2.0,14:53,1.0,10.0,BAL 32,0.0,7.0,"Lamar Jackson pass incomplete deep left intended for Odell Beckham. Penalty on Steven Nelson: Defensive Pass Interference, 26 yards (accepted) (no play)",1.07,2.79,1.0,2023,6
2.0,14:47,1.0,10.0,HOU 42,0.0,7.0,J.K. Dobbins right tackle for 2 yards (tackle by Hassan Ridgeway and Denzel Perryman),2.79,2.51,1.0,2023,6
2.0,14:11,2.0,8.0,HOU 40,0.0,7.0,"Lamar Jackson pass complete short right to J.K. Dobbins for no gain. Penalty on Ronnie Stanley: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",2.51,1.16,1.0,2023,6
2.0,13:43,2.0,18.0,HOU 50,0.0,7.0,Lamar Jackson pass complete short left to Rashod Bateman for 8 yards (tackle by Tavierre Thomas and Steven Nelson),1.16,1.55,1.0,2023,6
2.0,13:03,3.0,10.0,HOU 42,0.0,7.0,"Lamar Jackson pass incomplete short right. Penalty on Lamar Jackson: Intentional Grounding, 14 yards (accepted)",1.55,-0.46,1.0,2023,6
2.0,12:59,4.0,24.0,BAL 44,0.0,7.0,"Jordan Stout punts 50 yards, returned by Robert Woods for 10 yards (tackle by Del'Shawn Phillips)",-0.46,0.14,1.0,2023,6
2.0,12:50,1.0,10.0,HOU 16,0.0,7.0,Dameon Pierce left tackle for 5 yards (tackle by Patrick Queen),-0.14,0.15,1.0,2023,6
2.0,12:14,2.0,5.0,HOU 21,0.0,7.0,C.J. Stroud scrambles right end for 3 yards (tackle by Malik Harrison),0.15,-0.32,1.0,2023,6
2.0,11:49,3.0,2.0,HOU 24,0.0,7.0,C.J. Stroud pass complete short middle to Robert Woods for 13 yards (tackle by Marcus Williams),-0.32,1.4,1.0,2023,6
2.0,11:12,1.0,10.0,HOU 37,0.0,7.0,Dameon Pierce right guard for 5 yards (tackle by Marcus Williams),1.4,1.53,1.0,2023,6
2.0,10:34,2.0,5.0,HOU 42,0.0,7.0,C.J. Stroud pass incomplete deep middle intended for Nico Collins (defended by Marcus Williams),1.53,0.83,1.0,2023,6
2.0,10:24,,,,,,Timeout #2 by Houston Texans,,,1.0,2023,6
2.0,10:24,3.0,5.0,HOU 42,0.0,7.0,C.J. Stroud pass complete short right to Robert Woods for 5 yards (tackle by Roquan Smith),0.83,2.06,1.0,2023,6
2.0,9:42,1.0,10.0,HOU 47,0.0,7.0,C.J. Stroud pass complete short left to Dalton Schultz for 5 yards (tackle by Malik Harrison and Marcus Williams),2.06,2.19,1.0,2023,6
2.0,8:57,2.0,5.0,BAL 48,0.0,7.0,C.J. Stroud scrambles left tackle for 1 yard (tackle by Roquan Smith),2.19,1.62,1.0,2023,6
2.0,8:12,,,,,,Timeout #3 by Houston Texans,,,1.0,2023,6
2.0,8:12,3.0,4.0,BAL 47,0.0,7.0,C.J. Stroud pass complete short right to Robert Woods for 7 yards (tackle by Patrick Queen and Ronald Darby),1.62,2.92,1.0,2023,6
2.0,7:34,1.0,10.0,BAL 40,0.0,7.0,C.J. Stroud pass complete short right to Nico Collins for 5 yards (tackle by Kyle Hamilton),2.92,3.05,1.0,2023,6
2.0,6:50,2.0,5.0,BAL 35,0.0,7.0,C.J. Stroud pass complete short middle to Nico Collins for 14 yards (tackle by Marcus Williams),3.05,4.17,1.0,2023,6
2.0,6:12,1.0,10.0,BAL 21,0.0,7.0,Dameon Pierce left guard for 1 yard (tackle by Roquan Smith and Brandon Stephens),4.17,3.76,1.0,2023,6
2.0,5:28,2.0,9.0,BAL 20,0.0,7.0,Dameon Pierce left tackle for 4 yards (tackle by Travis Jones),3.76,3.63,1.0,2023,6
2.0,4:47,3.0,5.0,BAL 16,0.0,7.0,Noah Brown right end for -1 yards (tackle by Ronald Darby and Odafe Oweh),3.63,2.34,1.0,2023,6
2.0,4:01,4.0,6.0,BAL 17,3.0,7.0,Ka'imi Fairbairn 35 yard field goal good,2.34,3.0,1.0,2023,6
2.0,3:56,,,HOU 35,3.0,7.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,6
2.0,3:56,1.0,10.0,BAL 25,3.0,7.0,J.K. Dobbins right guard for 4 yards (tackle by Christian Harris),0.61,0.6,1.0,2023,6
2.0,3:22,2.0,6.0,BAL 29,3.0,7.0,Lamar Jackson scrambles right guard for 14 yards (tackle by Christian Harris and Tavierre Thomas),0.6,1.8,1.0,2023,6
2.0,2:49,1.0,10.0,BAL 43,3.0,7.0,Lamar Jackson pass incomplete short middle intended for J.K. Dobbins,1.8,1.25,1.0,2023,6
2.0,2:45,2.0,10.0,BAL 43,3.0,7.0,Lamar Jackson scrambles right end for 1 yard (tackle by Jonathan Greenard),1.25,0.69,1.0,2023,6
2.0,2:05,3.0,9.0,BAL 44,3.0,7.0,Lamar Jackson pass incomplete short right intended for Odell Beckham,0.69,-0.46,1.0,2023,6
2.0,2:01,4.0,9.0,BAL 44,3.0,7.0,"Penalty on Isaiah Likely: False Start, 5 yards (accepted) (no play)",-0.46,-0.78,1.0,2023,6
2.0,2:01,4.0,14.0,BAL 39,3.0,7.0,"Jordan Stout punts 49 yards, fair catch by Tank Dell at HOU-12",-0.78,0.35,1.0,2023,6
2.0,1:54,1.0,10.0,HOU 12,3.0,7.0,"Devin Singletary left guard for 4 yards (tackle by Justin Madubuike and Michael Pierce). Penalty on Justin Madubuike: Face Mask (15 Yards), 15 yards (accepted)",-0.35,1.0,1.0,2023,6
2.0,1:48,1.0,10.0,HOU 31,3.0,7.0,Devin Singletary right end for 2 yards (tackle by Odafe Oweh and Roquan Smith),1.0,0.73,1.0,2023,6
2.0,1:13,2.0,8.0,HOU 33,3.0,7.0,Devin Singletary right guard for 1 yard (tackle by Jadeveon Clowney),0.73,0.17,1.0,2023,6
2.0,1:08,,,,,,Timeout #1 by Baltimore Ravens,,,1.0,2023,6
2.0,1:08,3.0,7.0,HOU 34,3.0,7.0,C.J. Stroud pass complete short right to Tank Dell for 10 yards (tackle by Ronald Darby),0.17,1.86,1.0,2023,6
2.0,0:46,1.0,10.0,HOU 44,3.0,7.0,C.J. Stroud pass complete short left to Robert Woods for 19 yards (tackle by Ar'Darius Washington),1.86,3.12,1.0,2023,6
2.0,0:40,1.0,10.0,BAL 37,3.0,7.0,C.J. Stroud pass incomplete deep right intended for Nico Collins,3.12,2.57,1.0,2023,6
2.0,0:35,2.0,10.0,BAL 37,3.0,7.0,C.J. Stroud pass incomplete short left intended for Mike Boone,2.57,1.88,1.0,2023,6
2.0,0:31,3.0,10.0,BAL 37,3.0,7.0,"Penalty on Laremy Tunsil: False Start, 5 yards (accepted) (no play)",1.88,1.22,1.0,2023,6
2.0,0:31,3.0,15.0,BAL 42,3.0,7.0,"C.J. Stroud pass incomplete deep right intended for Tank Dell. Penalty on Travis Jones: Roughing the Passer, 15 yards (accepted) (no play)",1.22,3.78,1.0,2023,6
2.0,0:25,,,,,,Timeout #2 by Baltimore Ravens,,,1.0,2023,6
2.0,0:25,1.0,10.0,BAL 27,3.0,7.0,C.J. Stroud pass incomplete short right intended for Nico Collins,3.78,3.23,1.0,2023,6
2.0,0:19,2.0,10.0,BAL 27,3.0,7.0,C.J. Stroud pass complete short middle to Robert Woods for 7 yards (tackle by Brandon Stephens),3.23,3.47,1.0,2023,6
2.0,0:05,3.0,3.0,BAL 20,3.0,7.0,C.J. Stroud spiked the ball,3.47,2.22,1.0,2023,6
2.0,0:05,4.0,3.0,BAL 20,6.0,7.0,Ka'imi Fairbairn 38 yard field goal good,2.22,3.0,1.0,2023,6
3.0,15:00,,,BAL 35,6.0,7.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,6
3.0,15:00,1.0,10.0,HOU 25,6.0,7.0,C.J. Stroud sacked by Justin Madubuike for -11 yards,0.61,-1.54,1.0,2023,6
3.0,14:14,2.0,21.0,HOU 14,6.0,7.0,C.J. Stroud pass incomplete short right intended for Dameon Pierce,-1.54,-2.55,1.0,2023,6
3.0,14:05,3.0,21.0,HOU 14,6.0,7.0,"C.J. Stroud pass complete short left to Dameon Pierce for 9 yards (tackle by Brandon Stephens and Patrick Queen) Penalty on HOU: Illegal Shift, 5 yards (declined)",-2.55,-1.83,1.0,2023,6
3.0,13:56,4.0,12.0,HOU 23,6.0,7.0,Ty Zentner punts 48 yards out of bounds,-1.83,-0.87,1.0,2023,6
3.0,13:42,1.0,10.0,BAL 29,6.0,7.0,Lamar Jackson pass complete deep right to Zay Flowers for 20 yards (tackle by Derek Stingley),0.87,2.19,1.0,2023,6
3.0,13:07,1.0,10.0,BAL 49,6.0,7.0,J.K. Dobbins left guard for 1 yard (tackle by Christian Harris),2.19,1.78,1.0,2023,6
3.0,12:36,2.0,9.0,HOU 50,6.0,7.0,J.K. Dobbins right end for 4 yards (tackle by Will Anderson and M.J. Stewart),1.78,1.62,1.0,2023,6
3.0,11:54,,,,,,Timeout #1 by Baltimore Ravens,,,1.0,2023,6
3.0,11:54,3.0,5.0,HOU 46,6.0,7.0,Lamar Jackson pass complete short left to Zay Flowers for 19 yards (tackle by Shaquill Griffin),1.62,3.78,1.0,2023,6
3.0,11:24,1.0,10.0,HOU 27,6.0,7.0,Lamar Jackson pass complete short middle to Rashod Bateman for 18 yards (tackle by Denzel Perryman and Eric Murray),3.78,5.14,1.0,2023,6
3.0,11:08,1.0,9.0,HOU 9,6.0,7.0,Lamar Jackson pass complete short middle to Zay Flowers for 2 yards (tackle by M.J. Stewart),5.14,4.76,1.0,2023,6
3.0,10:28,2.0,7.0,HOU 7,6.0,7.0,Lamar Jackson pass complete short right to J.K. Dobbins for 5 yards (tackle by M.J. Stewart),4.76,4.95,1.0,2023,6
3.0,9:58,3.0,2.0,HOU 2,6.0,13.0,"Justice Hill right tackle for 2 yards, touchdown",4.95,7.0,1.0,2023,6
3.0,9:55,,,HOU 15,6.0,13.0,"Justin Tucker kicks extra point good. Penalty on Maliek Collins: Defensive Offside, 1 yard (accepted) (no play)",0.0,1.0,1.0,2023,6
3.0,9:55,1.0,1.0,HOU 1,6.0,15.0,"Two Point Attempt: Gus Edwards rushes, conversion succeeds.",1.0,1.0,1.0,2023,6
3.0,9:55,,,BAL 35,6.0,15.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,6
3.0,9:55,1.0,10.0,HOU 25,6.0,15.0,"Dameon Pierce right end for 3 yards (tackle by Roquan Smith and Patrick Queen). Penalty on Justin Madubuike: Defensive Holding, 5 yards (accepted)",0.61,1.14,1.0,2023,6
3.0,9:36,1.0,10.0,HOU 33,6.0,15.0,Dameon Pierce right guard for 4 yards (tackle by Odafe Oweh),1.14,1.13,1.0,2023,6
3.0,9:00,2.0,6.0,HOU 37,6.0,15.0,"C.J. Stroud pass complete short right to Andrew Beck for no gain (tackle by Malik Harrison). Penalty on Josh Jones: Offensive Holding, 10 yards (accepted) (no play)",1.13,-0.22,1.0,2023,6
3.0,8:34,2.0,16.0,HOU 27,6.0,15.0,C.J. Stroud pass incomplete short right intended for Robert Woods,-0.22,-0.89,1.0,2023,6
3.0,8:30,3.0,16.0,HOU 27,6.0,15.0,C.J. Stroud pass complete short middle to Nico Collins for 15 yards (tackle by Ronald Darby),-0.89,-0.59,1.0,2023,6
3.0,7:42,4.0,1.0,HOU 42,6.0,15.0,Dameon Pierce right tackle for no gain (tackle by Roquan Smith and Michael Pierce),-0.59,-2.79,1.0,2023,6
3.0,7:35,1.0,10.0,HOU 42,6.0,15.0,Gus Edwards right guard for 3 yards (tackle by Will Anderson),2.79,2.65,1.0,2023,6
3.0,6:59,2.0,7.0,HOU 39,6.0,15.0,Gus Edwards right guard for 13 yards (tackle by Denzel Perryman),2.65,3.84,1.0,2023,6
3.0,6:21,1.0,10.0,HOU 26,6.0,15.0,"Lamar Jackson scrambles right end for 3 yards. Lamar Jackson fumbles (forced by Tavierre Thomas), recovered by Kevin Zeitler at HOU-23",3.84,3.7,1.0,2023,6
3.0,6:07,2.0,7.0,HOU 23,6.0,15.0,"Lamar Jackson pass incomplete deep right intended for Odell Beckham. Penalty on Derek Stingley: Defensive Pass Interference, 17 yards (accepted) (no play)",3.7,5.83,1.0,2023,6
3.0,6:03,1.0,6.0,HOU 6,6.0,15.0,Justice Hill right guard for 4 yards (tackle by M.J. Stewart and Kurt Hinish),5.83,5.72,1.0,2023,6
3.0,5:24,2.0,2.0,HOU 2,6.0,21.0,"Justice Hill right guard for 2 yards, touchdown",5.72,7.0,1.0,2023,6
3.0,5:21,,,HOU 15,6.0,22.0,Justin Tucker kicks extra point good,0.0,0.0,1.0,2023,6
3.0,5:21,,,BAL 35,6.0,22.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,6
3.0,5:21,,,,,,Timeout #1 by Houston Texans,,,1.0,2023,6
3.0,5:21,1.0,10.0,HOU 25,6.0,22.0,Devin Singletary left guard for 1 yard (tackle by Roquan Smith and Patrick Queen),0.61,0.2,1.0,2023,6
3.0,4:46,2.0,9.0,HOU 26,6.0,22.0,C.J. Stroud pass complete short left to Noah Brown for 7 yards (tackle by Roquan Smith),0.2,0.43,1.0,2023,6
3.0,4:24,3.0,2.0,HOU 33,6.0,22.0,C.J. Stroud pass complete short middle to Nico Collins for 14 yards (tackle by Ar'Darius Washington),0.43,2.06,1.0,2023,6
3.0,4:00,1.0,10.0,HOU 47,6.0,22.0,C.J. Stroud pass complete short left to Tank Dell for 11 yards (tackle by Brandon Stephens),2.06,2.79,1.0,2023,6
3.0,3:21,1.0,10.0,BAL 42,6.0,22.0,Devin Singletary left guard for 4 yards (tackle by David Ojabo),2.79,2.78,1.0,2023,6
3.0,2:45,2.0,6.0,BAL 38,6.0,22.0,Devin Singletary right end for no gain (tackle by Ronald Darby),2.78,2.08,1.0,2023,6
3.0,2:21,3.0,6.0,BAL 38,6.0,22.0,"C.J. Stroud pass complete short left to Robert Woods for no gain (tackle by Brandon Stephens). Penalty on Josh Jones: Offensive Holding, 10 yards (accepted) (no play)",2.08,0.76,1.0,2023,6
3.0,1:51,3.0,16.0,BAL 48,6.0,22.0,C.J. Stroud pass incomplete deep middle intended for Robert Woods (defended by Patrick Queen),0.76,0.07,1.0,2023,6
3.0,1:44,4.0,16.0,BAL 48,6.0,22.0,"Ty Zentner punts 48 yards, touchback.",0.07,-0.28,1.0,2023,6
3.0,1:37,1.0,10.0,BAL 20,6.0,22.0,Lamar Jackson pass incomplete short middle intended for Charlie Kolar,0.28,-0.27,1.0,2023,6
3.0,1:30,2.0,10.0,BAL 20,6.0,22.0,Justice Hill right guard for 3 yards (tackle by Steven Nelson),-0.27,-0.56,1.0,2023,6
3.0,0:55,3.0,7.0,BAL 23,6.0,22.0,Lamar Jackson pass complete short left to Odell Beckham for 8 yards,-0.56,1.0,1.0,2023,6
3.0,0:31,1.0,10.0,BAL 31,6.0,22.0,"Lamar Jackson sacked by. Lamar Jackson fumbles, recovered by M.J. Stewart at BAL-32",1.0,-3.45,1.0,2023,6
3.0,0:26,1.0,10.0,BAL 32,6.0,22.0,Dameon Pierce right end for 4 yards (tackle by Roquan Smith),3.45,3.44,1.0,2023,6
3.0,0:05,2.0,6.0,BAL 28,6.0,22.0,"C.J. Stroud pass complete short right to Teagan Quitoriano for 11 yards (tackle by Roquan Smith and Kyle Hamilton). Penalty on Justin Madubuike: Face Mask (15 Yards), 9 yards (accepted)",3.44,5.37,1.0,2023,6
3.0,0:00,1.0,8.0,BAL 8,6.0,22.0,C.J. Stroud sacked by Roquan Smith for -11 yards,5.37,3.07,1.0,2023,6
4.0,15:00,2.0,19.0,BAL 19,6.0,22.0,C.J. Stroud pass incomplete short left intended for Dalton Schultz (defended by Ar'Darius Washington),3.07,2.49,1.0,2023,6
4.0,14:55,3.0,19.0,BAL 19,6.0,22.0,C.J. Stroud pass complete short right to Noah Brown for no gain (tackle by Roquan Smith) (no play),2.49,1.82,1.0,2023,6
4.0,14:26,3.0,24.0,BAL 24,6.0,22.0,C.J. Stroud pass complete short left to Robert Woods for 6 yards (tackle by Brandon Stephens),1.82,2.25,1.0,2023,6
4.0,13:51,4.0,18.0,BAL 18,9.0,22.0,Ka'imi Fairbairn 36 yard field goal good,2.25,3.0,1.0,2023,6
4.0,13:47,,,HOU 35,9.0,22.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,6
4.0,13:47,1.0,10.0,BAL 25,9.0,22.0,Gus Edwards right guard for 2 yards (tackle by Denzel Perryman and Cory Littleton),0.61,0.33,1.0,2023,6
4.0,13:08,2.0,8.0,BAL 27,9.0,22.0,"Penalty on Ronnie Stanley: False Start, 5 yards (accepted) (no play)",0.33,-0.34,1.0,2023,6
4.0,13:08,2.0,13.0,BAL 22,9.0,22.0,Gus Edwards left guard for 4 yards (tackle by Maliek Collins),-0.34,-0.49,1.0,2023,6
4.0,12:31,3.0,9.0,BAL 26,9.0,22.0,Lamar Jackson pass complete short left to Zay Flowers for 17 yards (tackle by Tavierre Thomas),-0.49,1.8,1.0,2023,6
4.0,11:46,1.0,10.0,BAL 43,9.0,22.0,Justice Hill up the middle for no gain (tackle by Jonathan Greenard),1.8,1.25,1.0,2023,6
4.0,11:12,2.0,10.0,BAL 43,9.0,22.0,Lamar Jackson sacked by Christian Harris for no gain,1.25,0.56,1.0,2023,6
4.0,10:36,3.0,10.0,BAL 43,9.0,22.0,"Lamar Jackson sacked by Will Anderson for -6 yards. Penalty on Morgan Moses: Offensive Holding, 10 yards (declined)",0.56,-0.91,1.0,2023,6
4.0,10:17,4.0,16.0,BAL 37,9.0,22.0,"Jordan Stout punts 43 yards, fair catch by Tank Dell at HOU-20",-0.91,-0.28,1.0,2023,6
4.0,10:14,1.0,10.0,HOU 20,9.0,22.0,Dameon Pierce right guard for 1 yard (tackle by Patrick Queen and Roquan Smith),0.28,-0.13,1.0,2023,6
4.0,9:36,2.0,9.0,HOU 21,9.0,22.0,C.J. Stroud pass incomplete short left intended for Nico Collins,-0.13,-0.82,1.0,2023,6
4.0,9:30,3.0,9.0,HOU 21,9.0,22.0,C.J. Stroud pass complete short middle to Nico Collins for 26 yards (tackle by Ronald Darby and Geno Stone),-0.82,2.06,1.0,2023,6
4.0,9:09,1.0,10.0,HOU 47,9.0,22.0,"C.J. Stroud sacked by David Ojabo for -5 yards. C.J. Stroud fumbles (forced by David Ojabo), recovered by Michael Pierce at HOU-42",2.06,-2.79,1.0,2023,6
4.0,9:00,1.0,10.0,HOU 42,9.0,22.0,Gus Edwards left guard for no gain (tackle by Will Anderson and Jonathan Greenard),2.79,2.24,1.0,2023,6
4.0,8:16,2.0,10.0,HOU 42,9.0,22.0,Gus Edwards left tackle for 4 yards (tackle by Tavierre Thomas),2.24,2.08,1.0,2023,6
4.0,7:33,3.0,6.0,HOU 38,9.0,22.0,Lamar Jackson pass complete deep left to Odell Beckham for 29 yards (tackle by Shaquill Griffin),2.08,5.14,1.0,2023,6
4.0,6:48,1.0,9.0,HOU 9,9.0,22.0,Lamar Jackson pass complete short left to Odell Beckham for no gain (tackle by Steven Nelson) (no play),5.14,4.44,1.0,2023,6
4.0,6:22,1.0,14.0,HOU 14,9.0,22.0,Justice Hill left guard for 2 yards (tackle by Henry To'oTo'o),4.44,3.86,1.0,2023,6
4.0,5:38,2.0,12.0,HOU 12,9.0,22.0,Lamar Jackson pass complete short left to Zay Flowers for -3 yards (tackle by Tavierre Thomas),3.86,2.93,1.0,2023,6
4.0,4:57,3.0,15.0,HOU 15,9.0,22.0,Lamar Jackson pass complete short left to Zay Flowers for -6 yards (tackle by Jonathan Greenard),2.93,2.06,1.0,2023,6
4.0,4:14,4.0,21.0,HOU 21,9.0,25.0,Justin Tucker 39 yard field goal good,2.06,3.0,1.0,2023,6
4.0,4:10,,,BAL 35,9.0,25.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,6
4.0,4:10,1.0,10.0,HOU 25,9.0,25.0,C.J. Stroud pass complete short left to Noah Brown for 6 yards (tackle by Ar'Darius Washington and Brandon Stephens),0.61,0.87,1.0,2023,6
4.0,3:43,2.0,4.0,HOU 31,9.0,25.0,"C.J. Stroud pass incomplete deep middle intended for Robert Woods HOU challenged the pass completion ruling, and the play was upheld.",0.87,0.17,1.0,2023,6
4.0,3:39,3.0,4.0,HOU 31,9.0,25.0,C.J. Stroud pass complete short left to Tank Dell for 13 yards (tackle by Brandon Stephens),0.17,1.86,1.0,2023,6
4.0,3:13,1.0,10.0,HOU 44,9.0,25.0,C.J. Stroud scrambles right tackle for 11 yards (tackle by Roquan Smith and Patrick Queen),1.86,2.59,1.0,2023,6
