Quarter,Time,Down,ToGo,Location,TAM,MIN,Detail,EPB,EPA,week,year,game_id
1.0,10:36,1.0,10.0,TAM 45,0.0,0.0,Kirk Cousins pass incomplete short left intended for C.J. Ham,2.59,2.04,1.0,2023,7
1.0,10:30,2.0,10.0,TAM 45,0.0,0.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 11 yards (tackle by Anthony Nelson and Devin White),2.04,3.31,1.0,2023,7
1.0,9:49,1.0,10.0,TAM 34,0.0,0.0,Kirk Cousins pass complete short left to Alexander Mattison for 3 yards (tackle by Lavonte David),3.31,3.18,1.0,2023,7
1.0,9:11,2.0,7.0,TAM 31,0.0,0.0,Alexander Mattison left end for 5 yards (tackle by Anthony Nelson),3.18,3.14,1.0,2023,7
1.0,8:27,3.0,2.0,TAM 26,0.0,0.0,"Kirk Cousins aborted snap, recovered by Joe Tryon-Shoyinka at TB-25",3.14,-0.61,1.0,2023,7
1.0,8:19,1.0,10.0,TAM 25,0.0,0.0,Rachaad White left guard for 4 yards (tackle by Danielle Hunter),0.61,0.6,1.0,2023,7
1.0,7:43,2.0,6.0,TAM 29,0.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 6 yards (tackle by Byron Murphy),0.6,1.27,1.0,2023,7
1.0,7:09,1.0,10.0,TAM 35,0.0,0.0,Baker Mayfield pass complete short left to Chris Godwin for 4 yards (tackle by Camryn Bynum and D.J. Wonnum),1.27,1.26,1.0,2023,7
1.0,6:29,2.0,6.0,TAM 39,0.0,0.0,"Baker Mayfield pass complete short middle to Cade Otton for no gain (tackle by Akayleb Evans) MIN challenged the pass completion ruling, and the original play was overturned. Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Akayleb Evans)",1.26,0.56,1.0,2023,7
1.0,6:29,3.0,6.0,TAM 39,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Mike Evans,0.56,-0.78,1.0,2023,7
1.0,6:23,4.0,6.0,TAM 39,0.0,0.0,"Jake Camarda punts 42 yards, returned by Brandon Powell for 7 yards (tackle by Cam Gill)",-0.78,-0.67,1.0,2023,7
1.0,6:14,1.0,10.0,MIN 26,0.0,0.0,Alexander Mattison left guard for 3 yards (tackle by Joe Tryon-Shoyinka and Vita Vea),0.67,0.54,1.0,2023,7
1.0,5:46,2.0,7.0,MIN 29,0.0,0.0,Kirk Cousins pass complete short right to Josh Oliver for 1 yard (tackle by Devin White),0.54,-0.03,1.0,2023,7
1.0,5:05,3.0,6.0,MIN 30,0.0,0.0,"Kirk Cousins sacked by Antoine Winfield for -10 yards. Kirk Cousins fumbles (forced by Antoine Winfield), recovered by Antoine Winfield at MIN-18",-0.03,-4.37,1.0,2023,7
1.0,4:58,1.0,10.0,MIN 18,0.0,0.0,Baker Mayfield pass incomplete short middle intended for Ko Kieft,4.37,3.8,1.0,2023,7
1.0,4:54,2.0,10.0,MIN 18,0.0,0.0,Rachaad White left guard for 4 yards (tackle by Jordan Hicks and Brian Asamoah),3.8,3.63,1.0,2023,7
1.0,4:11,3.0,6.0,MIN 14,0.0,0.0,Baker Mayfield sacked by Danielle Hunter for -4 yards,3.63,2.25,1.0,2023,7
1.0,3:27,4.0,10.0,MIN 18,3.0,0.0,Chase McLaughlin 36 yard field goal good,2.25,3.0,1.0,2023,7
1.0,3:23,,,TAM 35,3.0,0.0,"Jake Camarda kicks off 63 yards, returned by Ty Chandler for 15 yards (tackle by Zyon McCollum)",0.0,-0.06,1.0,2023,7
1.0,3:20,1.0,10.0,MIN 17,3.0,0.0,Kirk Cousins pass complete short left to C.J. Ham for 6 yards (tackle by Devin White and Carlton Davis),-0.06,0.35,1.0,2023,7
1.0,2:40,2.0,4.0,MIN 23,3.0,0.0,Alexander Mattison left end for 2 yards (tackle by Ryan Neal and Devin White),0.35,-0.24,1.0,2023,7
1.0,1:57,3.0,2.0,MIN 25,3.0,0.0,Kirk Cousins pass complete short right to Jordan Addison for no gain (tackle by Christian Izien),-0.24,-1.7,1.0,2023,7
1.0,1:15,4.0,2.0,MIN 25,3.0,0.0,"Ryan Wright punts 55 yards, returned by Deven Thompkins for no gain (tackle by NaJee Thompson). Penalty on SirVocea Dennis: Offensive Holding, 10 yards (accepted)",-1.7,0.38,1.0,2023,7
1.0,1:05,1.0,10.0,TAM 10,3.0,0.0,Rachaad White left guard for 6 yards (tackle by Camryn Bynum),-0.38,-0.23,1.0,2023,7
1.0,0:36,2.0,4.0,TAM 16,3.0,0.0,Rachaad White right guard for no gain (tackle by Jonathan Bullard and Troy Dye),-0.23,-0.95,1.0,2023,7
2.0,15:00,3.0,6.0,TAM 16,3.0,0.0,Rachaad White left end for 1 yard (tackle by Camryn Bynum),-0.95,-2.32,1.0,2023,7
2.0,14:22,4.0,3.0,TAM 17,3.0,0.0,"Jake Camarda punts 63 yards, returned by Brandon Powell for 7 yards (tackle by Kaevon Merriweather). Penalty on Jalen Nailor: Offensive Holding, 10 yards (accepted)",-2.32,0.06,1.0,2023,7
2.0,14:08,1.0,10.0,MIN 17,3.0,0.0,Kirk Cousins pass complete deep middle to Justin Jefferson for 25 yards (tackle by Antoine Winfield),-0.06,1.73,1.0,2023,7
2.0,13:33,1.0,10.0,MIN 42,3.0,0.0,Ty Chandler left end for 2 yards (tackle by Devin White and Jamel Dean),1.73,1.46,1.0,2023,7
2.0,12:59,2.0,8.0,MIN 44,3.0,0.0,Kirk Cousins pass complete short left to Ty Chandler for 18 yards (tackle by Vita Vea),1.46,3.05,1.0,2023,7
2.0,12:21,1.0,10.0,TAM 38,3.0,0.0,Ty Chandler right end for -3 yards (tackle by Logan Hall),3.05,2.1,1.0,2023,7
2.0,11:49,2.0,13.0,TAM 41,3.0,0.0,Kirk Cousins pass complete short right to T.J. Hockenson for 2 yards (tackle by Lavonte David),2.1,1.68,1.0,2023,7
2.0,11:21,3.0,11.0,TAM 39,3.0,6.0,"Kirk Cousins pass complete deep middle to Jordan Addison for 39 yards, touchdown. Penalty on Jamel Dean: Illegal Contact, 5 yards (declined)",1.68,7.0,1.0,2023,7
2.0,11:15,,,TAM 15,3.0,7.0,Greg Joseph kicks extra point good,0.0,0.0,1.0,2023,7
2.0,11:15,,,MIN 35,3.0,7.0,"Greg Joseph kicks off 70 yards, returned by Deven Thompkins for 23 yards (tackle by Josh Metellus)",0.0,0.04,1.0,2023,7
2.0,11:11,1.0,10.0,TAM 18,3.0,7.0,Sean Tucker left end for 5 yards (tackle by Ivan Pace and Dean Lowry),0.04,0.41,1.0,2023,7
2.0,10:32,2.0,4.0,TAM 24,3.0,7.0,Baker Mayfield pass incomplete short left,0.41,-0.4,1.0,2023,7
2.0,10:27,3.0,4.0,TAM 24,3.0,7.0,Baker Mayfield right end for 1 yard (tackle by Josh Metellus),-0.4,-1.7,1.0,2023,7
2.0,9:49,4.0,3.0,TAM 25,3.0,7.0,"Penalty on TAM: Delay of Game, 5 yards (accepted) (no play)",-1.7,-2.14,1.0,2023,7
2.0,9:37,4.0,8.0,TAM 19,3.0,7.0,Jake Camarda punts 50 yards downed by Zach Triner,-2.14,-1.0,1.0,2023,7
2.0,9:24,1.0,10.0,MIN 31,3.0,7.0,Kirk Cousins pass complete deep left to K.J. Osborn for 19 yards (tackle by Jamel Dean),1.0,2.26,1.0,2023,7
2.0,8:56,1.0,10.0,MIN 50,3.0,7.0,Kirk Cousins pass complete short left to Justin Jefferson for 5 yards (tackle by Carlton Davis),2.26,2.39,1.0,2023,7
2.0,8:20,2.0,5.0,TAM 45,3.0,7.0,Alexander Mattison left guard for 4 yards (tackle by Shaquil Barrett),2.39,2.21,1.0,2023,7
2.0,7:44,3.0,1.0,TAM 41,3.0,7.0,Kirk Cousins pass complete short right to Justin Jefferson for 22 yards (tackle by Carlton Davis),2.21,4.31,1.0,2023,7
2.0,7:09,1.0,10.0,TAM 19,3.0,7.0,Kirk Cousins pass complete short left to Josh Oliver for 13 yards (tackle by Antoine Winfield and Jamel Dean),4.31,5.83,1.0,2023,7
2.0,6:37,1.0,6.0,TAM 6,3.0,7.0,Kirk Cousins pass incomplete short left intended for K.J. Osborn,5.83,4.95,1.0,2023,7
2.0,6:32,2.0,6.0,TAM 6,3.0,7.0,Alexander Mattison up the middle for -1 yards (tackle by Lavonte David and William Gholston),4.95,3.81,1.0,2023,7
2.0,5:49,3.0,7.0,TAM 7,3.0,7.0,Kirk Cousins pass incomplete short right intended for Jordan Addison,3.81,2.97,1.0,2023,7
2.0,5:43,4.0,7.0,TAM 7,3.0,10.0,Greg Joseph 25 yard field goal good,2.97,3.0,1.0,2023,7
2.0,5:41,,,MIN 35,3.0,10.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,7
2.0,5:41,1.0,10.0,TAM 25,3.0,10.0,Rachaad White right tackle for 5 yards (tackle by Dean Lowry),0.61,0.74,1.0,2023,7
2.0,5:16,2.0,5.0,TAM 30,3.0,10.0,Baker Mayfield pass incomplete short left intended for Trey Palmer,0.74,0.04,1.0,2023,7
2.0,5:10,3.0,5.0,TAM 30,3.0,10.0,Baker Mayfield pass incomplete short right,0.04,-1.37,1.0,2023,7
2.0,5:04,4.0,5.0,TAM 30,3.0,10.0,"Jake Camarda punts 59 yards, returned by Brandon Powell for 3 yards (tackle by Josh Hayes)",-1.37,0.28,1.0,2023,7
2.0,4:55,1.0,10.0,MIN 14,3.0,10.0,Ty Chandler left tackle for 1 yard (tackle by Shaquil Barrett and Devin White),-0.28,-0.64,1.0,2023,7
2.0,4:20,2.0,9.0,MIN 15,3.0,10.0,Kirk Cousins pass complete short right to T.J. Hockenson for 2 yards (tackle by Shaquil Barrett),-0.64,-1.04,1.0,2023,7
2.0,3:33,3.0,7.0,MIN 17,3.0,10.0,Kirk Cousins pass complete short left to K.J. Osborn for 6 yards (tackle by Ryan Neal),-1.04,-1.83,1.0,2023,7
2.0,2:46,4.0,1.0,MIN 23,3.0,10.0,Ryan Wright punts 38 yards out of bounds,-1.83,-1.53,1.0,2023,7
2.0,2:39,1.0,10.0,TAM 39,3.0,10.0,Rachaad White left end for -1 yards (tackle by Danielle Hunter and Jordan Hicks),1.53,0.85,1.0,2023,7
2.0,2:15,2.0,11.0,TAM 38,3.0,10.0,Rachaad White up the middle for 4 yards (tackle by Dean Lowry and Danielle Hunter),0.85,0.7,1.0,2023,7
2.0,2:00,3.0,7.0,TAM 42,3.0,10.0,"Penalty on Patrick Jones: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.7,1.36,1.0,2023,7
2.0,2:00,3.0,2.0,TAM 47,3.0,10.0,Baker Mayfield pass complete short right to Chris Godwin for 14 yards (tackle by Josh Metellus),1.36,2.98,1.0,2023,7
2.0,1:43,1.0,10.0,MIN 39,3.0,10.0,Baker Mayfield pass complete short left to Mike Evans for 9 yards (tackle by Josh Metellus),2.98,3.66,1.0,2023,7
2.0,1:29,2.0,1.0,MIN 30,3.0,10.0,Rachaad White right guard for 2 yards (tackle by Ivan Pace and Danielle Hunter),3.66,3.71,1.0,2023,7
2.0,1:19,1.0,10.0,MIN 28,3.0,10.0,Baker Mayfield pass incomplete deep right intended for Deven Thompkins (defended by Josh Metellus),3.71,3.17,1.0,2023,7
2.0,1:14,2.0,10.0,MIN 28,9.0,10.0,"Baker Mayfield pass complete deep middle to Mike Evans for 28 yards, touchdown",3.17,7.0,1.0,2023,7
2.0,1:09,,,MIN 15,10.0,10.0,Chase McLaughlin kicks extra point good,0.0,0.0,1.0,2023,7
2.0,1:09,,,TAM 35,10.0,10.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,7
2.0,1:09,1.0,10.0,MIN 25,10.0,10.0,Kirk Cousins pass incomplete deep right intended for Justin Jefferson,0.61,0.06,1.0,2023,7
2.0,1:04,2.0,10.0,MIN 25,10.0,10.0,Kirk Cousins pass complete short right to Justin Jefferson for 6 yards (tackle by Carlton Davis),0.06,0.17,1.0,2023,7
2.0,1:00,3.0,4.0,MIN 31,10.0,10.0,Kirk Cousins pass complete short right to T.J. Hockenson for 5 yards (tackle by Jamel Dean),0.17,1.33,1.0,2023,7
2.0,0:54,,,,,,Timeout #1 by Minnesota Vikings,,,1.0,2023,7
2.0,0:54,1.0,10.0,MIN 36,10.0,10.0,Kirk Cousins pass complete deep middle to Justin Jefferson for 42 yards (tackle by Antoine Winfield),1.33,4.11,1.0,2023,7
2.0,0:27,1.0,10.0,TAM 22,10.0,10.0,Kirk Cousins pass complete short right to Jordan Addison for 9 yards (tackle by Ryan Neal),4.11,5.06,1.0,2023,7
2.0,0:23,,,,,,Timeout #2 by Minnesota Vikings,,,1.0,2023,7
2.0,0:23,2.0,1.0,TAM 13,10.0,10.0,Kirk Cousins pass short left intended for K.J. Osborn is intercepted by Christian Izien at TB-2 and returned for 14 yards (tackle by Justin Jefferson),5.06,0.14,1.0,2023,7
2.0,0:16,1.0,10.0,TAM 16,10.0,10.0,Chase Edmonds right guard for 5 yards (tackle by D.J. Wonnum and Harrison Phillips),-0.14,0.15,1.0,2023,7
3.0,15:00,,,MIN 35,10.0,10.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,7
3.0,15:00,1.0,10.0,TAM 25,10.0,10.0,Rachaad White left tackle for 2 yards (tackle by Harrison Phillips),0.61,0.33,1.0,2023,7
3.0,14:20,2.0,8.0,TAM 27,10.0,10.0,Rachaad White right guard for 2 yards (tackle by Harrison Phillips and D.J. Wonnum),0.33,-0.1,1.0,2023,7
3.0,13:41,3.0,6.0,TAM 29,10.0,10.0,Baker Mayfield pass complete short right to Mike Evans for 11 yards (tackle by Harrison Smith and Camryn Bynum),-0.1,1.6,1.0,2023,7
3.0,12:59,1.0,10.0,TAM 40,10.0,10.0,Baker Mayfield pass complete short middle to Rachaad White for 8 yards (tackle by Camryn Bynum),1.6,2.13,1.0,2023,7
3.0,12:16,2.0,2.0,TAM 48,10.0,10.0,Chase Edmonds up the middle for 3 yards (tackle by Harrison Smith and Camryn Bynum),2.13,2.32,1.0,2023,7
3.0,11:36,1.0,10.0,MIN 49,10.0,10.0,Baker Mayfield pass complete short left to Sean Tucker for 3 yards (tackle by Ivan Pace),2.32,2.19,1.0,2023,7
3.0,10:57,2.0,7.0,MIN 46,10.0,10.0,Baker Mayfield pass complete short left to Cade Otton for 13 yards (tackle by Harrison Phillips and Camryn Bynum),2.19,3.38,1.0,2023,7
3.0,10:13,1.0,10.0,MIN 33,10.0,10.0,Sean Tucker right tackle for 1 yard (tackle by Danielle Hunter),3.38,2.97,1.0,2023,7
3.0,9:32,2.0,9.0,MIN 32,10.0,10.0,Sean Tucker up the middle for 3 yards (tackle by Ivan Pace and Danielle Hunter),2.97,2.68,1.0,2023,7
3.0,8:57,3.0,6.0,MIN 29,10.0,10.0,Baker Mayfield pass complete short left to Deven Thompkins for 8 yards (tackle by Akayleb Evans and Byron Murphy),2.68,4.17,1.0,2023,7
3.0,8:21,1.0,10.0,MIN 21,10.0,10.0,Baker Mayfield pass incomplete short left intended for Mike Evans,4.17,3.63,1.0,2023,7
3.0,8:16,2.0,10.0,MIN 21,10.0,10.0,Baker Mayfield pass complete short middle to Deven Thompkins for 2 yards (tackle by Josh Metellus),3.63,3.18,1.0,2023,7
3.0,7:34,3.0,8.0,MIN 19,10.0,10.0,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Camryn Bynum),3.18,2.69,1.0,2023,7
3.0,6:47,4.0,2.0,MIN 13,10.0,10.0,"Chase McLaughlin yard field goal good. Penalty on Jay Ward: Defensive Offside, 5 yards (accepted) (no play)",2.69,5.37,1.0,2023,7
3.0,6:44,1.0,8.0,MIN 8,10.0,10.0,Rachaad White right tackle for 1 yard (tackle by Jonathan Bullard and Dean Lowry),5.37,4.76,1.0,2023,7
3.0,6:10,2.0,7.0,MIN 7,10.0,10.0,Baker Mayfield pass incomplete short right intended for Chris Godwin,4.76,3.81,1.0,2023,7
3.0,6:06,3.0,7.0,MIN 7,16.0,10.0,"Baker Mayfield pass complete short middle to Trey Palmer for 7 yards, touchdown",3.81,7.0,1.0,2023,7
3.0,6:01,,,MIN 15,17.0,10.0,Chase McLaughlin kicks extra point good,0.0,0.0,1.0,2023,7
3.0,6:01,,,TAM 35,17.0,10.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,7
3.0,6:01,1.0,10.0,MIN 25,17.0,10.0,Alexander Mattison left guard for 2 yards (tackle by Vita Vea),0.61,0.33,1.0,2023,7
3.0,5:21,2.0,8.0,MIN 27,17.0,10.0,Kirk Cousins pass complete short left to Justin Jefferson for 5 yards (tackle by Ryan Neal and Lavonte David),0.33,0.3,1.0,2023,7
3.0,4:42,3.0,3.0,MIN 32,17.0,10.0,Kirk Cousins pass complete short right to T.J. Hockenson for 8 yards (tackle by Christian Izien),0.3,1.6,1.0,2023,7
3.0,4:13,1.0,10.0,MIN 40,17.0,10.0,Alexander Mattison up the middle for 9 yards (tackle by Antoine Winfield and Ryan Neal),1.6,2.27,1.0,2023,7
3.0,3:51,2.0,1.0,MIN 49,17.0,10.0,Kirk Cousins up the middle for 3 yards (tackle by Devin White),2.27,2.39,1.0,2023,7
3.0,3:20,1.0,10.0,TAM 48,17.0,10.0,Kirk Cousins pass complete short right to Josh Oliver for 18 yards (tackle by Jamel Dean),2.39,3.58,1.0,2023,7
3.0,2:38,1.0,10.0,TAM 30,17.0,10.0,Kirk Cousins sacked by Anthony Nelson for -6 yards,3.58,2.29,1.0,2023,7
3.0,1:55,2.0,15.0,TAM 36,17.0,10.0,Kirk Cousins pass complete short right to Alexander Mattison for 3 yards (tackle by Mike Greene),2.29,2.02,1.0,2023,7
3.0,1:31,3.0,12.0,TAM 33,17.0,10.0,Kirk Cousins pass complete short left to Jordan Addison for 13 yards (tackle by Carlton Davis),2.02,4.24,1.0,2023,7
3.0,0:58,1.0,10.0,TAM 20,17.0,10.0,Kirk Cousins pass incomplete short middle intended for T.J. Hockenson,4.24,3.69,1.0,2023,7
3.0,0:52,2.0,10.0,TAM 20,17.0,10.0,"Penalty on Christian Darrisaw: False Start, 5 yards (accepted) (no play)",3.69,3.02,1.0,2023,7
3.0,0:52,2.0,15.0,TAM 25,17.0,10.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 14 yards (tackle by Antoine Winfield and Lavonte David),3.02,4.59,1.0,2023,7
3.0,0:16,3.0,1.0,TAM 11,17.0,10.0,Alexander Mattison up the middle for 2 yards (tackle by Shaquil Barrett),4.59,5.14,1.0,2023,7
4.0,15:00,1.0,9.0,TAM 9,17.0,10.0,Kirk Cousins pass incomplete short right intended for Alexander Mattison,5.14,4.38,1.0,2023,7
4.0,14:52,2.0,9.0,TAM 9,17.0,10.0,Kirk Cousins left tackle for 4 yards (tackle by Devin White),4.38,4.26,1.0,2023,7
4.0,14:33,3.0,5.0,TAM 5,17.0,10.0,"Kirk Cousins pass incomplete short right intended for K.J. Osborn. Penalty on Christian Izien: Defensive Pass Interference, 4 yards (accepted) (no play)",4.26,6.97,1.0,2023,7
4.0,14:23,1.0,1.0,TAM 1,17.0,10.0,Alexander Mattison up the middle for -3 yards (tackle by Vita Vea),6.97,5.34,1.0,2023,7
4.0,13:43,2.0,4.0,TAM 4,17.0,16.0,"Kirk Cousins pass complete short right to Alexander Mattison for 4 yards, touchdown",5.34,7.0,1.0,2023,7
4.0,13:37,,,TAM 15,17.0,17.0,Greg Joseph kicks extra point good,0.0,0.0,1.0,2023,7
4.0,13:37,,,MIN 35,17.0,17.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,7
4.0,13:37,1.0,10.0,TAM 25,17.0,17.0,Baker Mayfield pass complete short middle to Sean Tucker for 6 yards (tackle by Harrison Smith),0.61,0.87,1.0,2023,7
4.0,12:59,2.0,4.0,TAM 31,17.0,17.0,Sean Tucker left end for 4 yards (tackle by Josh Metellus),0.87,1.27,1.0,2023,7
4.0,12:19,1.0,10.0,TAM 35,17.0,17.0,Sean Tucker left tackle for 2 yards (tackle by Harrison Phillips),1.27,0.99,1.0,2023,7
4.0,11:41,2.0,8.0,TAM 37,17.0,17.0,Baker Mayfield pass incomplete short middle intended for Mike Evans (defended by Harrison Phillips),0.99,0.3,1.0,2023,7
4.0,11:34,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,1.0,2023,7
4.0,11:34,3.0,8.0,TAM 37,17.0,17.0,"Baker Mayfield left end for 3 yards (tackle by Akayleb Evans). Penalty on Robert Hainsey: Offensive Holding, 10 yards (declined)",0.3,-0.72,1.0,2023,7
4.0,11:24,4.0,5.0,TAM 40,17.0,17.0,"Jake Camarda punts 60 yards, touchback.",-0.72,-0.28,1.0,2023,7
4.0,11:11,1.0,10.0,MIN 20,17.0,17.0,Kirk Cousins pass complete short left to T.J. Hockenson for -3 yards (tackle by Devin White),0.28,-0.79,1.0,2023,7
4.0,10:35,2.0,13.0,MIN 17,17.0,17.0,Kirk Cousins pass complete short middle to K.J. Osborn for 6 yards (tackle by Antoine Winfield and Christian Izien),-0.79,-0.69,1.0,2023,7
4.0,10:10,3.0,8.0,MIN 22,17.0,17.0,Kirk Cousins pass incomplete short right intended for K.J. Osborn,-0.69,-1.83,1.0,2023,7
4.0,10:03,4.0,7.0,MIN 23,17.0,17.0,"Ryan Wright punts 54 yards, returned by Deven Thompkins for no gain (tackle by Jalen Nailor)",-1.83,-0.48,1.0,2023,7
4.0,9:56,1.0,10.0,TAM 23,17.0,17.0,Baker Mayfield pass complete short left to Mike Evans for 6 yards (tackle by Akayleb Evans and Harrison Smith),0.48,0.74,1.0,2023,7
4.0,9:20,2.0,4.0,TAM 29,17.0,17.0,Rachaad White up the middle for 3 yards (tackle by Harrison Phillips),0.74,0.43,1.0,2023,7
4.0,8:49,3.0,1.0,TAM 32,17.0,17.0,"Rachaad White up the middle for no gain (tackle by Jonathan Bullard) TAM challenged the short of the line to gain ruling, and the play was upheld.",0.43,-1.24,1.0,2023,7
4.0,8:18,4.0,1.0,TAM 32,17.0,17.0,Baker Mayfield up the middle for 1 yard (tackle by Harrison Phillips),-1.24,1.14,1.0,2023,7
4.0,7:54,1.0,10.0,TAM 33,17.0,17.0,Baker Mayfield right end for 5 yards (tackle by Byron Murphy),1.14,1.27,1.0,2023,7
4.0,7:13,2.0,5.0,TAM 38,17.0,17.0,Baker Mayfield pass complete short right to Chris Godwin for 16 yards (tackle by Byron Murphy and Camryn Bynum),1.27,2.52,1.0,2023,7
4.0,6:36,1.0,10.0,MIN 46,17.0,17.0,Baker Mayfield pass complete short left to Mike Evans for 6 yards (tackle by Akayleb Evans),2.52,2.79,1.0,2023,7
4.0,6:06,2.0,4.0,MIN 40,17.0,17.0,Baker Mayfield pass incomplete deep left intended for Mike Evans (defended by Akayleb Evans),2.79,2.08,1.0,2023,7
4.0,5:54,3.0,4.0,MIN 40,17.0,17.0,Baker Mayfield pass complete short right to Trey Palmer for 1 yard (tackle by Camryn Bynum and Byron Murphy),2.08,0.66,1.0,2023,7
4.0,5:15,,,,,,Timeout #1 by Minnesota Vikings,,,1.0,2023,7
4.0,5:15,4.0,3.0,MIN 39,20.0,17.0,Chase McLaughlin 57 yard field goal good,0.66,3.0,1.0,2023,7
4.0,5:10,,,TAM 35,20.0,17.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,7
4.0,5:10,1.0,10.0,MIN 25,20.0,17.0,Kirk Cousins pass complete short left to T.J. Hockenson for -4 yards (tackle by Lavonte David and Logan Hall),0.61,-0.48,1.0,2023,7
4.0,4:34,2.0,14.0,MIN 21,20.0,17.0,Kirk Cousins pass complete short left to Justin Jefferson for 7 yards (tackle by Lavonte David),-0.48,-0.23,1.0,2023,7
4.0,4:08,3.0,7.0,MIN 28,20.0,17.0,Kirk Cousins pass incomplete short right intended for Jordan Addison (defended by Carlton Davis),-0.23,-1.5,1.0,2023,7
4.0,4:03,4.0,7.0,MIN 28,20.0,17.0,"Ryan Wright punts 58 yards, returned by Deven Thompkins for 16 yards (tackle by Brian Asamoah)",-1.5,-0.94,1.0,2023,7
4.0,3:52,1.0,10.0,TAM 30,20.0,17.0,"Rachaad White up the middle for 5 yards (tackle by Ivan Pace and Dean Lowry). Penalty on Dean Lowry: Face Mask (15 Yards), 15 yards (accepted)",0.94,2.26,1.0,2023,7
4.0,3:47,1.0,10.0,TAM 50,20.0,17.0,Baker Mayfield pass complete short right to Mike Evans for 6 yards (tackle by Jordan Hicks),2.26,2.52,1.0,2023,7
4.0,3:44,,,,,,Timeout #2 by Minnesota Vikings,,,1.0,2023,7
4.0,3:44,2.0,4.0,MIN 44,20.0,17.0,Rachaad White left guard for 1 yard (tackle by Khyiris Tonga and Ivan Pace),2.52,1.95,1.0,2023,7
4.0,3:39,,,,,,Timeout #3 by Minnesota Vikings,,,1.0,2023,7
4.0,3:39,3.0,3.0,MIN 43,20.0,17.0,Baker Mayfield right end for 4 yards (tackle by Ivan Pace),1.95,2.98,1.0,2023,7
4.0,2:52,1.0,10.0,MIN 39,20.0,17.0,Rachaad White right tackle for no gain (tackle by Harrison Phillips and Jonathan Bullard),2.98,2.44,1.0,2023,7
