Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA,week,year,game_id
3.0,10:19,1.0,10.0,NWE 31,16.0,14.0,"Jalen Hurts scrambles for no gain. Penalty on Jordan Mailata: Offensive Holding, 10 yards (accepted) (no play)",3.51,2.85,1.0,2023,13
3.0,9:50,1.0,20.0,NWE 41,16.0,14.0,Jalen Hurts pass incomplete deep left intended for DeVonta Smith (defended by Jabrill Peppers),2.85,1.62,1.0,2023,13
3.0,9:44,2.0,20.0,NWE 41,16.0,14.0,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by Keion White),1.62,0.96,1.0,2023,13
3.0,9:39,3.0,20.0,NWE 41,16.0,14.0,Kenneth Gainwell right end for 3 yards (tackle by Christian Gonzalez),0.96,0.72,1.0,2023,13
3.0,8:52,,,,,,Timeout #1 by Philadelphia Eagles,,,1.0,2023,13
3.0,8:52,4.0,17.0,NWE 38,19.0,14.0,Jake Elliott 56 yard field goal good,0.72,3.0,1.0,2023,13
3.0,8:48,,,PHI 35,19.0,14.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,13
3.0,8:48,1.0,10.0,NWE 25,19.0,14.0,Ezekiel Elliott left end for 7 yards (tackle by Reed Blankenship),0.61,1.01,1.0,2023,13
3.0,8:13,2.0,3.0,NWE 32,19.0,14.0,Ezekiel Elliott left tackle for 4 yards (tackle by Josh Sweat and Fletcher Cox),1.01,1.33,1.0,2023,13
3.0,7:36,1.0,10.0,NWE 36,19.0,14.0,Mac Jones pass complete short right to JuJu Smith-Schuster for 6 yards (tackle by Darius Slay and Nakobe Dean),1.33,1.6,1.0,2023,13
3.0,7:03,2.0,4.0,NWE 42,19.0,14.0,Mac Jones pass incomplete short middle intended for JuJu Smith-Schuster,1.6,0.89,1.0,2023,13
3.0,6:59,3.0,4.0,NWE 42,19.0,14.0,Mac Jones pass complete short left to Kendrick Bourne for 18 yards (tackle by Reed Blankenship),0.89,2.92,1.0,2023,13
3.0,6:34,1.0,10.0,PHI 40,19.0,14.0,Rhamondre Stevenson left tackle for 5 yards (tackle by Marlon Tuipulotu),2.92,3.05,1.0,2023,13
3.0,6:03,2.0,5.0,PHI 35,19.0,14.0,Mac Jones pass complete short left to Ezekiel Elliott for 4 yards (tackle by Marlon Tuipulotu and Reed Blankenship),3.05,2.87,1.0,2023,13
3.0,5:33,3.0,1.0,PHI 31,19.0,14.0,Ezekiel Elliott up the middle for 3 yards (tackle by Christian Elliss),2.87,3.71,1.0,2023,13
3.0,5:05,1.0,10.0,PHI 28,19.0,14.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Nakobe Dean and Marlon Tuipulotu),3.71,3.3,1.0,2023,13
3.0,4:26,2.0,9.0,PHI 27,19.0,14.0,"Rhamondre Stevenson up the middle for 2 yards (tackle by Justin Evans). Penalty on Hunter Henry: Offensive Holding, 10 yards (accepted)",3.3,2.22,1.0,2023,13
3.0,4:08,2.0,17.0,PHI 35,19.0,14.0,Mac Jones pass incomplete deep left intended for Kayshon Boutte (defended by Reed Blankenship),2.22,1.55,1.0,2023,13
3.0,4:00,3.0,17.0,PHI 35,19.0,14.0,"Mac Jones pass complete short left to Ezekiel Elliott for 6 yards (tackle by Reed Blankenship and James Bradberry). Penalty on Atonio Mafi: Offensive Holding, 10 yards (accepted)",1.55,1.02,1.0,2023,13
3.0,3:35,3.0,21.0,PHI 39,19.0,14.0,Mac Jones pass complete short right to Demario Douglas for -4 yards (tackle by Avonte Maddox),1.02,0.4,1.0,2023,13
3.0,2:51,4.0,25.0,PHI 43,19.0,14.0,"Bryce Baringer punts 43 yards, touchback.",0.4,-0.28,1.0,2023,13
3.0,2:43,1.0,10.0,PHI 20,19.0,14.0,Jalen Hurts pass complete short left to DeVonta Smith for 3 yards (tackle by Myles Bryant),0.28,0.14,1.0,2023,13
3.0,2:02,2.0,7.0,PHI 23,19.0,14.0,Jalen Hurts pass complete short right to Kenneth Gainwell for 4 yards (tackle by Myles Bryant and Ja'Whaun Bentley),0.14,-0.03,1.0,2023,13
3.0,1:23,3.0,3.0,PHI 27,19.0,14.0,Jalen Hurts scrambles right end for 5 yards (tackle by Myles Bryant),-0.03,1.07,1.0,2023,13
3.0,0:41,1.0,10.0,PHI 32,19.0,14.0,Jalen Hurts pass complete short right to DeVonta Smith for 9 yards,1.07,1.74,1.0,2023,13
3.0,0:11,2.0,1.0,PHI 41,19.0,14.0,Jalen Hurts pass complete short right to DeVonta Smith for 13 yards (tackle by Marte Mapu and Ja'Whaun Bentley),1.74,2.52,1.0,2023,13
4.0,15:00,1.0,10.0,NWE 46,19.0,14.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,2.52,1.98,1.0,2023,13
4.0,14:53,2.0,10.0,NWE 46,19.0,14.0,Jalen Hurts pass complete short right to DeVonta Smith for 13 yards (tackle by Kyle Dugger),1.98,3.38,1.0,2023,13
4.0,14:22,1.0,10.0,NWE 33,19.0,14.0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith,3.38,2.84,1.0,2023,13
4.0,14:14,2.0,10.0,NWE 33,19.0,14.0,D'Andre Swift left tackle for 3 yards (tackle by Deatrich Wise),2.84,2.54,1.0,2023,13
4.0,13:31,3.0,7.0,NWE 30,19.0,14.0,Jalen Hurts pass incomplete short left intended for Dallas Goedert,2.54,1.41,1.0,2023,13
4.0,13:26,4.0,7.0,NWE 30,22.0,14.0,Jake Elliott 48 yard field goal good,1.41,3.0,1.0,2023,13
4.0,13:21,,,PHI 35,22.0,14.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,13
4.0,13:21,1.0,10.0,NWE 25,22.0,14.0,Mac Jones pass complete short left to Mike Gesicki for 10 yards (tackle by James Bradberry),0.61,1.27,1.0,2023,13
4.0,12:47,1.0,10.0,NWE 35,22.0,14.0,"Mac Jones pass complete short middle to Rhamondre Stevenson for 12 yards (tackle by Christian Elliss). Penalty on Milton Williams: Roughing the Passer, 15 yards (accepted)",1.27,3.05,1.0,2023,13
4.0,12:34,1.0,10.0,PHI 38,22.0,14.0,Mac Jones pass incomplete deep right intended for Ty Montgomery,3.05,2.51,1.0,2023,13
4.0,12:26,2.0,10.0,PHI 38,22.0,14.0,Mac Jones pass incomplete short left intended for Ezekiel Elliott (defended by Josh Sweat),2.51,1.82,1.0,2023,13
4.0,12:23,3.0,10.0,PHI 38,22.0,14.0,Mac Jones pass complete short left to Rhamondre Stevenson for 2 yards (tackle by Reed Blankenship),1.82,0.88,1.0,2023,13
4.0,11:44,4.0,8.0,PHI 36,22.0,14.0,Mac Jones pass complete short middle to Hunter Henry for 12 yards (tackle by Christian Elliss),0.88,3.97,1.0,2023,13
4.0,11:18,1.0,10.0,PHI 24,22.0,14.0,Mac Jones pass complete short right to JuJu Smith-Schuster for 5 yards (tackle by Darius Slay),3.97,4.12,1.0,2023,13
4.0,10:53,2.0,5.0,PHI 19,22.0,14.0,Rhamondre Stevenson right guard for 2 yards (tackle by Milton Williams),4.12,3.75,1.0,2023,13
4.0,10:10,3.0,3.0,PHI 17,22.0,14.0,Ezekiel Elliott right guard for no gain (tackle by Fletcher Cox),3.75,2.41,1.0,2023,13
4.0,9:39,4.0,3.0,PHI 17,22.0,14.0,Mac Jones pass incomplete short right intended for Ezekiel Elliott,2.41,0.06,1.0,2023,13
4.0,9:32,1.0,10.0,PHI 17,22.0,14.0,"Jalen Hurts pass complete to A.J. Brown for 48 yards NWE challenged the pass completion ruling, and the original play was overturned. Jalen Hurts pass incomplete deep right intended for A.J. Brown (defended by Jonathan Jones)",-0.06,-0.58,1.0,2023,13
4.0,9:24,2.0,10.0,PHI 17,22.0,14.0,Jalen Hurts pass complete short left to A.J. Brown for 23 yards (tackle by Christian Gonzalez),-0.58,1.6,1.0,2023,13
4.0,8:41,1.0,10.0,PHI 40,22.0,14.0,Jalen Hurts pass complete short middle to A.J. Brown for 15 yards (tackle by Kyle Dugger),1.6,2.59,1.0,2023,13
4.0,8:04,1.0,10.0,NWE 45,22.0,14.0,"Jalen Hurts pass complete to A.J. Brown for no gain. Penalty on Deatrich Wise: Defensive Holding, 5 yards (accepted) (no play)",2.59,2.92,1.0,2023,13
4.0,7:46,1.0,10.0,NWE 40,22.0,14.0,Jalen Hurts sacked by Christian Gonzalez for -8 yards,2.92,1.29,1.0,2023,13
4.0,6:59,,,,,,Timeout #2 by Philadelphia Eagles,,,1.0,2023,13
4.0,6:59,2.0,18.0,NWE 48,22.0,14.0,Jalen Hurts pass complete short left to Boston Scott for 7 yards (tackle by Jonathan Jones and Adrian Phillips),1.29,1.55,1.0,2023,13
4.0,6:17,3.0,11.0,NWE 41,22.0,14.0,Jalen Hurts pass complete short middle to A.J. Brown for 8 yards (tackle by Christian Gonzalez),1.55,1.19,1.0,2023,13
4.0,5:38,4.0,3.0,NWE 33,25.0,14.0,Jake Elliott 51 yard field goal good,1.19,3.0,1.0,2023,13
4.0,5:33,,,PHI 35,25.0,14.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,13
4.0,5:33,1.0,10.0,NWE 25,25.0,14.0,Mac Jones pass incomplete deep right intended for Demario Douglas,0.61,0.06,1.0,2023,13
4.0,5:27,2.0,10.0,NWE 25,25.0,14.0,Mac Jones pass complete short left to Rhamondre Stevenson for 32 yards (tackle by Justin Evans and Avonte Maddox),0.06,2.72,1.0,2023,13
4.0,4:53,1.0,10.0,PHI 43,25.0,14.0,Rhamondre Stevenson up the middle for 5 yards (tackle by Jordan Davis),2.72,2.85,1.0,2023,13
4.0,4:33,2.0,5.0,PHI 38,25.0,14.0,Mac Jones pass complete deep middle to Demario Douglas for 16 yards (tackle by Zach Cunningham),2.85,4.11,1.0,2023,13
4.0,4:10,1.0,10.0,PHI 22,25.0,14.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 11 yards (tackle by Avonte Maddox),4.11,4.84,1.0,2023,13
4.0,3:43,1.0,10.0,PHI 11,25.0,20.0,"Mac Jones pass complete short right to Kendrick Bourne for 11 yards, touchdown",4.84,7.0,1.0,2023,13
4.0,3:37,,,PHI 2,25.0,20.0,"Two Point Attempt: Mac Jones rushes, conversion succeeds.. Penalty on Calvin Anderson: Offensive Holding, 10 yards (accepted) (no play)",1.0,1.0,1.0,2023,13
4.0,3:37,,,PHI 2,25.0,20.0,Two Point Attempt: Mac Jones pass incomplete intended for Mike Gesicki,1.0,-1.0,1.0,2023,13
4.0,3:37,,,NWE 35,25.0,20.0,"Chad Ryland kicks off 49 yards, returned by Quez Watkins for 11 yards (tackle by Adrian Phillips)",0.0,0.74,1.0,2023,13
4.0,3:35,1.0,10.0,PHI 27,25.0,20.0,"Jalen Hurts left guard for 8 yards. Jalen Hurts fumbles (forced by Jabrill Peppers), recovered by Marcus Jones at PHI-41 (tackle by Jabrill Peppers)",0.74,-2.85,1.0,2023,13
