Quarter,Time,Down,ToGo,Location,CLE,BAL,Detail,EPB,EPA,week,year,game_id
2.0,6:36,4.0,5.0,BAL 5,3.0,14.0,Dustin Hopkins 23 yard field goal good,3.01,3.0,18.0,2024,257
2.0,6:33,,,CLE 35,3.0,14.0,"Dustin Hopkins kicks off 60 yards, returned by Keaton Mitchell for 47 yards (tackle by Myles Harden)",0.0,2.39,18.0,2024,257
2.0,6:26,1.0,10.0,CLE 48,3.0,14.0,Derrick Henry left guard for no gain (tackle by Winston Reid),2.39,1.85,18.0,2024,257
2.0,5:49,2.0,10.0,CLE 48,3.0,14.0,Lamar Jackson pass incomplete short right intended for Tylan Wallace,1.85,1.16,18.0,2024,257
2.0,5:44,3.0,10.0,CLE 48,3.0,14.0,Lamar Jackson pass complete short middle to Rashod Bateman for 18 yards (tackle by Martin Emerson),1.16,3.58,18.0,2024,257
2.0,4:52,1.0,10.0,CLE 30,3.0,14.0,"Penalty on Lamar Jackson: Delay of Game, 5 yards (accepted) (no play)",3.58,3.25,18.0,2024,257
2.0,4:52,1.0,15.0,CLE 35,3.0,14.0,Lamar Jackson pass complete short left to Isaiah Likely for 5 yards (tackle by Mohamoud Diabate and Martin Emerson),3.25,3.03,18.0,2024,257
2.0,3:54,2.0,10.0,CLE 30,3.0,14.0,Lamar Jackson pass incomplete short middle intended for Rasheen Ali,3.03,2.34,18.0,2024,257
2.0,3:47,3.0,10.0,CLE 30,3.0,14.0,Lamar Jackson pass complete short middle to Rashod Bateman for 7 yards (tackle by Martin Emerson),2.34,2.03,18.0,2024,257
2.0,3:00,4.0,3.0,CLE 23,3.0,14.0,Lamar Jackson pass incomplete short middle intended for Mark Andrews (defended by Cameron Mitchell),2.03,-0.48,18.0,2024,257
2.0,2:55,1.0,10.0,CLE 23,3.0,14.0,Bailey Zappe pass incomplete short left intended for Jerry Jeudy,0.48,-0.07,18.0,2024,257
2.0,2:50,2.0,10.0,CLE 23,3.0,14.0,Bailey Zappe pass incomplete short right,-0.07,-0.76,18.0,2024,257
2.0,2:46,3.0,10.0,CLE 23,3.0,14.0,"Penalty on Joel Bitonio: False Start, 5 yards (accepted) (no play)",-0.76,-1.56,18.0,2024,257
2.0,2:46,3.0,15.0,CLE 18,3.0,14.0,Bailey Zappe pass complete short right to D'Onta Foreman for 8 yards (tackle by Roquan Smith),-1.56,-1.63,18.0,2024,257
2.0,2:00,4.0,7.0,CLE 26,3.0,14.0,"Corey Bojorquez punts 62 yards, returned by Steven Sims for 8 yards (tackle by D'Anthony Bell). Penalty on Nate Wiggins: Offensive Holding, 10 yards (accepted)",-1.63,0.38,18.0,2024,257
2.0,1:47,1.0,10.0,BAL 10,3.0,14.0,Derrick Henry right end for 4 yards (tackle by Sam Kamara),-0.38,-0.46,18.0,2024,257
2.0,1:03,2.0,6.0,BAL 14,3.0,14.0,Lamar Jackson pass incomplete short right intended for Rasheen Ali,-0.46,-0.95,18.0,2024,257
2.0,0:58,3.0,6.0,BAL 14,3.0,14.0,Lamar Jackson pass complete short right to Mark Andrews for 6 yards (tackle by Mike Ford),-0.95,0.28,18.0,2024,257
2.0,0:52,,,,,,Timeout #2 by Baltimore Ravens,,,18.0,2024,257
2.0,0:52,1.0,10.0,BAL 20,3.0,14.0,Lamar Jackson scrambles left end for 15 yards (tackle by Juan Thornhill),0.28,1.27,18.0,2024,257
2.0,0:38,,,,,,Timeout #3 by Baltimore Ravens,,,18.0,2024,257
2.0,0:38,1.0,10.0,BAL 35,3.0,14.0,Lamar Jackson pass complete short middle to Derrick Henry for 13 yards (tackle by Myles Harden and Cameron Mitchell),1.27,2.13,18.0,2024,257
2.0,0:20,1.0,10.0,BAL 48,3.0,14.0,Lamar Jackson spiked the ball,2.13,1.58,18.0,2024,257
2.0,0:19,2.0,10.0,BAL 48,3.0,14.0,Lamar Jackson pass complete short right to Mark Andrews for 6 yards (tackle by Rodney McLeod),1.58,1.68,18.0,2024,257
2.0,0:12,3.0,4.0,CLE 46,3.0,14.0,Lamar Jackson pass incomplete short left intended for Isaiah Likely,1.68,0.2,18.0,2024,257
2.0,0:10,,,,,,Timeout #2 by Cleveland Browns,,,18.0,2024,257
2.0,0:10,4.0,4.0,CLE 46,3.0,14.0,"Lamar Jackson right tackle for no gain (tackle by Ogbonnia Okoronkwo). Penalty on Keaton Mitchell: Illegal Shift, 6 yards (accepted) (no play)",0.2,-0.19,18.0,2024,257
2.0,0:04,4.0,10.0,BAL 48,3.0,14.0,Lamar Jackson pass incomplete deep middle intended for Isaiah Likely (defended by Rodney McLeod),-0.19,2.13,18.0,2024,257
3.0,15:00,,,CLE 35,3.0,14.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,257
3.0,15:00,1.0,10.0,BAL 30,3.0,14.0,Derrick Henry left guard for 25 yards (tackle by Martin Emerson),0.94,2.59,18.0,2024,257
3.0,14:21,1.0,10.0,CLE 45,3.0,14.0,Lamar Jackson scrambles right end for 1 yard (tackle by Isaiah McGuire),2.59,2.18,18.0,2024,257
3.0,13:38,2.0,9.0,CLE 44,3.0,14.0,Lamar Jackson pass complete short middle to Isaiah Likely for 14 yards (tackle by Cameron Mitchell),2.18,3.58,18.0,2024,257
3.0,13:18,1.0,10.0,CLE 30,3.0,14.0,Derrick Henry left tackle for 5 yards (tackle by Sam Kamara),3.58,3.71,18.0,2024,257
3.0,12:39,2.0,5.0,CLE 25,3.0,14.0,"Derrick Henry right end for no gain (tackle by Grant Delpit). Penalty on Andrew Vorhees: Offensive Holding, 10 yards (accepted) (no play)",3.71,2.36,18.0,2024,257
3.0,12:10,2.0,15.0,CLE 35,3.0,14.0,Lamar Jackson pass complete deep right to Mark Andrews for 30 yards (tackle by Grant Delpit),2.36,6.06,18.0,2024,257
3.0,11:29,1.0,5.0,CLE 5,3.0,14.0,Derrick Henry left guard for -2 yards (tackle by Sam Kamara and Ronnie Hickman),6.06,4.76,18.0,2024,257
3.0,10:47,2.0,7.0,CLE 7,3.0,20.0,"Lamar Jackson pass complete short middle to Rashod Bateman for 7 yards, touchdown",4.76,7.0,18.0,2024,257
3.0,10:42,,,CLE 15,3.0,21.0,Justin Tucker kicks extra point good,0.0,0.0,18.0,2024,257
3.0,10:42,,,BAL 35,3.0,21.0,"Jordan Stout kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,257
3.0,10:42,1.0,10.0,CLE 30,3.0,21.0,Bailey Zappe pass incomplete short right intended for Jordan Akins (defended by Ar'Darius Washington),0.94,0.39,18.0,2024,257
3.0,10:37,2.0,10.0,CLE 30,3.0,21.0,Bailey Zappe pass complete short middle to Jordan Akins for 8 yards (tackle by Kyle Hamilton),0.39,0.76,18.0,2024,257
3.0,10:08,3.0,2.0,CLE 38,3.0,21.0,Bailey Zappe pass incomplete deep left intended for Jerry Jeudy,0.76,-0.85,18.0,2024,257
3.0,10:03,4.0,2.0,CLE 38,3.0,21.0,"Corey Bojorquez punts 44 yards, returned by Steven Sims for 7 yards (tackle by Mike Ford)",-0.85,-0.61,18.0,2024,257
3.0,9:55,1.0,10.0,BAL 25,3.0,21.0,Lamar Jackson pass incomplete deep left intended for Mark Andrews,0.61,0.06,18.0,2024,257
3.0,9:50,2.0,10.0,BAL 25,3.0,21.0,Derrick Henry left guard for 20 yards (tackle by Mike Ford),0.06,1.93,18.0,2024,257
3.0,9:16,1.0,10.0,BAL 45,3.0,21.0,Derrick Henry left end for 7 yards (tackle by Cameron Thomas),1.93,2.33,18.0,2024,257
3.0,8:50,2.0,3.0,CLE 48,3.0,21.0,Keaton Mitchell left end for 2 yards (tackle by Mike Ford),2.33,1.88,18.0,2024,257
3.0,8:16,3.0,1.0,CLE 46,3.0,21.0,Lamar Jackson left end for 2 yards (tackle by Winston Reid),1.88,2.65,18.0,2024,257
3.0,7:36,1.0,10.0,CLE 44,3.0,21.0,Lamar Jackson pass incomplete deep middle intended for Rashod Bateman,2.65,2.11,18.0,2024,257
3.0,7:31,2.0,10.0,CLE 44,3.0,21.0,Derrick Henry left end for 6 yards (tackle by Winston Reid),2.11,2.21,18.0,2024,257
3.0,6:53,3.0,4.0,CLE 38,3.0,21.0,Lamar Jackson pass incomplete deep left intended for Rashod Bateman,2.21,0.72,18.0,2024,257
3.0,6:48,4.0,4.0,CLE 38,3.0,21.0,"Penalty on Lamar Jackson: Delay of Game, 5 yards (accepted) (no play)",0.72,0.4,18.0,2024,257
3.0,6:48,4.0,9.0,CLE 43,3.0,21.0,"Jordan Stout punts 33 yards, fair catch by James Proche at CLE-10",0.4,0.38,18.0,2024,257
3.0,6:42,1.0,10.0,CLE 10,3.0,21.0,Jacob Kibodi left end for 17 yards (tackle by Ar'Darius Washington),-0.38,0.74,18.0,2024,257
3.0,6:07,1.0,10.0,CLE 27,3.0,21.0,Jacob Kibodi right guard for 2 yards (tackle by Odafe Oweh),0.74,0.54,18.0,2024,257
3.0,5:28,2.0,7.0,CLE 29,3.0,21.0,Bailey Zappe sacked by Odafe Oweh for -5 yards,0.54,-0.82,18.0,2024,257
3.0,4:39,3.0,12.0,CLE 24,3.0,21.0,"Penalty on Bailey Zappe: Delay of Game, 5 yards (accepted) (no play)",-0.82,-1.58,18.0,2024,257
3.0,4:17,3.0,17.0,CLE 19,3.0,21.0,Bailey Zappe pass incomplete deep left intended for Jerry Jeudy,-1.58,-2.14,18.0,2024,257
3.0,4:12,4.0,17.0,CLE 19,3.0,21.0,"Corey Bojorquez punts 41 yards, returned by Steven Sims for 1 yard (tackle by Nathaniel Watson)",-2.14,-1.66,18.0,2024,257
3.0,4:03,1.0,10.0,BAL 41,3.0,21.0,Lamar Jackson pass incomplete short right intended for Mark Andrews (defended by Nathaniel Watson),1.66,1.12,18.0,2024,257
3.0,3:57,2.0,10.0,BAL 41,3.0,21.0,Derrick Henry left guard for 2 yards (tackle by Cameron Thomas and Sam Kamara),1.12,0.7,18.0,2024,257
3.0,3:25,3.0,8.0,BAL 43,3.0,21.0,Lamar Jackson pass incomplete short middle,0.7,-0.52,18.0,2024,257
3.0,3:20,4.0,8.0,BAL 43,3.0,21.0,Jordan Stout punts 29 yards downed by Kristian Welch,-0.52,-0.81,18.0,2024,257
3.0,3:09,1.0,10.0,CLE 28,3.0,21.0,Bailey Zappe pass complete short right to Jerry Jeudy for 6 yards (tackle by Ar'Darius Washington),0.81,1.07,18.0,2024,257
3.0,2:30,2.0,4.0,CLE 34,3.0,21.0,Bailey Zappe pass incomplete short left intended for Brenden Bates,1.07,0.37,18.0,2024,257
3.0,2:25,3.0,4.0,CLE 34,3.0,21.0,Bailey Zappe pass complete short left to Jerry Jeudy for 10 yards (tackle by Marlon Humphrey),0.37,1.86,18.0,2024,257
3.0,1:43,1.0,10.0,CLE 44,3.0,21.0,Jacob Kibodi right tackle for -1 yards (tackle by Nnamdi Madubuike),1.86,1.18,18.0,2024,257
3.0,1:05,2.0,11.0,CLE 43,3.0,21.0,"Bailey Zappe pass complete deep left to Elijah Moore for no gain (tackle by Brandon Stephens). Penalty on Elijah Moore: Offensive Pass Interference, 10 yards (accepted) (no play)",1.18,-0.17,18.0,2024,257
3.0,0:43,2.0,21.0,CLE 33,3.0,21.0,D'Onta Foreman right tackle for 5 yards (tackle by Kyle Van Noy),-0.17,-0.16,18.0,2024,257
4.0,15:00,3.0,16.0,CLE 38,3.0,21.0,"Bailey Zappe sacked by Kyle Van Noy for no gain. Penalty on Kyle Van Noy: Defensive Offside, 5 yards (accepted) (no play)",-0.16,0.5,18.0,2024,257
4.0,14:34,3.0,11.0,CLE 43,3.0,21.0,"Bailey Zappe pass incomplete deep middle intended for Jerry Jeudy (defended by Brandon Stephens). Penalty on Brandon Stephens: Defensive Pass Interference, 17 yards (accepted) (no play)",0.5,2.92,18.0,2024,257
4.0,14:29,1.0,10.0,BAL 40,3.0,21.0,Bailey Zappe pass complete short right to Jerry Jeudy for 10 yards (tackle by Marlon Humphrey),2.92,3.58,18.0,2024,257
4.0,13:47,1.0,10.0,BAL 30,3.0,21.0,"Bailey Zappe pass complete deep left to Jamari Thrash for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Bailey Zappe pass incomplete deep left intended for Jamari Thrash (defended by Brandon Stephens)",3.58,3.03,18.0,2024,257
4.0,13:42,2.0,10.0,BAL 30,3.0,21.0,Bailey Zappe pass complete short left to Elijah Moore for 5 yards (tackle by Brandon Stephens),3.03,3.01,18.0,2024,257
4.0,13:06,3.0,5.0,BAL 25,3.0,21.0,Bailey Zappe pass complete short left to Elijah Moore for 8 yards (tackle by Tre'Davious White),3.01,4.44,18.0,2024,257
4.0,12:27,1.0,10.0,BAL 17,3.0,21.0,Bailey Zappe pass incomplete deep left intended for Jerry Jeudy,4.44,3.85,18.0,2024,257
4.0,12:22,2.0,10.0,BAL 17,3.0,21.0,D'Onta Foreman left end for 1 yard (tackle by Odafe Oweh and Roquan Smith),3.85,3.19,18.0,2024,257
4.0,11:39,3.0,9.0,BAL 16,9.0,21.0,"Bailey Zappe pass complete short left to Jordan Akins for 16 yards, touchdown",3.19,7.0,18.0,2024,257
4.0,11:33,,,BAL 15,10.0,21.0,Dustin Hopkins kicks extra point good,0.0,0.0,18.0,2024,257
4.0,11:33,,,CLE 35,10.0,21.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,257
4.0,11:33,1.0,10.0,BAL 30,10.0,21.0,Derrick Henry left guard for 1 yard (tackle by Cameron Thomas and Nathaniel Watson),0.94,0.53,18.0,2024,257
4.0,10:43,2.0,9.0,BAL 31,10.0,21.0,Lamar Jackson scrambles left guard for 1 yard (tackle by Sam Kamara),0.53,-0.03,18.0,2024,257
4.0,10:13,3.0,8.0,BAL 32,10.0,21.0,Lamar Jackson pass complete short middle to Rashod Bateman for 24 yards (tackle by Mohamoud Diabate),-0.03,2.65,18.0,2024,257
4.0,9:35,1.0,10.0,CLE 44,10.0,21.0,Derrick Henry right guard for -2 yards (tackle by Cameron Thomas),2.65,1.84,18.0,2024,257
4.0,8:55,2.0,12.0,CLE 46,10.0,21.0,Lamar Jackson pass complete short right to Rashod Bateman for 20 yards (tackle by Grant Delpit),1.84,3.84,18.0,2024,257
4.0,8:20,1.0,10.0,CLE 26,10.0,21.0,Derrick Henry left end for 15 yards (tackle by Ronnie Hickman),3.84,4.84,18.0,2024,257
4.0,7:39,1.0,10.0,CLE 11,10.0,21.0,"Penalty on Roger Rosengarten: False Start, 5 yards (accepted) (no play)",4.84,4.34,18.0,2024,257
4.0,7:24,1.0,15.0,CLE 16,10.0,21.0,Lamar Jackson pass complete short right to Patrick Ricard for 14 yards (tackle by Rodney McLeod and Ronnie Hickman),4.34,5.85,18.0,2024,257
4.0,6:48,2.0,1.0,CLE 2,10.0,27.0,"Derrick Henry left tackle for 2 yards, touchdown",5.85,7.0,18.0,2024,257
4.0,6:44,,,CLE 15,10.0,28.0,Justin Tucker kicks extra point good,0.0,0.0,18.0,2024,257
4.0,6:44,,,BAL 35,10.0,28.0,"Justin Tucker kicks off 54 yards, returned by James Proche for 19 yards (tackle by Malik Harrison)",0.0,0.94,18.0,2024,257
4.0,6:39,1.0,10.0,CLE 30,10.0,28.0,Bailey Zappe pass complete short right to Jacob Kibodi for 15 yards (tackle by Ar'Darius Washington and Roquan Smith),0.94,1.93,18.0,2024,257
4.0,6:04,1.0,10.0,CLE 45,10.0,28.0,D'Onta Foreman left tackle for 3 yards (tackle by David Ojabo and Brent Urban),1.93,1.79,18.0,2024,257
4.0,5:25,2.0,7.0,CLE 48,10.0,28.0,Bailey Zappe pass incomplete deep left intended for Jordan Akins,1.79,1.09,18.0,2024,257
4.0,5:20,3.0,7.0,CLE 48,10.0,28.0,Bailey Zappe pass complete short left to Jerry Jeudy for 3 yards (tackle by Chris Board),1.09,0.0,18.0,2024,257
4.0,4:40,4.0,4.0,BAL 49,10.0,28.0,Bailey Zappe pass incomplete short middle intended for Jerry Jeudy (defended by Chris Board),0.0,-2.19,18.0,2024,257
4.0,4:35,1.0,10.0,BAL 49,10.0,28.0,Derrick Henry left end for no gain (tackle by Mohamoud Diabate and Isaiah McGuire),2.19,1.65,18.0,2024,257
4.0,3:50,2.0,10.0,BAL 49,10.0,28.0,Derrick Henry left guard for 8 yards (tackle by Isaiah McGuire),1.65,2.01,18.0,2024,257
4.0,3:13,3.0,2.0,CLE 43,10.0,34.0,"Derrick Henry left end for 43 yards, touchdown",2.01,7.0,18.0,2024,257
4.0,3:04,,,CLE 15,10.0,35.0,Justin Tucker kicks extra point good,0.0,0.0,18.0,2024,257
4.0,3:04,,,BAL 35,10.0,35.0,"Justin Tucker kicks off 56 yards, returned by Kaden Davis for 39 yards (tackle by Justin Tucker)",0.0,2.13,18.0,2024,257
4.0,3:04,1.0,10.0,CLE 48,10.0,35.0,Bailey Zappe pass complete short right to Jerry Jeudy for 30 yards (tackle by Tavius Robinson),2.13,4.11,18.0,2024,257
4.0,2:49,1.0,10.0,BAL 22,10.0,35.0,Bailey Zappe pass complete short right to Jerry Jeudy for 4 yards (tackle by T.J. Tampa),4.11,4.13,18.0,2024,257
4.0,2:23,2.0,6.0,BAL 18,10.0,35.0,Bailey Zappe pass short middle intended for Jacob Kibodi is intercepted by Michael Pierce at BAL-16 and returned for 6 yards,4.13,-0.41,18.0,2024,257
4.0,2:16,1.0,10.0,BAL 22,10.0,35.0,Keaton Mitchell right guard for 4 yards (tackle by Mike Ford),0.41,0.41,18.0,2024,257
4.0,2:00,2.0,6.0,BAL 26,10.0,35.0,Keaton Mitchell right tackle for 4 yards (tackle by Cameron Thomas),0.41,0.23,18.0,2024,257
4.0,1:19,3.0,2.0,BAL 30,10.0,35.0,Keaton Mitchell up the middle for no gain (tackle by Khaleke Hudson),0.23,-1.37,18.0,2024,257
4.0,0:33,,,,,,Timeout #1 by Baltimore Ravens,,,18.0,2024,257
4.0,0:33,4.0,2.0,BAL 30,10.0,35.0,"Jordan Stout punts 70 yards, touchback.",-1.37,-0.28,18.0,2024,257
4.0,0:24,1.0,10.0,CLE 20,10.0,35.0,Bailey Zappe kneels for -1 yards,0.28,-0.46,18.0,2024,257
