Quarter,Time,Down,ToGo,Location,CHI,GNB,Detail,EPB,EPA,week,year,game_id
1.0,6:52,4.0,6.0,CHI 44,6.0,0.0,"Daniel Whelan punts 38 yards, returned by Josh Blackwell for 94 yards, touchdown",0.33,-7.0,18.0,2024,261
1.0,6:34,,,GNB 15,7.0,0.0,Cairo Santos kicks extra point good,0.0,0.0,18.0,2024,261
1.0,6:34,,,CHI 35,7.0,0.0,"Cairo Santos kicks off 62 yards, returned by Keisean Nixon for 26 yards (tackle by Collin Johnson)",0.0,0.87,18.0,2024,261
1.0,6:29,1.0,10.0,GNB 29,7.0,0.0,Jordan Love pass complete short middle to Dontayvion Wicks for 15 yards (tackle by T.J. Edwards and Kevin Byard),0.87,1.86,18.0,2024,261
1.0,5:50,1.0,10.0,GNB 44,7.0,0.0,"Penalty on Jonathan Ford: Encroachment, 5 yards (accepted) (no play)",1.86,2.59,18.0,2024,261
1.0,5:32,1.0,5.0,GNB 49,7.0,0.0,Malik Willis left guard for 3 yards (tackle by Jonathan Owens),2.59,2.4,18.0,2024,261
1.0,4:56,2.0,2.0,CHI 48,7.0,0.0,Josh Jacobs up the middle for 6 yards (tackle by Chris Williams),2.4,2.79,18.0,2024,261
1.0,4:07,1.0,10.0,CHI 42,7.0,0.0,"Jordan Love pass complete short middle to Luke Musgrave for 19 yards (tackle by Jaylon Johnson) GNB challenged the pass completion ruling, and the original play was overturned. Jordan Love pass complete deep middle to Luke Musgrave for 19 yards (tackle by Jaylon Johnson)",2.79,4.04,18.0,2024,261
1.0,4:04,1.0,10.0,CHI 23,7.0,0.0,Bo Melton right end for 1 yard (tackle by Tyrique Stevenson),4.04,3.63,18.0,2024,261
1.0,3:19,2.0,9.0,CHI 22,7.0,0.0,Jordan Love pass incomplete short right intended for Malik Heath (defended by Tyrique Stevenson),3.63,2.94,18.0,2024,261
1.0,3:11,3.0,9.0,CHI 22,7.0,0.0,Jordan Love pass complete short right to Tucker Kraft for 3 yards (tackle by Kevin Byard),2.94,2.21,18.0,2024,261
1.0,2:28,4.0,6.0,CHI 19,7.0,3.0,Brandon McManus 37 yard field goal good,2.21,3.0,18.0,2024,261
1.0,2:24,,,GNB 35,7.0,3.0,"Brandon McManus kicks off 68 yards, returned by Tyler Scott for 29 yards (tackle by Ty'Ron Hopper and Eric Wilson)",0.0,0.67,18.0,2024,261
1.0,2:16,1.0,10.0,CHI 26,7.0,3.0,Roschon Johnson up the middle for -4 yards (tackle by Tedarrell Slaton),0.67,-0.41,18.0,2024,261
1.0,1:31,2.0,14.0,CHI 22,7.0,3.0,Caleb Williams pass incomplete deep right,-0.41,-1.09,18.0,2024,261
1.0,1:24,3.0,14.0,CHI 22,7.0,3.0,Caleb Williams pass complete short right to Roschon Johnson for 7 yards (tackle by Karl Brooks),-1.09,-1.44,18.0,2024,261
1.0,0:41,4.0,7.0,CHI 29,7.0,3.0,"Penalty on Scott Daly: False Start, 5 yards (accepted) (no play)",-1.44,-1.77,18.0,2024,261
1.0,0:17,4.0,12.0,CHI 24,7.0,3.0,"Tory Taylor punts 49 yards, fair catch by Jayden Reed at GB-27",-1.77,-0.74,18.0,2024,261
1.0,0:10,1.0,10.0,GNB 27,7.0,3.0,"Jayden Reed left end for 4 yards. Jayden Reed fumbles (forced by Jaylon Johnson), recovered by Jonathan Owens at GB-34 and returned for 13 yards (tackle by Dontayvion Wicks)",0.74,-4.17,18.0,2024,261
1.0,0:02,1.0,10.0,GNB 21,7.0,3.0,D'Andre Swift up the middle for 2 yards (tackle by Colby Wooden),4.17,3.9,18.0,2024,261
2.0,15:00,2.0,8.0,GNB 19,7.0,3.0,Caleb Williams pass complete short left to D.J. Moore for 15 yards (tackle by Javon Bullard),3.9,6.28,18.0,2024,261
2.0,14:20,1.0,4.0,GNB 4,13.0,3.0,"D'Andre Swift up the middle for 4 yards, touchdown",6.28,7.0,18.0,2024,261
2.0,14:17,,,GNB 15,14.0,3.0,Cairo Santos kicks extra point good,0.0,0.0,18.0,2024,261
2.0,14:17,,,CHI 35,14.0,3.0,"Cairo Santos kicks off 64 yards, returned by Keisean Nixon for 36 yards (tackle by Daniel Hardy and Terell Smith)",0.0,1.4,18.0,2024,261
2.0,14:11,1.0,10.0,GNB 37,14.0,3.0,Jordan Love pass complete deep middle to Dontayvion Wicks for 16 yards (tackle by Kevin Byard),1.4,2.46,18.0,2024,261
2.0,13:48,1.0,10.0,CHI 47,14.0,3.0,Jordan Love pass incomplete short left intended for Tucker Kraft (defended by Tremaine Edmunds) (defended by Jaylon Johnson),2.46,1.91,18.0,2024,261
2.0,13:40,2.0,10.0,CHI 47,14.0,3.0,Josh Jacobs right guard for 12 yards (tackle by Tyrique Stevenson),1.91,3.25,18.0,2024,261
2.0,13:20,1.0,10.0,CHI 35,14.0,3.0,Jordan Love pass complete short right to Josh Jacobs for 8 yards (tackle by Austin Booker and Austin Booker) (no play),3.25,3.98,18.0,2024,261
2.0,12:41,1.0,5.0,CHI 30,14.0,3.0,Josh Jacobs up the middle for 6 yards (tackle by Gervon Dexter and Chris Williams),3.98,3.97,18.0,2024,261
2.0,12:20,1.0,10.0,CHI 24,14.0,3.0,"Malik Willis pass complete short right to Tucker Kraft for no gain (tackle by Tyrique Stevenson). Penalty on Elgton Jenkins: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.97,3.64,18.0,2024,261
2.0,11:51,1.0,15.0,CHI 29,14.0,3.0,Malik Willis pass incomplete short right intended for Tucker Kraft,3.64,2.76,18.0,2024,261
2.0,11:46,2.0,15.0,CHI 29,14.0,3.0,Malik Willis pass complete deep right to Tucker Kraft for 20 yards (tackle by Kevin Byard),2.76,5.14,18.0,2024,261
2.0,11:17,1.0,9.0,CHI 9,14.0,9.0,"Josh Jacobs up the middle for 9 yards, touchdown",5.14,7.0,18.0,2024,261
2.0,11:12,,,CHI 15,14.0,10.0,Brandon McManus kicks extra point good,0.0,0.0,18.0,2024,261
2.0,11:12,,,GNB 35,14.0,10.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.28,18.0,2024,261
2.0,11:12,1.0,10.0,CHI 20,14.0,10.0,D'Andre Swift right end for 6 yards (tackle by Kitan Oladapo),0.28,0.54,18.0,2024,261
2.0,10:51,2.0,4.0,CHI 26,14.0,10.0,D'Andre Swift up the middle for 5 yards (tackle by Karl Brooks),0.54,1.0,18.0,2024,261
2.0,10:16,1.0,10.0,CHI 31,14.0,10.0,D'Andre Swift left end for 14 yards (tackle by Kitan Oladapo and Xavier McKinney),1.0,1.93,18.0,2024,261
2.0,9:30,1.0,10.0,CHI 45,14.0,10.0,D'Andre Swift left end for 1 yard (tackle by Carrington Valentine and Rashan Gary),1.93,1.52,18.0,2024,261
2.0,8:53,2.0,9.0,CHI 46,14.0,10.0,Caleb Williams pass complete short right to Rome Odunze for 3 yards (tackle by Eric Wilson and Javon Bullard),1.52,1.22,18.0,2024,261
2.0,8:17,3.0,6.0,CHI 49,14.0,10.0,Caleb Williams pass complete short right to D.J. Moore for -2 yards (tackle by Keisean Nixon),1.22,-0.26,18.0,2024,261
2.0,7:35,4.0,8.0,CHI 47,14.0,10.0,"Tory Taylor punts 53 yards, touchback.",-0.26,-0.28,18.0,2024,261
2.0,7:25,1.0,10.0,GNB 20,14.0,10.0,Emanuel Wilson up the middle for 4 yards (tackle by Jonathan Ford and Kevin Byard),0.28,0.27,18.0,2024,261
2.0,6:47,2.0,6.0,GNB 24,14.0,10.0,Emanuel Wilson right end for 7 yards (tackle by Kyler Gordon),0.27,1.0,18.0,2024,261
2.0,6:08,1.0,10.0,GNB 31,14.0,10.0,Emanuel Wilson right guard for 2 yards (tackle by Jonathan Ford and Tremaine Edmunds),1.0,0.73,18.0,2024,261
2.0,5:27,2.0,8.0,GNB 33,14.0,10.0,Malik Willis pass incomplete short middle intended for Malik Heath,0.73,0.04,18.0,2024,261
2.0,5:23,3.0,8.0,GNB 33,14.0,10.0,Malik Willis pass complete deep left to Jayden Reed for 31 yards (tackle by Jonathan Owens),0.04,3.18,18.0,2024,261
2.0,4:53,1.0,10.0,CHI 36,14.0,10.0,Chris Brooks up the middle for 5 yards (tackle by Jonathan Owens and Gervon Dexter),3.18,3.31,18.0,2024,261
2.0,4:18,2.0,5.0,CHI 31,14.0,10.0,Chris Brooks up the middle for 13 yards (tackle by Kevin Byard and Tremaine Edmunds),3.31,4.37,18.0,2024,261
2.0,3:41,1.0,10.0,CHI 18,14.0,10.0,Chris Brooks right end for no gain (tackle by Montez Sweat and Tyrique Stevenson),4.37,3.88,18.0,2024,261
2.0,3:02,2.0,9.0,CHI 18,14.0,10.0,Jayden Reed right end for 1 yard (tackle by Kevin Byard),3.88,3.17,18.0,2024,261
2.0,2:32,3.0,9.0,CHI 17,14.0,10.0,Malik Willis pass complete short right to Dontayvion Wicks for 5 yards (tackle by Gervon Dexter and Tyrique Stevenson),3.17,2.71,18.0,2024,261
2.0,2:00,4.0,4.0,CHI 12,14.0,13.0,Brandon McManus 30 yard field goal good,2.71,3.0,18.0,2024,261
2.0,1:57,,,GNB 35,14.0,13.0,"Brandon McManus kicks off 56 yards, returned by Tyler Scott for 36 yards (tackle by Eric Wilson)",0.0,1.93,18.0,2024,261
2.0,1:50,1.0,10.0,CHI 45,14.0,13.0,D'Andre Swift left end for 3 yards (tackle by Lukas Van Ness),1.93,1.79,18.0,2024,261
2.0,1:25,2.0,7.0,CHI 48,14.0,13.0,Caleb Williams pass incomplete short left intended for D'Andre Swift,1.79,1.09,18.0,2024,261
2.0,1:18,3.0,7.0,CHI 48,14.0,13.0,Caleb Williams pass complete short right to Keenan Allen for 8 yards (tackle by Xavier McKinney),1.09,2.65,18.0,2024,261
2.0,0:54,1.0,10.0,GNB 44,14.0,13.0,Caleb Williams pass complete short left to Keenan Allen for 4 yards,2.65,2.65,18.0,2024,261
2.0,0:50,2.0,6.0,GNB 40,14.0,13.0,"Penalty on Darnell Wright: False Start, 5 yards (accepted) (no play)",2.65,1.98,18.0,2024,261
2.0,0:50,2.0,11.0,GNB 45,14.0,13.0,Caleb Williams pass incomplete short right,1.98,1.29,18.0,2024,261
2.0,0:42,,,,,,Timeout #1 by Chicago Bears,,,18.0,2024,261
2.0,0:42,3.0,11.0,GNB 45,14.0,13.0,Caleb Williams pass incomplete deep right,1.29,0.27,18.0,2024,261
2.0,0:37,4.0,11.0,GNB 45,14.0,13.0,"Tory Taylor punts 34 yards, fair catch by Jayden Reed at GB-11",0.27,0.37,18.0,2024,261
2.0,0:30,1.0,10.0,GNB 11,14.0,13.0,Chris Brooks left end for 4 yards (tackle by Darrell Taylor and Tremaine Edmunds),-0.37,-0.43,18.0,2024,261
3.0,15:00,,,GNB 35,14.0,13.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,261
3.0,15:00,1.0,10.0,CHI 30,14.0,13.0,D'Andre Swift right end for 3 yards (tackle by Edgerrin Cooper),0.94,0.8,18.0,2024,261
3.0,14:29,2.0,7.0,CHI 33,14.0,13.0,D'Andre Swift up the middle for 3 yards (tackle by Devonte Wyatt),0.8,0.5,18.0,2024,261
3.0,14:07,3.0,4.0,CHI 36,14.0,13.0,Caleb Williams pass complete short right to Keenan Allen for 13 yards (tackle by Keisean Nixon),0.5,2.19,18.0,2024,261
3.0,13:23,1.0,10.0,CHI 49,14.0,13.0,Caleb Williams pass incomplete short right,2.19,1.65,18.0,2024,261
3.0,13:10,2.0,10.0,CHI 49,14.0,13.0,D'Andre Swift left guard for 2 yards (tackle by Edgerrin Cooper),1.65,1.22,18.0,2024,261
3.0,12:31,3.0,8.0,GNB 49,14.0,13.0,Caleb Williams scrambles right end for 3 yards (tackle by Isaiah McDuffie and Kitan Oladapo),1.22,0.2,18.0,2024,261
3.0,11:46,4.0,5.0,GNB 46,14.0,13.0,Caleb Williams pass complete short middle to Roschon Johnson for 6 yards (tackle by Xavier McKinney),0.2,2.92,18.0,2024,261
3.0,11:05,1.0,10.0,GNB 40,14.0,13.0,"Keenan Allen pass short right intended for D'Andre Swift is intercepted by Xavier McKinney at GB-26 and returned for 17 yards. Xavier McKinney fumbles (forced by Darnell Wright), recovered by Edgerrin Cooper at GB-44",2.92,-1.86,18.0,2024,261
3.0,10:50,1.0,10.0,GNB 44,14.0,13.0,Emanuel Wilson up the middle for 3 yards (tackle by Jonathan Owens and Gervon Dexter),1.86,1.72,18.0,2024,261
3.0,10:15,2.0,7.0,GNB 47,14.0,13.0,Emanuel Wilson right guard for 10 yards (tackle by Jaylon Johnson),1.72,2.72,18.0,2024,261
3.0,9:54,1.0,10.0,CHI 43,14.0,13.0,Emanuel Wilson up the middle for 3 yards (tackle by Kevin Byard and Gervon Dexter),2.72,2.58,18.0,2024,261
3.0,9:19,2.0,7.0,CHI 40,14.0,13.0,Emanuel Wilson right guard for 8 yards (tackle by Kevin Byard),2.58,3.45,18.0,2024,261
3.0,8:39,1.0,10.0,CHI 32,14.0,13.0,"Malik Willis sacked by Kevin Byard for -14 yards. Malik Willis fumbles (forced by Kevin Byard), recovered by T.J. Edwards at CHI-46",3.45,-1.99,18.0,2024,261
3.0,8:28,1.0,10.0,CHI 46,14.0,13.0,D'Andre Swift right end for 5 yards (tackle by Colby Wooden),1.99,2.13,18.0,2024,261
3.0,7:59,2.0,5.0,GNB 49,14.0,13.0,D'Andre Swift up the middle for 3 yards (tackle by Kenny Clark),2.13,1.82,18.0,2024,261
3.0,7:36,3.0,2.0,GNB 46,14.0,13.0,Caleb Williams right end for 3 yards (tackle by Xavier McKinney),1.82,2.72,18.0,2024,261
3.0,6:57,1.0,10.0,GNB 43,14.0,13.0,"D'Andre Swift left guard for no gain (tackle by Isaiah McDuffie). Penalty on Marcedes Lewis: Offensive Holding, 10 yards (accepted) (no play)",2.72,2.06,18.0,2024,261
3.0,6:28,1.0,20.0,CHI 47,14.0,13.0,D'Andre Swift up the middle for 2 yards (tackle by Rashan Gary),2.06,1.1,18.0,2024,261
3.0,5:45,2.0,18.0,CHI 49,14.0,13.0,Caleb Williams pass complete short right to D.J. Moore for 2 yards (tackle by Javon Bullard and Karl Brooks),1.1,0.7,18.0,2024,261
3.0,5:05,3.0,16.0,GNB 49,14.0,13.0,Caleb Williams pass complete short middle to Roschon Johnson for 6 yards (tackle by Edgerrin Cooper),0.7,0.4,18.0,2024,261
3.0,4:13,4.0,10.0,GNB 43,14.0,13.0,"Tory Taylor punts 27 yards, fair catch by Jayden Reed at GB-16",0.4,0.14,18.0,2024,261
3.0,4:08,1.0,10.0,GNB 16,14.0,13.0,Chris Brooks up the middle for 8 yards (tackle by Jaylon Johnson and Darrell Taylor),-0.14,0.55,18.0,2024,261
3.0,3:37,2.0,2.0,GNB 24,14.0,13.0,Chris Brooks up the middle for 3 yards (tackle by Darrell Taylor and Chris Williams),0.55,0.74,18.0,2024,261
3.0,2:49,1.0,10.0,GNB 27,14.0,13.0,Malik Willis pass complete short left to Malik Heath for 6 yards (tackle by Jaylon Johnson),0.74,1.01,18.0,2024,261
3.0,2:17,2.0,4.0,GNB 33,14.0,13.0,Chris Brooks left tackle for 23 yards (tackle by Jonathan Owens),1.01,2.65,18.0,2024,261
3.0,1:33,1.0,10.0,CHI 44,14.0,13.0,Malik Willis pass complete short right to Emanuel Wilson for -2 yards (tackle by Kyler Gordon),2.65,1.84,18.0,2024,261
3.0,1:12,2.0,12.0,CHI 46,14.0,13.0,Malik Willis pass complete short right to Dontayvion Wicks for 6 yards (tackle by T.J. Edwards and Tyrique Stevenson),1.84,1.95,18.0,2024,261
3.0,0:28,3.0,6.0,CHI 40,14.0,13.0,Chris Brooks up the middle for 3 yards (tackle by Tremaine Edmunds),1.95,0.79,18.0,2024,261
4.0,15:00,4.0,3.0,CHI 37,14.0,13.0,Jayden Reed left end for -2 yards (tackle by Terell Smith),0.79,-1.53,18.0,2024,261
4.0,14:55,1.0,10.0,CHI 39,14.0,13.0,D'Andre Swift right guard for -3 yards (tackle by Keisean Nixon),1.53,0.58,18.0,2024,261
4.0,14:13,2.0,13.0,CHI 36,14.0,13.0,Caleb Williams pass complete short right to Cole Kmet for 7 yards (tackle by Edgerrin Cooper and Keisean Nixon),0.58,0.83,18.0,2024,261
4.0,13:29,,,,,,Timeout #1 by Chicago Bears,,,18.0,2024,261
4.0,13:29,3.0,6.0,CHI 43,14.0,13.0,Caleb Williams pass complete short left to D.J. Moore for 7 yards (tackle by Eric Stokes),0.83,2.26,18.0,2024,261
4.0,12:55,1.0,10.0,CHI 50,14.0,13.0,Roschon Johnson up the middle for 7 yards (tackle by Javon Bullard and Edgerrin Cooper),2.26,2.66,18.0,2024,261
4.0,12:19,2.0,3.0,GNB 43,14.0,13.0,D'Andre Swift right end for -2 yards (tackle by Edgerrin Cooper),2.66,1.69,18.0,2024,261
4.0,11:35,3.0,5.0,GNB 45,14.0,13.0,Caleb Williams pass complete short left to D.J. Moore for 9 yards (tackle by Keisean Nixon),1.69,3.18,18.0,2024,261
4.0,10:56,1.0,10.0,GNB 36,14.0,13.0,D'Andre Swift left guard for 4 yards (tackle by Lukas Van Ness and Eric Wilson),3.18,3.18,18.0,2024,261
4.0,10:11,2.0,6.0,GNB 32,20.0,13.0,"Caleb Williams pass complete short right to D.J. Moore for 32 yards, touchdown",3.18,7.0,18.0,2024,261
4.0,10:02,,,GNB 2,20.0,13.0,"Two Point Attempt: Keenan Allen pass incomplete, sacked by Keenan Allen sacked by Edgerrin Cooper for no gain. Penalty on Carrington Valentine: Defensive Holding, 5 yards (accepted) (no play)",1.0,0.0,18.0,2024,261
4.0,10:02,,,GNB 10,21.0,13.0,Cairo Santos kicks extra point good,0.0,0.0,18.0,2024,261
4.0,10:02,,,CHI 35,21.0,13.0,"Cairo Santos kicks off 59 yards, returned by Keisean Nixon for 11 yards (tackle by Adrian Colbert)",0.0,-0.06,18.0,2024,261
4.0,9:58,1.0,10.0,GNB 17,21.0,13.0,Malik Willis pass complete deep left to Jayden Reed for 17 yards (tackle by Kevin Byard),-0.06,1.2,18.0,2024,261
4.0,9:37,1.0,10.0,GNB 34,21.0,13.0,Emanuel Wilson left end for 6 yards (tackle by Tyrique Stevenson),1.2,1.47,18.0,2024,261
4.0,9:11,2.0,4.0,GNB 40,21.0,13.0,Malik Willis sacked by T.J. Edwards for -6 yards,1.47,-0.03,18.0,2024,261
4.0,8:21,3.0,10.0,GNB 34,21.0,13.0,Malik Willis pass complete short right to Tucker Kraft for 6 yards (tackle by Kyler Gordon),-0.03,-0.72,18.0,2024,261
4.0,7:46,4.0,4.0,GNB 40,21.0,13.0,"Daniel Whelan punts 60 yards, touchback.",-0.72,-0.28,18.0,2024,261
4.0,7:34,1.0,10.0,CHI 20,21.0,13.0,D'Andre Swift left end for no gain (tackle by Tedarrell Slaton),0.28,-0.27,18.0,2024,261
4.0,6:54,2.0,10.0,CHI 20,21.0,13.0,Caleb Williams pass incomplete short right intended for D.J. Moore,-0.27,-0.96,18.0,2024,261
4.0,6:49,,,,,,Timeout #2 by Chicago Bears,,,18.0,2024,261
4.0,6:49,3.0,10.0,CHI 20,21.0,13.0,Caleb Williams pass complete short left to Roschon Johnson for -5 yards (tackle by Karl Brooks),-0.96,-2.44,18.0,2024,261
4.0,6:07,4.0,15.0,CHI 15,21.0,13.0,Tory Taylor punts 36 yards,-2.44,-2.19,18.0,2024,261
4.0,5:58,1.0,10.0,GNB 49,21.0,13.0,Malik Willis pass incomplete deep right intended for Dontayvion Wicks (defended by Terell Smith),2.19,1.65,18.0,2024,261
4.0,5:53,2.0,10.0,GNB 49,21.0,13.0,"Malik Willis scrambles left end for no gain (tackle by Jonathan Owens). Penalty on Rasheed Walker: Offensive Holding, 10 yards (accepted) (no play)",1.65,0.3,18.0,2024,261
4.0,5:20,2.0,20.0,GNB 39,21.0,13.0,Malik Willis sacked by Byron Cowart for -1 yards,0.3,-0.49,18.0,2024,261
4.0,4:43,3.0,21.0,GNB 38,21.0,13.0,Malik Willis pass complete deep right to Malik Heath for 41 yards (tackle by Kevin Byard),-0.49,4.17,18.0,2024,261
4.0,4:35,1.0,10.0,CHI 21,21.0,19.0,"Emanuel Wilson right end for 21 yards, touchdown",4.17,7.0,18.0,2024,261
4.0,4:28,,,CHI 2,21.0,19.0,Two Point Attempt: Malik Willis pass incomplete intended for intended for Jayden Reed,1.0,-1.0,18.0,2024,261
4.0,4:28,,,GNB 35,21.0,19.0,"Brandon McManus kicks off 63 yards, returned by Tyler Scott for 31 yards (tackle by Kitan Oladapo)",0.0,1.14,18.0,2024,261
4.0,4:22,1.0,10.0,CHI 33,21.0,19.0,D'Andre Swift right end for 2 yards (tackle by Isaiah McDuffie and Arron Mosby),1.14,0.86,18.0,2024,261
4.0,3:41,2.0,8.0,CHI 35,21.0,19.0,D.J. Moore left end for 5 yards (tackle by Kitan Oladapo and Eric Wilson),0.86,0.83,18.0,2024,261
4.0,3:33,3.0,3.0,CHI 40,21.0,19.0,Caleb Williams pass complete short middle to D.J. Moore for 6 yards (tackle by Eric Wilson),0.83,1.99,18.0,2024,261
4.0,2:57,1.0,10.0,CHI 46,21.0,19.0,D'Andre Swift right end for 5 yards (tackle by Arron Mosby and Tedarrell Slaton),1.99,2.13,18.0,2024,261
4.0,2:15,2.0,5.0,GNB 49,21.0,19.0,D'Andre Swift up the middle for 6 yards (tackle by Eric Wilson and Isaiah McDuffie),2.13,2.72,18.0,2024,261
4.0,2:00,1.0,10.0,GNB 43,21.0,19.0,"D'Andre Swift left end for no gain (tackle by Isaiah McDuffie and Eric Wilson). Penalty on Gerald Everett: Offensive Holding, 10 yards (accepted) (no play)",2.72,2.06,18.0,2024,261
4.0,1:49,1.0,20.0,CHI 47,21.0,19.0,"Caleb Williams pass complete short left to D.J. Moore for -1 yards. D.J. Moore fumbles (forced by Carrington Valentine), recovered by Javon Bullard at CHI-46 and returned for 3 yards (tackle by Larry Borom)",2.06,-2.72,18.0,2024,261
4.0,1:49,1.0,10.0,CHI 43,21.0,19.0,Malik Willis pass complete short left to Malik Heath for 6 yards (tackle by Kyler Gordon),2.72,2.99,18.0,2024,261
4.0,1:28,2.0,4.0,CHI 37,21.0,19.0,Emanuel Wilson up the middle for 2 yards (tackle by DeMarcus Walker and Byron Cowart),2.99,2.54,18.0,2024,261
4.0,1:07,3.0,2.0,CHI 35,21.0,19.0,Emanuel Wilson up the middle for -2 yards (tackle by DeMarcus Walker and Tremaine Edmunds),2.54,0.79,18.0,2024,261
4.0,0:58,,,,,,Timeout #1 by Green Bay Packers,,,18.0,2024,261
4.0,0:58,4.0,4.0,CHI 37,21.0,22.0,Brandon McManus 55 yard field goal good,0.79,3.0,18.0,2024,261
4.0,0:54,,,GNB 35,21.0,22.0,"Brandon McManus kicks off 65 yards, returned by Tyler Scott for 17 yards, lateral to Josh Blackwell for 3 yards (tackle by Carrington Valentine)",0.0,0.28,18.0,2024,261
4.0,0:48,1.0,10.0,CHI 20,21.0,22.0,"Caleb Williams sacked by Kingsley Enagbare for no gain. Penalty on Kingsley Enagbare: Horse Collar Tackle, 15 yards (accepted) (no play)",0.28,1.27,18.0,2024,261
4.0,0:40,1.0,10.0,CHI 35,21.0,22.0,Caleb Williams pass complete short right to Rome Odunze for 15 yards,1.27,2.26,18.0,2024,261
4.0,0:34,1.0,10.0,CHI 50,21.0,22.0,Caleb Williams scrambles up the middle for 4 yards (tackle by Colby Wooden and Kenny Clark),2.26,2.25,18.0,2024,261
4.0,0:27,,,,,,Timeout #3 by Chicago Bears,,,18.0,2024,261
4.0,0:27,2.0,6.0,GNB 46,21.0,22.0,Caleb Williams pass incomplete short left,2.25,1.55,18.0,2024,261
4.0,0:20,3.0,6.0,GNB 46,21.0,22.0,"Caleb Williams pass complete short right to D.J. Moore for no gain (tackle by Keisean Nixon). Penalty on D.J. Moore: Illegal Shift, 5 yards (accepted) (no play)",1.55,0.89,18.0,2024,261
4.0,0:15,,,,,,Timeout #2 by Green Bay Packers,,,18.0,2024,261
4.0,0:15,3.0,11.0,CHI 49,21.0,22.0,Caleb Williams pass complete short middle to D.J. Moore for 18 yards (tackle by Carrington Valentine),0.89,3.38,18.0,2024,261
4.0,0:03,1.0,10.0,GNB 33,21.0,22.0,Caleb Williams spiked the ball,3.38,2.84,18.0,2024,261
4.0,0:02,2.0,10.0,GNB 33,24.0,22.0,Cairo Santos 51 yard field goal good,2.84,3.0,18.0,2024,261
