Quarter,Time,Down,ToGo,Location,NOR,TAM,Detail,EPB,EPA,week,year,game_id
3.0,10:33,3.0,5.0,NOR 6,16.0,12.0,"Baker Mayfield pass complete short middle to Payne Durham for 6 yards, touchdown",4.21,7.0,18.0,2024,265
3.0,10:27,,,NOR 15,16.0,13.0,Chase McLaughlin kicks extra point good,0.0,0.0,18.0,2024,265
3.0,10:27,,,TAM 35,16.0,13.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,265
3.0,10:27,1.0,10.0,NOR 30,16.0,13.0,Spencer Rattler pass incomplete deep left intended for Marquez Valdes-Scantling,0.94,0.39,18.0,2024,265
3.0,10:22,2.0,10.0,NOR 30,16.0,13.0,Clyde Edwards-Helaire right end for 1 yard (tackle by Vita Vea and Lavonte David),0.39,-0.16,18.0,2024,265
3.0,9:38,3.0,9.0,NOR 31,16.0,13.0,Spencer Rattler pass incomplete deep right intended for Marquez Valdes-Scantling (defended by Kaevon Merriweather),-0.16,-1.31,18.0,2024,265
3.0,9:29,4.0,9.0,NOR 31,16.0,13.0,"Matthew Hayball punts 44 yards, fair catch by Trey Palmer at TB-25",-1.31,-0.61,18.0,2024,265
3.0,9:22,1.0,10.0,TAM 25,16.0,13.0,Bucky Irving right guard for 5 yards (tackle by Demario Davis),0.61,0.74,18.0,2024,265
3.0,8:40,2.0,5.0,TAM 30,16.0,13.0,Bucky Irving left tackle for 1 yard (tackle by Nephi Sewell and Demario Davis),0.74,0.17,18.0,2024,265
3.0,7:59,3.0,4.0,TAM 31,16.0,13.0,"Penalty on Luke Goedeke: False Start, 5 yards (accepted) (no play)",0.17,-0.49,18.0,2024,265
3.0,7:36,3.0,9.0,TAM 26,16.0,13.0,Baker Mayfield pass short middle (defended by Carl Granderson) intended for Mike Evans is intercepted by Jordan Howden at TB-40 and returned for 3 yards (tackle by Mike Evans),-0.49,-3.12,18.0,2024,265
3.0,7:29,1.0,10.0,TAM 37,16.0,13.0,Clyde Edwards-Helaire left end for 7 yards (tackle by Mike Edwards),3.12,3.52,18.0,2024,265
3.0,6:46,2.0,3.0,TAM 30,16.0,13.0,Jamaal Williams up the middle for -1 yards (tackle by K.J. Britt and Calijah Kancey),3.52,2.68,18.0,2024,265
3.0,6:04,3.0,4.0,TAM 31,16.0,13.0,Spencer Rattler pass incomplete short left intended for Cedrick Wilson (defended by Zyon McCollum),2.68,1.37,18.0,2024,265
3.0,5:58,4.0,4.0,TAM 31,19.0,13.0,Blake Grupe 49 yard field goal good,1.37,3.0,18.0,2024,265
3.0,5:53,,,NOR 35,19.0,13.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,265
3.0,5:53,1.0,10.0,TAM 30,19.0,13.0,Baker Mayfield pass complete short middle to Jalen McMillan for -6 yards (tackle by Cameron Jordan),0.94,-0.42,18.0,2024,265
3.0,5:16,2.0,16.0,TAM 24,19.0,13.0,Baker Mayfield pass complete short left to Mike Evans for 9 yards (tackle by Demario Davis),-0.42,0.1,18.0,2024,265
3.0,4:36,3.0,7.0,TAM 33,19.0,13.0,Baker Mayfield pass incomplete deep right intended for Mike Evans,0.1,-1.18,18.0,2024,265
3.0,4:31,4.0,7.0,TAM 33,19.0,13.0,"Jack Browning aborted snap, recovered by Jack Browning at TB-20 Jack Browning punts 14 yards downed by K.J. Britt",-1.18,-2.46,18.0,2024,265
3.0,4:20,1.0,10.0,TAM 47,19.0,13.0,Spencer Rattler pass complete short right to Foster Moreau for 6 yards (tackle by Zyon McCollum and Anthony Nelson),2.46,2.72,18.0,2024,265
3.0,4:15,2.0,4.0,TAM 41,19.0,13.0,"Penalty on Foster Moreau: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",2.72,0.7,18.0,2024,265
3.0,3:53,2.0,19.0,NOR 44,19.0,13.0,Spencer Rattler sacked by YaYa Diaby for -4 yards,0.7,-0.49,18.0,2024,265
3.0,3:11,3.0,23.0,NOR 40,19.0,13.0,Jamaal Williams up the middle for 6 yards (tackle by YaYa Diaby and Lavonte David),-0.49,-0.32,18.0,2024,265
3.0,2:24,4.0,17.0,NOR 46,19.0,13.0,Matthew Hayball punts 36 yards out of bounds,-0.32,-0.04,18.0,2024,265
3.0,2:18,1.0,10.0,TAM 18,19.0,13.0,Bucky Irving up the middle for 5 yards (tackle by Nephi Sewell),0.04,0.28,18.0,2024,265
3.0,1:45,2.0,5.0,TAM 23,19.0,13.0,"Bucky Irving left guard for no gain (tackle by Nephi Sewell). Penalty on Ben Bredeson: Offensive Holding, 10 yards (accepted) (no play)",0.28,-1.14,18.0,2024,265
3.0,1:32,2.0,15.0,TAM 13,19.0,13.0,"Penalty on Sterling Shepard: False Start, 5 yards (accepted) (no play)",-1.14,-1.51,18.0,2024,265
3.0,1:23,2.0,20.0,TAM 8,19.0,13.0,Baker Mayfield scrambles left guard for 14 yards (tackle by Nephi Sewell),-1.51,-0.66,18.0,2024,265
3.0,0:41,3.0,6.0,TAM 22,19.0,13.0,Baker Mayfield pass complete short middle to Devin Culp for 20 yards (tackle by Demario Davis),-0.66,1.73,18.0,2024,265
4.0,15:00,1.0,10.0,TAM 42,19.0,13.0,"Penalty on Payne Durham: False Start, 5 yards (accepted) (no play)",1.73,1.4,18.0,2024,265
4.0,15:00,1.0,15.0,TAM 37,19.0,13.0,Sean Tucker left end for 2 yards (tackle by Chase Young),1.4,0.78,18.0,2024,265
4.0,14:16,2.0,13.0,TAM 39,19.0,13.0,Baker Mayfield pass complete short left to Mike Evans for 10 yards (tackle by Will Harris),0.78,1.42,18.0,2024,265
4.0,13:33,3.0,3.0,TAM 49,19.0,13.0,Baker Mayfield scrambles right guard for 7 yards (tackle by Demario Davis and Nephi Sewell),1.42,2.65,18.0,2024,265
4.0,12:54,1.0,10.0,NOR 44,19.0,13.0,Baker Mayfield scrambles up the middle for 6 yards (tackle by Ugo Amadi),2.65,2.92,18.0,2024,265
4.0,12:15,2.0,4.0,NOR 38,19.0,13.0,Bucky Irving left tackle for 3 yards (tackle by Ugo Amadi),2.92,2.61,18.0,2024,265
4.0,11:34,3.0,1.0,NOR 35,19.0,13.0,Baker Mayfield left end for -7 yards (tackle by Ugo Amadi),2.61,0.46,18.0,2024,265
4.0,10:49,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,18.0,2024,265
4.0,10:49,4.0,8.0,NOR 42,19.0,13.0,"Baker Mayfield pass complete deep right to Jalen McMillan for 33 yards (tackle by Ugo Amadi). Penalty on Jalen McMillan: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",0.46,3.97,18.0,2024,265
4.0,10:37,1.0,10.0,NOR 24,19.0,13.0,"Bucky Irving left tackle for 2 yards (tackle by Carl Granderson). Penalty on Luke Goedeke: Offensive Holding, 10 yards (accepted)",3.97,3.45,18.0,2024,265
4.0,10:18,1.0,18.0,NOR 32,19.0,19.0,"Baker Mayfield pass complete deep right to Jalen McMillan for 32 yards, touchdown",3.45,7.0,18.0,2024,265
4.0,10:09,,,NOR 15,19.0,20.0,Chase McLaughlin kicks extra point good,0.0,0.0,18.0,2024,265
4.0,10:09,,,TAM 35,19.0,20.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,265
4.0,10:09,1.0,10.0,NOR 30,19.0,20.0,Clyde Edwards-Helaire right tackle for 1 yard (tackle by K.J. Britt),0.94,0.53,18.0,2024,265
4.0,9:32,2.0,9.0,NOR 31,19.0,20.0,Spencer Rattler pass complete short right to Marquez Valdes-Scantling for 20 yards (tackle by Zyon McCollum),0.53,2.32,18.0,2024,265
4.0,8:48,,,,,,Timeout #1 by New Orleans Saints,,,18.0,2024,265
4.0,8:48,1.0,10.0,TAM 49,19.0,20.0,Spencer Rattler pass incomplete deep left intended for Marquez Valdes-Scantling,2.32,1.78,18.0,2024,265
4.0,8:43,2.0,10.0,TAM 49,19.0,20.0,Spencer Rattler sacked by Vita Vea for -8 yards,1.78,0.04,18.0,2024,265
4.0,7:56,3.0,18.0,NOR 43,19.0,20.0,"Penalty on NOR: Delay of Game, 5 yards (accepted) (no play)",0.04,-0.63,18.0,2024,265
4.0,7:56,3.0,23.0,NOR 38,19.0,20.0,Spencer Rattler pass incomplete deep left intended for Dante Pettis,-0.63,-0.85,18.0,2024,265
4.0,7:50,4.0,23.0,NOR 38,19.0,20.0,"Matthew Hayball punts 51 yards, returned by Trey Palmer for no gain (tackle by Zach Wood). Penalty on Josh Hayes: Offensive Holding, 5 yards (accepted)",-0.85,0.38,18.0,2024,265
4.0,7:38,1.0,10.0,TAM 6,19.0,20.0,Bucky Irving left guard for 4 yards (tackle by Nephi Sewell and Carl Granderson),-0.38,-0.49,18.0,2024,265
4.0,7:05,2.0,6.0,TAM 10,19.0,20.0,Bucky Irving left end for -3 yards (tackle by Carl Granderson and Anfernee Orji),-0.49,-1.3,18.0,2024,265
4.0,6:21,3.0,9.0,TAM 7,19.0,20.0,Baker Mayfield pass complete short left to Mike Evans for 9 yards (tackle by Jordan Howden),-1.3,-0.14,18.0,2024,265
4.0,5:34,1.0,10.0,TAM 16,19.0,20.0,Baker Mayfield sacked by Nephi Sewell for -5 yards,-0.14,-1.15,18.0,2024,265
4.0,4:53,2.0,15.0,TAM 11,19.0,20.0,Bucky Irving left tackle for 1 yard (tackle by Ugo Amadi and Carl Granderson),-1.15,-1.89,18.0,2024,265
4.0,4:15,3.0,14.0,TAM 12,19.0,20.0,Baker Mayfield scrambles up the middle for 28 yards (tackle by Ugo Amadi),-1.89,1.6,18.0,2024,265
4.0,3:29,1.0,10.0,TAM 40,19.0,20.0,"Bucky Irving left tackle for no gain (tackle by Tanoh Kpassagnon). Penalty on Ko Kieft: Offensive Holding, 10 yards (accepted) (no play)",1.6,0.94,18.0,2024,265
4.0,3:23,1.0,20.0,TAM 30,19.0,20.0,Baker Mayfield pass complete short right to Mike Evans for 9 yards (tackle by Alontae Taylor),0.94,0.92,18.0,2024,265
4.0,2:32,2.0,11.0,TAM 39,19.0,20.0,"Bucky Irving left tackle for 1 yard (tackle by Anfernee Orji and Demario Davis). Penalty on Nathan Shepherd: Unnecessary Roughness / Defense, 15 yards (accepted)",0.92,2.59,18.0,2024,265
4.0,2:32,1.0,10.0,NOR 45,19.0,20.0,Sean Tucker left end for 14 yards (tackle by Jordan Howden),2.59,3.51,18.0,2024,265
4.0,2:26,1.0,10.0,NOR 31,19.0,20.0,Baker Mayfield pass complete short left to Mike Evans for 12 yards (tackle by Shemar Jean-Charles),3.51,4.31,18.0,2024,265
4.0,2:19,1.0,10.0,NOR 19,19.0,20.0,Bucky Irving up the middle for 8 yards (tackle by Will Harris),4.31,5.14,18.0,2024,265
4.0,2:00,2.0,2.0,NOR 11,19.0,26.0,"Bucky Irving right end for 11 yards, touchdown",5.14,7.0,18.0,2024,265
4.0,1:51,,,NOR 15,19.0,27.0,Chase McLaughlin kicks extra point good,0.0,0.0,18.0,2024,265
4.0,1:51,,,TAM 35,19.0,27.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,265
4.0,1:51,1.0,10.0,NOR 30,19.0,27.0,Spencer Rattler pass complete short right to Foster Moreau for 11 yards (tackle by Zyon McCollum),0.94,1.66,18.0,2024,265
4.0,1:27,1.0,10.0,NOR 41,19.0,27.0,Spencer Rattler pass complete short right to Juwan Johnson for 11 yards (tackle by Zyon McCollum),1.66,2.39,18.0,2024,265
