Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA,week,year,game_id
1.0,6:54,2.0,6.0,LVR 35,0.0,0.0,Justin Herbert pass complete short right to Quentin Johnston for 2 yards (tackle by Jack Jones),2.98,2.54,18.0,2024,270
1.0,6:12,3.0,4.0,LVR 33,0.0,0.0,Justin Herbert sacked by Adam Butler for -10 yards,2.54,0.4,18.0,2024,270
1.0,5:18,4.0,14.0,LVR 43,0.0,0.0,"JK Scott punts downed by Ja'Sir Taylor. Penalty on Decamerion Richardson: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",0.4,1.18,18.0,2024,270
1.0,5:08,4.0,4.0,LVR 33,0.0,0.0,Cameron Dicker 51 yard field goal no good,1.18,-1.66,18.0,2024,270
1.0,5:03,1.0,10.0,LVR 41,0.0,0.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 9 yards,1.66,2.34,18.0,2024,270
1.0,4:46,2.0,1.0,LVR 50,0.0,0.0,Aidan O'Connell right guard for 2 yards (tackle by Otito Ogbonnia),2.34,2.39,18.0,2024,270
1.0,4:14,1.0,10.0,LAC 48,0.0,0.0,Aidan O'Connell pass complete deep left to Jakobi Meyers for 20 yards (tackle by Tarheeb Still),2.39,3.71,18.0,2024,270
1.0,3:36,1.0,10.0,LAC 28,0.0,0.0,Aidan O'Connell pass complete short left to Jakobi Meyers for 6 yards (tackle by Kristian Fulton),3.71,3.98,18.0,2024,270
1.0,2:59,2.0,4.0,LAC 22,0.0,0.0,Aidan O'Connell pass incomplete short right,3.98,3.27,18.0,2024,270
1.0,2:54,3.0,4.0,LAC 22,0.0,0.0,Aidan O'Connell pass incomplete deep left intended for Brock Bowers,3.27,2.07,18.0,2024,270
1.0,2:50,4.0,4.0,LAC 22,0.0,3.0,Daniel Carlson 40 yard field goal good,2.07,3.0,18.0,2024,270
1.0,2:46,,,LVR 35,0.0,3.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,270
1.0,2:46,1.0,10.0,LAC 30,0.0,3.0,J.K. Dobbins right tackle for 3 yards (tackle by John Jenkins and Robert Spillane),0.94,0.8,18.0,2024,270
1.0,2:22,2.0,7.0,LAC 33,0.0,3.0,Justin Herbert pass complete deep left to Ladd McConkey for 47 yards (tackle by Decamerion Richardson),0.8,4.24,18.0,2024,270
1.0,1:41,1.0,10.0,LVR 20,0.0,3.0,J.K. Dobbins right end for -2 yards (tackle by Amari Burney and Jack Jones),4.24,3.42,18.0,2024,270
1.0,1:02,2.0,12.0,LVR 22,0.0,3.0,Justin Herbert pass complete short right to Ladd McConkey for 7 yards (tackle by Robert Spillane),3.42,3.7,18.0,2024,270
1.0,0:21,3.0,5.0,LVR 15,0.0,3.0,Justin Herbert pass incomplete short left intended for Will Dissly,3.7,2.49,18.0,2024,270
1.0,0:14,4.0,5.0,LVR 15,3.0,3.0,Cameron Dicker 33 yard field goal good,2.49,3.0,18.0,2024,270
1.0,0:11,,,LAC 35,3.0,3.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,270
1.0,0:11,1.0,10.0,LVR 30,3.0,3.0,Alexander Mattison right tackle for 11 yards (tackle by Alohi Gilman),0.94,1.66,18.0,2024,270
2.0,15:00,1.0,10.0,LVR 41,3.0,3.0,"Aidan O'Connell pass complete deep left to Jakobi Meyers for 22 yards (tackle by Kristian Fulton). Penalty on Joey Bosa: Defensive Offside, 5 yards (declined)",1.66,3.12,18.0,2024,270
2.0,14:36,1.0,10.0,LAC 37,3.0,3.0,"Aidan O'Connell pass incomplete short right. Penalty on Joey Bosa: Defensive Offside, 5 yards (accepted) (no play)",3.12,3.85,18.0,2024,270
2.0,14:29,1.0,5.0,LAC 32,3.0,3.0,Alexander Mattison up the middle for 4 yards (tackle by Troy Dye),3.85,3.79,18.0,2024,270
2.0,13:49,2.0,1.0,LAC 28,3.0,3.0,Aidan O'Connell up the middle for 3 yards (tackle by Teair Tart),3.79,3.91,18.0,2024,270
2.0,13:09,1.0,10.0,LAC 25,3.0,9.0,"Aidan O'Connell pass complete deep left to Jakobi Meyers for 25 yards, touchdown",3.91,7.0,18.0,2024,270
2.0,13:04,,,LAC 15,3.0,10.0,Daniel Carlson kicks extra point good,0.0,0.0,18.0,2024,270
2.0,13:04,,,LVR 35,3.0,10.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,270
2.0,13:04,1.0,10.0,LAC 30,3.0,10.0,Justin Herbert pass complete deep middle to Quentin Johnston for 22 yards (tackle by Robert Spillane),0.94,2.39,18.0,2024,270
2.0,12:18,1.0,10.0,LVR 48,3.0,10.0,J.K. Dobbins left guard for 4 yards (tackle by Divine Deablo and Jack Jones),2.39,2.39,18.0,2024,270
2.0,11:45,2.0,6.0,LVR 44,3.0,10.0,Justin Herbert pass complete short left to Derius Davis for 5 yards (tackle by Decamerion Richardson),2.39,2.34,18.0,2024,270
2.0,11:07,,,,,,Timeout #2 by Los Angeles Chargers,,,18.0,2024,270
2.0,11:07,,,,,,Timeout #1 by Las Vegas Raiders,,,18.0,2024,270
2.0,11:07,3.0,1.0,LVR 39,3.0,10.0,Justin Herbert up the middle for no gain (tackle by Tre'von Moehrig),2.34,0.66,18.0,2024,270
2.0,10:17,4.0,1.0,LVR 39,3.0,10.0,Justin Herbert up the middle for 2 yards (tackle by Adam Butler),0.66,3.12,18.0,2024,270
2.0,9:36,1.0,10.0,LVR 37,3.0,10.0,Justin Herbert pass incomplete deep right intended for DJ Chark,3.12,2.57,18.0,2024,270
2.0,9:29,2.0,10.0,LVR 37,3.0,10.0,J.K. Dobbins up the middle for 8 yards (tackle by Isaiah Pola-Mao and K'Lavon Chaisson),2.57,2.94,18.0,2024,270
2.0,8:53,3.0,2.0,LVR 29,3.0,10.0,"J.K. Dobbins left tackle for 6 yards (tackle by Decamerion Richardson and Robert Spillane). Penalty on Jonah Laulu: Defensive Holding, 5 yards (accepted)",2.94,4.37,18.0,2024,270
2.0,8:27,1.0,10.0,LVR 18,3.0,10.0,Justin Herbert pass incomplete short middle intended for Ladd McConkey,4.37,3.8,18.0,2024,270
2.0,8:18,2.0,10.0,LVR 18,3.0,10.0,Justin Herbert pass complete short right to Quentin Johnston for 8 yards (tackle by Jack Jones),3.8,4.51,18.0,2024,270
2.0,7:38,3.0,2.0,LVR 10,3.0,10.0,J.K. Dobbins right guard for 3 yards (tackle by Adam Butler),4.51,5.6,18.0,2024,270
2.0,7:00,1.0,7.0,LVR 7,3.0,10.0,Derius Davis left end for -1 yards (tackle by Isaiah Pola-Mao),5.6,4.57,18.0,2024,270
2.0,6:29,2.0,8.0,LVR 8,3.0,10.0,Justin Herbert pass incomplete short right intended for DJ Chark,4.57,3.58,18.0,2024,270
2.0,6:22,3.0,8.0,LVR 8,3.0,10.0,"Penalty on Joe Alt: False Start, 5 yards (accepted) (no play)",3.58,3.06,18.0,2024,270
2.0,6:22,3.0,13.0,LVR 13,3.0,10.0,"Justin Herbert pass complete short right to Derius Davis for no gain, touchdown. Penalty on Trey Pipkins: Offensive Holding, 10 yards (accepted) (no play)",3.06,1.95,18.0,2024,270
2.0,6:10,3.0,23.0,LVR 23,3.0,10.0,Justin Herbert pass complete short left to J.K. Dobbins for 9 yards (tackle by Robert Spillane and Isaiah Pola-Mao),1.95,2.51,18.0,2024,270
2.0,5:32,4.0,14.0,LVR 14,6.0,10.0,Cameron Dicker 32 yard field goal good,2.51,3.0,18.0,2024,270
2.0,5:28,,,LAC 35,6.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,270
2.0,5:28,1.0,10.0,LVR 30,6.0,10.0,Alexander Mattison left guard for 4 yards (tackle by Daiyan Henley),0.94,0.93,18.0,2024,270
2.0,4:52,2.0,6.0,LVR 34,6.0,10.0,Alexander Mattison left tackle for -1 yards (tackle by Derwin James),0.93,0.1,18.0,2024,270
2.0,4:11,3.0,7.0,LVR 33,6.0,10.0,Aidan O'Connell pass incomplete short middle intended for Brock Bowers,0.1,-1.18,18.0,2024,270
2.0,4:05,4.0,7.0,LVR 33,6.0,10.0,"AJ Cole punts 60 yards, returned by Derius Davis for 10 yards (tackle by Isaiah Pola-Mao)",-1.18,0.06,18.0,2024,270
2.0,3:52,1.0,10.0,LAC 17,6.0,10.0,Justin Herbert pass complete short left to Quentin Johnston for 12 yards (tackle by Decamerion Richardson),-0.06,0.87,18.0,2024,270
2.0,3:21,1.0,10.0,LAC 29,6.0,10.0,Justin Herbert pass complete short middle to Will Dissly for 6 yards (tackle by Robert Spillane),0.87,1.14,18.0,2024,270
2.0,2:53,2.0,4.0,LAC 35,6.0,10.0,Justin Herbert pass incomplete short left intended for Ladd McConkey (defended by Zachary Carter),1.14,0.43,18.0,2024,270
2.0,2:48,3.0,4.0,LAC 35,6.0,10.0,Justin Herbert pass complete short left to Will Dissly for 14 yards (tackle by Darnay Holmes and Decamerion Richardson),0.43,2.19,18.0,2024,270
2.0,2:27,1.0,10.0,LAC 49,6.0,10.0,Justin Herbert pass complete deep middle to Ladd McConkey for 17 yards (tackle by Isaiah Pola-Mao),2.19,3.31,18.0,2024,270
2.0,2:00,1.0,10.0,LVR 34,6.0,10.0,Justin Herbert pass complete short left to Quentin Johnston for 7 yards (tackle by Divine Deablo and Decamerion Richardson),3.31,3.72,18.0,2024,270
2.0,1:54,2.0,3.0,LVR 27,6.0,10.0,Justin Herbert pass complete short left to J.K. Dobbins for -4 yards (tackle by Divine Deablo),3.72,2.48,18.0,2024,270
2.0,1:14,,,,,,Timeout #2 by Las Vegas Raiders,,,18.0,2024,270
2.0,1:14,3.0,7.0,LVR 31,6.0,10.0,Justin Herbert pass incomplete short middle intended for Ladd McConkey (defended by Jack Jones),2.48,1.32,18.0,2024,270
2.0,1:10,4.0,7.0,LVR 31,9.0,10.0,Cameron Dicker 49 yard field goal good,1.32,3.0,18.0,2024,270
2.0,1:05,,,LAC 35,9.0,10.0,"Cameron Dicker kicks off 58 yards, returned by Dylan Laube for 19 yards (tackle by Troy Dye)",0.0,0.67,18.0,2024,270
2.0,0:58,1.0,10.0,LVR 26,9.0,10.0,Aidan O'Connell pass complete short right to Michael Mayer for 5 yards (tackle by Cam Hart),0.67,0.81,18.0,2024,270
2.0,0:48,2.0,5.0,LVR 31,9.0,10.0,Aidan O'Connell pass short right intended for Alexander Mattison is intercepted by Daiyan Henley at LV-34 and returned for 4 yards (tackle by Alexander Mattison),0.81,-3.58,18.0,2024,270
2.0,0:38,1.0,10.0,LVR 30,9.0,10.0,Justin Herbert pass complete short left to Quentin Johnston for 5 yards (tackle by Tre'von Moehrig),3.58,3.71,18.0,2024,270
2.0,0:31,,,,,,Timeout #3 by Los Angeles Chargers,,,18.0,2024,270
2.0,0:31,2.0,5.0,LVR 25,9.0,10.0,Justin Herbert pass complete short middle to Quentin Johnston for 19 yards (tackle by Divine Deablo and Robert Spillane),3.71,5.83,18.0,2024,270
2.0,0:15,1.0,6.0,LVR 6,9.0,10.0,Justin Herbert spiked the ball,5.83,4.95,18.0,2024,270
2.0,0:14,2.0,6.0,LVR 6,15.0,10.0,"Justin Herbert pass complete short middle to DJ Chark for 6 yards, touchdown",4.95,7.0,18.0,2024,270
2.0,0:10,,,LVR 2,17.0,10.0,Two Point Attempt: Justin Herbert pass complete to to Ladd McConkey for no gain,1.0,1.0,18.0,2024,270
2.0,0:10,,,LAC 35,17.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,270
2.0,0:10,1.0,10.0,LVR 30,17.0,10.0,Aidan O'Connell kneels for -1 yards,0.94,0.26,18.0,2024,270
3.0,15:00,,,LVR 35,17.0,10.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,270
3.0,15:00,1.0,10.0,LAC 30,17.0,10.0,Justin Herbert pass complete short middle to J.K. Dobbins for 7 yards (tackle by Isaiah Pola-Mao and Robert Spillane),0.94,1.34,18.0,2024,270
3.0,14:25,2.0,3.0,LAC 37,17.0,10.0,J.K. Dobbins up the middle for 2 yards (tackle by Charles Snowden),1.34,0.89,18.0,2024,270
3.0,13:47,3.0,1.0,LAC 39,17.0,10.0,Hassan Haskins right guard for 2 yards (tackle by Jonah Laulu),0.89,1.66,18.0,2024,270
3.0,13:09,1.0,10.0,LAC 41,17.0,10.0,Justin Herbert pass complete short left to Ladd McConkey for 19 yards (tackle by Isaiah Pola-Mao),1.66,2.92,18.0,2024,270
3.0,12:26,1.0,10.0,LVR 40,17.0,10.0,J.K. Dobbins right tackle for -1 yards (tackle by Jonah Laulu and Robert Spillane),2.92,2.24,18.0,2024,270
3.0,11:49,2.0,11.0,LVR 41,17.0,10.0,Justin Herbert pass complete short right to Will Dissly for 15 yards (tackle by Divine Deablo),2.24,3.84,18.0,2024,270
3.0,11:08,1.0,10.0,LVR 26,17.0,10.0,J.K. Dobbins right tackle for 10 yards (tackle by Kyu Blu Kelly),3.84,4.51,18.0,2024,270
3.0,10:53,1.0,10.0,LVR 16,17.0,10.0,Justin Herbert pass complete short left to Quentin Johnston for 7 yards (tackle by Tyree Wilson and Kyu Blu Kelly),4.51,5.16,18.0,2024,270
3.0,10:07,2.0,3.0,LVR 9,17.0,10.0,"Penalty on Justin Herbert: Delay of Game, 5 yards (accepted) (no play)",5.16,4.21,18.0,2024,270
3.0,9:42,2.0,8.0,LVR 14,17.0,10.0,Justin Herbert pass incomplete short middle intended for Quentin Johnston,4.21,3.37,18.0,2024,270
3.0,9:37,3.0,8.0,LVR 14,17.0,10.0,"Justin Herbert pass incomplete short left intended for Quentin Johnston. Penalty on Kyu Blu Kelly: Defensive Pass Interference, 13 yards (accepted) (no play)",3.37,6.97,18.0,2024,270
3.0,9:27,1.0,1.0,LVR 1,17.0,10.0,J.K. Dobbins up the middle for no gain (tackle by John Jenkins and Amari Burney),6.97,5.91,18.0,2024,270
3.0,8:51,2.0,1.0,LVR 1,17.0,10.0,Hassan Haskins left guard for no gain (tackle by Adam Butler and Zachary Carter),5.91,5.17,18.0,2024,270
3.0,8:08,3.0,1.0,LVR 1,17.0,10.0,J.K. Dobbins up the middle for no gain (tackle by Divine Deablo and Zachary Carter),5.17,3.55,18.0,2024,270
3.0,7:13,4.0,1.0,LVR 1,20.0,10.0,Cameron Dicker 20 yard field goal good,3.55,3.0,18.0,2024,270
3.0,7:10,,,LAC 35,20.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,270
3.0,7:10,1.0,10.0,LVR 30,20.0,10.0,Aidan O'Connell scrambles left end for 9 yards (tackle by Khalil Mack),0.94,1.61,18.0,2024,270
3.0,6:22,2.0,1.0,LVR 39,20.0,10.0,"Chris Collier right tackle for no gain (tackle by Poona Ford). Penalty on Teair Tart: Defensive Holding, 5 yards (accepted) (no play)",1.61,1.86,18.0,2024,270
3.0,5:56,1.0,10.0,LVR 44,20.0,10.0,Aidan O'Connell pass incomplete short left intended for Chris Collier,1.86,1.32,18.0,2024,270
3.0,5:51,2.0,10.0,LVR 44,20.0,10.0,Aidan O'Connell pass complete short left to Brock Bowers for 2 yards (tackle by Derwin James),1.32,0.89,18.0,2024,270
3.0,5:15,3.0,8.0,LVR 46,20.0,10.0,Aidan O'Connell pass complete short middle to Brock Bowers for 21 yards (tackle by Alohi Gilman),0.89,3.38,18.0,2024,270
3.0,4:31,1.0,10.0,LAC 33,20.0,10.0,Chris Collier right tackle for 4 yards (tackle by Scott Matlock and Morgan Fox),3.38,3.38,18.0,2024,270
3.0,3:54,2.0,6.0,LAC 29,20.0,10.0,Aidan O'Connell pass complete short left to Chris Collier for -4 yards (tackle by Tarheeb Still and Troy Dye),3.38,2.15,18.0,2024,270
3.0,3:10,3.0,10.0,LAC 33,20.0,10.0,Aidan O'Connell pass complete short middle to Jakobi Meyers for 4 yards (tackle by Tarheeb Still),2.15,1.52,18.0,2024,270
3.0,2:20,4.0,6.0,LAC 29,20.0,13.0,Daniel Carlson 47 yard field goal good,1.52,3.0,18.0,2024,270
3.0,2:15,,,LVR 35,20.0,13.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,270
3.0,2:15,1.0,10.0,LAC 30,20.0,13.0,"Penalty on Scott Matlock: False Start, 5 yards (accepted) (no play)",0.94,0.61,18.0,2024,270
3.0,2:15,1.0,15.0,LAC 25,20.0,13.0,Justin Herbert pass complete short middle to Ladd McConkey for 5 yards (tackle by Amari Burney),0.61,0.39,18.0,2024,270
3.0,1:46,2.0,10.0,LAC 30,20.0,13.0,Justin Herbert pass complete short left to Will Dissly for 5 yards (tackle by Amari Burney),0.39,0.37,18.0,2024,270
3.0,1:02,3.0,5.0,LAC 35,20.0,13.0,Justin Herbert pass complete short middle to Quentin Johnston for 14 yards (tackle by Tre'von Moehrig and Decamerion Richardson),0.37,2.19,18.0,2024,270
3.0,0:23,1.0,10.0,LAC 49,20.0,13.0,J.K. Dobbins up the middle for 6 yards (tackle by Jonah Laulu and Zachary Carter),2.19,2.46,18.0,2024,270
4.0,15:00,2.0,4.0,LVR 45,20.0,13.0,Justin Herbert scrambles up the middle for 41 yards (tackle by Charles Snowden),2.46,6.28,18.0,2024,270
4.0,14:12,1.0,4.0,LVR 4,20.0,13.0,J.K. Dobbins left guard for 2 yards (tackle by Robert Spillane and Isaiah Pola-Mao),6.28,5.72,18.0,2024,270
4.0,13:36,2.0,2.0,LVR 2,26.0,13.0,"Justin Herbert pass complete short left to Will Dissly for 2 yards, touchdown",5.72,7.0,18.0,2024,270
4.0,13:32,,,LVR 15,27.0,13.0,Cameron Dicker kicks extra point good,0.0,0.0,18.0,2024,270
4.0,13:32,,,LAC 35,27.0,13.0,"Cameron Dicker kicks off 62 yards, returned by Chris Collier for 39 yards (tackle by Cameron Dicker)",0.0,1.73,18.0,2024,270
4.0,13:21,1.0,10.0,LVR 42,27.0,13.0,Aidan O'Connell pass complete deep middle to Jakobi Meyers for 24 yards (tackle by Alohi Gilman),1.73,3.31,18.0,2024,270
4.0,12:41,1.0,10.0,LAC 34,27.0,13.0,"Aidan O'Connell sacked by and Bud Dupree for no gain and Morgan Fox for no gain. Aidan O'Connell fumbles (forced by Bud Dupree), recovered by Aidan O'Connell at LAC-49. Penalty on Derwin James: Illegal Contact, 5 yards (accepted) (no play)",3.31,3.64,18.0,2024,270
4.0,12:31,1.0,10.0,LAC 29,27.0,13.0,Desmond Ridder pass complete short middle to Michael Mayer for 11 yards (tackle by Tony Jefferson and Daiyan Henley),3.64,4.37,18.0,2024,270
4.0,11:48,1.0,10.0,LAC 18,27.0,13.0,Desmond Ridder pass incomplete deep left,4.37,3.8,18.0,2024,270
4.0,11:43,2.0,10.0,LAC 18,27.0,13.0,Alexander Mattison left end for no gain (tackle by Daiyan Henley),3.8,3.05,18.0,2024,270
4.0,11:01,3.0,10.0,LAC 18,27.0,13.0,Aidan O'Connell pass incomplete deep left intended for Jakobi Meyers,3.05,2.25,18.0,2024,270
4.0,10:55,,,,,,Timeout #1 by Los Angeles Chargers,,,18.0,2024,270
4.0,10:55,4.0,10.0,LAC 18,27.0,13.0,Aidan O'Connell pass incomplete deep middle intended for Brock Bowers (defended by Derwin James),2.25,-0.15,18.0,2024,270
4.0,10:50,1.0,10.0,LAC 19,27.0,13.0,J.K. Dobbins up the middle for 2 yards (tackle by Charles Snowden and Zachary Carter),0.15,-0.06,18.0,2024,270
4.0,10:13,2.0,8.0,LAC 21,27.0,13.0,Justin Herbert pass complete deep left to Quentin Johnston for 39 yards (tackle by Decamerion Richardson),-0.06,2.92,18.0,2024,270
4.0,9:41,1.0,10.0,LVR 40,27.0,13.0,Justin Herbert pass complete short left to Quentin Johnston for 8 yards (tackle by Decamerion Richardson),2.92,3.45,18.0,2024,270
4.0,9:04,2.0,2.0,LVR 32,27.0,13.0,Hassan Haskins right guard for 2 yards (tackle by Tre'von Moehrig and John Jenkins),3.45,3.58,18.0,2024,270
4.0,8:22,1.0,10.0,LVR 30,27.0,13.0,Hassan Haskins up the middle for 3 yards (tackle by Robert Spillane),3.58,3.44,18.0,2024,270
4.0,7:42,2.0,7.0,LVR 27,27.0,13.0,Hassan Haskins left tackle for 12 yards (tackle by Decamerion Richardson and Robert Spillane),3.44,4.58,18.0,2024,270
4.0,6:44,,,,,,Timeout #2 by Los Angeles Chargers,,,18.0,2024,270
4.0,6:44,1.0,10.0,LVR 15,27.0,13.0,J.K. Dobbins left guard for 5 yards (tackle by Robert Spillane),4.58,4.84,18.0,2024,270
4.0,6:05,2.0,5.0,LVR 10,27.0,13.0,Hassan Haskins left guard for 2 yards (tackle by Jonah Laulu and Tre'von Moehrig),4.84,4.45,18.0,2024,270
4.0,5:23,3.0,3.0,LVR 8,27.0,13.0,Hassan Haskins left tackle for 4 yards (tackle by Robert Spillane),4.45,6.28,18.0,2024,270
4.0,4:33,1.0,4.0,LVR 4,27.0,13.0,Hassan Haskins left guard for no gain (tackle by Zachary Carter),6.28,5.34,18.0,2024,270
4.0,3:59,2.0,4.0,LVR 4,27.0,13.0,Hassan Haskins up the middle for 2 yards (tackle by Divine Deablo and Jonah Laulu),5.34,4.95,18.0,2024,270
4.0,3:43,,,,,,Timeout #1 by Las Vegas Raiders,,,18.0,2024,270
4.0,3:43,3.0,2.0,LVR 2,33.0,13.0,"Hassan Haskins right tackle for 2 yards, touchdown",4.95,7.0,18.0,2024,270
4.0,3:38,,,LVR 15,34.0,13.0,Cameron Dicker kicks extra point good,0.0,0.0,18.0,2024,270
4.0,3:38,,,LAC 35,34.0,13.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,270
4.0,3:38,1.0,10.0,LVR 30,34.0,13.0,Aidan O'Connell pass complete short middle to Brock Bowers for 15 yards (tackle by Tony Jefferson),0.94,1.93,18.0,2024,270
4.0,3:15,1.0,10.0,LVR 45,34.0,13.0,Aidan O'Connell pass complete short left to Tre Tucker for 7 yards (tackle by Deane Leonard),1.93,2.33,18.0,2024,270
4.0,2:58,2.0,3.0,LAC 48,34.0,13.0,Aidan O'Connell pass complete short middle to Alexander Mattison for 5 yards (tackle by Troy Dye),2.33,2.72,18.0,2024,270
4.0,2:45,1.0,10.0,LAC 43,34.0,13.0,Aidan O'Connell pass complete short right to Alexander Mattison for -3 yards (tackle by Tony Jefferson),2.72,1.77,18.0,2024,270
4.0,2:04,2.0,13.0,LAC 46,34.0,13.0,Aidan O'Connell pass incomplete deep left intended for Tre Tucker,1.77,1.09,18.0,2024,270
4.0,2:00,3.0,13.0,LAC 46,34.0,13.0,Aidan O'Connell pass complete short left to Tre Tucker for 6 yards (tackle by Tarheeb Still and Junior Colson),1.09,0.59,18.0,2024,270
4.0,1:37,4.0,7.0,LAC 40,34.0,13.0,Aidan O'Connell pass complete short right to Tre Tucker for 11 yards (tackle by Tarheeb Still),0.59,3.64,18.0,2024,270
4.0,1:06,1.0,10.0,LAC 29,34.0,13.0,Aidan O'Connell pass complete short left to Jakobi Meyers for 9 yards (tackle by Troy Dye),3.64,4.32,18.0,2024,270
4.0,0:59,,,,,,Timeout #2 by Las Vegas Raiders,,,18.0,2024,270
4.0,0:59,2.0,1.0,LAC 20,34.0,13.0,Aidan O'Connell pass complete short left to Alexander Mattison for 3 yards (tackle by Cam Hart),4.32,4.44,18.0,2024,270
4.0,0:37,1.0,10.0,LAC 17,34.0,13.0,Aidan O'Connell pass complete short left to Michael Mayer for 5 yards,4.44,4.69,18.0,2024,270
4.0,0:34,2.0,5.0,LAC 12,34.0,13.0,Aidan O'Connell pass incomplete short middle intended for Brock Bowers,4.69,3.88,18.0,2024,270
4.0,0:30,3.0,5.0,LAC 12,34.0,19.0,"Aidan O'Connell pass complete short right to Brock Bowers for 12 yards, touchdown",3.88,7.0,18.0,2024,270
4.0,0:25,,,LAC 15,34.0,20.0,Daniel Carlson kicks extra point good,0.0,0.0,18.0,2024,270
4.0,0:25,,,LVR 35,34.0,20.0,"Daniel Carlson kicks onside 9 yards, returned by Will Dissly for 1 yard",0.0,2.72,18.0,2024,270
4.0,0:23,1.0,10.0,LVR 43,34.0,20.0,Justin Herbert kneels for -1 yards,2.72,2.04,18.0,2024,270
