Quarter,Time,Down,ToGo,Location,GNB,PIT,Detail,EPB,EPA,week,year,game_id
1.0,2:00,2.0,1.0,GNB 41,7.0,7.0,"Kenny Pickett pass short right intended for Diontae Johnson is intercepted by Keisean Nixon at GB-30 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Kenny Pickett pass incomplete short right intended for Diontae Johnson (defended by Keisean Nixon)",2.93,2.21,10.0,2023,141
1.0,1:55,3.0,1.0,GNB 41,7.0,7.0,Najee Harris left tackle for 11 yards (tackle by Corey Ballentine and De'Vondre Campbell),2.21,3.58,10.0,2023,141
1.0,1:21,1.0,10.0,GNB 30,7.0,7.0,Kenny Pickett pass complete short left to Calvin Austin for 3 yards (tackle by Preston Smith),3.58,3.44,10.0,2023,141
1.0,0:54,2.0,7.0,GNB 27,7.0,7.0,Najee Harris up the middle for 4 yards (tackle by Keisean Nixon),3.44,3.27,10.0,2023,141
1.0,0:16,3.0,3.0,GNB 23,7.0,7.0,Kenny Pickett pass complete short right to Jaylen Warren for 3 yards (tackle by Isaiah McDuffie),3.27,4.24,10.0,2023,141
2.0,15:00,1.0,10.0,GNB 20,7.0,7.0,Jaylen Warren up the middle for -1 yards (tackle by Lukas Van Ness),4.24,3.56,10.0,2023,141
2.0,14:17,2.0,11.0,GNB 21,7.0,7.0,"Kenny Pickett pass incomplete deep left intended for Diontae Johnson. Penalty on Keisean Nixon: Defensive Holding, 5 yards (accepted) (no play)",3.56,4.51,10.0,2023,141
2.0,14:17,1.0,10.0,GNB 16,7.0,13.0,"Jaylen Warren right guard for 16 yards, touchdown",4.51,7.0,10.0,2023,141
2.0,14:12,,,GNB 15,7.0,14.0,Chris Boswell kicks extra point good,0.0,0.0,10.0,2023,141
2.0,14:12,,,PIT 35,7.0,14.0,"Chris Boswell kicks off 56 yards, returned by Keisean Nixon for 14 yards (tackle by Rodney Williams)",0.0,0.48,10.0,2023,141
2.0,14:07,1.0,10.0,GNB 23,7.0,14.0,Aaron Jones left end for 2 yards (tackle by T.J. Watt and Elandon Roberts),0.48,0.2,10.0,2023,141
2.0,13:27,2.0,8.0,GNB 25,7.0,14.0,Jordan Love pass incomplete short middle intended for Tucker Kraft (defended by Keeanu Benton),0.2,-0.49,10.0,2023,141
2.0,13:22,3.0,8.0,GNB 25,7.0,14.0,Jordan Love pass incomplete short right intended for Christian Watson,-0.49,-1.7,10.0,2023,141
2.0,13:18,4.0,8.0,GNB 25,7.0,14.0,"Daniel Whelan punts 43 yards, returned by Calvin Austin for 14 yards (tackle by Josiah Deguara)",-1.7,-1.99,10.0,2023,141
2.0,13:06,1.0,10.0,PIT 46,7.0,14.0,"Kenny Pickett sacked by Tedarrell Slaton for no gain. Penalty on Jonathan Owens: Illegal Contact, 5 yards (accepted) (no play)",1.99,2.32,10.0,2023,141
2.0,12:41,1.0,10.0,GNB 49,7.0,14.0,Kenny Pickett scrambles left end for 4 yards (tackle by Rudy Ford),2.32,2.32,10.0,2023,141
2.0,12:00,2.0,6.0,GNB 45,7.0,14.0,Najee Harris right tackle for 5 yards (tackle by Rudy Ford),2.32,2.28,10.0,2023,141
2.0,11:34,3.0,1.0,GNB 40,7.0,14.0,Kenny Pickett up the middle for no gain (tackle by Isaiah McDuffie and Preston Smith),2.28,0.59,10.0,2023,141
2.0,10:50,4.0,1.0,GNB 40,7.0,14.0,Jaylen Warren left end for 8 yards (tackle by Isaiah McDuffie),0.59,3.45,10.0,2023,141
2.0,10:07,1.0,10.0,GNB 32,7.0,14.0,Kenny Pickett sacked by Preston Smith for -7 yards,3.45,1.96,10.0,2023,141
2.0,9:25,2.0,17.0,GNB 39,7.0,14.0,Najee Harris left guard for 3 yards (tackle by Tedarrell Slaton and Rashan Gary),1.96,1.69,10.0,2023,141
2.0,8:44,3.0,14.0,GNB 36,7.0,14.0,Kenny Pickett pass complete short right to Connor Heyward for 12 yards (tackle by Jonathan Owens),1.69,1.99,10.0,2023,141
2.0,8:12,,,,,,Timeout #1 by Pittsburgh Steelers,,,10.0,2023,141
2.0,8:12,4.0,2.0,GNB 24,7.0,17.0,Chris Boswell 42 yard field goal good,1.99,3.0,10.0,2023,141
2.0,8:08,,,PIT 35,7.0,17.0,"Chris Boswell kicks off 63 yards, returned by Keisean Nixon for 11 yards (tackle by Tariq Carpenter and Miles Boykin)",0.0,-0.32,10.0,2023,141
2.0,8:02,1.0,10.0,GNB 13,7.0,17.0,"Jordan Love pass incomplete intended for Christian Watson. Penalty on Joey Porter: Defensive Pass Interference, 7 yards (accepted) (no play)",-0.32,0.28,10.0,2023,141
2.0,7:59,1.0,10.0,GNB 20,7.0,17.0,Jordan Love scrambles right end for 3 yards (tackle by T.J. Watt),0.28,0.14,10.0,2023,141
2.0,7:14,2.0,7.0,GNB 23,7.0,17.0,Aaron Jones left guard for 6 yards (tackle by Keeanu Benton and Damontae Kazee),0.14,0.23,10.0,2023,141
2.0,6:34,3.0,1.0,GNB 29,7.0,17.0,Aaron Jones left end for 2 yards (tackle by Mark Robinson),0.23,1.0,10.0,2023,141
2.0,5:54,1.0,10.0,GNB 31,7.0,17.0,AJ Dillon left guard for 40 yards (tackle by Keanu Neal),1.0,3.64,10.0,2023,141
2.0,5:10,1.0,10.0,PIT 29,7.0,17.0,Jordan Love sacked by T.J. Watt for -6 yards,3.64,2.29,10.0,2023,141
2.0,4:27,2.0,16.0,PIT 35,7.0,17.0,Jordan Love pass incomplete short right intended for Dontayvion Wicks,2.29,1.62,10.0,2023,141
2.0,4:21,3.0,16.0,PIT 35,13.0,17.0,"Jordan Love pass complete deep left to Jayden Reed for 35 yards, touchdown",1.62,7.0,10.0,2023,141
2.0,4:14,,,PIT 15,13.0,17.0,Anders Carlson kicks extra point blocked blocked by Patrick Peterson,0.0,-1.0,10.0,2023,141
2.0,4:14,,,GNB 35,13.0,17.0,"Anders Carlson kicks off 66 yards, returned by Anthony McFarland for 13 yards (tackle by Innis Gaines)",0.0,-0.22,10.0,2023,141
2.0,4:07,1.0,10.0,PIT 15,13.0,17.0,Najee Harris left tackle for 1 yard (tackle by Corey Ballentine and Rashan Gary),-0.22,-0.58,10.0,2023,141
2.0,3:34,2.0,9.0,PIT 16,13.0,17.0,"Kenny Pickett pass incomplete short right intended for Jaylen Warren GNB challenged the backward pass ruling, and the play was upheld.",-0.58,-1.25,10.0,2023,141
2.0,3:30,3.0,9.0,PIT 16,13.0,17.0,Kenny Pickett pass incomplete short right intended for Connor Heyward (defended by Jonathan Owens),-1.25,-2.39,10.0,2023,141
2.0,3:24,4.0,9.0,PIT 16,13.0,17.0,"Pressley Harvin punts 50 yards, returned by Keisean Nixon for 12 yards (tackle by James Pierre)",-2.39,-1.99,10.0,2023,141
2.0,3:12,1.0,10.0,GNB 46,13.0,17.0,Jordan Love pass incomplete deep right intended for Romeo Doubs,1.99,1.45,10.0,2023,141
2.0,3:06,2.0,10.0,GNB 46,13.0,17.0,Aaron Jones up the middle for 6 yards (tackle by Alex Highsmith and Elandon Roberts),1.45,1.55,10.0,2023,141
2.0,2:45,3.0,4.0,PIT 48,13.0,17.0,Jordan Love pass incomplete short left intended for Aaron Jones,1.55,0.07,10.0,2023,141
2.0,2:42,4.0,3.0,PIT 48,13.0,17.0,"Daniel Whelan punts 39 yards, fair catch by Calvin Austin at PIT-9",0.07,0.38,10.0,2023,141
2.0,2:35,1.0,10.0,PIT 9,13.0,17.0,Kenny Pickett pass complete short left to Diontae Johnson for 17 yards (tackle by Corey Ballentine),-0.38,0.67,10.0,2023,141
2.0,2:07,1.0,10.0,PIT 26,13.0,17.0,Kenny Pickett pass complete short left to George Pickens for 12 yards (tackle by Rudy Ford),0.67,1.47,10.0,2023,141
2.0,2:00,1.0,10.0,PIT 38,13.0,17.0,Kenny Pickett pass complete short left to Najee Harris for 6 yards (tackle by Isaiah McDuffie and Rudy Ford),1.47,1.73,10.0,2023,141
2.0,1:40,2.0,4.0,PIT 44,13.0,17.0,Najee Harris up the middle for 2 yards (tackle by Isaiah McDuffie),1.73,1.29,10.0,2023,141
2.0,1:31,,,,,,Timeout #2 by Pittsburgh Steelers,,,10.0,2023,141
2.0,1:31,3.0,2.0,PIT 46,13.0,17.0,Kenny Pickett pass incomplete short left intended for Diontae Johnson (defended by Corey Ballentine),1.29,-0.32,10.0,2023,141
2.0,1:26,4.0,2.0,PIT 46,13.0,17.0,"Pressley Harvin punts 39 yards, fair catch by Jayden Reed at GB-15",-0.32,0.22,10.0,2023,141
2.0,1:20,1.0,10.0,GNB 15,13.0,17.0,Jordan Love pass complete short left to Jayden Reed for -5 yards (tackle by Joey Porter),-0.22,-1.15,10.0,2023,141
2.0,0:46,2.0,15.0,GNB 10,13.0,17.0,Aaron Jones up the middle for 9 yards (tackle by Keanu Neal and Keeanu Benton),-1.15,-0.88,10.0,2023,141
3.0,15:00,,,PIT 35,13.0,17.0,"Chris Boswell kicks off 58 yards, returned by Keisean Nixon for 49 yards (tackle by James Pierre)",0.0,2.65,10.0,2023,141
3.0,14:51,1.0,10.0,PIT 44,13.0,17.0,Aaron Jones left guard for 3 yards (tackle by Larry Ogunjobi and Mark Robinson),2.65,2.52,10.0,2023,141
3.0,14:14,2.0,7.0,PIT 41,13.0,17.0,Aaron Jones left guard for 1 yard (tackle by T.J. Watt and Keanu Neal),2.52,1.95,10.0,2023,141
3.0,13:32,3.0,6.0,PIT 40,13.0,17.0,"Jordan Love pass incomplete short middle intended for Dontayvion Wicks. Penalty on Damontae Kazee: Defensive Pass Interference, 15 yards (offset) . Penalty on Zach Tom: Offensive Holding, 10 yards (offset) (no play)",1.95,1.95,10.0,2023,141
3.0,13:27,3.0,6.0,PIT 40,13.0,17.0,Jordan Love pass incomplete short middle intended for Romeo Doubs,1.95,0.59,10.0,2023,141
3.0,13:22,4.0,6.0,PIT 40,13.0,17.0,Jordan Love pass complete short right to Aaron Jones for 7 yards (tackle by Joey Porter),0.59,3.38,10.0,2023,141
3.0,12:44,1.0,10.0,PIT 33,13.0,17.0,AJ Dillon right guard for 3 yards (tackle by Isaiahh Loudermilk and Keeanu Benton),3.38,3.24,10.0,2023,141
3.0,12:03,2.0,7.0,PIT 30,13.0,17.0,AJ Dillon right tackle for 4 yards (tackle by T.J. Watt),3.24,3.07,10.0,2023,141
3.0,11:22,3.0,3.0,PIT 26,13.0,17.0,Jordan Love pass complete short left to Aaron Jones for 12 yards (tackle by Elandon Roberts),3.07,4.65,10.0,2023,141
3.0,10:40,1.0,10.0,PIT 14,13.0,17.0,Aaron Jones up the middle for 1 yard (tackle by Cameron Heyward),4.65,4.16,10.0,2023,141
3.0,10:00,2.0,9.0,PIT 13,13.0,17.0,Jordan Love pass complete short right to Aaron Jones for no gain (tackle by Keeanu Benton),4.16,3.26,10.0,2023,141
3.0,9:16,3.0,9.0,PIT 13,13.0,17.0,Jordan Love pass incomplete short middle intended for Luke Musgrave,3.26,2.57,10.0,2023,141
3.0,9:11,4.0,9.0,PIT 13,16.0,17.0,Anders Carlson 31 yard field goal good,2.57,3.0,10.0,2023,141
3.0,9:08,,,GNB 35,16.0,17.0,"Anders Carlson kicks off 66 yards, returned by Anthony McFarland for 23 yards (tackle by Kristian Welch and Eric Wilson)",0.0,0.41,10.0,2023,141
3.0,9:04,1.0,10.0,PIT 22,16.0,17.0,Najee Harris right guard for 3 yards (tackle by Tedarrell Slaton),0.41,0.27,10.0,2023,141
3.0,8:22,2.0,7.0,PIT 25,16.0,17.0,"Najee Harris up the middle for no gain (tackle by Isaiah McDuffie). Penalty on Mason Cole: Offensive Holding, 10 yards (accepted) (no play)",0.27,-1.21,10.0,2023,141
3.0,8:01,2.0,17.0,PIT 15,16.0,17.0,Kenny Pickett pass incomplete short right intended for Najee Harris,-1.21,-2.05,10.0,2023,141
3.0,7:56,3.0,17.0,PIT 15,16.0,17.0,Kenny Pickett pass complete short left to Connor Heyward for 7 yards (tackle by Isaiah McDuffie and Anthony Johnson),-2.05,-1.9,10.0,2023,141
3.0,7:18,4.0,10.0,PIT 22,16.0,17.0,Pressley Harvin punts 56 yards out of bounds,-1.9,-0.41,10.0,2023,141
3.0,7:10,1.0,10.0,GNB 22,16.0,17.0,Aaron Jones left guard for 4 yards (tackle by Mark Robinson),0.41,0.41,10.0,2023,141
3.0,6:37,2.0,6.0,GNB 26,16.0,17.0,Jordan Love pass complete deep right to Romeo Doubs for 20 yards (tackle by Keanu Neal),0.41,1.99,10.0,2023,141
3.0,5:56,1.0,10.0,GNB 46,16.0,17.0,Aaron Jones right tackle for 3 yards (tackle by Isaiahh Loudermilk),1.99,1.86,10.0,2023,141
3.0,5:16,2.0,7.0,GNB 49,16.0,17.0,Jordan Love pass incomplete deep left intended for Christian Watson,1.86,1.16,10.0,2023,141
3.0,5:11,3.0,7.0,GNB 49,16.0,17.0,Jordan Love pass complete deep middle to Luke Musgrave for 36 yards (tackle by Levi Wallace),1.16,4.58,10.0,2023,141
3.0,4:28,1.0,10.0,PIT 15,16.0,17.0,Jordan Love pass complete short right to Jayden Reed for 6 yards (tackle by Damontae Kazee and Joey Porter),4.58,5.03,10.0,2023,141
3.0,3:54,2.0,4.0,PIT 9,16.0,17.0,Aaron Jones left guard for -1 yards (tackle by Cameron Heyward and Alex Highsmith),5.03,4.0,10.0,2023,141
3.0,3:12,3.0,5.0,PIT 10,16.0,17.0,Jordan Love pass incomplete short middle intended for Luke Musgrave (defended by Elandon Roberts),4.0,2.81,10.0,2023,141
3.0,3:07,4.0,5.0,PIT 10,19.0,17.0,Anders Carlson 28 yard field goal good,2.81,3.0,10.0,2023,141
3.0,3:04,,,GNB 35,19.0,17.0,"Anders Carlson kicks off 68 yards, returned by Anthony McFarland for 37 yards (tackle by Kristian Welch and Zayne Anderson)",0.0,1.2,10.0,2023,141
3.0,2:56,1.0,10.0,PIT 34,19.0,17.0,Kenny Pickett pass complete deep right to George Pickens for 28 yards (tackle by Jonathan Owens),1.2,3.05,10.0,2023,141
3.0,2:32,1.0,10.0,GNB 38,19.0,17.0,Jaylen Warren up the middle for 2 yards (tackle by Kenny Clark),3.05,2.78,10.0,2023,141
3.0,1:57,2.0,8.0,GNB 36,19.0,17.0,Jaylen Warren right tackle for 5 yards (tackle by Tedarrell Slaton and Carrington Valentine),2.78,2.74,10.0,2023,141
3.0,1:13,3.0,3.0,GNB 31,19.0,17.0,Kenny Pickett pass incomplete short left intended for Jaylen Warren (defended by De'Vondre Campbell),2.74,1.38,10.0,2023,141
3.0,1:09,4.0,3.0,GNB 31,19.0,20.0,Chris Boswell 49 yard field goal good,1.38,3.0,10.0,2023,141
3.0,1:05,,,PIT 35,19.0,20.0,"Chris Boswell kicks off 60 yards, returned by Keisean Nixon for 29 yards (tackle by Chandon Sullivan)",0.0,1.2,10.0,2023,141
3.0,0:59,1.0,10.0,GNB 34,19.0,20.0,AJ Dillon right guard for 4 yards (tackle by Elandon Roberts and Cameron Heyward),1.2,1.2,10.0,2023,141
3.0,0:19,2.0,6.0,GNB 38,19.0,20.0,Jordan Love pass incomplete deep left,1.2,0.5,10.0,2023,141
3.0,0:05,3.0,6.0,GNB 38,19.0,20.0,"Jordan Love pass complete short middle to Jayden Reed for 5 yards (tackle by Patrick Peterson). Penalty on Zach Tom: Illegal Formation, 5 yards (accepted) (no play)",0.5,-0.16,10.0,2023,141
4.0,15:00,3.0,11.0,GNB 33,19.0,20.0,"Jordan Love pass complete short left to Dontayvion Wicks for -5 yards. Dontayvion Wicks fumbles, recovered by Aaron Jones at GB-29 and returned for -1 yards (tackle by Elijah Riley)",-0.16,-1.5,10.0,2023,141
4.0,14:17,4.0,16.0,GNB 28,19.0,20.0,"Daniel Whelan punts 53 yards, returned by Calvin Austin for 6 yards (tackle by Robert Rochell and Josiah Deguara)",-1.5,-0.61,10.0,2023,141
4.0,14:06,1.0,10.0,PIT 25,19.0,20.0,Najee Harris left guard for 3 yards (tackle by Tedarrell Slaton),0.61,0.47,10.0,2023,141
4.0,13:28,2.0,7.0,PIT 28,19.0,20.0,Najee Harris left tackle for 24 yards (tackle by Rudy Ford),0.47,2.39,10.0,2023,141
4.0,12:46,1.0,10.0,GNB 48,19.0,20.0,Kenny Pickett pass complete short right to Najee Harris for no gain (tackle by Keisean Nixon),2.39,1.85,10.0,2023,141
4.0,12:06,2.0,10.0,GNB 48,19.0,20.0,Kenny Pickett pass incomplete deep left intended for Diontae Johnson (defended by Corey Ballentine),1.85,1.16,10.0,2023,141
4.0,11:58,3.0,10.0,GNB 48,19.0,20.0,"Kenny Pickett pass incomplete deep left intended for George Pickens. Penalty on Dan Moore: Offensive Holding, 10 yards (declined)",1.16,0.07,10.0,2023,141
4.0,11:53,4.0,10.0,GNB 48,19.0,20.0,"Pressley Harvin punts 39 yards, recovered by Jayden Reed at GB-9",0.07,0.38,10.0,2023,141
4.0,11:45,1.0,10.0,GNB 9,19.0,20.0,AJ Dillon left tackle for 5 yards (tackle by T.J. Watt and Alex Highsmith),-0.38,-0.39,10.0,2023,141
4.0,11:09,2.0,5.0,GNB 14,19.0,20.0,AJ Dillon up the middle for 3 yards (tackle by Keeanu Benton and Keanu Neal),-0.39,-0.48,10.0,2023,141
4.0,10:33,3.0,2.0,GNB 17,19.0,20.0,Jordan Love pass complete short left to Jayden Reed for 2 yards (tackle by Patrick Peterson),-0.48,0.15,10.0,2023,141
4.0,10:13,1.0,10.0,GNB 19,19.0,20.0,Jordan Love pass complete short left to Romeo Doubs for 3 yards (tackle by Patrick Peterson),0.15,0.07,10.0,2023,141
4.0,9:43,2.0,7.0,GNB 22,19.0,20.0,Jordan Love pass incomplete short left intended for AJ Dillon (defended by Alex Highsmith),0.07,-0.68,10.0,2023,141
4.0,9:39,3.0,7.0,GNB 22,19.0,20.0,Jordan Love pass incomplete short right intended for Tucker Kraft,-0.68,-1.9,10.0,2023,141
4.0,9:32,4.0,7.0,GNB 22,19.0,20.0,"Daniel Whelan punts 44 yards, fair catch by Calvin Austin at PIT-34",-1.9,-1.2,10.0,2023,141
4.0,9:24,1.0,10.0,PIT 34,19.0,20.0,Jaylen Warren left tackle for 11 yards (tackle by Jonathan Owens),1.2,1.93,10.0,2023,141
4.0,8:51,1.0,10.0,PIT 45,19.0,20.0,Calvin Austin left end for 6 yards (tackle by Jonathan Owens and Isaiah McDuffie),1.93,2.19,10.0,2023,141
4.0,8:09,2.0,4.0,GNB 49,19.0,20.0,Jaylen Warren left tackle for 4 yards (tackle by Kenny Clark and Corey Ballentine),2.19,2.59,10.0,2023,141
4.0,7:27,1.0,10.0,GNB 45,19.0,20.0,Jaylen Warren left tackle for 20 yards (tackle by Corey Ballentine and Keisean Nixon),2.59,3.91,10.0,2023,141
4.0,6:41,1.0,10.0,GNB 25,19.0,20.0,Jaylen Warren up the middle for no gain (tackle by Preston Smith and Isaiah McDuffie),3.91,3.36,10.0,2023,141
4.0,5:58,2.0,10.0,GNB 25,19.0,20.0,Kenny Pickett pass complete short left to Najee Harris for 8 yards (tackle by Rudy Ford),3.36,3.85,10.0,2023,141
4.0,5:24,3.0,2.0,GNB 17,19.0,20.0,Kenny Pickett pass incomplete short right,3.85,2.44,10.0,2023,141
4.0,5:17,4.0,2.0,GNB 17,19.0,23.0,Chris Boswell 35 yard field goal good,2.44,3.0,10.0,2023,141
4.0,5:14,,,PIT 35,19.0,23.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,141
4.0,5:14,1.0,10.0,GNB 25,19.0,23.0,Jordan Love pass complete deep right to Luke Musgrave for 28 yards (tackle by Elandon Roberts),0.61,2.46,10.0,2023,141
4.0,4:32,1.0,10.0,PIT 47,19.0,23.0,Jordan Love pass incomplete short right,2.46,1.91,10.0,2023,141
4.0,4:25,2.0,10.0,PIT 47,19.0,23.0,Jordan Love pass incomplete short left intended for Aaron Jones (defended by Chandon Sullivan),1.91,1.22,10.0,2023,141
4.0,4:22,3.0,10.0,PIT 47,19.0,23.0,Jordan Love pass complete deep middle to Dontayvion Wicks for 32 yards (tackle by Keanu Neal),1.22,4.58,10.0,2023,141
4.0,3:39,1.0,10.0,PIT 15,19.0,23.0,Aaron Jones left end for 1 yard (tackle by Elandon Roberts),4.58,4.11,10.0,2023,141
4.0,3:32,2.0,9.0,PIT 14,19.0,23.0,Jordan Love pass deep left (defended by Patrick Peterson) intended for Christian Watson is intercepted by Keanu Neal in end zone and returned for 32 yards (tackle by Romeo Doubs),4.11,-0.54,10.0,2023,141
4.0,3:20,1.0,10.0,PIT 24,19.0,23.0,Najee Harris left tackle for 1 yard (tackle by Rashan Gary),0.54,0.13,10.0,2023,141
4.0,2:37,2.0,9.0,PIT 25,19.0,23.0,Najee Harris left tackle for 3 yards (tackle by Rudy Ford and Devonte Wyatt),0.13,-0.16,10.0,2023,141
4.0,2:32,,,,,,Timeout #1 by Green Bay Packers,,,10.0,2023,141
4.0,2:32,3.0,6.0,PIT 28,19.0,23.0,Kenny Pickett scrambles right end for 11 yards (tackle by Jonathan Owens),-0.16,1.53,10.0,2023,141
4.0,2:25,,,,,,Timeout #2 by Green Bay Packers,,,10.0,2023,141
4.0,2:25,1.0,10.0,PIT 39,19.0,23.0,Jaylen Warren left tackle for 1 yard (tackle by Tedarrell Slaton and Rudy Ford),1.53,1.12,10.0,2023,141
4.0,2:20,,,,,,Timeout #3 by Green Bay Packers,,,10.0,2023,141
4.0,2:20,2.0,9.0,PIT 40,19.0,23.0,Jaylen Warren right end for no gain (tackle by Tedarrell Slaton and Lukas Van Ness),1.12,0.43,10.0,2023,141
4.0,2:00,3.0,9.0,PIT 40,19.0,23.0,"Kenny Pickett pass complete deep middle to George Pickens for no gain. Penalty on Calvin Austin: Offensive Pass Interference, 10 yards (accepted) (no play)",0.43,-0.89,10.0,2023,141
4.0,1:52,3.0,19.0,PIT 30,19.0,23.0,Jaylen Warren up the middle for 11 yards (tackle by Isaiah McDuffie),-0.89,-0.65,10.0,2023,141
4.0,1:09,,,,,,Timeout #1 by Pittsburgh Steelers,,,10.0,2023,141
4.0,1:09,4.0,8.0,PIT 41,19.0,23.0,Pressley Harvin punts 40 yards downed by Elijah Riley,-0.65,-0.15,10.0,2023,141
4.0,0:59,1.0,10.0,GNB 19,19.0,23.0,Jordan Love pass complete deep right to Jayden Reed for 46 yards (tackle by Damontae Kazee),0.15,3.25,10.0,2023,141
4.0,0:51,1.0,10.0,PIT 35,19.0,23.0,Jordan Love pass complete short right to Aaron Jones for no gain (tackle by Elijah Riley),3.25,2.7,10.0,2023,141
4.0,0:28,2.0,10.0,PIT 35,19.0,23.0,Jordan Love scrambles right end for 8 yards (tackle by Elandon Roberts),2.7,3.07,10.0,2023,141
4.0,0:22,3.0,2.0,PIT 27,19.0,23.0,Jordan Love pass incomplete short middle intended for AJ Dillon,3.07,1.8,10.0,2023,141
4.0,0:17,,,,,,Timeout #2 by Pittsburgh Steelers,,,10.0,2023,141
