Quarter,Time,Down,ToGo,Location,NOR,MIN,Detail,EPB,EPA,week,year,game_id
2.0,10:17,2.0,2.0,NOR 2,3.0,9.0,"Ty Chandler left end for 2 yards, touchdown",5.72,7.0,10.0,2023,144
2.0,10:14,,,NOR 15,3.0,10.0,Greg Joseph kicks extra point good,0.0,0.0,10.0,2023,144
2.0,10:14,,,MIN 35,3.0,10.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,144
2.0,10:14,1.0,10.0,NOR 25,3.0,10.0,Alvin Kamara left guard for 5 yards (tackle by Harrison Phillips and Patrick Jones),0.61,0.74,10.0,2023,144
2.0,9:41,2.0,5.0,NOR 30,3.0,10.0,Derek Carr sacked by D.J. Wonnum for -6 yards,0.74,-0.76,10.0,2023,144
2.0,9:02,3.0,11.0,NOR 24,3.0,10.0,Derek Carr scrambles up the middle for 10 yards (tackle by D.J. Wonnum),-0.76,-1.11,10.0,2023,144
2.0,8:17,4.0,1.0,NOR 34,3.0,10.0,"Lou Hedley punts 48 yards, fair catch by Brandon Powell at MIN-18",-1.11,-0.04,10.0,2023,144
2.0,8:11,1.0,10.0,MIN 18,3.0,10.0,Joshua Dobbs pass complete deep right to Jordan Addison for 29 yards (tackle by Tyrann Mathieu),0.04,2.06,10.0,2023,144
2.0,7:32,1.0,10.0,MIN 47,3.0,10.0,Alexander Mattison right end for -2 yards (tackle by Pete Werner),2.06,1.25,10.0,2023,144
2.0,6:50,2.0,12.0,MIN 45,3.0,10.0,Joshua Dobbs pass complete short right to Brandon Powell for 6 yards (tackle by Paulson Adebo),1.25,1.36,10.0,2023,144
2.0,6:13,3.0,6.0,NOR 49,3.0,10.0,"Joshua Dobbs pass complete short right to T.J. Hockenson for 13 yards (tackle by Lonnie Johnson). Penalty on Lonnie Johnson: Defensive Holding, 5 yards (declined)",1.36,3.18,10.0,2023,144
2.0,5:49,1.0,10.0,NOR 36,3.0,10.0,Joshua Dobbs pass complete short left to T.J. Hockenson for 21 yards (tackle by Alontae Taylor),3.18,4.58,10.0,2023,144
2.0,5:19,1.0,10.0,NOR 15,3.0,10.0,Alexander Mattison left end for -1 yards (tackle by Khalen Saunders),4.58,3.81,10.0,2023,144
2.0,4:38,2.0,11.0,NOR 16,3.0,10.0,"Joshua Dobbs sacked by Cameron Jordan for no gain. Penalty on Pete Werner: Illegal Contact, 5 yards (accepted) (no play)",3.81,4.84,10.0,2023,144
2.0,4:24,1.0,10.0,NOR 11,3.0,10.0,"Joshua Dobbs pass incomplete short right intended for Jordan Addison (defended by Paulson Adebo) MIN challenged the pass completion ruling, and the play was upheld.",4.84,4.14,10.0,2023,144
2.0,4:18,2.0,10.0,NOR 11,3.0,10.0,Joshua Dobbs pass complete short right to Jordan Addison for 4 yards (tackle by Paulson Adebo),4.14,3.98,10.0,2023,144
2.0,3:40,3.0,6.0,NOR 7,3.0,16.0,"Joshua Dobbs scrambles left end for 7 yards, touchdown",3.98,7.0,10.0,2023,144
2.0,3:30,,,NOR 15,3.0,17.0,Greg Joseph kicks extra point good,0.0,0.0,10.0,2023,144
2.0,3:30,,,MIN 35,3.0,17.0,"Greg Joseph kicks off 62 yards, returned by Rashid Shaheed for 26 yards (tackle by Theo Jackson)",0.0,0.87,10.0,2023,144
2.0,3:24,1.0,10.0,NOR 29,3.0,17.0,Alvin Kamara left tackle for 3 yards (tackle by Jonathan Bullard and Ivan Pace),0.87,0.73,10.0,2023,144
2.0,2:52,2.0,7.0,NOR 32,3.0,17.0,Derek Carr pass complete short left to Alvin Kamara for 1 yard (tackle by Ivan Pace and Akayleb Evans),0.73,0.17,10.0,2023,144
2.0,2:10,3.0,6.0,NOR 33,3.0,17.0,"Penalty on Rashid Shaheed: False Start, 5 yards (accepted) (no play)",0.17,-0.49,10.0,2023,144
2.0,2:00,3.0,11.0,NOR 28,3.0,17.0,Derek Carr pass incomplete short right,-0.49,-1.5,10.0,2023,144
2.0,1:53,4.0,11.0,NOR 28,3.0,17.0,"Lou Hedley punts 48 yards, fair catch by Brandon Powell at MIN-24",-1.5,-0.54,10.0,2023,144
2.0,1:47,1.0,10.0,MIN 24,3.0,17.0,Ty Chandler right guard for 13 yards (tackle by Tyrann Mathieu and Demario Davis),0.54,1.4,10.0,2023,144
2.0,1:23,1.0,10.0,MIN 37,3.0,17.0,Joshua Dobbs pass complete short right to T.J. Hockenson for 13 yards (tackle by Pete Werner and Paulson Adebo),1.4,2.26,10.0,2023,144
2.0,1:01,1.0,10.0,MIN 50,3.0,17.0,Joshua Dobbs pass complete short right to T.J. Hockenson for 2 yards (tackle by Paulson Adebo),2.26,1.98,10.0,2023,144
2.0,0:41,2.0,8.0,NOR 48,3.0,17.0,Joshua Dobbs scrambles left end for 10 yards (tackle by Marshon Lattimore),1.98,3.05,10.0,2023,144
2.0,0:34,1.0,10.0,NOR 38,3.0,17.0,Joshua Dobbs pass complete short middle to T.J. Hockenson for 9 yards (tackle by Tyrann Mathieu),3.05,3.72,10.0,2023,144
2.0,0:28,,,,,,Timeout #2 by Minnesota Vikings,,,10.0,2023,144
2.0,0:28,2.0,1.0,NOR 29,3.0,17.0,"Joshua Dobbs pass complete short left to T.J. Hockenson for 6 yards (tackle by Marshon Lattimore) Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",3.72,4.04,10.0,2023,144
2.0,0:22,1.0,10.0,NOR 23,3.0,17.0,"Penalty on T.J. Hockenson: False Start, 5 yards (accepted) (no play)",4.04,3.71,10.0,2023,144
2.0,0:22,1.0,15.0,NOR 28,3.0,23.0,"Joshua Dobbs pass complete deep middle to T.J. Hockenson for 28 yards, touchdown",3.71,7.0,10.0,2023,144
2.0,0:16,,,NOR 15,3.0,24.0,Greg Joseph kicks extra point good,0.0,0.0,10.0,2023,144
2.0,0:16,,,MIN 35,3.0,24.0,"Greg Joseph kicks off 66 yards, returned by Rashid Shaheed for 28 yards (tackle by Josh Metellus)",0.0,0.74,10.0,2023,144
2.0,0:13,1.0,10.0,NOR 27,3.0,24.0,Derek Carr pass complete short middle to Alvin Kamara for 7 yards (tackle by Theo Jackson and Jordan Hicks),0.74,1.14,10.0,2023,144
2.0,0:05,,,,,,Timeout #1 by New Orleans Saints,,,10.0,2023,144
2.0,0:05,2.0,3.0,NOR 34,3.0,24.0,Derek Carr pass complete short left to Rashid Shaheed for 6 yards (tackle by Patrick Jones),1.14,1.6,10.0,2023,144
3.0,15:00,,,MIN 35,3.0,24.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,144
3.0,15:00,1.0,10.0,NOR 25,3.0,24.0,Alvin Kamara left tackle for 7 yards (tackle by Josh Metellus),0.61,1.01,10.0,2023,144
3.0,14:29,2.0,3.0,NOR 32,3.0,24.0,Jamaal Williams right guard for 2 yards (tackle by Camryn Bynum),1.01,0.56,10.0,2023,144
3.0,13:55,3.0,1.0,NOR 34,3.0,24.0,Jamaal Williams up the middle for no gain (tackle by Harrison Phillips and Jordan Hicks),0.56,-1.11,10.0,2023,144
3.0,13:14,4.0,1.0,NOR 34,3.0,24.0,"Penalty on Trevor Penning: False Start, 4 yards (accepted) (no play)",-1.11,-1.37,10.0,2023,144
3.0,13:03,4.0,5.0,NOR 30,3.0,24.0,"Lou Hedley punts 44 yards, fair catch by Brandon Powell at MIN-26. Penalty on Zach Wood: Offensive Holding, 10 yards (accepted)",-1.37,-1.33,10.0,2023,144
3.0,12:56,1.0,10.0,MIN 36,3.0,24.0,Alexander Mattison left guard for 9 yards (tackle by Marshon Lattimore),1.33,2.01,10.0,2023,144
3.0,12:22,2.0,1.0,MIN 45,3.0,24.0,Alexander Mattison left guard for 6 yards (tackle by Marcus Maye and Paulson Adebo),2.01,2.32,10.0,2023,144
3.0,11:46,1.0,10.0,NOR 49,3.0,24.0,"Joshua Dobbs pass incomplete short left intended for Jordan Addison. Penalty on Carl Granderson: Roughing the Passer, 15 yards (accepted) (no play)",2.32,3.31,10.0,2023,144
3.0,11:41,1.0,10.0,NOR 34,3.0,24.0,Joshua Dobbs pass complete short left to Jalen Nailor for 16 yards (tackle by Tyrann Mathieu),3.31,4.37,10.0,2023,144
3.0,11:02,1.0,10.0,NOR 18,3.0,24.0,Alexander Mattison left guard for 3 yards (tackle by Cameron Jordan and Carl Granderson),4.37,4.25,10.0,2023,144
3.0,10:24,2.0,7.0,NOR 15,3.0,24.0,Joshua Dobbs pass incomplete short right,4.25,3.46,10.0,2023,144
3.0,10:19,3.0,7.0,NOR 15,3.0,24.0,Joshua Dobbs pass incomplete short left intended for Alexander Mattison (defended by Tanoh Kpassagnon),3.46,2.44,10.0,2023,144
3.0,10:13,4.0,7.0,NOR 15,3.0,27.0,Greg Joseph 33 yard field goal good,2.44,3.0,10.0,2023,144
3.0,10:09,,,MIN 35,3.0,27.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,144
3.0,10:09,1.0,10.0,NOR 25,3.0,27.0,Derek Carr pass complete short middle to Rashid Shaheed for 15 yards (tackle by Ivan Pace),0.61,1.6,10.0,2023,144
3.0,9:45,1.0,10.0,NOR 40,3.0,27.0,Alvin Kamara up the middle for -2 yards (tackle by Jordan Hicks),1.6,0.78,10.0,2023,144
3.0,9:23,2.0,12.0,NOR 38,3.0,27.0,Derek Carr pass complete short middle to Rashid Shaheed for 6 yards (tackle by Jordan Hicks),0.78,0.89,10.0,2023,144
3.0,8:53,3.0,6.0,NOR 44,3.0,27.0,Derek Carr pass complete short left to Alvin Kamara for 11 yards (tackle by Josh Metellus and Jordan Hicks),0.89,2.59,10.0,2023,144
3.0,8:19,1.0,10.0,MIN 45,3.0,27.0,"Derek Carr sacked by Jonathan Bullard for -6 yards. Derek Carr fumbles (forced by Jonathan Bullard), recovered by Cesar Ruiz at NO-49",2.59,1.23,10.0,2023,144
3.0,7:44,2.0,16.0,NOR 49,3.0,27.0,Derek Carr pass complete short middle to Chris Olave for 15 yards (tackle by Harrison Smith),1.23,2.54,10.0,2023,144
3.0,7:17,3.0,1.0,MIN 36,3.0,27.0,Jameis Winston pass complete short right to Rashid Shaheed for no gain (tackle by Harrison Smith),2.54,0.89,10.0,2023,144
3.0,6:34,4.0,1.0,MIN 36,3.0,27.0,Alvin Kamara up the middle for 2 yards (tackle by Harrison Phillips),0.89,3.31,10.0,2023,144
3.0,6:05,1.0,10.0,MIN 34,3.0,27.0,Jameis Winston pass complete short right to Chris Olave for 20 yards (tackle by Camryn Bynum and Harrison Smith),3.31,4.65,10.0,2023,144
3.0,5:31,1.0,10.0,MIN 14,9.0,27.0,"Jameis Winston pass complete short right to Chris Olave for 14 yards, touchdown",4.65,7.0,10.0,2023,144
3.0,5:26,,,MIN 2,11.0,27.0,"Two Point Attempt: Alvin Kamara rushes, conversion succeeds.",1.0,1.0,10.0,2023,144
3.0,5:26,,,NOR 35,11.0,27.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,144
3.0,5:26,1.0,10.0,MIN 25,11.0,27.0,Ty Chandler left end for 2 yards (tackle by Tanoh Kpassagnon),0.61,0.33,10.0,2023,144
3.0,4:49,2.0,8.0,MIN 27,11.0,27.0,Ty Chandler left tackle for 3 yards (tackle by Nathan Shepherd and Malcolm Roach),0.33,0.04,10.0,2023,144
3.0,4:07,3.0,5.0,MIN 30,11.0,27.0,Joshua Dobbs scrambles left end for 4 yards (tackle by Demario Davis),0.04,-1.11,10.0,2023,144
3.0,3:08,4.0,1.0,MIN 34,11.0,27.0,"Ryan Wright punts 50 yards, fair catch by Rashid Shaheed at NO-16",-1.11,0.14,10.0,2023,144
3.0,2:59,1.0,10.0,NOR 16,11.0,27.0,Jameis Winston pass incomplete short left intended for Taysom Hill,-0.14,-0.66,10.0,2023,144
3.0,2:56,2.0,10.0,NOR 16,11.0,27.0,Jameis Winston pass incomplete short right intended for Taysom Hill (defended by Mekhi Blackmon),-0.66,-1.32,10.0,2023,144
3.0,2:51,3.0,10.0,NOR 16,11.0,27.0,Jameis Winston pass incomplete deep left intended for Chris Olave,-1.32,-2.39,10.0,2023,144
3.0,2:46,4.0,10.0,NOR 16,11.0,27.0,"Lou Hedley punts 46 yards, returned by Brandon Powell for 9 yards (tackle by D'Marco Jackson)",-2.39,-2.06,10.0,2023,144
3.0,2:37,1.0,10.0,MIN 47,11.0,27.0,Joshua Dobbs pass incomplete short left intended for T.J. Hockenson (defended by Malcolm Roach),2.06,1.52,10.0,2023,144
3.0,2:34,2.0,10.0,MIN 47,11.0,27.0,Ty Chandler right guard for 4 yards (tackle by Malcolm Roach and Kyle Phillips),1.52,1.36,10.0,2023,144
3.0,1:55,3.0,6.0,NOR 49,11.0,27.0,Joshua Dobbs pass complete short left to T.J. Hockenson for 6 yards (tackle by Marcus Maye),1.36,2.72,10.0,2023,144
3.0,1:18,1.0,10.0,NOR 43,11.0,27.0,Alexander Mattison right end for 3 yards (tackle by Pete Werner and Demario Davis),2.72,2.58,10.0,2023,144
3.0,0:42,2.0,7.0,NOR 40,11.0,27.0,Joshua Dobbs pass incomplete short right,2.58,1.88,10.0,2023,144
3.0,0:35,3.0,7.0,NOR 40,11.0,27.0,Joshua Dobbs pass complete short left to Brandon Powell for 4 yards (tackle by Marshon Lattimore and Alontae Taylor),1.88,0.89,10.0,2023,144
4.0,15:00,4.0,3.0,NOR 36,11.0,27.0,Greg Joseph 54 yard field goal no good,0.89,-1.86,10.0,2023,144
4.0,14:55,1.0,10.0,NOR 44,11.0,27.0,Jameis Winston pass incomplete deep middle intended for Juwan Johnson,1.86,1.32,10.0,2023,144
4.0,14:51,2.0,10.0,NOR 44,11.0,27.0,"Jameis Winston pass intended for Rashid Shaheed is intercepted by Camryn Bynum at NO-47 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Jameis Winston pass incomplete short left intended for Rashid Shaheed (defended by Byron Murphy)",1.32,0.63,10.0,2023,144
4.0,14:48,3.0,10.0,NOR 44,11.0,27.0,"Jameis Winston pass incomplete short right intended for Juwan Johnson. Penalty on Danielle Hunter: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.63,2.19,10.0,2023,144
4.0,14:45,1.0,10.0,NOR 49,11.0,27.0,Jameis Winston sacked by Danielle Hunter for -5 yards,2.19,0.97,10.0,2023,144
4.0,14:11,2.0,15.0,NOR 44,11.0,27.0,Jameis Winston pass incomplete deep right intended for Chris Olave,0.97,0.3,10.0,2023,144
4.0,14:04,3.0,15.0,NOR 44,11.0,27.0,Jameis Winston pass complete short middle to Alvin Kamara for 13 yards (tackle by Josh Metellus and Theo Jackson),0.3,0.4,10.0,2023,144
4.0,13:21,4.0,2.0,MIN 43,11.0,27.0,Jameis Winston pass complete deep right to Chris Olave for 26 yards (tackle by Byron Murphy),0.4,4.44,10.0,2023,144
4.0,12:33,1.0,10.0,MIN 17,11.0,27.0,Jameis Winston pass incomplete short right,4.44,3.85,10.0,2023,144
4.0,12:29,2.0,10.0,MIN 17,11.0,27.0,Jameis Winston pass complete short left to Chris Olave for 2 yards (tackle by Andrew Booth),3.85,3.34,10.0,2023,144
4.0,11:48,3.0,8.0,MIN 15,17.0,27.0,"Jameis Winston pass complete short right to A.T. Perry for 15 yards, touchdown",3.34,7.0,10.0,2023,144
4.0,11:40,,,MIN 2,19.0,27.0,"Two Point Attempt: Alvin Kamara rushes, conversion succeeds.",1.0,1.0,10.0,2023,144
4.0,11:40,,,NOR 35,19.0,27.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,144
4.0,11:40,1.0,10.0,MIN 25,19.0,27.0,Joshua Dobbs pass incomplete short right intended for Jordan Addison,0.61,0.06,10.0,2023,144
4.0,11:34,2.0,10.0,MIN 25,19.0,27.0,Joshua Dobbs pass incomplete short left intended for Brandon Powell,0.06,-0.62,10.0,2023,144
4.0,11:25,3.0,10.0,MIN 25,19.0,27.0,Joshua Dobbs pass complete short middle to Brandon Powell for 14 yards (tackle by Demario Davis),-0.62,1.53,10.0,2023,144
4.0,10:49,1.0,10.0,MIN 39,19.0,27.0,"Kene Nwangwu left end for 8 yards (tackle by Tyrann Mathieu). Penalty on Tyrann Mathieu: Face Mask (15 Yards), 15 yards (accepted)",1.53,3.05,10.0,2023,144
4.0,10:30,1.0,10.0,NOR 38,19.0,27.0,Kene Nwangwu left guard for 1 yard (tackle by Malcolm Roach and Carl Granderson),3.05,2.64,10.0,2023,144
4.0,9:55,2.0,9.0,NOR 37,19.0,27.0,Joshua Dobbs pass complete short left to Johnny Mundt for 8 yards (tackle by Carl Granderson),2.64,3.01,10.0,2023,144
4.0,9:23,3.0,1.0,NOR 29,19.0,27.0,"Ty Chandler right end for no gain, touchdown. Penalty on Brian O'Neill: Offensive Holding, 10 yards (accepted) (no play)",3.01,1.68,10.0,2023,144
4.0,9:17,3.0,11.0,NOR 39,19.0,27.0,Joshua Dobbs sacked by Demario Davis for -5 yards,1.68,0.33,10.0,2023,144
4.0,8:34,4.0,16.0,NOR 44,19.0,27.0,"Ryan Wright punts 37 yards, fair catch by Rashid Shaheed at NO-7",0.33,0.38,10.0,2023,144
4.0,8:28,1.0,10.0,NOR 7,19.0,27.0,Jamaal Williams up the middle for 3 yards (tackle by Harrison Phillips and Troy Dye),-0.38,-0.56,10.0,2023,144
4.0,7:54,2.0,7.0,NOR 10,19.0,27.0,Jameis Winston pass complete short right to Juwan Johnson for 2 yards (tackle by Harrison Smith),-0.56,-0.84,10.0,2023,144
4.0,7:10,3.0,5.0,NOR 12,19.0,27.0,Jameis Winston pass complete short left to Alvin Kamara for -2 yards (tackle by Josh Metellus),-0.84,-2.49,10.0,2023,144
4.0,6:26,4.0,7.0,NOR 10,19.0,27.0,"Lou Hedley punts 46 yards, returned by Brandon Powell for 3 yards (tackle by Nephi Sewell)",-2.49,-2.06,10.0,2023,144
4.0,6:15,1.0,10.0,MIN 47,19.0,27.0,Ty Chandler right guard for 2 yards (tackle by Nathan Shepherd),2.06,1.79,10.0,2023,144
4.0,5:38,2.0,8.0,MIN 49,19.0,27.0,Ty Chandler up the middle for -4 yards (tackle by Alontae Taylor and Carl Granderson),1.79,0.56,10.0,2023,144
4.0,5:06,3.0,12.0,MIN 45,19.0,27.0,Joshua Dobbs pass incomplete short left intended for T.J. Hockenson,0.56,-0.39,10.0,2023,144
4.0,5:01,4.0,12.0,MIN 45,19.0,27.0,"Ryan Wright punts 38 yards, fair catch by Rashid Shaheed at NO-17",-0.39,0.06,10.0,2023,144
4.0,4:54,1.0,10.0,NOR 17,19.0,27.0,Jameis Winston pass complete short right to Alvin Kamara for 2 yards (tackle by Mekhi Blackmon),-0.06,-0.25,10.0,2023,144
4.0,4:26,2.0,8.0,NOR 19,19.0,27.0,"Jameis Winston pass incomplete short right intended for Alvin Kamara MIN challenged the fumble ruling, and the original play was overturned. Jameis Winston pass complete short right to Alvin Kamara for 1 yard (tackle by Troy Dye)",-0.25,-0.87,10.0,2023,144
4.0,4:16,3.0,7.0,NOR 20,19.0,27.0,Jameis Winston pass complete deep right to Chris Olave for 17 yards (tackle by Mekhi Blackmon),-0.87,1.4,10.0,2023,144
4.0,3:51,1.0,10.0,NOR 37,19.0,27.0,"Jameis Winston pass complete deep right to Chris Olave for no gain (tackle by Harrison Smith). Penalty on Rashid Shaheed: Offensive Offside, 5 yards (accepted) (no play)",1.4,1.07,10.0,2023,144
4.0,3:45,1.0,15.0,NOR 32,19.0,27.0,Jameis Winston pass incomplete deep middle intended for Rashid Shaheed,1.07,0.18,10.0,2023,144
4.0,3:40,2.0,15.0,NOR 32,19.0,27.0,Jameis Winston pass complete short middle to Lynn Bowden for 12 yards (tackle by Ivan Pace),0.18,1.09,10.0,2023,144
