Quarter,Time,Down,ToGo,Location,ATL,ARI,Detail,EPB,EPA,week,year,game_id
1.0,8:47,2.0,4.0,ARI 40,0.0,0.0,Kyler Murray pass complete short left to Trey McBride for 9 yards (tackle by Richie Grant),1.47,2.19,10.0,2023,146
1.0,7:57,1.0,10.0,ARI 49,0.0,0.0,"Penalty on ARI: Delay of Game, 5 yards (accepted) (no play)",2.19,1.86,10.0,2023,146
1.0,7:41,1.0,15.0,ARI 44,0.0,0.0,James Conner up the middle for 3 yards (tackle by Nathan Landman and Mike Hughes),1.86,1.38,10.0,2023,146
1.0,7:00,2.0,12.0,ARI 47,0.0,0.0,"Kyler Murray pass complete deep right to Trey McBride for 19 yards (tackle by Richie Grant). Penalty on Richie Grant: Defensive Pass Interference, 15 yards (declined)",1.38,3.31,10.0,2023,146
1.0,6:32,1.0,10.0,ATL 34,0.0,0.0,Kyler Murray pass complete short right to Michael Wilson for 16 yards (tackle by Richie Grant),3.31,4.37,10.0,2023,146
1.0,5:46,1.0,10.0,ATL 18,0.0,0.0,"Penalty on Hjalte Froholdt: False Start, 5 yards (accepted) (no play)",4.37,4.04,10.0,2023,146
1.0,5:32,1.0,15.0,ATL 23,0.0,0.0,Kyler Murray pass incomplete deep left intended for Michael Wilson (defended by AJ Terrell),4.04,3.15,10.0,2023,146
1.0,5:28,2.0,15.0,ATL 23,0.0,0.0,"Kyler Murray scrambles left end for no gain (tackle by Jessie Bates). Penalty on Hjalte Froholdt: Offensive Holding, 10 yards (accepted) (no play)",3.15,1.8,10.0,2023,146
1.0,5:00,2.0,25.0,ATL 33,0.0,0.0,Kyler Murray pass incomplete short middle intended for Michael Wilson (defended by Timmy Horne),1.8,1.16,10.0,2023,146
1.0,4:55,3.0,25.0,ATL 33,0.0,0.0,Kyler Murray pass incomplete short left intended for Marquise Brown (defended by Kentavius Street),1.16,1.15,10.0,2023,146
1.0,4:53,4.0,25.0,ATL 33,0.0,3.0,Matt Prater 51 yard field goal good,1.15,3.0,10.0,2023,146
1.0,4:48,,,ARI 35,0.0,3.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,146
1.0,4:48,1.0,10.0,ATL 25,0.0,3.0,Taylor Heinicke pass complete short right to Kyle Pitts for 8 yards (tackle by Marco Wilson),0.61,1.14,10.0,2023,146
1.0,4:12,2.0,2.0,ATL 33,0.0,3.0,Tyler Allgeier up the middle for 7 yards (tackle by Budda Baker and Josh Woods),1.14,1.6,10.0,2023,146
1.0,3:33,1.0,10.0,ATL 40,0.0,3.0,Taylor Heinicke pass incomplete short left intended for Bijan Robinson (defended by Dennis Gardeck),1.6,1.05,10.0,2023,146
1.0,3:26,2.0,10.0,ATL 40,0.0,3.0,Cordarrelle Patterson left tackle for 2 yards (tackle by Kyzir White),1.05,0.63,10.0,2023,146
1.0,2:46,3.0,8.0,ATL 42,0.0,3.0,"Taylor Heinicke pass incomplete short right intended for Cordarrelle Patterson (defended by Budda Baker). Penalty on Dennis Gardeck: Roughing the Passer, 15 yards (accepted) (no play)",0.63,2.72,10.0,2023,146
1.0,2:42,1.0,10.0,ARI 43,0.0,3.0,Bijan Robinson left tackle for 3 yards (tackle by Josh Woods and Dante Stills),2.72,2.58,10.0,2023,146
1.0,2:09,2.0,7.0,ARI 40,0.0,3.0,Bijan Robinson up the middle for 17 yards (tackle by BJ Ojulari),2.58,4.04,10.0,2023,146
1.0,1:30,1.0,10.0,ARI 23,0.0,3.0,Tyler Allgeier right end for 8 yards (tackle by Jalen Thompson and Budda Baker),4.04,4.75,10.0,2023,146
1.0,0:57,2.0,2.0,ARI 15,0.0,3.0,Tyler Allgeier right end for -1 yards (tackle by Kevin Strong and Jalen Thompson),4.75,3.85,10.0,2023,146
1.0,0:07,3.0,3.0,ARI 16,0.0,3.0,Bijan Robinson left tackle for 10 yards (tackle by Kyzir White),3.85,5.83,10.0,2023,146
2.0,15:00,1.0,6.0,ARI 6,0.0,3.0,"Bijan Robinson right tackle for no gain (tackle by Budda Baker). Penalty on MyCole Pruitt: Offensive Holding, 10 yards (accepted) (no play)",5.83,4.31,10.0,2023,146
2.0,14:44,1.0,16.0,ARI 16,0.0,3.0,Bijan Robinson up the middle for 3 yards (tackle by Kevin Strong and Kyzir White),4.31,3.72,10.0,2023,146
2.0,14:10,2.0,13.0,ARI 13,0.0,3.0,Taylor Heinicke scrambles right end for 11 yards (tackle by Budda Baker),3.72,4.95,10.0,2023,146
2.0,13:33,3.0,2.0,ARI 2,6.0,3.0,"Taylor Heinicke pass complete short left to Scott Miller for 2 yards, touchdown",4.95,7.0,10.0,2023,146
2.0,13:27,,,ARI 15,7.0,3.0,Younghoe Koo kicks extra point good,0.0,0.0,10.0,2023,146
2.0,13:27,,,ATL 35,7.0,3.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,146
2.0,13:27,1.0,10.0,ARI 25,7.0,3.0,Kyler Murray pass complete short left to Trey McBride for 28 yards (tackle by Jessie Bates),0.61,2.46,10.0,2023,146
2.0,12:45,1.0,10.0,ATL 47,7.0,3.0,Keaontay Ingram left end for no gain (tackle by Nathan Landman),2.46,1.84,10.0,2023,146
2.0,12:04,2.0,11.0,ATL 47,7.0,3.0,"Kyler Murray pass incomplete short middle intended for Marquise Brown. Penalty on Clark Phillips: Defensive Pass Interference, 13 yards (accepted) (no play)",1.84,3.31,10.0,2023,146
2.0,11:59,1.0,10.0,ATL 34,7.0,3.0,Kyler Murray pass complete short left to Michael Wilson for 4 yards (tackle by Kaden Elliss),3.31,3.31,10.0,2023,146
2.0,11:23,2.0,6.0,ATL 30,7.0,3.0,Keaontay Ingram up the middle for 2 yards (tackle by Nathan Landman and Jessie Bates),3.31,2.87,10.0,2023,146
2.0,10:43,3.0,4.0,ATL 28,7.0,3.0,Kyler Murray pass incomplete deep right intended for Marquise Brown,2.87,1.65,10.0,2023,146
2.0,10:37,4.0,4.0,ATL 28,7.0,6.0,Matt Prater 46 yard field goal good,1.65,3.0,10.0,2023,146
2.0,10:32,,,ARI 35,7.0,6.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,146
2.0,10:32,1.0,10.0,ATL 25,7.0,6.0,Taylor Heinicke pass complete short right to Cordarrelle Patterson for 2 yards (tackle by Roy Lopez),0.61,0.33,10.0,2023,146
2.0,9:56,2.0,8.0,ATL 27,7.0,6.0,Cordarrelle Patterson up the middle for 6 yards (tackle by Josh Woods and Starling Thomas),0.33,0.43,10.0,2023,146
2.0,9:21,3.0,2.0,ATL 33,7.0,6.0,Cordarrelle Patterson up the middle for 5 yards (tackle by Jonathan Ledbetter),0.43,1.47,10.0,2023,146
2.0,8:45,1.0,10.0,ATL 38,7.0,6.0,Taylor Heinicke pass complete short left to Bijan Robinson for 11 yards (tackle by Budda Baker),1.47,2.19,10.0,2023,146
2.0,8:01,1.0,10.0,ATL 49,7.0,6.0,Bijan Robinson up the middle for 3 yards (tackle by Budda Baker and BJ Ojulari),2.19,2.05,10.0,2023,146
2.0,7:25,2.0,7.0,ARI 48,7.0,6.0,Taylor Heinicke pass complete short left to Drake London for 7 yards (tackle by Starling Thomas),2.05,2.85,10.0,2023,146
2.0,6:40,1.0,10.0,ARI 41,7.0,6.0,Tyler Allgeier right tackle for 5 yards (tackle by Kyzir White and Budda Baker),2.85,2.98,10.0,2023,146
2.0,6:02,2.0,5.0,ARI 36,7.0,6.0,Tyler Allgeier right tackle for 2 yards (tackle by Zaven Collins and Kevin Strong),2.98,2.48,10.0,2023,146
2.0,5:27,3.0,4.0,ARI 34,7.0,6.0,"Taylor Heinicke pass incomplete deep right intended for Jonnu Smith. Penalty on Starling Thomas: Illegal Contact, 5 yards (accepted) (no play)",2.48,3.64,10.0,2023,146
2.0,5:22,1.0,10.0,ARI 29,7.0,6.0,"Bijan Robinson left end for 3 yards (tackle by Dante Stills and BJ Ojulari). Penalty on Roy Lopez: Defensive Holding, 5 yards (accepted)",3.64,4.17,10.0,2023,146
2.0,5:00,1.0,10.0,ARI 21,7.0,6.0,Taylor Heinicke pass incomplete short right,4.17,3.63,10.0,2023,146
2.0,4:56,2.0,10.0,ARI 21,7.0,6.0,Taylor Heinicke pass incomplete short right,3.63,2.94,10.0,2023,146
2.0,4:50,3.0,10.0,ARI 21,7.0,6.0,Taylor Heinicke scrambles up the middle for 16 yards (tackle by Budda Baker),2.94,6.06,10.0,2023,146
2.0,4:12,1.0,5.0,ARI 5,13.0,6.0,"Bijan Robinson up the middle for 5 yards, touchdown",6.06,7.0,10.0,2023,146
2.0,4:07,,,ARI 15,14.0,6.0,Younghoe Koo kicks extra point good,0.0,0.0,10.0,2023,146
2.0,4:07,,,ATL 35,14.0,6.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,146
2.0,4:07,1.0,10.0,ARI 25,14.0,6.0,James Conner up the middle for 6 yards (tackle by Kaden Elliss),0.61,0.87,10.0,2023,146
2.0,3:32,2.0,4.0,ARI 31,14.0,6.0,Kyler Murray pass complete short right to Rondale Moore for 12 yards (tackle by Kaden Elliss and Nathan Landman),0.87,1.8,10.0,2023,146
2.0,2:46,1.0,10.0,ARI 43,14.0,6.0,Kyler Murray pass complete deep right to Marquise Brown for 28 yards (tackle by Jessie Bates),1.8,3.64,10.0,2023,146
2.0,2:07,1.0,10.0,ATL 29,14.0,6.0,James Conner right end for 9 yards (tackle by Richie Grant),3.64,4.32,10.0,2023,146
2.0,2:00,2.0,1.0,ATL 20,14.0,6.0,James Conner up the middle for no gain (tackle by Albert Huggins),4.32,3.6,10.0,2023,146
2.0,1:42,3.0,1.0,ATL 20,14.0,6.0,James Conner up the middle for 5 yards (tackle by Bud Dupree and Kaden Elliss),3.6,4.58,10.0,2023,146
2.0,1:05,1.0,10.0,ATL 15,14.0,6.0,Kyler Murray pass complete short middle to Geoff Swaim for 7 yards (tackle by Kaden Elliss and Richie Grant),4.58,5.22,10.0,2023,146
2.0,0:22,2.0,3.0,ATL 8,14.0,6.0,"Penalty on Kyler Murray: False Start, 5 yards (accepted) (no play)",5.22,4.28,10.0,2023,146
2.0,0:22,,,,,,Timeout #1 by Arizona Cardinals,,,10.0,2023,146
2.0,0:22,2.0,8.0,ATL 13,14.0,6.0,Kyler Murray scrambles up the middle for 7 yards (tackle by Kaden Elliss),4.28,4.9,10.0,2023,146
2.0,0:14,,,,,,Timeout #2 by Arizona Cardinals,,,10.0,2023,146
2.0,0:14,3.0,1.0,ATL 6,14.0,12.0,"Kyler Murray scrambles left end for 6 yards, touchdown",4.9,7.0,10.0,2023,146
2.0,0:10,,,ATL 2,14.0,12.0,"Two Point Attempt: Kyler Murray pass incomplete intended for intended for James Conner. Penalty on Michael Wilson: Offensive Pass Interference, 10 yards (declined)",1.0,-1.0,10.0,2023,146
2.0,0:10,,,ARI 35,14.0,12.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,146
2.0,0:10,1.0,10.0,ATL 25,14.0,12.0,Taylor Heinicke kneels for -1 yards,0.61,-0.07,10.0,2023,146
3.0,15:00,,,ARI 35,14.0,12.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,146
3.0,15:00,1.0,10.0,ATL 25,14.0,12.0,Bijan Robinson right tackle for 4 yards (tackle by Zaven Collins),0.61,0.6,10.0,2023,146
3.0,14:23,2.0,6.0,ATL 29,14.0,12.0,Taylor Heinicke pass incomplete short right intended for Kyle Pitts (defended by Marco Wilson),0.6,-0.1,10.0,2023,146
3.0,14:18,3.0,6.0,ATL 29,14.0,12.0,Taylor Heinicke pass incomplete deep right intended for Jonnu Smith,-0.1,-1.44,10.0,2023,146
3.0,14:13,4.0,6.0,ATL 29,14.0,12.0,"Bradley Pinion punts 37 yards out of bounds. Penalty on Owen Pappoe: Offensive Holding, 10 yards (accepted)",-1.44,-0.54,10.0,2023,146
3.0,14:05,1.0,10.0,ARI 24,14.0,12.0,Kyler Murray pass complete short right to Rondale Moore for 3 yards (tackle by Nathan Landman),0.54,0.4,10.0,2023,146
3.0,13:30,2.0,7.0,ARI 27,14.0,12.0,Kyler Murray pass complete short left to Trey McBride for 11 yards (tackle by AJ Terrell),0.4,1.47,10.0,2023,146
3.0,12:54,1.0,10.0,ARI 38,14.0,12.0,James Conner up the middle for 7 yards (tackle by Jessie Bates and Jeff Okudah),1.47,1.87,10.0,2023,146
3.0,12:18,2.0,3.0,ARI 45,14.0,12.0,Kyler Murray pass complete short middle to Trey McBride for 10 yards (tackle by Richie Grant),1.87,2.59,10.0,2023,146
3.0,11:41,1.0,10.0,ATL 45,14.0,12.0,Kyler Murray pass complete short middle to Trey McBride for 15 yards (tackle by Jessie Bates and Richie Grant),2.59,3.58,10.0,2023,146
3.0,10:59,1.0,10.0,ATL 30,14.0,12.0,"Kyler Murray scrambles right end for no gain (tackle by Kaden Elliss). Penalty on Paris Johnson: Offensive Holding, 10 yards (accepted) (no play)",3.58,2.92,10.0,2023,146
3.0,10:35,1.0,20.0,ATL 40,14.0,12.0,"Keaontay Ingram right tackle for no gain (tackle by Zach Harrison). Penalty on Carter O'Donnell: Offensive Holding, 10 yards (accepted) (no play)",2.92,2.26,10.0,2023,146
3.0,10:15,1.0,30.0,ATL 50,14.0,12.0,Kyler Murray pass incomplete deep left intended for Elijah Higgins,2.26,0.33,10.0,2023,146
3.0,10:09,2.0,30.0,ATL 50,14.0,12.0,Kyler Murray pass incomplete deep right intended for Rondale Moore,0.33,-0.29,10.0,2023,146
3.0,9:58,3.0,30.0,ATL 50,14.0,12.0,Kyler Murray pass complete short left to Rondale Moore for 12 yards (tackle by AJ Terrell),-0.29,0.72,10.0,2023,146
3.0,9:21,4.0,18.0,ATL 38,14.0,15.0,Matt Prater 56 yard field goal good,0.72,3.0,10.0,2023,146
3.0,9:16,,,ARI 35,14.0,15.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,146
3.0,9:16,1.0,10.0,ATL 25,14.0,15.0,Bijan Robinson right end for 4 yards (tackle by Dennis Gardeck and Budda Baker),0.61,0.6,10.0,2023,146
3.0,8:30,2.0,6.0,ATL 29,14.0,15.0,"Bijan Robinson up the middle for 2 yards (tackle by Jonathan Ledbetter and Budda Baker). Penalty on Kaleb McGary: Offensive Holding, 10 yards (accepted)",0.6,-0.48,10.0,2023,146
3.0,8:03,2.0,14.0,ATL 21,14.0,15.0,Taylor Heinicke sacked by BJ Ojulari for -10 yards,-0.48,-3.06,10.0,2023,146
3.0,7:23,3.0,24.0,ATL 11,14.0,15.0,Taylor Heinicke pass complete short middle to Kyle Pitts for 17 yards (tackle by Kyzir White),-3.06,-1.5,10.0,2023,146
3.0,6:52,4.0,7.0,ATL 28,14.0,15.0,"Bradley Pinion punts 54 yards, returned by Greg Dortch for 7 yards (tackle by Keith Smith)",-1.5,-0.61,10.0,2023,146
3.0,6:46,1.0,10.0,ARI 25,14.0,15.0,Kyler Murray pass short middle intended for Trey McBride is intercepted by Nathan Landman at ARI-39 and returned for 25 yards (tackle by Kyler Murray),0.61,-4.65,10.0,2023,146
3.0,6:35,1.0,10.0,ARI 14,14.0,15.0,Tyler Allgeier up the middle for 4 yards (tackle by Jonathan Ledbetter and Kyzir White),4.65,4.71,10.0,2023,146
3.0,6:02,2.0,6.0,ARI 10,14.0,15.0,Bijan Robinson right tackle for no gain (tackle by Garrett Williams),4.71,3.82,10.0,2023,146
3.0,5:45,3.0,6.0,ARI 10,14.0,15.0,"Taylor Heinicke sacked by Dennis Gardeck for -7 yards. Penalty on Jake Matthews: Offensive Holding, 10 yards (declined)",3.82,2.31,10.0,2023,146
3.0,5:23,4.0,13.0,ARI 17,17.0,15.0,Younghoe Koo 36 yard field goal good,2.31,3.0,10.0,2023,146
3.0,5:18,,,ATL 35,17.0,15.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,146
3.0,5:18,1.0,10.0,ARI 25,17.0,15.0,James Conner up the middle for no gain (tackle by Kaden Elliss and Zach Harrison),0.61,0.06,10.0,2023,146
3.0,4:41,2.0,10.0,ARI 25,17.0,15.0,Kyler Murray sacked by Kaden Elliss for -8 yards,0.06,-1.93,10.0,2023,146
3.0,4:02,3.0,18.0,ARI 17,17.0,15.0,Tony Jones up the middle for 13 yards (tackle by Jessie Bates),-1.93,-1.37,10.0,2023,146
3.0,3:26,4.0,5.0,ARI 30,17.0,15.0,Blake Gillikin punts 54 yards out of bounds,-1.37,0.14,10.0,2023,146
3.0,3:13,1.0,10.0,ATL 16,17.0,15.0,Taylor Heinicke pass complete short left to Jonnu Smith for 1 yard (tackle by Dante Stills and BJ Ojulari),-0.14,-0.51,10.0,2023,146
3.0,2:37,2.0,9.0,ATL 17,17.0,15.0,Tyler Allgeier up the middle for no gain (tackle by Kyzir White and Zaven Collins),-0.51,-1.2,10.0,2023,146
3.0,2:02,3.0,9.0,ATL 17,17.0,15.0,Taylor Heinicke sacked by BJ Ojulari for -7 yards,-1.2,-2.49,10.0,2023,146
3.0,1:28,4.0,16.0,ATL 10,17.0,15.0,"Bradley Pinion punts 60 yards, returned by Greg Dortch for 49 yards (tackle by DeMarcco Hellams and Keith Smith)",-2.49,-4.17,10.0,2023,146
3.0,1:08,1.0,10.0,ATL 21,17.0,15.0,Kyler Murray scrambles up the middle for 6 yards (tackle by Richie Grant),4.17,4.55,10.0,2023,146
3.0,0:23,2.0,4.0,ATL 15,17.0,15.0,"Kyler Murray pass complete short left to Michael Wilson for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Kyler Murray pass complete short left to Michael Wilson for 14 yards (tackle by Kaden Elliss)",4.55,6.97,10.0,2023,146
3.0,0:21,1.0,1.0,ATL 1,17.0,21.0,"Clayton Tune up the middle for 1 yard, touchdown. Penalty on Kentavius Street: Defensive Offside, 5 yards (declined)",6.97,7.0,10.0,2023,146
3.0,0:19,,,ATL 15,17.0,22.0,Matt Prater kicks extra point good,0.0,0.0,10.0,2023,146
3.0,0:19,,,ARI 35,17.0,22.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,146
3.0,0:19,1.0,10.0,ATL 25,17.0,22.0,Taylor Heinicke pass complete short left to Tyler Allgeier for 7 yards (tackle by Kyzir White),0.61,1.01,10.0,2023,146
4.0,15:00,2.0,3.0,ATL 32,17.0,22.0,Bijan Robinson right tackle for 3 yards (tackle by Cameron Thomas and Leki Fotu),1.01,1.27,10.0,2023,146
4.0,14:26,1.0,10.0,ATL 35,17.0,22.0,Taylor Heinicke pass incomplete deep left intended for Jonnu Smith,1.27,0.72,10.0,2023,146
4.0,14:19,2.0,10.0,ATL 35,17.0,22.0,Taylor Heinicke scrambles right end for 8 yards (tackle by Zaven Collins),0.72,1.09,10.0,2023,146
4.0,13:58,3.0,2.0,ATL 43,17.0,22.0,Bijan Robinson right end for 1 yard (tackle by Roy Lopez),1.09,-0.46,10.0,2023,146
4.0,13:20,4.0,1.0,ATL 44,17.0,22.0,Desmond Ridder up the middle for 2 yards (tackle by Kyzir White),-0.46,1.99,10.0,2023,146
4.0,12:47,1.0,10.0,ATL 46,17.0,22.0,"Desmond Ridder right end for no gain (tackle by Kyzir White). Penalty on Jonnu Smith: Offensive Holding, 10 yards (accepted) (no play)",1.99,1.33,10.0,2023,146
4.0,12:26,1.0,20.0,ATL 36,17.0,22.0,Desmond Ridder pass complete short right to Kyle Pitts for 5 yards (tackle by Kyzir White),1.33,0.78,10.0,2023,146
4.0,11:54,2.0,15.0,ATL 41,17.0,22.0,Desmond Ridder pass complete short right to Drake London for 18 yards (tackle by Marco Wilson),0.78,2.85,10.0,2023,146
4.0,11:17,1.0,10.0,ARI 41,17.0,22.0,Bijan Robinson right tackle for 1 yard (tackle by Dennis Gardeck),2.85,2.44,10.0,2023,146
4.0,10:40,2.0,9.0,ARI 40,17.0,22.0,Desmond Ridder pass incomplete deep right intended for Drake London,2.44,1.75,10.0,2023,146
4.0,10:33,3.0,9.0,ARI 40,17.0,22.0,Bijan Robinson up the middle for 10 yards (tackle by Budda Baker),1.75,3.58,10.0,2023,146
4.0,9:56,1.0,10.0,ARI 30,17.0,22.0,Bijan Robinson right tackle for 2 yards (tackle by Zaven Collins),3.58,3.3,10.0,2023,146
4.0,9:18,2.0,8.0,ARI 28,17.0,22.0,Desmond Ridder pass complete short left to Cordarrelle Patterson for 5 yards (tackle by BJ Ojulari),3.3,3.27,10.0,2023,146
4.0,8:43,3.0,3.0,ARI 23,17.0,22.0,Bijan Robinson right tackle for 2 yards (tackle by Dennis Gardeck and Kevin Strong),3.27,2.21,10.0,2023,146
4.0,8:02,4.0,1.0,ARI 21,17.0,22.0,Desmond Ridder up the middle for no gain (tackle by Jonathan Ledbetter),2.21,-0.34,10.0,2023,146
4.0,7:49,1.0,10.0,ARI 21,17.0,22.0,James Conner up the middle for 10 yards (tackle by Lorenzo Carter),0.34,1.0,10.0,2023,146
4.0,7:10,1.0,10.0,ARI 31,17.0,22.0,James Conner up the middle for 1 yard (tackle by Kaden Elliss and Timmy Horne),1.0,0.6,10.0,2023,146
4.0,6:30,2.0,9.0,ARI 32,17.0,22.0,Kyler Murray pass incomplete short middle intended for Rondale Moore (defended by Clark Phillips),0.6,-0.1,10.0,2023,146
4.0,6:26,3.0,9.0,ARI 32,17.0,22.0,Kyler Murray sacked by Nathan Landman for -11 yards,-0.1,-1.96,10.0,2023,146
4.0,5:51,4.0,20.0,ARI 21,17.0,22.0,"Blake Gillikin punts 53 yards, fair catch by Scott Miller at ATL-26",-1.96,-0.67,10.0,2023,146
4.0,5:43,1.0,10.0,ATL 26,17.0,22.0,Bijan Robinson up the middle for 2 yards (tackle by Dennis Gardeck and Roy Lopez),0.67,0.4,10.0,2023,146
4.0,5:32,2.0,8.0,ATL 28,17.0,22.0,Desmond Ridder pass incomplete deep middle intended for Van Jefferson,0.4,-0.3,10.0,2023,146
4.0,5:21,3.0,8.0,ATL 28,17.0,22.0,Desmond Ridder pass complete short left to Drake London for 11 yards (tackle by Marco Wilson),-0.3,1.53,10.0,2023,146
4.0,4:57,1.0,10.0,ATL 39,17.0,22.0,Bijan Robinson right tackle for 14 yards (tackle by Josh Woods),1.53,2.46,10.0,2023,146
4.0,4:26,1.0,10.0,ARI 47,17.0,22.0,Bijan Robinson right tackle for no gain (tackle by Roy Lopez),2.46,1.91,10.0,2023,146
4.0,3:50,2.0,10.0,ARI 47,17.0,22.0,"Desmond Ridder pass incomplete deep left intended for Drake London. Penalty on Antonio Hamilton: Defensive Pass Interference, 32 yards (accepted) (no play)",1.91,4.58,10.0,2023,146
4.0,3:43,1.0,10.0,ARI 15,17.0,22.0,Tyler Allgeier left tackle for 3 yards (tackle by BJ Ojulari and Roy Lopez),4.58,4.45,10.0,2023,146
4.0,3:03,2.0,7.0,ARI 12,17.0,22.0,Tyler Allgeier up the middle for 3 yards (tackle by Victor Dimukeje and Kyzir White),4.45,4.22,10.0,2023,146
4.0,2:39,3.0,4.0,ARI 9,23.0,22.0,"Desmond Ridder left end for 9 yards, touchdown",4.22,7.0,10.0,2023,146
4.0,2:33,,,ARI 2,23.0,22.0,Two Point Attempt: Desmond Ridder pass incomplete intended for to Drake London for no gain,1.0,-1.0,10.0,2023,146
4.0,2:33,,,ATL 35,23.0,22.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,146
4.0,2:33,1.0,10.0,ARI 25,23.0,22.0,Kyler Murray pass complete short middle to Rondale Moore for 8 yards (tackle by Nathan Landman),0.61,1.14,10.0,2023,146
4.0,2:12,2.0,2.0,ARI 33,23.0,22.0,James Conner up the middle for 9 yards (tackle by Jessie Bates),1.14,1.73,10.0,2023,146
4.0,2:00,1.0,10.0,ARI 42,23.0,22.0,Kyler Murray pass incomplete deep left intended for Michael Wilson,1.73,1.19,10.0,2023,146
4.0,1:56,2.0,10.0,ARI 42,23.0,22.0,Kyler Murray pass incomplete deep right intended for Rondale Moore,1.19,0.5,10.0,2023,146
4.0,1:50,3.0,10.0,ARI 42,23.0,22.0,Kyler Murray scrambles right end for 13 yards (tackle by Nathan Landman),0.5,2.59,10.0,2023,146
4.0,1:06,1.0,10.0,ATL 45,23.0,22.0,Kyler Murray left tackle for 3 yards (tackle by Clark Phillips),2.59,2.45,10.0,2023,146
4.0,0:57,,,,,,Timeout #1 by Arizona Cardinals,,,10.0,2023,146
4.0,0:57,2.0,7.0,ATL 42,23.0,22.0,Kyler Murray pass complete deep right to Trey McBride for 33 yards (tackle by Jessie Bates),2.45,5.14,10.0,2023,146
4.0,0:47,,,,,,Timeout #1 by Atlanta Falcons,,,10.0,2023,146
4.0,0:47,1.0,9.0,ATL 9,23.0,22.0,James Conner up the middle for 7 yards (tackle by Jessie Bates),5.14,5.72,10.0,2023,146
4.0,0:42,,,,,,Timeout #2 by Atlanta Falcons,,,10.0,2023,146
4.0,0:42,2.0,2.0,ATL 2,23.0,22.0,James Conner left tackle for -1 yards,5.72,4.72,10.0,2023,146
