Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA,week,year,game_id
1.0,2:39,3.0,4.0,SEA 33,6.0,3.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Benjamin St-Juste),0.3,-1.18,10.0,2023,148
1.0,2:29,4.0,4.0,SEA 33,6.0,3.0,"Michael Dickson punts 40 yards, returned by Jamison Crowder for 1 yard (tackle by Julian Love)",-1.18,-0.81,10.0,2023,148
1.0,2:21,1.0,10.0,WAS 28,6.0,3.0,Sam Howell pass complete short middle to John Bates for no gain (tackle by Jordyn Brooks),0.81,0.26,10.0,2023,148
1.0,1:48,2.0,10.0,WAS 28,6.0,3.0,Antonio Gibson left end for 6 yards (tackle by Frank Clark and Riq Woolen),0.26,0.37,10.0,2023,148
1.0,1:06,3.0,4.0,WAS 34,6.0,3.0,Sam Howell pass complete short left to Antonio Gibson for 7 yards (tackle by Jamal Adams),0.37,1.66,10.0,2023,148
1.0,0:30,1.0,10.0,WAS 41,6.0,3.0,Sam Howell pass complete short right to John Bates for 9 yards (tackle by Devon Witherspoon),1.66,2.34,10.0,2023,148
2.0,15:00,2.0,1.0,WAS 50,6.0,3.0,Sam Howell pass complete short left to Brian Robinson for -1 yards (tackle by Jamal Adams),2.34,1.49,10.0,2023,148
2.0,14:13,3.0,2.0,WAS 49,6.0,3.0,Sam Howell pass complete short right to Logan Thomas for 17 yards (tackle by Quandre Diggs),1.49,3.31,10.0,2023,148
2.0,13:34,1.0,10.0,SEA 34,6.0,3.0,Sam Howell pass complete short right to Alex Armah for 3 yards (tackle by Jordyn Brooks),3.31,3.18,10.0,2023,148
2.0,12:56,2.0,7.0,SEA 31,6.0,3.0,Antonio Gibson left tackle for no gain (tackle by Bobby Wagner),3.18,2.48,10.0,2023,148
2.0,12:17,3.0,7.0,SEA 31,6.0,3.0,Sam Howell pass incomplete short left intended for Antonio Gibson,2.48,1.32,10.0,2023,148
2.0,12:11,4.0,7.0,SEA 31,9.0,3.0,Joey Slye 49 yard field goal good,1.32,3.0,10.0,2023,148
2.0,12:06,,,WAS 35,9.0,3.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,148
2.0,12:06,1.0,10.0,SEA 25,9.0,3.0,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba,0.61,0.06,10.0,2023,148
2.0,12:03,2.0,10.0,SEA 25,9.0,3.0,Geno Smith pass complete short right to Will Dissly for 16 yards (tackle by Kamren Curl and Daron Payne),0.06,1.66,10.0,2023,148
2.0,11:20,1.0,10.0,SEA 41,9.0,3.0,Geno Smith pass incomplete deep right intended for D.K. Metcalf (defended by Percy Butler),1.66,1.12,10.0,2023,148
2.0,11:13,2.0,10.0,SEA 41,9.0,3.0,Geno Smith pass complete short left to Tyler Lockett for 13 yards (tackle by Kendall Fuller),1.12,2.52,10.0,2023,148
2.0,10:36,1.0,10.0,WAS 46,9.0,3.0,Zach Charbonnet left guard for 1 yard (tackle by David Mayo),2.52,2.11,10.0,2023,148
2.0,10:15,2.0,9.0,WAS 45,9.0,3.0,Geno Smith pass complete short left to D.K. Metcalf for 15 yards (tackle by Kamren Curl and Percy Butler),2.11,3.58,10.0,2023,148
2.0,9:49,1.0,10.0,WAS 30,9.0,3.0,Geno Smith pass complete short left to Zach Charbonnet for 6 yards (tackle by David Mayo),3.58,3.84,10.0,2023,148
2.0,9:23,2.0,4.0,WAS 24,9.0,3.0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Andre Jones),3.84,3.14,10.0,2023,148
2.0,9:20,3.0,4.0,WAS 24,9.0,3.0,Geno Smith pass incomplete short left intended for Zach Charbonnet,3.14,1.94,10.0,2023,148
2.0,9:16,4.0,4.0,WAS 24,9.0,6.0,Jason Myers 43 yard field goal good,1.94,3.0,10.0,2023,148
2.0,9:12,,,SEA 35,9.0,6.0,"Jason Myers kicks off 64 yards, returned by Antonio Gibson for 23 yards (tackle by Jerrick Reed)",0.0,0.54,10.0,2023,148
2.0,9:07,1.0,10.0,WAS 24,9.0,6.0,Sam Howell pass incomplete short middle intended for Curtis Samuel (defended by Devon Witherspoon),0.54,0.0,10.0,2023,148
2.0,9:03,2.0,10.0,WAS 24,9.0,6.0,Sam Howell pass complete short right to Curtis Samuel for 6 yards (tackle by Devon Witherspoon),0.0,0.1,10.0,2023,148
2.0,8:32,3.0,4.0,WAS 30,9.0,6.0,Sam Howell sacked by Leonard Williams for -10 yards,0.1,-2.03,10.0,2023,148
2.0,7:38,4.0,14.0,WAS 20,9.0,6.0,"Tress Way punts 49 yards, returned by DeeJay Dallas for 5 yards (tackle by Christian Holmes)",-2.03,-1.33,10.0,2023,148
2.0,7:26,1.0,10.0,SEA 36,9.0,6.0,Geno Smith pass incomplete deep middle intended for Tyler Lockett,1.33,0.79,10.0,2023,148
2.0,7:19,2.0,10.0,SEA 36,9.0,6.0,Kenneth Walker up the middle for 5 yards (tackle by Daron Payne and John Ridgeway),0.79,0.76,10.0,2023,148
2.0,6:41,3.0,5.0,SEA 41,9.0,6.0,Geno Smith pass incomplete deep middle intended for D.K. Metcalf,0.76,-0.65,10.0,2023,148
2.0,6:35,4.0,5.0,SEA 41,9.0,6.0,"Michael Dickson punts, returned by Jamison Crowder for no gain (tackle by Jon Rhattigan). Penalty on Derick Hall: Ineligible Downfield Kick, 5 yards (accepted) (no play)",-0.65,-0.98,10.0,2023,148
2.0,6:25,4.0,10.0,SEA 36,9.0,6.0,"Michael Dickson punts 45 yards, fair catch by Jamison Crowder at WAS-19",-0.98,-0.15,10.0,2023,148
2.0,6:18,1.0,10.0,WAS 19,9.0,6.0,Sam Howell pass complete short right to Brian Robinson for 5 yards (tackle by Devon Witherspoon),0.15,0.34,10.0,2023,148
2.0,5:39,2.0,5.0,WAS 24,9.0,6.0,Brian Robinson up the middle for 2 yards (tackle by Boye Mafe),0.34,-0.16,10.0,2023,148
2.0,5:05,3.0,3.0,WAS 26,9.0,6.0,Sam Howell pass incomplete short right intended for Curtis Samuel (defended by Boye Mafe),-0.16,-1.63,10.0,2023,148
2.0,4:57,4.0,3.0,WAS 26,9.0,6.0,"Tress Way punts 43 yards, fair catch by DeeJay Dallas at SEA-31",-1.63,-1.0,10.0,2023,148
2.0,4:49,1.0,10.0,SEA 31,9.0,6.0,Geno Smith pass incomplete deep right intended for Noah Fant,1.0,0.46,10.0,2023,148
2.0,4:44,2.0,10.0,SEA 31,9.0,6.0,Kenneth Walker left end for 6 yards (tackle by David Mayo),0.46,0.56,10.0,2023,148
2.0,4:06,3.0,4.0,SEA 37,9.0,6.0,Geno Smith scrambles up the middle for 13 yards (tackle by Percy Butler),0.56,2.26,10.0,2023,148
2.0,3:30,1.0,10.0,SEA 50,9.0,6.0,Geno Smith pass complete short right to Tyler Lockett for 7 yards (tackle by Danny Johnson),2.26,2.66,10.0,2023,148
2.0,2:58,2.0,3.0,WAS 43,9.0,6.0,Kenneth Walker right guard for 13 yards (tackle by Benjamin St-Juste),2.66,3.58,10.0,2023,148
2.0,2:39,1.0,10.0,WAS 30,9.0,6.0,Geno Smith pass complete short right to Jake Bobo for 11 yards (tackle by Benjamin St-Juste),3.58,4.31,10.0,2023,148
2.0,2:05,1.0,10.0,WAS 19,9.0,6.0,Kenneth Walker up the middle for 5 yards (tackle by Jamin Davis and David Mayo),4.31,4.53,10.0,2023,148
2.0,2:00,2.0,5.0,WAS 14,9.0,6.0,Kenneth Walker left guard for 1 yard (tackle by Percy Butler and Casey Toohill),4.53,3.96,10.0,2023,148
2.0,1:55,,,,,,Timeout #1 by Washington Commanders,,,10.0,2023,148
2.0,1:55,3.0,4.0,WAS 13,9.0,6.0,Geno Smith pass complete short left to Colby Parkinson for 3 yards (tackle by David Mayo),3.96,2.91,10.0,2023,148
2.0,1:50,,,,,,Timeout #2 by Washington Commanders,,,10.0,2023,148
2.0,1:50,4.0,1.0,WAS 10,9.0,6.0,"Penalty on Geno Smith: False Start, 5 yards (accepted) (no play)",2.91,2.47,10.0,2023,148
2.0,1:50,4.0,6.0,WAS 15,9.0,9.0,Jason Myers 33 yard field goal good,2.47,3.0,10.0,2023,148
2.0,1:47,,,SEA 35,9.0,9.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,148
2.0,1:47,1.0,10.0,WAS 25,9.0,9.0,Sam Howell pass complete short left to Logan Thomas for 3 yards (tackle by Julian Love),0.61,0.47,10.0,2023,148
2.0,1:32,2.0,7.0,WAS 28,9.0,9.0,Sam Howell pass complete short left to Antonio Gibson for 4 yards (tackle by Julian Love),0.47,0.3,10.0,2023,148
2.0,1:10,3.0,3.0,WAS 32,9.0,9.0,Sam Howell pass incomplete short left intended for Jahan Dotson (defended by Riq Woolen),0.3,-1.24,10.0,2023,148
2.0,1:05,4.0,3.0,WAS 32,9.0,9.0,Tress Way punts 40 yards downed by Jartavius Martin,-1.24,-0.81,10.0,2023,148
2.0,0:54,1.0,10.0,SEA 28,9.0,9.0,Geno Smith pass complete short right to D.K. Metcalf for 16 yards (tackle by Benjamin St-Juste and Jartavius Martin),0.81,1.86,10.0,2023,148
2.0,0:46,,,,,,Timeout #1 by Seattle Seahawks,,,10.0,2023,148
2.0,0:46,1.0,10.0,SEA 44,9.0,9.0,"Geno Smith sacked by Daron Payne for no gain. Penalty on Jonathan Allen: Defensive Holding, 5 yards (accepted) (no play)",1.86,2.19,10.0,2023,148
2.0,0:38,1.0,10.0,SEA 49,9.0,9.0,Geno Smith pass complete short middle to Zach Charbonnet for 6 yards (tackle by Jartavius Martin),2.19,2.46,10.0,2023,148
2.0,0:31,,,,,,Timeout #3 by Washington Commanders,,,10.0,2023,148
2.0,0:31,2.0,4.0,WAS 45,9.0,9.0,Zach Charbonnet up the middle for 12 yards (tackle by Percy Butler),2.46,3.38,10.0,2023,148
2.0,0:26,,,,,,Timeout #2 by Seattle Seahawks,,,10.0,2023,148
2.0,0:26,1.0,10.0,WAS 33,9.0,9.0,"Geno Smith pass incomplete. Penalty on Phil Haynes: Offensive Holding, 10 yards (accepted) (no play)",3.38,2.72,10.0,2023,148
2.0,0:19,1.0,20.0,WAS 43,9.0,9.0,Geno Smith pass complete short middle to D.K. Metcalf for 9 yards (tackle by Benjamin St-Juste),2.72,2.7,10.0,2023,148
2.0,0:07,,,,,,Timeout #3 by Seattle Seahawks,,,10.0,2023,148
2.0,0:07,2.0,11.0,WAS 34,9.0,9.0,Geno Smith pass incomplete short middle. Penalty on Geno Smith: Intentional Grounding (accepted),2.7,2.01,10.0,2023,148
3.0,15:00,,,WAS 35,9.0,9.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,148
3.0,15:00,1.0,10.0,SEA 25,9.0,9.0,Kenneth Walker up the middle for 3 yards (tackle by Kamren Curl),0.61,0.47,10.0,2023,148
3.0,14:28,2.0,7.0,SEA 28,9.0,9.0,Kenneth Walker right guard for 3 yards (tackle by Daron Payne and Jamin Davis),0.47,0.17,10.0,2023,148
3.0,13:47,3.0,4.0,SEA 31,9.0,9.0,Geno Smith sacked by Jonathan Allen for no gain,0.17,-1.31,10.0,2023,148
3.0,13:02,4.0,4.0,SEA 31,9.0,9.0,"Michael Dickson punts 47 yards, returned by Jamison Crowder for 8 yards (tackle by Jerrick Reed and Nick Bellore)",-1.31,-0.94,10.0,2023,148
3.0,12:56,1.0,10.0,WAS 30,9.0,9.0,Brian Robinson right guard for 1 yard (tackle by Bobby Wagner),0.94,0.53,10.0,2023,148
3.0,12:13,2.0,9.0,WAS 31,9.0,9.0,Sam Howell pass complete short right to Brian Robinson for 48 yards (tackle by Riq Woolen),0.53,4.17,10.0,2023,148
3.0,11:35,1.0,10.0,SEA 21,9.0,9.0,Sam Howell pass incomplete short left,4.17,3.63,10.0,2023,148
3.0,11:30,2.0,10.0,SEA 21,9.0,9.0,Sam Howell pass incomplete deep left intended for Terry McLaurin,3.63,2.94,10.0,2023,148
3.0,11:25,3.0,10.0,SEA 21,9.0,9.0,Sam Howell sacked by Boye Mafe for -8 yards,2.94,1.5,10.0,2023,148
3.0,10:37,4.0,18.0,SEA 29,12.0,9.0,Joey Slye 47 yard field goal good,1.5,3.0,10.0,2023,148
3.0,10:32,,,WAS 35,12.0,9.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,148
3.0,10:32,1.0,10.0,SEA 25,12.0,9.0,Geno Smith pass complete short left to D.K. Metcalf for 11 yards (tackle by Kendall Fuller),0.61,1.33,10.0,2023,148
3.0,9:56,1.0,10.0,SEA 36,12.0,15.0,"Geno Smith pass complete short middle to Kenneth Walker for 64 yards, touchdown",1.33,7.0,10.0,2023,148
3.0,9:43,,,WAS 15,12.0,16.0,Jason Myers kicks extra point good,0.0,0.0,10.0,2023,148
3.0,9:43,,,SEA 35,12.0,16.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,148
3.0,9:43,1.0,10.0,WAS 25,12.0,16.0,Brian Robinson up the middle for 5 yards (tackle by Bobby Wagner and Jordyn Brooks),0.61,0.74,10.0,2023,148
3.0,9:10,2.0,5.0,WAS 30,12.0,16.0,"Sam Howell right tackle for 15 yards. Sam Howell fumbles (forced by Devon Witherspoon) (tackle by Quandre Diggs), recovered by Riq Woolen at SEA-48 (tackle by John Bates) Replay Assistant challenged the fumble ruling, and the play was upheld.",0.74,-2.13,10.0,2023,148
3.0,8:56,1.0,10.0,SEA 48,12.0,16.0,"Geno Smith scrambles left end for no gain (tackle by K.J. Henry). Penalty on Damien Lewis: Offensive Holding, 10 yards (accepted) (no play)",2.13,1.47,10.0,2023,148
3.0,8:25,1.0,20.0,SEA 38,12.0,16.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 14 yards (tackle by Percy Butler),1.47,2.12,10.0,2023,148
3.0,7:59,2.0,6.0,WAS 48,12.0,16.0,Kenneth Walker left guard for -1 yards (tackle by Jamin Davis),2.12,1.29,10.0,2023,148
3.0,7:23,3.0,7.0,WAS 49,12.0,16.0,"Geno Smith pass incomplete short right. Penalty on Zach Charbonnet: Offensive Holding, 10 yards (declined)",1.29,0.0,10.0,2023,148
3.0,7:18,4.0,7.0,WAS 49,12.0,16.0,"Michael Dickson punts 49 yards, touchback.",0.0,-0.28,10.0,2023,148
3.0,7:10,1.0,10.0,WAS 20,12.0,16.0,Sam Howell pass complete short middle to Logan Thomas for 9 yards (tackle by Julian Love),0.28,0.95,10.0,2023,148
3.0,6:40,2.0,1.0,WAS 29,12.0,16.0,Sam Howell pass complete short right to Brian Robinson for no gain (tackle by Darrell Taylor),0.95,0.23,10.0,2023,148
3.0,6:01,3.0,1.0,WAS 29,12.0,16.0,Sam Howell right guard for 2 yards (tackle by Bobby Wagner and Derick Hall),0.23,1.0,10.0,2023,148
3.0,5:14,1.0,10.0,WAS 31,12.0,16.0,Sam Howell pass complete short left to Curtis Samuel for no gain (tackle by Tre Brown),1.0,0.46,10.0,2023,148
3.0,4:32,2.0,10.0,WAS 31,12.0,16.0,Sam Howell pass complete short right to Byron Pringle for 7 yards,0.46,0.7,10.0,2023,148
3.0,3:49,3.0,3.0,WAS 38,12.0,16.0,Sam Howell pass complete short right to Dyami Brown for 6 yards (tackle by Tre Brown),0.7,1.86,10.0,2023,148
3.0,3:09,1.0,10.0,WAS 44,12.0,16.0,Sam Howell pass incomplete short left intended for Terry McLaurin,1.86,1.32,10.0,2023,148
3.0,3:04,2.0,10.0,WAS 44,12.0,16.0,Sam Howell sacked by and Bobby Wagner for -6 yards and Dre'Mont Jones for -6 yards,1.32,-0.16,10.0,2023,148
3.0,2:18,3.0,16.0,WAS 38,12.0,16.0,Sam Howell pass incomplete short middle intended for Curtis Samuel (defended by Bobby Wagner),-0.16,-0.85,10.0,2023,148
3.0,2:12,4.0,16.0,WAS 38,12.0,16.0,"Tress Way punts 52 yards, returned by DeeJay Dallas for 9 yards (tackle by John Bates and Jartavius Martin)",-0.85,-0.15,10.0,2023,148
3.0,2:01,1.0,10.0,SEA 19,12.0,16.0,Geno Smith pass complete short left to Tyler Lockett for 15 yards,0.15,1.2,10.0,2023,148
3.0,1:25,1.0,10.0,SEA 34,12.0,16.0,Zach Charbonnet up the middle for 11 yards (tackle by Percy Butler and Jamin Davis),1.2,1.93,10.0,2023,148
3.0,0:51,1.0,10.0,SEA 45,12.0,16.0,Zach Charbonnet up the middle for 10 yards (tackle by Kamren Curl and Khaleke Hudson),1.93,2.59,10.0,2023,148
3.0,0:13,1.0,10.0,WAS 45,12.0,16.0,Kenneth Walker right end for -4 yards (tackle by Jamin Davis),2.59,1.5,10.0,2023,148
4.0,15:00,2.0,14.0,WAS 49,12.0,16.0,Geno Smith pass complete short left to Noah Fant for 8 yards (tackle by Danny Johnson),1.5,1.88,10.0,2023,148
4.0,14:16,3.0,6.0,WAS 41,12.0,16.0,Geno Smith pass complete short right to Tyler Lockett for 5 yards (tackle by Daron Payne),1.88,0.89,10.0,2023,148
4.0,13:44,4.0,1.0,WAS 36,12.0,16.0,Zach Charbonnet right guard for 7 yards (tackle by Kamren Curl),0.89,3.64,10.0,2023,148
4.0,13:07,1.0,10.0,WAS 29,12.0,16.0,Zach Charbonnet right guard for 3 yards (tackle by Jamin Davis and Phidarian Mathis),3.64,3.51,10.0,2023,148
4.0,12:30,2.0,7.0,WAS 26,12.0,16.0,Geno Smith pass incomplete short left,3.51,2.81,10.0,2023,148
4.0,12:21,3.0,7.0,WAS 26,12.0,16.0,Geno Smith pass incomplete short left intended for Tyler Lockett,2.81,1.74,10.0,2023,148
4.0,12:19,4.0,7.0,WAS 26,12.0,19.0,Jason Myers 45 yard field goal good,1.74,3.0,10.0,2023,148
4.0,12:14,,,SEA 35,12.0,19.0,"Jason Myers kicks off 62 yards, returned by Antonio Gibson for 24 yards (tackle by Brady Russell and Nick Bellore)",0.0,0.74,10.0,2023,148
4.0,12:09,1.0,10.0,WAS 27,12.0,19.0,Brian Robinson left end for 15 yards (tackle by Leonard Williams),0.74,1.73,10.0,2023,148
4.0,11:35,1.0,10.0,WAS 42,12.0,19.0,Brian Robinson left end for 12 yards (tackle by Boye Mafe and Bobby Wagner),1.73,2.52,10.0,2023,148
4.0,10:56,1.0,10.0,SEA 46,12.0,19.0,Antonio Gibson right guard for 5 yards (tackle by Bobby Wagner and Julian Love),2.52,2.65,10.0,2023,148
4.0,10:23,2.0,5.0,SEA 41,12.0,19.0,Antonio Gibson up the middle for 2 yards (tackle by Derick Hall),2.65,2.21,10.0,2023,148
4.0,9:38,3.0,3.0,SEA 39,12.0,19.0,Sam Howell pass complete short right to Logan Thomas for 4 yards (tackle by Bobby Wagner),2.21,3.25,10.0,2023,148
4.0,8:58,1.0,10.0,SEA 35,12.0,19.0,Sam Howell pass incomplete short left intended for Terry McLaurin,3.25,2.7,10.0,2023,148
4.0,8:52,2.0,10.0,SEA 35,12.0,19.0,Sam Howell pass complete short middle to Brian Robinson for 16 yards (tackle by Bobby Wagner),2.7,4.31,10.0,2023,148
4.0,8:06,1.0,10.0,SEA 19,18.0,19.0,"Sam Howell pass complete short right to Antonio Gibson for 19 yards, touchdown",4.31,7.0,10.0,2023,148
4.0,8:00,,,SEA 15,19.0,19.0,Joey Slye kicks extra point good,0.0,0.0,10.0,2023,148
4.0,8:00,,,WAS 35,19.0,19.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,148
4.0,8:00,1.0,10.0,SEA 25,19.0,19.0,"Penalty on Evan Brown: False Start, 5 yards (accepted) (no play)",0.61,0.28,10.0,2023,148
4.0,8:00,1.0,15.0,SEA 20,19.0,19.0,Geno Smith pass complete short right to Tyler Lockett for 11 yards (tackle by Kendall Fuller and Kamren Curl),0.28,0.87,10.0,2023,148
4.0,7:30,2.0,4.0,SEA 31,19.0,19.0,Kenneth Walker right end for 5 yards (tackle by Kamren Curl),0.87,1.33,10.0,2023,148
4.0,7:07,1.0,10.0,SEA 36,19.0,19.0,Geno Smith pass complete deep right to Tyler Lockett for 20 yards (tackle by Jamin Davis),1.33,2.65,10.0,2023,148
4.0,6:24,1.0,10.0,WAS 44,19.0,19.0,Kenneth Walker left guard for 7 yards (tackle by Jamin Davis),2.65,3.06,10.0,2023,148
4.0,5:53,2.0,3.0,WAS 37,19.0,19.0,Kenneth Walker right guard for no gain (tackle by Daron Payne and Andre Jones),3.06,2.35,10.0,2023,148
4.0,5:18,3.0,3.0,WAS 37,19.0,19.0,Geno Smith pass complete short right to Noah Fant for -2 yards (tackle by Percy Butler),2.35,0.66,10.0,2023,148
4.0,4:43,4.0,5.0,WAS 39,19.0,19.0,"Geno Smith pass incomplete short middle intended for D.K. Metcalf. Penalty on Benjamin St-Juste: Defensive Pass Interference, 6 yards (accepted) (no play)",0.66,3.38,10.0,2023,148
4.0,4:37,1.0,10.0,WAS 33,19.0,19.0,"Penalty on WAS: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",3.38,4.11,10.0,2023,148
4.0,4:37,1.0,5.0,WAS 28,19.0,19.0,Geno Smith pass complete short right to Tyler Lockett for 16 yards (tackle by Jamin Davis),4.11,4.78,10.0,2023,148
4.0,4:31,1.0,10.0,WAS 12,19.0,19.0,"Kenneth Walker right end for 4 yards (tackle by Benjamin St-Juste). Penalty on Benjamin St-Juste: Face Mask (15 Yards), 4 yards (accepted)",4.78,6.28,10.0,2023,148
4.0,4:22,1.0,4.0,WAS 4,19.0,19.0,Kenneth Walker right tackle for -1 yards (tackle by Casey Toohill and Jamin Davis),6.28,5.15,10.0,2023,148
4.0,3:50,2.0,5.0,WAS 5,19.0,25.0,"Geno Smith pass complete short right to Tyler Lockett for 5 yards, touchdown",5.15,7.0,10.0,2023,148
4.0,3:47,,,WAS 15,19.0,26.0,Jason Myers kicks extra point good,0.0,0.0,10.0,2023,148
4.0,3:47,,,SEA 35,19.0,26.0,"Jason Myers kicks off 62 yards, returned by Antonio Gibson for 26 yards (tackle by Julian Love and Nick Bellore)",0.0,0.87,10.0,2023,148
4.0,3:40,1.0,10.0,WAS 29,19.0,26.0,Brian Robinson left tackle for 1 yard (tackle by Jarran Reed),0.87,0.46,10.0,2023,148
