Quarter,Time,Down,ToGo,Location,DET,LAC,Detail,EPB,EPA,week,year,game_id
2.0,0:23,1.0,10.0,DET 25,24.0,17.0,Jared Goff pass complete short right to Jameson Williams for 5 yards (tackle by Kenneth Murray),0.61,0.74,10.0,2023,145
3.0,15:00,,,LAC 35,24.0,17.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
3.0,15:00,1.0,10.0,DET 25,24.0,17.0,Jared Goff pass incomplete short right intended for Josh Reynolds (defended by Alohi Gilman),0.61,0.06,10.0,2023,145
3.0,14:52,2.0,10.0,DET 25,24.0,17.0,Jared Goff pass incomplete short left intended for Sam LaPorta,0.06,-0.62,10.0,2023,145
3.0,14:49,3.0,10.0,DET 25,24.0,17.0,Jared Goff pass complete short right to Josh Reynolds for 8 yards (tackle by Derwin James),-0.62,-1.18,10.0,2023,145
3.0,14:49,4.0,2.0,DET 33,24.0,17.0,"Penalty on Derwin James: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",-1.18,2.13,10.0,2023,145
3.0,14:34,1.0,10.0,DET 48,24.0,17.0,Jahmyr Gibbs up the middle for 3 yards (tackle by Otito Ogbonnia and Ja'Sir Taylor),2.13,1.99,10.0,2023,145
3.0,13:54,2.0,7.0,LAC 49,24.0,17.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 15 yards (tackle by Deane Leonard),1.99,3.31,10.0,2023,145
3.0,13:18,1.0,10.0,LAC 34,24.0,17.0,Jahmyr Gibbs up the middle for -3 yards (tackle by Derwin James),3.31,2.37,10.0,2023,145
3.0,12:42,2.0,13.0,LAC 37,24.0,17.0,Jared Goff pass incomplete short right intended for Kalif Raymond,2.37,1.69,10.0,2023,145
3.0,12:38,3.0,13.0,LAC 37,24.0,17.0,Jared Goff pass incomplete short middle intended for Jahmyr Gibbs,1.69,0.79,10.0,2023,145
3.0,12:34,4.0,13.0,LAC 37,24.0,17.0,"Jack Fox punts 29 yards, fair catch by Derius Davis at LAC-8",0.79,0.38,10.0,2023,145
3.0,12:27,1.0,10.0,LAC 8,24.0,17.0,Justin Herbert pass complete short left to Austin Ekeler for 6 yards (tackle by Kerby Joseph and Jack Campbell),-0.38,-0.32,10.0,2023,145
3.0,11:54,2.0,4.0,LAC 14,24.0,17.0,"Justin Herbert pass incomplete intended for Quentin Johnston. Penalty on Jerry Jacobs: Defensive Pass Interference, 15 yards (accepted) (no play)",-0.32,0.87,10.0,2023,145
3.0,11:50,1.0,10.0,LAC 29,24.0,17.0,Joshua Kelley left guard for 4 yards (tackle by Alim McNeill and Aidan Hutchinson),0.87,0.87,10.0,2023,145
3.0,11:16,2.0,6.0,LAC 33,24.0,17.0,Justin Herbert pass complete short middle to Donald Parham for 16 yards (tackle by Brian Branch and Alex Anzalone),0.87,2.19,10.0,2023,145
3.0,10:47,1.0,10.0,LAC 49,24.0,17.0,Justin Herbert pass complete short right to Donald Parham for 2 yards (tackle by Jerry Jacobs and Alex Anzalone),2.19,1.92,10.0,2023,145
3.0,10:28,2.0,8.0,DET 49,24.0,17.0,Justin Herbert pass incomplete deep right intended for Stone Smartt (defended by Alex Anzalone),1.92,1.22,10.0,2023,145
3.0,10:22,3.0,8.0,DET 49,24.0,17.0,Justin Herbert pass complete short middle to Keenan Allen for 12 yards (tackle by Charles Harris),1.22,3.12,10.0,2023,145
3.0,10:03,1.0,10.0,DET 37,24.0,17.0,Joshua Kelley up the middle for 3 yards (tackle by Julian Okwara and Charles Harris),3.12,2.98,10.0,2023,145
3.0,9:25,2.0,7.0,DET 34,24.0,17.0,Justin Herbert pass complete short left to Jalen Guyton for 4 yards (tackle by Brian Branch),2.98,2.81,10.0,2023,145
3.0,8:48,3.0,3.0,DET 30,24.0,17.0,Justin Herbert pass complete short middle to Keenan Allen for 12 yards (tackle by Tracy Walker),2.81,4.37,10.0,2023,145
3.0,8:03,1.0,10.0,DET 18,24.0,23.0,"Justin Herbert pass complete deep right to Jalen Guyton for 18 yards, touchdown",4.37,7.0,10.0,2023,145
3.0,7:59,,,DET 15,24.0,24.0,Cameron Dicker kicks extra point good,0.0,0.0,10.0,2023,145
3.0,7:59,,,LAC 35,24.0,24.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
3.0,7:59,1.0,10.0,DET 25,24.0,24.0,David Montgomery left tackle for 2 yards (tackle by Austin Johnson and Sebastian Joseph-Day),0.61,0.33,10.0,2023,145
3.0,7:24,2.0,8.0,DET 27,24.0,24.0,David Montgomery up the middle for 5 yards (tackle by Nick Williams and Sebastian Joseph-Day),0.33,0.3,10.0,2023,145
3.0,6:43,3.0,3.0,DET 32,24.0,24.0,Jared Goff pass complete short middle to Josh Reynolds for 7 yards (tackle by Eric Kendricks),0.3,1.53,10.0,2023,145
3.0,6:04,1.0,10.0,DET 39,24.0,24.0,David Montgomery left tackle for 8 yards (tackle by Morgan Fox and Otito Ogbonnia),1.53,2.07,10.0,2023,145
3.0,5:18,2.0,2.0,DET 47,24.0,24.0,Jared Goff pass incomplete short right intended for Brock Wright,2.07,1.36,10.0,2023,145
3.0,5:13,3.0,2.0,DET 47,24.0,24.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 33 yards (tackle by Alohi Gilman),1.36,4.24,10.0,2023,145
3.0,4:36,1.0,10.0,LAC 20,30.0,24.0,"Jared Goff pass complete short left to Amon-Ra St. Brown for 20 yards, touchdown",4.24,7.0,10.0,2023,145
3.0,4:31,,,LAC 15,31.0,24.0,Riley Patterson kicks extra point good,0.0,0.0,10.0,2023,145
3.0,4:31,,,DET 35,31.0,24.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
3.0,4:31,1.0,10.0,LAC 25,31.0,24.0,Austin Ekeler up the middle for 5 yards (tackle by Jack Campbell),0.61,0.74,10.0,2023,145
3.0,4:02,2.0,5.0,LAC 30,31.0,24.0,Justin Herbert pass incomplete short right intended for Jalen Guyton (defended by Jerry Jacobs),0.74,0.04,10.0,2023,145
3.0,3:58,3.0,5.0,LAC 30,31.0,24.0,Justin Herbert scrambles right end for 13 yards (tackle by Tracy Walker),0.04,1.8,10.0,2023,145
3.0,3:25,1.0,10.0,LAC 43,31.0,24.0,Joshua Kelley right tackle for 4 yards (tackle by Alex Anzalone and Jack Campbell),1.8,1.72,10.0,2023,145
3.0,2:54,2.0,7.0,LAC 47,31.0,24.0,Justin Herbert pass incomplete short right intended for Stone Smartt (defended by Cameron Sutton),1.72,1.03,10.0,2023,145
3.0,2:49,3.0,7.0,LAC 47,31.0,24.0,"Penalty on Jamaree Salyer: False Start, 5 yards (accepted) (no play)",1.03,0.37,10.0,2023,145
3.0,2:49,3.0,12.0,LAC 42,31.0,24.0,"Justin Herbert pass incomplete. Penalty on Julian Okwara: Roughing the Passer, 15 yards (offset) . Penalty on Justin Herbert: Intentional Grounding, 10 yards (offset) (no play)",0.37,0.37,10.0,2023,145
3.0,2:44,3.0,12.0,LAC 42,31.0,24.0,"Justin Herbert pass incomplete intended for Quentin Johnston. Penalty on Cameron Sutton: Defensive Pass Interference, 14 yards (accepted) (no play)",0.37,2.65,10.0,2023,145
3.0,2:39,1.0,10.0,DET 44,31.0,24.0,Austin Ekeler left guard for 4 yards (tackle by Tracy Walker),2.65,2.65,10.0,2023,145
3.0,2:08,2.0,6.0,DET 40,31.0,24.0,Austin Ekeler left end for 17 yards (tackle by Kerby Joseph and Romeo Okwara),2.65,4.04,10.0,2023,145
3.0,1:32,1.0,10.0,DET 23,31.0,24.0,Justin Herbert pass complete short right to Derius Davis for -2 yards (tackle by Cameron Sutton),4.04,3.23,10.0,2023,145
3.0,0:58,2.0,12.0,DET 25,31.0,24.0,Justin Herbert pass complete short right to Quentin Johnston for 17 yards (tackle by Derrick Barnes),3.23,5.37,10.0,2023,145
3.0,0:11,1.0,8.0,DET 8,31.0,24.0,Austin Ekeler up the middle for 2 yards (tackle by Romeo Okwara),5.37,4.95,10.0,2023,145
4.0,15:00,2.0,6.0,DET 6,31.0,24.0,Austin Ekeler up the middle for 5 yards (tackle by Kerby Joseph and Derrick Barnes),4.95,5.17,10.0,2023,145
4.0,14:18,3.0,1.0,DET 1,31.0,24.0,Austin Ekeler right tackle for no gain (tackle by Aidan Hutchinson and Will Harris),5.17,3.55,10.0,2023,145
4.0,13:38,4.0,1.0,DET 1,31.0,24.0,Justin Herbert pass incomplete intended for Quentin Johnston. Penalty on Cameron Sutton: Defensive Pass Interference (accepted) (no play),3.55,6.97,10.0,2023,145
4.0,13:32,1.0,1.0,DET 1,31.0,24.0,Justin Herbert up the middle for no gain (tackle by Benito Jones and Malcolm Rodriguez),6.97,5.91,10.0,2023,145
4.0,12:51,2.0,1.0,DET 1,31.0,24.0,Justin Herbert up the middle for no gain (tackle by Malcolm Rodriguez and Alim McNeill),5.91,5.17,10.0,2023,145
4.0,12:14,3.0,1.0,DET 1,31.0,24.0,Austin Ekeler right end for no gain (tackle by Malcolm Rodriguez),5.17,3.55,10.0,2023,145
4.0,11:33,4.0,1.0,DET 1,31.0,30.0,"Justin Herbert pass complete short middle to Quentin Johnston for 1 yard, touchdown",3.55,7.0,10.0,2023,145
4.0,11:30,,,DET 15,31.0,31.0,Cameron Dicker kicks extra point good,0.0,0.0,10.0,2023,145
4.0,11:30,,,LAC 35,31.0,31.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
4.0,11:30,1.0,10.0,DET 25,31.0,31.0,Jared Goff pass complete short middle to Jahmyr Gibbs for 14 yards (tackle by Khalil Mack),0.61,1.53,10.0,2023,145
4.0,10:50,1.0,10.0,DET 39,31.0,31.0,Jahmyr Gibbs right guard for 2 yards (tackle by Ja'Sir Taylor),1.53,1.26,10.0,2023,145
4.0,10:09,2.0,8.0,DET 41,31.0,31.0,Jared Goff pass complete short left to Sam LaPorta for 6 yards (tackle by Derwin James),1.26,1.36,10.0,2023,145
4.0,9:30,3.0,2.0,DET 47,31.0,31.0,Jared Goff pass complete deep left to Sam LaPorta for 19 yards (tackle by Alohi Gilman),1.36,3.31,10.0,2023,145
4.0,8:49,1.0,10.0,LAC 34,31.0,31.0,Jahmyr Gibbs left end for 3 yards (tackle by Kenneth Murray and Derwin James),3.31,3.18,10.0,2023,145
4.0,8:09,2.0,7.0,LAC 31,31.0,31.0,Amon-Ra St. Brown left end for 6 yards (tackle by Derwin James),3.18,3.27,10.0,2023,145
4.0,7:35,3.0,1.0,LAC 25,37.0,31.0,"Jared Goff pass complete deep middle to Brock Wright for 25 yards, touchdown",3.27,7.0,10.0,2023,145
4.0,7:30,,,LAC 15,38.0,31.0,Riley Patterson kicks extra point good,0.0,0.0,10.0,2023,145
4.0,7:30,,,DET 35,38.0,31.0,"Jack Fox kicks off 60 yards, returned by Derius Davis for 27 yards (tackle by Khalil Dorsey)",0.0,1.07,10.0,2023,145
4.0,7:24,1.0,10.0,LAC 32,38.0,31.0,Justin Herbert pass complete short left to Jalen Guyton for 11 yards (tackle by Benito Jones),1.07,1.8,10.0,2023,145
4.0,6:45,1.0,10.0,LAC 43,38.0,31.0,Austin Ekeler up the middle for 7 yards (tackle by Tracy Walker and Alex Anzalone),1.8,2.2,10.0,2023,145
4.0,6:13,2.0,3.0,LAC 50,38.0,31.0,Austin Ekeler up the middle for 3 yards (tackle by Benito Jones and Alim McNeill),2.2,2.46,10.0,2023,145
4.0,5:46,1.0,10.0,DET 47,38.0,31.0,Austin Ekeler left tackle for no gain (tackle by Alim McNeill),2.46,1.91,10.0,2023,145
4.0,5:12,2.0,10.0,DET 47,38.0,31.0,Justin Herbert pass complete short middle to Quentin Johnston for 9 yards (tackle by Jerry Jacobs),1.91,2.41,10.0,2023,145
4.0,4:28,3.0,1.0,DET 38,38.0,31.0,Austin Ekeler up the middle for no gain (tackle by Julian Okwara),2.41,0.72,10.0,2023,145
4.0,3:42,,,,,,Timeout #1 by Los Angeles Chargers,,,10.0,2023,145
4.0,3:42,4.0,1.0,DET 38,38.0,37.0,"Justin Herbert pass complete deep right to Keenan Allen for 38 yards, touchdown",0.72,7.0,10.0,2023,145
4.0,3:34,,,DET 15,38.0,38.0,Cameron Dicker kicks extra point good,0.0,0.0,10.0,2023,145
4.0,3:34,,,LAC 35,38.0,38.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
4.0,3:34,1.0,10.0,DET 25,38.0,38.0,Jared Goff pass complete short left to Kalif Raymond for 41 yards (tackle by Derwin James and Eric Kendricks),0.61,3.31,10.0,2023,145
4.0,2:47,1.0,10.0,LAC 34,38.0,38.0,David Montgomery right end for -1 yards (tackle by Khalil Mack),3.31,2.64,10.0,2023,145
4.0,2:00,2.0,11.0,LAC 35,38.0,38.0,Jared Goff pass complete short right to Jahmyr Gibbs for -3 yards (tackle by Kenneth Murray),2.64,1.55,10.0,2023,145
4.0,1:51,,,,,,Timeout #2 by Los Angeles Chargers,,,10.0,2023,145
4.0,1:51,3.0,14.0,LAC 38,38.0,38.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 12 yards (tackle by Ja'Sir Taylor),1.55,1.86,10.0,2023,145
4.0,1:47,4.0,2.0,LAC 26,38.0,38.0,Jared Goff pass complete short left to Sam LaPorta for 6 yards (tackle by Derwin James and Deane Leonard),1.86,4.24,10.0,2023,145
4.0,1:40,,,,,,Timeout #3 by Los Angeles Chargers,,,10.0,2023,145
4.0,1:40,1.0,10.0,LAC 20,38.0,38.0,Jared Goff kneels for -1 yards,4.24,3.56,10.0,2023,145
4.0,0:57,2.0,11.0,LAC 21,38.0,38.0,Jared Goff kneels for no gain,3.56,2.81,10.0,2023,145
