Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA,week,year,game_id
2.0,12:03,1.0,10.0,NWE 18,7.0,3.0,Mac Jones sacked by Dayo Odeyingbo for -5 yards,0.04,-1.14,10.0,2023,138
2.0,11:22,2.0,15.0,NWE 13,7.0,3.0,Rhamondre Stevenson left guard for 1 yard (tackle by Zaire Franklin),-1.14,-1.82,10.0,2023,138
2.0,10:48,3.0,14.0,NWE 14,7.0,3.0,Mac Jones pass complete short middle to Mike Gesicki for 11 yards (tackle by Julian Blackmon),-1.82,-1.7,10.0,2023,138
2.0,10:21,4.0,3.0,NWE 25,7.0,3.0,"Bryce Baringer punts 57 yards, returned by Isaiah McKenzie for 11 yards (tackle by Pharaoh Brown)",-1.7,-0.87,10.0,2023,138
2.0,10:10,1.0,10.0,IND 29,7.0,3.0,Jonathan Taylor right tackle for 2 yards (tackle by Keion White),0.87,0.6,10.0,2023,138
2.0,9:29,2.0,8.0,IND 31,7.0,3.0,Gardner Minshew pass complete short right to Will Mallory for 7 yards (tackle by Calvin Munson),0.6,0.83,10.0,2023,138
2.0,9:05,3.0,1.0,IND 38,7.0,3.0,Jonathan Taylor right guard for no gain (tackle by Kyle Dugger and Anfernee Jennings),0.83,-0.85,10.0,2023,138
2.0,8:25,4.0,1.0,IND 38,7.0,3.0,"Rigoberto Sanchez punts 42 yards, fair catch by Demario Douglas at NE-20",-0.85,-0.28,10.0,2023,138
2.0,8:20,1.0,10.0,NWE 20,7.0,3.0,Ezekiel Elliott left guard for 1 yard (tackle by Shaquille Leonard and Samson Ebukam),0.28,-0.13,10.0,2023,138
2.0,7:44,2.0,9.0,NWE 21,7.0,3.0,Mac Jones pass complete short right to Demario Douglas for 7 yards (tackle by Darrell Baker),-0.13,0.1,10.0,2023,138
2.0,7:08,3.0,2.0,NWE 28,7.0,3.0,Mac Jones sacked by Tyquan Lewis for -7 yards,0.1,-1.96,10.0,2023,138
2.0,6:35,4.0,9.0,NWE 21,7.0,3.0,"Bryce Baringer punts 79 yards, touchback.",-1.96,-0.28,10.0,2023,138
2.0,6:28,1.0,10.0,IND 20,7.0,3.0,Gardner Minshew pass complete deep right to Alec Pierce for 21 yards (tackle by Jack Jones),0.28,1.66,10.0,2023,138
2.0,5:52,1.0,10.0,IND 41,7.0,3.0,Jonathan Taylor left tackle for 4 yards (tackle by Davon Godchaux and Jahlani Tavai),1.66,1.66,10.0,2023,138
2.0,5:15,2.0,6.0,IND 45,7.0,3.0,Gardner Minshew pass complete short right to Michael Pittman for 9 yards (tackle by Jack Jones),1.66,2.52,10.0,2023,138
2.0,4:48,1.0,10.0,NWE 46,7.0,3.0,Gardner Minshew pass complete short middle to Michael Pittman for 6 yards (tackle by Jahlani Tavai),2.52,2.79,10.0,2023,138
2.0,4:22,2.0,4.0,NWE 40,7.0,3.0,Zack Moss left guard for 2 yards (tackle by Christian Barmore),2.79,2.35,10.0,2023,138
2.0,3:58,3.0,2.0,NWE 38,7.0,3.0,"Gardner Minshew pass incomplete deep right intended for Isaiah McKenzie (defended by Jabrill Peppers). Penalty on Will Fries: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.35,1.68,10.0,2023,138
2.0,3:50,3.0,7.0,NWE 43,7.0,3.0,Gardner Minshew pass incomplete deep middle intended for Josh Downs,1.68,0.4,10.0,2023,138
2.0,3:41,4.0,7.0,NWE 43,7.0,3.0,Rigoberto Sanchez punts 30 yards out of bounds,0.4,0.32,10.0,2023,138
2.0,3:34,1.0,10.0,NWE 13,7.0,3.0,Mac Jones pass complete short left to Demario Douglas for 8 yards (tackle by Kenny Moore),-0.32,0.35,10.0,2023,138
2.0,2:56,2.0,2.0,NWE 21,7.0,3.0,Mac Jones pass complete short left to Hunter Henry for 7 yards (tackle by Shaquille Leonard and Zaire Franklin),0.35,0.81,10.0,2023,138
2.0,2:32,1.0,10.0,NWE 28,7.0,3.0,"Penalty on JuJu Smith-Schuster: False Start, 5 yards (accepted) (no play)",0.81,0.48,10.0,2023,138
2.0,2:13,1.0,15.0,NWE 23,7.0,3.0,Mac Jones scrambles up the middle for 8 yards (tackle by Kenny Moore),0.48,0.67,10.0,2023,138
2.0,2:00,2.0,7.0,NWE 31,7.0,3.0,Rhamondre Stevenson left guard for 4 yards (tackle by Dayo Odeyingbo),0.67,0.5,10.0,2023,138
2.0,1:26,3.0,3.0,NWE 35,7.0,3.0,Mac Jones sacked by Kwity Paye for no gain,0.5,-1.04,10.0,2023,138
2.0,1:18,,,,,,Timeout #1 by Indianapolis Colts,,,10.0,2023,138
2.0,1:18,4.0,3.0,NWE 35,7.0,3.0,"Bryce Baringer punts 65 yards, touchback.",-1.04,-0.28,10.0,2023,138
2.0,1:10,1.0,10.0,IND 20,7.0,3.0,Jonathan Taylor left guard for 5 yards (tackle by Christian Barmore and Jalen Mills),0.28,0.41,10.0,2023,138
2.0,0:45,2.0,5.0,IND 25,7.0,3.0,Gardner Minshew pass complete short left to Michael Pittman for 13 yards (tackle by Shaun Wade),0.41,1.47,10.0,2023,138
2.0,0:40,1.0,10.0,IND 38,7.0,3.0,"Gardner Minshew pass incomplete deep left intended for Kylen Granson. Penalty on Shaun Wade: Defensive Holding, 5 yards (accepted) (no play)",1.47,1.8,10.0,2023,138
2.0,0:36,1.0,10.0,IND 43,7.0,3.0,Gardner Minshew pass incomplete short left intended for Michael Pittman,1.8,1.25,10.0,2023,138
2.0,0:32,2.0,10.0,IND 43,7.0,3.0,Gardner Minshew pass incomplete deep left intended for Michael Pittman,1.25,0.56,10.0,2023,138
2.0,0:27,3.0,10.0,IND 43,7.0,3.0,Gardner Minshew pass complete short right to Jonathan Taylor for 6 yards (tackle by Kyle Dugger),0.56,-0.13,10.0,2023,138
2.0,0:11,,,,,,Timeout #2 by Indianapolis Colts,,,10.0,2023,138
2.0,0:11,,,,,,Timeout #1 by New England Patriots,,,10.0,2023,138
2.0,0:11,4.0,4.0,IND 49,7.0,3.0,Gardner Minshew pass complete short right to Josh Downs for 12 yards (tackle by Myles Bryant),-0.13,2.98,10.0,2023,138
2.0,0:07,,,,,,Timeout #3 by Indianapolis Colts,,,10.0,2023,138
2.0,0:07,1.0,10.0,NWE 39,7.0,3.0,Matt Gay 57 yard field goal no good,2.98,-2.06,10.0,2023,138
2.0,0:02,1.0,10.0,NWE 47,7.0,3.0,Mac Jones pass complete short left to Demario Douglas for 30 yards (tackle by Jaylon Jones and Kenny Moore),2.06,4.04,10.0,2023,138
3.0,15:00,,,NWE 35,7.0,3.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,138
3.0,15:00,1.0,10.0,IND 25,7.0,3.0,Jonathan Taylor left guard for 4 yards (tackle by Jabrill Peppers and Davon Godchaux),0.61,0.6,10.0,2023,138
3.0,14:22,2.0,6.0,IND 29,7.0,3.0,Gardner Minshew pass complete short left to Michael Pittman for 14 yards (tackle by Jonathan Jones),0.6,1.8,10.0,2023,138
3.0,13:47,1.0,10.0,IND 43,7.0,3.0,"Gardner Minshew pass complete deep left to Michael Pittman for no gain (tackle by Jabrill Peppers). Penalty on Michael Pittman: Offensive Pass Interference, 10 yards (accepted) (no play)",1.8,1.14,10.0,2023,138
3.0,13:18,1.0,20.0,IND 33,7.0,3.0,Gardner Minshew pass complete short right to Michael Pittman for 9 yards,1.14,1.12,10.0,2023,138
3.0,12:42,2.0,11.0,IND 42,7.0,3.0,Gardner Minshew pass short left (defended by Jahlani Tavai) intended for Michael Pittman is intercepted by Myles Bryant at NE-44 and returned for 6 yards (tackle by Kylen Granson),1.12,-2.26,10.0,2023,138
3.0,12:35,1.0,10.0,NWE 50,7.0,3.0,Ezekiel Elliott up the middle for 8 yards (tackle by Eric Johnson and Kwity Paye),2.26,2.79,10.0,2023,138
3.0,12:05,2.0,2.0,IND 42,7.0,3.0,Ezekiel Elliott right guard for 6 yards (tackle by Zaire Franklin),2.79,3.18,10.0,2023,138
3.0,11:33,1.0,10.0,IND 36,7.0,3.0,Ezekiel Elliott left guard for 2 yards (tackle by Eric Johnson),3.18,2.91,10.0,2023,138
3.0,10:51,2.0,8.0,IND 34,7.0,3.0,Rhamondre Stevenson left tackle for 10 yards (tackle by Darrell Baker),2.91,3.97,10.0,2023,138
3.0,10:17,1.0,10.0,IND 24,7.0,3.0,Rhamondre Stevenson right tackle for 2 yards (tackle by Julian Blackmon and Darrell Baker),3.97,3.7,10.0,2023,138
3.0,9:37,2.0,8.0,IND 22,7.0,3.0,Rhamondre Stevenson right tackle for 5 yards (tackle by Zaire Franklin and Shaquille Leonard),3.7,3.75,10.0,2023,138
3.0,8:50,3.0,3.0,IND 17,7.0,3.0,Mac Jones pass incomplete short left intended for Rhamondre Stevenson,3.75,2.41,10.0,2023,138
3.0,8:41,4.0,3.0,IND 17,7.0,3.0,Chad Ryland 35 yard field goal no good,2.41,-0.61,10.0,2023,138
3.0,8:38,1.0,10.0,IND 25,7.0,3.0,Jonathan Taylor up the middle for 1 yard (tackle by Deatrich Wise),0.61,0.2,10.0,2023,138
3.0,7:58,2.0,9.0,IND 26,7.0,3.0,"Gardner Minshew pass complete short right to Isaiah McKenzie for 2 yards (tackle by Jahlani Tavai). Penalty on Jahlani Tavai: Unnecessary Roughness / Defense, 15 yards (accepted)",0.2,1.8,10.0,2023,138
3.0,7:30,1.0,10.0,IND 43,7.0,3.0,Jonathan Taylor right guard for 3 yards (tackle by Anfernee Jennings),1.8,1.66,10.0,2023,138
3.0,6:48,2.0,7.0,IND 46,7.0,3.0,Gardner Minshew pass complete short right to Kylen Granson for 5 yards (tackle by Anfernee Jennings),1.66,1.62,10.0,2023,138
3.0,6:04,3.0,2.0,NWE 49,7.0,3.0,Gardner Minshew pass incomplete short right,1.62,0.0,10.0,2023,138
3.0,5:57,4.0,2.0,NWE 49,7.0,3.0,Rigoberto Sanchez punts 43 yards downed by Tony Brown,0.0,0.38,10.0,2023,138
3.0,5:48,1.0,10.0,NWE 6,7.0,3.0,Rhamondre Stevenson right guard for 8 yards (tackle by Zaire Franklin),-0.38,-0.17,10.0,2023,138
